0	Index      	Bounty	 *	Score 	Summary	Detail	
1	44223 12423	7	 * 	314.20	DCR|5VULN|3DMG|2TLV|1CDMG	127DMG|34579VULN|67TLV|7BPWR|8RCR|aCDMG
26	44223 12233	8	   	292.01	DCR|4VULN|3DMG|2TLV|1ASPD	127DMG|3457VULN|67TLV|7BPWR|8ASPD|9FEWX|aRCR
27	44223 12213	8	   	291.91	DCR|4VULN|3DMG|2TLV|1ASPD	127DMG|3457VULN|67TLV|7BPWR|8ASPD|9DUST|aRCR
28	44223 12213	9	   	291.91	DCR|4VULN|3DMG|2TLV|1ASPD	127DMG|3457VULN|67TLV|7BPWR|8ASPD|9DUST|aRCR
29	22121 41621	6	   	291.79	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	167VULN|27DMG|3LWND|4CDMG|57DUR|7BPWR|8LIT|9RCR|aTLV
30	22325 41621	6	   	291.69	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	167VULN|27DMG|3DUST|4CDMG|57DUR|7BPWR|8LIT|9RCR|aTLV
31	22423 51334	6	   	291.34	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	1345VULN|27DMG|6CDMG|8RCR|9DUR|aTLV
32	22121 41624	6	   	291.19	DCR|3VULN|3DMG|2DUR|1CDMG	167VULN|27aDMG|3LWND|4CDMG|57DUR|7BPWR|8LIT|9RCR
33	44223 12323	8	   	290.67	DCR|4VULN|3DMG|2TLV	127DMG|3457VULN|67TLV|7BPWR|8CGEN|9AART|aRCR
34	44223 12123	7	   	290.57	DCR|4VULN|3DMG|2TLV	127DMG|3457VULN|67TLV|7BPWR|8ERES|9AART|aRCR
35	44223 12623	8	   	290.57	DCR|4VULN|3DMG|2TLV	127DMG|3457VULN|67TLV|7BPWR|8ERES|9AART|aRCR
36	42121 31614	9	   	290.55	DCR|3VULN|3DMG|2DUR|2ASPD	156DMG|2aCGEN|38ASPD|46aVULN|6aBPWR|7aDUR|9RCR
37	45121 32622	9	   	290.11	DCR|3VULN|3DMG|1TLV|1DUR|1ASPD	156DMG|2TLV|3ASPD|468VULN|6BPWR|7LIT|9DUR|aRCR
38	41361 25233	10	   	289.80	DCR|3VULN|3DMG|2DUR|1ASPD	16aDMG|2AART|3aDUR|4ERES|5ASPD|79aVULN|8RCR|aBPWR
39	22325 41111	6	   	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	1679VULN|27DMG|3DUST|4CDMG|57DUR|7BPWR|8BELT|aRCR
40	22423 16521	8	   	289.29	DCR|5VULN|2DMG|1TLV	13459VULN|28DMG|6TLV|7LIT|aRCR
41	44226 32233	7	   	289.24	DCR|3VULN|3DMG|2ASPD|2TLV	129DMG|348VULN|5AART|69TLV|79ASPD|9BPWR|aRCR
42	44223 12341	7	   	289.21	DCR|4VULN|3DMG|3TLV	127DMG|3457VULN|678TLV|7BPWR|9RCR|aLIT
43	22121 41622	6	 * 	288.77	DCR|3VULN|3DUR|2DMG|1CDMG	167VULN|27DMG|3LWND|4CDMG|57aDUR|7BPWR|8LIT|9RCR
44	22325 41622	6	   	288.67	DCR|3VULN|3DUR|2DMG|1CDMG	167VULN|27DMG|3DUST|4CDMG|57aDUR|7BPWR|8LIT|9RCR
45	23225 22334	9	   	288.37	DCR|3VULN|3DMG|3TLV|1DUR|1CDMG	17aVULN|2FEWX|37aDMG|4CDMG|5DUR|67aTLV|7aBPWR|8RCR|9RPLT
46	23225 22216	10	   	288.37	DCR|3VULN|3DMG|3TLV|1DUR|1CDMG	179VULN|2FEWX|379DMG|4CDMG|5DUR|679TLV|79BPWR|8DMSP|aRCR
47	23225 22416	10	   	288.37	DCR|3VULN|3DMG|3TLV|1DUR|1CDMG	179VULN|28FEWX|379DMG|4CDMG|5DUR|679TLV|79BPWR|aRCR
48	21231 56242	10	   	288.35	DCR|3VULN|2DMG|2DUR|2ASPD|1CDMG	167VULN|2LEGI|38DMG|47DUR|57ASPD|7BPWR|9CDMG|aRCR
49	51513 35233	7	   	288.16	DCR|4VULN|3ASPD|2TLV|1DMG	139ASPD|2AART|4DMG|59TLV|6789VULN|9BPWR|aRCR
50	21231 51215	10	 * 	287.92	DCR|3VULN|3DUR|2DMG|2ASPD	169VULN|2LEGI|38DMG|479DUR|59ASPD|9BPWR|aRCR
51	26232 25162	3	   	285.89	DCR|4VULN|2DMG|2DUR	149aVULN|2LWND|3aDMG|5BELT|6AART|7aDUR|8RCR|aBPWR
52	21262 25162	4	   	285.79	DCR|4VULN|2DMG|2DUR	149aVULN|2LEGI|3aDMG|5BELT|6AART|7aDUR|8RCR|aBPWR
53	43115 41122	6	   	285.49	DCR|3VULN|3DMG|2DUR|1TLV	147DMG|2RPLT|367VULN|57DUR|7BPWR|8RCR|9TLV|aCGEN
54	43115 41121	6	   	285.39	DCR|3VULN|3DMG|2DUR|1TLV	147DMG|2RPLT|367VULN|57DUR|7BPWR|8RCR|9TLV|aBBNT
55	43115 41123	6	   	285.39	DCR|3VULN|3DMG|2DUR|1TLV	147DMG|2RPLT|367VULN|57DUR|7BPWR|8RCR|9TLV|aDUST
56	22423 12422	7	   	284.89	DCR|5VULN|2DMG|2TLV	13457VULN|27DMG|67TLV|7BPWR|8RCR|9CGEN|aLHND
57	22423 12423	7	   	284.89	DCR|5VULN|2DMG|2TLV	13457VULN|27DMG|67TLV|7BPWR|8RCR|9CGEN|aZMB
58	22423 12425	7	   	284.89	DCR|5VULN|2DMG|2TLV	13457VULN|27DMG|67TLV|7BPWR|8RCR|9CGEN|aFEWX
59	22423 12432	7	   	284.89	DCR|5VULN|2DMG|2TLV	13457VULN|27DMG|67TLV|7BPWR|8RCR|9RMIN|aLHND
60	22423 12433	7	   	284.89	DCR|5VULN|2DMG|2TLV	13457VULN|27DMG|67TLV|7BPWR|8RCR|9RMIN|aZMB
61	22423 12435	7	   	284.89	DCR|5VULN|2DMG|2TLV	13457VULN|27DMG|67TLV|7BPWR|8RCR|9RMIN|aFEWX
62	22423 12462	7	   	284.89	DCR|5VULN|2DMG|2TLV	13457VULN|27DMG|67TLV|7BPWR|8RCR|9BELT|aDMSP
63	22423 12463	7	   	284.89	DCR|5VULN|2DMG|2TLV	13457VULN|27DMG|67TLV|7BPWR|8RCR|9BELT|aBEXP
64	22423 12421	7	   	284.79	DCR|5VULN|2DMG|2TLV	13457VULN|27DMG|67TLV|7BPWR|8RCR|9CGEN|aBBNT
65	22423 12431	7	   	284.79	DCR|5VULN|2DMG|2TLV	13457VULN|27DMG|67TLV|7BPWR|8RCR|9RMIN|aBBNT
66	22423 12442	7	   	284.79	DCR|5VULN|2DMG|2TLV	13457VULN|27DMG|67TLV|7BPWR|8RCR|9TBNT|aCGEN
67	22423 12443	7	   	284.79	DCR|5VULN|2DMG|2TLV	13457VULN|27DMG|67TLV|7BPWR|8RCR|9TBNT|aRCVC
68	23266 32512	8	   	284.53	DCR|4VULN|2DMG|2DUR	149aVULN|2FEWX|39DMG|5LWND|6LIT|79DUR|8RCR|9BPWR
69	22432 21112	3	   	284.43	DCR|4VULN|2DMG|2DUR	139aVULN|29DMG|4LIT|5MBVNT|6RCR|7LHND|89DUR|9BPWR
70	22532 21112	2	   	284.43	DCR|4VULN|2DMG|2DUR	139aVULN|29DMG|4LIT|5MBVNT|6RCR|7LHND|89DUR|9BPWR
71	26532 21112	1	   	284.43	DCR|4VULN|2DMG|2DUR	139aVULN|29DMG|4LIT|5MBVNT|6RCR|7LHND|89DUR|9BPWR
72	42532 21112	1	   	284.43	DCR|4VULN|2DMG|2DUR	19DMG|239aVULN|4LIT|5MBVNT|6RCR|7LHND|89DUR|9BPWR
73	41513 13233	10	   	284.36	DCR|3VULN|2DMG|2DUR|2ASPD	1aDMG|2AART|3aASPD|4ERES|569VULN|7aDUR|8RCR|aBPWR
