0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33384 48264	4	 * 	295.18	DCR|3VULN|3DMG|3DUR|3ASPD	1MBVNT|279DUR|389VULN|479DMG|567ASPD|79BPWR|aRCR
80	33383 38482	6	 * 	276.70	DCR|3VULN|2DMG|2TLV|2DUR	1MBVNT|29DUR|379VULN|48DMG|5ERES|69TLV|9BPWR|aRCR
81	33341 16663	10	   	276.58	DCR|4VULN|2DUR|1TLV|2ASPD	1MBVNT|29DUR|3479VULN|5LIT|6TLV|89ASPD|9BPWR|aRCR
82	33153 23733	2	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	1MBVNT|239DUR|39BPWR|4789VULN|59LIT|6RCR|aDMG
83	33333 24733	3	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	1MBVNT|279DUR|3489VULN|59LIT|6RCR|9BPWR|aDMG
84	33341 24733	5	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	1MBVNT|279DUR|3489VULN|59LIT|6RCR|9BPWR|aDMG
85	33343 24733	4	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	1MBVNT|279DUR|3489VULN|59LIT|6RCR|9BPWR|aDMG
86	33353 24733	4	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	1MBVNT|279DUR|3589VULN|49LIT|6RCR|9BPWR|aDMG
87	33363 23733	3	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	1MBVNT|249DUR|3789VULN|59LIT|6RCR|9BPWR|aDMG
88	33513 24733	2	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	1MBVNT|279DUR|39LIT|4589VULN|6RCR|9BPWR|aDMG
89	33553 23733	3	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	1MBVNT|239DUR|39BPWR|4789VULN|59LIT|6RCR|aDMG
90	33653 23733	3	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	1MBVNT|239DUR|4789VULN|59LIT|6RCR|9BPWR|aDMG
91	33753 23733	2	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	1MBVNT|239DUR|4789VULN|59LIT|6RCR|9BPWR|aDMG
92	34433 24733	1	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	1MBVNT|2389VULN|479DUR|59LIT|6RCR|9BPWR|aDMG
93	34733 24733	1	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	1MBVNT|2489VULN|379DUR|59LIT|6RCR|9BPWR|aDMG
94	34763 23733	1	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	1MBVNT|2789VULN|349DUR|59LIT|6RCR|9BPWR|aDMG
95	38331 24733	5	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	1MBVNT|2389VULN|479DUR|59LIT|6RCR|9BPWR|aDMG
96	38333 24733	4	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	1MBVNT|2389VULN|479DUR|59LIT|6RCR|9BPWR|aDMG
97	38333 24733	3	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	1MBVNT|2389VULN|479DUR|59LIT|6RCR|9BPWR|aDMG
98	38431 24733	5	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	1MBVNT|2389VULN|39BPWR|479DUR|59LIT|6RCR|aDMG
99	38433 24733	3	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	1MBVNT|2389VULN|39BPWR|479DUR|59LIT|6RCR|aDMG
100	38433 24733	2	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	1MBVNT|2389VULN|479DUR|59LIT|6RCR|9BPWR|aDMG
101	38433 24733	4	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	1MBVNT|2389VULN|39BPWR|479DUR|59LIT|6RCR|aDMG
102	38733 24733	2	   	274.07	DCR|4VULN|3DUR|1DMG|2LIT	1MBVNT|2489VULN|379DUR|59LIT|6RCR|9BPWR|aDMG
103	38342 44374	5	 * 	273.85	DCR|4VULN|2TLV|2DUR|1CDMG	1MBVNT|238aVULN|48TLV|5FEWX|6CDMG|78DUR|8BPWR|9RCR
104	38342 62374	7	   	273.85	DCR|4VULN|2TLV|2DUR|1CDMG	1MBVNT|238aVULN|48TLV|5FEWX|6CDMG|78DUR|8BPWR|9RCR
105	38342 64374	6	   	273.85	DCR|4VULN|2TLV|2DUR|1CDMG	1MBVNT|238aVULN|48TLV|5FEWX|6CDMG|78DUR|8BPWR|9RCR
106	38345 44374	4	   	273.85	DCR|4VULN|2TLV|2DUR|1CDMG	1MBVNT|238aVULN|48TLV|5FEWX|6CDMG|78DUR|8BPWR|9RCR
107	38442 44374	5	   	273.85	DCR|4VULN|2TLV|2DUR|1CDMG	1MBVNT|238aVULN|38BPWR|48TLV|5FEWX|6CDMG|78DUR|9RCR
108	38442 62374	7	   	273.85	DCR|4VULN|2TLV|2DUR|1CDMG	1MBVNT|238aVULN|38BPWR|48TLV|5FEWX|6CDMG|78DUR|9RCR
109	38442 64374	6	   	273.85	DCR|4VULN|2TLV|2DUR|1CDMG	1MBVNT|238aVULN|38BPWR|48TLV|5FEWX|6CDMG|78DUR|9RCR
110	38445 44374	4	   	273.85	DCR|4VULN|2TLV|2DUR|1CDMG	1MBVNT|238aVULN|38BPWR|48TLV|5FEWX|6CDMG|78DUR|9RCR
111	38346 24432	7	   	272.77	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	1MBVNT|238VULN|46TLV|56DUR|6BPWR|7CDMG|9RCR|aDMG
112	38446 24432	7	   	272.77	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	1MBVNT|238VULN|36BPWR|46TLV|56DUR|7CDMG|9RCR|aDMG
113	34783 23743	1	   	272.53	DCR|5VULN|2DUR|1DMG	1MBVNT|2478aVULN|34DUR|4BPWR|5LIT|6RCR|9DMG
114	33383 23743	3	   	272.53	DCR|5VULN|2DUR|1DMG	1MBVNT|24DUR|3478aVULN|4BPWR|5LIT|6RCR|9DMG
115	33383 23732	3	   	272.44	DCR|5VULN|3DUR|2LIT	1MBVNT|249DUR|34789VULN|49BPWR|59LIT|6RCR|aRMIN
116	33383 23733	3	   	272.44	DCR|5VULN|3DUR|2LIT	1MBVNT|249DUR|34789VULN|49BPWR|59LIT|6RCR|aCGEN
117	33383 23734	3	   	272.44	DCR|5VULN|3DUR|2LIT	1MBVNT|249DUR|34789VULN|49BPWR|59LIT|6RCR|aZMB
118	33383 23736	3	   	272.44	DCR|5VULN|3DUR|2LIT	1MBVNT|249DUR|34789VULN|49BPWR|59LIT|6RCR|aLWND
119	34783 23732	1	   	272.44	DCR|5VULN|3DUR|2LIT	1MBVNT|24789VULN|349DUR|49BPWR|59LIT|6RCR|aRMIN
120	34783 23733	1	   	272.44	DCR|5VULN|3DUR|2LIT	1MBVNT|24789VULN|349DUR|49BPWR|59LIT|6RCR|aCGEN
121	34783 23734	1	   	272.44	DCR|5VULN|3DUR|2LIT	1MBVNT|24789VULN|349DUR|49BPWR|59LIT|6RCR|aZMB
122	38328 62314	5	 * 	272.44	DCR|3VULN|3DUR|2TLV|1DMG	1MBVNT|238VULN|4RPLT|58TLV|678DUR|8BPWR|9DMG|aRCR
123	38328 62314	6	   	272.44	DCR|3VULN|3DUR|2TLV|1DMG	1MBVNT|238VULN|4RPLT|58TLV|678DUR|8BPWR|9DMG|aRCR
124	38346 48314	7	   	272.44	DCR|3VULN|3DUR|2TLV|1DMG	1MBVNT|238VULN|48TLV|568DUR|7RPLT|8BPWR|9DMG|aRCR
125	38346 52314	6	   	272.44	DCR|3VULN|3DUR|2TLV|1DMG	1MBVNT|238VULN|48TLV|578DUR|6RPLT|8BPWR|9DMG|aRCR
126	38428 62314	6	   	272.44	DCR|3VULN|3DUR|2TLV|1DMG	1MBVNT|238VULN|38BPWR|4RPLT|58TLV|678DUR|9DMG|aRCR
127	38428 62314	5	   	272.44	DCR|3VULN|3DUR|2TLV|1DMG	1MBVNT|238VULN|38BPWR|4RPLT|58TLV|678DUR|9DMG|aRCR
128	38446 48314	7	   	272.44	DCR|3VULN|3DUR|2TLV|1DMG	1MBVNT|238VULN|38BPWR|48TLV|568DUR|7RPLT|9DMG|aRCR
129	38446 52314	6	   	272.44	DCR|3VULN|3DUR|2TLV|1DMG	1MBVNT|238VULN|38BPWR|48TLV|578DUR|6RPLT|9DMG|aRCR
130	33383 23731	3	   	272.34	DCR|5VULN|3DUR|2LIT	1MBVNT|249DUR|34789VULN|49BPWR|59LIT|6RCR|aERES
131	34783 23731	1	   	272.34	DCR|5VULN|3DUR|2LIT	1MBVNT|24789VULN|349DUR|49BPWR|59LIT|6RCR|aERES
132	33382 61282	6	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	1MBVNT|29DUR|3679VULN|4DMG|5TLV|89CGEN|9BPWR|aRCR
133	34441 53382	1	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	1MBVNT|2349VULN|59CGEN|6DMG|7TLV|89DUR|9BPWR|aRCR
134	38341 53382	3	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	1MBVNT|2349VULN|59CGEN|6DMG|7TLV|89DUR|9BPWR|aRCR
135	38441 53382	2	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	1MBVNT|2349VULN|59CGEN|6DMG|7TLV|89DUR|9BPWR|aRCR
136	38441 53382	3	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	1MBVNT|2349VULN|39BPWR|59CGEN|6DMG|7TLV|89DUR|aRCR
137	38644 45433	8	 * 	272.09	DCR|4VULN|2DUR|1TLV|2CDMG	1MBVNT|2578VULN|38CDMG|48DUR|6RMIN|8BPWR|9RCR|aTLV
138	33383 23442	3	   	272.07	DCR|4VULN|3DUR|2LIT|1AART	1MBVNT|249DUR|3479VULN|49BPWR|59LIT|6RCR|8AART|aASPD
139	34783 23442	1	   	272.07	DCR|4VULN|3DUR|2LIT|1AART	1MBVNT|2479VULN|349DUR|49BPWR|59LIT|6RCR|8AART|aASPD
140	38783 23442	2	   	272.07	DCR|4VULN|3DUR|2LIT|1AART	1MBVNT|2479VULN|349DUR|49BPWR|59LIT|6RCR|8AART|aASPD
141	33334 54374	6	   	271.99	DCR|4VULN|2DUR|1TLV|2CDMG	1MBVNT|28DUR|368aVULN|4DUST|5TLV|78CDMG|8BPWR|9RCR
142	33382 62282	8	   	271.99	DCR|4VULN|2DUR|1TLV|1DMG	1MBVNT|29DUR|3689VULN|4DMG|5TLV|79ERES|9BPWR|aRCR
143	38613 24374	4	   	271.99	DCR|4VULN|2DUR|1TLV|2CDMG	1MBVNT|248aVULN|38CDMG|5DUST|6TLV|78DUR|8BPWR|9RCR
144	38623 24374	3	   	271.99	DCR|4VULN|2DUR|1TLV|2CDMG	1MBVNT|248aVULN|38CDMG|5DUST|6TLV|78DUR|8BPWR|9RCR
145	34443 74321	1	 * 	271.93	DCR|5VULN|1TLV|2ASPD|1DUR	1MBVNT|23468VULN|56ASPD|6BPWR|7TLV|9RCR|aDUR
146	38343 74321	3	   	271.93	DCR|5VULN|1TLV|2ASPD|1DUR	1MBVNT|23468VULN|56ASPD|6BPWR|7TLV|9RCR|aDUR
147	38443 74321	2	   	271.93	DCR|5VULN|1TLV|2ASPD|1DUR	1MBVNT|23468VULN|56ASPD|6BPWR|7TLV|9RCR|aDUR
148	38443 74321	3	   	271.93	DCR|5VULN|1TLV|2ASPD|1DUR	1MBVNT|23468VULN|36BPWR|56ASPD|7TLV|9RCR|aDUR
149	34443 55481	1	   	271.88	DCR|4VULN|2DMG|2DUR	1MBVNT|234aVULN|5ASPD|6aDMG|7aDUR|8RPLT|9RCR|aBPWR
150	33383 21343	3	   	271.78	DCR|4VULN|2DMG|2DUR	1MBVNT|24DUR|348aVULN|4BPWR|5LIT|6RCR|79DMG
151	34783 21343	1	   	271.78	DCR|4VULN|2DMG|2DUR	1MBVNT|248aVULN|34DUR|4BPWR|5LIT|6RCR|79DMG
152	38783 21343	2	   	271.78	DCR|4VULN|2DMG|2DUR	1MBVNT|248aVULN|34DUR|4BPWR|5LIT|6RCR|79DMG
153	33383 23448	3	   	271.53	DCR|4VULN|3DUR|2AART|2LIT	1MBVNT|249DUR|3479VULN|49BPWR|59LIT|6RCR|8aAART
154	34783 23448	1	   	271.53	DCR|4VULN|3DUR|2AART|2LIT	1MBVNT|2479VULN|349DUR|49BPWR|59LIT|6RCR|8aAART
155	33322 48512	10	 * 	270.71	ACR|4VULN|3DUR|2DMG|3CDMG	1MBVNT|29aDUR|369aVULN|4RCR|56DMG|69aBPWR|7DUST|89aCDMG
156	38336 24473	9	   	269.50	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|239VULN|469DUR|56CGEN|69BPWR|7CDMG|89DMG|aRCR
157	33346 62473	9	   	269.40	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|279DUR|349VULN|5CGEN|6CDMG|89DMG|9BPWR|aRCR
158	38336 44473	9	   	269.40	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|239VULN|469DUR|5CGEN|7CDMG|89DMG|9BPWR|aRCR
159	38436 44473	9	   	269.40	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|239VULN|39BPWR|469DUR|5CGEN|7CDMG|89DMG|aRCR
160	33346 44473	9	   	269.40	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|269DUR|349VULN|5CGEN|7CDMG|89DMG|9BPWR|aRCR
161	34443 74328	1	   	269.33	DCR|5VULN|1TLV|2ASPD|1CDMG	1MBVNT|23468VULN|56ASPD|6BPWR|7TLV|9RCR|aCDMG
162	38343 74328	3	   	269.33	DCR|5VULN|1TLV|2ASPD|1CDMG	1MBVNT|23468VULN|56ASPD|6BPWR|7TLV|9RCR|aCDMG
163	38443 74328	2	   	269.33	DCR|5VULN|1TLV|2ASPD|1CDMG	1MBVNT|23468VULN|56ASPD|6BPWR|7TLV|9RCR|aCDMG
164	38443 74328	3	   	269.33	DCR|5VULN|1TLV|2ASPD|1CDMG	1MBVNT|23468VULN|36BPWR|56ASPD|7TLV|9RCR|aCDMG
165	33316 34464	10	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|2aDUR|35aVULN|45LWND|5aBPWR|6TLV|7RCR|8aDMG|9RCVC
166	33314 54434	10	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|2aDUR|36aVULN|49LWND|5TLV|7RCR|8aDMG|aBPWR
167	33314 54464	10	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|2aDUR|36aVULN|4LWND|5TLV|7RCR|8aDMG|9RCVC|aBPWR
168	33382 28482	6	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|29DUR|379VULN|48DMG|5TLV|69CGEN|9BPWR|aRCR
169	33382 63282	7	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|29DUR|369VULN|47DMG|5TLV|89CGEN|9BPWR|aRCR
170	33382 18482	5	   	268.52	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|29DUR|379VULN|48DMG|5TLV|69ERES|9BPWR|aRCR
171	33382 62482	7	   	268.52	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|29DUR|369VULN|48DMG|5TLV|79ERES|9BPWR|aRCR
