0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16636 32233	7	 * 	284.15	DCR|5VULN|1TLV|1DMG|1DUR	1DUR|2TLV|3DMG|4789aVULN|5LIT|6RCR
37	16633 13312	9	   	270.43	DCR|3VULN|2DMG|2TLV|1DUR	1DUR|25TLV|36DMG|479VULN|8RCR|aLIT
38	16633 13314	9	   	270.43	DCR|3VULN|2DMG|2TLV|1DUR	1DUR|25TLV|36DMG|479VULN|8RCR|aASPD
39	16633 13343	8	   	270.43	DCR|3VULN|2DMG|2TLV|1DUR	1DUR|25TLV|36DMG|47aVULN|8RCR|9LIT
40	41213 41432	8	   	270.43	DCR|3VULN|2DMG|2TLV|1DUR	1ERES|289VULN|3ASPD|4DUR|59TLV|6DUST|79DMG|9BPWR|aRCR
41	63331 12161	10	   	270.18	DCR|2VULN|2DMG|2TLV|2DUR|1AART	1AART|28VULN|38TLV|4ASPD|57DUR|68DMG|8BPWR|9RPLT|aRCR
42	63322 33111	7	   	269.91	DCR|3VULN|3DUR|3TLV|2AART	18AART|247VULN|367TLV|567DUR|67BPWR|9RCR|aZMB
43	63322 33112	7	   	269.91	DCR|3VULN|3DUR|3TLV|2AART	18AART|247VULN|367TLV|567DUR|67BPWR|9RCR|aCGEN
44	63322 33114	7	   	269.91	DCR|3VULN|3DUR|3TLV|2AART	18AART|247VULN|367TLV|567DUR|67BPWR|9RCR|aRCVC
45	63322 33115	7	   	269.91	DCR|3VULN|3DUR|3TLV|2AART	18AART|247VULN|367TLV|567DUR|67BPWR|9RCR|aLHND
46	63322 33113	7	   	269.81	DCR|3VULN|3DUR|3TLV|2AART	18AART|247VULN|367TLV|567DUR|67BPWR|9RCR|aERES
47	63322 33116	7	   	269.81	DCR|3VULN|3DUR|3TLV|2AART	18AART|247VULN|367TLV|567DUR|67BPWR|9RCR|aBBNT
48	63322 11614	9	   	269.76	DCR|4VULN|2TLV|2DUR|1AART	1AART|248aVULN|37TLV|56DUR|9RCR
49	63311 43121	10	   	269.16	DCR|5VULN|1TLV|1DMG|1AART	1AART|2789aVULN|3TLV|4MBVNT|5DMG|6RCR
50	16522 33253	10	 * 	268.98	DCR|3VULN|3TLV|2DUR|1DMG|1AART	17DUR|267TLV|367VULN|4RCVC|5AART|67BPWR|8DMG|9CGEN|aRCR
51	63311 16821	10	   	268.40	DCR|4VULN|2DMG|1TLV|1AART	1AART|279aVULN|3TLV|4MBVNT|56DMG|8RCR
52	63311 43111	10	   	268.40	DCR|4VULN|2DMG|1TLV|1AART	1AART|278aVULN|3TLV|4MBVNT|59DMG|6RCR
53	63311 43126	9	   	268.40	DCR|4VULN|2DMG|1TLV|1AART	1AART|2789VULN|3TLV|4MBVNT|5aDMG|6RCR
54	63311 43176	8	   	268.40	DCR|4VULN|2DMG|1TLV|1AART	1AART|2789VULN|3TLV|4MBVNT|5aDMG|6RCR
55	63311 44121	10	   	268.40	DCR|4VULN|2DMG|1TLV|1AART	1AART|289aVULN|3TLV|4MBVNT|57DMG|6RCR
56	63114 12121	9	   	268.14	DCR|3VULN|3DMG|2DUR|1AART	1AART|289VULN|3DMSP|47DUR|589LWND|689DMG|89BPWR|aRCR
57	63115 12121	9	   	268.14	DCR|3VULN|3DMG|2DUR|1AART	1AART|289VULN|3DMSP|47DUR|589BEXP|689DMG|89BPWR|aRCR
58	12111 35165	9	   	267.94	DCR|3VULN|3DMG|2DUR|1AART	19DUR|2DMSP|3RMIN|49aDMG|5AART|6RCR|789VULN|9BPWR
59	63112 12121	9	   	267.84	DCR|3VULN|3DMG|2DUR|1AART	1AART|289VULN|3DMSP|47DUR|589DUST|689DMG|89BPWR|aRCR
60	63426 32111	8	   	267.74	DCR|3VULN|3DMG|2DUR|1AART	1AART|268VULN|37DUR|489DUST|568DMG|68BPWR|aRCR
61	16633 13263	10	 * 	267.66	DCR|2VULN|3DMG|2TLV|2DUR	19DUR|25TLV|368DMG|47VULN|aRCR
62	16633 13361	9	   	267.66	DCR|2VULN|3DMG|2TLV|2DUR	19DUR|25TLV|36aDMG|47VULN|8RCR
63	16635 22113	8	   	267.65	DCR|3VULN|2DUR|1TLV|1DMG	18DUR|2TLV|3DMG|47aVULN|5ASPD|6RCR|9LIT
64	16636 23223	9	   	267.65	DCR|3VULN|2DUR|1TLV|1DMG	18DUR|2TLV|3DMG|47aVULN|5LIT|6ASPD|9RCR
65	63321 31142	8	   	267.51	DCR|3VULN|3DUR|1TLV|1CDMG|1AART	1AART|249VULN|3TLV|5CDMG|678DUR|aRCR
66	63321 31342	7	   	267.51	DCR|3VULN|3DUR|1TLV|1CDMG|1AART	1AART|249VULN|3TLV|5CDMG|678DUR|aRCR
67	63326 16231	7	   	267.50	DCR|4VULN|2TLV|1DMG|1AART	1AART|2467VULN|37TLV|57CGEN|7BPWR|8RCR|9DMG|aASPD
68	16635 22132	10	   	267.42	DCR|3VULN|2TLV|2DUR|1DMG	18DUR|2aTLV|3DMG|479VULN|5ASPD|6RCR
69	63313 67212	9	 * 	267.41	DCR|3VULN|2DMG|1TLV|3LIT|1AART	1AART|26aVULN|3TLV|4MBVNT|58aLIT|7RCR|9aDMG|aBPWR
70	13232 32453	7	   	267.08	DCR|4VULN|2DUR|1TLV|2LIT	19DUR|29LIT|3CGEN|4TLV|579aVULN|6RCR|8RMIN|9BPWR
71	63311 43127	10	   	267.06	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1AART|2789VULN|3TLV|4MBVNT|5DMG|6RCR|aDUR
72	63311 43134	9	   	267.06	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1AART|278aVULN|3TLV|4MBVNT|5DMG|6RCR|9DUR
73	63314 24781	6	 * 	266.78	DCR|2VULN|3DMG|1TLV|2CDMG|1AART	1AART|27VULN|3TLV|4MBVNT|57CDMG|67aDMG|7BPWR|8ASPD|9RCR
74	13233 41453	7	   	266.09	DCR|3VULN|2DUR|1TLV|1DMG|2LIT	19DUR|25LIT|39CGEN|4TLV|6DMG|7RCR|89aVULN|9BPWR
75	12111 35166	10	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	19DUR|2DMSP|3RMIN|49DMG|5AART|6RCR|789VULN|9BPWR|aCDMG
76	13232 32243	7	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2LIT|3CGEN|4TLV|578aVULN|6RCR|9DMG
77	16635 22122	7	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2TLV|3DMG|479aVULN|5ASPD|6RCR|8BEXP
78	16635 22222	8	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2TLV|3DMG|479aVULN|5ASPD|6RCR|8FEWX
79	16636 32232	7	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2TLV|3DMG|4789VULN|5LIT|6RCR|aRPLT
80	16636 33233	6	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2TLV|3DMG|489aVULN|5LIT|6RCR|7RCVC
81	16635 22322	8	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2TLV|3DMG|479aVULN|5ASPD|6RCR|8DUST
82	16636 32231	7	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1DUR|2TLV|3DMG|4789VULN|5LIT|6RCR|aTBNT
83	16633 53311	10	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1DUR|25TLV|3DMG|4679VULN|8RCR|aFEWX
84	16633 53313	9	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1DUR|25TLV|3DMG|4679VULN|8RCR|aBEXP
85	16633 53313	10	   	265.48	DCR|4VULN|2TLV|1DMG|1DUR	1DUR|25TLV|3DMG|4679VULN|8RCR|aDUST
86	16635 22123	9	 * 	265.46	DCR|2VULN|3DUR|2DMG|1TLV	189DUR|2TLV|3aDMG|47VULN|5ASPD|6RCR
87	63314 64221	4	   	265.34	DCR|5VULN|1TLV|1DUR|1AART	1AART|25789VULN|3TLV|4MBVNT|6DUR|aRCR
88	16636 32222	7	 * 	264.72	DCR|3VULN|1TLV|2CDMG|1DMG|1DUR	1DUR|2TLV|3DMG|478VULN|5LIT|6RCR|9aCDMG
89	63311 43124	10	   	264.46	DCR|4VULN|1TLV|1DMG|1CDMG|1AART	1AART|2789VULN|3TLV|4MBVNT|5DMG|6RCR|aCDMG
90	16123 53341	4	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	147DUR|2TLV|37ERES|567VULN|7BPWR|8LWND|9RCR|aDMG
91	16123 53141	4	   	264.16	DCR|3VULN|3DUR|1TLV|1DMG	147DUR|2TLV|37ERES|567VULN|7BPWR|8DUST|9RCR|aDMG
92	63322 23652	7	   	263.77	DCR|3VULN|2TLV|2DUR|2LIT|1AART	1AART|24aVULN|37TLV|5aDUR|6aLIT|8RCR|9RMIN|aBPWR
93	63333 14127	10	   	263.70	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	1AART|278VULN|3TLV|48ASPD|5MBVNT|68DMG|8BPWR|9LWND|aRCR
94	63326 16312	7	   	263.69	DCR|4VULN|2TLV|1DUR|1AART	1AART|2467VULN|37TLV|57CGEN|7BPWR|8LIT|9DUR|aRCR
95	63311 43117	10	   	263.60	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1AART|278VULN|3TLV|4MBVNT|59DMG|6RCR|aDUR
96	63311 44127	10	   	263.60	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1AART|289VULN|3TLV|4MBVNT|57DMG|6RCR|aDUR
97	63311 44134	9	   	263.60	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1AART|28aVULN|3TLV|4MBVNT|57DMG|6RCR|9DUR
98	63311 16834	9	   	263.60	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1AART|27aVULN|3TLV|4MBVNT|56DMG|8RCR|9DUR
99	63311 43116	9	   	263.01	DCR|3VULN|3DMG|1TLV|1AART	1AART|278VULN|3TLV|4MBVNT|59aDMG|6RCR
100	63311 44116	9	   	263.01	DCR|3VULN|3DMG|1TLV|1AART	1AART|28aVULN|3TLV|4MBVNT|579DMG|6RCR
101	63311 44126	9	   	263.01	DCR|3VULN|3DMG|1TLV|1AART	1AART|289VULN|3TLV|4MBVNT|57aDMG|6RCR
102	63311 44176	8	   	263.01	DCR|3VULN|3DMG|1TLV|1AART	1AART|289VULN|3TLV|4MBVNT|57aDMG|6RCR
103	63311 42382	7	   	262.41	DCR|3VULN|2DMG|1TLV|2LIT|1AART	1AART|29aVULN|3TLV|4MBVNT|5aDMG|6RCR|7RCVC|8aLIT|aBPWR
104	63311 43352	7	   	262.41	DCR|3VULN|2DMG|1TLV|2LIT|1AART	1AART|27aVULN|3TLV|4MBVNT|5aDMG|6RCR|8aLIT|9DMSP|aBPWR
105	63311 48382	6	   	262.41	DCR|3VULN|2DMG|1TLV|2LIT|1AART	1AART|29aVULN|3TLV|4MBVNT|5aDMG|6RCR|7RCVC|8aLIT|aBPWR
106	63322 11616	9	   	262.36	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	1AART|248VULN|37TLV|56DUR|9RCR|aCDMG
107	16635 21122	7	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2TLV|37DMG|49aVULN|5ASPD|6RCR|8BEXP
108	16635 21222	8	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2TLV|37DMG|49aVULN|5ASPD|6RCR|8FEWX
109	16316 32226	7	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2TLV|3LIT|4FEWX|59DMG|6RCR|78aVULN
110	16635 21322	8	   	262.25	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2TLV|37DMG|49aVULN|5ASPD|6RCR|8DUST
111	16636 32211	7	   	262.25	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2TLV|3aDMG|478VULN|5LIT|6RCR|9TBNT
112	63322 36115	8	   	262.24	DCR|3VULN|3DUR|2TLV|1AART	1AART|248VULN|36TLV|568DUR|68BPWR|78BEXP|9BELT|aRCR
113	63322 13111	7	   	262.14	DCR|3VULN|3DUR|2TLV|1AART	1AART|247VULN|37TLV|567DUR|7BPWR|8MLV|9ZMB|aRCR
114	63322 13115	8	   	262.14	DCR|3VULN|3DUR|2TLV|1AART	1AART|247VULN|37TLV|567DUR|7BPWR|8BEXP|9BELT|aRCR
115	63322 13211	7	   	262.14	DCR|3VULN|3DUR|2TLV|1AART	1AART|247VULN|37TLV|567DUR|7BPWR|8CGEN|9ZMB|aRCR
116	63322 13251	8	   	262.14	DCR|3VULN|3DUR|2TLV|1AART	1AART|247VULN|37TLV|567DUR|7BPWR|8ZMB|9CGEN|aRCR
117	63322 13411	8	   	262.14	DCR|3VULN|3DUR|2TLV|1AART	1AART|247VULN|37TLV|567DUR|7BPWR|8CGEN|9ZMB|aRCR
118	61313 12235	2	   	262.14	DCR|3VULN|3DUR|2TLV|1AART	1AART|289DUR|3LWND|4BELT|58TLV|678VULN|8BPWR|aRCR
119	61313 22215	2	   	262.14	DCR|3VULN|3DUR|2TLV|1AART	1AART|268DUR|3LWND|4BELT|58TLV|789VULN|8BPWR|aRCR
120	16633 13311	10	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	1DUR|25TLV|36DMG|479VULN|8RCR|aFEWX
121	16633 13313	9	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	1DUR|25TLV|36DMG|479VULN|8RCR|aBEXP
122	16633 13316	10	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	1DUR|25TLV|36DMG|479VULN|8RCR|aCGEN
123	61113 12235	3	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	1AART|289DUR|3LEGI|4BELT|58TLV|678VULN|8BPWR|aRCR
124	61113 22215	3	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	1AART|268DUR|3LEGI|4BELT|58TLV|789VULN|8BPWR|aRCR
125	63322 13511	7	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	1AART|247VULN|37TLV|567DUR|7BPWR|8ERES|9ZMB|aRCR
126	63322 13542	10	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	1AART|247VULN|37TLV|567DUR|7BPWR|8MBVNT|9CGEN|aRCR
127	63322 13572	10	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	1AART|247VULN|37TLV|567DUR|7BPWR|8MBVNT|9RMIN|aRCR
128	63322 34263	7	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	1AART|249VULN|36TLV|56aDUR|6BPWR|7CGEN|8RCR
129	16633 13313	10	   	262.02	DCR|3VULN|2DMG|2TLV|1DUR	1DUR|25TLV|36DMG|479VULN|8RCR|aDUST
130	16633 13316	9	   	262.02	DCR|3VULN|2DMG|2TLV|1DUR	1DUR|25TLV|36DMG|479VULN|8RCR|aERES
131	63312 71231	8	   	262.00	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1AART|2aVULN|3TLV|4MBVNT|5aDUR|6MLV|7ASPD|8aDMG|9RCR|aBPWR
132	63312 71271	9	   	262.00	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1AART|2aVULN|3TLV|4MBVNT|5aDUR|6MLV|7ASPD|8aDMG|9RCR|aBPWR
133	63333 43382	7	   	261.96	DCR|4VULN|1TLV|2ASPD|2LIT|1AART	1AART|279aVULN|3TLV|4aASPD|5MBVNT|6RCR|8aLIT|aBPWR
134	63322 32263	6	   	261.94	DCR|3VULN|3DUR|2TLV|1AART	1AART|249VULN|36TLV|56aDUR|6BPWR|7ERES|8RCR
135	63312 11231	8	   	261.90	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1AART|2aVULN|3TLV|4MBVNT|5aDUR|6ERES|7ASPD|8aDMG|9RCR|aBPWR
136	63312 11271	9	   	261.90	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1AART|2aVULN|3TLV|4MBVNT|5aDUR|6ERES|7ASPD|8aDMG|9RCR|aBPWR
137	63112 43222	4	   	261.78	DCR|4VULN|2DUR|1TLV|1AART	1AART|2589VULN|3DMSP|45DUR|5BPWR|6RCR|7ZMB|aTLV
138	63112 44222	4	   	261.78	DCR|4VULN|2DUR|1TLV|1AART	1AART|2589VULN|3DMSP|45DUR|5BPWR|6RCR|7MLV|aTLV
139	63112 46222	4	   	261.78	DCR|4VULN|2DUR|1TLV|1AART	1AART|2589VULN|3DMSP|45DUR|5BPWR|6RCR|7RMIN|aTLV
140	63322 64214	6	   	261.78	DCR|4VULN|2DUR|1TLV|1AART	1AART|247aVULN|3TLV|57DUR|67MLV|7BPWR|8RCR|9MBVNT
141	16611 22232	10	   	261.77	DCR|2VULN|2DMG|2TLV|2DUR|1AART	14DUR|26TLV|36DMG|5AART|6BPWR|7RPLT|89VULN|aRCR
142	44522 32222	6	   	261.68	DCR|4VULN|2DUR|1TLV|1AART	1ERES|26DUR|3679VULN|4RCVC|5AART|6BPWR|8RCR|aTLV
143	61622 32222	6	   	261.58	DCR|4VULN|2DUR|1TLV|1AART	1AART|25DUR|36ERES|4679VULN|6BPWR|8RCR|aTLV
144	36663 13311	9	   	261.52	DCR|3VULN|3DMG|2TLV	1LWND|25TLV|36aDMG|479VULN|8RCR
145	63311 43114	10	   	261.00	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1AART|278VULN|3TLV|4MBVNT|59DMG|6RCR|aCDMG
146	63311 43534	9	   	261.00	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1AART|279VULN|3TLV|4MBVNT|5aDMG|6RCR|8CDMG
147	63311 44124	10	   	261.00	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1AART|289VULN|3TLV|4MBVNT|57DMG|6RCR|aCDMG
148	63311 16824	10	   	261.00	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1AART|279VULN|3TLV|4MBVNT|56DMG|8RCR|aCDMG
149	32342 13635	5	   	260.80	DCR|3VULN|2DUR|1TLV|1DMG|1AART	1LWND|25aVULN|3AART|45DUR|5BPWR|6FEWX|7RCR|8TLV|9DMG
150	32342 33635	6	   	260.80	DCR|3VULN|2DUR|1TLV|1DMG|1AART	1LWND|25aVULN|3AART|45DUR|5BPWR|6FEWX|7RCR|8TLV|9DMG
151	63311 43133	9	   	260.60	DCR|3VULN|2DUR|1TLV|1DMG|1AART	1AART|278VULN|3TLV|4MBVNT|5DMG|6RCR|9aDUR
152	16635 21113	8	   	260.54	DCR|2VULN|2DMG|2DUR|1TLV	18DUR|2TLV|37DMG|4aVULN|5ASPD|6RCR|9LIT
153	16636 23222	10	   	260.54	DCR|2VULN|2DMG|2DUR|1TLV	18DUR|2TLV|3aDMG|47VULN|5LIT|6ASPD|9RCR
154	16316 31231	7	   	260.42	DCR|2VULN|2DMG|2TLV|2DUR	1aDUR|29TLV|3LIT|4FEWX|59DMG|6RCR|7ERES|89VULN|9BPWR
155	16316 31631	8	   	260.42	DCR|2VULN|2DMG|2TLV|2DUR	1aDUR|29TLV|3LIT|4FEWX|59DMG|6RCR|7ERES|89VULN|9BPWR
156	13115 32223	8	   	260.33	DCR|4VULN|2DUR|1TLV	15DUR|2LIT|3LWND|479aVULN|6RCR|8TLV
157	13232 32263	7	   	260.33	DCR|4VULN|2DUR|1TLV	19DUR|2LIT|3CGEN|4TLV|578aVULN|6RCR
158	34315 32223	8	   	260.33	DCR|4VULN|2DUR|1TLV	1LWND|2LIT|35DUR|479aVULN|6RCR|8TLV
159	16633 13362	9	   	260.32	DCR|2VULN|2DMG|2TLV|2DUR	19DUR|25TLV|36DMG|47VULN|8RCR|aLIT
160	16635 21132	10	   	260.32	DCR|2VULN|2DMG|2TLV|2DUR	18DUR|2aTLV|37DMG|49VULN|5ASPD|6RCR
161	41213 41232	8	   	260.32	DCR|2VULN|2DMG|2TLV|2DUR	1ERES|29VULN|3ASPD|48DUR|59TLV|6DUST|79DMG|9BPWR|aRCR
162	16316 11262	5	   	259.97	DCR|3DMG|1VULN|2TLV|2DUR|1CDMG	17DUR|27TLV|3LIT|4FEWX|567DMG|7BPWR|8VULN|9RCR|aCDMG
163	16316 34222	7	   	259.97	DCR|3DMG|1VULN|2TLV|2DUR|1CDMG	17DUR|27TLV|3LIT|4FEWX|579DMG|6RCR|7BPWR|8VULN|aCDMG
164	32231 16316	7	   	259.79	DCR|2VULN|3DMG|2DUR|1TLV	17LWND|24VULN|3RCVC|57DUR|67aDMG|7BPWR|8TLV|9RCR
165	32231 16516	8	   	259.79	DCR|2VULN|3DMG|2DUR|1TLV	17LWND|24VULN|3RCVC|57DUR|67aDMG|7BPWR|8TLV|9RCR
166	32631 16316	7	   	259.79	DCR|2VULN|3DMG|2DUR|1TLV	17LWND|24VULN|3DMSP|57DUR|67aDMG|7BPWR|8TLV|9RCR
167	63321 36531	9	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1AART|249VULN|3TLV|5CDMG|6DUR|7DMG|8RCR|aLWND
168	63321 36532	10	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1AART|249VULN|3TLV|5CDMG|6DUR|7DMG|8RCR|aZMB
169	63321 36532	9	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1AART|249VULN|3TLV|5CDMG|6DUR|7DMG|8RCR|aLHND
170	63321 36533	10	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1AART|249VULN|3TLV|5CDMG|6DUR|7DMG|8RCR|aLHND
171	63311 63532	10	   	259.66	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1AART|279VULN|3TLV|4MBVNT|5DMG|6DUR|8CDMG|aRCR
172	63314 11822	10	   	259.66	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1AART|268VULN|3TLV|4MBVNT|5CDMG|7DUR|9DMG|aRCR
173	63321 36531	10	   	259.66	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1AART|249VULN|3TLV|5CDMG|6DUR|7DMG|8RCR|aDUST
174	63321 36533	9	   	259.66	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1AART|249VULN|3TLV|5CDMG|6DUR|7DMG|8RCR|aBBNT
