0	Index      	Bounty	 *	Score 	Summary	Detail	
1	45332 36233	2	 * 	278.50	DCR|4VULN|2DUR|2TLV|1DMG	13TLV|2368VULN|3BPWR|49DUR|5CGEN|7RCR|aDMG
92	34216 14232	6	   	253.13	DCR|4VULN|2DUR|2LIT	156ERES|28LIT|378aVULN|48DUR|8BPWR|9RCR
93	34216 53232	5	   	253.13	DCR|4VULN|2DUR|2LIT	157ERES|28LIT|368aVULN|48DUR|8BPWR|9RCR
94	35616 12232	7	   	253.13	DCR|4VULN|2DUR|2LIT	156ERES|278aVULN|38LIT|48DUR|8BPWR|9RCR
95	34313 22232	7	   	253.13	DCR|4VULN|2DUR|2LIT	135ERES|28LIT|48DUR|678aVULN|8BPWR|9RCR
96	34313 24232	6	   	253.13	DCR|4VULN|2DUR|2LIT	135ERES|28LIT|48DUR|678aVULN|8BPWR|9RCR
97	34341 22232	7	   	253.13	DCR|4VULN|2DUR|2LIT	134ERES|28LIT|58DUR|678aVULN|8BPWR|9RCR
98	34341 24232	6	   	253.13	DCR|4VULN|2DUR|2LIT	134ERES|28LIT|58DUR|678aVULN|8BPWR|9RCR
99	13236 66232	5	   	252.99	DCR|5VULN|1DUR|1AART	1FEWX|2RCVC|3458aVULN|6DUR|7RCR|9AART
100	35336 16232	2	   	252.89	DCR|5VULN|1DUR|1AART	13ERES|2358aVULN|3BPWR|4DUR|6ZMB|7RCR|9AART
101	31151 44111	2	   	252.84	DCR|5VULN|2LIT|1ASPD	127ERES|34678VULN|57LIT|7BPWR|9ASPD|aRCR
102	33151 44111	2	   	252.84	DCR|5VULN|2LIT|1ASPD	127ERES|27BPWR|34678VULN|57LIT|9ASPD|aRCR
103	13233 12464	9	   	252.55	DCR|3VULN|2DMG|1DUR|1CDMG	1aFEWX|2RCVC|34aVULN|5DUR|6CDMG|7RCR|8aDMG|9LEGI|aBPWR
104	44212 32353	10	   	252.26	DCR|4VULN|2TLV|1DUR	19TLV|2LIT|3689VULN|4DUR|5LWND|79FEWX|9BPWR|aRCR
105	42433 11422	9	 * 	252.17	DCR|3VULN|2DMG|3TLV|1AART	157TLV|2BEXP|37DMG|47aVULN|6MBVNT|7BPWR|8AART|9RCR
106	42433 11424	10	   	252.17	DCR|3VULN|2DMG|3TLV|1AART	157TLV|2BEXP|37DMG|47aVULN|6MBVNT|7BPWR|8AART|9RCR
107	42433 11432	8	   	252.17	DCR|3VULN|2DMG|3TLV|1AART	157TLV|2BEXP|37DMG|47aVULN|6MBVNT|7BPWR|8AART|9RCR
108	42433 11464	10	   	252.17	DCR|3VULN|2DMG|3TLV|1AART	157TLV|2BEXP|37DMG|479VULN|6MBVNT|7BPWR|8AART|aRCR
109	16412 22142	1	   	252.15	DCR|3VULN|2DUR|1DMG|1TLV	1aFEWX|236VULN|46DUR|5RMIN|6BPWR|7TLV|8RCR|9DMG
110	25352 22612	9	 * 	252.08	DCR|3VULN|2ASPD|1DMG|1TLV|1AART	1ZMB|278VULN|35ASPD|4TLV|6AART|9DMG|aRCR
111	43433 11422	9	   	252.07	DCR|3VULN|2DMG|3TLV|1AART	157TLV|2DUST|37DMG|47aVULN|6MBVNT|7BPWR|8AART|9RCR
112	43433 11432	8	   	252.07	DCR|3VULN|2DMG|3TLV|1AART	157TLV|2DUST|37DMG|47aVULN|6MBVNT|7BPWR|8AART|9RCR
113	16412 22141	1	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1FEWX|236VULN|46DUR|5RMIN|6BPWR|7TLV|8RCR|9DMG|aERES
114	21524 61353	8	   	251.70	DCR|4VULN|3DUR	147ZMB|28ERES|3MBVNT|5789VULN|678DUR|78BPWR|aRCR
115	35332 36236	2	   	251.60	DCR|4VULN|3DUR	13aERES|2368VULN|3aBPWR|49aDUR|5aCGEN|7RCR
116	35351 41322	2	   	251.43	DCR|5VULN|1DUR	137ERES|2346aVULN|3BPWR|5LIT|8RCR|9DUR
117	25312 51323	7	 * 	250.57	DCR|3VULN|3DUR|2ASPD	179ZMB|267VULN|39ASPD|49LHND|578DUR|79BPWR|aRCR
118	45133 12431	10	   	250.10	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1TLV|24VULN|3MLV|5DUR|6CDMG|7RCR|8aDMG|9LIT
119	31151 44321	2	   	249.55	DCR|4VULN|1DUR|2LIT|1ASPD	127ERES|3467VULN|57LIT|7BPWR|8RCR|9DUR|aASPD
120	33151 44321	2	   	249.55	DCR|4VULN|1DUR|2LIT|1ASPD	127ERES|27BPWR|3467VULN|57LIT|8RCR|9DUR|aASPD
121	13233 12415	8	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1FEWX|2RCVC|34aVULN|59DUR|6CDMG|7RCR|8DMG
122	13233 12466	7	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1FEWX|2RCVC|349VULN|58DUR|6CDMG|7RCR|aDMG
123	45332 21215	2	   	249.45	DCR|3VULN|2DUR|2TLV|1CDMG	13TLV|23aVULN|3BPWR|49DUR|5CGEN|6CDMG|7ZMB|8RCR
124	45332 23215	2	   	249.45	DCR|3VULN|2DUR|2TLV|1CDMG	13TLV|23aVULN|3BPWR|49DUR|5CGEN|6CDMG|7MLV|8RCR
125	35322 51214	10	   	249.28	DCR|4VULN|2DUR|1ASPD	178ERES|247aVULN|3BEXP|5ASPD|67DUR|7BPWR|9RCR
126	31232 61325	9	 * 	249.25	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR	125ERES|38ASPD|4DUR|68DMG|78VULN|8BPWR|9RCR|aTLV
127	33232 61325	9	   	249.25	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR	125ERES|28BPWR|38ASPD|4DUR|68DMG|78VULN|9RCR|aTLV
128	13233 56252	6	 * 	249.12	DCR|3VULN|3DUR|2TLV	1aFEWX|2RCVC|348VULN|56aDUR|7RCR|9aTLV|aBPWR
129	13233 66252	5	   	249.12	DCR|3VULN|3DUR|2TLV	1aFEWX|2RCVC|348VULN|56aDUR|7RCR|9aTLV|aBPWR
130	45332 36332	2	   	249.02	DCR|3VULN|3DUR|2TLV	13TLV|236VULN|3BPWR|489DUR|5CGEN|7RCR|aFEWX
131	35412 61111	9	   	249.02	DCR|3VULN|3DUR|1DMG	17ERES|27aVULN|3DMG|4LHND|567DUR|7BPWR|8MLV|9RCR
132	35412 51211	10	   	248.92	DCR|3VULN|3DUR|1DMG	178ERES|267VULN|3DMG|4LHND|57aDUR|7BPWR|9RCR
133	45332 36333	2	   	248.92	DCR|3VULN|3DUR|2TLV	13TLV|236VULN|3BPWR|489DUR|5CGEN|7RCR|aLEGI
134	35323 51211	10	   	248.92	DCR|3VULN|3DUR|1DMG	178ERES|247VULN|3BEXP|5DMG|67aDUR|7BPWR|9RCR
135	35433 51211	10	   	248.92	DCR|3VULN|3DUR|1DMG	178ERES|247VULN|3DMG|5LWND|67aDUR|7BPWR|9RCR
136	45332 36331	2	   	248.78	DCR|3VULN|3DUR|2TLV|1SELL	13TLV|236VULN|3BPWR|489DUR|5CGEN|7RCR|aSELL
137	31232 61324	9	 * 	248.66	DCR|2VULN|3DMG|2ASPD|1DUR	125ERES|38ASPD|4DUR|68aDMG|78VULN|8BPWR|9RCR
138	33232 61324	9	   	248.66	DCR|2VULN|3DMG|2ASPD|1DUR	125ERES|28BPWR|38ASPD|4DUR|68aDMG|78VULN|9RCR
