0	Index      	Bounty	 *	Score 	Summary	Detail	
1	44213 41233	9	 * 	273.17	DCR|3VULN|3DMG|2ASPD|1CDMG	1RPLT|249VULN|34ASPD|4BPWR|578DMG|6CDMG|aRCR
30	44213 52121	8	   	260.11	DCR|3VULN|2DMG|2ASPD|1TLV	1RPLT|247VULN|34ASPD|4BPWR|58DMG|6LWND|9RCR|aTLV
31	44213 62121	8	   	260.11	DCR|3VULN|2DMG|2ASPD|1TLV	1RPLT|247VULN|34ASPD|4BPWR|58DMG|6FEWX|9RCR|aTLV
32	44213 12121	8	   	260.01	DCR|3VULN|2DMG|2ASPD|1TLV	1RPLT|247VULN|34ASPD|4BPWR|58DMG|6DUST|9RCR|aTLV
33	44213 12621	7	   	260.01	DCR|3VULN|2DMG|2ASPD|1TLV	1RPLT|247VULN|34ASPD|4BPWR|58DMG|6DUST|9RCR|aTLV
34	44213 32121	8	   	260.01	DCR|3VULN|2DMG|2ASPD|1TLV	1RPLT|247VULN|34ASPD|4BPWR|58DMG|6LEGI|9RCR|aTLV
35	44213 32621	7	   	260.01	DCR|3VULN|2DMG|2ASPD|1TLV	1RPLT|247VULN|34ASPD|4BPWR|58DMG|6LEGI|9RCR|aTLV
36	26111 11364	8	 * 	259.76	DCR|2VULN|3DUR|2DMG|2TLV|1NUKE	18TLV|2aVULN|3RCVC|458DUR|6NUKE|78DMG|8BPWR|9RCR
37	26461 11333	10	   	259.76	DCR|2VULN|3DUR|2DMG|2TLV|1NUKE	18TLV|24VULN|358DUR|6NUKE|78DMG|8BPWR|9BEXP|aRCR
38	55332 11441	4	 * 	259.54	DCR|2VULN|3ASPD|2DUR|2TLV|1DMG|1SELL	1SELL|2MBVNT|358ASPD|45TLV|58BPWR|68VULN|78DUR|9DMG|aRCR
39	26213 15412	4	   	259.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1TLV|245VULN|3CGEN|6CDMG|7DUR|8RCR|9LIT|aDMG
40	26223 15412	2	   	259.42	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1TLV|235VULN|4CGEN|6CDMG|7DUR|8RCR|9LIT|aDMG
41	44323 32134	2	   	258.81	DCR|4VULN|2CDMG|1TLV|2LIT	16RPLT|2579VULN|39LIT|49CDMG|8RCR|9BPWR|aTLV
42	44621 13213	9	 * 	258.64	DCR|4VULN|2DUR|2CDMG	1RPLT|2679VULN|39CDMG|4BEXP|56LHND|69BPWR|89DUR|aRCR
43	26323 61235	2	   	258.54	DCR|4VULN|2DUR|2TLV	1aTLV|289aVULN|3MLV|4FEWX|5aDUR|6RCR|7RCVC|aBPWR
44	22645 21123	10	   	258.01	DCR|3VULN|2DMG|1TLV|1ASPD	1TLV|2DUST|3LIT|469VULN|57DMG|8RCR|aASPD
45	44213 32153	9	   	257.41	DCR|3VULN|2DMG|2ASPD|1CDMG	1RPLT|247VULN|34ASPD|4BPWR|58DMG|6LEGI|9CDMG|aRCR
46	65223 35122	8	   	256.76	DCR|3VULN|2DMG|1CDMG|1ASPD|1AART	157VULN|2DUST|3CDMG|4AART|6RCR|89DMG|aASPD
47	62114 61333	10	   	256.57	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	18VULN|28ZMB|3RCVC|46DUR|5TLV|78DMG|8BPWR|9RCR|aCDMG
48	62114 61332	10	   	256.15	DCR|2VULN|3DUR|2DMG|1TLV	18VULN|28ZMB|3RCVC|46aDUR|5TLV|78DMG|8BPWR|9RCR
49	26461 11232	10	   	255.85	DCR|2VULN|3DUR|2DMG|1TLV|1NUKE	1TLV|24VULN|35aDUR|6NUKE|78DMG|9RCR
50	55322 32446	5	 * 	255.51	DCR|3VULN|3ASPD|2TLV|1DMG|1SELL	1SELL|2MBVNT|368ASPD|48aVULN|58TLV|7RCR|8BPWR|9DMG
51	11645 22122	10	   	255.45	DCR|5VULN|1DMG	1BEXP|2CGEN|3LIT|4679aVULN|5DMG|8RCR
52	44314 12232	2	   	255.45	DCR|5VULN|1DMG	1RPLT|25789VULN|3LIT|4FEWX|6RCR|aDMG
53	65223 36333	10	   	255.43	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	159VULN|2DUST|3CDMG|4AART|6RCR|7DMG|8ASPD|aDUR
54	65223 36333	9	   	255.43	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	159VULN|2DUST|3CDMG|4AART|6RCR|7DMG|8ASPD|aDUR
55	31113 36635	8	   	255.05	DCR|4VULN|2DMG|1AART	1RMIN|2aZMB|3aDMG|4AART|568aVULN|7RPLT|9RCR|aBPWR
56	26243 24322	2	   	254.76	DCR|4VULN|1DMG|1TLV|1ASPD	1TLV|2357VULN|4ERES|6DMG|8MLV|9ASPD|aRCR
57	26212 64233	2	   	254.62	DCR|4VULN|2DUR|1TLV	1TLV|2389VULN|4ZMB|5FEWX|6RCR|7aDUR
58	23633 22232	7	   	254.00	DCR|3VULN|2TLV|1DMG|1ASPD|1AART	15TLV|2RPLT|3AART|456VULN|5BPWR|7ASPD|8LIT|9DMG|aRCR
59	23633 22232	8	   	254.00	DCR|3VULN|2TLV|1DMG|1ASPD|1AART	15TLV|2RPLT|3AART|456VULN|5BPWR|7ASPD|8LIT|9DMG|aRCR
60	62216 61331	9	   	253.58	DCR|3VULN|2DMG|2DUR	148VULN|28ZMB|3CGEN|56DUR|78DMG|8BPWR|9RCR|aRMIN
61	65223 33126	8	   	253.53	DCR|3VULN|2DMG|2AART|1CDMG	15aVULN|2DUST|3CDMG|47AART|6RCR|89DMG
62	11645 21122	10	   	253.50	DCR|4VULN|2DMG	1BEXP|2CGEN|3LIT|469aVULN|57DMG|8RCR
63	33645 21122	10	   	253.50	DCR|4VULN|2DMG	1RMIN|2FEWX|3LIT|469aVULN|57DMG|8RCR
64	62216 61332	9	   	253.48	DCR|3VULN|2DMG|2DUR	148VULN|28ZMB|3CGEN|56DUR|78DMG|8BPWR|9RCR|aMBVNT
65	62216 61333	9	   	253.48	DCR|3VULN|2DMG|2DUR	148VULN|28ZMB|3CGEN|56DUR|78DMG|8BPWR|9RCR|aTBNT
66	23633 61421	10	 * 	253.41	DCR|4VULN|3TLV|1DUR|1AART	156TLV|2RPLT|3AART|4578VULN|58BPWR|9DUR|aRCR
67	52312 14324	8	   	253.34	DCR|3VULN|2DMG|2DUR|1SELL	1SELL|2RPLT|39DMG|459VULN|6LWND|7MLV|89DUR|9BPWR|aRCR
68	52312 34324	8	   	253.34	DCR|3VULN|2DMG|2DUR|1SELL	1SELL|2RPLT|39DMG|459VULN|6BEXP|7MLV|89DUR|9BPWR|aRCR
69	56211 13332	10	   	253.31	DCR|2VULN|3DUR|2DMG|1CDMG|1SELL	1SELL|2DMSP|38VULN|48DMG|5CDMG|6CGEN|78aDUR|8BPWR|9RCR
70	51311 15333	10	   	253.31	DCR|2VULN|3DUR|2DMG|1CDMG|1SELL	1SELL|238DUR|48DMG|5CDMG|6CGEN|78VULN|8BPWR|9BEXP|aRCR
71	51311 15361	8	   	253.31	DCR|2VULN|3DUR|2DMG|1CDMG|1SELL	1SELL|238DUR|48DMG|5CDMG|6CGEN|78VULN|8BPWR|9RCR|aBEXP
72	51311 15363	8	   	253.31	DCR|2VULN|3DUR|2DMG|1CDMG|1SELL	1SELL|238DUR|48DMG|5CDMG|6CGEN|78VULN|8BPWR|9RCR|aZMB
73	56111 15332	10	   	253.31	DCR|2VULN|3DUR|2DMG|1CDMG|1SELL	1SELL|2DMSP|38aDUR|48DMG|5CDMG|6CGEN|78VULN|8BPWR|9RCR
74	51311 35361	8	   	253.21	DCR|2VULN|3DUR|2DMG|1CDMG|1SELL	1SELL|238DUR|48DMG|5CDMG|6ERES|78VULN|8BPWR|9RCR|aBEXP
75	51311 35363	8	   	253.21	DCR|2VULN|3DUR|2DMG|1CDMG|1SELL	1SELL|238DUR|48DMG|5CDMG|6ERES|78VULN|8BPWR|9RCR|aZMB
76	56111 35332	10	   	253.21	DCR|2VULN|3DUR|2DMG|1CDMG|1SELL	1SELL|2DMSP|38aDUR|48DMG|5CDMG|6ERES|78VULN|8BPWR|9RCR
77	56211 33332	10	   	253.21	DCR|2VULN|3DUR|2DMG|1CDMG|1SELL	1SELL|2DMSP|38VULN|48DMG|5CDMG|6ERES|78aDUR|8BPWR|9RCR
78	51311 15362	8	   	253.21	DCR|2VULN|3DUR|2DMG|1CDMG|1SELL	1SELL|238DUR|48DMG|5CDMG|6CGEN|78VULN|8BPWR|9RCR|aTBNT
79	51311 35362	8	   	253.11	DCR|2VULN|3DUR|2DMG|1CDMG|1SELL	1SELL|238DUR|48DMG|5CDMG|6ERES|78VULN|8BPWR|9RCR|aTBNT
80	51311 15363	9	   	253.06	DCR|2VULN|3DUR|2DMG|1CDMG|2SELL	19SELL|238DUR|48DMG|5CDMG|6CGEN|78VULN|8BPWR|aRCR
81	51311 35363	9	   	252.96	DCR|2VULN|3DUR|2DMG|1CDMG|2SELL	19SELL|238DUR|48DMG|5CDMG|6ERES|78VULN|8BPWR|aRCR
82	63221 33322	8	   	252.83	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	19aVULN|2FEWX|3CDMG|4AART|5DMG|6DUR|7LIT|8RCR
83	63221 33332	9	   	252.83	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	19aVULN|2FEWX|3CDMG|4AART|5DMG|6DUR|7LIT|8RCR
84	63221 33332	10	   	252.83	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	19aVULN|2FEWX|3CDMG|4AART|5DMG|6DUR|7LIT|8RCR
85	63221 33622	7	   	252.83	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	19aVULN|2FEWX|3CDMG|4AART|5DMG|6DUR|7LIT|8RCR
86	65221 32322	8	   	252.73	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	19aVULN|2DUST|3CDMG|4AART|5DMG|6DUR|7LIT|8RCR
87	65221 32332	9	   	252.73	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	19aVULN|2DUST|3CDMG|4AART|5DMG|6DUR|7LIT|8RCR
88	65221 32333	10	   	252.73	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	19aVULN|2DUST|3CDMG|4AART|5DMG|6DUR|7LIT|8RCR
89	65221 32622	7	   	252.73	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	19aVULN|2DUST|3CDMG|4AART|5DMG|6DUR|7LIT|8RCR
90	65223 36322	7	   	252.73	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	15aVULN|2DUST|3CDMG|4AART|6RCR|7DMG|8LIT|9DUR
91	41323 41213	9	 * 	252.67	DCR|2VULN|3DMG|2ASPD|2CDMG	1RPLT|2DMSP|39ASPD|49VULN|578DMG|69CDMG|9BPWR|aRCR
92	43323 41213	9	   	252.67	DCR|2VULN|3DMG|2ASPD|2CDMG	1RPLT|2RCVC|39ASPD|49VULN|578DMG|69CDMG|9BPWR|aRCR
93	44213 41233	8	   	252.57	DCR|2VULN|3DMG|2ASPD|2CDMG	1RPLT|24VULN|34ASPD|4BPWR|578DMG|69CDMG|aRCR
94	11541 32142	1	   	252.37	DCR|3VULN|3DUR|1CDMG|1AART	17BEXP|2BBNT|3CDMG|478DUR|57aVULN|6RCR|7BPWR|9AART
95	11533 32142	1	   	252.37	DCR|3VULN|3DUR|1CDMG|1AART	17BEXP|2BBNT|3CDMG|47aVULN|578DUR|6RCR|7BPWR|9AART
96	61113 15112	2	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	17aVULN|2CGEN|3TBNT|4DUR|59DMG|6CDMG|8RCR
97	55323 51213	9	   	252.33	DCR|2VULN|3DMG|2ASPD|2CDMG|1SELL	1SELL|2MBVNT|39ASPD|49VULN|578DMG|69CDMG|9BPWR|aRCR
98	44213 52123	8	   	252.17	DCR|3VULN|2DMG|2ASPD	1RPLT|247VULN|34ASPD|4BPWR|58DMG|6LWND|9RCR|aLIT
99	44213 62123	8	   	252.17	DCR|3VULN|2DMG|2ASPD	1RPLT|247VULN|34ASPD|4BPWR|58DMG|6FEWX|9RCR|aLIT
100	11645 22132	10	   	252.16	DCR|4VULN|1DMG|1DUR	1BEXP|2CGEN|3LIT|467aVULN|5DMG|8RCR|9DUR
101	23364 12232	5	   	252.16	DCR|4VULN|1DMG|1TLV	1TLV|2RPLT|3LIT|4RMIN|5789VULN|6RCR|aDMG
102	26622 16221	6	   	252.15	DCR|3VULN|2DUR|1DMG|1TLV	1TLV|269VULN|3FEWX|4BEXP|56DUR|6BPWR|7RCR|8CGEN|aDMG
103	44212 13513	10	 * 	252.15	DCR|3VULN|3ASPD|2TLV|1DUR	1RPLT|248VULN|348ASPD|48BPWR|58TLV|6RMIN|7DMSP|9DUR|aRCR
104	23633 23522	8	   	252.12	DCR|4VULN|2TLV|2LIT|1AART	15TLV|2RPLT|3AART|4569VULN|5BPWR|78LIT|aRCR
105	23633 23552	9	   	252.12	DCR|4VULN|2TLV|2LIT|1AART	15TLV|2RPLT|3AART|4569VULN|5BPWR|78LIT|aRCR
106	26213 25622	4	   	252.08	DCR|3VULN|2ASPD|1DMG|1TLV|1AART	1TLV|245VULN|3CGEN|6DMG|7AART|89ASPD|aRCR
107	26223 25622	2	   	252.08	DCR|3VULN|2ASPD|1DMG|1TLV|1AART	1TLV|235VULN|4CGEN|6DMG|7AART|89ASPD|aRCR
108	44213 12123	8	   	252.07	DCR|3VULN|2DMG|2ASPD	1RPLT|247VULN|34ASPD|4BPWR|58DMG|6DUST|9RCR|aLIT
109	44213 12623	7	   	252.07	DCR|3VULN|2DMG|2ASPD	1RPLT|247VULN|34ASPD|4BPWR|58DMG|6DUST|9RCR|aLIT
110	44213 32123	8	   	252.07	DCR|3VULN|2DMG|2ASPD	1RPLT|247VULN|34ASPD|4BPWR|58DMG|6LEGI|9RCR|aLIT
111	44213 32623	7	   	252.07	DCR|3VULN|2DMG|2ASPD	1RPLT|247VULN|34ASPD|4BPWR|58DMG|6LEGI|9RCR|aLIT
112	26265 22121	2	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1TLV|239VULN|4LHND|5RPLT|6DMG|7RCR|8aDUR
113	34134 33243	4	   	252.05	DCR|3VULN|2DUR|2CDMG|1TLV	1RMIN|2RCVC|39DUR|489VULN|5TLV|6ERES|79CDMG|9BPWR|aRCR
114	34134 33243	5	   	252.05	DCR|3VULN|2DUR|2CDMG|1TLV	1RMIN|2RCVC|39DUR|489VULN|5TLV|6ERES|79CDMG|9BPWR|aRCR
115	36134 33243	4	   	252.05	DCR|3VULN|2DUR|2CDMG|1TLV	1RMIN|29DUR|3RCVC|489VULN|5TLV|6ERES|79CDMG|9BPWR|aRCR
116	36134 33243	5	   	252.05	DCR|3VULN|2DUR|2CDMG|1TLV	1RMIN|29DUR|3RCVC|489VULN|5TLV|6ERES|79CDMG|9BPWR|aRCR
117	33562 16321	6	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1RMIN|2FEWX|3LEGI|469VULN|56DUR|6BPWR|7RCR|8TLV|aDMG
118	26463 31321	5	   	252.01	DCR|2VULN|3DUR|1DMG|1TLV|1CDMG	1TLV|24VULN|37aDUR|5CDMG|6DMG|8DMSP|9RCR
119	44213 22122	5	 * 	251.95	DCR|3VULN|3ASPD|1DMG|1TLV	1RPLT|24aVULN|347ASPD|4BPWR|5DMG|6BBNT|8RCR|9TLV
120	44213 22152	5	   	251.95	DCR|3VULN|3ASPD|1DMG|1DUR	1RPLT|24aVULN|347ASPD|4BPWR|5DMG|6BBNT|8RCR|9DUR
121	55322 32421	5	   	251.70	DCR|3VULN|3ASPD|2TLV|1DUR|1SELL	1SELL|2MBVNT|368ASPD|489VULN|58TLV|7RCR|8BPWR|aDUR
122	55322 32482	5	   	251.70	DCR|3VULN|3ASPD|2TLV|1DUR|1SELL	1SELL|2MBVNT|368ASPD|48aVULN|58TLV|7RCR|8BPWR|9DUR
123	65223 31361	9	   	251.61	DCR|3VULN|1DUR|1TLV|1CDMG|1ASPD|1AART	15aVULN|2DUST|3CDMG|4AART|6RCR|7TLV|8ASPD|9DUR
124	65223 31362	10	   	251.61	DCR|3VULN|1DUR|1TLV|1CDMG|1ASPD|1AART	15aVULN|2DUST|3CDMG|4AART|6RCR|7TLV|8ASPD|9DUR
125	22642 26122	10	   	251.43	DCR|5VULN|1TLV	1TLV|2DUST|3LIT|4679aVULN|5ERES|8RCR
126	62114 61331	10	   	251.23	DCR|2VULN|2DMG|2DUR|1TLV	18VULN|28ZMB|3RCVC|46DUR|5TLV|78DMG|8BPWR|9RCR|aLIT
127	44212 26332	7	   	251.17	DCR|2VULN|2DMG|2ASPD|1TLV|1AART	1RPLT|24VULN|34ASPD|4BPWR|5TLV|6AART|79DMG|8LIT|aRCR
128	26461 11231	10	   	250.93	DCR|2VULN|2DMG|2DUR|1TLV|1NUKE	1TLV|24VULN|35DUR|6NUKE|78DMG|9RCR|aLIT
129	26461 11233	9	   	250.93	DCR|2VULN|2DMG|2DUR|1TLV|1NUKE	1TLV|24VULN|35DUR|6NUKE|78DMG|9RCR|aLIT
130	44213 12215	8	   	250.73	DCR|3VULN|2ASPD|1DMG|1TLV	1RPLT|247VULN|34ASPD|4BPWR|5DMG|6DUST|8TLV|9LIT|aRCR
131	44213 32215	8	   	250.73	DCR|3VULN|2ASPD|1DMG|1TLV	1RPLT|247VULN|34ASPD|4BPWR|5DMG|6LEGI|8TLV|9LIT|aRCR
132	65223 35131	7	   	250.71	DCR|4VULN|1DMG|1CDMG|1AART	1578VULN|2DUST|3CDMG|4AART|6RCR|9BBNT|aDMG
133	52143 53121	9	 * 	250.29	DCR|2VULN|3DMG|3ASPD|1SELL	1SELL|2RPLT|356ASPD|456DMG|56BPWR|78VULN|9LIT|aRCR
134	23631 22232	8	   	250.18	DCR|3VULN|1DMG|1TLV|1ASPD|1AART	1TLV|2RPLT|3AART|456VULN|7ASPD|8LIT|9DMG|aRCR
135	23631 22232	7	   	250.18	DCR|3VULN|1DMG|1TLV|1ASPD|1AART	1TLV|2RPLT|3AART|456VULN|7ASPD|8LIT|9DMG|aRCR
136	23636 53232	7	   	250.18	DCR|3VULN|1DMG|1TLV|1ASPD|1AART	1TLV|2RPLT|3AART|468VULN|5DMG|7LIT|9ASPD|aRCR
137	44211 63123	10	   	250.15	DCR|3VULN|3ASPD|1TLV|1AART	1RPLT|24aVULN|34aASPD|4aBPWR|5AART|6TLV|7LIT|8aFEWX|9RCR
138	44212 23123	10	   	250.15	DCR|3VULN|3ASPD|1TLV|1AART	1RPLT|24aVULN|34aASPD|4aBPWR|5TLV|6AART|7LIT|8aFEWX|9RCR
139	44212 23523	10	   	250.15	DCR|3VULN|3ASPD|1TLV|1AART	1RPLT|24aVULN|34aASPD|4aBPWR|5TLV|6AART|7LIT|8aBEXP|9RCR
140	22113 62534	5	   	250.10	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1TLV|2aDUST|3RCVC|4DUR|5CDMG|6RCR|7aDMG|8LIT|9aVULN|aBPWR
141	26113 52412	6	   	250.10	DCR|2VULN|2DMG|1DUR|1TLV|1CDMG	1TLV|26VULN|3RCVC|4DUR|5CDMG|7aDMG|8RCR|9LIT
142	22313 62534	5	   	250.00	DCR|2VULN|2DMG|1DUR|1TLV|1CDMG	1TLV|23aDUST|4DUR|5CDMG|6RCR|7aDMG|8LIT|9aVULN|aBPWR
143	44211 63223	10	   	249.95	DCR|3VULN|3ASPD|1TLV|1AART	1RPLT|24aVULN|34aASPD|4aBPWR|5AART|6TLV|7LIT|8aDUST|9RCR
144	44212 23223	10	   	249.95	DCR|3VULN|3ASPD|1TLV|1AART	1RPLT|24aVULN|34aASPD|4aBPWR|5TLV|6AART|7LIT|8aDUST|9RCR
145	56211 13334	10	   	249.74	DCR|2VULN|2DMG|2DUR|1CDMG|1AART|1SELL	1SELL|2DMSP|38VULN|48DMG|5CDMG|6CGEN|78DUR|8BPWR|9RCR|aAART
146	26213 22622	4	   	249.70	DCR|3VULN|2DMG|1TLV|1ASPD	1TLV|245VULN|3CGEN|69DMG|7DLOT|8ASPD|aRCR
147	26223 22622	2	   	249.70	DCR|3VULN|2DMG|1TLV|1ASPD	1TLV|235VULN|4CGEN|69DMG|7DLOT|8ASPD|aRCR
148	61253 22622	2	   	249.70	DCR|3VULN|2DMG|1TLV|1ASPD	135VULN|2CGEN|4TLV|69DMG|7DLOT|8ASPD|aRCR
149	64533 33121	9	   	249.70	DCR|4VULN|1TLV|1DUR|1AART	1579VULN|2BEXP|3AART|4DUR|6TLV|8BELT|aRCR
150	56211 33334	10	   	249.64	DCR|2VULN|2DMG|2DUR|1CDMG|1AART|1SELL	1SELL|2DMSP|38VULN|48DMG|5CDMG|6ERES|78DUR|8BPWR|9RCR|aAART
151	26243 22622	2	   	249.60	DCR|3VULN|2DMG|1TLV|1ASPD	1TLV|235VULN|4ERES|69DMG|7DLOT|8ASPD|aRCR
152	11541 32231	1	   	249.55	DCR|3VULN|2DUR|1DMG|1CDMG	17BEXP|2BBNT|3CDMG|47DUR|579VULN|6RCR|7BPWR|8CGEN|aDMG
153	11533 32231	1	   	249.55	DCR|3VULN|2DUR|1DMG|1CDMG	17BEXP|2BBNT|3CDMG|479VULN|57DUR|6RCR|7BPWR|8CGEN|aDMG
154	11533 32366	1	   	249.55	DCR|3VULN|2DUR|1DMG|1CDMG	178BEXP|2BBNT|3CDMG|479VULN|57DUR|6RCR|7BPWR|aDMG
155	44621 12213	10	 * 	249.22	DCR|3VULN|3DUR|2CDMG	1RPLT|269VULN|39CDMG|4BEXP|56LHND|69BPWR|789DUR|aRCR
156	62234 11643	2	   	249.21	DCR|3VULN|3DMG|1ASPD	138VULN|25ZMB|459DMG|5BPWR|6MBVNT|7ASPD|aRCR
157	51311 63242	9	   	249.20	DCR|3VULN|2DUR|1DMG|1CDMG|1SELL	1SELL|23DUR|4DMG|5CDMG|679VULN|8MLV|aRCR
158	26323 23441	1	 * 	249.12	DCR|3VULN|3DUR|3TLV	189TLV|2CGEN|3BBNT|489VULN|5RMIN|6BELT|789DUR|89BPWR|aRCR
159	52133 32166	1	   	248.88	DCR|3VULN|3DUR|1DMG|1SELL	1SELL|27FEWX|3TBNT|479VULN|578DUR|6RCR|7BPWR|aDMG
160	51133 32166	1	   	248.68	DCR|3VULN|3DUR|1DMG|1SELL	1SELL|27DUST|3TBNT|479VULN|578DUR|6RCR|7BPWR|aDMG
161	44221 11234	5	   	248.44	DCR|4VULN|1DUR|1CDMG|1ASPD	1RPLT|2689VULN|3ASPD|4CDMG|5DUR|7FEWX|aRCR
162	44223 11234	4	   	248.44	DCR|4VULN|1DUR|1CDMG|1ASPD	1RPLT|2689VULN|3ASPD|4CDMG|5DUR|7FEWX|aRCR
