0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33114 41263	7	 * 	291.61	DCR|3VULN|3DUR|2DMG|3CDMG|1AART	19DMG|245CDMG|349DUR|49BPWR|6RCR|789VULN|aAART
28	13253 16263	9	   	268.09	DCR|2VULN|3DMG|2DUR|1TLV	1RCVC|28DUR|378DMG|4LIT|5BEXP|68VULN|8BPWR|9TLV|aRCR
29	32241 36243	8	   	268.09	DCR|2VULN|3DMG|2DUR|1TLV	178DMG|28VULN|3LIT|46LWND|58DUR|8BPWR|9TLV|aRCR
30	32241 36263	9	   	268.09	DCR|2VULN|3DMG|2DUR|1TLV	178DMG|28VULN|3LIT|46LWND|58DUR|8BPWR|9TLV|aRCR
31	32251 11115	4	   	268.05	DCR|3VULN|2DMG|1TLV|1CDMG	1aDMG|279VULN|3LIT|4ASPD|5CDMG|6RCR|8TLV
32	32251 24115	7	   	268.05	DCR|3VULN|2DMG|1TLV|1CDMG	1aDMG|259VULN|3LIT|4ASPD|6RCR|7CDMG|8TLV
33	33113 43633	5	 * 	267.94	DCR|2VULN|3DUR|1TLV|1DMG|2CDMG	1DMG|24CDMG|345DUR|4BPWR|6RCR|7TLV|8aVULN|9ASPD
34	32251 31153	5	   	266.72	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DMG|25aVULN|3LIT|4ASPD|6CDMG|7DUR|8TLV|9RCR
35	32251 31153	4	   	266.72	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DMG|26aVULN|3LIT|4ASPD|5CDMG|7DUR|8TLV|9RCR
36	32262 14233	4	   	266.66	DCR|4VULN|3DMG|1AART	179DMG|279aVULN|3LIT|4FEWX|579LHND|6AART|79BPWR|8RCR
37	32251 23366	7	 * 	266.25	DCR|5VULN|1DMG|1DUR	1DMG|2589aVULN|3LIT|4ASPD|6RCR|7DUR
38	33141 11616	4	   	265.99	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	18DMG|2CDMG|38DUR|4LIT|5ERES|6RCR|78VULN|8BPWR|9MLV|aTLV
39	32512 15224	2	   	265.73	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	1aDMG|247VULN|34DUR|4BPWR|5TBNT|6RCR|8CDMG|9AART
40	33531 11643	4	   	265.65	DCR|3VULN|3DMG|1DUR|1CDMG	189DMG|2CDMG|38MLV|4LIT|5DUR|6RCR|78aVULN|8BPWR
41	52513 24331	2	 * 	265.25	DCR|4VULN|3DUR|1TLV	1ERES|2489VULN|346DUR|4BPWR|5BEXP|7RCR|aTLV
42	52513 22341	2	   	265.25	DCR|4VULN|3DUR|1TLV	1ERES|2478VULN|346DUR|4BPWR|5BEXP|9RCR|aTLV
43	52511 22341	2	   	265.15	DCR|4VULN|3DUR|1TLV	1ERES|2478VULN|346DUR|4BPWR|5DUST|9RCR|aTLV
44	52511 24331	2	   	265.15	DCR|4VULN|3DUR|1TLV	1ERES|2489VULN|346DUR|4BPWR|5DUST|7RCR|aTLV
45	32512 15261	2	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1DMG|247VULN|34DUR|4BPWR|5TBNT|6RCR|8CDMG|9ZMB|aTLV
46	33164 11513	9	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1DMG|2CDMG|37DUR|46aVULN|5LHND|8TLV|9RCR
47	33164 11513	10	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1DMG|2CDMG|37DUR|46aVULN|5LHND|8TLV|9RCR
48	33161 11513	9	   	264.59	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1DMG|2CDMG|37DUR|46aVULN|5DUST|8TLV|9RCR
49	33531 11663	4	   	264.58	DCR|3VULN|2DMG|2DUR|1CDMG	18DMG|2CDMG|38MLV|4LIT|5aDUR|6RCR|789VULN|8BPWR
50	33141 11613	4	   	264.48	DCR|3VULN|2DMG|2DUR|1CDMG	18DMG|2CDMG|38DUR|4LIT|5ERES|6RCR|78aVULN|8BPWR|9MLV
51	33141 11661	4	   	264.48	DCR|3VULN|2DMG|2DUR|1CDMG	18DMG|2CDMG|38DUR|4LIT|5ERES|6RCR|789VULN|8BPWR|aBEXP
52	33141 11662	4	   	264.48	DCR|3VULN|2DMG|2DUR|1CDMG	18DMG|2CDMG|38DUR|4LIT|5ERES|6RCR|789VULN|8BPWR|aLHND
53	33141 11651	4	   	264.38	DCR|3VULN|2DMG|2DUR|1CDMG	18DMG|2CDMG|38DUR|4LIT|5ERES|6RCR|78aVULN|8BPWR|9MBVNT
54	32513 24125	2	 * 	264.36	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|24aVULN|346DUR|4BPWR|5BEXP|7RCR|8RPLT|9TLV
55	32512 15622	2	 * 	264.23	DCR|5VULN|2DUR|1DMG	1DMG|24789VULN|34DUR|4BPWR|5TBNT|6RCR|aRMIN
56	32512 15623	2	   	264.23	DCR|5VULN|2DUR|1DMG	1DMG|24789VULN|34DUR|4BPWR|5TBNT|6RCR|aLHND
57	32512 65222	2	   	264.23	DCR|5VULN|2DUR|1DMG	1DMG|24789VULN|34DUR|4BPWR|5TBNT|6BEXP|aRCR
58	32513 15222	2	   	264.23	DCR|5VULN|2DUR|1DMG	1DMG|24789VULN|34DUR|4BPWR|5BEXP|6BBNT|aRCR
59	32514 15222	2	   	264.23	DCR|5VULN|2DUR|1DMG	1DMG|24789VULN|34DUR|4BPWR|5LHND|6BBNT|aRCR
60	32511 15222	2	   	264.13	DCR|5VULN|2DUR|1DMG	1DMG|24789VULN|34DUR|4BPWR|5DUST|6BBNT|aRCR
61	32512 15621	2	   	264.13	DCR|5VULN|2DUR|1DMG	1DMG|24789VULN|34DUR|4BPWR|5TBNT|6RCR|aBBNT
62	32512 45222	2	   	264.13	DCR|5VULN|2DUR|1DMG	1DMG|24789VULN|34DUR|4BPWR|5TBNT|6DUST|aRCR
63	32516 15222	2	   	264.13	DCR|5VULN|2DUR|1DMG	1DMG|24789VULN|34DUR|4BPWR|5LEGI|6BBNT|aRCR
64	32262 25262	7	   	263.75	DCR|4VULN|3DMG|2LIT	178DMG|2789VULN|39LIT|49FEWX|5RPLT|678LWND|789BPWR|aRCR
65	32315 13145	1	   	263.67	DCR|4VULN|2DMG|2DUR	19DMG|2RPLT|3RCVC|4LHND|5689VULN|79DUR|9BPWR|aRCR
66	32523 13145	1	   	263.67	DCR|4VULN|2DMG|2DUR	19DMG|2RPLT|3568VULN|49LHND|79DUR|9BPWR|aRCR
67	32623 13145	2	   	263.67	DCR|4VULN|2DMG|2DUR	19DMG|2568VULN|3RPLT|49LHND|79DUR|9BPWR|aRCR
68	32261 45311	10	   	263.66	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|1AART	18DMG|28VULN|3LIT|4FEWX|5AART|68ASPD|7RCR|8BPWR|9TLV|aDUR
69	32512 15611	2	   	263.47	DCR|4VULN|2DMG|2DUR	1aDMG|2478VULN|34DUR|4BPWR|5TBNT|6RCR|9CGEN
70	32341 21146	4	   	263.43	DCR|4VULN|2DMG|2DUR|1SELL	19DMG|2589VULN|3LWND|4FEWX|69DUR|7SELL|9BPWR|aRCR
71	32231 11113	4	   	263.11	DCR|4VULN|1TLV|1DMG|1CDMG	1DMG|279aVULN|3LIT|4ERES|5CDMG|6RCR|8TLV
72	32231 36213	6	   	263.11	DCR|4VULN|1TLV|1DMG|1CDMG	1DMG|259aVULN|3LIT|4ERES|6CDMG|7TLV|8RCR
73	32231 36213	5	   	263.11	DCR|4VULN|1TLV|1DMG|1CDMG	1DMG|259aVULN|3LIT|4ERES|6CDMG|7TLV|8RCR
74	32251 23326	7	   	262.50	DCR|4VULN|2DUR|1DMG	1DMG|258aVULN|3LIT|4ASPD|6RCR|79DUR
75	36322 43224	5	   	261.82	DCR|3VULN|3DMG|2TLV	139DMG|23aFEWX|3aBPWR|4DMSP|5aTLV|6RCR|78aVULN
76	36322 33534	7	   	261.82	DCR|3VULN|3DMG|2TLV	136DMG|23aFEWX|3aBPWR|4DMSP|5aTLV|7RCR|89aVULN
77	32322 46115	8	   	261.82	DCR|3VULN|3DMG|2TLV	169DMG|29aVULN|35LWND|46LHND|69BPWR|7RCR|89TLV
78	32455 12333	6	   	261.75	DCR|3VULN|3DMG|1TLV	138DMG|269VULN|4LIT|5LHND|7TLV|aRCR
79	32432 42224	5	   	261.72	DCR|3VULN|3DMG|2TLV	139DMG|28aVULN|4RCVC|5aTLV|6RCR|7aBEXP|aBPWR
80	32432 43224	5	   	261.72	DCR|3VULN|3DMG|2TLV	139DMG|27aVULN|4RCVC|5aTLV|6RCR|8aBEXP|aBPWR
81	32432 33234	7	   	261.72	DCR|3VULN|3DMG|2TLV	136DMG|29aVULN|4RCVC|5aTLV|7RCR|8aFEWX|aBPWR
82	32432 33422	8	   	261.72	DCR|3VULN|3DMG|2TLV	136DMG|29aVULN|4RCVC|59TLV|7RCR|89CGEN|9BPWR
83	32432 33634	8	   	261.72	DCR|3VULN|3DMG|2TLV	136DMG|29aVULN|4RCVC|5aTLV|7RCR|8aLWND|aBPWR
84	32432 33634	7	   	261.72	DCR|3VULN|3DMG|2TLV	136DMG|29aVULN|4RCVC|5aTLV|7RCR|8aLHND|aBPWR
85	32432 36222	6	   	261.72	DCR|3VULN|3DMG|2TLV	136DMG|29aVULN|4RCVC|59TLV|79MLV|8RCR|9BPWR
86	32456 12333	6	   	261.65	DCR|3VULN|3DMG|1TLV	138DMG|269VULN|4LIT|5DUST|7TLV|aRCR
87	32432 33314	7	   	261.62	DCR|3VULN|3DMG|2TLV	136DMG|289VULN|4RCVC|59TLV|7RCR|9BPWR|aLWND
88	34211 25523	8	   	261.62	DCR|3VULN|3DMG|2TLV	138DMG|289ERES|46TLV|59CGEN|789VULN|89BPWR|aRCR
89	34212 25523	8	   	261.62	DCR|3VULN|3DMG|2TLV	138DMG|289ERES|45TLV|69CGEN|789VULN|89BPWR|aRCR
