0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21542 23353	5	 * 	266.81	DCR|3VULN|3DUR|2DMG	1RCVC|2RMIN|34aVULN|4aBPWR|57aDUR|6RCR|8aDMG|9BELT
33	23124 15236	1	   	248.51	DCR|3VULN|2DMG|2LIT|1ASPD	1RCVC|27LIT|3ASPD|47DMG|5MBVNT|67aVULN|7BPWR|8LWND|9RCR
34	23124 15313	1	   	248.51	DCR|3VULN|2DMG|2LIT|1ASPD	1RCVC|27LIT|3ASPD|47DMG|5MBVNT|678VULN|7BPWR|9RCR|aCGEN
35	23124 15315	1	   	248.51	DCR|3VULN|2DMG|2LIT|1ASPD	1RCVC|27LIT|3ASPD|47DMG|5MBVNT|678VULN|7BPWR|9RCR|aZMB
36	23124 15316	1	   	248.51	DCR|3VULN|2DMG|2LIT|1ASPD	1aRCVC|27LIT|3ASPD|47DMG|5MBVNT|678VULN|7BPWR|9RCR
37	23124 15318	1	   	248.51	DCR|3VULN|2DMG|2LIT|1ASPD	1RCVC|27LIT|3ASPD|47DMG|5MBVNT|678VULN|7BPWR|9RCR|aBEXP
38	23124 15317	1	   	248.41	DCR|3VULN|2DMG|2LIT|1ASPD	1RCVC|27LIT|3ASPD|47DMG|5MBVNT|678VULN|7BPWR|9RCR|aERES
39	23415 13361	1	   	248.35	DCR|4VULN|1TLV|1DUR	1RCVC|2LIT|3458VULN|6DUR|7RCR|9LHND|aTLV
40	33523 62226	7	   	248.20	DCR|4VULN|1DUR|1CDMG|1ASPD|1SELL	1LWND|2SELL|3DUR|478aVULN|5ASPD|6RCR|9CDMG
41	33533 62226	7	   	248.20	DCR|4VULN|1DUR|1CDMG|1ASPD|1SELL	1LWND|2SELL|3DUR|4ASPD|578aVULN|6RCR|9CDMG
42	36261 53311	2	   	248.16	DCR|4VULN|1TLV|2LIT|1AART|1SELL	1LWND|246aVULN|3SELL|56LIT|6BPWR|7TLV|8AART|9RCR
43	32142 35612	10	   	247.96	DCR|3VULN|3DMG|1AART	17LWND|2RPLT|3ERES|478VULN|579DMG|6AART|7BPWR|aRCR
44	33526 21123	6	 * 	247.89	DCR|4VULN|2DUR|1AART|1SELL	19LWND|2SELL|39DUR|4589VULN|6LEGI|7AART|9BPWR|aRCR
45	33526 33513	8	 * 	247.89	DCR|4VULN|2DUR|1AART|1SELL	1LWND|2SELL|36DUR|4568VULN|6BPWR|7LHND|9AART|aRCR
46	33526 33613	7	 * 	247.89	DCR|4VULN|2DUR|1AART|1SELL	1LWND|2SELL|36DUR|4568VULN|6BPWR|7LHND|9AART|aRCR
47	25365 23331	1	   	247.11	DCR|3VULN|2DMG|1DUR	1RCVC|2BEXP|34aVULN|58DMG|6RCR|7DUR|9LIT
48	51365 23331	1	   	247.11	DCR|3VULN|2DMG|1DUR	1BEXP|2RCVC|34aVULN|58DMG|6RCR|7DUR|9LIT
49	31512 15325	7	   	247.00	DCR|3VULN|2DUR|1DMG|1ASPD	17LWND|27DUR|3ASPD|4CGEN|567VULN|7BPWR|8DMG|9RCVC|aRCR
50	23436 14311	1	 * 	246.91	DCR|2VULN|2DMG|2CDMG|1TLV|2LIT	1RCVC|27LIT|38VULN|47DMG|57CDMG|6RPLT|7BPWR|9RCR|aTLV
51	21542 26332	5	   	246.90	DCR|3VULN|2DUR|1DMG|1ASPD	1RCVC|2RMIN|347VULN|47BPWR|57DUR|6RCR|8DMG|9LWND|aASPD
52	21542 26231	5	 * 	246.78	DCR|4VULN|2DUR	1RCVC|2RMIN|347aVULN|47BPWR|57DUR|6RCR|8BEXP|9LIT
53	33523 62224	7	 * 	246.65	DCR|3VULN|2DUR|2CDMG|1ASPD|1SELL	1aLWND|2SELL|3aDUR|478VULN|5ASPD|6RCR|9aCDMG|aBPWR
54	33533 62224	7	 * 	246.65	DCR|3VULN|2DUR|2CDMG|1ASPD|1SELL	1aLWND|2SELL|3aDUR|4ASPD|578VULN|6RCR|9aCDMG|aBPWR
55	33522 65323	8	 * 	246.49	DCR|2VULN|2DMG|2DUR|2CDMG|1SELL	17aLWND|2SELL|37DUR|4aVULN|5ERES|67CDMG|7aBPWR|8RCR|9aDMG
56	33525 62222	7	   	245.62	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1SELL	1LWND|2SELL|3DUR|478VULN|5DMG|6RCR|9CDMG|aASPD
57	21542 12522	6	   	245.21	DCR|3VULN|3DUR|1TLV	1RCVC|2RMIN|346VULN|4BPWR|579DUR|8TLV|aRCR
58	33523 62233	7	   	244.76	DCR|4VULN|2ASPD|1DUR|1SELL	1LWND|2SELL|3DUR|478aVULN|59ASPD|6RCR
59	33533 62233	7	   	244.76	DCR|4VULN|2ASPD|1DUR|1SELL	1LWND|2SELL|3DUR|49ASPD|578aVULN|6RCR
60	53523 62233	7	   	244.76	DCR|4VULN|2ASPD|1DUR|1SELL	1BEXP|2SELL|3DUR|478aVULN|59ASPD|6RCR
61	53533 62233	7	   	244.76	DCR|4VULN|2ASPD|1DUR|1SELL	1BEXP|2SELL|3DUR|49ASPD|578aVULN|6RCR
62	23411 13334	1	 * 	243.65	DCR|4VULN|3LIT|1DUR	1RCVC|25aLIT|3489VULN|6DUR|7RCR
63	31412 16324	9	 * 	243.61	DCR|4VULN|1DMG|1DUR|1SELL	1LWND|2DUR|3DMG|4CGEN|569aVULN|7SELL|8RCR
64	23436 52311	1	   	243.33	DCR|3VULN|1DMG|2LIT|1CDMG|1AART	1RCVC|27LIT|37aVULN|4DMG|5CDMG|67LHND|7BPWR|8AART|9RCR
65	36541 32333	7	   	243.26	DCR|4VULN|2LIT|1ASPD|1AART	19LWND|2469VULN|3ASPD|5ZMB|7AART|89LIT|9BPWR|aRCR
66	22662 16322	6	   	243.18	DCR|3VULN|2DUR|1TLV|1ASPD	12RCVC|37BEXP|4ASPD|57DUR|678VULN|7BPWR|9TLV|aRCR
67	22415 13335	4	   	243.10	DCR|4VULN|1DUR|1ASPD	12RCVC|3LIT|4589VULN|6DUR|7RCR|aASPD
68	22435 13335	3	   	243.10	DCR|4VULN|1DUR|1ASPD	12RCVC|3LIT|4589VULN|6DUR|7RCR|aASPD
69	22416 13335	5	   	243.10	DCR|4VULN|1DUR|1ASPD	12RCVC|3LIT|4689VULN|5DUR|7RCR|aASPD
70	22425 13335	3	   	243.10	DCR|4VULN|1DUR|1ASPD	12RCVC|3LIT|4DUR|5689VULN|7RCR|aASPD
71	32266 33363	1	   	243.07	DCR|3VULN|1DMG|1DUR|1CDMG	1LWND|2DMG|3TBNT|4CDMG|5LIT|6DUR|79aVULN|8RCR
72	51343 52322	7	   	242.98	DCR|3VULN|2DUR|1TLV|1ASPD	15BEXP|27DUR|3ASPD|468VULN|9TLV|aRCR
73	51343 53322	6	   	242.98	DCR|3VULN|2DUR|1TLV|1ASPD	15BEXP|27DUR|3ASPD|468VULN|9TLV|aRCR
74	22135 11215	1	   	242.58	DCR|2VULN|2DMG|2DUR|1TLV|1SELL	1RCVC|2SELL|3aDUR|4aDMG|5BBNT|6RCR|7TLV|8FEWX|9aVULN|aBPWR
75	21531 23324	4	   	242.23	DCR|2VULN|3DMG|2DUR	15RCVC|2RMIN|3aVULN|4DUST|6RCR|7aDUR|89aDMG|aBPWR
76	36262 53133	6	   	241.85	DCR|4VULN|1CDMG|1ASPD|1AART	1LWND|2457VULN|3BEXP|6AART|8ASPD|9CDMG|aRCR
77	36262 53323	6	   	241.85	DCR|4VULN|1CDMG|1ASPD|1AART	1LWND|2457VULN|3BEXP|6AART|8CDMG|9ASPD|aRCR
78	36261 53313	2	   	241.77	DCR|3VULN|1TLV|1DUR|2LIT|1AART|1SELL	1LWND|246VULN|3SELL|56LIT|6BPWR|7TLV|8AART|9RCR|aDUR
79	22151 53311	1	   	241.77	DCR|3VULN|1TLV|1DUR|2LIT|1AART|1SELL	1RCVC|2SELL|3DUR|46aVULN|56LIT|6BPWR|7TLV|8AART|9RCR
80	33525 62231	7	   	241.63	DCR|3VULN|1DMG|1DUR|1ASPD|1AART|1SELL	1LWND|2SELL|3DUR|478VULN|5DMG|6RCR|9ASPD|aAART
81	36261 33311	2	   	241.51	DCR|4VULN|1TLV|1AART|1SELL	1LWND|246aVULN|3SELL|5LIT|7TLV|8AART|9RCR
82	26623 23335	2	 * 	241.17	DCR|3VULN|2TLV|2CDMG|1DUR	1RCVC|2aTLV|34aVULN|5FEWX|6RCR|7DUR|8aCDMG|9BBNT|aBPWR
83	23423 51313	1	   	240.52	DCR|3VULN|2DMG|1AART	1RCVC|2LIT|35aVULN|4CGEN|6AART|79DMG|8RCR
84	23433 53313	1	   	240.52	DCR|3VULN|2DMG|1AART	1RCVC|2LIT|35aVULN|49DMG|6AART|7RMIN|8RCR
85	22224 11135	2	   	240.45	DCR|3VULN|2DUR|2LIT|1AART	12RCVC|3AART|489VULN|5FEWX|69DUR|79LIT|9BPWR|aRCR
86	22226 11135	2	   	240.45	DCR|3VULN|2DUR|2LIT|1AART	12RCVC|3AART|489VULN|5BEXP|69DUR|79LIT|9BPWR|aRCR
87	25261 13135	1	   	240.45	DCR|3VULN|2DUR|2LIT|1AART	1RCVC|29BEXP|37DUR|489VULN|59LIT|6AART|9BPWR|aRCR
88	51261 13135	1	   	240.45	DCR|3VULN|2DUR|2LIT|1AART	19BEXP|2RCVC|37DUR|489VULN|59LIT|6AART|9BPWR|aRCR
89	23433 56313	1	   	240.42	DCR|3VULN|2DMG|1AART	1RCVC|2LIT|35aVULN|49DMG|6AART|7ERES|8RCR
90	21542 26233	5	   	240.39	DCR|3VULN|2DUR|1TLV	1RCVC|2RMIN|347VULN|47BPWR|57DUR|6RCR|8BEXP|9LIT|aTLV
91	22416 43133	5	   	240.35	DCR|3VULN|2DUR|2LIT|1AART	12RCVC|39LIT|489VULN|59DUR|6MBVNT|7AART|9BPWR|aRCR
92	22425 43133	3	   	240.35	DCR|3VULN|2DUR|2LIT|1AART	12RCVC|39LIT|49DUR|589VULN|6MBVNT|7AART|9BPWR|aRCR
93	23415 13261	1	   	240.29	DCR|3VULN|2DUR|1TLV	1RCVC|2LIT|345VULN|69DUR|7RCR|8LWND|aTLV
94	33523 62223	7	   	240.14	DCR|3VULN|2DUR|1CDMG|1ASPD|1SELL	1LWND|2SELL|3aDUR|478VULN|5ASPD|6RCR|9CDMG
95	33533 62223	7	   	240.14	DCR|3VULN|2DUR|1CDMG|1ASPD|1SELL	1LWND|2SELL|3aDUR|4ASPD|578VULN|6RCR|9CDMG
96	53523 62223	7	   	240.14	DCR|3VULN|2DUR|1CDMG|1ASPD|1SELL	1BEXP|2SELL|3aDUR|478VULN|5ASPD|6RCR|9CDMG
97	53533 62223	7	   	240.14	DCR|3VULN|2DUR|1CDMG|1ASPD|1SELL	1BEXP|2SELL|3aDUR|4ASPD|578VULN|6RCR|9CDMG
98	21526 61322	3	   	240.04	DCR|4VULN|1TLV|1DUR	1RCVC|2RMIN|3457VULN|6LHND|8DUR|9TLV|aRCR
99	21546 21322	7	   	240.04	DCR|4VULN|1TLV|1DUR	1RCVC|2RMIN|3456VULN|4BPWR|7FEWX|8DUR|9TLV|aRCR
100	23626 15322	2	   	240.04	DCR|4VULN|1TLV|1DUR	1RCVC|26CGEN|3456VULN|6BPWR|7DUST|8DUR|9TLV|aRCR
101	33522 62323	8	   	239.98	DCR|2VULN|2DMG|2DUR|1CDMG|1SELL	1aLWND|2SELL|37DUR|4aVULN|5ERES|6CDMG|8RCR|9aDMG|aBPWR
102	33522 62363	9	   	239.98	DCR|2VULN|2DMG|2DUR|1CDMG|1SELL	1aLWND|2SELL|37DUR|4aVULN|5ERES|6CDMG|8RCR|9aDMG|aBPWR
103	21546 22322	8	   	239.94	DCR|4VULN|1TLV|1DUR	1RCVC|2RMIN|3456VULN|4BPWR|7TLV|8DUST|9DUR|aRCR
104	23626 61322	2	   	239.94	DCR|4VULN|1TLV|1DUR	1RCVC|2CGEN|3457VULN|6DUST|8DUR|9TLV|aRCR
105	21146 23353	1	   	239.90	DCR|2VULN|3DUR|2DMG	14RCVC|27aDUR|3RMIN|5aVULN|6RCR|8aDMG|9BELT|aBPWR
106	21166 23353	1	   	239.90	DCR|2VULN|3DUR|2DMG	1RCVC|27aDUR|34RMIN|5aVULN|6RCR|8aDMG|9BELT|aBPWR
107	31421 32424	8	   	239.90	DCR|2VULN|3DUR|2DMG	1aLWND|27aDUR|39DMG|4RCVC|5ZMB|6aVULN|8RCR|aBPWR
108	31425 22611	5	   	239.80	DCR|2VULN|3DUR|2DMG	1aLWND|259DUR|3aDMG|4RCVC|6RCR|7TBNT|8aVULN|aBPWR
109	22262 31153	2	   	239.04	DCR|3VULN|2DUR|1CDMG|1AART	12RCVC|3AART|49DUR|5CDMG|678VULN|aRCR
110	25363 23314	1	   	239.00	DCR|3VULN|2DMG|1DUR	1RCVC|29aBEXP|34aVULN|5ZMB|6RCR|7DUR|8aDMG|aBPWR
111	51363 23314	1	   	239.00	DCR|3VULN|2DMG|1DUR	19aBEXP|2RCVC|34aVULN|5ZMB|6RCR|7DUR|8aDMG|aBPWR
112	21542 22225	5	   	238.90	DCR|3VULN|2DMG|1DUR	1RCVC|2RMIN|34aVULN|4aBPWR|5DUR|6RCR|7TBNT|8aCGEN|9aDMG
113	51433 32114	7	   	238.90	DCR|3VULN|2DMG|1DUR	19BEXP|2DUR|39DMG|4DUST|5BELT|6RCR|7ZMB|89aVULN|9BPWR
114	21516 21523	5	   	238.90	DCR|3VULN|2DMG|1DUR	1RCVC|2RMIN|35aVULN|4aLWND|6RCR|7ERES|8DUR|9aDMG|aBPWR
115	21516 33523	5	   	238.90	DCR|3VULN|2DMG|1DUR	1RCVC|2RMIN|35aVULN|4aLWND|6ERES|7RCR|8DUR|9aDMG|aBPWR
116	21521 21523	3	   	238.90	DCR|3VULN|2DMG|1DUR	1RCVC|2RMIN|34aVULN|5aLWND|6RCR|7ERES|8DUR|9aDMG|aBPWR
117	21521 33523	3	   	238.90	DCR|3VULN|2DMG|1DUR	1RCVC|2RMIN|34aVULN|5aLWND|6ERES|7RCR|8DUR|9aDMG|aBPWR
118	21525 21523	3	   	238.90	DCR|3VULN|2DMG|1DUR	1RCVC|2RMIN|34aVULN|5aFEWX|6RCR|7ERES|8DUR|9aDMG|aBPWR
119	21525 33523	3	   	238.90	DCR|3VULN|2DMG|1DUR	1RCVC|2RMIN|34aVULN|5aFEWX|6ERES|7RCR|8DUR|9aDMG|aBPWR
120	21541 21523	4	   	238.90	DCR|3VULN|2DMG|1DUR	1RCVC|2RMIN|34aVULN|4aBPWR|5aLWND|6RCR|7ERES|8DUR|9aDMG
121	21541 33523	4	   	238.90	DCR|3VULN|2DMG|1DUR	1RCVC|2RMIN|34aVULN|4aBPWR|5aLWND|6ERES|7RCR|8DUR|9aDMG
122	21543 21523	5	   	238.90	DCR|3VULN|2DMG|1DUR	1RCVC|2RMIN|34aVULN|4aBPWR|5aLWND|6RCR|7ERES|8DUR|9aDMG
123	21543 33523	5	   	238.90	DCR|3VULN|2DMG|1DUR	1RCVC|2RMIN|34aVULN|4aBPWR|5aLWND|6ERES|7RCR|8DUR|9aDMG
124	33525 23523	1	   	238.90	DCR|3VULN|2DMG|1DUR	16aLWND|2ERES|35aVULN|4ZMB|7RCR|8DUR|9aDMG|aBPWR
125	36324 11334	4	   	238.81	DCR|3VULN|2ASPD|1TLV|1DUR	17LWND|27aVULN|3FEWX|4TLV|5BELT|67ASPD|7BPWR|8RCR|9DUR
126	23225 33426	3	   	238.80	DCR|3VULN|2DMG|1DUR	1RCVC|2CGEN|3LHND|48aVULN|59DMG|6DUR|7RCR
127	23365 16212	8	   	238.80	DCR|3VULN|2DMG|1DUR	1RCVC|2CGEN|3BELT|4DUR|589VULN|6aDMG|7RCR
128	25623 23523	2	   	238.80	DCR|3VULN|2DMG|1DUR	1RCVC|2aERES|34aVULN|5FEWX|6RCR|7RMIN|8DUR|9aDMG|aBPWR
129	25622 23523	2	   	238.80	DCR|3VULN|2DMG|1DUR	1RCVC|2aERES|34aVULN|5RMIN|6LHND|7RCR|8DUR|9aDMG|aBPWR
130	33431 36412	4	   	238.75	DCR|3VULN|2DMG|1DUR|1SELL	178LWND|2SELL|3RMIN|4DUR|57DMG|67aVULN|7BPWR|9RCR
131	26362 23523	1	   	238.70	DCR|3VULN|2DMG|1DUR	1RCVC|2aDUST|34aVULN|5ERES|6RCR|7RMIN|8DUR|9aDMG|aBPWR
132	23411 13332	1	   	238.64	DCR|4VULN|1DUR|2LIT	1RCVC|25LIT|3489VULN|6DUR|7RCR|aLHND
133	23411 13333	1	   	238.64	DCR|4VULN|1DUR|2LIT	1RCVC|25LIT|3489VULN|6DUR|7RCR|aCGEN
134	22415 13334	4	   	238.64	DCR|4VULN|1DUR|2LIT	12RCVC|3aLIT|4589VULN|6DUR|7RCR
135	22435 13334	3	   	238.64	DCR|4VULN|1DUR|2LIT	12RCVC|3aLIT|4589VULN|6DUR|7RCR
136	23415 13362	1	   	238.64	DCR|4VULN|1DUR|2LIT	1RCVC|2aLIT|3458VULN|6DUR|7RCR|9LHND
137	22416 13334	5	   	238.64	DCR|4VULN|1DUR|2LIT	12RCVC|3aLIT|4689VULN|5DUR|7RCR
138	22425 13334	3	   	238.64	DCR|4VULN|1DUR|2LIT	12RCVC|3aLIT|4DUR|5689VULN|7RCR
139	36333 12323	9	   	238.57	DCR|4VULN|2DUR	158LWND|2689VULN|3FEWX|4LHND|78DUR|8BPWR|aRCR
140	31412 16314	9	   	238.55	DCR|3VULN|2DMG|1DUR|1SELL	1LWND|2DUR|39DMG|4CGEN|56aVULN|7SELL|8RCR
141	23411 13331	1	   	238.54	DCR|4VULN|1DUR|2LIT	1RCVC|25LIT|3489VULN|6DUR|7RCR|aMBVNT
142	23411 13336	1	   	238.54	DCR|4VULN|1DUR|2LIT	1RCVC|25LIT|3489VULN|6DUR|7RCR|aDUST
143	33525 62212	7	   	238.45	DCR|3VULN|2DMG|1DUR|1SELL	1LWND|2SELL|3DUR|478VULN|5aDMG|6RCR|9DUST
144	33225 62222	7	   	238.45	DCR|3VULN|2DMG|1DUR|1SELL	1LWND|2SELL|3DUST|478VULN|5aDMG|6RCR|9DUR
145	53225 62222	7	   	238.45	DCR|3VULN|2DMG|1DUR|1SELL	1BEXP|2SELL|3DUST|478VULN|5aDMG|6RCR|9DUR
146	21516 33124	6	   	238.40	DCR|3VULN|3DMG	1RCVC|2RMIN|35aVULN|4LWND|69aDMG|7RCR|8aLHND|aBPWR
147	21541 13353	6	   	238.40	DCR|3VULN|3DMG	1RCVC|2RMIN|34aVULN|4aBPWR|58aDMG|6aLHND|7RCR|9BELT
148	21541 23353	5	   	238.40	DCR|3VULN|3DMG	1RCVC|2RMIN|34aVULN|4aBPWR|58aDMG|6aLHND|7RCR|9BELT
149	21543 33124	6	   	238.40	DCR|3VULN|3DMG	1RCVC|2RMIN|34aVULN|4aBPWR|5LWND|69aDMG|7RCR|8aLHND
150	22521 43363	3	   	238.40	DCR|3VULN|3DMG	12RCVC|3BELT|469VULN|59ZMB|79aDMG|8RCR|9BPWR
151	23336 43343	4	   	238.40	DCR|3VULN|3DMG	1RCVC|249CGEN|3BELT|569VULN|79aDMG|8RCR|9BPWR
152	33523 62231	7	   	238.37	DCR|3VULN|2ASPD|1TLV|1DUR|1SELL	1LWND|2SELL|3DUR|478VULN|59ASPD|6RCR|aTLV
153	33533 62231	7	   	238.37	DCR|3VULN|2ASPD|1TLV|1DUR|1SELL	1LWND|2SELL|3DUR|49ASPD|578VULN|6RCR|aTLV
154	53523 62231	7	   	238.37	DCR|3VULN|2ASPD|1TLV|1DUR|1SELL	1BEXP|2SELL|3DUR|478VULN|59ASPD|6RCR|aTLV
155	53533 62231	7	   	238.37	DCR|3VULN|2ASPD|1TLV|1DUR|1SELL	1BEXP|2SELL|3DUR|49ASPD|578VULN|6RCR|aTLV
156	33526 32422	6	   	238.33	DCR|4VULN|2DUR|1SELL	19LWND|2SELL|36DUR|4569VULN|69BPWR|79ZMB|8TBNT|aRCR
157	22523 43363	4	   	238.30	DCR|3VULN|3DMG	12RCVC|3BELT|4RMIN|569VULN|79aDMG|8RCR|9BPWR
158	21516 33324	6	   	238.20	DCR|3VULN|3DMG	1RCVC|2RMIN|35aVULN|4LWND|69aDMG|7RCR|8aDUST|aBPWR
159	21521 25324	3	   	238.20	DCR|3VULN|3DMG	1RCVC|2RMIN|34aVULN|5LWND|6RCR|7aDUST|89aDMG|aBPWR
160	21543 33324	6	   	238.20	DCR|3VULN|3DMG	1RCVC|2RMIN|34aVULN|4aBPWR|5LWND|69aDMG|7RCR|8aDUST
161	21541 52122	6	   	238.06	DCR|3VULN|3DMG|1SELL	1RCVC|27RMIN|349VULN|49BPWR|569DMG|8SELL|aRCR
162	32142 35214	9	   	237.90	DCR|2VULN|2DMG|1TLV|1DUR|1AART	17LWND|2RPLT|3ERES|47VULN|57DMG|6AART|7BPWR|8TLV|9DUR|aRCR
163	22413 36241	10	   	237.61	DCR|3VULN|2DMG|2LIT	12RCVC|39LIT|479VULN|59DMG|6BELT|8RCR|9BPWR|aFEWX
164	22413 36242	9	   	237.61	DCR|3VULN|2DMG|2LIT	12RCVC|39LIT|479VULN|59DMG|6BELT|8RCR|9BPWR|aCGEN
165	32317 77131	10	   	237.61	DCR|3VULN|2DMG|2LIT	136LWND|2RPLT|4MBVNT|56aVULN|6aBPWR|7RCR|8aDMG|9aLIT
166	22413 36242	10	   	237.51	DCR|3VULN|2DMG|2LIT	12RCVC|39LIT|479VULN|59DMG|6BELT|8RCR|9BPWR|aLEGI
167	22413 36243	9	   	237.51	DCR|3VULN|2DMG|2LIT	12RCVC|39LIT|479VULN|59DMG|6BELT|8RCR|9BPWR|aERES
168	21546 32322	7	   	237.46	DCR|3VULN|1DMG|1TLV|1DUR	1RCVC|2RMIN|345VULN|4BPWR|6MLV|7DUR|8DMG|9TLV|aRCR
169	26335 12324	6	   	237.46	DCR|3VULN|1DMG|1TLV|1DUR	1RCVC|2TLV|3BELT|4BEXP|59aVULN|6DMG|7DUR|8RCR
170	21541 31322	6	   	237.46	DCR|3VULN|1DMG|1TLV|1DUR	1RCVC|2RMIN|347VULN|4BPWR|5DMG|6CGEN|8DUR|9TLV|aRCR
171	21541 32322	7	   	237.46	DCR|3VULN|1DMG|1TLV|1DUR	1RCVC|2RMIN|347VULN|4BPWR|5DMG|6CGEN|8DUR|9TLV|aRCR
