0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23232 26623	9	 * 	290.87	DCR|3VULN|3DMG|3DUR	1FEWX|289DUR|3LIT|4CGEN|589VULN|6DUST|789DMG|89BPWR|aRCR
29	53123 36312	5	   	264.83	DCR|5VULN|2DMG	1CGEN|2BELT|35DMG|4579aVULN|5BPWR|6RCR|8RPLT
30	33123 36312	5	   	264.73	DCR|5VULN|2DMG	1ERES|2BELT|35DMG|4579aVULN|5BPWR|6RCR|8RPLT
31	62632 22631	10	   	263.83	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD|1AART	1DMG|2CDMG|3ASPD|4LIT|568VULN|7AART|9TLV|aRCR
32	33162 45322	10	 * 	263.82	DCR|4VULN|1DMG|2CDMG|1TLV	167ERES|2BELT|3DMG|47CDMG|567aVULN|67BPWR|8RCR|9TLV
33	33123 36441	5	   	263.36	DCR|3VULN|2DMG|1TLV|1DUR	1ERES|2BELT|35DMG|457VULN|5BPWR|6RCR|8TLV|9DUR|aLIT
34	62633 12213	3	   	262.76	DCR|3VULN|3DMG|1CDMG|1ASPD	16aDMG|2CDMG|3ASPD|456VULN|6BPWR|7TBNT|8DUST|9RCR
35	22154 16427	7	   	262.29	DCR|2VULN|3DMG|2DUR|2TLV	1aFEWX|246DMG|3MBVNT|56TLV|6aBPWR|7RCR|8aVULN|9aDUR
36	63131 31414	3	   	262.29	DCR|2VULN|3DMG|2DUR|2TLV	138DMG|2BELT|48TLV|58DUR|6RCR|7RMIN|8BPWR|9aVULN
37	62633 22124	3	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1DMG|2CDMG|3ASPD|45aVULN|6RCR|7RMIN|8TLV|9DUR
38	62633 23124	3	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1DMG|2CDMG|3ASPD|45aVULN|6RCR|7ZMB|8TLV|9DUR
39	62633 25221	3	   	262.11	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG|1ASPD	1DMG|2CDMG|3ASPD|45aVULN|6RCR|7DUR|8TLV|9BEXP
40	62633 24211	3	   	262.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1DMG|2CDMG|3ASPD|45aVULN|6RCR|7DUST|8TLV|9DUR
41	13123 63132	9	   	261.54	DCR|4VULN|2DMG|1DUR	1MLV|2BELT|35DMG|4568VULN|5BPWR|7RCVC|9RCR|aDUR
42	43123 21515	6	   	261.54	DCR|4VULN|2DMG|1TLV	1TLV|2BELT|35DMG|4578VULN|5BPWR|6CGEN|9LWND|aRCR
43	43123 21515	7	   	261.54	DCR|4VULN|2DMG|1TLV	1TLV|2BELT|35DMG|4578VULN|5BPWR|6CGEN|9LWND|aRCR
44	53123 36313	5	   	261.54	DCR|4VULN|2DMG|1DUR	1CGEN|2BELT|35DMG|4579VULN|5BPWR|6RCR|8RPLT|aDUR
45	53123 36314	5	   	261.54	DCR|4VULN|2DMG|1TLV	1CGEN|2BELT|35DMG|4579VULN|5BPWR|6RCR|8RPLT|aTLV
46	33123 36313	5	   	261.44	DCR|4VULN|2DMG|1DUR	1ERES|2BELT|35DMG|4579VULN|5BPWR|6RCR|8RPLT|aDUR
47	33123 36314	5	   	261.44	DCR|4VULN|2DMG|1TLV	1ERES|2BELT|35DMG|4579VULN|5BPWR|6RCR|8RPLT|aTLV
48	33123 36643	5	   	261.44	DCR|4VULN|2DMG|1DUR	1ERES|2BELT|35DMG|457aVULN|5BPWR|6RCR|8RMIN|9DUR
49	33123 36414	5	   	261.34	DCR|4VULN|2DMG|1TLV	1ERES|2BELT|35DMG|457aVULN|5BPWR|6RCR|8TLV|9BBNT
50	33123 36434	5	   	261.34	DCR|4VULN|2DMG|1TLV	1ERES|2BELT|35DMG|457aVULN|5BPWR|6RCR|8TLV|9TBNT
51	43123 11412	6	   	261.30	DCR|4VULN|2DMG|1TLV|1SELL	1TLV|2BELT|35DMG|459aVULN|5BPWR|6FEWX|7RCR|8SELL
52	43123 21412	5	   	261.30	DCR|4VULN|2DMG|1TLV|1SELL	1TLV|2BELT|35DMG|459aVULN|5BPWR|6LHND|7RCR|8SELL
53	43123 32412	5	   	261.30	DCR|4VULN|2DMG|1TLV|1SELL	1TLV|2BELT|35DMG|459aVULN|5BPWR|6RCR|7FEWX|8SELL
54	43123 35412	5	   	261.30	DCR|4VULN|2DMG|1TLV|1SELL	1TLV|2BELT|35DMG|459aVULN|5BPWR|6RCR|7LHND|8SELL
55	13123 36412	5	   	261.30	DCR|4VULN|2DMG|1DUR|1SELL	1MLV|2BELT|35DMG|459aVULN|5BPWR|6RCR|7DUR|8SELL
56	43122 21412	5	   	261.20	DCR|4VULN|2DMG|1TLV|1SELL	1TLV|2BELT|36DMG|469aVULN|5LEGI|6BPWR|7RCR|8SELL
57	43126 21412	4	   	261.20	DCR|4VULN|2DMG|1TLV|1SELL	1TLV|2BELT|36DMG|469aVULN|5LEGI|6BPWR|7RCR|8SELL
