0	Index      	Bounty	 *	Score 	Summary	Detail	
1	34231 22287	10	 * 	281.57	DCR|3VULN|3DUR|2DMG|2LIT	1aLIT|2aDMG|3MBVNT|47aVULN|589DUR|6RCR|aBPWR
69	31111 23232	4	   	257.46	DCR|2VULN|3DMG|3CDMG|3LIT|1NUKE	158LIT|289CDMG|3NUKE|4LWND|69VULN|789DMG|89BPWR|aRCR
70	31141 23232	3	   	257.46	DCR|2VULN|3DMG|3CDMG|3LIT|1NUKE	158LIT|289CDMG|3NUKE|4LWND|69VULN|789DMG|89BPWR|aRCR
71	34238 36431	4	   	257.41	DCR|3VULN|3DMG|1ASPD	1LIT|259DMG|3MBVNT|45aVULN|5BPWR|6BBNT|7RCR|8ASPD
72	34232 36453	5	   	257.28	DCR|3VULN|2ASPD|1DMG|1DUR|2LIT	19LIT|2DMG|3MBVNT|459VULN|6BBNT|7RCR|89ASPD|9BPWR|aDUR
73	32332 56113	9	   	257.12	DCR|4VULN|2ASPD|1DMG	1LIT|2LHND|3568VULN|49ASPD|7RCR|aDMG
74	33332 56113	9	   	257.12	DCR|4VULN|2ASPD|1DMG	1LIT|2FEWX|3568VULN|49ASPD|7RCR|aDMG
75	35332 56113	9	   	257.12	DCR|4VULN|2ASPD|1DMG	1LIT|2LWND|3568VULN|49ASPD|7RCR|aDMG
76	21334 77374	10	 * 	257.11	DCR|3VULN|2DUR|2ASPD|1DMG	1RPLT|2aDUR|3RMIN|4MBVNT|5DMG|67aVULN|8RCR|9aASPD|aBPWR
77	32332 56112	9	   	256.60	DCR|5VULN|2ASPD	1LIT|2LHND|3568aVULN|49ASPD|7RCR
78	33332 56112	9	   	256.60	DCR|5VULN|2ASPD	1LIT|2FEWX|3568aVULN|49ASPD|7RCR
79	35332 56112	9	   	256.60	DCR|5VULN|2ASPD	1LIT|2LWND|3568aVULN|49ASPD|7RCR
80	33342 56111	9	   	256.57	DCR|4VULN|1DMG|1ASPD|1AART	1LIT|2FEWX|3568VULN|4DMG|7RCR|9ASPD|aAART
81	33311 16344	1	   	256.11	DCR|4VULN|1DMG|2LIT|1CDMG	14LIT|2579VULN|3LWND|6CDMG|8RCR|aDMG
82	36511 16123	1	   	255.91	DCR|2VULN|3DMG|1TLV|2LIT|1CDMG|1SELL	15LIT|2SELL|36VULN|46aDMG|6BPWR|7TLV|8CDMG|9RCR
83	32342 56123	7	   	255.45	DCR|5VULN|1DMG	1LIT|2LHND|3568aVULN|4DMG|7RCR|9FEWX
84	32342 56123	8	   	255.45	DCR|5VULN|1DMG	1LIT|2LHND|3568aVULN|4DMG|7RCR|9FEWX
85	33342 56122	8	   	255.45	DCR|5VULN|1DMG	1LIT|29FEWX|3568aVULN|4DMG|7RCR
86	33342 56122	7	   	255.45	DCR|5VULN|1DMG	1LIT|29FEWX|3568aVULN|4DMG|7RCR
87	34652 22312	5	   	255.43	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1LIT|2DMG|3DUR|45aVULN|6TLV|7RCVC|8RCR|9AART
88	34232 61143	8	   	255.35	DCR|5VULN|1DMG	1LIT|2DMG|3MBVNT|4568aVULN|7FEWX|9RCR
89	34232 61143	7	   	255.35	DCR|5VULN|1DMG	1LIT|2DMG|3MBVNT|4568aVULN|7FEWX|9RCR
90	34232 61164	10	   	255.35	DCR|5VULN|1DMG	1LIT|2DMG|3MBVNT|45689VULN|7FEWX|aRCR
91	34232 66143	6	   	255.35	DCR|5VULN|1DMG	1LIT|2DMG|3MBVNT|4568aVULN|7FEWX|9RCR
92	32342 56133	10	   	255.20	DCR|5VULN|1DMG|1SELL	1LIT|2LHND|3568aVULN|4DMG|7RCR|9SELL
93	33342 56133	10	   	255.20	DCR|5VULN|1DMG|1SELL	1LIT|2FEWX|3568aVULN|4DMG|7RCR|9SELL
94	32332 55141	8	   	254.17	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1LIT|2LHND|356VULN|4ASPD|7CDMG|8RCR|9DUR|aDMG
95	33332 55141	8	   	254.17	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1LIT|2FEWX|356VULN|4ASPD|7CDMG|8RCR|9DUR|aDMG
96	32321 12254	10	   	254.04	DCR|3VULN|2DUR|1TLV|1CDMG	1LIT|26LHND|38aVULN|4TLV|56DUR|6BPWR|7CDMG|9RCR
97	35321 12254	10	   	254.04	DCR|3VULN|2DUR|1TLV|1CDMG	1LIT|26LWND|38aVULN|4TLV|56DUR|6BPWR|7CDMG|9RCR
98	34115 35122	4	   	253.85	DCR|3VULN|2DMG|1TLV|2LIT	18LIT|28DMG|35RCVC|4ZMB|6TLV|78aVULN|8BPWR|9RCR
99	34116 35122	5	   	253.85	DCR|3VULN|2DMG|1TLV|2LIT	18LIT|28DMG|3RCVC|45ZMB|6TLV|78aVULN|8BPWR|9RCR
100	34133 36121	9	   	253.85	DCR|3VULN|2DMG|1DUR|2LIT	1aLIT|2aDMG|3RCVC|4DMSP|5DUR|6LWND|7RCR|89aVULN|aBPWR
101	34135 35122	4	   	253.85	DCR|3VULN|2DMG|1TLV|2LIT	18LIT|28DMG|3RCVC|4DMSP|5ZMB|6TLV|78aVULN|8BPWR|9RCR
102	34232 36353	5	   	253.65	DCR|3VULN|2DMG|1DUR|2LIT	19LIT|29DMG|3MBVNT|459VULN|6BBNT|7RCR|8RMIN|9BPWR|aDUR
103	34632 16333	9	   	253.65	DCR|3VULN|2DMG|1DUR|2LIT	16LIT|2aDMG|3DUR|4MBVNT|569VULN|6BPWR|7MLV|8RCR
104	34238 23135	4	   	253.65	DCR|3VULN|2DMG|1TLV|2LIT	19LIT|25DMG|3MBVNT|458VULN|5BPWR|6TLV|7CGEN|aRCR
105	34125 35123	3	   	253.60	DCR|2VULN|3DMG|1TLV|2LIT|1ASPD	18LIT|28aDMG|35RCVC|4ASPD|6TLV|78VULN|8BPWR|9RCR
106	34131 35123	5	   	253.60	DCR|2VULN|3DMG|1TLV|2LIT|1ASPD	18LIT|28aDMG|3RCVC|4DMSP|5ASPD|6TLV|78VULN|8BPWR|9RCR
107	33342 56123	7	   	253.50	DCR|4VULN|2DMG	1LIT|29FEWX|3568VULN|4aDMG|7RCR
108	33342 56123	8	   	253.50	DCR|4VULN|2DMG	1LIT|29FEWX|3568VULN|4aDMG|7RCR
109	21613 47384	10	   	253.48	DCR|3VULN|2DMG|2DUR	1RPLT|2aDUR|3ZMB|47aVULN|5MBVNT|6RMIN|8RCR|9aDMG|aBPWR
110	32342 56112	10	   	253.46	DCR|4VULN|1DMG|2LIT|1ASPD	1aLIT|2LHND|3568VULN|4DMG|7RCR|9ASPD
111	21161 36215	5	   	253.45	DCR|2VULN|3DUR|2DMG|1CDMG	1RPLT|29aDUR|3DUST|4aDMG|5CDMG|6LWND|7RCR|8aVULN|aBPWR
112	32321 12353	10	 * 	253.42	DCR|2VULN|3DUR|2CDMG|1TLV|2LIT	18LIT|26LHND|38VULN|4TLV|56aDUR|68BPWR|78CDMG|9RCR
113	32321 12355	9	   	253.42	DCR|2VULN|3DUR|2CDMG|1TLV|2LIT	18LIT|26LHND|38VULN|4TLV|56aDUR|68BPWR|78CDMG|9RCR
114	35321 12353	10	   	253.42	DCR|2VULN|3DUR|2CDMG|1TLV|2LIT	18LIT|26LWND|38VULN|4TLV|56aDUR|68BPWR|78CDMG|9RCR
115	35321 12355	9	   	253.42	DCR|2VULN|3DUR|2CDMG|1TLV|2LIT	18LIT|26LWND|38VULN|4TLV|56aDUR|68BPWR|78CDMG|9RCR
116	32342 52145	9	   	253.40	DCR|4VULN|2DMG	1LIT|2LHND|3568VULN|49DMG|7MBVNT|aRCR
117	34232 61145	9	   	253.40	DCR|4VULN|2DMG	1LIT|29DMG|3MBVNT|4568VULN|7FEWX|aRCR
118	34235 61143	7	   	253.40	DCR|4VULN|2DMG	1LIT|25DMG|3MBVNT|468aVULN|7FEWX|9RCR
119	34235 61143	8	   	253.40	DCR|4VULN|2DMG	1LIT|25DMG|3MBVNT|468aVULN|7FEWX|9RCR
120	32332 56111	10	   	253.31	DCR|4VULN|2ASPD|1TLV	1LIT|2LHND|3568VULN|49ASPD|7RCR|aTLV
121	33332 56111	10	   	253.31	DCR|4VULN|2ASPD|1TLV	1LIT|2FEWX|3568VULN|49ASPD|7RCR|aTLV
122	35332 56111	10	   	253.31	DCR|4VULN|2ASPD|1TLV	1LIT|2LWND|3568VULN|49ASPD|7RCR|aTLV
123	34232 64145	9	   	253.30	DCR|4VULN|2DMG	1LIT|29DMG|3MBVNT|4568VULN|7DUST|aRCR
124	21163 42235	7	   	253.28	DCR|3VULN|2DMG|2DUR	1RPLT|25DUR|3DUST|48DMG|6RCR|79aVULN
125	21163 42334	7	   	253.28	DCR|3VULN|2DMG|2DUR	1RPLT|25DUR|3DUST|4aDMG|6RCR|789VULN
126	33332 56251	7	   	253.23	DCR|4VULN|3ASPD|2LIT	1aLIT|2FEWX|356aVULN|48aASPD|7RCR|9LEGI|aBPWR
127	32332 53165	8	   	253.08	DCR|4VULN|3ASPD|2LIT|1SELL	1aLIT|2LHND|356aVULN|49aASPD|7SELL|8RCR|aBPWR
128	33332 56235	7	   	253.08	DCR|4VULN|3ASPD|2LIT|1SELL	1aLIT|2FEWX|356aVULN|48aASPD|7RCR|9SELL|aBPWR
129	34232 36332	5	   	253.06	DCR|3VULN|3DMG|2LIT	1aLIT|29aDMG|3MBVNT|45aVULN|6BBNT|7RCR|8RMIN|aBPWR
130	34232 66332	5	   	253.06	DCR|3VULN|3DMG|2LIT	1aLIT|29aDMG|3MBVNT|45aVULN|6TBNT|7RCR|8RMIN|aBPWR
131	34235 36332	4	   	253.06	DCR|3VULN|3DMG|2LIT	1aLIT|29aDMG|3MBVNT|45aVULN|6BBNT|7RCR|8RMIN|aBPWR
132	42352 32423	7	   	252.99	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1ASPD	148LWND|2TLV|38VULN|5CDMG|6ASPD|78DMG|8BPWR|9DUR|aRCR
133	33361 61152	3	   	252.83	DCR|3VULN|1DMG|1DUR|1CDMG|1AART	1LIT|2FEWX|389VULN|4AART|5CDMG|6DMG|7RCR|aDUR
134	33361 61153	3	   	252.83	DCR|3VULN|1DMG|1TLV|1CDMG|1AART	1LIT|2FEWX|389VULN|4AART|5CDMG|6DMG|7RCR|aTLV
135	61314 23215	6	 * 	252.80	ACR|5VULN|3DUR|1CDMG	169ZMB|2RCR|35789VULN|459DUR|59BPWR|aCDMG
136	33332 56111	7	   	252.76	DCR|4VULN|1TLV|1ASPD|1AART	1LIT|2FEWX|3568VULN|4ASPD|7RCR|9TLV|aAART
137	33332 56111	8	   	252.76	DCR|4VULN|1TLV|1ASPD|1AART	1LIT|2FEWX|3568VULN|4ASPD|7RCR|9TLV|aAART
138	32321 62354	10	   	252.42	DCR|3VULN|2CDMG|1DUR|1TLV|2LIT	18LIT|26LHND|38aVULN|4TLV|5DUR|78CDMG|8BPWR|9RCR
139	33311 16345	1	   	252.30	DCR|4VULN|1DUR|2LIT|1CDMG	14LIT|2579VULN|3LWND|6CDMG|8RCR|aDUR
140	24125 21353	7	   	252.25	DCR|3VULN|3DMG|1CDMG	1RPLT|29aCGEN|39aDMG|4LWND|5CDMG|6RCR|7RMIN|89aVULN|9aBPWR
141	24132 42353	7	   	252.25	DCR|3VULN|3DMG|1CDMG	1RPLT|29aCGEN|39aDMG|4RMIN|5LHND|6RCR|7CDMG|89aVULN|9aBPWR
142	33361 51231	3	   	252.22	DCR|4VULN|2CDMG|2LIT|1AART	18LIT|29FEWX|368aVULN|4AART|58CDMG|7RCR|8BPWR
143	32342 56112	7	   	252.16	DCR|4VULN|1DMG|1TLV	1LIT|2LHND|3568VULN|4DMG|7RCR|9TLV|aCGEN
144	32342 56112	8	   	252.16	DCR|4VULN|1DMG|1TLV	1LIT|2LHND|3568VULN|4DMG|7RCR|9TLV|aCGEN
145	32342 56113	7	   	252.16	DCR|4VULN|1DMG|1TLV	1LIT|2LHND|3568VULN|4DMG|7RCR|9TLV|aRCVC
146	32342 56113	8	   	252.16	DCR|4VULN|1DMG|1TLV	1LIT|2LHND|3568VULN|4DMG|7RCR|9TLV|aRCVC
147	32342 56131	7	   	252.16	DCR|4VULN|1DMG|1DUR	1LIT|2LHND|3568VULN|4DMG|7RCR|9CGEN|aDUR
148	32342 56131	8	   	252.16	DCR|4VULN|1DMG|1DUR	1LIT|2LHND|3568VULN|4DMG|7RCR|9CGEN|aDUR
149	33342 26323	5	   	252.16	DCR|4VULN|1DMG|1TLV	1LIT|2FEWX|357aVULN|4DMG|6TLV|8RCR|9RPLT
150	33342 56113	8	   	252.16	DCR|4VULN|1DMG|1TLV	1LIT|2aFEWX|3568VULN|4DMG|7RCR|9TLV
151	33342 56113	7	   	252.16	DCR|4VULN|1DMG|1TLV	1LIT|2aFEWX|3568VULN|4DMG|7RCR|9TLV
152	33342 56323	10	   	252.16	DCR|4VULN|1DMG|1DUR	1LIT|2FEWX|3569VULN|4DMG|7RCR|8LWND|aDUR
153	33344 26323	4	   	252.16	DCR|4VULN|1DMG|1TLV	1LIT|2FEWX|357aVULN|4DMG|6TLV|8RCR|9RPLT
154	34232 27623	5	   	252.06	DCR|4VULN|1DMG|1TLV	1LIT|2DMG|3MBVNT|457aVULN|6TLV|8RCR|9RPLT
155	33342 56112	7	   	252.06	DCR|4VULN|1DMG|1TLV	1LIT|2FEWX|3568VULN|4DMG|7RCR|9TLV|aDUST
156	33342 56112	8	   	252.06	DCR|4VULN|1DMG|1TLV	1LIT|2FEWX|3568VULN|4DMG|7RCR|9TLV|aDUST
157	21142 61232	7	   	251.92	DCR|4VULN|2DUR|1CDMG	1RPLT|2aDUR|3DUST|4568VULN|7CDMG|9RCR
158	21142 64232	6	   	251.92	DCR|4VULN|2DUR|1CDMG	1RPLT|2aDUR|3DUST|4568VULN|7CDMG|9RCR
159	33342 56133	9	   	251.91	DCR|4VULN|1DMG|1DUR|1SELL	1LIT|2FEWX|3568VULN|4DMG|7RCR|9SELL|aDUR
160	33342 56133	7	   	251.91	DCR|4VULN|1DMG|1DUR|1SELL	1LIT|2FEWX|3568VULN|4DMG|7RCR|9SELL|aDUR
161	33342 56133	8	   	251.91	DCR|4VULN|1DMG|1DUR|1SELL	1LIT|2FEWX|3568VULN|4DMG|7RCR|9SELL|aDUR
