0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35134 88422	2	 * 	280.74	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	1MBVNT|239VULN|39BPWR|4RPLT|5ASPD|69DMG|7RCR|89DUR|aTLV
28	35146 33281	6	   	267.38	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	1MBVNT|29VULN|3CDMG|49DUR|5TLV|6ERES|79DMG|8RCR|9BPWR|aASPD
29	35814 17213	3	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1MBVNT|27aVULN|3aDMG|4FEWX|5TBNT|6RCR|8CDMG|9aDUR|aBPWR
30	35144 21671	8	   	266.93	DCR|3VULN|2DMG|2DUR|1CDMG	1MBVNT|278VULN|3CDMG|4aDUR|56DMG|9RCR
31	35113 38426	2	 * 	266.71	DCR|3VULN|3DUR|2DMG	1MBVNT|239VULN|39BPWR|4ZMB|59DMG|6RPLT|7RCR|89aDUR
32	31136 83126	1	   	266.51	DCR|3VULN|3DUR|2DMG	1MBVNT|2TBNT|35aDUR|4BBNT|6RCR|7aDMG|89aVULN|aBPWR
33	35146 43244	4	 * 	265.37	DCR|3VULN|3DUR|2CDMG|1TLV	1MBVNT|279VULN|37CDMG|479DUR|5TBNT|6RCR|79BPWR|89ZMB|aTLV
34	31483 73428	1	   	265.31	DCR|3VULN|2DUR|2ASPD|1DMG	1MBVNT|2TBNT|39ASPD|479VULN|5LIT|6DMG|89DUR|9BPWR|aRCR
35	32141 82828	6	 * 	265.16	DCR|4VULN|2ASPD|1DMG|1DUR	1MBVNT|27CGEN|3DUR|47ASPD|5679VULN|7BPWR|8DMG|aRCR
36	35242 62228	3	 * 	265.06	DCR|4VULN|2ASPD|2TLV|1DUR	1MBVNT|2479VULN|3DUR|57TLV|67ASPD|7BPWR|8MLV|aRCR
37	35442 11652	7	 * 	264.83	DCR|5VULN|2DMG	1MBVNT|2469aVULN|3BELT|59LHND|7RCR|89DMG|9BPWR
38	35442 12752	8	   	264.83	DCR|5VULN|2DMG	1MBVNT|2469aVULN|3BELT|59LHND|79DMG|8RCR|9BPWR
39	32141 84258	9	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	1MBVNT|29CGEN|39DUR|4ASPD|568VULN|79DMG|9BPWR|aRCR
40	35134 88421	2	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	1MBVNT|239VULN|39BPWR|4RPLT|5ASPD|69DMG|7RCR|89DUR|aBEXP
41	35134 88423	2	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	1MBVNT|239VULN|39BPWR|4RPLT|5ASPD|69DMG|7RCR|89DUR|aLWND
42	35134 88424	2	   	264.49	DCR|3VULN|2DMG|2DUR|1ASPD	1MBVNT|239VULN|39BPWR|4RPLT|5ASPD|69DMG|7RCR|89DUR|aFEWX
43	51231 36341	10	 * 	264.02	DCR|4VULN|2TLV|1DMG|1DUR	19ZMB|2DUR|3589VULN|4DMG|6BEXP|79TLV|9BPWR|aRCR
44	23331 15626	6	 * 	263.72	DCR|3VULN|2DMG|2ASPD|2TLV	17DUST|27TLV|358VULN|49DMG|67ASPD|7BPWR|aRCR
45	33114 73325	3	   	263.55	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1MBVNT|29BEXP|3CDMG|49aVULN|5ASPD|6DUR|79DMG|8RCR|9BPWR
46	33184 73325	4	   	263.55	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1MBVNT|29BEXP|3CDMG|49aVULN|5ASPD|6DUR|79DMG|8RCR|9BPWR
47	34114 83325	3	   	263.55	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1MBVNT|29LWND|3CDMG|49aVULN|5ASPD|6DUR|79DMG|8RCR|9BPWR
48	34184 83325	4	   	263.55	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1MBVNT|29LWND|3CDMG|49aVULN|5ASPD|6DUR|79DMG|8RCR|9BPWR
49	35114 73325	4	   	263.55	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1MBVNT|29aVULN|3CDMG|49LHND|5ASPD|6DUR|79DMG|8RCR|9BPWR
50	35124 73325	4	   	263.55	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1MBVNT|29aVULN|3CDMG|49FEWX|5ASPD|6DUR|79DMG|8RCR|9BPWR
51	35124 73325	3	   	263.55	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1MBVNT|29aVULN|3CDMG|49FEWX|5ASPD|6DUR|79DMG|8RCR|9BPWR
52	35134 73325	3	   	263.55	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1MBVNT|29aVULN|3CDMG|49LHND|5ASPD|6DUR|79DMG|8RCR|9BPWR
53	23332 34252	8	   	263.26	DCR|3VULN|2DMG|1TLV|1DUR	1DUST|2TLV|378VULN|49DMG|5LIT|6RCR|aDUR
54	32221 82851	6	   	263.15	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1MBVNT|27CGEN|3ASPD|47DUR|567VULN|7BPWR|8DMG|9TLV|aRCR
55	32241 82851	6	   	263.15	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1MBVNT|27CGEN|3ASPD|457VULN|67DUR|7BPWR|8DMG|9TLV|aRCR
56	33285 13152	9	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1MBVNT|2aBEXP|38DUR|4aDMG|5AART|69aVULN|7RCR|aBPWR
57	34283 13152	9	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1MBVNT|2aLWND|38DUR|4aDMG|5AART|69aVULN|7RCR|aBPWR
58	35283 33152	9	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1MBVNT|29aVULN|38DUR|4aDMG|5AART|6aBEXP|7RCR|aBPWR
59	35282 18322	6	   	263.10	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR|1CDMG	1MBVNT|29VULN|3DUR|49DMG|5CDMG|6FEWX|79ASPD|8RCR|9BPWR|aTLV
60	23242 34214	9	   	263.06	DCR|4VULN|1DMG|1TLV|1ASPD	1DUST|2TLV|3ASPD|4789VULN|5LIT|6RCR|aDMG
61	23332 34616	9	   	263.06	DCR|4VULN|1DMG|1TLV|1ASPD	1DUST|2TLV|379aVULN|4DMG|5LIT|6RCR|8ASPD
62	23352 34214	9	   	263.06	DCR|4VULN|1DMG|1TLV|1ASPD	1DUST|2TLV|3789VULN|4ASPD|5LIT|6RCR|aDMG
63	35122 31381	2	   	262.95	DCR|3VULN|2DUR|2CDMG|1TLV|1ASPD	1MBVNT|239VULN|39BPWR|4LEGI|5TLV|69DUR|7RCR|89CDMG|aASPD
64	35283 23152	9	   	262.94	DCR|3VULN|2DMG|2DUR|1AART	1MBVNT|29aVULN|38DUR|4aDMG|5AART|6aDUST|7RCR|aBPWR
65	31485 14324	1	 * 	262.92	DCR|3VULN|3ASPD|2DUR|1TLV	1MBVNT|2TBNT|37aASPD|47aVULN|57LWND|6RCR|7aBPWR|8TLV|9aDUR
66	35146 12333	9	 * 	262.79	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV	1MBVNT|29VULN|38CDMG|49DUR|5TLV|6FEWX|79DMG|9BPWR|aRCR
67	35146 62233	9	   	262.79	DCR|2VULN|2DMG|2DUR|2CDMG|1TLV	1MBVNT|29VULN|38CDMG|49DUR|5TLV|6LWND|79DMG|9BPWR|aRCR
68	23332 34254	8	   	262.66	DCR|3VULN|3DMG|1TLV	1DUST|2TLV|378VULN|49aDMG|5LIT|6RCR
69	23242 34211	10	   	262.54	DCR|5VULN|1TLV|1ASPD	1DUST|2TLV|3ASPD|4789aVULN|5LIT|6RCR
70	23352 34211	10	   	262.54	DCR|5VULN|1TLV|1ASPD	1DUST|2TLV|3789aVULN|4ASPD|5LIT|6RCR
71	35242 62841	3	   	262.49	DCR|3VULN|2ASPD|2TLV|1DMG|1DUR	1MBVNT|247VULN|3DUR|57TLV|67ASPD|7BPWR|8DMG|9ZMB|aRCR
72	23332 34411	10	   	262.42	DCR|4VULN|2TLV|1DMG|2LIT	18DUST|28TLV|379aVULN|4DMG|58LIT|6RCR|8BPWR
73	42131 33324	5	   	261.64	DCR|4VULN|2DMG|1DUR	19FEWX|2RMIN|3DUR|49DMG|569aVULN|7RPLT|8RCR|9BPWR
74	36241 53145	10	   	261.55	DCR|3VULN|2DMG|2DUR|1SELL	1MBVNT|2SELL|39aVULN|49DUR|5LIT|6LHND|7RCR|89DMG|9BPWR
75	32131 82228	6	   	261.54	DCR|4VULN|2DMG|1DUR	1MBVNT|27CGEN|3DUR|47DMG|5679VULN|7BPWR|8MLV|aRCR
76	32331 27833	9	   	261.54	DCR|4VULN|2DMG|1TLV	1MBVNT|268CGEN|3578VULN|48DMG|8BPWR|9RCR|aTLV
77	32331 27837	10	   	261.54	DCR|4VULN|2DMG|1DUR	1MBVNT|268CGEN|3578VULN|48DMG|8BPWR|9RCR|aDUR
78	32421 82258	9	   	261.54	DCR|4VULN|2DMG|1DUR	1MBVNT|29CGEN|3RMIN|4DUR|5689VULN|79DMG|9BPWR|aRCR
79	32121 82258	9	   	261.44	DCR|4VULN|2DMG|1DUR|1NUKE	1MBVNT|29CGEN|3DUR|4NUKE|5689VULN|79DMG|9BPWR|aRCR
80	32131 82258	9	   	261.44	DCR|4VULN|2DMG|1DUR|1NUKE	1MBVNT|29CGEN|3DUR|49DMG|5689VULN|7NUKE|9BPWR|aRCR
81	32331 27832	9	   	260.94	DCR|4VULN|3DMG	1MBVNT|268CGEN|3578VULN|48aDMG|8BPWR|9RCR
82	32331 53762	3	   	260.94	DCR|4VULN|3DMG	1MBVNT|29CGEN|3689VULN|4BBNT|569DMG|69BPWR|7RCR|aFEWX
83	32331 53763	3	   	260.94	DCR|4VULN|3DMG	1MBVNT|29CGEN|3689VULN|4BBNT|569DMG|69BPWR|7RCR|aRCVC
84	32331 53764	3	   	260.94	DCR|4VULN|3DMG	1MBVNT|29CGEN|3689VULN|4BBNT|569DMG|69BPWR|7RCR|aBELT
85	33321 47426	5	   	260.94	DCR|4VULN|3DMG	1MBVNT|248BEXP|39aDUST|589aVULN|6RCR|789DMG|89aBPWR
86	33321 82426	7	   	260.94	DCR|4VULN|3DMG	1MBVNT|248BEXP|39aDUST|589aVULN|6RCR|789DMG|89aBPWR
87	33321 87426	6	   	260.94	DCR|4VULN|3DMG	1MBVNT|248BEXP|39aDUST|589aVULN|6RCR|789DMG|89aBPWR
88	35111 83145	10	   	260.86	DCR|3VULN|2DMG|1DUR|1CDMG	1MBVNT|29aVULN|3CDMG|49LHND|5LIT|6DUR|7RCR|89DMG|9BPWR
89	32331 53761	3	   	260.84	DCR|4VULN|3DMG	1MBVNT|29CGEN|3689VULN|4BBNT|569DMG|69BPWR|7RCR|aDUST
90	31222 15746	5	   	260.63	DCR|3VULN|2ASPD|1TLV|2LIT|1CDMG|1AART	1MBVNT|28LIT|38ASPD|4TLV|5CDMG|6AART|789VULN|8BPWR|aRCR
91	31222 35746	6	   	260.63	DCR|3VULN|2ASPD|1TLV|2LIT|1CDMG|1AART	1MBVNT|28LIT|38ASPD|4TLV|5CDMG|689VULN|7AART|8BPWR|aRCR
92	31485 14213	1	   	260.32	DCR|3VULN|3ASPD|2DUR|1CDMG	1MBVNT|2TBNT|37aASPD|47aVULN|57LWND|6RCR|7aBPWR|8CDMG|9aDUR
93	32221 82834	6	   	260.13	DCR|3VULN|3DUR|1DMG|1ASPD	1MBVNT|27CGEN|3ASPD|479DUR|567VULN|7BPWR|8DMG|aRCR
94	32241 82834	6	   	260.13	DCR|3VULN|3DUR|1DMG|1ASPD	1MBVNT|27CGEN|3ASPD|457VULN|679DUR|7BPWR|8DMG|aRCR
95	32221 84258	9	   	260.11	DCR|3VULN|2DMG|2ASPD|1DUR	1MBVNT|29CGEN|39ASPD|4DUR|568VULN|79DMG|9BPWR|aRCR
96	35286 34241	5	   	260.11	DCR|3VULN|2DMG|2ASPD|1DUR	1MBVNT|267VULN|3DUR|47DMG|57ASPD|7BPWR|8MLV|9ZMB|aRCR
97	35286 34441	5	   	260.11	DCR|3VULN|2DMG|2ASPD|1DUR	1MBVNT|267VULN|3DUR|47DMG|57ASPD|7BPWR|8FEWX|9RCVC|aRCR
98	35288 34241	4	   	260.11	DCR|3VULN|2DMG|2ASPD|1DUR	1MBVNT|267VULN|3DUR|47DMG|57ASPD|7BPWR|8MLV|9ZMB|aRCR
99	35288 34441	4	   	260.11	DCR|3VULN|2DMG|2ASPD|1DUR	1MBVNT|267VULN|3DUR|47DMG|57ASPD|7BPWR|8FEWX|9RCVC|aRCR
100	35631 16441	6	   	260.11	DCR|3VULN|2DMG|2ASPD|1TLV	1MBVNT|257VULN|3CGEN|47DMG|67ASPD|7BPWR|8FEWX|9TLV|aRCR
101	32241 84258	9	   	260.11	DCR|3VULN|2DMG|2ASPD|1DUR	1MBVNT|29CGEN|39ASPD|458VULN|6DUR|79DMG|9BPWR|aRCR
102	51231 36321	10	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1ZMB|2DUR|3589VULN|4DMG|6BEXP|7TLV|aRCR
103	52131 36321	10	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1ZMB|2589VULN|3DUR|4DMG|6BEXP|7TLV|aRCR
104	35144 18322	6	   	260.10	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	1MBVNT|29VULN|3CDMG|49DUR|5DMG|6FEWX|79ASPD|8RCR|9BPWR|aTLV
105	35842 18322	6	   	260.10	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	1MBVNT|29VULN|3DMG|49DUR|5CDMG|6FEWX|79ASPD|8RCR|9BPWR|aTLV
106	35126 64241	2	   	260.01	DCR|3VULN|2DMG|2ASPD|1TLV	1MBVNT|237VULN|37BPWR|4LEGI|57ASPD|67DMG|8MLV|9TLV|aRCR
107	35163 32142	2	   	259.91	DCR|3VULN|2DMG|2ASPD|1TLV	1MBVNT|239VULN|39BPWR|4ERES|59DMG|6TBNT|79ASPD|8RCR|aTLV
108	35286 34132	5	   	259.87	DCR|3VULN|2DMG|2ASPD|1DUR|1SELL	1MBVNT|267VULN|3DUR|47DMG|57ASPD|7BPWR|8SELL|9RCR|aLHND
109	35286 34133	5	   	259.87	DCR|3VULN|2DMG|2ASPD|1DUR|1SELL	1MBVNT|267VULN|3DUR|47DMG|57ASPD|7BPWR|8SELL|9RCR|aRMIN
110	35288 34132	4	   	259.87	DCR|3VULN|2DMG|2ASPD|1DUR|1SELL	1MBVNT|267VULN|3DUR|47DMG|57ASPD|7BPWR|8SELL|9RCR|aLHND
111	35288 34133	4	   	259.87	DCR|3VULN|2DMG|2ASPD|1DUR|1SELL	1MBVNT|267VULN|3DUR|47DMG|57ASPD|7BPWR|8SELL|9RCR|aRMIN
112	35245 22172	3	   	259.83	DCR|3VULN|3DUR|2ASPD|1AART	1MBVNT|24aVULN|39aDUR|5LEGI|6AART|7aASPD|8RCR|aBPWR
113	35286 34131	5	   	259.77	DCR|3VULN|2DMG|2ASPD|1DUR|1SELL	1MBVNT|267VULN|3DUR|47DMG|57ASPD|7BPWR|8SELL|9RCR|aDUST
114	35288 34131	4	   	259.77	DCR|3VULN|2DMG|2ASPD|1DUR|1SELL	1MBVNT|267VULN|3DUR|47DMG|57ASPD|7BPWR|8SELL|9RCR|aDUST
115	23332 34236	10	   	259.32	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1DUST|2TLV|378VULN|4DMG|5LIT|6RCR|9DUR|aCDMG
116	23242 34212	9	   	259.25	DCR|4VULN|1TLV|1DUR|1ASPD	1DUST|2TLV|3ASPD|4789VULN|5LIT|6RCR|aDUR
117	23352 34212	9	   	259.25	DCR|4VULN|1TLV|1DUR|1ASPD	1DUST|2TLV|3789VULN|4ASPD|5LIT|6RCR|aDUR
118	35283 13281	3	   	259.21	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1ASPD	1MBVNT|29VULN|3DUR|49CDMG|5MLV|6TLV|79DMG|8RCR|9BPWR|aASPD
119	35284 33281	3	   	259.21	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1ASPD	1MBVNT|29VULN|3DUR|49CDMG|5CGEN|6TLV|79DMG|8RCR|9BPWR|aASPD
120	35284 73322	2	   	259.21	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1ASPD	1MBVNT|29VULN|3FEWX|49CDMG|5ASPD|6DUR|79DMG|8RCR|9BPWR|aTLV
121	35286 33222	8	   	259.21	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1ASPD	1MBVNT|29VULN|3DUR|49DMG|5ASPD|6RCR|7LWND|89CDMG|9BPWR|aTLV
122	35286 34222	8	   	259.21	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1ASPD	1MBVNT|29VULN|3DUR|49DMG|5ASPD|6RCR|7FEWX|89CDMG|9BPWR|aTLV
123	16434 33333	5	 * 	259.11	DCR|3VULN|2DUR|3LIT|1CDMG|1AART	1RCVC|2AART|37DUR|479VULN|578LIT|6RCR|7BPWR|aCDMG
124	35384 83322	3	   	259.11	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1ASPD	1MBVNT|29VULN|3DUST|49CDMG|5ASPD|6DUR|79DMG|8RCR|9BPWR|aTLV
125	35442 11651	7	   	258.94	DCR|4VULN|2DMG|1CDMG	1MBVNT|2469VULN|3BELT|59LHND|7RCR|89DMG|9BPWR|aCDMG
126	35442 12751	8	   	258.94	DCR|4VULN|2DMG|1CDMG	1MBVNT|2469VULN|3BELT|59LHND|79DMG|8RCR|9BPWR|aCDMG
127	32331 27838	10	   	258.94	DCR|4VULN|2DMG|1CDMG	1MBVNT|268CGEN|3578VULN|48DMG|8BPWR|9RCR|aCDMG
128	35111 83325	4	 * 	258.86	DCR|3VULN|2DMG|2CDMG|1DUR	1MBVNT|29aVULN|39CDMG|4LHND|5DUR|6RMIN|79DMG|8RCR|9BPWR
129	35131 83325	3	   	258.86	DCR|3VULN|2DMG|2CDMG|1DUR	1MBVNT|29aVULN|39CDMG|4LHND|5DUR|6RMIN|79DMG|8RCR|9BPWR
130	35143 83325	5	   	258.86	DCR|3VULN|2DMG|2CDMG|1DUR	1MBVNT|29aVULN|39CDMG|4DUR|5BEXP|6RMIN|79DMG|8RCR|9BPWR
131	35811 31225	8	   	258.86	DCR|3VULN|2DMG|2CDMG|1DUR	1MBVNT|29aVULN|39DMG|4LWND|5RMIN|6RCR|7DUR|89CDMG|9BPWR
132	35841 33225	8	   	258.86	DCR|3VULN|2DMG|2CDMG|1DUR	1MBVNT|29aVULN|39DMG|4DUR|5RMIN|6RCR|7LWND|89CDMG|9BPWR
133	35841 34225	8	   	258.86	DCR|3VULN|2DMG|2CDMG|1DUR	1MBVNT|29aVULN|39DMG|4DUR|5RMIN|6RCR|7FEWX|89CDMG|9BPWR
134	33845 13152	9	   	258.78	DCR|3VULN|3DUR|1DMG|1AART	1MBVNT|2aBEXP|3DMG|48aDUR|5AART|69aVULN|7RCR|aBPWR
135	35843 33152	9	   	258.78	DCR|3VULN|3DUR|1DMG|1AART	1MBVNT|29aVULN|3DMG|48aDUR|5AART|6aBEXP|7RCR|aBPWR
136	32141 82851	6	   	258.77	DCR|3VULN|2ASPD|1DMG|1TLV|1DUR	1MBVNT|27CGEN|3DUR|47ASPD|567VULN|7BPWR|8DMG|9TLV|aRCR
137	23322 34414	9	   	258.61	DCR|4VULN|1DMG|1TLV|2LIT|1NUKE	18DUST|2TLV|3789VULN|4NUKE|58LIT|6RCR|8BPWR|aDMG
138	23332 36211	10	   	258.61	DCR|4VULN|1DMG|1TLV|2LIT	1DUST|2TLV|389aVULN|4DMG|57LIT|6RCR
139	23534 36211	10	   	258.61	DCR|4VULN|1DMG|1TLV|2LIT	1DUST|2TLV|37LIT|4DMG|589aVULN|6RCR
140	35843 23152	9	   	258.58	DCR|3VULN|3DUR|1DMG|1AART	1MBVNT|29aVULN|3DMG|48aDUR|5AART|6aDUST|7RCR|aBPWR
141	35222 34828	5	   	258.54	DCR|4VULN|2DUR|1DMG	1MBVNT|2679VULN|37DUR|47BEXP|5DMSP|7BPWR|8DMG|aRCR
142	22136 63324	7	 * 	258.48	DCR|2VULN|3DMG|2DUR|1TLV	19DUST|2RMIN|35DUR|459DMG|59BPWR|6RPLT|79VULN|8RCR|aTLV
143	32121 82828	6	   	258.44	DCR|4VULN|2DUR|1DMG|1NUKE	1MBVNT|27CGEN|37DUR|4NUKE|5679VULN|7BPWR|8DMG|aRCR
144	32321 82828	6	   	258.44	DCR|4VULN|2DUR|1DMG|1NUKE	1MBVNT|27CGEN|3579VULN|4NUKE|67DUR|7BPWR|8DMG|aRCR
145	31517 46214	10	 * 	258.34	DCR|4VULN|2DUR|3LIT	1MBVNT|23aLIT|489aVULN|5DMSP|6RCR|7aDUR|aBPWR
146	35446 11622	7	   	258.34	DCR|4VULN|2DUR|1DMG	1MBVNT|246aVULN|3BELT|59DUR|7RCR|8DMG
147	35446 12722	8	   	258.34	DCR|4VULN|2DUR|1DMG	1MBVNT|246aVULN|3BELT|59DUR|7DMG|8RCR
148	35146 43714	4	 * 	258.33	DCR|2VULN|3DUR|1DMG|2CDMG|1TLV	1MBVNT|27VULN|37CDMG|478DUR|5TBNT|6RCR|7BPWR|9DMG|aTLV
149	35286 43242	3	 * 	258.19	DCR|3VULN|2DUR|3CDMG|1TLV	1MBVNT|279VULN|37DUR|479CDMG|5TBNT|6RCR|79BPWR|89ZMB|aTLV
150	23322 34411	10	   	258.08	DCR|5VULN|1TLV|2LIT|1NUKE	18DUST|2TLV|3789aVULN|4NUKE|58LIT|6RCR|8BPWR
151	23131 52625	5	   	258.03	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1DUST|2TLV|3DUR|4DMG|589VULN|6AART|7ASPD|aRCR
152	33722 17325	5	 * 	258.01	DCR|5VULN|2DUR	1MBVNT|29BEXP|3RPLT|49DUR|5679aVULN|8RCR|9BPWR
153	33722 37325	6	   	258.01	DCR|5VULN|2DUR	1MBVNT|29BEXP|3RPLT|49DUR|5679aVULN|8RCR|9BPWR
154	35441 17325	2	   	258.01	DCR|5VULN|2DUR	1MBVNT|2679aVULN|3RPLT|49BEXP|59DUR|8RCR|9BPWR
155	35446 11452	8	   	258.01	DCR|5VULN|2DUR	1MBVNT|2469aVULN|3BELT|59DUR|7RCR|89ZMB|9BPWR
156	23242 34251	8	   	258.01	DCR|3VULN|2DMG|1TLV|1ASPD	1DUST|2TLV|3ASPD|478VULN|5LIT|6RCR|9aDMG
157	23242 34336	7	   	258.01	DCR|3VULN|2DMG|1TLV|1ASPD	1DUST|2TLV|3ASPD|47aVULN|5LIT|6RCR|89DMG
158	23332 34336	7	   	258.01	DCR|3VULN|2DMG|1TLV|1ASPD	1DUST|2TLV|37aVULN|49DMG|5LIT|6RCR|8ASPD
