0	Index      	 *	Score 	Summary	Detail	
1	36112 12543	 * 	281.20	DCR|DCR|3TLV|2ASPD|2RAT|1NUKE	17RAT|2NUKE|3ERES|457TLV|67ASPD|7BPWR|8ZMB|9aRCR
15	12131 14211	   	262.88	ACR|DCR|2MLV|1VULN|1TLV	1BEXP|2AEBURN|3TBNT|46MLV|5aRCR|7TLV|8LHND|9VULN
16	12231 14111	   	262.88	ACR|DCR|2MLV|1VULN|1TLV	1BEXP|2AEBURN|3BBNT|46MLV|5aRCR|7TLV|8FEWX|9VULN
17	12231 14211	   	262.88	ACR|DCR|2MLV|1VULN|1TLV	1BEXP|2AEBURN|3BBNT|46MLV|5aRCR|7TLV|8LHND|9VULN
18	15131 14111	   	262.88	ACR|DCR|2MLV|1VULN|1TLV	13BEXP|2TBNT|46MLV|5aRCR|7TLV|8FEWX|9VULN
19	15131 14211	   	262.88	ACR|DCR|2MLV|1VULN|1TLV	13BEXP|2TBNT|46MLV|5aRCR|7TLV|8LHND|9VULN
20	63161 14111	   	262.88	ACR|DCR|2MLV|1VULN|1TLV	1ERES|26MLV|3TBNT|4CGEN|5aRCR|7TLV|8BEXP|9VULN
21	63261 14111	   	262.88	ACR|DCR|2MLV|1VULN|1TLV	1ERES|26MLV|3BBNT|4CGEN|5aRCR|7TLV|8BEXP|9VULN
22	52122 63623	 * 	262.59	DCR|2MLV|1VULN|1TLV|1DMG|1AAC|1CDMG	1AEPOI|2DMG|3VULN|4LIT|5CDMG|68MLV|7TLV|9AAC|aRCR
23	52222 15213	   	262.34	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD|1CDMG	1AEPOI|2DMG|3MLV|4ASPD|59VULN|6TLV|7TBNT|8RCR|aCDMG
24	32615 23233	   	259.48	DCR|DCR|2MLV	1RAT|28CGEN|3DUR|47MLV|5AART|6LIT|9aRCR
25	52113 62134	   	258.69	DCR|DCR|1VULN|1DMG|1AAC	1AEPOI|2DMG|3VULN|4AEWIND|5AAC|6RMIN|7aRCR|8AART|9CGEN
26	23266 41212	 * 	258.37	DCR|DCR|1VULN|1MLV|1ASPD	13CGEN|2BBNT|4MLV|5TBNT|6aRCR|7VULN|8ASPD|9VENFST
27	44213 63133	 * 	257.37	DCR|2TLV|1VULN|1MLV|1DMG|2CDMG|1AAC	15CDMG|2LIT|3AAC|4VULN|6MLV|79TLV|8DMG|aRCR
28	34331 54112	   	256.68	DCR|DCR|1VULN|1DMG|1ASPD	1RAT|2LIT|3ASPD|4FEWX|5BEXP|6DMG|7VULN|8BASHEA|9aRCR
29	52222 26224	 * 	256.06	DCR|2VULN|2MLV|1DMG|1ASPD|1CDMG	1AEPOI|2DMG|37MLV|4ASPD|5aVULN|6FEWX|8CDMG|9RCR
30	52222 15214	   	255.63	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1AEPOI|2DMG|3MLV|4ASPD|59VULN|6TLV|7TBNT|8RCR|aRAT
31	43125 14363	   	255.57	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2VULN|3FRZFST|4CANARM|5MBVNT|6aRCR|7MLV|8FEWX|9BBNT
32	36112 24343	 * 	254.50	DCR|DCR|2TLV|1DMG|1NUKE	1RAT|2NUKE|3ERES|45TLV|6MDPS|7ZMB|8DMG|9aRCR
33	13632 51611	   	253.83	DCR|DCR|1VULN|1TLV	1BEXP|2FEWX|3DUR|4TLV|5LHND|6AME|7DUST|8aRCR|9VULN
34	33412 23224	   	252.56	DCR|2VULN|1TLV|1MLV|1AAC|1ASPD	1RAT|2RMIN|35VULN|4MLV|6AAC|7TLV|8TBNT|9RCR|aASPD
35	33416 36211	 * 	251.79	DCR|3MLV|2VULN|2RAT	17RAT|2RMIN|37VULN|467MLV|5RPLT|7BPWR|8RCR|9SPLARM|aAART
36	33416 36233	   	251.79	DCR|3MLV|2VULN|2RAT	17RAT|2RMIN|37VULN|467MLV|5RPLT|7BPWR|8RCR|9LHND|aDUR
37	33416 36223	   	251.69	DCR|3MLV|2VULN|2RAT	17RAT|2RMIN|37VULN|467MLV|5RPLT|7BPWR|8RCR|9LEGI|aDUR
