0	Index      	 *	Score 	Summary	Detail	
1	12465 21212	 * 	296.27	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	19LHND|2CDMG|3VULN|4MLV|5TLV|6DUR|7AME|8aRCR
24	66214 33332	   	273.35	DCR|DCR|2TLV|1VULN|1CDMG	1CDMG|2VULN|3FEWX|48TLV|5BEXP|6DUST|7aRCR|9RCVC
25	31533 12345	 * 	269.45	DCR|2VULN|2MLV|2TLV|1AAC	18RMIN|2AAC|39VULN|4AEBURN|59TLV|6BBNT|79MLV|9BPWR|aRCR
26	44211 41313	 * 	269.12	DCR|DCR|1VULN|1MLV|1DMG	1TBNT|2CANSTR|3RAT|4VULN|5DMG|6ZMB|7aRCR|8CGEN|9MLV
27	12315 24411	   	268.63	DCR|DCR|1TLV|1AAC|1ASPD|1CDMG	1LHND|2CDMG|3BBNT|4TLV|5ASPD|6DUR|7aRCR|8VENFST|9AAC
28	31213 23664	   	268.63	DCR|DCR|1TLV|1AAC|1ASPD|1CDMG	1RMIN|2AAC|3ASPD|4ZMB|5TLV|6DUR|7AEFBLL|8CDMG|9aRCR
29	21215 24411	   	268.53	DCR|DCR|1TLV|1AAC|1ASPD|1CDMG	1AETHUN|2TBNT|3CDMG|4TLV|5ASPD|6DUR|7aRCR|8MSLREG|9AAC
30	12322 13141	   	268.02	ACR|DCR|3TLV|2MLV|1CDMG	18aLHND|2CDMG|3BBNT|47RCR|58aTLV|68AEFRZ|8aBPWR|9aMLV
31	12416 31212	   	267.58	DCR|DCR|1VULN|1TLV|1CDMG	19LHND|2CDMG|3VULN|4TLV|5AEPOI|6FEWX|7DUR|8aRCR
32	12416 31242	   	267.58	DCR|DCR|1VULN|1TLV|1CDMG	1LHND|2CDMG|3VULN|4TLV|5AEPOI|6FEWX|7DUR|8aRCR|9RCVC
33	63416 31232	   	267.58	DCR|DCR|1VULN|1TLV|1CDMG	1CDMG|2LWND|3VULN|4TLV|5AEPOI|69FEWX|7DUR|8aRCR
34	63423 23342	   	267.58	DCR|DCR|1VULN|1TLV|1CDMG	1CDMG|2LWND|3VULN|4BEXP|59RCVC|6DUR|7aRCR|8TLV
35	66116 31212	   	267.58	DCR|DCR|1VULN|1TLV|1CDMG	1CDMG|2VULN|39LHND|4TLV|5AEPOI|6FEWX|7DUR|8aRCR
36	12145 31342	   	267.48	DCR|DCR|1VULN|1TLV|1CDMG	13LHND|2CDMG|4AEWIND|5TLV|6VULN|7aRCR|8DUST|9DUR
37	12411 11212	   	267.48	DCR|DCR|1VULN|1TLV|1CDMG	19LHND|2CDMG|3VULN|4TLV|5AETHUN|6AEPOI|7DUR|8aRCR
38	12416 21342	   	267.48	DCR|DCR|1VULN|1TLV|1CDMG	1LHND|2CDMG|3VULN|4TLV|5AEPOI|6RCVC|7aRCR|8DUST|9DUR
39	64411 11232	   	267.48	DCR|DCR|1VULN|1TLV|1CDMG	1CDMG|29FEWX|3VULN|4TLV|5AETHUN|6AEPOI|7DUR|8aRCR
40	66111 11212	   	267.48	DCR|DCR|1VULN|1TLV|1CDMG	1CDMG|2VULN|39LHND|4TLV|5AETHUN|6AEPOI|7DUR|8aRCR
41	66211 11232	   	267.48	DCR|DCR|1VULN|1TLV|1CDMG	1CDMG|2VULN|39FEWX|4TLV|5AETHUN|6AEPOI|7DUR|8aRCR
42	66211 11242	   	267.48	DCR|DCR|1VULN|1TLV|1CDMG	1CDMG|2VULN|3FEWX|4TLV|5AETHUN|6AEPOI|7DUR|8aRCR|9RCVC
43	35326 32121	 * 	267.22	DCR|3MLV|2VULN|1AAC|1CDMG	1RMIN|2CDMG|369MLV|4RAT|5aVULN|7AAC|8RCR
44	62326 32121	   	267.22	DCR|3MLV|2VULN|1AAC|1CDMG	1CDMG|2RMIN|369MLV|4RAT|5aVULN|7AAC|8RCR
45	35326 33121	   	266.58	DCR|3MLV|2VULN|1ASPD|1CDMG	1RMIN|2CDMG|369MLV|4RAT|5aVULN|7ASPD|8RCR
46	62326 33121	   	266.58	DCR|3MLV|2VULN|1ASPD|1CDMG	1CDMG|2RMIN|369MLV|4RAT|5aVULN|7ASPD|8RCR
47	11111 22614	 * 	266.48	DCR|3MLV|2DMG|1VULN|1AAC	1LHND|2AAC|3RMIN|46DMG|567MLV|6BPWR|8VULN|9RCR|aDUR
48	31311 22614	   	266.48	DCR|3MLV|2DMG|1VULN|1AAC	1RMIN|2AAC|3LHND|46DMG|567MLV|6BPWR|8VULN|9RCR|aDUR
49	31411 22614	   	266.48	DCR|3MLV|2DMG|1VULN|1AAC	1RMIN|2AAC|3FEWX|46DMG|567MLV|6BPWR|8VULN|9RCR|aDUR
