0	Index      	 *	Score 	Summary	Detail	
1	32665 31312	 * 	289.08	ACR|DCR|3VULN|1TLV|1MLV	1LEGI|26RCR|3AEFRZ|4MLV|579VULN|8AME|aTLV
70	65622 11321	   	268.29	DCR|DCR|2VULN|1AAC	1BELT|2LHND|3LEGI|45VULN|68RCR|7FEWX|9AAC|aRAT
71	61512 11322	   	267.89	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2MLV|3DUR|4AME|5VULN|68RCR|7FEWX|9AAC|aCGEN
72	61512 11323	   	267.89	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2MLV|3DUR|4AME|5VULN|68RCR|7FEWX|9AAC|aLWND
73	61512 11325	   	267.89	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2MLV|3DUR|4AME|5VULN|68RCR|7aFEWX|9AAC
74	61561 11323	   	267.89	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2MLV|3DUR|4VULN|5RMIN|68RCR|7FEWX|9AAC|aRCVC
75	62252 11322	   	267.89	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2DUR|3AME|4MLV|5VULN|68RCR|7FEWX|9AAC|aCGEN
76	62252 11323	   	267.89	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2DUR|3AME|4MLV|5VULN|68RCR|7FEWX|9AAC|aLWND
77	62252 11325	   	267.89	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2DUR|3AME|4MLV|5VULN|68RCR|7aFEWX|9AAC
78	61515 12322	   	267.89	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2MLV|3DUR|4AME|5LHND|68RCR|7VULN|9AAC|aCGEN
79	61515 12323	   	267.89	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2MLV|3DUR|4AME|5LHND|68RCR|7VULN|9AAC|aLWND
80	62255 12322	   	267.89	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2DUR|3AME|4MLV|5LHND|68RCR|7VULN|9AAC|aCGEN
81	62255 12323	   	267.89	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2DUR|3AME|4MLV|5LHND|68RCR|7VULN|9AAC|aLWND
82	61512 11324	   	267.79	DCR|DCR|1VULN|1MLV|1AAC|1SELL	1BELT|2MLV|3DUR|4AME|5VULN|68RCR|7FEWX|9AAC|aSELL
83	61512 11326	   	267.79	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2MLV|3DUR|4AME|5VULN|68RCR|7FEWX|9AAC|aDUST
84	61561 11321	   	267.79	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2MLV|3DUR|4VULN|5RMIN|68RCR|7FEWX|9AAC|aDUST
85	61561 11322	   	267.79	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2MLV|3DUR|4VULN|5RMIN|68RCR|7FEWX|9AAC|aAETHUN
86	62252 11324	   	267.79	DCR|DCR|1VULN|1MLV|1AAC|1SELL	1BELT|2DUR|3AME|4MLV|5VULN|68RCR|7FEWX|9AAC|aSELL
87	62252 11326	   	267.79	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2DUR|3AME|4MLV|5VULN|68RCR|7FEWX|9AAC|aDUST
88	62264 12322	   	267.79	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2DUR|3AME|4BEXP|5MLV|68RCR|7VULN|9AAC|aCGEN
89	62264 12323	   	267.79	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2DUR|3AME|4BEXP|5MLV|68RCR|7VULN|9AAC|aLWND
90	65322 11331	   	267.65	DCR|DCR|2VULN|1ASPD	1BELT|2LHND|3AETHUN|45VULN|68RCR|7FEWX|9ASPD|aRAT
91	65622 11331	   	267.65	DCR|DCR|2VULN|1ASPD	1BELT|2LHND|3LEGI|45VULN|68RCR|7FEWX|9ASPD|aRAT
92	61512 11332	   	267.24	DCR|DCR|1VULN|1MLV|1ASPD	1BELT|2MLV|3DUR|4AME|5VULN|68RCR|7FEWX|9ASPD|aCGEN
93	61512 11333	   	267.24	DCR|DCR|1VULN|1MLV|1ASPD	1BELT|2MLV|3DUR|4AME|5VULN|68RCR|7FEWX|9ASPD|aLWND
94	61512 11335	   	267.24	DCR|DCR|1VULN|1MLV|1ASPD	1BELT|2MLV|3DUR|4AME|5VULN|68RCR|7aFEWX|9ASPD
95	61515 12332	   	267.24	DCR|DCR|1VULN|1MLV|1ASPD	1BELT|2MLV|3DUR|4AME|5LHND|68RCR|7VULN|9ASPD|aCGEN
96	61515 12333	   	267.24	DCR|DCR|1VULN|1MLV|1ASPD	1BELT|2MLV|3DUR|4AME|5LHND|68RCR|7VULN|9ASPD|aLWND
97	61561 11333	   	267.24	DCR|DCR|1VULN|1MLV|1ASPD	1BELT|2MLV|3DUR|4VULN|5RMIN|68RCR|7FEWX|9ASPD|aRCVC
98	62252 11332	   	267.24	DCR|DCR|1VULN|1MLV|1ASPD	1BELT|2DUR|3AME|4MLV|5VULN|68RCR|7FEWX|9ASPD|aCGEN
99	62252 11333	   	267.24	DCR|DCR|1VULN|1MLV|1ASPD	1BELT|2DUR|3AME|4MLV|5VULN|68RCR|7FEWX|9ASPD|aLWND
100	62252 11335	   	267.24	DCR|DCR|1VULN|1MLV|1ASPD	1BELT|2DUR|3AME|4MLV|5VULN|68RCR|7aFEWX|9ASPD
101	62255 12332	   	267.24	DCR|DCR|1VULN|1MLV|1ASPD	1BELT|2DUR|3AME|4MLV|5LHND|68RCR|7VULN|9ASPD|aCGEN
102	62255 12333	   	267.24	DCR|DCR|1VULN|1MLV|1ASPD	1BELT|2DUR|3AME|4MLV|5LHND|68RCR|7VULN|9ASPD|aLWND
103	61512 11334	   	267.14	DCR|DCR|1VULN|1MLV|1ASPD|1SELL	1BELT|2MLV|3DUR|4AME|5VULN|68RCR|7FEWX|9ASPD|aSELL
104	61512 11336	   	267.14	DCR|DCR|1VULN|1MLV|1ASPD	1BELT|2MLV|3DUR|4AME|5VULN|68RCR|7FEWX|9ASPD|aDUST
105	61561 11331	   	267.14	DCR|DCR|1VULN|1MLV|1ASPD	1BELT|2MLV|3DUR|4VULN|5RMIN|68RCR|7FEWX|9ASPD|aDUST
106	61561 11332	   	267.14	DCR|DCR|1VULN|1MLV|1ASPD	1BELT|2MLV|3DUR|4VULN|5RMIN|68RCR|7FEWX|9ASPD|aAETHUN
107	62252 11334	   	267.14	DCR|DCR|1VULN|1MLV|1ASPD|1SELL	1BELT|2DUR|3AME|4MLV|5VULN|68RCR|7FEWX|9ASPD|aSELL
108	62252 11336	   	267.14	DCR|DCR|1VULN|1MLV|1ASPD	1BELT|2DUR|3AME|4MLV|5VULN|68RCR|7FEWX|9ASPD|aDUST
109	62264 12332	   	267.14	DCR|DCR|1VULN|1MLV|1ASPD	1BELT|2DUR|3AME|4BEXP|5MLV|68RCR|7VULN|9ASPD|aCGEN
110	62264 12333	   	267.14	DCR|DCR|1VULN|1MLV|1ASPD	1BELT|2DUR|3AME|4BEXP|5MLV|68RCR|7VULN|9ASPD|aLWND
111	61412 11341	   	266.87	DCR|DCR|2MLV|1VULN	1BELT|2aMLV|3LHND|49AME|5VULN|68RCR|7FEWX
112	61412 11362	   	266.77	DCR|DCR|2MLV|1VULN	1BELT|2aMLV|3LHND|4AME|5VULN|68RCR|7FEWX|9MDPS
113	61412 11321	   	266.52	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2MLV|3LHND|4AME|5VULN|68RCR|7FEWX|9AAC|aRAT
114	65252 11321	   	266.52	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2LHND|3AME|4MLV|5VULN|68RCR|7FEWX|9AAC|aRAT
115	32663 33431	 * 	266.20	ACR|DCR|3MLV|1TLV|1AAC	1LEGI|26RCR|38AEFRZ|478MLV|58FEWX|8BPWR|9TLV|aAAC
116	61412 11331	   	265.88	DCR|DCR|1VULN|1MLV|1ASPD	1BELT|2MLV|3LHND|4AME|5VULN|68RCR|7FEWX|9ASPD|aRAT
117	65252 11331	   	265.88	DCR|DCR|1VULN|1MLV|1ASPD	1BELT|2LHND|3AME|4MLV|5VULN|68RCR|7FEWX|9ASPD|aRAT
118	32663 31413	   	265.62	ACR|DCR|2VULN|1TLV|1MLV	1LEGI|26RCR|3AEFRZ|4MLV|5FEWX|79VULN|8LWND|aTLV
119	32661 31413	   	265.52	ACR|DCR|2VULN|1TLV|1MLV	1LEGI|26RCR|3AEFRZ|4MLV|5DUST|79VULN|8LWND|aTLV
120	32661 31513	   	265.52	ACR|DCR|2VULN|1TLV|1MLV	1LEGI|26RCR|3AEFRZ|4MLV|5DUST|79VULN|8FEWX|aTLV
121	32663 31113	   	265.52	ACR|DCR|2VULN|1TLV|1MLV	1LEGI|26RCR|3AEFRZ|4MLV|5FEWX|79VULN|8DUST|aTLV
122	32663 31513	   	265.52	ACR|DCR|2VULN|1TLV|1MLV	1LEGI|26RCR|3AEFRZ|4MLV|5FEWX|79VULN|8BEXP|aTLV
123	32665 31311	   	265.30	ACR|DCR|3VULN|1MLV	1LEGI|26RCR|3AEFRZ|4MLV|579VULN|8AME|aDUR
124	61142 12521	   	263.77	DCR|2VULN|2MLV|1TLV|1ASPD	1BELT|28MLV|3TLV|48FEWX|58VULN|6RCR|7AART|8BPWR|9LWND|aASPD
125	61142 12315	   	262.84	DCR|3VULN|1TLV|1MLV|1ASPD	1BELT|2MLV|3TLV|4FEWX|58aVULN|6RCR|7AART|9ASPD
126	61412 11352	   	262.75	DCR|DCR|1VULN|1MLV|1DMG	1BELT|2MLV|3LHND|4AME|5VULN|68RCR|7FEWX|9DMG|aCGEN
127	61412 11353	   	262.75	DCR|DCR|1VULN|1MLV|1DMG	1BELT|2MLV|3LHND|4AME|5VULN|68RCR|7FEWX|9DMG|aLWND
128	32635 36132	 * 	262.00	ACR|DCR|2VULN|2TLV	1LEGI|26RCR|3aAEFRZ|4CGEN|5aVULN|7ZMB|8DUR|9aTLV|aBPWR
129	32663 31312	 * 	261.90	ACR|DCR|2VULN|1MLV|1DMG	1LEGI|26RCR|3AEFRZ|4MLV|5FEWX|7aVULN|8DMG|9DUR
130	32663 32342	   	261.90	ACR|DCR|2VULN|1MLV|1DMG	1LEGI|26RCR|3AEFRZ|4MLV|5FEWX|7DUR|8DMG|9aVULN
131	32661 31312	   	261.80	ACR|DCR|2VULN|1MLV|1DMG	1LEGI|26RCR|3AEFRZ|4MLV|5DUST|7aVULN|8DMG|9DUR
132	32661 32342	   	261.80	ACR|DCR|2VULN|1MLV|1DMG	1LEGI|26RCR|3AEFRZ|4MLV|5DUST|7DUR|8DMG|9aVULN
133	24331 33453	 * 	261.75	DCR|4VULN|2TLV	13LHND|2356VULN|3BPWR|49TLV|7AART|8RAT|aRCR
134	31421 31313	   	261.59	DCR|2VULN|2MLV|2TLV	1LEGI|28MLV|39RCVC|4DUR|58VULN|68TLV|7TBNT|8BPWR|aRCR
135	35533 44246	   	261.49	DCR|2VULN|2MLV|2TLV	1LEGI|29VULN|3TBNT|49TLV|5MBVNT|6RPLT|79MLV|8AART|9BPWR|aRCR
136	65322 11322	   	261.35	DCR|DCR|2VULN|1AAC	1BELT|2LHND|3AETHUN|45VULN|68RCR|7FEWX|9AAC|aCGEN
137	65322 11323	   	261.35	DCR|DCR|2VULN|1AAC	1BELT|2LHND|3AETHUN|45VULN|68RCR|7FEWX|9AAC|aLWND
138	65322 11325	   	261.35	DCR|DCR|2VULN|1AAC	1BELT|2LHND|3AETHUN|45VULN|68RCR|7aFEWX|9AAC
139	65622 11322	   	261.35	DCR|DCR|2VULN|1AAC	1BELT|2LHND|3LEGI|45VULN|68RCR|7FEWX|9AAC|aCGEN
140	65622 11323	   	261.35	DCR|DCR|2VULN|1AAC	1BELT|2LHND|3LEGI|45VULN|68RCR|7FEWX|9AAC|aLWND
141	65322 11324	   	261.25	DCR|DCR|2VULN|1AAC|1SELL	1BELT|2LHND|3AETHUN|45VULN|68RCR|7FEWX|9AAC|aSELL
142	65322 11326	   	261.25	DCR|DCR|2VULN|1AAC	1BELT|2LHND|3AETHUN|45VULN|68RCR|7FEWX|9AAC|aDUST
143	65322 11362	   	261.25	DCR|DCR|2VULN|1AAC	1BELT|2LHND|3AETHUN|45VULN|68RCR|7FEWX|9MULHEA|aAAC
144	65322 11332	   	260.71	DCR|DCR|2VULN|1ASPD	1BELT|2LHND|3AETHUN|45VULN|68RCR|7FEWX|9ASPD|aCGEN
145	65322 11333	   	260.71	DCR|DCR|2VULN|1ASPD	1BELT|2LHND|3AETHUN|45VULN|68RCR|7FEWX|9ASPD|aLWND
146	65322 11335	   	260.71	DCR|DCR|2VULN|1ASPD	1BELT|2LHND|3AETHUN|45VULN|68RCR|7aFEWX|9ASPD
147	65622 11332	   	260.71	DCR|DCR|2VULN|1ASPD	1BELT|2LHND|3LEGI|45VULN|68RCR|7FEWX|9ASPD|aCGEN
148	65622 11333	   	260.71	DCR|DCR|2VULN|1ASPD	1BELT|2LHND|3LEGI|45VULN|68RCR|7FEWX|9ASPD|aLWND
149	65322 11334	   	260.61	DCR|DCR|2VULN|1ASPD|1SELL	1BELT|2LHND|3AETHUN|45VULN|68RCR|7FEWX|9ASPD|aSELL
150	65322 11336	   	260.61	DCR|DCR|2VULN|1ASPD	1BELT|2LHND|3AETHUN|45VULN|68RCR|7FEWX|9ASPD|aDUST
151	31633 36532	   	260.12	DCR|2VULN|2MLV|2TLV	1LEGI|29MLV|3ERES|49TLV|5LIT|6RAT|79VULN|8RCR|9BPWR|aDMSP
152	31633 36531	   	260.02	DCR|2VULN|2MLV|2TLV	1LEGI|29MLV|3ERES|49TLV|5LIT|6RAT|79VULN|8RCR|9BPWR|aBEXP
153	62622 11341	   	259.81	DCR|DCR|2VULN	1BELT|2DUR|3LHND|45VULN|68RCR|7FEWX|9AME|aRAT
154	62322 11341	   	259.71	DCR|DCR|2VULN	1BELT|2DUR|3AETHUN|45VULN|68RCR|7FEWX|9AME|aRAT
155	61412 11322	   	259.58	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2MLV|3LHND|4AME|5VULN|68RCR|7FEWX|9AAC|aCGEN
156	61412 11323	   	259.58	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2MLV|3LHND|4AME|5VULN|68RCR|7FEWX|9AAC|aLWND
157	61412 11325	   	259.58	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2MLV|3LHND|4AME|5VULN|68RCR|7aFEWX|9AAC
158	61461 11323	   	259.58	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2MLV|3LHND|4VULN|5RMIN|68RCR|7FEWX|9AAC|aRCVC
159	65252 11322	   	259.58	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2LHND|3AME|4MLV|5VULN|68RCR|7FEWX|9AAC|aCGEN
160	65252 11323	   	259.58	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2LHND|3AME|4MLV|5VULN|68RCR|7FEWX|9AAC|aLWND
161	61412 11324	   	259.48	DCR|DCR|1VULN|1MLV|1AAC|1SELL	1BELT|2MLV|3LHND|4AME|5VULN|68RCR|7FEWX|9AAC|aSELL
162	61412 11326	   	259.48	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2MLV|3LHND|4AME|5VULN|68RCR|7FEWX|9AAC|aDUST
163	61461 11321	   	259.48	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2MLV|3LHND|4VULN|5RMIN|68RCR|7FEWX|9AAC|aDUST
164	61461 11322	   	259.48	DCR|DCR|1VULN|1MLV|1AAC	1BELT|2MLV|3LHND|4VULN|5RMIN|68RCR|7FEWX|9AAC|aAETHUN
