0	Index      	 *	Score 	Summary	Detail	
1	42512 32632	 * 	277.51	橙橙2易伤1伤害1暴击	1核弹25易伤3伤害4基地爆炸6激光对冰7低血量敌人8暴击9a核
33	51115 14833	   	260.05	橙橙2矿等1易伤1平台1策反	1易伤28矿等3加农对甲4雷电5加一6平台7a核9策反
34	51115 14313	   	258.34	橙橙1易伤1矿等1攻速1平台	1易伤2矿等3加农对甲4雷电5加一6平台7a核8立即金币9攻速
35	51115 14513	   	258.34	橙橙1易伤1矿等1攻速1平台	1易伤2矿等3加农对甲48雷电5加一6平台7a核9攻速
36	44623 13221	 * 	258.24	橙3易伤2伤害2矿等1平台	1核弹27矿等3平台457易伤67伤害7序列升级8敌人爆炸9核a雷电
37	44623 13222	   	258.24	橙3易伤2伤害2矿等1平台	1核弹27矿等3平台457易伤67伤害7序列升级8敌人爆炸9核a基地爆炸
38	44623 13223	   	258.24	橙3易伤2伤害2矿等1平台	1核弹27矿等3平台457易伤67伤害7序列升级8敌人爆炸9核a赏金塔
39	51543 13221	   	258.24	橙3易伤2伤害2矿等1平台	157易伤27矿等37伤害4平台6核弹7序列升级8敌人爆炸9核a雷电
40	51543 13222	   	258.24	橙3易伤2伤害2矿等1平台	157易伤27矿等37伤害4平台6核弹7序列升级8敌人爆炸9核a基地爆炸
41	51543 13223	   	258.24	橙3易伤2伤害2矿等1平台	157易伤27矿等37伤害4平台6核弹7序列升级8敌人爆炸9核a赏金塔
42	51533 22215	   	256.98	橙3易伤2伤害2矿等	158易伤24矿等38伤害6赏金塔78等级8序列升级9时间a核
43	51133 25632	   	256.74	橙橙1易伤1矿等1攻速1卖塔	1易伤2矿等3加农对甲4技能5时间6攻速7a核8卖塔9掉矿
44	52331 12253	   	255.62	橙橙1易伤1伤害1平台	1易伤2低血量敌人3金币生成4寒冰对黄5时间6伤害7a核8雷电9平台
45	52331 12413	   	255.62	橙橙1易伤1伤害1平台	1易伤2低血量敌人3金币生成4寒冰对黄5时间6伤害7a核8平台9雷电
46	34521 22325	 * 	254.85	紫橙3易伤1全技能1策反	1敌人爆炸2基地爆炸3a核458易伤6全技能7时间9策反
47	33521 22325	 * 	254.75	紫橙3易伤1全技能1策反	1敌人爆炸2a核3挖尘458易伤6全技能7时间9策反
48	54211 31363	   	253.56	橙橙2易伤1全技能	13易伤234基地爆炸3序列升级5雷电6掉矿7全技能8立即金币9a核
49	54212 31363	   	253.56	橙橙2易伤1全技能	13易伤234基地爆炸3序列升级5掉矿6雷电7全技能8立即金币9a核
50	26623 21632	   	253.46	橙橙2易伤1平台	1最后敌人29立即金币3平台45易伤6电塔对甲7基地爆炸8a核
51	12223 61563	   	253.46	橙橙2易伤1全技能	13技能点258基地爆炸45易伤5序列升级6雷电7全技能9a核
52	54211 31163	   	253.46	橙橙2易伤1全技能	13易伤234基地爆炸3序列升级5雷电6掉矿7全技能8激光减费9a核
53	54212 31163	   	253.46	橙橙2易伤1全技能	13易伤234基地爆炸3序列升级5掉矿6雷电7全技能8激光减费9a核
54	26623 23632	   	253.36	橙橙2易伤1平台	1最后敌人29立即金币3平台45易伤6电塔对甲7挖尘8a核
55	15623 21622	   	253.26	橙橙2易伤1平台	19技能点2等级3平台45易伤6喷火对黄7基地爆炸8a核
56	16623 21622	   	253.26	橙橙2易伤1平台	19技能点2金币生成3平台45易伤6喷火对黄7基地爆炸8a核
57	15623 23622	   	253.16	橙橙2易伤1平台	19技能点2等级3平台45易伤6喷火对黄7挖尘8a核
58	53113 81438	   	252.69	紫橙2易伤1伤害1矿等	1a易伤28核3a最后敌人4随机矿5加一6伤害7矿等9a金币生成a序列升级
59	52513 81421	   	252.49	紫橙2易伤1伤害1矿等	1a易伤2低血量敌人38核4随机矿5加一6伤害7矿等9最后敌人
60	53113 81435	   	252.49	紫橙2易伤1伤害1矿等	1a易伤28核3最后敌人4随机矿5加一6伤害7矿等9金币生成
61	53113 81448	   	252.49	紫橙2易伤1伤害1矿等	1a易伤28核3a最后敌人4随机矿5加一6伤害7矿等9a技能点a序列升级
62	53113 81481	   	252.49	紫橙2易伤1伤害1矿等	1a易伤28核3最后敌人4随机矿5加一6伤害7矿等9基地爆炸
63	53253 24711	   	252.49	紫橙2易伤1伤害1矿等	17易伤2a核3伤害4基地爆炸5加一6矿等8随机矿9敌人爆炸
64	53113 81445	   	252.39	紫橙2易伤1伤害1矿等	1a易伤28核3最后敌人4随机矿5加一6伤害7矿等9技能点
65	53253 24111	   	252.39	紫橙2易伤1伤害1矿等	17易伤2a核3伤害4基地爆炸5加一6矿等8掉矿9敌人爆炸
66	53253 24171	   	252.29	紫橙2易伤1伤害1矿等	17易伤2a核3伤害4基地爆炸5加一6矿等8掉矿9挖尘
67	52124 16441	   	252.10	橙橙2易伤	18易伤2低血量敌人36基地爆炸4技能5时间7加一9a核
68	12653 41441	   	252.00	橙橙2易伤	1技能点2基地爆炸3时间4技能5加一6等级78易伤9a核
69	12653 81441	   	252.00	橙橙2易伤	1技能点2基地爆炸3时间4技能5加一6随机矿78易伤9a核
70	62633 81441	   	251.86	橙橙2易伤1策反	1等级2基地爆炸3时间4策反5加一6随机矿78易伤9a核
71	12633 41441	   	251.76	橙橙2易伤1策反	1技能点2基地爆炸3时间4策反5加一6等级78易伤9a核
72	12633 81441	   	251.76	橙橙2易伤1策反	1技能点2基地爆炸3时间4策反5加一6随机矿78易伤9a核
73	53212 21255	 * 	251.66	紫橙2矿等1易伤1伤害1全技能	1易伤2a核3伤害4金币生成5基地爆炸6全技能79矿等8敌人爆炸
74	42511 32632	   	251.31	橙橙1易伤1伤害1暴击	1核弹2易伤3伤害4基地爆炸5双倍矿6激光对冰7低血量敌人8暴击9a核
75	42513 32632	   	251.31	橙橙1易伤1伤害1暴击	1核弹2易伤3伤害45基地爆炸6激光对冰7低血量敌人8暴击9a核
76	51613 13112	 * 	250.91	橙2易伤3矿等2攻速1暴击	17易伤279矿等3时间4暴击57攻速6核弹7序列升级8寒冰对冰a核
77	22613 61132	 * 	250.45	橙橙2伤害1攻速1暴击	1最后敌人2低血量敌人3攻速4暴击5多重对甲68伤害7基地爆炸9a核
78	22614 61132	   	250.45	橙橙2伤害1攻速1暴击	1最后敌人2低血量敌人3攻速4暴击5狙击对毒68伤害7基地爆炸9a核
79	42233 26141	   	250.43	橙橙2矿等1易伤	1核弹2易伤35技能点45矿等5序列升级6双倍秒伤7加一8双倍矿9a核
80	42433 26141	   	250.43	橙橙2矿等1易伤	1核弹2易伤35掉矿45矿等5序列升级6双倍秒伤7加一8双倍矿9a核
81	31533 15362	   	250.40	橙橙1伤害1矿等1攻速1暴击	1敌人爆炸2矿等3伤害4技能点5激光对冰6最后敌人7a核8攻速9暴击
82	42433 26441	   	250.33	橙橙2矿等1易伤	1核弹2易伤35掉矿45矿等5序列升级6双倍秒伤7加一8激光减费9a核
83	51562 21231	   	250.21	橙3易伤2矿等1伤害1全技能1平台	15a易伤2a矿等3伤害4全技能6核7最后敌人8a爆破对壮9平台a序列升级
84	53253 21731	   	250.20	紫橙2矿等1易伤1伤害	1易伤2a核3伤害4基地爆炸5加一67矿等8随机矿9时间
85	53253 21131	   	250.10	紫橙2矿等1易伤1伤害	1易伤2a核3伤害4基地爆炸5加一67矿等8掉矿9时间
86	53243 26141	   	249.81	紫橙2易伤1伤害2时间	18易伤2a核3伤害4敌人爆炸5加一69时间7基地爆炸
87	53233 25141	   	249.71	紫橙2易伤1伤害2时间	18易伤2a核3伤害4挖尘5加一69时间7敌人爆炸
88	51622 16223	 * 	249.24	橙5易伤1矿等1全技能	1579a易伤2矿等3时间4全技能6低血量敌人8核
89	51531 21115	 * 	248.71	橙2易伤3矿等2伤害	17易伤245矿等35伤害5序列升级6技能点8低血量敌人9时间a核
90	51531 21215	   	248.71	橙2易伤3矿等2伤害	17易伤245矿等35伤害5序列升级6技能点8敌人爆炸9时间a核
91	53216 43112	   	248.71	紫橙2易伤1伤害1暴击	17易伤29核3伤害4金币生成5暴击6赏金塔8技能a随机矿
92	53216 43113	   	248.71	紫橙2易伤1伤害1暴击	17易伤29核3伤害4金币生成5暴击6赏金塔8技能a双倍矿
93	53216 63112	   	248.71	紫橙2易伤1伤害1暴击	17易伤29核3伤害4金币生成5暴击6赏金邻近8技能a随机矿
94	53216 63113	   	248.71	紫橙2易伤1伤害1暴击	17易伤29核3伤害4金币生成5暴击6赏金邻近8技能a双倍矿
95	31413 72441	   	248.68	橙橙1易伤1矿等1攻速	1敌人爆炸2矿等3掉矿46基地爆炸5加一7攻速8易伤9a核
96	53226 43112	   	248.61	紫橙2易伤1伤害1暴击	17易伤29核3伤害4掉矿5暴击6赏金塔8技能a金币生成
97	53226 43113	   	248.61	紫橙2易伤1伤害1暴击	17易伤29核3伤害4掉矿5暴击6赏金塔8a技能
98	53226 63112	   	248.61	紫橙2易伤1伤害1暴击	17易伤29核3伤害4掉矿5暴击6赏金邻近8技能a金币生成
99	53226 63113	   	248.61	紫橙2易伤1伤害1暴击	17易伤29核3伤害4掉矿5暴击6赏金邻近8a技能
100	53211 33116	   	248.61	紫橙2易伤1伤害1暴击	1a易伤29核3伤害4金币生成5双倍秒伤6暴击7敌人爆炸8技能
101	53211 36116	   	248.61	紫橙2易伤1伤害1暴击	1a易伤29核3伤害4金币生成5双倍秒伤6暴击7低血量敌人8技能
102	53216 43111	   	248.61	紫橙2易伤1伤害1暴击	17易伤29核3伤害4金币生成5暴击6赏金塔8技能a掉矿
103	53216 63111	   	248.61	紫橙2易伤1伤害1暴击	17易伤29核3伤害4金币生成5暴击6赏金邻近8技能a掉矿
104	31413 62441	   	248.58	橙橙1易伤1矿等1攻速	1敌人爆炸2矿等36掉矿4基地爆炸5加一7攻速8易伤9a核
105	53221 63116	   	248.51	紫橙2易伤1伤害1暴击	1a易伤29核3伤害4掉矿5双倍秒伤6暴击7敌人爆炸8技能
106	53226 43111	   	248.51	紫橙2易伤1伤害1暴击	17易伤29核3伤害4a掉矿5暴击6赏金塔8技能
107	53226 63111	   	248.51	紫橙2易伤1伤害1暴击	17易伤29核3伤害4a掉矿5暴击6赏金邻近8技能
108	53231 34216	   	248.51	紫橙2易伤1伤害1暴击	1a易伤29核3伤害4挖尘5暴击6金币生成7技能8双倍秒伤
109	53221 24116	   	248.51	紫橙2易伤1伤害1暴击	1a易伤29核3伤害4掉矿5双倍秒伤6低血量敌人7暴击8技能
110	53243 27413	   	248.30	紫橙2伤害1易伤1暴击	1易伤28核37伤害4敌人爆炸5加一6时间9双倍矿a暴击
111	54523 13222	 * 	247.80	紫5易伤2矿等2暴击1全技能	1479a易伤2基地爆炸3核5全技能69矿等89暴击9序列升级
