0	Index      	 *	Score 	Summary	Detail	
1	13642 16313	 * 	288.00	橙橙2伤害2矿等1易伤2策反	1立即金币25矿等3易伤49策反68伤害7a核
39	53611 53133	   	263.76	橙橙2易伤1伤害	16挖尘2基地爆炸39易伤4伤害5赏金塔78核a双倍矿
40	12654 33132	   	263.76	橙橙2易伤1伤害	1立即金币2基地爆炸3伤害49易伤5a挖尘6赏金塔78核
41	53613 33132	   	263.76	橙橙2易伤1伤害	1a挖尘2基地爆炸39易伤4伤害5立即金币6赏金塔78核
42	53613 33135	   	263.76	橙橙2易伤1伤害	1挖尘2基地爆炸39易伤4伤害5立即金币6赏金塔78核a掉矿
43	53613 43132	   	263.76	橙橙2易伤1伤害	1a挖尘2基地爆炸39易伤4伤害5立即金币6赏金邻近78核
44	53611 53132	   	263.66	橙橙2易伤1伤害	16a挖尘2基地爆炸39易伤4伤害5赏金塔78核
45	14623 23123	   	263.59	橙橙1易伤1伤害1矿等	1立即金币2易伤3伤害4时间5赏金邻近6低血量敌人78核9等级a矿等
46	14625 33123	   	263.59	橙橙1易伤1伤害1矿等	1立即金币2易伤3伤害4时间5低血量敌人6赏金塔78核9等级a矿等
47	14623 23143	   	263.49	橙橙1易伤1伤害1矿等	1立即金币2易伤3伤害4时间5赏金邻近6低血量敌人78核9掉矿a矿等
48	41211 52117	 * 	262.54	橙3易伤3矿等2伤害	1技能259易伤3加一4机枪对壮69伤害789矿等9序列升级a核
49	14623 23122	   	259.71	橙橙1易伤1伤害1暴击	1立即金币2易伤3伤害4时间5赏金邻近6低血量敌人78核9等级a暴击
50	14625 33122	   	259.71	橙橙1易伤1伤害1暴击	1立即金币2易伤3伤害4时间5低血量敌人6赏金塔78核9等级a暴击
51	14623 23142	   	259.61	橙橙1易伤1伤害1暴击	1立即金币2易伤3伤害4时间5赏金邻近6低血量敌人78核9掉矿a暴击
52	41234 38448	   	259.37	橙橙1易伤1伤害1暴击1策反	1技能2易伤3加一4暴击5伤害6策反7时间8a核9金币生成
