0	Index      	 *	Score 	Summary	Detail	
1	23661 53323	 * 	309.83	DCR|DCR|2TLV|2ASPD|1DMG|1AEPOI	1AEPOI|2DMG|34ASPD|5LHND|6DUR|7aRCR|89TLV
21	13116 32241	   	288.77	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	17RCR|2LWND|3CGEN|4DUR|5CDMG|6AEFRZ|8AEPOI|9VULN|aTLV
22	14111 62241	   	288.77	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	17RCR|2LHND|3CGEN|4DUR|5AEWIND|6CDMG|8AEPOI|9VULN|aTLV
23	14116 32241	   	288.77	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	17RCR|2LHND|3CGEN|4DUR|5CDMG|6AEFRZ|8AEPOI|9VULN|aTLV
24	16111 62241	   	288.77	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	17RCR|2FEWX|3CGEN|4DUR|5AEWIND|6CDMG|8AEPOI|9VULN|aTLV
25	16116 32241	   	288.77	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	17RCR|2FEWX|3CGEN|4DUR|5CDMG|6AEFRZ|8AEPOI|9VULN|aTLV
26	11111 62241	   	288.67	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	17RCR|2DUST|3CGEN|4DUR|5AEWIND|6CDMG|8AEPOI|9VULN|aTLV
27	11116 32241	   	288.67	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	17RCR|2DUST|3CGEN|4DUR|5CDMG|6AEFRZ|8AEPOI|9VULN|aTLV
28	23634 43323	   	287.72	DCR|DCR|2TLV|1AEFBLL|1DMG|1AEPOI|1ASPD	1AEPOI|2DMG|3ASPD|4AEFBLL|5FEWX|6LHND|7aRCR|89TLV
29	15623 43323	 * 	287.05	ACR|DCR|2TLV|2ASPD|1AEFBLL	1aRCR|2ZMB|37ASPD|4LWND|5BEXP|6AEFBLL|89TLV
30	12653 21232	 * 	284.91	ACR|DCR|2VULN|1TLV	1aRCR|2BEXP|3BASHEA|4TLV|5TSLHEL|6MLV|79VULN|8DUR
31	66353 22132	   	284.91	ACR|DCR|2VULN|1TLV	1BASARM|2DUR|3aRCR|4TLV|5TSLHEL|6MLV|7LHND|89VULN
32	66353 23132	   	284.91	ACR|DCR|2VULN|1TLV	1BASARM|2DUR|3aRCR|4TLV|5TSLHEL|6MLV|7FEWX|89VULN
33	23256 11234	 * 	284.88	DCR|3VULN|1TLV|1DMG|1AEPOI	1AEPOI|2DMG|3MLV|4RAT|569VULN|7DUR|8RCR|aTLV
34	15333 44323	   	284.30	ACR|DCR|2TLV|1AEFBLL|1DMG|2ZMB	1aRCR|27ZMB|3LWND|4DMG|5BEXP|6AEFBLL|89TLV
35	15631 12323	   	284.26	ACR|DCR|2TLV|1AEFBLL|1ASPD	1aRCR|2ZMB|3ASPD|4RCVC|5LWND|6AEFBLL|7DUR|89TLV
36	15661 12323	   	284.26	ACR|DCR|2TLV|1AEFBLL|1ASPD	1aRCR|2ZMB|3ASPD|4DMSP|5LWND|6AEFBLL|7DUR|89TLV
37	15632 12323	   	284.16	ACR|DCR|2TLV|1AEFBLL|1ASPD	1aRCR|2ZMB|3ASPD|4RCVC|5DUST|6AEFBLL|7DUR|89TLV
38	15662 12323	   	284.16	ACR|DCR|2TLV|1AEFBLL|1ASPD	1aRCR|2ZMB|3ASPD|4DMSP|5DUST|6AEFBLL|7DUR|89TLV
39	21311 22133	 * 	284.08	DCR|3VULN|2TLV|2AEPOI	17AEPOI|2FEWX|3AETHUN|457VULN|67TLV|7BPWR|8RCVC|9RCR|aDUR
40	21311 22333	   	284.08	DCR|3VULN|2TLV|2AEPOI	17AEPOI|28FEWX|3AETHUN|457VULN|67TLV|7BPWR|9RCR|aDUR
41	13146 11362	   	283.50	ACR|DCR|1TLV|1VULN|1DMG|1AART	19RCR|2LWND|3CGEN|4AAC|5DMG|6VULN|7ZMB|8TLV|aAART
42	15331 15362	   	283.50	ACR|DCR|1TLV|1VULN|1DMG|1AART	19RCR|2ZMB|3LWND|4DMG|5CGEN|6VULN|7AAC|8TLV|aAART
43	13246 11362	   	283.40	ACR|DCR|1TLV|1VULN|1DMG|1AART	19RCR|2LWND|3ERES|4AAC|5DMG|6VULN|7ZMB|8TLV|aAART
44	15214 32135	 * 	282.40	ACR|2TLV|1VULN|2DMG|1AEPOI|1AART	1RCR|2ZMB|39AEWIND|4AEPOI|5VULN|69TLV|7RAT|89DMG|9BPWR|aAART
45	13146 11363	   	282.15	ACR|DCR|1TLV|1VULN|1DMG	19RCR|2LWND|3CGEN|4AAC|5DMG|6VULN|7ZMB|8TLV|aDUR
46	15331 15363	   	282.15	ACR|DCR|1TLV|1VULN|1DMG	19RCR|2ZMB|3LWND|4DMG|5CGEN|6VULN|7AAC|8TLV|aDUR
47	13246 11363	   	282.05	ACR|DCR|1TLV|1VULN|1DMG	19RCR|2LWND|3ERES|4AAC|5DMG|6VULN|7ZMB|8TLV|aDUR
48	15333 54323	   	281.83	ACR|DCR|2TLV|2DMG|2ZMB	1aRCR|27ZMB|3LWND|46DMG|5BEXP|89TLV
49	21311 22132	   	281.36	DCR|3VULN|2TLV|2AEPOI	17AEPOI|2FEWX|3AETHUN|457VULN|67TLV|7BPWR|8RCVC|9RCR|aZMB
50	21311 22332	   	281.36	DCR|3VULN|2TLV|2AEPOI	17AEPOI|28FEWX|3AETHUN|457VULN|67TLV|7BPWR|9RCR|aZMB
51	22632 63523	   	281.01	DCR|DCR|2TLV|1DMG|1AEPOI	1AEPOI|25LHND|3LWND|49TLV|6aRCR|7ZMB|8DMG
52	15216 63323	   	280.81	ACR|DCR|2TLV|1DMG|1AEPOI	1aRCR|2ZMB|3AEWIND|4AEPOI|5DMG|6DUST|7LHND|89TLV
53	23631 53353	   	280.22	DCR|DCR|1TLV|1AEFBLL|1DMG|1AEPOI|2DUR|1ASPD	1AEPOI|2DMG|3ASPD|4AEFBLL|5LHND|69DUR|7aRCR|8TLV
