0	Index      	 *	Score 	Summary	Detail	
1	35643 32132	 * 	265.00	DCR|DCR|2DMG|1VULN|1RPLT	15FEWX|2BBNT|3MBVNT|45DMG|5BPWR|6aRCR|7LHND|8VULN|9RPLT
17	36123 12415	   	247.32	DCR|DCR|1VULN|1DMG|1RPLT	1FEWX|2DLOT|3AAC|4DMG|5RPLT|69RCR|7VULN|8BBNT|aLHND
18	21315 51251	   	245.81	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG|1AART	1ASPD|2AART|3aRCR|4LWND|5BEXP|6CDMG|7LIT|8VULN|9DMG
19	21335 51251	   	245.81	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG|1AART	1ASPD|2AART|3aRCR|4BEXP|5FEWX|6CDMG|7LIT|8VULN|9DMG
20	21331 51251	   	245.71	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG|1AART	1ASPD|2AART|3aRCR|4BEXP|5LEGI|6CDMG|7LIT|8VULN|9DMG
21	42622 11262	   	243.83	DCR|DCR|1DMG|2RPLT|1CDMG|1AART	1DMG|2LHND|38RPLT|4AAC|5AART|6aRCR|7CDMG|9BEXP
22	33353 32116	   	243.80	DCR|DCR|2VULN	1FEWX|2AELOIC|3TLV|48VULN|5LHND|6aRCR|7TBNT|9BELT
23	33353 35316	   	243.80	DCR|DCR|2VULN	1FEWX|2AELOIC|3TLV|47VULN|5LHND|6aRCR|8BBNT|9BELT
24	33356 32116	   	243.80	DCR|DCR|2VULN	1FEWX|2AELOIC|3TLV|48VULN|5LWND|6aRCR|7TBNT|9BELT
25	31133 56141	 * 	243.70	DCR|DCR|1VULN|2ASPD	1FEWX|2LWND|3MDPS|49ASPD|5RMIN|6aRCR|7BBNT|8VULN
26	41324 13243	   	243.68	DCR|3VULN|1DMG|2AART|2DUR|1CDMG	1DMG|23AART|467VULN|56DUR|6BPWR|8SPLJET|9CDMG|aRCR
27	41335 13243	   	243.68	DCR|3VULN|1DMG|2AART|2DUR|1CDMG	1DMG|23AART|46DUR|567VULN|6BPWR|8SPLJET|9CDMG|aRCR
28	22313 53361	   	243.60	DCR|DCR|1VULN|2ASPD	13ASPD|2LHND|4CGEN|5BBNT|6aRCR|7VULN|8DUST|9MDPS
29	22363 53361	   	243.60	DCR|DCR|1VULN|2ASPD	13ASPD|2LHND|4TLV|5BBNT|6aRCR|7VULN|8DUST|9MDPS
30	26313 53161	   	243.60	DCR|DCR|1VULN|2ASPD	13ASPD|2LEGI|4CGEN|5BBNT|6aRCR|7VULN|8LWND|9MDPS
31	22323 53361	   	243.50	DCR|DCR|1VULN|2ASPD	13ASPD|2LHND|4ERES|5BBNT|6aRCR|7VULN|8DUST|9MDPS
32	22343 53361	   	243.50	DCR|DCR|1VULN|2ASPD	13ASPD|2LHND|4AME|5BBNT|6aRCR|7VULN|8DUST|9MDPS
33	26313 53361	   	243.50	DCR|DCR|1VULN|2ASPD	13ASPD|2LEGI|4CGEN|5BBNT|6aRCR|7VULN|8DUST|9MDPS
34	26323 53161	   	243.50	DCR|DCR|1VULN|2ASPD	13ASPD|2LEGI|4ERES|5BBNT|6aRCR|7VULN|8LWND|9MDPS
35	26323 53361	   	243.40	DCR|DCR|1VULN|2ASPD	13ASPD|2LEGI|4ERES|5BBNT|6aRCR|7VULN|8DUST|9MDPS
36	43223 52631	 * 	243.01	DCR|DCR|2DMG|3DUR	18DMG|2RCVC|3ERES|479DUR|5BBNT|6aRCR
37	42622 13632	   	242.27	DCR|DCR|1DMG|1MLV|1AART|1RPLT|1SELL	1DMG|2LHND|3RPLT|4AAC|5AART|6aRCR|7MLV|8SELL|9CGEN
38	35643 32832	   	241.22	DCR|DCR|2DMG|1RPLT	15FEWX|2BBNT|3MBVNT|45DMG|5BPWR|6aRCR|7LHND|8DUR|9RPLT
39	35363 23221	 * 	241.20	ACR|DCR|2VULN|2ASPD	18FEWX|2BBNT|3aRCR|4MDPS|5CGEN|68VULN|78ASPD|8BPWR|9LHND
40	35363 23251	   	241.20	ACR|DCR|2VULN|2ASPD	18FEWX|2BBNT|3aRCR|4MDPS|5CGEN|68VULN|78ASPD|8BPWR|9LWND
41	21232 13326	 * 	240.63	DCR|2VULN|2MLV|2ASPD|2AART	16ASPD|29AART|3TLV|4DUR|56MLV|6BPWR|78VULN|aRCR
42	41344 12311	 * 	240.54	ACR|DCR|1VULN|3AART|1DMG	1DMG|235AART|48RCR|6AME|7NUKE|9VULN|aDUR
43	12132 53231	   	240.48	DCR|3VULN|1MLV|1ASPD|1CDMG|1RPLT	1RPLT|26aVULN|3CDMG|4BBNT|5ASPD|7DUR|8MLV|9RCR
44	41124 13361	   	239.95	DCR|3VULN|2DMG|2DUR|1AART	13DMG|2AART|467VULN|56DUR|6BPWR|8RMIN|9RCR|aAAC
45	41124 13362	   	239.95	DCR|3VULN|2DMG|2DUR|1AART	13DMG|2AART|467VULN|56DUR|6BPWR|8RMIN|9RCR|aRCVC
46	41124 13363	   	239.95	DCR|3VULN|2DMG|2DUR|1AART	13DMG|2AART|467VULN|56DUR|6BPWR|8RMIN|9RCR|aBEXP
47	41135 13361	   	239.95	DCR|3VULN|2DMG|2DUR|1AART	13DMG|2AART|46DUR|567VULN|6BPWR|8RMIN|9RCR|aAAC
48	41135 13362	   	239.95	DCR|3VULN|2DMG|2DUR|1AART	13DMG|2AART|46DUR|567VULN|6BPWR|8RMIN|9RCR|aRCVC
49	41135 13363	   	239.95	DCR|3VULN|2DMG|2DUR|1AART	13DMG|2AART|46DUR|567VULN|6BPWR|8RMIN|9RCR|aBEXP
50	41124 11236	   	239.85	DCR|3VULN|2DMG|2DUR|1AART	13DMG|2AART|468VULN|56DUR|6BPWR|7ERES|9RMIN|aRCR
51	41124 11261	   	239.85	DCR|3VULN|2DMG|2DUR|1AART	13DMG|2AART|468VULN|56DUR|6BPWR|7ERES|9RCR|aAAC
52	41124 11262	   	239.85	DCR|3VULN|2DMG|2DUR|1AART	13DMG|2AART|468VULN|56DUR|6BPWR|7ERES|9RCR|aRCVC
53	41124 11263	   	239.85	DCR|3VULN|2DMG|2DUR|1AART	13DMG|2AART|468VULN|56DUR|6BPWR|7ERES|9RCR|aBEXP
54	41124 13221	   	239.85	DCR|3VULN|2DMG|2DUR|1AART	13DMG|2AART|467VULN|56DUR|6BPWR|8SPLJET|9LWND|aRCR
55	41124 13231	   	239.85	DCR|3VULN|2DMG|2DUR|1AART	13DMG|2AART|467VULN|56DUR|6BPWR|8SPLJET|9BEXP|aRCR
56	41135 11236	   	239.85	DCR|3VULN|2DMG|2DUR|1AART	13DMG|2AART|46DUR|568VULN|6BPWR|7ERES|9RMIN|aRCR
57	41135 11261	   	239.85	DCR|3VULN|2DMG|2DUR|1AART	13DMG|2AART|46DUR|568VULN|6BPWR|7ERES|9RCR|aAAC
58	41135 11262	   	239.85	DCR|3VULN|2DMG|2DUR|1AART	13DMG|2AART|46DUR|568VULN|6BPWR|7ERES|9RCR|aRCVC
59	41135 11263	   	239.85	DCR|3VULN|2DMG|2DUR|1AART	13DMG|2AART|46DUR|568VULN|6BPWR|7ERES|9RCR|aBEXP
60	41135 13221	   	239.85	DCR|3VULN|2DMG|2DUR|1AART	13DMG|2AART|46DUR|567VULN|6BPWR|8SPLJET|9LWND|aRCR
61	41135 13231	   	239.85	DCR|3VULN|2DMG|2DUR|1AART	13DMG|2AART|46DUR|567VULN|6BPWR|8SPLJET|9BEXP|aRCR
62	41121 12366	   	239.75	DCR|3VULN|2DMG|2DUR|1AART	13DMG|2AART|468VULN|56DUST|6BPWR|79DUR|aRCR
63	21321 36361	   	239.51	ACR|DCR|1VULN|2ASPD|2DUR|1AART	17ASPD|2AART|39RCR|47DUR|5LEGI|67CGEN|7BPWR|8VULN|aTLV
64	21321 36362	   	239.51	ACR|DCR|1VULN|2ASPD|2DUR|1AART	17ASPD|2AART|39RCR|47DUR|5LEGI|67CGEN|7BPWR|8VULN|aLWND
65	21321 36363	   	239.51	ACR|DCR|1VULN|2ASPD|2DUR|1AART	17ASPD|2AART|39RCR|47DUR|5LEGI|67CGEN|7BPWR|8VULN|aLIT
66	21321 36364	   	239.51	ACR|DCR|1VULN|2ASPD|2DUR|1AART	17ASPD|2AART|39RCR|47DUR|5LEGI|67CGEN|7BPWR|8VULN|aBEXP
67	21321 36366	   	239.51	ACR|DCR|1VULN|2ASPD|2DUR|1AART	17ASPD|2AART|39RCR|47DUR|5LEGI|67aCGEN|7BPWR|8VULN
68	23223 55161	   	239.45	DCR|DCR|1VULN|1ASPD	1ASPD|2RCVC|3ERES|4DUR|5BBNT|6aRCR|7VULN|8LWND|9MDPS
69	35123 41362	   	239.45	DCR|DCR|1VULN|1CDMG	1FEWX|2BBNT|3DUR|4MDPS|5VULN|6CDMG|7ERES|8RCVC|9aRCR
70	21321 36365	   	239.41	ACR|DCR|1VULN|2ASPD|2DUR|1AART	17ASPD|2AART|39RCR|47DUR|5LEGI|67CGEN|7BPWR|8VULN|aERES
71	21232 13366	   	239.41	DCR|2VULN|2MLV|2ASPD|2DUR|1AART	16ASPD|2AART|3TLV|49DUR|56MLV|6BPWR|78VULN|aRCR
72	23223 55361	   	239.35	DCR|DCR|1VULN|1ASPD	1ASPD|2RCVC|3ERES|4DUR|5BBNT|6aRCR|7VULN|8DUST|9MDPS
73	21146 11261	   	238.65	DCR|3VULN|2DMG|1ASPD|1AART	1ASPD|2AART|36DMG|468VULN|5RMIN|6BPWR|7ERES|9RCR|aAAC
74	21146 11262	   	238.65	DCR|3VULN|2DMG|1ASPD|1AART	1ASPD|2AART|36DMG|468VULN|5RMIN|6BPWR|7ERES|9RCR|aRCVC
75	21146 11263	   	238.65	DCR|3VULN|2DMG|1ASPD|1AART	1ASPD|2AART|36DMG|468VULN|5RMIN|6BPWR|7ERES|9RCR|aBEXP
76	42622 11162	   	238.64	DCR|DCR|1DMG|1CDMG|1AART|1RPLT	1DMG|28LHND|3RPLT|4AAC|5AART|6aRCR|7CDMG|9BEXP
77	41252 32242	   	238.55	DCR|3VULN|2DMG|1ASPD|1AART	19DMG|2AART|39ERES|4BBNT|5CANTOX|6ASPD|79aVULN|8RCR|9BPWR
78	41423 11112	   	238.54	DCR|DCR|1DMG|1CDMG|1AART|1RPLT	1DMG|2AART|3FEWX|4NUKE|5RPLT|6aRCR|7CDMG|89LHND
79	45223 11112	   	238.54	DCR|DCR|1DMG|1CDMG|1AART|1RPLT	1DMG|2FEWX|3AART|4NUKE|5RPLT|6aRCR|7CDMG|89LHND
80	46622 11112	   	238.54	DCR|DCR|1DMG|1CDMG|1AART|1RPLT	1DMG|2LEGI|3RPLT|4AAC|5AART|6aRCR|7CDMG|89LHND
81	46622 11122	   	238.54	DCR|DCR|1DMG|1CDMG|1AART|1RPLT	1DMG|2LEGI|3RPLT|49AAC|5AART|6aRCR|7CDMG|8LHND
82	42622 11312	   	238.54	DCR|DCR|1DMG|1CDMG|1AART|1RPLT	1DMG|29LHND|3RPLT|4AAC|5AART|6aRCR|7CDMG|8DUST
83	42622 11322	   	238.54	DCR|DCR|1DMG|1CDMG|1AART|1RPLT	1DMG|2LHND|3RPLT|49AAC|5AART|6aRCR|7CDMG|8DUST
84	42622 11532	   	238.54	DCR|DCR|1DMG|1CDMG|1AART|1RPLT	1DMG|2LHND|3RPLT|4AAC|5AART|6aRCR|7CDMG|8ERES|9CGEN
85	21111 26352	 * 	238.52	DCR|2VULN|2DMG|2ASPD|1AART|1RPLT	1aASPD|2AART|3aDMG|4CANSTR|57VULN|6aTSLFST|8RPLT|9RCR|aBPWR
86	21161 26352	   	238.52	DCR|2VULN|2DMG|2ASPD|1AART|1RPLT	1aASPD|2AART|3aDMG|4VENICY|57VULN|6aTSLFST|8RPLT|9RCR|aBPWR
87	41121 11264	   	238.45	DCR|3VULN|2DMG|1CDMG|1AART	13DMG|2AART|468VULN|56DUST|6BPWR|7ERES|9RCR|aCDMG
88	41423 11132	   	238.44	DCR|DCR|1DMG|1CDMG|1AART|1RPLT	1DMG|2AART|3FEWX|4NUKE|5RPLT|6aRCR|7CDMG|8LHND|9AELOIC
89	45223 11132	   	238.44	DCR|DCR|1DMG|1CDMG|1AART|1RPLT	1DMG|2FEWX|3AART|4NUKE|5RPLT|6aRCR|7CDMG|8LHND|9AELOIC
90	34223 11112	   	238.39	DCR|DCR|1DMG|1CDMG|1AART|1RPLT|1ZMB	1FEWX|2ZMB|3AART|4DMG|5RPLT|6aRCR|7CDMG|89LHND
91	34223 11132	   	238.29	DCR|DCR|1DMG|1CDMG|1AART|1RPLT|1ZMB	1FEWX|2ZMB|3AART|4DMG|5RPLT|6aRCR|7CDMG|8LHND|9AELOIC
92	21351 54212	   	237.96	ACR|DCR|2VULN|1ASPD|1AART|1SELL	1ASPD|2AART|38RCR|4BASHEA|57VULN|6SELL|9FRZARM|aAAC
93	21351 54213	   	237.96	ACR|DCR|2VULN|1ASPD|1AART|1SELL	1ASPD|2AART|38RCR|4BASHEA|57VULN|6SELL|9FRZARM|aLHND
94	21351 54221	   	237.96	ACR|DCR|2VULN|1ASPD|1AART|1SELL	1ASPD|2AART|38RCR|4BASHEA|57VULN|6SELL|9CGEN|aDMSP
95	21351 54232	   	237.96	ACR|DCR|2VULN|1ASPD|1AART|1SELL	1ASPD|2AART|38RCR|4BASHEA|57VULN|6SELL|9BBNT|aTLV
96	21351 54233	   	237.96	ACR|DCR|2VULN|1ASPD|1AART|1SELL	1ASPD|2AART|38RCR|4BASHEA|57VULN|6SELL|9BBNT|aRMIN
97	21351 54211	   	237.86	ACR|DCR|2VULN|1ASPD|1AART|1SELL|1MSE	1ASPD|2AART|38RCR|4BASHEA|57VULN|6SELL|9FRZARM|aMSE
98	21351 54222	   	237.86	ACR|DCR|2VULN|1ASPD|1AART|1SELL	1ASPD|2AART|38RCR|4BASHEA|57VULN|6SELL|9CGEN|aMDPS
99	21351 54223	   	237.86	ACR|DCR|2VULN|1ASPD|1AART|1SELL	1ASPD|2AART|38RCR|4BASHEA|57VULN|6SELL|9CGEN|aAME
100	21351 54231	   	237.86	ACR|DCR|2VULN|1ASPD|1AART|1SELL	1ASPD|2AART|38RCR|4BASHEA|57VULN|6SELL|9BBNT|aMBVNT
101	21312 61361	   	237.84	ACR|DCR|1VULN|1MLV|1ASPD|1AART	1ASPD|2AART|39RCR|4LWND|5MLV|6DUR|7MDPS|8VULN|aTLV
102	21312 61364	   	237.84	ACR|DCR|1VULN|1MLV|1ASPD|1AART	1ASPD|2AART|39RCR|4aLWND|5MLV|6DUR|7MDPS|8VULN
103	21312 61365	   	237.84	ACR|DCR|1VULN|1MLV|1ASPD|1AART	1ASPD|2AART|39RCR|4LWND|5MLV|6DUR|7MDPS|8VULN|aFEWX
104	21312 61366	   	237.84	ACR|DCR|1VULN|1MLV|1ASPD|1AART	1ASPD|2AART|39RCR|4LWND|5MLV|6DUR|7MDPS|8VULN|aDMSP
105	21324 11361	   	237.84	ACR|DCR|1VULN|1MLV|1ASPD|1AART	1ASPD|2AART|39RCR|4DUR|5MLV|6LWND|7MDPS|8VULN|aTLV
106	21324 11364	   	237.84	ACR|DCR|1VULN|1MLV|1ASPD|1AART	1ASPD|2AART|39RCR|4DUR|5MLV|6aLWND|7MDPS|8VULN
107	21324 11365	   	237.84	ACR|DCR|1VULN|1MLV|1ASPD|1AART	1ASPD|2AART|39RCR|4DUR|5MLV|6LWND|7MDPS|8VULN|aFEWX
108	21324 11366	   	237.84	ACR|DCR|1VULN|1MLV|1ASPD|1AART	1ASPD|2AART|39RCR|4DUR|5MLV|6LWND|7MDPS|8VULN|aDMSP
109	21324 43361	   	237.84	ACR|DCR|1VULN|1MLV|1ASPD|1AART	1ASPD|2AART|39RCR|4DUR|5MLV|6CGEN|7AME|8VULN|aTLV
110	21324 43362	   	237.84	ACR|DCR|1VULN|1MLV|1ASPD|1AART	1ASPD|2AART|39RCR|4DUR|5MLV|6CGEN|7AME|8VULN|aLWND
111	21324 43363	   	237.84	ACR|DCR|1VULN|1MLV|1ASPD|1AART	1ASPD|2AART|39RCR|4DUR|5MLV|6CGEN|7AME|8VULN|aLIT
112	21334 61361	   	237.84	ACR|DCR|1VULN|1MLV|1ASPD|1AART	1ASPD|2AART|39RCR|4BEXP|5MLV|6DUR|7MDPS|8VULN|aTLV
113	21312 61362	   	237.74	ACR|DCR|1VULN|1MLV|1ASPD|1AART|1MSE	1ASPD|2AART|39RCR|4LWND|5MLV|6DUR|7MDPS|8VULN|aMSE
114	21312 61363	   	237.74	ACR|DCR|1VULN|1MLV|1ASPD|1AART	1ASPD|2AART|39RCR|4LWND|5MLV|6DUR|7MDPS|8VULN|aDUST
115	21324 11362	   	237.74	ACR|DCR|1VULN|1MLV|1ASPD|1AART|1MSE	1ASPD|2AART|39RCR|4DUR|5MLV|6LWND|7MDPS|8VULN|aMSE
116	21324 11363	   	237.74	ACR|DCR|1VULN|1MLV|1ASPD|1AART	1ASPD|2AART|39RCR|4DUR|5MLV|6LWND|7MDPS|8VULN|aDUST
117	21334 61362	   	237.74	ACR|DCR|1VULN|1MLV|1ASPD|1AART|1MSE	1ASPD|2AART|39RCR|4BEXP|5MLV|6DUR|7MDPS|8VULN|aMSE
118	21334 61363	   	237.74	ACR|DCR|1VULN|1MLV|1ASPD|1AART	1ASPD|2AART|39RCR|4BEXP|5MLV|6DUR|7MDPS|8VULN|aDUST
119	22622 11262	   	237.42	DCR|DCR|2RPLT|1ASPD|1CDMG|1AART	1ASPD|2LHND|38RPLT|4AAC|5AART|6aRCR|7CDMG|9BEXP
120	21312 11366	   	237.30	ACR|DCR|1VULN|2AART|1MLV|1ASPD	1ASPD|2aAART|39RCR|4LWND|5MLV|6LHND|7MDPS|8VULN
121	61235 21321	   	237.01	DCR|DCR|1VULN|1AART|1RPLT	13TLV|2AART|4FEWX|5VULN|6aRCR|7RPLT|8LIT|9RMIN
122	61255 21321	   	237.01	DCR|DCR|1VULN|1AART|1RPLT	13TLV|2AART|4BEXP|5VULN|6aRCR|7RPLT|8LIT|9RMIN
123	41124 12611	 * 	236.47	DCR|2VULN|2DMG|3DUR|1CDMG|1AART	13DMG|2AART|46VULN|567DUR|6BPWR|8RCVC|9CDMG|aRCR
124	41135 12611	   	236.47	DCR|2VULN|2DMG|3DUR|1CDMG|1AART	13DMG|2AART|467DUR|56VULN|6BPWR|8RCVC|9CDMG|aRCR
125	22622 13632	   	235.86	DCR|DCR|1MLV|1ASPD|1AART|1RPLT|1SELL	1ASPD|2LHND|3RPLT|4AAC|5AART|6aRCR|7MLV|8SELL|9CGEN
126	31512 14343	   	235.46	DCR|DCR|1VULN|1RPLT	1FEWX|2LWND|3BLASTR|4LIT|5DUR|6FLTFST|7VULN|89RCR|aRPLT
127	31325 35231	   	235.12	DCR|DCR|1VULN|1MLV	1FEWX|247LWND|3MLV|5DUST|6aRCR|8VULN|9AAC
