0	Index      	 *	Score 	Summary	Detail	
1	41122 23162	 * 	287.33	DCR|DCR|2VULN|2ASPD|1MLV	19VULN|239AME|4MGNSTR|5MLV|6AAC|79ASPD|8aRCR|9BPWR
33	22257 45442	   	258.65	DCR|DCR|2VULN|2DUR	1FEWX|2FLTHEA|37DUR|4MBVNT|58VULN|6BEXP|9aRCR
34	52257 14142	   	258.65	DCR|DCR|2VULN|2DUR	1BEXP|2FLTHEA|38DUR|4MBVNT|57VULN|6LHND|9aRCR
35	62232 76442	   	258.65	DCR|DCR|2VULN|2DUR	13DUR|2FLTHEA|4MBVNT|5FEWX|68VULN|7BEXP|9aRCR
36	12257 35442	   	258.55	DCR|DCR|2VULN|2DUR	1LHND|2FLTHEA|37DUR|4MBVNT|58VULN|6DUST|9aRCR
37	62232 83442	   	258.55	DCR|DCR|2VULN|2DUR	13DUR|2FLTHEA|4MBVNT|5FEWX|6DUST|78VULN|9aRCR
38	62234 52418	   	258.55	DCR|DCR|2VULN|2DUR	13DUR|2FLTHEA|4MBVNT|5CGEN|6aRCR|7DUST|89VULN
39	42621 23213	   	258.46	DCR|4VULN|2MLV|1DMG	1269VULN|26BPWR|3DUR|4LWND|56MLV|7RCR|8LIT|aDMG
40	42361 23334	   	258.26	DCR|4VULN|2MLV|1DMG	1236VULN|26BPWR|4MDPS|56MLV|7RCR|8LEGI|9DMG|aDUR
41	41232 51261	   	257.45	DCR|DCR|2VULN|1CDMG	19VULN|2AME|3LWND|4FLTHEA|5RMIN|6aRCR|7BEXP|8CDMG
42	42233 51221	   	257.45	DCR|DCR|2VULN|1CDMG	12VULN|2BPWR|3LWND|4MSLREG|59LHND|6aRCR|7BEXP|8CDMG
43	42233 51231	   	257.45	DCR|DCR|2VULN|1CDMG	12VULN|2BPWR|3LWND|4MSLREG|5LHND|6aRCR|7BEXP|8CDMG|9RCVC
44	41231 62361	   	257.45	DCR|DCR|2VULN|1CDMG	19VULN|2AME|3LWND|4FLTHEA|5BEXP|6CDMG|7TLV|8aRCR
45	41233 51361	   	257.45	DCR|DCR|2VULN|1CDMG	19VULN|2AME|3LWND|4FLTHEA|5CDMG|6RMIN|7BEXP|8aRCR
46	11533 62361	   	257.35	DCR|DCR|2VULN|1CDMG	1LHND|2AME|3BEXP|4AIRARM|59VULN|6CDMG|7TLV|8aRCR
47	33323 41452	   	257.35	DCR|DCR|2VULN|1ASPD	1NUKE|2ASPD|38RMIN|4VENICY|59VULN|6aRCR|7RCVC
48	33323 41512	   	257.35	DCR|DCR|2VULN|1ASPD	1NUKE|2ASPD|3RMIN|4VENICY|58VULN|6aRCR|79RCVC
49	42231 26126	   	257.35	DCR|DCR|2VULN|1ASPD	12VULN|2BPWR|3LWND|4MSLREG|5MSLTOX|6TBNT|7CGEN|8aRCR|9ASPD
