0	Index      	 *	Score 	Summary	Detail	
1	11131 16261	 * 	301.13	DCR|DCR|2VULN|2DMG|2RPLT	1aVULN|29DMG|3RMIN|4BELT|57RPLT|68RCR
32	11123 23434	   	274.92	DCR|DCR|1VULN|2ASPD|1DMG	1VULN|2DMG|3RMIN|4LHND|56ASPD|7aRCR|8DUR|9MGNSTR
33	11113 23434	   	274.82	DCR|DCR|1VULN|2ASPD|1DMG	1VULN|2DMG|3RMIN|4LEGI|56ASPD|7aRCR|8DUR|9MGNSTR
34	11333 23434	   	274.82	DCR|DCR|1VULN|2ASPD|1DMG	1VULN|2DMG|3AME|4FEWX|56ASPD|7aRCR|8DUR|9TSLFST
35	12222 13413	   	274.64	DCR|4VULN|2DMG|2MLV|1ZMB	149aVULN|2RCVC|3BELT|5ZMB|69MLV|79DMG|8RCR|9BPWR
36	15522 13413	   	274.64	DCR|4VULN|2DMG|2MLV|1ZMB	149aVULN|23BELT|5ZMB|69MLV|79DMG|8RCR|9BPWR
37	11232 51151	   	274.55	DCR|2VULN|3DMG|2MLV	1aVULN|24aDMG|3AART|5DUR|6RPLT|7FEWX|8aMLV|9RCR|aBPWR
38	11234 61151	   	274.55	DCR|2VULN|3DMG|2MLV	1aVULN|24aDMG|3AART|5RPLT|6DUR|7FEWX|8aMLV|9RCR|aBPWR
39	13532 61241	   	274.37	DCR|DCR|2VULN|1MLV	14VULN|2RMIN|3TSLFST|57BELT|69RCR|8DUR|aMLV
40	13632 61241	   	274.37	DCR|DCR|2VULN|1MLV	14VULN|2RMIN|3CANSTR|57BELT|69RCR|8DUR|aMLV
41	32332 61241	   	274.27	DCR|DCR|2VULN|1MLV	1MULARM|2ERES|34VULN|57BELT|69RCR|8DUR|aMLV
42	34332 61241	   	274.27	DCR|DCR|2VULN|1MLV	1MULARM|24VULN|3AME|57BELT|69RCR|8DUR|aMLV
43	11264 11151	   	274.05	DCR|3VULN|2DMG|2MLV	14aVULN|2aDMG|3AART|5RPLT|6LWND|7FEWX|8aMLV|9RCR|aBPWR
44	11264 31151	   	274.05	DCR|3VULN|2DMG|2MLV	14aVULN|2aDMG|3AART|5RPLT|6LHND|7FEWX|8aMLV|9RCR|aBPWR
45	11131 16232	   	273.06	DCR|DCR|2DMG|1VULN|2RPLT	1VULN|2aDMG|3RMIN|4BELT|57RPLT|68RCR|9LHND
46	11131 16252	   	273.06	DCR|DCR|2DMG|1VULN|2RPLT	1VULN|2aDMG|3RMIN|4BELT|57RPLT|68RCR|9FEWX
47	11131 16262	   	273.06	DCR|DCR|2DMG|1VULN|2RPLT	1VULN|29DMG|3RMIN|4BELT|57RPLT|68RCR|aFLTARM
48	11131 16266	   	273.06	DCR|DCR|2DMG|1VULN|2RPLT	1VULN|29DMG|3RMIN|4BELT|57RPLT|68RCR|aBBNT
49	11131 16263	   	272.96	DCR|DCR|2DMG|1VULN|2RPLT	1VULN|29DMG|3RMIN|4BELT|57RPLT|68RCR|aBLAICY
50	11131 16264	   	272.96	DCR|DCR|2DMG|1VULN|2RPLT	1VULN|29DMG|3RMIN|4BELT|57RPLT|68RCR|aAME
51	15341 16222	   	272.96	DCR|DCR|2DMG|1VULN|2RPLT	1VULN|2BELT|3ERES|4aDMG|57RPLT|68RCR|9CGEN
52	15341 16232	   	272.96	DCR|DCR|2DMG|1VULN|2RPLT	1VULN|2BELT|3ERES|4aDMG|57RPLT|68RCR|9LHND
53	11511 31561	   	272.03	DCR|DCR|1VULN|1DMG|1CDMG	1VULN|2DMG|3TSLFST|4CDMG|5RPLT|6BELT|79RCR|8DUR|aAIRHEA
54	11511 31562	   	272.03	DCR|DCR|1VULN|1DMG|1CDMG|1MSE	1VULN|2DMG|3TSLFST|4CDMG|5RPLT|6BELT|79RCR|8DUR|aMSE
55	11611 31561	   	272.03	DCR|DCR|1VULN|1DMG|1CDMG	1VULN|2DMG|3CANSTR|4CDMG|5RPLT|6BELT|79RCR|8DUR|aAIRHEA
56	11611 31562	   	272.03	DCR|DCR|1VULN|1DMG|1CDMG|1MSE	1VULN|2DMG|3CANSTR|4CDMG|5RPLT|6BELT|79RCR|8DUR|aMSE
57	35311 31561	   	272.03	DCR|DCR|1VULN|1DMG|1CDMG	1MULARM|2DMG|3VULN|4CDMG|5RPLT|6BELT|79RCR|8DUR|aAIRHEA
58	35311 31562	   	272.03	DCR|DCR|1VULN|1DMG|1CDMG|1MSE	1MULARM|2DMG|3VULN|4CDMG|5RPLT|6BELT|79RCR|8DUR|aMSE
59	32332 61144	   	271.89	DCR|DCR|3VULN	1MULARM|2ERES|34aVULN|57BELT|69RCR|8BEXP
60	13514 21232	   	271.84	DCR|DCR|2VULN|1CDMG	19VULN|2RMIN|3TSLFST|4CDMG|5TBNT|67RCR|8FEWX|aRPLT
61	13614 21232	   	271.84	DCR|DCR|2VULN|1CDMG	19VULN|2RMIN|3CANSTR|4CDMG|5TBNT|67RCR|8FEWX|aRPLT
62	32332 61344	   	271.79	DCR|DCR|3VULN	1MULARM|2ERES|34aVULN|57BELT|69RCR|8DUST
63	32314 21143	   	271.74	DCR|DCR|2VULN|1CDMG	1MULARM|2ERES|3aVULN|4CDMG|5TBNT|67RCR|8TLV|9RPLT
64	32314 21543	   	271.64	DCR|DCR|2VULN|1CDMG	1MULARM|2ERES|3aVULN|4CDMG|5TBNT|67RCR|8AME|9RPLT
65	32314 21643	   	271.49	DCR|DCR|2VULN|1CDMG|1ZMB	1MULARM|2ERES|3aVULN|4CDMG|5TBNT|67RCR|8ZMB|9RPLT
