0	Index      	 *	Score 	Summary	Detail	
1	23314 57137	 * 	286.12	ACR|DCR|3MLV|1VULN|1DMG|1ASPD|1CDMG	1aRCR|2MBVNT|3DMG|4ASPD|569MLV|7VULN|8CDMG
20	22243 35331	   	264.89	ACR|DCR|2VULN|1ASPD|1CDMG|1AART	1aRCR|2TBNT|3CDMG|4AART|5ASPD|68VULN|7DUR|9ERES
21	23344 43387	   	264.75	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1aRCR|2MBVNT|3DMG|4FEWX|5CDMG|6VULN|7MLV|8DUR|9ASPD
22	22263 41427	   	264.46	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	16RCR|2TBNT|3CDMG|4MLV|5MBVNT|7LWND|8aVULN|9ASPD
23	22263 43427	   	264.46	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	16RCR|2TBNT|3CDMG|4MLV|5MBVNT|7FEWX|8aVULN|9ASPD
24	22263 48282	   	264.46	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	16RCR|2TBNT|3CDMG|4MLV|5MBVNT|7FRZARM|8aVULN|9ASPD
25	22263 42427	   	264.36	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	16RCR|2TBNT|3CDMG|4MLV|5MBVNT|7DUST|8aVULN|9ASPD
26	22263 46732	   	264.21	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG|1SELL	16RCR|2TBNT|3CDMG|4MLV|5MBVNT|7SELL|8aVULN|9ASPD
27	22233 36345	   	263.10	ACR|DCR|2VULN|1DMG|1CDMG|1AART	17RCR|2TBNT|3CDMG|4aVULN|59CGEN|6AART|8DMG
28	23412 11158	   	262.90	ACR|DCR|2VULN|1DMG|1CDMG|1RPLT	18RCR|2MBVNT|3VENICY|4RCVC|5CDMG|6aVULN|7DMG|9RPLT
29	23712 11158	   	262.90	ACR|DCR|2VULN|1DMG|1CDMG|1RPLT	18RCR|2MBVNT|3TSLFST|4RCVC|5CDMG|6aVULN|7DMG|9RPLT
30	23688 31443	   	262.86	ACR|DCR|1VULN|2MLV|2DUR|1CDMG|1AART	19RCR|2MBVNT|3CDMG|46MLV|5AART|78DUR|aVULN
31	22151 13131	   	262.79	ACR|3VULN|2DMG|2MLV|1ASPD|1CDMG|1RPLT	1RCR|2TBNT|379VULN|47DMG|57MLV|6RPLT|7BPWR|8CDMG|aASPD
32	23233 71483	   	262.53	ACR|DCR|2VULN|2MLV|1AART	1aRCR|2MBVNT|3AART|49LHND|5AME|69MLV|79VULN|8BBNT|9BPWR
33	23412 11147	   	261.54	ACR|DCR|2VULN|1DMG|1CDMG	18RCR|2MBVNT|3VENICY|4RCVC|5CDMG|6aVULN|7DMG|9DUR
34	23712 11147	   	261.54	ACR|DCR|2VULN|1DMG|1CDMG	18RCR|2MBVNT|3TSLFST|4RCVC|5CDMG|6aVULN|7DMG|9DUR
35	36313 23111	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1ASPD|2DUST|3FEWX|4BBNT|5AART|67RCR|8MLV|9LWND|aVULN
36	36313 23121	   	261.29	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1ASPD|2DUST|3FEWX|4BBNT|5AART|67RCR|8MLV|9BELT|aVULN
37	22233 36261	   	261.00	ACR|DCR|2VULN|1CDMG|1AART|1RPLT	17RCR|2TBNT|3CDMG|4aVULN|5CGEN|6AART|8RPLT|9DUR
38	22156 22353	   	260.76	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1AART	1aRCR|2TBNT|3VULN|4DMG|5DUR|6ERES|7MLV|8ASPD|9AART
39	22111 63345	   	260.67	ACR|DCR|2VULN|1MLV|1ASPD|1AART	1aRCR|2TBNT|36VULN|4BBNT|56LHND|6BPWR|7ASPD|8AART|9MLV
40	22122 41635	   	260.57	ACR|DCR|2VULN|1MLV|1ASPD|1AART	1aRCR|2TBNT|38VULN|4MLV|5BBNT|6AART|7ASPD|9LWND
41	23312 34778	   	260.38	ACR|DCR|2DMG|1VULN|1MLV|1ASPD	1aRCR|2MBVNT|37DMG|4ASPD|5TBNT|6BBNT|8MLV|9VULN
42	23235 18435	   	260.28	ACR|DCR|2DMG|1VULN|2AART|1ASPD	18RCR|2MBVNT|35AART|4LHND|6ASPD|7aDMG|9VULN
43	23235 18436	   	260.22	ACR|DCR|1VULN|1DMG|2AART|1MLV|1ASPD	18RCR|2MBVNT|35AART|4LHND|6ASPD|7DMG|9VULN|aMLV
44	23114 14147	   	259.11	ACR|DCR|2VULN|1MLV|1ASPD	19RCR|2MBVNT|3TLV|4ASPD|5MLV|6RMIN|7DUR|8aVULN
45	23114 15647	   	259.11	ACR|DCR|2VULN|1MLV|1ASPD	19RCR|2MBVNT|3TLV|4ASPD|5MLV|6RMIN|7aVULN|8DUR
46	22263 41465	   	258.40	ACR|DCR|1VULN|2MLV|1DMG|1CDMG	16RCR|2TBNT|3CDMG|49MLV|5MBVNT|7LWND|8VULN|aDMG
47	22263 43465	   	258.40	ACR|DCR|1VULN|2MLV|1DMG|1CDMG	16RCR|2TBNT|3CDMG|49MLV|5MBVNT|7FEWX|8VULN|aDMG
48	22233 36311	   	258.33	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG|1AART|1RPLT	17RCR|2TBNT|3CDMG|4VULN|5CGEN|6AART|8DMG|9ASPD|aRPLT
49	22263 42465	   	258.30	ACR|DCR|1VULN|2MLV|1DMG|1CDMG	16RCR|2TBNT|3CDMG|49MLV|5MBVNT|7DUST|8VULN|aDMG
50	22263 44478	   	258.30	ACR|DCR|1VULN|2MLV|1DMG|1CDMG	16RCR|2TBNT|3CDMG|49MLV|5MBVNT|7ERES|8VULN|aDMG
51	23314 17187	 * 	258.05	ACR|DCR|2DMG|2ASPD|2CDMG|1MLV	1aRCR|2MBVNT|39DMG|49ASPD|5MLV|6RMIN|7TLV|89CDMG|9BPWR
52	23314 18187	   	258.05	ACR|DCR|2DMG|2ASPD|2CDMG|1MLV	1aRCR|2MBVNT|39DMG|49ASPD|5MLV|6RMIN|7CGEN|89CDMG|9BPWR
53	23314 81187	   	258.05	ACR|DCR|2DMG|2ASPD|2CDMG|1MLV	1aRCR|2MBVNT|39DMG|49ASPD|5MLV|6CGEN|7RMIN|89CDMG|9BPWR
54	22151 13132	   	257.44	ACR|3VULN|2DMG|2MLV|1CDMG|1RPLT	1RCR|2TBNT|379VULN|47DMG|57MLV|6RPLT|7BPWR|8CDMG|aDUR
55	36313 23216	   	257.41	DCR|DCR|1VULN|1ASPD|1CDMG|1AART	1ASPD|2DUST|3FEWX|4BBNT|5AART|67RCR|8CDMG|9FRZICY|aVULN
56	36313 23241	   	257.41	DCR|DCR|1VULN|1ASPD|1CDMG|1AART	1ASPD|2DUST|3FEWX|4BBNT|5AART|67RCR|8CDMG|9LIT|aVULN
57	23348 12147	   	257.37	ACR|DCR|2VULN|2DMG	19RCR|2MBVNT|36DMG|46FEWX|5RMIN|6BPWR|7LWND|8aVULN
58	23338 12147	   	257.17	ACR|DCR|2VULN|2DMG	19RCR|2MBVNT|36DMG|46DUST|5RMIN|6BPWR|7LWND|8aVULN
59	23368 12644	   	257.17	ACR|DCR|2VULN|2DMG	19RCR|2MBVNT|3aDMG|48VULN|5RMIN|6LWND|7DUST
60	23521 44447	 * 	257.02	ACR|DCR|2VULN|3RPLT|1MLV	1aRCR|2MBVNT|3DMSP|459RPLT|68VULN|7MLV
61	22233 36316	   	256.98	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG|1AART	17RCR|2TBNT|3CDMG|4VULN|5CGEN|6AART|8DMG|9ASPD|aDUR
62	63431 26131	   	256.87	ACR|DCR|2VULN|1DMG|1MLV|1SELL	1BASICY|26VULN|3SELL|48RCR|5DMG|7MBVNT|9TLV|aMLV
63	63431 26111	   	256.77	ACR|DCR|2VULN|1DMG|1MLV|1SELL	1BASICY|26VULN|3SELL|48RCR|5DMG|7MBVNT|9ERES|aMLV
64	22243 32311	   	256.68	ACR|DCR|2VULN|1ASPD|1CDMG|1AART	1aRCR|2TBNT|3CDMG|4AART|5ASPD|68VULN|7FEWX|9RMIN
65	22243 32321	   	256.68	ACR|DCR|2VULN|1ASPD|1CDMG|1AART	1aRCR|2TBNT|3CDMG|4AART|5ASPD|68VULN|7FEWX|9CGEN
66	22243 32331	   	256.58	ACR|DCR|2VULN|1ASPD|1CDMG|1AART	1aRCR|2TBNT|3CDMG|4AART|5ASPD|68VULN|7FEWX|9ERES
67	22243 33351	   	256.58	ACR|DCR|2VULN|1ASPD|1CDMG|1AART	1aRCR|2TBNT|3CDMG|4AART|5ASPD|69VULN|7ERES|8BEXP
68	22243 33551	   	256.58	ACR|DCR|2VULN|1ASPD|1CDMG|1AART	1aRCR|2TBNT|3CDMG|4AART|5ASPD|69VULN|7ERES|8LWND
69	23412 18158	   	256.48	ACR|DCR|2VULN|1ASPD|1CDMG|1RPLT	18RCR|2MBVNT|3VENICY|4RCVC|5CDMG|6aVULN|7ASPD|9RPLT
70	22263 48281	   	256.44	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	16RCR|2TBNT|3CDMG|4MLV|5MBVNT|7FRZARM|8VULN|9ASPD|aDMG
71	23344 43487	   	256.44	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1aRCR|2MBVNT|3DMG|4FEWX|5CDMG|6VULN|7MLV|8BEXP|9ASPD
72	23344 43787	   	256.44	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1aRCR|2MBVNT|3DMG|4FEWX|5CDMG|6VULN|7MLV|8LWND|9ASPD
73	23344 43837	   	256.44	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1aRCR|2MBVNT|3DMG|4FEWX|5CDMG|6VULN|7MLV|8ASPD|9LWND
74	23344 43877	   	256.44	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1aRCR|2MBVNT|3DMG|4FEWX|5CDMG|6VULN|7MLV|8ASPD|9BEXP
75	23844 43237	   	256.44	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1aRCR|2MBVNT|3LHND|4ASPD|5CDMG|6VULN|7DMG|8MLV|9LWND
76	23844 43277	   	256.44	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1aRCR|2MBVNT|3LHND|4ASPD|5CDMG|6VULN|7DMG|8MLV|9BEXP
77	23844 43287	   	256.44	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1aRCR|2MBVNT|3LHND|4ASPD|5CDMG|6VULN|7DMG|8MLV|9FEWX
78	23344 43687	   	256.34	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1aRCR|2MBVNT|3DMG|4FEWX|5CDMG|6VULN|7MLV|8DUST|9ASPD
79	23844 43627	   	256.34	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG	1aRCR|2MBVNT|3LHND|4ASPD|5CDMG|6VULN|7DMG|8DUST|9MLV
80	22151 13663	   	256.34	ACR|3VULN|3DMG|2MLV|2RPLT	1RCR|2TBNT|37aVULN|478DMG|57MLV|69RPLT|7BPWR
81	23688 31143	   	256.31	ACR|DCR|1VULN|2MLV|1CDMG|1AART	19RCR|2MBVNT|3CDMG|46MLV|5AART|7DUR|8RCVC|aVULN
82	22263 46731	   	256.20	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1CDMG|1SELL	16RCR|2TBNT|3CDMG|4MLV|5MBVNT|7SELL|8VULN|9ASPD|aDMG
