0	Index      	 *	Score 	Summary	Detail	
1	12321 26254	 * 	234.26	2VULN|1BASARM|2ASPD|2DMG|1AART|1BASICY|1BEXP|1CDMG	1AART|29DMG|3BASICY|49ASPD|5BEXP|6CDMG|79VULN|8MDPS|9BPWR|aBASARM
37	13553 53122	   	207.26	ACR|1BASARM|2AART|1DMG|1BEXP	14AART|2CGEN|38AEMAG|5RCR|6BASARM|7DMG|9BEXP|aRCVC
38	62223 46321	   	207.18	ACR|3DMG|2BEXP|1VULN|2CDMG|1SELL	158DMG|28CDMG|3DUST|4RCR|6TLV|78BEXP|8BPWR|9VULN|aSELL
39	13553 51131	 * 	206.06	ACR|1BASARM|2AART|1ASPD|1CDMG	14AART|2CGEN|3AEMAG|5RCR|6BASARM|7DUR|8LWND|9CDMG|aASPD
40	13553 52231	   	205.96	ACR|1BASARM|2AART|1ASPD|1CDMG	14AART|2CGEN|3AEMAG|5RCR|6BASARM|7LWND|8DUST|9CDMG|aASPD
41	13553 53113	   	205.96	ACR|1BASARM|2AART|1DMG|1BEXP	14AART|2CGEN|38AEMAG|5RCR|6BASARM|7DMG|9ZMB|aBEXP
42	13553 53121	   	205.96	ACR|1BASARM|2AART|1DMG|1BEXP	14AART|2CGEN|38AEMAG|5RCR|6BASARM|7DMG|9BEXP|aMLV
43	13553 53123	   	205.96	ACR|1BASARM|2AART|1DMG|1BEXP	14AART|2CGEN|38AEMAG|5RCR|6BASARM|7DMG|9BEXP|aLWND
44	62223 26622	   	205.82	ACR|3DMG|1VULN|1AART|1BEXP|1CDMG	158DMG|2CDMG|3DUST|4RCR|6AART|7BELT|9VULN|aBEXP
45	62223 26253	   	205.62	ACR|2DMG|2AART|1VULN|1BEXP|1CDMG	15DMG|2CDMG|3DUST|4RCR|69AART|7BELT|8BEXP|aVULN
46	62223 66331	 * 	205.26	ACR|3DMG|3BEXP|3CDMG	158DMG|289CDMG|3DUST|4RCR|69aMLV|789BEXP|89BPWR
47	62223 66332	   	205.26	ACR|3DMG|3BEXP|3CDMG	158DMG|289CDMG|3DUST|4RCR|69MLV|789BEXP|89BPWR|aLWND
48	62223 66333	   	205.16	ACR|3DMG|3BEXP|3CDMG	158DMG|289CDMG|3DUST|4RCR|69MLV|789BEXP|89BPWR|aMSLFST
49	43156 23123	 * 	205.00	ACR|2VULN|1BASARM|1ASPD|1BEXP|1CDMG	1ERES|2FEWX|3BEXP|46VULN|5RCR|7BASARM|8LWND|9CDMG|aASPD
50	43156 23321	   	205.00	ACR|2VULN|1BASARM|1ASPD|1BEXP|1CDMG	1ERES|2FEWX|3BEXP|46VULN|5RCR|7BASARM|8ASPD|9LHND|aCDMG
51	43356 23311	   	204.90	ACR|2VULN|1BASARM|1ASPD|1BEXP|1CDMG	1ERES|2FEWX|3DUST|46VULN|5RCR|7BASARM|8ASPD|9BEXP|aCDMG
52	13553 51111	   	204.76	ACR|1BASARM|2AART|1VULN|1BEXP	14AART|2CGEN|3AEMAG|5RCR|6BASARM|7DUR|8LWND|9VULN|aBEXP
53	13553 51112	 * 	204.74	ACR|1BASARM|2AART|2VULN	14AART|2CGEN|3AEMAG|5RCR|6BASARM|7DUR|8LWND|9aVULN
54	35513 21336	 * 	204.67	ACR|1BASARM|1ASPD|1BASICY|1AART|1BEXP	1MDPS|2RPLT|3ASPD|4RCR|5DUR|6BASICY|7RMIN|8AART|9BEXP|aBASARM
55	13553 51312	   	204.64	ACR|1BASARM|2AART|2VULN	14AART|2CGEN|3AEMAG|5RCR|6BASARM|7DUR|8DUST|9aVULN
56	13553 52212	   	204.64	ACR|1BASARM|2AART|2VULN	14AART|2CGEN|3AEMAG|5RCR|6BASARM|7LWND|8DUST|9aVULN
