0	Index      	 *	Score 	Summary	Detail	
1	12364 83143	 * 	188.50	ACR|2ASPD|2DMG|1BEXP|1CDMG	1LIT|2aLHND|3AEMAG|4RCR|5MBVNT|6CDMG|7aDMG|8BEXP|9aASPD|aBPWR
38	12663 11323	   	163.53	ACR|2VULN|2ASPD|1BEXP	1LIT|2LHND|3ERES|4RCR|56VULN|78ASPD|9BEXP|aRCVC
39	11663 11323	   	163.43	ACR|2VULN|2ASPD|1BEXP	1LIT|2LEGI|3ERES|4RCR|56VULN|78ASPD|9BEXP|aRCVC
40	12663 11321	   	163.21	ACR|2VULN|2ASPD|1BEXP	1LIT|2LHND|3ERES|4RCR|56VULN|78ASPD|9BEXP|aDUR
41	12663 11322	   	163.21	ACR|2VULN|2ASPD|1BEXP	1aLIT|2LHND|3ERES|4RCR|56VULN|78ASPD|9BEXP
42	12663 11326	   	163.21	ACR|2VULN|2ASPD|1BEXP	1LIT|2LHND|3ERES|4RCR|56VULN|78ASPD|9BEXP|aFEWX
43	11663 11321	   	163.11	ACR|2VULN|2ASPD|1BEXP	1LIT|2LEGI|3ERES|4RCR|56VULN|78ASPD|9BEXP|aDUR
44	11663 11322	   	163.11	ACR|2VULN|2ASPD|1BEXP	1aLIT|2LEGI|3ERES|4RCR|56VULN|78ASPD|9BEXP
45	11663 11326	   	163.11	ACR|2VULN|2ASPD|1BEXP	1LIT|2LEGI|3ERES|4RCR|56VULN|78ASPD|9BEXP|aFEWX
46	12663 11325	   	163.11	ACR|2VULN|2ASPD|1BEXP	1LIT|2LHND|3ERES|4RCR|56VULN|78ASPD|9BEXP|aMDPS
47	11663 11325	   	163.01	ACR|2VULN|2ASPD|1BEXP	1LIT|2LEGI|3ERES|4RCR|56VULN|78ASPD|9BEXP|aMDPS
48	34312 24314	 * 	162.77	ACR|2BEXP|1ASPD|1BASICY|1CDMG	14DUST|26TLV|3CDMG|5RCR|7BASICY|89BEXP|aASPD
49	11363 33121	 * 	162.63	ACR|1BASARM|2BEXP	1LIT|2LEGI|3AEMAG|4RCR|5DUR|6LHND|7LWND|89BEXP|aBASARM
50	12363 33121	   	162.63	ACR|1BASARM|2BEXP	1LIT|2LHND|3AEMAG|4RCR|5DUR|6LEGI|7LWND|89BEXP|aBASARM
51	11364 38121	   	162.53	ACR|1BASARM|2BEXP	1LIT|2LEGI|3AEMAG|4RCR|5MBVNT|6LHND|79BEXP|8FEWX|aBASARM
52	11364 38421	   	162.53	ACR|1BASARM|2BEXP	1LIT|2LEGI|3AEMAG|4RCR|5MBVNT|6LHND|79BEXP|8DUR|aBASARM
53	12364 38121	   	162.53	ACR|1BASARM|2BEXP	1LIT|2LHND|3AEMAG|4RCR|5MBVNT|6LEGI|79BEXP|8FEWX|aBASARM
54	12364 38421	   	162.53	ACR|1BASARM|2BEXP	1LIT|2LHND|3AEMAG|4RCR|5MBVNT|6LEGI|79BEXP|8DUR|aBASARM
55	12364 83331	   	162.04	ACR|1VULN|2CDMG|1ASPD|1DMG	1LIT|2LHND|3AEMAG|4RCR|5MBVNT|69CDMG|7DMG|8VULN|aASPD
56	16164 22211	   	161.64	ACR|1BASARM|1VULN|1DMG	16LIT|2DMSP|3TLV|4RMIN|5RCR|7VULN|8CGEN|9DMG|aBASARM
57	16164 22231	   	161.64	ACR|1BASARM|1VULN|1ASPD	16LIT|2DMSP|3TLV|4RMIN|5RCR|7VULN|8CGEN|9ASPD|aBASARM
58	12363 44333	 * 	161.54	ACR|1BASARM|1AART|1CDMG	1LIT|26LHND|3AEMAG|4RCR|5DUR|7CDMG|8ZMB|9AART|aBASARM
59	13164 32211	   	161.54	ACR|1BASARM|1VULN|1DMG	12LIT|36TLV|4RMIN|5RCR|7VULN|8CGEN|9DMG|aBASARM
60	13164 32231	   	161.54	ACR|1BASARM|1VULN|1ASPD	12LIT|36TLV|4RMIN|5RCR|7VULN|8CGEN|9ASPD|aBASARM
61	13164 52211	   	161.54	ACR|1BASARM|1VULN|1DMG	12LIT|3TLV|4RMIN|5RCR|6AEFBLL|7VULN|8CGEN|9DMG|aBASARM
62	13164 52231	   	161.54	ACR|1BASARM|1VULN|1ASPD	12LIT|3TLV|4RMIN|5RCR|6AEFBLL|7VULN|8CGEN|9ASPD|aBASARM
63	15164 32211	   	161.54	ACR|1BASARM|1VULN|1DMG	12LIT|2BPWR|36TLV|4RMIN|5RCR|7VULN|8CGEN|9DMG|aBASARM
64	15164 32231	   	161.54	ACR|1BASARM|1VULN|1ASPD	12LIT|2BPWR|36TLV|4RMIN|5RCR|7VULN|8CGEN|9ASPD|aBASARM
65	16164 32211	   	161.54	ACR|1BASARM|1VULN|1DMG	1LIT|2DMSP|36TLV|4RMIN|5RCR|7VULN|8CGEN|9DMG|aBASARM
66	16164 32231	   	161.54	ACR|1BASARM|1VULN|1ASPD	1LIT|2DMSP|36TLV|4RMIN|5RCR|7VULN|8CGEN|9ASPD|aBASARM
67	12363 44133	   	161.44	ACR|1BASARM|1AART|1CDMG	1LIT|26LHND|3AEMAG|4RCR|5DUR|7CDMG|8AAC|9AART|aBASARM
68	11363 31264	   	161.44	ACR|1BASARM|1AART|1CDMG	1LIT|2LEGI|3AEMAG|4RCR|5DUR|6LHND|7CDMG|8RMIN|9AART|aBASARM
69	11661 31431	 * 	161.44	ACR|1BASARM|1BEXP|1AART	1LIT|2LEGI|3ERES|4RCR|58FEWX|6DUR|7AART|9BEXP|aBASARM
70	11661 31631	   	161.44	ACR|1BASARM|1BEXP|1AART	1LIT|2LEGI|3ERES|4RCR|5FEWX|6DUR|7AART|8DMSP|9BEXP|aBASARM
71	12363 31264	   	161.44	ACR|1BASARM|1AART|1CDMG	1LIT|2LHND|3AEMAG|4RCR|5DUR|6LEGI|7CDMG|8RMIN|9AART|aBASARM
72	12363 54333	   	161.44	ACR|1BASARM|1AART|1CDMG	1LIT|2LHND|3AEMAG|4RCR|5DUR|6AEFBLL|7CDMG|8ZMB|9AART|aBASARM
73	13164 32411	   	161.44	ACR|1BASARM|1VULN|1DMG	12LIT|36TLV|4RMIN|5RCR|7VULN|8ERES|9DMG|aBASARM
74	12363 54133	   	161.34	ACR|1BASARM|1AART|1CDMG	1LIT|2LHND|3AEMAG|4RCR|5DUR|6AEFBLL|7CDMG|8AAC|9AART|aBASARM
75	54352 31132	 * 	160.13	DCR|2DMG|1VULN|1ASPD|1CDMG|1BEXP|1AAC|1SELL	1BEXP|2TLV|3CDMG|4ASPD|5VULN|68DMG|7SELL|9AAC|aRCR
76	54631 31132	 * 	160.13	DCR|2DMG|1VULN|1ASPD|1CDMG|1BEXP|1AAC|1SELL	1BEXP|2TLV|3VULN|4CDMG|5ASPD|68DMG|7SELL|9AAC|aRCR
77	33232 35453	 * 	159.91	DCR|3VULN|2ASPD|1BEXP|1AART	17DUST|27ASPD|3BEXP|4LHND|567VULN|7BPWR|8RPLT|9AART|aRCR
78	12364 21432	 * 	159.54	ACR|1ASPD|1DMG|1BASICY|1BEXP	1LIT|2LHND|3AEMAG|4RCR|5MBVNT|6CGEN|7ASPD|8BASICY|9DMG|aBEXP
79	12364 21411	 * 	159.54	ACR|1ASPD|1DMG|1BASICY|1AART	1LIT|2LHND|3AEMAG|4RCR|5MBVNT|6CGEN|7ASPD|8BASICY|9AART|aDMG
80	14463 23131	   	159.54	ACR|1ASPD|1DMG|2CDMG|1BEXP	1LIT|2MLV|3ERES|4RCR|5DMG|69CDMG|7DUR|8BEXP|aASPD
81	11364 21411	   	159.44	ACR|1ASPD|1DMG|1BASICY|1AART	1LIT|2LEGI|3AEMAG|4RCR|5MBVNT|6CGEN|7ASPD|8BASICY|9AART|aDMG
82	11364 21432	   	159.44	ACR|1ASPD|1DMG|1BASICY|1BEXP	1LIT|2LEGI|3AEMAG|4RCR|5MBVNT|6CGEN|7ASPD|8BASICY|9DMG|aBEXP
83	12364 11411	   	159.44	ACR|1ASPD|1BASICY|1DMG|1AART	1LIT|2LHND|3AEMAG|4RCR|5MBVNT|6TLV|7ASPD|8BASICY|9AART|aDMG
84	12364 11432	   	159.44	ACR|1ASPD|1BASICY|1DMG|1BEXP	1LIT|2LHND|3AEMAG|4RCR|5MBVNT|6TLV|7ASPD|8BASICY|9DMG|aBEXP
85	12364 11434	 * 	159.44	ACR|1ASPD|1BASICY|1DMG|1CDMG	1LIT|2LHND|3AEMAG|4RCR|5MBVNT|6TLV|7ASPD|8BASICY|9DMG|aCDMG
86	11364 11432	   	159.34	ACR|1ASPD|1DMG|1BASICY|1BEXP	1LIT|2LEGI|3AEMAG|4RCR|5MBVNT|6TLV|7ASPD|8BASICY|9DMG|aBEXP
87	11364 11434	   	159.34	ACR|1ASPD|1DMG|1BASICY|1CDMG	1LIT|2LEGI|3AEMAG|4RCR|5MBVNT|6TLV|7ASPD|8BASICY|9DMG|aCDMG
88	11364 11411	   	159.34	ACR|1ASPD|1DMG|1BASICY|1AART	1LIT|2LEGI|3AEMAG|4RCR|5MBVNT|6TLV|7ASPD|8BASICY|9AART|aDMG
89	33216 11434	 * 	158.70	DCR|3VULN|3ASPD|1BEXP	18DUST|278ASPD|3BEXP|459VULN|68LIT|8BPWR|aRCR
90	11661 13333	 * 	158.70	ACR|1BASARM|1VULN|1BEXP	1LIT|2LEGI|37ERES|4RCR|5FEWX|6VULN|8RPLT|9BEXP|aBASARM
91	11661 13633	   	158.70	ACR|1BASARM|1VULN|1BEXP	1LIT|2LEGI|37ERES|4RCR|5FEWX|6VULN|8BEXP|9RPLT|aBASARM
92	11663 43333	   	158.70	ACR|1BASARM|1VULN|1BEXP	1LIT|2LEGI|37ERES|4RCR|5VULN|6FEWX|8RPLT|9BEXP|aBASARM
