0	Index      	 *	Score 	Summary	Detail	
1	32615 13522	 * 	204.61	ACR|2BASARM|2BEXP|1VULN|1DMG	13aDUST|2AME|4BELT|5RCR|6aBEXP|7VULN|8DMG|9aBASARM|aBPWR
18	62265 23133	   	184.80	ACR|2VULN|3DMG|1ASPD	17VULN|2AME|34aDMG|5RCR|6LEGI|8AEFBLL|9ASPD
19	33215 13116	 * 	184.53	ACR|1BASARM|1VULN|1ASPD|1DMG	16DUST|2RMIN|3DMG|4FEWX|5RCR|7RCVC|8VULN|9ASPD|aBASARM
20	33615 13222	   	183.22	ACR|2BASARM|2BEXP|1VULN	13aDUST|2RMIN|4BELT|5RCR|6aBEXP|7VULN|8AME|9aBASARM|aBPWR
21	33265 62214	 * 	183.15	ACR|2DMG|2BEXP|2CDMG|1VULN	18DUST|2RMIN|34DMG|5RCR|68CDMG|78BEXP|8BPWR|9MBVNT|aVULN
22	33265 62232	   	183.15	ACR|2DMG|2BEXP|2CDMG|1VULN	18DUST|2RMIN|34DMG|5RCR|68CDMG|78BEXP|8BPWR|9TLV|aVULN
23	13265 23513	 * 	182.07	ACR|2DMG|1VULN|1ASPD|1BEXP|1CDMG	1ERES|2DUR|34DMG|5RCR|6LHND|7VULN|8CDMG|9ASPD|aBEXP
24	11265 23513	   	181.97	ACR|2DMG|1VULN|1ASPD|1BEXP|1CDMG	1ERES|2LEGI|34DMG|5RCR|6LHND|7VULN|8CDMG|9ASPD|aBEXP
25	33253 24431	   	181.63	DCR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1DUST|28RMIN|3DMG|4BASARM|5BEXP|6VULN|7CDMG|9ASPD|aRCR
26	33253 24531	   	181.53	DCR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	18DUST|2RMIN|3DMG|4BASARM|5BEXP|6VULN|7CDMG|9ASPD|aRCR
27	62265 13113	   	181.32	ACR|2VULN|3DMG|1AART	18VULN|28AME|348DMG|5RCR|6RMIN|7AART|8BPWR|9LHND|aRCVC
28	33633 31217	 * 	181.16	ACR|1BASARM|1VULN|1ASPD|1CDMG|1SELL	13DUST|2RMIN|4RCR|5SELL|6VULN|7MBVNT|8CDMG|9ASPD|aBASARM
29	62265 13111	   	181.00	ACR|2VULN|3DMG|1AART	18VULN|28AME|348DMG|5RCR|6RMIN|7AART|8BPWR|9LHND|aZMB
30	62265 13112	   	181.00	ACR|2VULN|3DMG|1AART	18VULN|28AME|348DMG|5RCR|6aRMIN|7AART|8BPWR|9LHND
31	62265 13121	   	181.00	ACR|2VULN|3DMG|1AART	18VULN|28AME|348DMG|5RCR|6RMIN|7AART|8BPWR|9aZMB
32	62265 13123	   	181.00	ACR|2VULN|3DMG|1AART	18VULN|28AME|348DMG|5RCR|6RMIN|7AART|8BPWR|9ZMB|aLWND
33	62265 13131	   	180.90	ACR|2VULN|3DMG|1AART	18VULN|28AME|348DMG|5RCR|6RMIN|7AART|8BPWR|9SNITOX|aMLV
34	63265 33113	 * 	180.75	ACR|2VULN|2DMG|1ASPD|1BEXP	17VULN|2RMIN|34DMG|5RCR|6RPLT|8BEXP|9ASPD|aFEWX
35	63265 33111	   	180.65	ACR|2VULN|2DMG|1ASPD|1BEXP	17VULN|2RMIN|34DMG|5RCR|6RPLT|8BEXP|9ASPD|aDUST
36	63265 33112	   	180.65	ACR|2VULN|2DMG|1ASPD|1BEXP	17VULN|2RMIN|34DMG|5RCR|6RPLT|8BEXP|9ASPD|aAEMAG
37	62265 23212	   	180.55	ACR|2VULN|2DMG|1ASPD|1BEXP	17VULN|2AME|34DMG|5RCR|6LEGI|8BEXP|9ASPD|aLWND
38	62265 23213	   	180.55	ACR|2VULN|2DMG|1ASPD|1BEXP	17VULN|2AME|34DMG|5RCR|6LEGI|8BEXP|9ASPD|aLIT
39	62265 23211	   	180.45	ACR|2VULN|2DMG|1ASPD|1BEXP	17VULN|2AME|34DMG|5RCR|6LEGI|8BEXP|9ASPD|aERES
40	62265 23331	   	179.26	ACR|3VULN|2DMG|1ASPD	178VULN|2AME|34DMG|5RCR|6LEGI|9ASPD|aRPLT
41	62265 23332	   	179.26	ACR|3VULN|2DMG|1ASPD	178VULN|2AME|34DMG|5RCR|6LEGI|9ASPD|aLHND
42	53211 14232	   	178.74	ACR|1BASARM|1DMG|1AART|1CDMG	1MLV|2DUR|3AART|4BELT|5RCR|6RCVC|7CDMG|8BASARM|9FEWX|aDMG
43	14235 12242	 * 	178.69	ACR|3DMG|2VULN|1CDMG	1ERES|24FEWX|349DMG|4BPWR|5RCR|6RMIN|7aVULN|8CDMG
44	51311 14232	   	178.64	ACR|1BASARM|1DMG|1AART|1CDMG	1MLV|2LEGI|3AART|4BELT|5RCR|6RCVC|7CDMG|8BASARM|9FEWX|aDMG
45	53211 14262	   	178.64	ACR|1BASARM|1DMG|1AART|1CDMG	1MLV|2DUR|3AART|4BELT|5RCR|6RCVC|7CDMG|8BASARM|9LEGI|aDMG
46	13265 12242	   	178.59	ACR|3DMG|2VULN|1CDMG	1ERES|2DUR|349DMG|5RCR|6RMIN|7aVULN|8CDMG
47	11265 12242	   	178.49	ACR|3DMG|2VULN|1CDMG	1ERES|2LEGI|349DMG|5RCR|6RMIN|7aVULN|8CDMG
48	32265 12242	   	178.49	ACR|3DMG|2VULN|1CDMG	1DUST|2AME|349DMG|5RCR|6RMIN|7aVULN|8CDMG
49	53211 23235	 * 	178.47	ACR|2ASPD|3CDMG|1VULN|1AART	18MLV|2DUR|3AART|4BELT|5RCR|68ASPD|789CDMG|8BPWR|aVULN
50	53211 33235	 * 	178.47	ACR|2DMG|3CDMG|1VULN|1AART	18MLV|2DUR|3AART|4BELT|5RCR|68DMG|789CDMG|8BPWR|aVULN
51	51311 23235	   	178.37	ACR|2ASPD|3CDMG|1VULN|1AART	18MLV|2LEGI|3AART|4BELT|5RCR|68ASPD|789CDMG|8BPWR|aVULN
52	51311 33235	   	178.37	ACR|2DMG|3CDMG|1VULN|1AART	18MLV|2LEGI|3AART|4BELT|5RCR|68DMG|789CDMG|8BPWR|aVULN
53	33215 32355	 * 	178.02	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG	1DUST|2RMIN|3DMG|4FEWX|5RCR|6aBEXP|7CDMG|8ASPD|9VULN
54	11265 61332	 * 	177.75	ACR|3DMG|2BASICY|1CDMG	1aERES|2LEGI|34aDMG|5RCR|6CDMG|7RCVC|8TLV|9aBASICY|aBPWR
55	33265 22213	 * 	177.41	ACR|3DMG|2BEXP|1VULN|1SELL	18DUST|2RMIN|348DMG|5RCR|6SELL|78BEXP|8BPWR|9LIT|aVULN
56	33265 22262	 * 	177.41	ACR|3DMG|2BEXP|1VULN|1SELL	18DUST|2RMIN|348DMG|5RCR|6SELL|78BEXP|8BPWR|9CGEN|aVULN
57	53211 23215	 * 	177.26	ACR|2ASPD|2AART|2CDMG|1BEXP	18MLV|2DUR|39AART|4BELT|5RCR|68ASPD|78CDMG|8BPWR|aBEXP
58	53211 33215	 * 	177.26	ACR|2DMG|2AART|2CDMG|1BEXP	18MLV|2DUR|39AART|4BELT|5RCR|68DMG|78CDMG|8BPWR|aBEXP
59	51311 23215	   	177.16	ACR|2ASPD|2AART|2CDMG|1BEXP	18MLV|2LEGI|39AART|4BELT|5RCR|68ASPD|78CDMG|8BPWR|aBEXP
60	51311 33215	   	177.16	ACR|2DMG|2AART|2CDMG|1BEXP	18MLV|2LEGI|39AART|4BELT|5RCR|68DMG|78CDMG|8BPWR|aBEXP
61	33215 32352	 * 	176.72	ACR|2VULN|1ASPD|1DMG|1BEXP|1CDMG	1DUST|2RMIN|3DMG|4FEWX|5RCR|6BEXP|7CDMG|8ASPD|9aVULN
62	51311 54232	   	176.61	ACR|1BASARM|1DMG|1AART|1CDMG	1MLV|2LEGI|3AART|4BELT|5RCR|6DMSP|7CDMG|8BASARM|9FEWX|aDMG
63	33265 22221	 * 	176.10	ACR|3DMG|2BEXP|1CDMG|1SELL	18DUST|2RMIN|348DMG|5RCR|6SELL|78BEXP|8BPWR|9DUR|aCDMG
64	33265 22231	 * 	176.10	ACR|3DMG|2BEXP|1CDMG|1SELL	18DUST|2RMIN|348DMG|5RCR|6SELL|78BEXP|8BPWR|9LWND|aCDMG
65	32265 23252	 * 	175.91	ACR|2DMG|1ASPD|2CDMG|1VULN	1DUST|2AME|34DMG|5RCR|6LHND|7ASPD|89CDMG|aVULN
66	14235 62114	   	175.55	ACR|2DMG|2BEXP|1VULN|1CDMG	1ERES|24FEWX|34DMG|4BPWR|5RCR|6CDMG|78BEXP|9MBVNT|aVULN
67	14235 62132	   	175.55	ACR|2DMG|2BEXP|1VULN|1CDMG	1ERES|24FEWX|34DMG|4BPWR|5RCR|6CDMG|78BEXP|9AME|aVULN
68	33265 62114	   	175.45	ACR|2DMG|2BEXP|1VULN|1CDMG	1DUST|2RMIN|34DMG|5RCR|6CDMG|78BEXP|9MBVNT|aVULN
69	33265 62132	   	175.45	ACR|2DMG|2BEXP|1VULN|1CDMG	1DUST|2RMIN|34DMG|5RCR|6CDMG|78BEXP|9TLV|aVULN
70	32265 62114	   	175.35	ACR|2DMG|2BEXP|1VULN|1CDMG	1DUST|2AME|34DMG|5RCR|6CDMG|78BEXP|9MBVNT|aVULN
71	32265 62132	   	175.35	ACR|2DMG|2BEXP|1VULN|1CDMG	1DUST|2AME|34DMG|5RCR|6CDMG|78BEXP|9TLV|aVULN
72	32265 62214	   	175.35	ACR|2DMG|2BEXP|1VULN|1CDMG	18DUST|28AME|34DMG|5RCR|6CDMG|78BEXP|8BPWR|9MBVNT|aVULN
73	32265 62232	   	175.35	ACR|2DMG|2BEXP|1VULN|1CDMG	18DUST|28AME|34DMG|5RCR|6CDMG|78BEXP|8BPWR|9TLV|aVULN
74	55136 31333	 * 	175.19	ACR|1BASARM|1VULN|1AART|1BEXP	13MLV|2DUST|4RCR|5BEXP|6VULN|7RPLT|8FEWX|9BASARM|aAART
75	32615 13521	   	175.09	ACR|1BASARM|1VULN|1DMG|1BEXP	13DUST|2AME|4BELT|5RCR|6BEXP|7VULN|8DMG|9BASARM|aLWND
76	32615 13523	   	175.09	ACR|1BASARM|1VULN|1DMG|1BEXP	13DUST|2AME|4BELT|5RCR|6BEXP|7VULN|8DMG|9BASARM|aZMB
77	62265 12221	   	175.05	ACR|3VULN|3DMG	179VULN|29AME|349DMG|5RCR|6RMIN|8BELT|9BPWR|aZMB
78	62265 12222	   	175.05	ACR|3VULN|3DMG	179VULN|29AME|349DMG|5RCR|6RMIN|8BELT|9BPWR|aCGEN
79	62265 12223	   	175.05	ACR|3VULN|3DMG	179VULN|29AME|349DMG|5RCR|6RMIN|8BELT|9BPWR|aLIT
80	62265 32321	   	175.05	ACR|3VULN|3DMG	17aVULN|2AME|34aDMG|5RCR|6ERES|8LIT|9aCGEN|aBPWR
81	63265 33333	   	175.05	ACR|3VULN|3DMG	17aVULN|2RMIN|349DMG|5RCR|6RPLT|8LIT
82	31253 63141	 * 	174.99	DCR|1BASARM|2BEXP|1DMG|1VULN|1CDMG	1DUST|2ZMB|3DMG|4BASARM|56BEXP|7AAC|8CDMG|9VULN|aRCR
83	33253 63141	   	174.99	DCR|1BASARM|2BEXP|1DMG|1VULN|1CDMG	1DUST|2RMIN|3DMG|4BASARM|56BEXP|7AAC|8CDMG|9VULN|aRCR
84	15636 31333	   	174.99	ACR|1BASARM|1VULN|1BEXP|1AART	1ERES|23DUST|4RCR|5BEXP|6VULN|7RPLT|8FEWX|9BASARM|aAART
85	32636 31333	   	174.99	ACR|1BASARM|1VULN|1AART|1BEXP	13DUST|2AME|4RCR|5BEXP|6VULN|7RPLT|8FEWX|9BASARM|aAART
86	32634 24333	   	174.99	ACR|1BASARM|1VULN|1AART|1BEXP	13DUST|2AME|4RCR|5RPLT|6BEXP|7VULN|8FEWX|9BASARM|aAART
87	62265 23313	   	174.85	ACR|3VULN|3DMG	178VULN|2AME|34aDMG|5RCR|6LEGI|9CGEN
88	32265 63212	 * 	174.78	ACR|3DMG|2CDMG|1BASICY	178DUST|2AME|348DMG|5RCR|68CDMG|8BPWR|9RCVC|aBASICY
