0	Index      	 *	Score 	Summary	Detail	
1	25212 26521	 * 	276.98	DCR|DCR|1VULN|1TLV|2DUR|1CDMG	19DUR|2LIT|3VULN|4FRZARM|5TLV|6BEXP|7aRCR|8CDMG
18	31133 62561	   	267.00	DCR|3MLV|2VULN|2DMG	14DMG|2RCVC|367MLV|56VULN|6BPWR|8AEFBLL|9RCR|aSPLARM
19	31133 62562	   	267.00	DCR|3MLV|2VULN|2DMG	14DMG|2RCVC|367MLV|56VULN|6BPWR|8AEFBLL|9RCR|aBELT
20	31133 63161	   	267.00	DCR|3MLV|2VULN|2DMG	14DMG|2RCVC|36aMLV|56VULN|6BPWR|7DUST|8LWND|9RCR
21	31143 62321	   	267.00	DCR|3MLV|2VULN|2DMG	16DMG|2RCVC|37aMLV|4AEPOI|56VULN|6BPWR|8RCR|9BBNT
22	31143 62331	   	267.00	DCR|3MLV|2VULN|2DMG	16DMG|2RCVC|37aMLV|4AEPOI|56VULN|6BPWR|8RCR|9TBNT
23	31133 62563	   	266.90	DCR|3MLV|2VULN|2DMG	14DMG|2RCVC|367MLV|56VULN|6BPWR|8AEFBLL|9RCR|aDUST
24	34243 63132	 * 	264.63	DCR|DCR|2DMG|1TLV|1CDMG	15DMG|2ERES|3CANSTR|4LIT|6aRCR|7CDMG|8TLV|9AEFBLL
25	31133 64352	   	260.92	DCR|2VULN|2MLV|2DMG|1ASPD	14DMG|2RCVC|36MLV|56VULN|6BPWR|7LWND|8RPLT|9RCR|aASPD
26	31133 65152	   	260.92	DCR|2VULN|2MLV|2DMG|1ASPD	14DMG|2RCVC|36MLV|56VULN|6BPWR|7RPLT|8FEWX|9RCR|aASPD
27	31133 61341	 * 	260.22	DCR|2VULN|3DMG|2MLV	14aDMG|2RCVC|36MLV|56VULN|6BPWR|7AEBURN|8RCR|9ZMB
28	31143 62341	   	260.22	DCR|2VULN|3DMG|2MLV	16aDMG|2RCVC|37MLV|4AEPOI|56VULN|6BPWR|8RCR|9ZMB
29	31133 61351	   	260.12	DCR|2VULN|3DMG|2MLV	14aDMG|2RCVC|36MLV|56VULN|6BPWR|7AEBURN|8RCR|9ERES
30	31143 62351	   	260.12	DCR|2VULN|3DMG|2MLV	16aDMG|2RCVC|37MLV|4AEPOI|56VULN|6BPWR|8RCR|9ERES
31	33133 62255	   	259.77	DCR|2VULN|3DMG|1MLV|1AAC	146DMG|2AEFRZ|3MLV|56VULN|6BPWR|7AAC|8BEXP|9RCR|aRAT
32	32524 32243	   	259.31	DCR|2VULN|2DMG|1TLV|1AAC|1ASPD	15DMG|2MDPS|3TLV|49VULN|6TBNT|7ASPD|8AAC|aRCR
33	33433 62252	 * 	258.72	DCR|2VULN|3DMG|1TLV|1AAC	146DMG|2AEFRZ|3TLV|56VULN|6BPWR|7AAC|8BEXP|9RCR|aFEWX
34	33433 62251	   	258.62	DCR|2VULN|3DMG|1TLV|1AAC	146DMG|2AEFRZ|3TLV|56VULN|6BPWR|7AAC|8aBEXP|9RCR
35	33433 62253	   	258.62	DCR|2VULN|3DMG|1TLV|1AAC	146DMG|2aAEFRZ|3TLV|56VULN|6BPWR|7AAC|8BEXP|9RCR
36	31133 63166	   	258.22	DCR|2VULN|2MLV|2DMG|1CDMG	14DMG|2RCVC|36MLV|56VULN|6BPWR|7DUST|8LWND|9RCR|aCDMG
37	13262 51316	   	257.52	DCR|2VULN|2MLV|1DMG|1AAC|1CDMG	19BEXP|2CGEN|3AAC|4BELT|59VULN|6CDMG|7DMG|89MLV|9BPWR|aRCR
38	31133 15356	   	256.89	DCR|2MLV|2DMG|1VULN|1TLV	14DMG|2RCVC|36MLV|5VULN|7RPLT|8DUR|9RCR|aTLV
39	31133 23356	   	256.89	DCR|2MLV|2DMG|1VULN|1TLV	14DMG|2RCVC|37MLV|5VULN|6RPLT|8DUR|9RCR|aTLV
40	33133 15356	   	256.79	DCR|2MLV|2DMG|1VULN|1TLV	14DMG|2AEFRZ|36MLV|5VULN|7RPLT|8DUR|9RCR|aTLV
41	33133 23356	   	256.79	DCR|2MLV|2DMG|1VULN|1TLV	14DMG|2AEFRZ|37MLV|5VULN|6RPLT|8DUR|9RCR|aTLV
42	25134 33115	   	256.78	DCR|DCR|1VULN|1TLV	1DUR|2LIT|3DUST|4TLV|5VULN|69LHND|7TBNT|8aRCR
43	25134 33135	   	256.78	DCR|DCR|1VULN|1TLV	1DUR|2LIT|3DUST|4TLV|5VULN|6LHND|7TBNT|8aRCR|9RCVC
44	31133 12566	   	255.71	DCR|3MLV|2DMG|1VULN|1AAC	14DMG|2RCVC|367MLV|5VULN|8AEFBLL|9RCR|aAAC
45	33133 12566	   	255.61	DCR|3MLV|2DMG|1VULN|1AAC	14DMG|2AEFRZ|367MLV|5VULN|8AEFBLL|9RCR|aAAC
46	31135 16311	   	255.52	DCR|2MLV|2DMG|1VULN|1TLV	14DMG|2RCVC|36MLV|5FEWX|7TLV|8RAT|9VULN|aRCR
47	31136 16311	   	255.42	DCR|2MLV|2DMG|1VULN|1TLV	14DMG|2RCVC|36MLV|5DUST|7TLV|8RAT|9VULN|aRCR
48	33135 16311	   	255.42	DCR|2MLV|2DMG|1VULN|1TLV	14DMG|2AEFRZ|36MLV|5FEWX|7TLV|8RAT|9VULN|aRCR
49	33136 16311	   	255.32	DCR|2MLV|2DMG|1VULN|1TLV	14DMG|2AEFRZ|36MLV|5DUST|7TLV|8RAT|9VULN|aRCR
50	62312 63215	   	254.25	DCR|2VULN|2MLV|1TLV	1RPLT|2RAT|39MLV|4LWND|5DUR|69AEPOI|7TLV|89VULN|9BPWR|aRCR
51	32143 62421	   	254.10	DCR|2DMG|1VULN|1TLV|1MLV|1ASPD|1CDMG	14DMG|2MDPS|3CDMG|5BEXP|6TLV|7ASPD|8RCR|9MLV|aVULN
52	31133 65351	   	252.97	DCR|2VULN|2MLV|2DMG	14DMG|2RCVC|36MLV|56VULN|6BPWR|7RPLT|8DUR|9RCR|aAME
53	33133 62453	   	252.93	DCR|2VULN|3DMG|1MLV|1AAC	146DMG|2AEFRZ|3MLV|56VULN|6BPWR|7AAC|8aLWND|9RCR
54	31133 61314	   	252.87	DCR|2VULN|2MLV|2DMG	14DMG|2RCVC|36MLV|56VULN|6BPWR|7AEBURN|8RCR|9DUR|aFEWX
55	31133 61316	   	252.87	DCR|2VULN|2MLV|2DMG	14DMG|2RCVC|36MLV|56VULN|6BPWR|7AEBURN|8RCR|9DUR|aRPLT
56	31133 61345	   	252.87	DCR|2VULN|2MLV|2DMG	14DMG|2RCVC|36MLV|56VULN|6BPWR|7AEBURN|8RCR|9ZMB|aDUR
57	31133 64633	   	252.87	DCR|2VULN|2MLV|2DMG	14DMG|2RCVC|36MLV|56VULN|6BPWR|7LWND|8BEXP|9DUR|aRCR
58	31133 65353	   	252.87	DCR|2VULN|2MLV|2DMG	14DMG|2RCVC|36MLV|56VULN|6BPWR|7RPLT|8DUR|9RCR|aAEBURN
59	31143 62314	   	252.87	DCR|2VULN|2MLV|2DMG	16DMG|2RCVC|37MLV|4AEPOI|56VULN|6BPWR|8RCR|9DUR|aFEWX
60	31143 62316	   	252.87	DCR|2VULN|2MLV|2DMG	16DMG|2RCVC|37MLV|4AEPOI|56VULN|6BPWR|8RCR|9DUR|aRPLT
61	33133 62252	   	252.83	DCR|2VULN|3DMG|1MLV|1AAC	146DMG|2AEFRZ|3MLV|56VULN|6BPWR|7AAC|8BEXP|9RCR|aFEWX
62	33133 62451	   	252.83	DCR|2VULN|3DMG|1MLV|1AAC	146DMG|2AEFRZ|3MLV|56VULN|6BPWR|7AAC|8LWND|9RCR|aBEXP
63	33133 62452	   	252.83	DCR|2VULN|3DMG|1MLV|1AAC	146DMG|2AEFRZ|3MLV|56VULN|6BPWR|7AAC|8LWND|9RCR|aMDPS
64	31133 11315	   	252.77	DCR|2VULN|2MLV|2DMG	14DMG|2RCVC|36MLV|5aVULN|7AEBURN|8RCR|9DUR
65	31133 61312	   	252.77	DCR|2VULN|2MLV|2DMG	14DMG|2RCVC|36MLV|56VULN|6BPWR|7AEBURN|8RCR|9DUR|aERES
66	31133 61313	   	252.77	DCR|2VULN|2MLV|2DMG|1MSE	14DMG|2RCVC|36MLV|56VULN|6BPWR|7AEBURN|8RCR|9DUR|aMSE
67	31133 61355	   	252.77	DCR|2VULN|2MLV|2DMG	14DMG|2RCVC|36MLV|56VULN|6BPWR|7AEBURN|8RCR|9ERES|aDUR
68	31133 61361	   	252.77	DCR|2VULN|2MLV|2DMG	14DMG|2RCVC|36MLV|56VULN|6BPWR|79AEBURN|8RCR|aDUR
69	31133 63633	   	252.77	DCR|2VULN|2MLV|2DMG	14DMG|2RCVC|36MLV|56VULN|6BPWR|7DUST|8BEXP|9DUR|aRCR
70	31143 62312	   	252.77	DCR|2VULN|2MLV|2DMG	16DMG|2RCVC|37MLV|4AEPOI|56VULN|6BPWR|8RCR|9DUR|aERES
71	31143 62313	   	252.77	DCR|2VULN|2MLV|2DMG|1MSE	16DMG|2RCVC|37MLV|4AEPOI|56VULN|6BPWR|8RCR|9DUR|aMSE
72	31143 62361	   	252.77	DCR|2VULN|2MLV|2DMG	16DMG|2RCVC|37MLV|4AEPOI|56VULN|6BPWR|8RCR|9AEBURN|aDUR
73	33133 62251	   	252.73	DCR|2VULN|3DMG|1MLV|1AAC	146DMG|2AEFRZ|3MLV|56VULN|6BPWR|7AAC|8aBEXP|9RCR
74	33133 62253	   	252.73	DCR|2VULN|3DMG|1MLV|1AAC	146DMG|2aAEFRZ|3MLV|56VULN|6BPWR|7AAC|8BEXP|9RCR
75	33133 62256	   	252.73	DCR|2VULN|3DMG|1MLV|1AAC	146DMG|2AEFRZ|3MLV|56VULN|6BPWR|7AAC|8BEXP|9RCR|aMDPS
76	33133 11315	   	252.67	DCR|2VULN|2MLV|2DMG	14DMG|2AEFRZ|36MLV|5aVULN|7AEBURN|8RCR|9DUR
77	31133 21556	   	252.37	DCR|2VULN|2DMG|1TLV|1MLV	14DMG|2RCVC|3MLV|58VULN|6RPLT|7DUST|9RCR|aTLV
78	31143 61326	   	252.37	DCR|2VULN|2DMG|1TLV|1MLV	16DMG|2RCVC|3MLV|4AEPOI|56VULN|6BPWR|7AEBURN|8RCR|9BBNT|aTLV
79	31143 61336	   	252.37	DCR|2VULN|2DMG|1TLV|1MLV	16DMG|2RCVC|3MLV|4AEPOI|56VULN|6BPWR|7AEBURN|8RCR|9TBNT|aTLV
80	31432 32211	 * 	252.36	DCR|2MLV|2TLV|2DMG|1ASPD	14DMG|2RCVC|38TLV|5ASPD|67MLV|9RCR|aAART
81	31432 32213	   	252.36	DCR|2MLV|2TLV|2DMG|1ASPD	14DMG|2RCVC|38TLV|5ASPD|67MLV|9RCR|aDUR
82	32524 23241	   	252.27	DCR|2VULN|2DMG|1TLV|1MLV	15DMG|2MDPS|3TLV|47VULN|6DLOT|8MLV|9BBNT|aRCR
83	33133 21556	   	252.27	DCR|2VULN|2DMG|1TLV|1MLV	14DMG|2AEFRZ|3MLV|58VULN|6RPLT|7DUST|9RCR|aTLV
84	33432 32211	   	252.26	DCR|2MLV|2TLV|2DMG|1ASPD	14DMG|2AEFRZ|38TLV|5ASPD|67MLV|9RCR|aAART
85	33432 32213	   	252.26	DCR|2MLV|2TLV|2DMG|1ASPD	14DMG|2AEFRZ|38TLV|5ASPD|67MLV|9RCR|aDUR
86	31143 61315	   	252.05	DCR|3VULN|2DMG|1MLV	16DMG|2RCVC|3MLV|4AEPOI|56aVULN|6BPWR|7AEBURN|8RCR|9DUR
87	66133 14183	 * 	250.70	DCR|DCR|1VULN|1MLV	1RPLT|2MBVNT|3BEXP|4VULN|5TBNT|6DUR|7LSRICY|8aRCR|9MLV
88	62323 51215	 * 	249.74	DCR|2VULN|1TLV|1MLV|3RAT|2DUR	1RPLT|259RAT|3MLV|49DUR|6TLV|7LHND|89VULN|9BPWR|aRCR
89	66334 13348	 * 	249.56	DCR|2VULN|3TLV|2DMG	17RPLT|2MBVNT|35aTLV|4RCVC|6aVULN|8aDMG|9RCR|aBPWR
90	31633 14333	   	249.50	DCR|2DMG|1VULN|1TLV|1MLV|1AAC	14DMG|2RCVC|3AAC|5VULN|6MLV|7BEXP|8TLV|9DUR|aRCR
91	31433 61261	   	249.46	DCR|2VULN|3TLV|2DMG	14DMG|2RCVC|368TLV|56VULN|6BPWR|7AEBURN|9RCR|aSPLARM
92	31433 61262	   	249.46	DCR|2VULN|3TLV|2DMG	14DMG|2RCVC|368TLV|56VULN|6BPWR|7AEBURN|9RCR|aBELT
93	33633 14333	   	249.40	DCR|2DMG|1VULN|1TLV|1MLV|1AAC	14DMG|2AEFRZ|3AAC|5VULN|6MLV|7BEXP|8TLV|9DUR|aRCR
94	31433 61263	   	249.36	DCR|2VULN|3TLV|2DMG	14DMG|2RCVC|368TLV|56VULN|6BPWR|7AEBURN|9RCR|aDUST
95	32322 22666	   	249.36	DCR|2VULN|2DMG|1TLV|1ASPD	17DMG|2MDPS|34VULN|5BBNT|6RAT|8RCR|9TLV|aASPD
96	31443 61211	   	248.65	DCR|2VULN|2TLV|2DMG	16DMG|2RCVC|38TLV|4AEPOI|56VULN|6BPWR|7AEBURN|9RCR|aDUR
97	32124 35532	 * 	248.65	DCR|2VULN|2DMG|1MLV|2CDMG	19DMG|2MDPS|39CDMG|4AART|5CGEN|6BASHEA|79VULN|8RCR|9BPWR|aMLV
98	31133 14356	   	248.58	DCR|2MLV|2DMG|1VULN|1TLV	14DMG|2RCVC|36MLV|5VULN|7LWND|8RPLT|9RCR|aTLV
99	31133 15156	   	248.58	DCR|2MLV|2DMG|1VULN|1TLV	14DMG|2RCVC|36MLV|5VULN|7RPLT|8FEWX|9RCR|aTLV
100	31133 23156	   	248.58	DCR|2MLV|2DMG|1VULN|1TLV	14DMG|2RCVC|37MLV|5VULN|6RPLT|8FEWX|9RCR|aTLV
101	31133 11326	   	248.48	DCR|2MLV|2DMG|1VULN|1TLV	14DMG|2RCVC|36MLV|5VULN|7AEBURN|8RCR|9BBNT|aTLV
102	31133 11336	   	248.48	DCR|2MLV|2DMG|1VULN|1TLV	14DMG|2RCVC|36MLV|5VULN|7AEBURN|8RCR|9TBNT|aTLV
103	33133 14356	   	248.48	DCR|2MLV|2DMG|1VULN|1TLV	14DMG|2AEFRZ|36MLV|5VULN|7LWND|8RPLT|9RCR|aTLV
104	33133 15156	   	248.48	DCR|2MLV|2DMG|1VULN|1TLV	14DMG|2AEFRZ|36MLV|5VULN|7RPLT|8FEWX|9RCR|aTLV
105	33133 23156	   	248.48	DCR|2MLV|2DMG|1VULN|1TLV	14DMG|2AEFRZ|37MLV|5VULN|6RPLT|8FEWX|9RCR|aTLV
106	31315 25215	   	248.45	DCR|DCR|1TLV|1DMG|2AART	1DMG|2RCVC|3FEWX|4CGEN|5TLV|6aRCR|78AART|9AEFBLL
107	31315 25235	   	248.45	DCR|DCR|1TLV|1DMG|2AART	1DMG|2RCVC|3FEWX|4CGEN|5TLV|6aRCR|78AART|9AEFRZ
108	32522 35262	   	248.44	DCR|2VULN|1TLV|1MLV|1DMG|1CDMG	1DMG|2MDPS|3TLV|4aVULN|5CGEN|6CDMG|7RCR|8ZMB|9MLV
109	33133 11326	   	248.38	DCR|2MLV|2DMG|1VULN|1TLV	14DMG|2AEFRZ|36MLV|5VULN|7AEBURN|8RCR|9BBNT|aTLV
110	33133 11336	   	248.38	DCR|2MLV|2DMG|1VULN|1TLV	14DMG|2AEFRZ|36MLV|5VULN|7AEBURN|8RCR|9TBNT|aTLV
111	15134 33115	   	248.38	DCR|DCR|1VULN|1TLV	1BEXP|2LIT|3DUST|4TLV|5VULN|69LHND|7TBNT|8aRCR
112	15134 33135	   	248.38	DCR|DCR|1VULN|1TLV	1BEXP|2LIT|3DUST|4TLV|5VULN|6LHND|7TBNT|8aRCR|9RCVC
113	66431 36244	   	248.38	DCR|DCR|1VULN|1TLV	1RPLT|2MBVNT|3VULN|4MDPS|5BELT|6TLV|7LIT|8LWND|9aRCR
114	33315 25215	   	248.35	DCR|DCR|1TLV|1DMG|2AART	1DMG|2AEFRZ|3FEWX|4CGEN|5TLV|6aRCR|78AART|9AEFBLL
115	32522 35362	   	248.34	DCR|2VULN|1TLV|1MLV|1DMG|1CDMG	1DMG|2MDPS|3TLV|4aVULN|5CGEN|6CDMG|7RCR|8ERES|9MLV
116	33133 13463	   	248.28	DCR|2MLV|2DMG|1VULN|1TLV	14DMG|28AEFRZ|36MLV|5VULN|7DUST|9RCR|aTLV
117	36262 23221	   	247.38	DCR|2VULN|2TLV|2DMG	1aDMG|2BBNT|3LWND|4aVULN|5DUST|6RAT|7RCR|8MDPS|9aTLV|aBPWR
118	36462 23221	   	247.38	DCR|2VULN|2TLV|2DMG	1aDMG|2BBNT|3LHND|4aVULN|5DUST|6RAT|7RCR|8MDPS|9aTLV|aBPWR
119	66417 11311	   	247.22	DCR|2VULN|2MLV|1TLV	1RPLT|2MBVNT|35VULN|4AART|67MLV|8RCR|9LWND|aTLV
120	66417 11441	   	247.22	DCR|2VULN|2MLV|1TLV	1RPLT|2MBVNT|35VULN|4AART|67MLV|8LHND|9RCR|aTLV
121	66417 11141	   	247.12	DCR|2VULN|2MLV|1TLV	1RPLT|2MBVNT|35VULN|4AART|67MLV|8BEXP|9RCR|aTLV
122	66417 11331	   	247.12	DCR|2VULN|2MLV|1TLV	1RPLT|2MBVNT|35VULN|4AART|67MLV|8RCR|9BEXP|aTLV
