0	Index      	 *	Score 	Summary	Detail	
1	33211 45241	 * 	306.53	DCR|DCR|3VULN|1AAC|1CDMG|1SELL	17aVULN|2SELL|3DUR|4ERES|5AAC|68RCR|9CDMG
16	33124 34361	   	291.43	DCR|DCR|1VULN|1TLV|1MLV|1AAC|1SELL	1VULN|2SELL|3TLV|4RPLT|5MLV|6AAC|7CGEN|8LIT|9aRCR
17	33162 14361	   	291.43	DCR|DCR|1VULN|1TLV|1MLV|1AAC|1SELL	1VULN|2SELL|3TLV|4MLV|5AAC|6RPLT|7CGEN|8LIT|9aRCR
18	33122 52541	   	289.68	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1VULN|2SELL|3TLV|4RPLT|5AEFBLL|69RCR|7RAT|8DUR|aMLV
19	33231 45261	 * 	288.63	DCR|DCR|1VULN|2AAC|1TLV|1SELL	1VULN|2SELL|3DUR|4TLV|59AAC|6aRCR|7RPLT|8LIT
20	62121 45222	 * 	287.31	DCR|DCR|2VULN|1MLV|1AAC|1SELL	1ERES|27VULN|39FEWX|4SELL|5AAC|68RCR|aMLV
21	33411 45232	 * 	287.11	DCR|DCR|2VULN|1MLV|1AAC|1SELL	17VULN|2SELL|39BEXP|4ERES|5AAC|68RCR|aMLV
22	44323 13733	 * 	285.05	DCR|3VULN|2MLV|2TLV	1MBVNT|28TLV|389VULN|4TBNT|5BELT|6RCR|78MLV|8BPWR|aAART
23	44323 13734	   	285.05	DCR|3VULN|2MLV|2TLV	1MBVNT|28TLV|389VULN|4TBNT|5BELT|6RCR|78MLV|8BPWR|aDUR
24	44323 13753	   	285.05	DCR|3VULN|2MLV|2TLV	1MBVNT|28TLV|38aVULN|4TBNT|5BELT|6RCR|78MLV|8BPWR|9AART
25	21632 72351	   	284.45	DCR|DCR|1VULN|1MLV|1DMG|2DUR	1RMIN|24DUR|3MBVNT|5VULN|6DMG|79RCR|8RAT|aMLV
26	53222 13352	 * 	283.99	DCR|4VULN|3TLV|3RAT	18aRAT|27LWND|389aVULN|48aTLV|5AART|6RCR|8aBPWR
27	44323 13814	   	282.99	DCR|DCR|1VULN|1TLV|1MLV	1MBVNT|2TLV|3VULN|4TBNT|5BELT|6aRCR|7MLV|8AME|9DUR
28	33211 44241	   	282.97	DCR|DCR|2VULN|1AAC|1CDMG|1SELL	1aVULN|2SELL|3DUR|47ERES|5AAC|68RCR|9CDMG
29	33211 45242	   	282.97	DCR|DCR|2VULN|1AAC|1CDMG|1SELL|1MSE	17VULN|2SELL|3DUR|4ERES|5AAC|68RCR|9CDMG|aMSE
30	33211 45243	   	282.97	DCR|DCR|2VULN|1AAC|1CDMG|1SELL	17VULN|2SELL|3DUR|4ERES|5AAC|68RCR|9CDMG|aAEPOI
31	36261 13362	   	282.55	DCR|3VULN|3ASPD|1TLV|3CDMG	18aVULN|2BELT|38aCDMG|4TLV|5LHND|6RCR|78aASPD|8aBPWR|9DMSP
32	44323 13754	   	281.65	DCR|2VULN|2MLV|2TLV|1DMG	1MBVNT|28TLV|38VULN|4TBNT|5BELT|6RCR|78MLV|8BPWR|9AART|aDMG
33	33122 52241	   	281.28	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1VULN|2SELL|3TLV|4RPLT|5AEFBLL|69RCR|7RAT|8DUST|aMLV
34	33122 52641	   	281.28	DCR|DCR|1VULN|1TLV|1MLV|1SELL	1VULN|2SELL|3TLV|4RPLT|5AEFBLL|69RCR|7RAT|8LEGI|aMLV
35	21632 62351	   	280.63	DCR|DCR|1VULN|1MLV|1ASPD|2DUR	1RMIN|24DUR|3MBVNT|5VULN|6ASPD|79RCR|8RAT|aMLV
36	35621 32354	   	280.62	DCR|DCR|1VULN|1TLV|1AAC	1VULN|2CGEN|3MBVNT|4TLV|5RMIN|6AAC|79RCR|8RAT|aAART
37	44411 32354	   	280.62	DCR|DCR|1VULN|1TLV|1AAC	1MBVNT|2TLV|3CGEN|4VULN|5RMIN|6AAC|79RCR|8RAT|aAART
38	44611 32354	   	280.62	DCR|DCR|1VULN|1TLV|1AAC	1MBVNT|2TLV|3AME|4VULN|5RMIN|6AAC|79RCR|8RAT|aAART
39	62621 32354	   	280.52	DCR|DCR|1VULN|1TLV|1AAC	1ERES|2VULN|3MBVNT|4TLV|5RMIN|6AAC|79RCR|8RAT|aAART
40	33111 45261	 * 	280.33	DCR|DCR|1VULN|2AAC|1TLV|1SELL	1VULN|2SELL|3TLV|4FEWX|59AAC|6aRCR|7RPLT|8LIT
41	42418 41633	   	280.28	DCR|DCR|1TLV|1DMG|1AAC|1ASPD|1CDMG	1MBVNT|2ASPD|3BEXP|4BELT|5TLV|6CDMG|7AAC|8aRCR|9DMG
42	33211 45214	   	279.08	DCR|DCR|2VULN|1AAC|1SELL	17VULN|2SELL|3DUR|4ERES|5AAC|68RCR|9RMIN|aNUKE
43	44313 62448	   	278.82	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1MBVNT|2TLV|3VULN|4FEWX|5SPLREG|6AAC|7DUST|8CDMG|9aRCR
44	44343 61448	   	278.82	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1MBVNT|2TLV|3VULN|4DUST|5SPLREG|6AAC|7FEWX|8CDMG|9aRCR
45	21672 12351	   	277.80	DCR|DCR|1VULN|1MLV|1DMG	1RMIN|2DUR|3MBVNT|4DMG|5VULN|6AEFBLL|79RCR|8RAT|aMLV
46	33123 52543	   	277.75	DCR|DCR|2TLV|1VULN|1SELL	1VULN|2SELL|35TLV|4RPLT|69RCR|7RAT|8DUR|aFEWX
47	33211 45221	   	277.72	DCR|DCR|2VULN|1AAC|1SELL	17VULN|2SELL|3DUR|4ERES|5AAC|68RCR|9FEWX|aAART
48	33123 52542	   	277.65	DCR|DCR|2TLV|1VULN|1SELL	1VULN|2SELL|35TLV|4RPLT|69RCR|7RAT|8DUR|aDUST
49	33211 45231	   	277.62	DCR|DCR|2VULN|1AAC|1SELL	17VULN|2SELL|3DUR|4ERES|5AAC|68RCR|9BEXP|aAART
50	44323 13731	   	276.75	DCR|3VULN|2MLV|2TLV	1MBVNT|28TLV|389VULN|4TBNT|5BELT|6RCR|78MLV|8BPWR|aLWND
51	44323 13732	   	276.75	DCR|3VULN|2MLV|2TLV	1MBVNT|28TLV|389VULN|4TBNT|5BELT|6RCR|78MLV|8BPWR|aRCVC
52	44323 13737	   	276.75	DCR|3VULN|2MLV|2TLV	1MBVNT|28TLV|389VULN|4TBNT|5BELT|6RCR|78MLV|8BPWR|aFEWX
53	44323 13738	   	276.75	DCR|3VULN|2MLV|2TLV	1MBVNT|28TLV|389VULN|4TBNT|5BELT|6RCR|78MLV|8BPWR|aBBNT
54	35242 12222	 * 	276.73	ACR|DCR|3VULN|1TLV|1CDMG	189VULN|2CGEN|37RCR|4CDMG|5LHND|6LIT|aTLV
55	35245 32222	   	276.73	ACR|DCR|3VULN|1TLV|1CDMG	189VULN|2CGEN|37RCR|4CDMG|5LIT|6LHND|aTLV
56	44323 13735	   	276.65	DCR|3VULN|2MLV|2TLV	1MBVNT|28TLV|389VULN|4TBNT|5BELT|6RCR|78MLV|8BPWR|aDUST
57	44323 13736	   	276.65	DCR|3VULN|2MLV|2TLV	1MBVNT|28TLV|389VULN|4TBNT|5BELT|6RCR|78MLV|8BPWR|aERES
58	44324 44484	   	276.65	DCR|3VULN|2MLV|2TLV	1MBVNT|25TLV|359VULN|4TBNT|5BPWR|6RCR|7DMSP|8aMLV
59	62242 12222	   	276.63	ACR|DCR|3VULN|1TLV|1CDMG	1ERES|289VULN|37RCR|4CDMG|5LHND|6LIT|aTLV
60	44323 18334	   	276.56	DCR|DCR|2VULN|1TLV	1MBVNT|2TLV|39VULN|4TBNT|5BELT|6aRCR|7LWND|8LHND
61	44323 18634	   	276.56	DCR|DCR|2VULN|1TLV	1MBVNT|2TLV|39VULN|4TBNT|5BELT|6aRCR|7LWND|8FEWX
