0	Index      	 *	Score 	Summary	Detail	
1	62411 22621	 * 	284.55	DCR|DCR|2VULN|2CDMG|1ASPD	19VULN|2ASPD|3BBNT|49CDMG|5LHND|6DUR|79LWND|8aRCR|9BPWR
48	62284 34417	   	261.73	ACR|DCR|1VULN|1TLV|1MLV|1ASPD	1VULN|2ASPD|3MBVNT|4MLV|5aRCR|6FEWX|7LHND|8TLV|9AART
49	62281 14432	   	261.57	DCR|3VULN|2MLV|1AAC|1ASPD	189VULN|2ASPD|3MBVNT|49MLV|5AAC|6RCR|79CGEN|9BPWR|aFEWX
50	62281 14436	   	261.57	DCR|3VULN|2MLV|1AAC|1ASPD	189VULN|2ASPD|3MBVNT|49MLV|5AAC|6RCR|79CGEN|9BPWR|aLHND
51	62281 14437	   	261.57	DCR|3VULN|2MLV|1AAC|1ASPD	189VULN|2ASPD|3MBVNT|49MLV|5AAC|6RCR|79CGEN|9BPWR|aVENICY
52	62281 14438	   	261.57	DCR|3VULN|2MLV|1AAC|1ASPD	189VULN|2ASPD|3MBVNT|49MLV|5AAC|6RCR|79CGEN|9BPWR|aAME
53	62282 71242	   	261.57	DCR|3VULN|2MLV|1AAC|1ASPD	168VULN|2ASPD|3MBVNT|48MLV|578CGEN|8BPWR|9RCR|aAAC
54	62281 14433	   	261.47	DCR|3VULN|2MLV|1AAC|1ASPD	189VULN|2ASPD|3MBVNT|49MLV|5AAC|6RCR|79CGEN|9BPWR|aDUST
55	64311 21531	   	261.05	DCR|4VULN|2MLV|1CDMG	1689VULN|2BEXP|3BBNT|4DUST|56MLV|6BPWR|7RCR|aCDMG
56	21221 84764	   	260.87	DCR|DCR|1VULN|1TLV	1RAT|2MBVNT|3DUR|4TBNT|5RPLT|69RCR|7TLV|8VULN|aRCVC
57	21241 84764	   	260.87	DCR|DCR|1VULN|1TLV	1RAT|2MBVNT|3DUR|4BBNT|5RPLT|69RCR|7TLV|8VULN|aRCVC
58	21221 84761	   	260.77	DCR|DCR|1VULN|1TLV	1RAT|2MBVNT|3DUR|4TBNT|5RPLT|69RCR|7TLV|8VULN|aAEPOI
59	21221 84762	   	260.77	DCR|DCR|1VULN|1TLV	1RAT|2MBVNT|3DUR|4TBNT|5RPLT|69RCR|7TLV|8VULN|aERES
60	21241 84761	   	260.77	DCR|DCR|1VULN|1TLV	1RAT|2MBVNT|3DUR|4BBNT|5RPLT|69RCR|7TLV|8VULN|aAEPOI
61	21241 84762	   	260.77	DCR|DCR|1VULN|1TLV	1RAT|2MBVNT|3DUR|4BBNT|5RPLT|69RCR|7TLV|8VULN|aERES
62	12232 13878	 * 	260.59	DCR|DCR|2MLV|1ASPD	18LHND|2ASPD|3MBVNT|48MLV|58CGEN|6aRCR|7RPLT|8BPWR|9AART
63	61244 84446	 * 	260.28	DCR|3VULN|2MLV|1TLV|1SELL	179VULN|247CGEN|3MBVNT|5SELL|67MLV|7BPWR|8RCR|aTLV
64	65213 12621	   	259.80	DCR|DCR|2VULN|2CDMG|1NUKE	19VULN|29CDMG|3LHND|4TBNT|5DUST|6NUKE|79LWND|8aRCR|9BPWR
65	21832 53216	 * 	258.36	DCR|2TLV|1VULN|2ASPD|1DMG|1CDMG|2RAT	1aRAT|2MBVNT|3VULN|4aTLV|5AART|6RCR|7CDMG|8DMG|9aASPD|aBPWR
66	64311 21136	 * 	258.25	DCR|2VULN|2MLV|1TLV|1DMG	16VULN|2BEXP|3BBNT|4DUST|56MLV|6BPWR|7RCR|8LHND|9TLV|aDMG
67	64311 21236	   	258.25	DCR|2VULN|2MLV|1TLV|1DMG	16VULN|2BEXP|3BBNT|4DUST|56MLV|6BPWR|7RCR|8FEWX|9TLV|aDMG
68	21221 53463	   	257.36	DCR|DCR|1TLV|1MLV	1RAT|2MBVNT|3DUR|4TBNT|5RPLT|6LWND|7MLV|89RCR|aTLV
69	21241 53463	   	257.36	DCR|DCR|1TLV|1MLV	1RAT|2MBVNT|3DUR|4BBNT|5RPLT|6LWND|7MLV|89RCR|aTLV
70	23114 16562	 * 	257.09	DCR|2VULN|2TLV|1MLV|1AAC|2RAT	19RAT|2AAC|3RPLT|4MBVNT|59TLV|6ERES|7MLV|89VULN|9BPWR|aRCR
71	21834 74722	   	256.95	DCR|2VULN|2TLV|1MLV|1AAC|2RAT|1SELL	18RAT|2MBVNT|38VULN|48TLV|5SELL|6AAC|7DMSP|8BPWR|9RCR|aMLV
72	31153 62216	 * 	256.88	DCR|DCR|1TLV|1DMG|1ASPD	1LIT|2BELT|3DMG|4TLV|5RCVC|6RAT|7aRCR|8FEWX|9ASPD
73	31153 62116	   	256.78	DCR|DCR|1TLV|1DMG|1ASPD	1LIT|2BELT|3DMG|4TLV|5RCVC|6RAT|7aRCR|8BEXP|9ASPD
74	33234 21348	   	256.62	DCR|DCR|2VULN|1AAC	134LIT|2AAC|46BPWR|56VULN|7CGEN|8MBVNT|9aRCR
75	33234 41348	   	256.62	DCR|DCR|2VULN|1AAC	134LIT|2AAC|4BPWR|56VULN|7CGEN|8MBVNT|9aRCR
76	21448 64824	 * 	256.16	DCR|2MLV|2TLV|1VULN|1ASPD|2RAT	1aRAT|2MBVNT|3ZMB|4aTLV|5ASPD|6VULN|7TBNT|8aMLV|9RCR|aBPWR
77	21833 14824	   	256.16	DCR|2MLV|2TLV|1VULN|1ASPD|2RAT	1aRAT|2MBVNT|3VULN|4aTLV|5TBNT|6ZMB|7ASPD|8aMLV|9RCR|aBPWR
78	64311 21533	   	255.70	DCR|4VULN|2MLV	1689VULN|2BEXP|3BBNT|4DUST|56MLV|6BPWR|7RCR|aAART
79	62284 32447	 * 	255.44	ACR|DCR|2MLV|1VULN|1ASPD	1VULN|2ASPD|3MBVNT|49MLV|5aRCR|68FEWX|7AART
80	61244 84463	   	255.03	DCR|2VULN|2MLV|1TLV|1AAC|1SELL	17VULN|247CGEN|3MBVNT|5SELL|67MLV|7BPWR|8RCR|9TLV|aAAC
81	32613 14236	 * 	254.94	ACR|DCR|1VULN|1MLV|1DMG|1ASPD|1CDMG	1LIT|2ERES|38RCR|4DMG|5MDPS|6MLV|7CDMG|9VULN|aASPD
