0	Index      	 *	Score 	Summary	Detail	
1	41222 53511	 * 	280.10	橙橙1易伤1伤害1矿等1暴击	1暴击2时间3立即金币4矿等5易伤68核7低血量敌人9技能a伤害
25	24362 52112	 * 	256.34	紫橙1易伤1伤害1矿等1攻速1暴击	1毒液对黄2a核3挖尘4易伤5暴击6最后敌人7攻速8伤害9矿等
26	24362 22112	   	256.24	紫橙1易伤1伤害1矿等1攻速1暴击	1毒液对黄2a核3挖尘4易伤5暴击6挖青7攻速8伤害9矿等
27	41463 13321	   	256.06	橙橙1易伤1攻速1暴击	1暴击2时间3易伤4基地爆炸5攻速6技能点7a核8随机矿9雷电
28	41433 13321	   	255.96	橙橙1易伤1攻速1暴击	1暴击2时间3易伤4挖尘5攻速6技能点7a核8随机矿9雷电
29	41433 13421	   	255.96	橙橙1易伤1攻速1暴击	1暴击2时间3易伤4挖尘5攻速6技能点7a核8金币生成9雷电
30	65433 13321	   	255.96	橙橙1易伤1攻速1暴击	1时间2暴击3易伤4挖尘5攻速6技能点7a核8随机矿9雷电
31	41433 13511	   	255.86	橙橙1易伤1攻速1暴击	1暴击2时间3易伤4挖尘5攻速6技能点7a核8雷电9掉矿
32	61421 14144	   	255.85	橙橙1易伤1矿等1平台	1时间2低血量敌人3易伤4基础对冰5基地爆炸6加一7矿等89核a平台
33	44621 32112	   	254.06	橙橙1易伤1伤害1暴击	1暴击2敌人爆炸3伤害4狙击对黄5技能点6a核7技能8最后敌人9易伤
34	61223 23366	 * 	253.86	橙橙2矿等1伤害2时间	18时间2低血量敌人38矿等48雷电5立即金币6a核7随机矿8序列升级9伤害
35	13611 23523	   	252.84	橙橙1易伤1矿等2时间	1激光减费2雷电3矿等4易伤5基地爆炸69核7额外掉落8a时间
36	61421 14141	   	252.74	橙橙1易伤1矿等2时间	1a时间2低血量敌人3易伤4基础对冰5基地爆炸6加一7矿等89核
37	61253 11151	   	251.91	紫橙2易伤1矿等2时间	19时间2低血量敌人3矿等4a核56易伤7掉矿8技能点
38	61153 21421	   	251.20	紫橙1易伤1伤害1矿等1暴击	1时间2低血量敌人3伤害4a核5易伤6矿等7暴击8金币生成9雷电
39	62153 21321	   	251.20	紫橙1易伤1伤害1矿等1暴击	1时间2敌人爆炸3伤害4a核5易伤6矿等7暴击8随机矿9雷电
40	62153 21421	   	251.20	紫橙1易伤1伤害1矿等1暴击	1时间2敌人爆炸3伤害4a核5易伤6矿等7暴击8金币生成9雷电
41	62256 21321	   	251.20	紫橙1易伤1伤害1矿等1暴击	1时间2敌人爆炸3矿等4a核5伤害6易伤7暴击8随机矿9雷电
42	61153 21511	   	251.10	紫橙1易伤1伤害1矿等1暴击	1时间2低血量敌人3伤害4a核5易伤6矿等7暴击8雷电9掉矿
43	62153 21511	   	251.10	紫橙1易伤1伤害1矿等1暴击	1时间2敌人爆炸3伤害4a核5易伤6矿等7暴击8雷电9掉矿
44	42533 13112	   	250.85	紫橙1易伤1伤害1矿等1暴击1策反	1暴击2策反3时间4最后敌人5a核6易伤7基础对冰8伤害9矿等
