0	Index      	 *	Score 	Summary	Detail	
1	13512 36125	 * 	268.75	DCR|DCR|2VULN|2DUR|1CDMG|1SELL	1FEWX|25DUR|3SELL|45VULN|5BPWR|6LIT|7CDMG|8BOSS|9aRCR
39	23161 41342	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2DUR|3AEFBLL|4TLV|5DUST|69RCR|7VULN|8TBNT|aFRZFST
40	23161 41343	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1CGEN|2DUR|3AEFBLL|4TLV|5DUST|69RCR|7VULN|8TBNT|aAEBURN
41	33161 43241	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	1ERES|2DUR|3AEFBLL|4TLV|5DUST|69RCR|7BBNT|8FEWX|aVULN
42	33361 43241	   	242.39	DCR|DCR|1VULN|1TLV|1DUR	13ERES|2DUR|4TLV|5DUST|69RCR|7BBNT|8FEWX|aVULN
43	33161 41342	   	242.29	DCR|DCR|1VULN|1TLV|1DUR	1ERES|2DUR|3AEFBLL|4TLV|5DUST|69RCR|7VULN|8TBNT|aFRZFST
44	33161 41343	   	242.29	DCR|DCR|1VULN|1TLV|1DUR	1ERES|2DUR|3AEFBLL|4TLV|5DUST|69RCR|7VULN|8TBNT|aAEBURN
45	33361 41342	   	242.29	DCR|DCR|1VULN|1TLV|1DUR	13ERES|2DUR|4TLV|5DUST|69RCR|7VULN|8TBNT|aFRZFST
46	33361 41343	   	242.29	DCR|DCR|1VULN|1TLV|1DUR	13ERES|2DUR|4TLV|5DUST|69RCR|7VULN|8TBNT|aAEBURN
47	24236 41113	 * 	239.40	DCR|4VULN|2MLV|1TLV	1CGEN|2579VULN|3LWND|4aMLV|6RCR|8TLV
48	34236 41113	   	239.30	DCR|4VULN|2MLV|1TLV	1ERES|2579VULN|3LWND|4aMLV|6RCR|8TLV
49	13312 41252	   	239.03	DCR|DCR|1VULN|1MLV|1DUR	1FEWX|2DUR|3ASPD|4RCVC|5MLV|6aRCR|7VULN|8DLOT|9LWND
50	13342 41252	   	239.03	DCR|DCR|1VULN|1MLV|1DUR	14FEWX|2DUR|3ASPD|5MLV|6aRCR|7VULN|8DLOT|9LWND
