0	Index      	 *	Score 	Summary	Detail	
1	11121 43254	 * 	288.96	DCR|DCR|2VULN|1TLV|1DMG|1DUR	1RCVC|2DUR|3ZMB|49VULN|5MDPS|68RCR|7DMG|aTLV
29	31321 43244	   	262.51	DCR|DCR|1VULN|1TLV|1DMG|1CDMG|1SELL	1CDMG|2FEWX|3SELL|4VULN|5MDPS|68RCR|7DMG|9DMSP|aTLV
30	61221 43235	   	262.45	DCR|DCR|1VULN|2DUR|1DMG|2ASPD	1AETHUN|24ASPD|34DUR|4BPWR|5MDPS|68RCR|7DMG|9DUST|aVULN
31	61221 43251	   	262.45	DCR|DCR|1VULN|2DUR|1DMG|2ASPD	1AETHUN|24ASPD|34DUR|4BPWR|5MDPS|68RCR|7DMG|9VULN|aAEFRZ
32	61221 43252	   	262.45	DCR|DCR|1VULN|2DUR|1DMG|2ASPD	1AETHUN|24ASPD|34DUR|4BPWR|5MDPS|68RCR|7DMG|9VULN|aERES
33	31321 43251	   	262.41	DCR|DCR|2VULN|1DMG|1CDMG|1SELL	1CDMG|2FEWX|3SELL|49VULN|5MDPS|68RCR|7DMG|aAEBURN
34	31321 43253	   	262.41	DCR|DCR|2VULN|1DMG|1CDMG|1SELL	1CDMG|2FEWX|3SELL|49VULN|5MDPS|68RCR|7DMG|aERES
35	33321 43225	   	262.41	DCR|DCR|2VULN|1DMG|1CDMG|1SELL	1CDMG|2DUST|3SELL|4aVULN|5MDPS|68RCR|7DMG|9LHND
36	33321 43252	   	262.41	DCR|DCR|2VULN|1DMG|1CDMG|1SELL	1CDMG|2DUST|3SELL|49VULN|5MDPS|68RCR|7DMG|aRPLT
37	33321 43255	   	262.41	DCR|DCR|2VULN|1DMG|1CDMG|1SELL	1CDMG|2DUST|3SELL|49VULN|5MDPS|68RCR|7DMG|aDMSP
38	33321 43244	   	262.41	DCR|DCR|1VULN|1TLV|1DMG|1CDMG|1SELL	1CDMG|2DUST|3SELL|4VULN|5MDPS|68RCR|7DMG|9DMSP|aTLV
39	33321 43251	   	262.31	DCR|DCR|2VULN|1DMG|1CDMG|1SELL	1CDMG|2DUST|3SELL|49VULN|5MDPS|68RCR|7DMG|aAEBURN
40	33321 43253	   	262.31	DCR|DCR|2VULN|1DMG|1CDMG|1SELL	1CDMG|2DUST|3SELL|49VULN|5MDPS|68RCR|7DMG|aERES
41	61322 43213	   	260.98	DCR|DCR|2DMG|1VULN|1DUR	1AETHUN|2ASPD|3DUST|4VULN|5DUR|68RCR|7aDMG|9FRZARM
42	31464 32123	   	259.96	DCR|DCR|2TLV|1VULN|1CDMG	1CDMG|2FEWX|3AEWIND|4BOSS|59TLV|6VULN|7aRCR|8ASPD
43	33464 32123	   	259.86	DCR|DCR|2TLV|1VULN|1CDMG	1CDMG|2DUST|3AEWIND|4BOSS|59TLV|6VULN|7aRCR|8ASPD
