0	Index      	 *	Score 	Summary	Detail	
1	23661 52133	 * 	245.64	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1AETHUN|2LIT|3CDMG|4VULN|5MLV|6DUR|7MDPS|8FEWX|9aRCR
61	11325 32522	   	218.48	DCR|3VULN|1MSLTOX|1MLV|1CDMG	1AEPOI|247VULN|3CDMG|5LHND|6MSLTOX|8ASPD|9RCR|aMLV
62	61322 31451	   	218.34	DCR|DCR|1VULN|1MLV	1FLTFST|2LHND|3FEWX|4AME|5CGEN|6aRCR|7RPLT|8MLV|9VULN
63	12662 31136	   	218.11	DCR|DCR|1DMG|1DUR|1AART|1AAC	1AEPOI|2AART|3DMG|4DUR|5CGEN|6ZMB|7AAC|8RAT|9aRCR
64	23212 62123	   	218.10	DCR|DCR|1VULN|1MLV|1SELL	1AETHUN|234LIT|3BPWR|5VULN|6aRCR|7SELL|8TBNT|9MLV
65	23512 62123	   	218.10	DCR|DCR|1VULN|1MLV|1SELL	1AETHUN|234LIT|5VULN|6aRCR|7SELL|8TBNT|9MLV
66	53212 62133	   	218.10	DCR|DCR|1VULN|1MLV|1SELL	1LEGI|234LIT|3BPWR|5VULN|6aRCR|7SELL|8TBNT|9MLV
67	53512 62133	   	218.10	DCR|DCR|1VULN|1MLV|1SELL	1LEGI|234LIT|5VULN|6aRCR|7SELL|8TBNT|9MLV
68	11234 15131	 * 	218.08	DCR|2VULN|2DMG|2TLV	1AEPOI|2aVULN|3BBNT|4CGEN|5BEXP|6aTLV|7RCR|8SPLJET|9aDMG|aBPWR
69	11534 15131	   	218.08	DCR|2VULN|2DMG|2TLV	1AEPOI|2aVULN|3TBNT|4CGEN|5BEXP|6aTLV|7RCR|8SPLJET|9aDMG|aBPWR
70	32313 63121	   	218.04	DCR|DCR|1VULN|1MLV	12DUST|3RPLT|4MLV|5SNITOX|6aRCR|7AEPOI|8VULN|9MDPS
71	34313 63121	   	218.04	DCR|DCR|1VULN|1MLV	1DUST|2AEFRZ|3RPLT|4MLV|5SNITOX|6aRCR|7AEPOI|8VULN|9MDPS
72	36313 63121	   	218.04	DCR|DCR|1VULN|1MLV	12DUST|2BPWR|3RPLT|4MLV|5SNITOX|6aRCR|7AEPOI|8VULN|9MDPS
73	11225 15131	   	217.98	DCR|2VULN|2DMG|2TLV	1AEPOI|2aVULN|3BBNT|4LWND|5AME|6aTLV|7RCR|8SPLJET|9aDMG|aBPWR
74	11525 15131	   	217.98	DCR|2VULN|2DMG|2TLV	1AEPOI|2aVULN|3TBNT|4LWND|5AME|6aTLV|7RCR|8SPLJET|9aDMG|aBPWR
75	33425 32521	   	217.91	DCR|DCR|1DMG|1DUR|1CDMG	1DUST|2MULARM|3CDMG|4DUR|5MDPS|6aRCR|7ZMB|8DMG|9CGEN
76	11215 15131	   	217.88	DCR|2VULN|2DMG|2TLV	1AEPOI|2aVULN|3BBNT|4DUST|5AME|6aTLV|7RCR|8SPLJET|9aDMG|aBPWR
77	11515 15131	   	217.88	DCR|2VULN|2DMG|2TLV	1AEPOI|2aVULN|3TBNT|4DUST|5AME|6aTLV|7RCR|8SPLJET|9aDMG|aBPWR
78	12626 33252	   	217.46	DCR|2VULN|1TLV|1DMG|1DUR|1AART	1AEPOI|2AART|3DMG|4TLV|5LWND|6ZMB|79VULN|8DUR|aRCR
79	44132 63222	 * 	217.46	DCR|1VULN|1FLTARM|1TLV|1DMG|1AART|1CDMG	1RMIN|2CDMG|3TLV|4CGEN|5DMG|6FLTARM|7AEPOI|8VULN|9AART|aRCR
80	35212 12252	   	217.36	DCR|2VULN|1TLV|1DMG|1DUR|1AART	1DUST|2RPLT|3MDPS|4DUR|57VULN|6DMG|8RCR|9TLV|aAART
81	11324 31161	   	217.34	DCR|3VULN|2DMG|1CDMG	1AEPOI|249VULN|3CDMG|5aRMIN|67DMG|8RCR
82	11324 31162	   	217.34	DCR|3VULN|2DMG|1CDMG	1AEPOI|249VULN|3CDMG|5RMIN|67DMG|8RCR|aCGEN
83	11324 31164	   	217.34	DCR|3VULN|2DMG|1CDMG	1AEPOI|249VULN|3CDMG|5RMIN|67DMG|8RCR|aFEWX
84	11324 31165	   	217.34	DCR|3VULN|2DMG|1CDMG	1AEPOI|249VULN|3CDMG|5RMIN|67DMG|8RCR|aBEXP
85	11324 31166	   	217.34	DCR|3VULN|2DMG|1CDMG	1AEPOI|249VULN|3CDMG|5RMIN|67DMG|8RCR|aZMB
86	12622 13252	   	217.26	DCR|2VULN|1TLV|1DMG|1DUR|1AART|1NUKE	1AEPOI|2AART|3DMG|4TLV|5NUKE|6DUST|79VULN|8DUR|aRCR
87	11324 31131	   	217.24	DCR|3VULN|2DMG|1CDMG	1AEPOI|24aVULN|3CDMG|5RMIN|67DMG|8RCR|9BBNT
88	11324 31163	   	217.24	DCR|3VULN|2DMG|1CDMG	1AEPOI|249VULN|3CDMG|5RMIN|67DMG|8RCR|aTBNT
89	11326 31161	   	217.24	DCR|3VULN|2DMG|1CDMG	1AEPOI|249VULN|3CDMG|5ERES|67DMG|8RCR|aRMIN
90	11326 31164	   	217.24	DCR|3VULN|2DMG|1CDMG	1AEPOI|249VULN|3CDMG|5ERES|67DMG|8RCR|aFEWX
91	11326 31166	   	217.24	DCR|3VULN|2DMG|1CDMG	1AEPOI|249VULN|3CDMG|5ERES|67DMG|8RCR|aZMB
92	11324 11354	   	217.24	DCR|3VULN|2DMG|1CDMG	1aAEPOI|24aVULN|3CDMG|5RMIN|6ERES|7aDMG|8RCR|9BBNT|aBPWR
93	11324 11364	   	217.24	DCR|3VULN|2DMG|1CDMG	1aAEPOI|24aVULN|3CDMG|5RMIN|6ERES|7aDMG|8RCR|9TBNT|aBPWR
94	11326 31163	   	217.14	DCR|3VULN|2DMG|1CDMG	1AEPOI|249VULN|3CDMG|5ERES|67DMG|8RCR|aAEFBLL
95	11326 31165	   	217.14	DCR|3VULN|2DMG|1CDMG|1MSE	1AEPOI|249VULN|3CDMG|5ERES|67DMG|8RCR|aMSE
96	42216 32141	   	216.59	DCR|DCR|1VULN|1CDMG	12RMIN|3BOSS|4CDMG|5RAT|6BELT|7VULN|89RCR|aDMSP
97	42216 32142	   	216.59	DCR|DCR|1VULN|1CDMG	12RMIN|3BOSS|4CDMG|5RAT|6BELT|7VULN|89RCR|aRCVC
98	42216 32143	   	216.59	DCR|DCR|1VULN|1CDMG	12RMIN|3BOSS|4CDMG|5RAT|6BELT|7VULN|89RCR|aLIT
99	11325 32523	   	216.52	DCR|3VULN|1MSLTOX|1DUR|1CDMG	1AEPOI|247VULN|3CDMG|5LHND|6MSLTOX|8ASPD|9RCR|aDUR
100	11634 31521	   	216.49	DCR|DCR|1VULN|1DUR	1AEPOI|2VULN|3VENTOX|4DUR|5FEWX|6aRCR|7RPLT|8BEXP|9RMIN
101	42623 12137	   	216.49	DCR|DCR|1VULN|1AART	12RMIN|3ZMB|4MBVNT|5AART|6RCVC|7VULN|8RAT|9aRCR
102	13335 31521	   	216.39	DCR|DCR|1VULN|1DUR	1AEPOI|2CANARM|3LHND|4DUR|5VULN|6aRCR|7RPLT|8BEXP|9RMIN
103	13335 31541	   	216.39	DCR|DCR|1VULN|1DUR	1AEPOI|2CANARM|3LHND|4DUR|5VULN|6aRCR|7RPLT|8BEXP|9CGEN
104	15153 21137	   	216.39	DCR|DCR|1VULN|1AART|1AAC	1AEPOI|2RCVC|3MBVNT|4VULN|5AART|6RMIN|7AAC|8RAT|9aRCR
105	15423 21137	   	216.39	DCR|DCR|1VULN|1AART|1AAC	1AEPOI|2RCVC|3VULN|4MBVNT|5AART|6RMIN|7AAC|8RAT|9aRCR
106	23421 26263	   	216.39	DCR|DCR|1VULN|1CDMG	1AETHUN|29LIT|3VULN|4RCVC|5CDMG|6DUST|7CGEN|8aRCR
107	23421 53263	   	216.39	DCR|DCR|1VULN|1CDMG	1AETHUN|29LIT|3VULN|4RCVC|5CDMG|6RMIN|7DUST|8aRCR
108	42623 22137	   	216.39	DCR|DCR|1VULN|1AART	12RMIN|3ZMB|4MBVNT|5AART|6AEFRZ|7VULN|8RAT|9aRCR
109	11421 26263	   	216.29	DCR|DCR|1VULN|1CDMG	1AEPOI|2VULN|3AETHUN|49LIT|5CDMG|6DUST|7CGEN|8aRCR
110	11421 53263	   	216.29	DCR|DCR|1VULN|1CDMG	1AEPOI|2VULN|3AETHUN|49LIT|5CDMG|6RMIN|7DUST|8aRCR
111	13334 31651	   	216.29	DCR|DCR|1VULN|1DUR	1AEPOI|2CANARM|3LHND|4DUR|5FEWX|6aRCR|7RPLT|8ERES|9VULN
112	11252 11245	   	216.19	DCR|DCR|1VULN|1DUR	1AEPOI|2VULN|3BBNT|4VENFST|5BELT|6DUR|7LHND|8aRCR|9MBVNT
113	11252 12485	   	216.19	DCR|DCR|1VULN|1DUR	1AEPOI|2VULN|3BBNT|4VENFST|5BELT|6DUR|7MBVNT|8BEXP|9aRCR
114	15122 51138	   	216.19	DCR|DCR|1VULN|1AART	1AEPOI|2RCVC|3MBVNT|4LIT|5AART|6VULN|7VENFST|8ERES|9aRCR
115	15142 51138	   	216.19	DCR|DCR|1VULN|1AART	1AEPOI|2RCVC|3MBVNT|4BOSS|5AART|6VULN|7VENFST|8ERES|9aRCR
116	11241 64133	 * 	215.98	ACR|DCR|1VULN|1DMG|1DUR|1AART	1AEPOI|2VULN|3BBNT|49RCR|5DUR|6DMG|7ERES|8VENICY|aAART
117	11633 42522	   	215.88	DCR|3VULN|1MLV|1DUR|1CDMG	1AEPOI|267VULN|3VENTOX|4DUR|5CDMG|8ASPD|9RCR|aMLV
118	11326 62361	   	215.64	DCR|5VULN|1CDMG	1AEPOI|24789VULN|3CDMG|5ERES|6RCR|aRAT
