0	Index      	 *	Score 	Summary	Detail	
1	23116 32362	 * 	292.01	DCR|DCR|1VULN|1TLV|1DMG|1MLV|1DUR|1CDMG	1CDMG|2RPLT|3VULN|4TLV|5MLV|6ERES|7DMG|8aRCR|9DUR
17	23114 41352	   	275.83	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2RPLT|36VULN|4TLV|5BEXP|7ASPD|8aRCR|9BBNT
18	23115 41332	   	275.83	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2RPLT|36VULN|4TLV|5LWND|7ASPD|8aRCR|9TBNT
19	23115 41352	   	275.83	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2RPLT|36VULN|4TLV|5LWND|7ASPD|8aRCR|9BBNT
20	23311 41332	   	275.83	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2RPLT|3TLV|4BEXP|56VULN|7ASPD|8aRCR|9TBNT
21	23311 41352	   	275.83	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2RPLT|3TLV|4BEXP|56VULN|7ASPD|8aRCR|9BBNT
22	23351 41332	   	275.83	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2RPLT|3TLV|4FEWX|56VULN|7ASPD|8aRCR|9TBNT
23	23351 41352	   	275.83	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2RPLT|3TLV|4FEWX|56VULN|7ASPD|8aRCR|9BBNT
24	23111 41332	   	275.73	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2RPLT|35VULN|4TLV|6LEGI|7ASPD|8aRCR|9TBNT
25	23111 41352	   	275.73	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2RPLT|35VULN|4TLV|6LEGI|7ASPD|8aRCR|9BBNT
26	23112 65622	   	275.73	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2RPLT|37VULN|4TLV|5TBNT|6aRCR|8ASPD|9AETHUN
27	23151 36512	   	275.73	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2RPLT|35VULN|4DUST|6MDPS|7ASPD|8aRCR|9TLV
28	23116 31332	 * 	275.57	DCR|DCR|2TLV|1VULN|1MLV|1CDMG	1CDMG|2RPLT|3VULN|49TLV|5MLV|6ERES|7ASPD|8aRCR
29	23125 53532	   	272.05	DCR|DCR|1VULN|1TLV|1MLV|1CDMG|1DUR	1CDMG|2RPLT|3VULN|4DUR|5ZMB|6aRCR|7MLV|8CGEN|9TLV
30	23125 52632	   	271.95	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1CDMG	1CDMG|2RPLT|3VULN|4DUR|5ZMB|6aRCR|7AME|8MLV|9TLV
31	23116 31322	   	271.85	DCR|DCR|1VULN|1TLV|1MLV|2ASPD|1CDMG	1CDMG|2RPLT|3VULN|4TLV|5MLV|6ERES|79ASPD|8aRCR
32	23125 54132	 * 	268.89	DCR|DCR|1VULN|2DUR|1TLV|1CDMG	1CDMG|2RPLT|3VULN|48DUR|5ZMB|6aRCR|7LHND|9TLV
33	23116 31342	   	265.13	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1CDMG|2RPLT|3VULN|4TLV|5MLV|69ERES|7ASPD|8aRCR
34	53632 11511	 * 	264.96	DCR|4VULN|2DMG|2DUR|1MLV	137aVULN|23aRAT|3aBPWR|45DUR|6MLV|8RCR|9aDMG
35	53332 11511	   	264.86	DCR|4VULN|2DMG|2DUR|1MLV	137aVULN|2aRAT|45DUR|6MLV|8RCR|9aDMG|aBPWR
36	23531 36512	   	263.28	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1CDMG|2RPLT|3DMSP|4MDPS|5VULN|6DUR|7ASPD|8aRCR|9TLV
37	23124 36512	   	263.18	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1CDMG|2RPLT|3VULN|4DUR|5AEBURN|6MDPS|7ASPD|8aRCR|9TLV
38	24331 36512	   	263.18	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1CDMG|2AEPOI|3RPLT|4MDPS|5VULN|6DUR|7ASPD|8aRCR|9TLV
39	23141 52142	   	262.75	DCR|DCR|2VULN|2CDMG|1DUR|1AAC	17CDMG|2RPLT|35VULN|4AAC|6aRCR|8CGEN|9DUR
