0	Index      	 *	Score 	Summary	Detail	
1	61422 22121	 * 	237.45	ACR|3VULN|3DMG|2AART|1CDMG|1DUR	1RCR|278DMG|3DUR|478LHND|5aAART|678VULN|78BPWR|9CDMG
15	12111 55214	   	214.82	DCR|2VULN|2DMG|1ASPD|1CDMG|2DUR	14DUR|24VULN|3RCVC|4BPWR|5CDMG|6RCR|7LHND|8ASPD|9aDMG
16	12111 53214	   	214.72	DCR|2VULN|2DMG|1ASPD|1CDMG|2DUR	14DUR|24VULN|3RCVC|4BPWR|5CDMG|6RCR|7LEGI|8ASPD|9aDMG
17	61422 21163	   	214.58	ACR|3VULN|2DMG|1AART|1ASPD|2DUR	1RCR|28DMG|37DUR|48LHND|5AART|68aVULN|8BPWR|9ASPD
18	61422 22131	   	211.80	ACR|3VULN|3DMG|1AART|1AAC|1DUR	1RCR|278DMG|3DUR|478aLHND|5AART|678VULN|78BPWR|9AAC
19	61422 22132	   	211.80	ACR|3VULN|3DMG|1AART|1AAC|1DUR	1RCR|278DMG|3DUR|478LHND|5AART|678VULN|78BPWR|9AAC|aLEGI
20	61422 22133	   	211.80	ACR|3VULN|3DMG|1AART|1AAC|1DUR	1RCR|278DMG|3DUR|478LHND|5AART|678VULN|78BPWR|9AAC|aBEXP
21	61422 22134	   	211.80	ACR|3VULN|3DMG|1AART|1AAC|1DUR|1MSE	1RCR|278DMG|3DUR|478LHND|5AART|678VULN|78BPWR|9AAC|aMSE
22	12111 52221	   	210.84	DCR|4VULN|1ASPD|1CDMG|2DUR	14DUR|249aVULN|3RCVC|4BPWR|5CDMG|6RCR|7FEWX|8ASPD
23	12111 54521	   	210.84	DCR|4VULN|1ASPD|1CDMG|2DUR	14DUR|247aVULN|3RCVC|4BPWR|5CDMG|6RCR|8ASPD|9LWND
24	12111 55221	   	210.84	DCR|4VULN|1ASPD|1CDMG|2DUR	14DUR|249aVULN|3RCVC|4BPWR|5CDMG|6RCR|7LHND|8ASPD
25	12111 53221	   	210.74	DCR|4VULN|1ASPD|1CDMG|2DUR	14DUR|249aVULN|3RCVC|4BPWR|5CDMG|6RCR|7LEGI|8ASPD
26	12111 54511	   	210.74	DCR|4VULN|1ASPD|1CDMG|2DUR	14DUR|247aVULN|3RCVC|4BPWR|5CDMG|6RCR|8ASPD|9DUST
27	12623 61214	 * 	210.17	DCR|3VULN|2DMG|1CDMG|1ZMB|1DUR	1DUR|247VULN|3LHND|5ZMB|6CDMG|8RCR|9aDMG
28	31452 13211	   	210.17	DCR|3VULN|2DMG|1CDMG|1ZMB|1DUR	1ZMB|29DMG|3DUR|45aVULN|6CGEN|7CDMG|8RCR
29	12151 52214	   	209.47	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1DUR|24VULN|3RCVC|5CDMG|6RCR|7FEWX|8ASPD|9aDMG
30	12151 53214	   	209.37	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1DUR|24VULN|3RCVC|5CDMG|6RCR|7LEGI|8ASPD|9aDMG
31	12114 53161	 * 	209.06	DCR|3VULN|1ASPD|1DMG|1CDMG|2DUR	14DUR|246VULN|3RCVC|4BPWR|5ASPD|7DMG|8LWND|9RCR|aCDMG
32	12114 15211	   	208.74	DCR|3VULN|2ASPD|3DUR|1CDMG	147DUR|247VULN|36RCVC|47BPWR|57ASPD|8TLV|9CDMG|aRCR
33	12114 15611	   	208.74	DCR|3VULN|2ASPD|3DUR|1CDMG	147DUR|247VULN|36RCVC|47BPWR|57ASPD|8ERES|9CDMG|aRCR
34	31452 13251	 * 	208.43	DCR|4VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2DMG|3DUR|459aVULN|6CGEN|7CDMG|8RCR
35	31614 62211	 * 	208.24	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB|1DUR	1ZMB|23DMG|4FEWX|56ASPD|7RCR|8DUR|9CDMG|aVULN
36	12335 61214	 * 	207.65	DCR|3VULN|2DMG|1ASPD|1DUR	1DUR|247VULN|3RPLT|5AELBLL|6RCR|8ASPD|9aDMG
37	12111 52234	   	207.56	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR|1ZMB	14DUR|24VULN|3RCVC|4BPWR|5CDMG|6RCR|7FEWX|8ASPD|9ZMB|aDMG
38	12111 55234	   	207.56	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR|1ZMB	14DUR|24VULN|3RCVC|4BPWR|5CDMG|6RCR|7LHND|8ASPD|9ZMB|aDMG
39	51221 41531	 * 	207.49	DCR|2VULN|2AART|2CDMG|1ASPD	19CDMG|29LWND|38AART|4MLV|5ERES|6RCR|79VULN|9BPWR|aASPD
40	52221 41531	   	207.49	DCR|2VULN|2AART|2CDMG|1ASPD	19CDMG|29LHND|38AART|4MLV|5ERES|6RCR|79VULN|9BPWR|aASPD
41	12111 53234	   	207.46	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR|1ZMB	14DUR|24VULN|3RCVC|4BPWR|5CDMG|6RCR|7LEGI|8ASPD|9ZMB|aDMG
