0	Index      	 *	Score 	Summary	Detail	
1	13151 16432	 * 	223.58	DCR|3VULN|2DMG|1AART|2ZMB|1AAC	1RCVC|28ZMB|38DMG|478VULN|5RMIN|6RCR|8BPWR|9AART|aAAC
38	63412 51312	 * 	205.81	ACR|2VULN|2ASPD|1AART|2CDMG|1DMG|1DUR	1aASPD|2DUR|3aCDMG|4RCR|5DMG|6LIT|7RCVC|8aVULN|9AART|aBPWR
39	11616 14313	   	205.47	DCR|3DMG|2VULN|1ASPD|1DUR	1RCVC|2LEGI|35VULN|459DMG|5BPWR|6RCR|7LHND|8DUR|aASPD
40	11616 16232	   	205.46	DCR|4VULN|2DMG|1ZMB	1RCVC|2LEGI|3579VULN|45DMG|5BPWR|6RCR|8ZMB|aBEXP
41	11616 16233	   	205.46	DCR|4VULN|2DMG|1ZMB	1RCVC|2LEGI|3579VULN|45DMG|5BPWR|6RCR|8ZMB|aFEWX
42	11616 16321	   	205.46	DCR|4VULN|2DMG|1ZMB	1RCVC|2LEGI|3578VULN|45DMG|5BPWR|6RCR|9LHND|aZMB
43	13135 63212	 * 	205.46	DCR|2DMG|2ASPD|1VULN|1AART|1ZMB	1RCVC|2ZMB|35DMG|46ASPD|7AELBLL|8RCR|9VULN|aAART
44	56211 13235	 * 	205.40	DCR|2AART|2DMG|1MDPS|1VULN|1CDMG|1ZMB	1RPLT|2ZMB|3CDMG|45DMG|6MDPS|7RCR|8aAART|9VULN
45	11616 16231	   	205.36	DCR|4VULN|2DMG|1ZMB|1MSE	1RCVC|2LEGI|3579VULN|45DMG|5BPWR|6RCR|8ZMB|aMSE
46	11311 16354	 * 	205.19	DCR|2VULN|2DMG|1AART|1ASPD	1RCVC|2LEGI|3BEXP|45DMG|6RCR|7aVULN|8AART|9ASPD
47	12311 16354	   	205.19	DCR|2VULN|2DMG|1AART|1ASPD	1RCVC|25DMG|3BEXP|4LEGI|6RCR|7aVULN|8AART|9ASPD
48	62312 54112	 * 	204.54	ACR|3VULN|3ASPD|1AART|1DMG|1SELL	18aASPD|2SELL|38aBEXP|4RCR|5DMG|6LIT|78aVULN|8aBPWR|9AART
49	62222 66331	 * 	204.51	ACR|3VULN|1MDPS|2ASPD|1DMG|1CDMG|1SELL	19ASPD|2SELL|3RCR|478VULN|5DMG|6CDMG|aMDPS
50	15316 11251	 * 	204.33	DCR|3DMG|2VULN|1MDPS|1DUR	1RCVC|2LHND|35VULN|459DMG|5BPWR|6RCR|7RPLT|8DUR|aMDPS
51	11616 11251	   	204.23	DCR|3DMG|2VULN|1MDPS|1DUR	1RCVC|2LEGI|35VULN|459DMG|5BPWR|6RCR|7RPLT|8DUR|aMDPS
52	11613 16432	   	203.94	DCR|3VULN|2DMG|1CDMG|1DUR	1RCVC|2LEGI|378VULN|48DMG|58AELBLL|6RCR|8BPWR|9DUR|aCDMG
53	15316 11222	   	203.94	DCR|3VULN|2DMG|1CDMG|1DUR	1RCVC|2LHND|359VULN|45DMG|5BPWR|6RCR|7RPLT|8DUR|aCDMG
54	11616 11222	   	203.84	DCR|3VULN|2DMG|1CDMG|1DUR	1RCVC|2LEGI|359VULN|45DMG|5BPWR|6RCR|7RPLT|8DUR|aCDMG
55	63614 11111	 * 	203.79	ACR|2DMG|2ASPD|1VULN|1AART|3DUR|1CDMG	19ASPD|269DUR|3AART|4VULN|5RCR|7DUST|89DMG|9BPWR|aCDMG
56	11611 16332	   	203.74	DCR|3VULN|2DMG|1CDMG|1DUR	1RCVC|2LEGI|378VULN|45DMG|6RCR|9DUR|aCDMG
57	15316 11224	   	203.53	DCR|4VULN|2DMG|1DUR	1RCVC|2LHND|359aVULN|45DMG|5BPWR|6RCR|7RPLT|8DUR
58	11616 11224	   	203.43	DCR|4VULN|2DMG|1DUR	1RCVC|2LEGI|359aVULN|45DMG|5BPWR|6RCR|7RPLT|8DUR
59	11616 16333	   	203.43	DCR|4VULN|2DMG|1DUR	1RCVC|2LEGI|3578VULN|45DMG|5BPWR|6RCR|9DUR|aBEXP
60	62222 63223	 * 	203.42	ACR|2DMG|1MDPS|2ASPD|3CDMG|1VULN|1AART|1SELL	1aASPD|2SELL|3RCR|4VULN|5aDMG|68aCDMG|7MDPS|9AART|aBPWR
61	11611 16421	   	203.24	DCR|3VULN|3DMG|1DUR	1RCVC|2LEGI|378VULN|458DMG|6RCR|8BPWR|9DUR|aRMIN
62	11611 16422	   	203.24	DCR|3VULN|3DMG|1DUR	1RCVC|2LEGI|378VULN|458DMG|6RCR|8BPWR|9DUR|aBEXP
63	11611 16423	   	203.24	DCR|3VULN|3DMG|1DUR	1RCVC|2LEGI|378VULN|458DMG|6RCR|8BPWR|9DUR|aFEWX
64	12151 16433	   	203.06	DCR|3VULN|2DMG|1AART|1NUKE	1RCVC|28DMG|3NUKE|478VULN|5RMIN|6RCR|8BPWR|9AART|aLWND
65	11611 16411	   	203.00	DCR|3VULN|3DMG|1DUR|1SELL	1RCVC|2LEGI|378VULN|458DMG|6RCR|8BPWR|9SELL|aDUR
66	63614 32111	   	202.97	ACR|2VULN|2DMG|2ASPD|1AART|2DUR	19ASPD|29DUR|3AART|47VULN|5RCR|6BEXP|89DMG|9BPWR|aAELBLL
67	63614 32113	   	202.97	ACR|2VULN|2DMG|2ASPD|1AART|2DUR	19ASPD|29DUR|3AART|47VULN|5RCR|6BEXP|89DMG|9BPWR|aLIT
68	12151 16431	   	202.96	DCR|3VULN|2DMG|1AART|1NUKE	1RCVC|28DMG|3NUKE|478VULN|5RMIN|6RCR|8BPWR|9AART|aDUST
69	11613 16413	   	202.91	DCR|3VULN|2DMG|1AART|1SELL	1RCVC|2LEGI|378VULN|48DMG|58AELBLL|6RCR|8BPWR|9SELL|aAART
70	15316 14313	   	202.91	DCR|3VULN|2DMG|1AART|1SELL	1RCVC|27LHND|358VULN|45DMG|5BPWR|6RCR|9SELL|aAART
71	12141 36363	 * 	202.90	DCR|2VULN|2DMG|1AART|2CDMG|1NUKE	1RCVC|2aDMG|3NUKE|4RPLT|5aCDMG|6LEGI|7aVULN|8AART|9RCR|aBPWR
72	11611 16313	   	202.71	DCR|3VULN|2DMG|1AART|1SELL	1RCVC|2LEGI|378VULN|45DMG|6RCR|9SELL|aAART
73	11616 16211	 * 	202.57	DCR|3VULN|2DMG|2AAC|1ZMB	1RCVC|2LEGI|357VULN|45DMG|5BPWR|6RCR|8ZMB|9aAAC
74	12524 51312	   	202.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1RCVC|2DMG|3LIT|49VULN|5ASPD|6AART|7ZMB|8RCR|aDUR
75	13512 52312	   	202.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1RCVC|2ZMB|3LIT|4DMG|59VULN|6AART|7ASPD|8RCR|aDUR
76	61512 51312	   	202.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2DMSP|3LIT|4DMG|59VULN|6AART|7ZMB|8RCR|aDUR
77	13156 52312	   	202.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1RCVC|2ZMB|3DMG|49VULN|5LIT|6AART|7ASPD|8RCR|aDUR
78	52216 12153	   	202.24	DCR|2VULN|2DMG|2ASPD|1DUR	1RPLT|2RMIN|39VULN|4FEWX|5BELT|69ASPD|7RCR|89DMG|9BPWR|aDUR
79	15316 13321	 * 	201.91	DCR|2VULN|2DMG|2ASPD|2AAC	1RCVC|2LHND|35VULN|45DMG|5BPWR|6RCR|7aAAC|89ASPD
80	11616 13321	   	201.81	DCR|2VULN|2DMG|2ASPD|2AAC	1RCVC|2LEGI|35VULN|45DMG|5BPWR|6RCR|7aAAC|89ASPD
81	15316 16123	   	201.48	DCR|2VULN|2DMG|1AART|1CDMG	1RCVC|2LHND|35VULN|45DMG|5BPWR|6RCR|7FEWX|8DUST|9AART|aCDMG
82	16511 16323	   	201.48	DCR|2VULN|2DMG|1AART|1CDMG	1RCVC|2LWND|3BEXP|45DMG|6RCR|79VULN|8AART|aCDMG
83	25511 16323	   	201.48	DCR|2VULN|2DMG|1AART|1CDMG	12LWND|3BEXP|45DMG|6RCR|79VULN|8AART|aCDMG
84	11311 16323	   	201.38	DCR|2VULN|2DMG|1AART|1CDMG	1RCVC|2LEGI|3BEXP|45DMG|6RCR|79VULN|8AART|aCDMG
85	12311 16323	   	201.38	DCR|2VULN|2DMG|1AART|1CDMG	1RCVC|25DMG|3BEXP|4LEGI|6RCR|79VULN|8AART|aCDMG
86	56211 13251	 * 	201.27	DCR|3DMG|1MDPS|1AART|1ASPD|1CDMG|1ZMB	1RPLT|2ZMB|3CDMG|459DMG|6MDPS|7RCR|8AART|aASPD
87	11311 16355	   	201.06	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	1RCVC|2LEGI|3BEXP|45DMG|6RCR|7VULN|8AART|9ASPD|aCDMG
88	12311 16355	   	201.06	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	1RCVC|25DMG|3BEXP|4LEGI|6RCR|7VULN|8AART|9ASPD|aCDMG
89	12311 16223	   	200.98	DCR|3DMG|2VULN|1AART	1RCVC|25aDMG|3BEXP|4LEGI|6RCR|7aVULN|8aFEWX|9AART|aBPWR
90	11616 11115	   	200.88	DCR|3DMG|2VULN|1AART	1RCVC|2LEGI|35VULN|458DMG|5BPWR|6RCR|7RPLT|9LHND|aAART
91	11616 11135	   	200.88	DCR|3DMG|2VULN|1AART	1RCVC|2LEGI|35VULN|458DMG|5BPWR|6RCR|7RPLT|9LWND|aAART
92	15316 11135	   	200.88	DCR|3DMG|2VULN|1AART	1RCVC|2LHND|35VULN|458DMG|5BPWR|6RCR|7RPLT|9LEGI|aAART
93	13512 52316	   	200.81	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1ZMB	1RCVC|2ZMB|3LIT|4DMG|59VULN|6AART|7ASPD|8RCR|aAAC
94	12311 16123	   	200.78	DCR|3DMG|2VULN|1AART	1RCVC|25aDMG|3BEXP|4LEGI|6RCR|7aVULN|8aDUST|9AART|aBPWR
95	13135 63211	 * 	200.51	DCR|1MDPS|2DMG|2ASPD|1VULN|1ZMB	1RCVC|2ZMB|35DMG|46ASPD|7AELBLL|8RCR|9VULN|aMDPS
96	63614 11112	 * 	200.46	ACR|3ASPD|2DMG|1VULN|1AART|3DUR	19aASPD|269DUR|3AART|4VULN|5RCR|7DUST|89DMG|9BPWR
97	15316 16221	   	200.44	DCR|2VULN|2DMG|1MDPS|1ASPD	1RCVC|2LHND|35VULN|45DMG|5BPWR|6RCR|78FEWX|9ASPD|aMDPS
98	12234 12533	 * 	200.31	ACR|3DMG|2VULN|2AART|1MDPS|2DUR	1RCVC|28aDMG|39AART|4MDPS|5RCR|6aDUR|7aVULN|aBPWR
99	11611 16621	   	200.24	DCR|2VULN|2DMG|1MDPS|1ASPD	1RCVC|2LEGI|37VULN|45DMG|6RCR|8FEWX|9ASPD|aMDPS
100	15316 13311	   	200.24	DCR|2VULN|2DMG|1MDPS|1ASPD|1AAC	1RCVC|2LHND|35VULN|45DMG|5BPWR|6RCR|7AAC|8ASPD|9MDPS|aRMIN
101	15316 13312	   	200.24	DCR|2VULN|2DMG|1MDPS|1ASPD|1AAC	1RCVC|2LHND|35VULN|45DMG|5BPWR|6RCR|7AAC|8ASPD|9MDPS|aBEXP
102	15316 13313	   	200.24	DCR|2VULN|2DMG|1MDPS|1ASPD|1AAC	1RCVC|2LHND|35VULN|45DMG|5BPWR|6RCR|7AAC|8ASPD|9MDPS|aFEWX
103	15316 13314	   	200.24	DCR|2VULN|2DMG|1MDPS|1ASPD|1AAC	1RCVC|2LHND|35VULN|45DMG|5BPWR|6RCR|7AAC|8ASPD|9MDPS|aDMSP
104	15316 13315	   	200.24	DCR|2VULN|2DMG|1MDPS|1ASPD|1AAC	1RCVC|2LHND|35VULN|45DMG|5BPWR|6RCR|7AAC|8ASPD|9MDPS|aCGEN
105	15316 13361	   	200.24	DCR|2VULN|2DMG|1MDPS|1ASPD|1AAC	1RCVC|2LHND|35VULN|45DMG|5BPWR|6RCR|7AAC|8ASPD|9ERES|aMDPS
106	11616 13311	   	200.14	DCR|2VULN|2DMG|1MDPS|1ASPD|1AAC	1RCVC|2LEGI|35VULN|45DMG|5BPWR|6RCR|7AAC|8ASPD|9MDPS|aRMIN
107	11616 13312	   	200.14	DCR|2VULN|2DMG|1MDPS|1ASPD|1AAC	1RCVC|2LEGI|35VULN|45DMG|5BPWR|6RCR|7AAC|8ASPD|9MDPS|aBEXP
108	11616 13313	   	200.14	DCR|2VULN|2DMG|1MDPS|1ASPD|1AAC	1RCVC|2LEGI|35VULN|45DMG|5BPWR|6RCR|7AAC|8ASPD|9MDPS|aFEWX
109	11616 13314	   	200.14	DCR|2VULN|2DMG|1MDPS|1ASPD|1AAC	1RCVC|2LEGI|35VULN|45DMG|5BPWR|6RCR|7AAC|8ASPD|9MDPS|aDMSP
110	11616 13315	   	200.14	DCR|2VULN|2DMG|1MDPS|1ASPD|1AAC	1RCVC|2LEGI|35VULN|45DMG|5BPWR|6RCR|7AAC|8ASPD|9MDPS|aCGEN
111	11616 13361	   	200.14	DCR|2VULN|1MDPS|2DMG|1ASPD|1AAC	1RCVC|2LEGI|35VULN|45DMG|5BPWR|6RCR|7AAC|8ASPD|9ERES|aMDPS
112	13151 16421	   	199.81	DCR|3VULN|2DMG|1AAC|2ZMB	1RCVC|28ZMB|38DMG|478VULN|5RMIN|6RCR|8BPWR|9LHND|aAAC
113	15316 13351	 * 	199.34	DCR|3VULN|2DMG|1ASPD|1AAC	1RCVC|2LHND|35aVULN|45DMG|5BPWR|6RCR|7AAC|8ASPD|9LIT
114	12521 22415	   	199.26	DCR|3VULN|2DMG|1AART	17RCVC|2aDMG|3LIT|49aVULN|5AART|6aFEWX|8RCR|aBPWR
115	11611 16342	   	199.24	DCR|3VULN|2DMG|1ASPD	1RCVC|2LEGI|378VULN|45DMG|6RCR|9ASPD|aBEXP
116	11611 16343	   	199.24	DCR|3VULN|2DMG|1ASPD	1RCVC|2LEGI|378VULN|45DMG|6RCR|9ASPD|aFEWX
117	11616 13351	   	199.24	DCR|3VULN|2DMG|1ASPD|1AAC	1RCVC|2LEGI|35aVULN|45DMG|5BPWR|6RCR|7AAC|8ASPD|9LIT
118	11611 16341	   	199.14	DCR|3VULN|2DMG|1ASPD|1MSE	1RCVC|2LEGI|378VULN|45DMG|6RCR|9ASPD|aMSE
119	11111 16452	   	199.03	DCR|2DMG|2ASPD|1AART|1VULN	1RCVC|2LEGI|3FEWX|45DMG|6RCR|7VULN|8AART|9aASPD
120	11311 16352	   	199.03	DCR|2DMG|2ASPD|1AART|1VULN	1RCVC|2LEGI|3BEXP|45DMG|6RCR|7VULN|8AART|9aASPD
121	12311 16352	   	199.03	DCR|2DMG|2ASPD|1AART|1VULN	1RCVC|25DMG|3BEXP|4LEGI|6RCR|7VULN|8AART|9aASPD
122	13141 36363	   	198.97	DCR|2VULN|1AART|2CDMG|1DMG|2ZMB	1RCVC|2aZMB|3DMG|4RPLT|5aCDMG|6LEGI|7aVULN|8AART|9RCR|aBPWR
123	11111 16423	   	198.88	DCR|2VULN|2DMG|1AART|2DUR	1RCVC|2LEGI|3aFEWX|45DMG|6RCR|7aVULN|8AART|9aDUR|aBPWR
124	11311 16343	   	198.88	DCR|2VULN|2DMG|1AART|2DUR	1RCVC|2LEGI|3aBEXP|45DMG|6RCR|7aVULN|8AART|9aDUR|aBPWR
125	12121 16323	   	198.78	DCR|2VULN|2DMG|1AART|1NUKE|2DUR	1RCVC|2aDMG|3NUKE|4LEGI|5RMIN|6RCR|7aVULN|8AART|9aDUR|aBPWR
126	52235 25323	 * 	198.64	ACR|3VULN|2DMG|1AART|2CDMG	1RPLT|2RMIN|35aVULN|4RCR|6BEXP|7aCDMG|8aDMG|9AART|aBPWR
127	52235 15323	   	198.54	ACR|3VULN|2DMG|1AART|2CDMG	1RPLT|2RMIN|35aVULN|4RCR|6DUST|7aCDMG|8aDMG|9AART|aBPWR
128	63514 11212	   	198.46	DCR|2DMG|1AART|1VULN|1ASPD|2DUR	1ASPD|2aDUR|3CGEN|45DMG|6RCR|7RPLT|8AART|9VULN
129	65114 11212	   	198.46	DCR|2DMG|1AART|1VULN|1ASPD|2DUR	1ASPD|2CGEN|3aDUR|45DMG|6RCR|7RPLT|8AART|9VULN
130	64114 11212	   	198.36	DCR|2DMG|1VULN|1AART|1ASPD|2DUR	1ASPD|2ERES|3aDUR|45DMG|6RCR|7RPLT|8AART|9VULN
131	11613 16431	   	198.02	DCR|3VULN|2DMG|1ZMB|1DUR	1RCVC|2LEGI|378VULN|48DMG|58AELBLL|6RCR|8BPWR|9DUR|aZMB
132	13121 16354	   	197.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2ZMB|3DMG|4LEGI|5RMIN|6RCR|7aVULN|8AART|9ASPD
133	11611 16331	   	197.82	DCR|3VULN|2DMG|1ZMB|1DUR	1RCVC|2LEGI|378VULN|45DMG|6RCR|9DUR|aZMB
134	15316 11162	   	197.26	DCR|3DMG|2VULN|1ASPD	1RCVC|2LHND|35VULN|458DMG|5BPWR|6RCR|7aRPLT|9ASPD
135	15316 11163	   	197.26	DCR|3DMG|2VULN|1ASPD	1RCVC|2LHND|35VULN|458DMG|5BPWR|6RCR|7RPLT|9ASPD|aBEXP
136	11616 11162	   	197.16	DCR|3DMG|2VULN|1ASPD	1RCVC|2LEGI|35VULN|458DMG|5BPWR|6RCR|7aRPLT|9ASPD
137	11616 11163	   	197.16	DCR|3DMG|2VULN|1ASPD	1RCVC|2LEGI|35VULN|458DMG|5BPWR|6RCR|7RPLT|9ASPD|aBEXP
138	11616 14213	   	197.16	DCR|3DMG|2VULN|1ASPD	1RCVC|2LEGI|35VULN|459DMG|5BPWR|6RCR|7LHND|8FEWX|aASPD
139	15316 16113	   	197.16	DCR|3DMG|2VULN|1ASPD	1RCVC|2LHND|35VULN|459DMG|5BPWR|6RCR|7FEWX|8DUST|aASPD
140	11616 14113	   	197.06	DCR|3DMG|2VULN|1ASPD	1RCVC|2LEGI|35VULN|459DMG|5BPWR|6RCR|7LHND|8DUST|aASPD
141	24524 32112	 * 	196.93	ACR|3VULN|2DMG|1AART|1ASPD|1AAC	19LWND|2AAC|3RCR|4FEWX|5AART|679VULN|89DMG|9BPWR|aASPD
142	24211 63323	   	196.78	DCR|2VULN|2DMG|1AART|1AAC|2ZMB	1aLWND|2AAC|3aZMB|45DMG|6DUST|7RCR|8aVULN|9AART|aBPWR
143	44211 63323	   	196.78	DCR|2VULN|2DMG|1AART|2ZMB|1AAC	1aFEWX|2AAC|3aZMB|45DMG|6DUST|7RCR|8aVULN|9AART|aBPWR
144	11616 16212	   	196.29	DCR|3VULN|2DMG|1AAC|1ZMB	1RCVC|2LEGI|357VULN|45DMG|5BPWR|6RCR|8ZMB|9AAC|aMBVNT
145	11616 16213	   	196.29	DCR|3VULN|2DMG|1AAC|1ZMB	1RCVC|2LEGI|357VULN|45DMG|5BPWR|6RCR|8ZMB|9AAC|aLWND
146	63512 11326	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2DUR|3CGEN|4DMG|5RCVC|6RCR|7RPLT|89VULN|aAART
147	65112 11326	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2CGEN|3DUR|4DMG|5RCVC|6RCR|7RPLT|89VULN|aAART
148	62222 21223	 * 	195.95	ACR|3ASPD|2DMG|1VULN|2CDMG|1ZMB|1SELL	19aASPD|2SELL|3RCR|4VULN|5aDMG|6AME|7ZMB|8aCDMG|aBPWR
149	62222 41223	 * 	195.95	ACR|3ASPD|2DMG|1VULN|2CDMG|1ZMB|1SELL	19aASPD|2SELL|3RCR|4VULN|5aDMG|6CGEN|7ZMB|8aCDMG|aBPWR
150	15316 13323	   	195.73	DCR|2VULN|2DMG|2ASPD|1AAC	1RCVC|2LHND|35VULN|45DMG|5BPWR|6RCR|7AAC|89ASPD|aLWND
151	15316 13324	   	195.73	DCR|2VULN|2DMG|2ASPD|1AAC	1RCVC|2LHND|35VULN|45DMG|5BPWR|6RCR|7AAC|89ASPD|aLIT
152	15316 13325	   	195.73	DCR|2VULN|2DMG|2ASPD|1AAC	1RCVC|2LHND|35VULN|45DMG|5BPWR|6RCR|7AAC|89ASPD|aMLV
153	15316 13326	   	195.73	DCR|2VULN|2DMG|2ASPD|1AAC	1RCVC|2LHND|35VULN|45DMG|5BPWR|6RCR|7AAC|89ASPD|aRPLT
154	11616 13323	   	195.63	DCR|2VULN|2DMG|2ASPD|1AAC	1RCVC|2LEGI|35VULN|45DMG|5BPWR|6RCR|7AAC|89ASPD|aLWND
155	11616 13324	   	195.63	DCR|2VULN|2DMG|2ASPD|1AAC	1RCVC|2LEGI|35VULN|45DMG|5BPWR|6RCR|7AAC|89ASPD|aLIT
