0	Index      	 *	Score 	Summary	Detail	
1	15153 36312	 * 	287.90	DCR|2TLV|2VULN|2DMG|1CDMG	1BELT|23TLV|46DMG|57VULN|8CDMG|9RAT|aRCR
22	16236 33212	 * 	268.80	ACR|3VULN|1TLV|1AEPOI|1CDMG	1BELT|2CDMG|3FLTHEA|4RCR|5LIT|679VULN|8TLV|aAEPOI
23	15142 22633	 * 	268.43	DCR|2TLV|2VULN|1AEPOI|2DUR	1BELT|23TLV|45DUR|6RCR|7CGEN|8AEPOI|9aVULN
24	15634 22131	   	267.41	DCR|2TLV|2VULN|2DMG	1BELT|2aTLV|3BEXP|4aDMG|5FEWX|6RCR|7DUST|8RMIN|9aVULN|aBPWR
25	15153 31433	   	267.31	DCR|2TLV|2VULN|2DMG	1BELT|23TLV|46DMG|5aVULN|7CGEN|8RMIN|9RCR
26	15153 31633	   	267.31	DCR|2TLV|2VULN|2DMG	1BELT|23TLV|46DMG|5aVULN|7CGEN|8MLV|9RCR
27	15151 33233	   	267.31	DCR|2TLV|2VULN|2DMG	1BELT|23TLV|46DMG|58FEWX|7aVULN|9RCR
28	15154 33333	   	267.31	DCR|2TLV|2VULN|2DMG	1BELT|23TLV|46DMG|58BEXP|7aVULN|9RCR
29	15153 32533	   	267.21	DCR|2TLV|2VULN|2DMG	17BELT|23TLV|46DMG|5aVULN|8LEGI|9RCR
30	41532 12631	   	267.21	DCR|2TLV|2VULN|2DMG	1AAC|2aTLV|37VULN|4aDUST|5aDMG|6MDPS|8RCR|9BELT|aBPWR
31	25333 23222	   	266.08	ACR|DCR|1TLV|1VULN|1CDMG	1FEWX|2RMIN|3aRCR|4VULN|5MLV|6BEXP|7FRZARM|8TLV|9CDMG
32	25363 23222	   	266.08	ACR|DCR|1TLV|1VULN|1CDMG	1FEWX|2RMIN|3aRCR|4CGEN|5VULN|6BEXP|7FRZARM|8TLV|9CDMG
33	43342 32316	   	266.08	ACR|DCR|1TLV|1VULN|1CDMG	1AAC|2FEWX|38RCR|4LIT|5CDMG|6RAT|7AME|9VULN|aTLV
34	41234 26121	   	266.05	DCR|DCR|1TLV|1VULN|1AART|1DUR	1AAC|2TLV|3RPLT|4AART|5VULN|6DUR|79RCR|8ERES|aLHND
35	41234 26123	   	266.05	DCR|DCR|1TLV|1VULN|1AART|1DUR	1AAC|2TLV|3RPLT|4AART|5VULN|6DUR|79RCR|8ERES|aBELT
36	34266 12322	   	265.98	ACR|DCR|1TLV|1VULN|1CDMG	19CGEN|2TLV|3RPLT|4CDMG|5aRCR|6AEFRZ|7RAT|8VULN
37	43332 26151	   	265.90	ACR|3VULN|1TLV|3ASPD	1AAC|27FEWX|3RCR|457VULN|679ASPD|7BPWR|8TLV|aMLV
38	43332 26153	   	265.80	ACR|3VULN|1TLV|3ASPD	1AAC|27FEWX|3RCR|457VULN|679ASPD|7BPWR|8TLV|aDUST
39	43332 26126	   	265.46	ACR|3VULN|1TLV|2ASPD|1AART	1AAC|27FEWX|3RCR|457VULN|67ASPD|7BPWR|8TLV|9BEXP|aAART
40	43332 26216	   	265.46	ACR|3VULN|1TLV|2ASPD|1AART	1AAC|27FEWX|3RCR|457VULN|67ASPD|7BPWR|8BEXP|9TLV|aAART
41	43332 26131	   	265.36	ACR|3VULN|1TLV|2ASPD|1AART	1AAC|27FEWX|3RCR|457VULN|67ASPD|7BPWR|8TLV|9ERES|aAART
42	34533 43132	 * 	264.71	DCR|3VULN|1TLV|1AEPOI|1DUR	1CGEN|2TLV|37aVULN|4DUR|5AEPOI|6ZMB|8RCR|9ERES
43	43332 26161	   	264.11	ACR|3VULN|1TLV|2ASPD|1DUR	1AAC|27FEWX|3RCR|457VULN|67ASPD|7BPWR|8TLV|9DUR|aRPLT
44	43332 26162	   	264.11	ACR|3VULN|1TLV|2ASPD|1DUR	1AAC|27FEWX|3RCR|457VULN|67ASPD|7BPWR|8TLV|9DUR|aBEXP
45	43332 26163	   	264.01	ACR|3VULN|1TLV|2ASPD|1DUR	1AAC|27FEWX|3RCR|457VULN|67ASPD|7BPWR|8TLV|9DUR|aDUST
46	15146 22323	 * 	263.91	DCR|3VULN|2TLV|1DUR	1BELT|23TLV|4DUR|5LHND|6RCR|79aVULN|8ERES
47	14316 52113	 * 	263.30	ACR|2TLV|3DMG|3ASPD|2ZMB|1SELL	1BELT|2SELL|3RCR|48aDMG|58ZMB|6RCVC|78aASPD|8aBPWR|9aTLV
48	13642 22232	 * 	261.86	DCR|3VULN|1TLV|2CDMG|2RAT	1BELT|2RCVC|358VULN|4CGEN|68CDMG|78RAT|8BPWR|9TLV|aRCR
49	13652 22232	   	261.76	DCR|3VULN|1TLV|2CDMG|2RAT	1BELT|2RCVC|358VULN|4ERES|68CDMG|78RAT|8BPWR|9TLV|aRCR
50	15253 36312	   	261.70	DCR|2VULN|1TLV|2DMG|1CDMG	1BELT|2TLV|3RCVC|46DMG|57VULN|8CDMG|9RAT|aRCR
51	43332 26125	   	261.39	ACR|3VULN|1TLV|2ASPD	1AAC|27FEWX|3RCR|457VULN|67ASPD|7BPWR|8TLV|9BEXP|aZMB
52	43332 26141	   	261.39	ACR|3VULN|1TLV|2ASPD	1AAC|27FEWX|3RCR|457VULN|67ASPD|7BPWR|8TLV|9FRZICY|aMLV
53	43332 26143	   	261.39	ACR|3VULN|1TLV|2ASPD	1AAC|27FEWX|3RCR|457VULN|67ASPD|7BPWR|8TLV|9FRZICY|aAME
54	43332 26215	   	261.39	ACR|3VULN|1TLV|2ASPD	1AAC|27FEWX|3RCR|457VULN|67ASPD|7BPWR|8BEXP|9TLV|aZMB
55	15633 33333	 * 	261.17	DCR|2VULN|1TLV|2DMG|1AEFBLL	1BELT|2TLV|38BEXP|46DMG|5AEFBLL|7aVULN|9RCR
56	14315 23411	 * 	261.03	ACR|2VULN|1TLV|2DMG|2CDMG|1SELL	1BELT|2SELL|3RCR|47DMG|57VULN|67CDMG|7BPWR|8TLV|9BEXP|aLHND
57	14315 23412	 * 	261.03	ACR|2VULN|1TLV|2DMG|2CDMG|1SELL	1BELT|2SELL|3RCR|47DMG|57VULN|67CDMG|7BPWR|8TLV|9BEXP|aLWND
58	14315 23413	 * 	261.03	ACR|2VULN|1TLV|2DMG|2CDMG|1SELL	1BELT|2SELL|3RCR|47DMG|57VULN|67CDMG|7BPWR|8TLV|9BEXP|aDMSP
59	14315 23421	 * 	261.03	ACR|2VULN|1TLV|2DMG|2CDMG|1SELL	1BELT|2SELL|3RCR|47DMG|57VULN|67CDMG|7BPWR|8TLV|9CGEN|aLWND
60	14315 23152	 * 	260.93	ACR|2VULN|1TLV|2DMG|2CDMG|1SELL	1BELT|2SELL|3RCR|47DMG|57VULN|67CDMG|7BPWR|8MDPS|9TLV|aDMSP
61	14315 23314	 * 	260.93	ACR|2VULN|1TLV|2DMG|2CDMG|1SELL	1BELT|2SELL|3RCR|47DMG|57VULN|67CDMG|7BPWR|8BASHEA|9AME|aTLV
62	14315 23153	 * 	260.83	ACR|2VULN|1TLV|2DMG|2CDMG|1SELL	1BELT|2SELL|3RCR|47DMG|57VULN|67CDMG|7BPWR|8aMDPS|9TLV
63	14315 23431	 * 	260.83	ACR|2VULN|1TLV|2DMG|2CDMG|1SELL	1BELT|2SELL|3RCR|47DMG|57VULN|67CDMG|7BPWR|8TLV|9AETHUN|aLEGI
64	14315 23433	 * 	260.83	ACR|2VULN|1TLV|2DMG|2CDMG|1SELL	1BELT|2SELL|3RCR|47DMG|57VULN|67CDMG|7BPWR|8TLV|9AETHUN|aERES
65	21251 41457	 * 	260.83	DCR|2VULN|1TLV|3ASPD|1AEFBLL|1SELL	1FEWX|2SELL|36VULN|467ASPD|5MBVNT|6BPWR|8TLV|9AEFBLL|aRCR
66	21321 41457	 * 	260.83	DCR|2VULN|1TLV|3ASPD|1AEFBLL|1SELL	1FEWX|2SELL|367ASPD|46VULN|5MBVNT|6BPWR|8TLV|9AEFBLL|aRCR
67	15241 22633	   	259.38	DCR|2TLV|2VULN|1AEPOI|1DUR	1BELT|25TLV|3RCVC|4DUR|6RCR|7CGEN|8AEPOI|9aVULN
68	43322 13414	 * 	259.38	ACR|2TLV|2VULN|2CDMG|1DUR	1AAC|28FEWX|3RCR|48CDMG|5DUR|6DUST|78TLV|8BPWR|9aVULN
69	16523 34122	   	259.28	DCR|2TLV|2VULN|2CDMG|1DUR	1BELT|29CDMG|3LEGI|4DUR|59VULN|6DUST|7LIT|89TLV|9BPWR|aRCR
70	16633 34122	   	259.28	DCR|2TLV|2VULN|2CDMG|1DUR	1BELT|29CDMG|3DUR|4LEGI|59VULN|6DUST|7LIT|89TLV|9BPWR|aRCR
71	41435 34341	   	258.94	ACR|DCR|1TLV|1VULN|1CDMG	1AAC|2TLV|3MBVNT|4LWND|57RCR|6AEWIND|8CDMG|9LIT|aVULN
72	36312 66222	   	258.94	ACR|DCR|1TLV|1VULN|1CDMG	1CGEN|2LEGI|3aRCR|4FEWX|5VULN|6TLV|7MLV|8LSRREG|9CDMG
73	36313 66222	   	258.94	ACR|DCR|1TLV|1VULN|1CDMG	1CGEN|2LEGI|3aRCR|4FEWX|5TLV|6VULN|7MLV|8LSRREG|9CDMG
74	15153 32312	   	258.04	DCR|2TLV|1VULN|2DMG|1CDMG	17BELT|23TLV|46DMG|5VULN|8CDMG|9RAT|aRCR
