0	Index      	 *	Score 	Summary	Detail	
1	63771 43424	 * 	374.73	DCR|3VULN|1MDPS|1DUR	1TBNT|2MBVNT|3BBNT|4DMSP|567VULN|8RCR|9DUR|aMDPS
12	23225 61334	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1BEXP|2ASPD|3DUR|4LHND|5LWND|69VULN|7TLV|8RCR|aMDPS
13	23423 51334	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1BEXP|2ASPD|39VULN|4LHND|5LWND|6DUR|7TLV|8RCR|aMDPS
14	33225 61334	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUST|2ASPD|3DUR|4LHND|5LWND|69VULN|7TLV|8RCR|aMDPS
15	33423 51334	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUST|2ASPD|39VULN|4LHND|5LWND|6DUR|7TLV|8RCR|aMDPS
16	51327 83134	 * 	351.63	2MDPS|2VULN|1TLV|1DUR|1AART	1AART|2TLV|3RAT|4MBVNT|56VULN|7DUR|8aMDPS|9FLTARM
17	51327 83141	   	351.63	2MDPS|2VULN|1TLV|1DUR|1AART	1AART|2TLV|3RAT|4MBVNT|56VULN|7DUR|89MDPS|aBELT
18	51327 83142	   	351.63	2MDPS|2VULN|1TLV|1DUR|1AART	1AART|2TLV|3aRAT|4MBVNT|56VULN|7DUR|89MDPS
19	51327 83143	   	351.63	2MDPS|2VULN|1TLV|1DUR|1AART	1AART|2TLV|3RAT|4MBVNT|56VULN|7DUR|89MDPS|aLHND
20	51327 83144	   	351.63	2MDPS|2VULN|1TLV|1DUR|1AART	1AART|2TLV|3RAT|4MBVNT|56VULN|7DUR|89MDPS|aRMIN
21	53333 11532	   	351.16	ACR|2VULN|1MDPS|1TLV|1DMG|1DUR|1AART	1AART|2RCR|3RAT|49VULN|5DUR|6TLV|7DMG|8BOSS|aMDPS
22	32226 13543	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1DUST|2AEBURN|38VULN|4DUR|5DMG|6TBNT|7RAT|9RCR|aMDPS
23	32226 15143	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	1DUST|2AEBURN|37VULN|4DUR|5DMG|6TBNT|8RAT|9RCR|aMDPS
24	36223 21653	 * 	347.77	DCR|1MDPS|1VULN|2TLV|1CDMG|1DUR	126DUST|3VULN|4DUR|56TLV|6BPWR|7BBNT|8RCR|9CDMG|aMDPS
25	32161 23151	 * 	345.41	ACR|2MDPS|1VULN|1CDMG|1DUR	1DUST|2AEBURN|3ZMB|4RCR|5CDMG|6DUR|7RPLT|8VULN|9aMDPS
26	36161 23151	   	345.41	ACR|2MDPS|1VULN|1CDMG|1DUR	12DUST|3ZMB|4RCR|5CDMG|6DUR|7RPLT|8VULN|9aMDPS
27	55142 22132	   	344.89	DCR|2VULN|1MDPS|1DUR|1AART	1AART|2LHND|3FEWX|4MLV|59VULN|6DUR|7RMIN|8RCR|aMDPS
28	55242 22132	   	344.89	DCR|2VULN|1MDPS|1DUR|1AART	1AART|2LHND|3BEXP|4MLV|59VULN|6DUR|7RMIN|8RCR|aMDPS
29	52332 24163	   	344.83	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1AART	1AART|25ZMB|3RAT|4VULN|6CDMG|7RCR|8TLV|9DUR|aMDPS
30	26231 16132	   	344.79	DCR|2VULN|1MDPS|1DUR|1AART	16BEXP|2DUST|3LHND|4AART|59VULN|7DUR|8RCR|aMDPS
31	26251 16132	   	344.79	DCR|2VULN|1MDPS|1DUR|1AART	16BEXP|2DUST|3LHND|49VULN|5AART|7DUR|8RCR|aMDPS
32	55342 22132	   	344.79	DCR|2VULN|1MDPS|1DUR|1AART	1AART|2LHND|3DUST|4MLV|59VULN|6DUR|7RMIN|8RCR|aMDPS
33	51333 24363	   	344.73	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1AART	1AART|2TLV|3RAT|4VULN|5AEFRZ|6CDMG|7RCR|8AAC|9DUR|aMDPS
