0	Index      	 *	Score 	Summary	Detail	
1	34116 43213	 * 	345.61	ACR|DCR|1MDPS|1VULN|1CDMG|1DUR	1BEXP|2ZMB|3CDMG|48RCR|5AAC|6VULN|7RCVC|9DUR|aMDPS
19	12223 42251	   	331.24	DCR|2VULN|1MDPS|1DUR	13RAT|235ZMB|35BPWR|45VULN|6RCR|7ERES|8DUR|9MDPS|aBELT
20	12223 42252	   	331.24	DCR|2VULN|1MDPS|1DUR	13RAT|235ZMB|35BPWR|45VULN|6RCR|7ERES|8DUR|9MDPS|aRCVC
21	12223 42253	   	331.24	DCR|2VULN|1MDPS|1DUR	13RAT|235ZMB|35BPWR|45VULN|6RCR|7ERES|8DUR|9MDPS|aNUKE
22	12223 42254	   	331.24	DCR|2VULN|1MDPS|1DUR	13RAT|235ZMB|35BPWR|45VULN|6RCR|7ERES|8DUR|9MDPS|aMBVNT
23	12223 42255	   	331.24	DCR|2VULN|1MDPS|1DUR|1SELL	13RAT|235ZMB|35BPWR|45VULN|6RCR|7ERES|8DUR|9MDPS|aSELL
24	12223 42256	   	331.24	DCR|2VULN|1MDPS|1DUR	13RAT|235ZMB|35BPWR|45VULN|6RCR|7ERES|8DUR|9MDPS|aCGEN
25	33266 33531	 * 	331.08	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1BEXP|2BASARM|3TLV|4RAT|5VULN|6DUR|7LIT|8RCR|9CDMG|aMDPS
26	51253 24331	   	331.04	DCR|2VULN|1MDPS|1DUR	1LHND|2DUR|3BEXP|4DUST|56VULN|7RCR|8RMIN|9MDPS|aBELT
27	51253 24332	   	331.04	DCR|2VULN|1MDPS|1DUR	1LHND|2DUR|3aBEXP|4DUST|56VULN|7RCR|8RMIN|9MDPS
28	51253 24333	   	331.04	DCR|2VULN|1MDPS|2DUR	1LHND|2aDUR|3BEXP|4DUST|56VULN|7RCR|8RMIN|9MDPS
29	51433 14331	   	331.04	DCR|2VULN|1MDPS|1DUR	1LHND|2DUR|35VULN|4LEGI|6BEXP|7RCR|8RMIN|9MDPS|aFEWX
30	51433 14332	   	331.04	DCR|2VULN|1MDPS|1DUR	1LHND|2DUR|35VULN|4LEGI|6BEXP|7RCR|8RMIN|9MDPS|aLIT
31	51433 14333	   	331.04	DCR|2VULN|1MDPS|1DUR	1LHND|2DUR|35VULN|4LEGI|6BEXP|7RCR|8RMIN|9MDPS|aERES
32	51433 14131	   	330.94	DCR|2VULN|1MDPS|1DUR	1LHND|2DUR|35VULN|4LEGI|6BEXP|7RCR|8ERES|9MDPS|aFEWX
33	51433 14132	   	330.94	DCR|2VULN|1MDPS|1DUR	1LHND|2DUR|35VULN|4LEGI|6BEXP|7RCR|8ERES|9MDPS|aLIT
34	51433 14133	   	330.94	DCR|2VULN|1MDPS|1DUR	1LHND|2DUR|35VULN|4LEGI|6BEXP|7RCR|8aERES|9MDPS
35	51253 24131	   	330.94	DCR|2VULN|1MDPS|1DUR	1LHND|2DUR|3BEXP|4DUST|56VULN|7RCR|8ERES|9MDPS|aBELT
36	51253 24132	   	330.94	DCR|2VULN|1MDPS|1DUR	1LHND|2DUR|3aBEXP|4DUST|56VULN|7RCR|8ERES|9MDPS
37	51253 24133	   	330.94	DCR|2VULN|1MDPS|2DUR	1LHND|2aDUR|3BEXP|4DUST|56VULN|7RCR|8ERES|9MDPS
38	42124 21433	 * 	328.74	3VULN|1MDPS|1CDMG|1TLV|1DUR	1DUR|2TLV|3CDMG|4MLV|589VULN|6BEXP|7BOSS|aMDPS
39	32116 26213	 * 	328.65	ACR|DCR|1MDPS|1CDMG|1TLV|1DMG|1DUR	1BEXP|2TLV|3CDMG|48RCR|5AAC|6ERES|7DMG|9DUR|aMDPS
40	42116 26223	   	328.65	ACR|DCR|1MDPS|1CDMG|1TLV|1DMG|1DUR	1DUR|2TLV|3CDMG|48RCR|5AAC|6ERES|7DMG|9BEXP|aMDPS
41	51433 31633	 * 	327.54	3VULN|1MDPS|2CDMG|2DUR	18LHND|29DUR|358VULN|4LEGI|68CDMG|7BOSS|8BPWR|aMDPS
42	43121 61111	 * 	324.13	2MDPS|2VULN|2DUR	17DUR|2BASARM|3TBNT|47DUST|57VULN|6BOSS|7BPWR|89MDPS|aFEWX
43	43121 61112	   	324.13	2MDPS|2VULN|2DUR	17DUR|2BASARM|3TBNT|47DUST|57VULN|6BOSS|7BPWR|89MDPS|aBEXP
44	43121 61113	 * 	324.13	DCR|2MDPS|2VULN|2DUR	17DUR|2BASARM|3TBNT|47DUST|57VULN|6BOSS|7BPWR|89MDPS|aRCR
45	43121 61114	   	324.13	2MDPS|2VULN|2DUR	17DUR|2BASARM|3TBNT|47aDUST|57VULN|6BOSS|7BPWR|89MDPS
46	43121 61115	 * 	324.13	2MDPS|2VULN|3DUR	17aDUR|2BASARM|3TBNT|47DUST|57VULN|6BOSS|7BPWR|89MDPS
47	43121 61116	   	324.13	2MDPS|2VULN|2DUR	17DUR|2BASARM|3TBNT|47DUST|57VULN|6BOSS|7BPWR|89MDPS|aLHND
48	16121 32154	   	323.84	DCR|1MDPS|1VULN|1TLV|1DMG|1DUR	1RAT|2LIT|3DUR|4DMG|5TLV|6RPLT|7VULN|8BEXP|9RCR|aMDPS
49	51212 35225	 * 	320.67	DCR|1MDPS|1VULN|2TLV|1DUR	1LHND|2DUR|3BEXP|47TLV|5LIT|6LWND|8RCR|9VULN|aMDPS
50	12123 66612	   	318.63	DCR|1MDPS|1VULN|1CDMG|1DUR|1AART	1RAT|2ZMB|39LHND|4VULN|5CDMG|6RCR|7AART|8DUR|aMDPS
51	12123 66632	   	318.63	DCR|1MDPS|1VULN|1CDMG|1DUR|1AART	19RAT|2ZMB|3LHND|4VULN|5CDMG|6RCR|7AART|8DUR|aMDPS
52	41335 14123	   	318.53	DCR|1MDPS|1VULN|1CDMG|1DUR|1AART	1DUR|2AART|3AETHUN|4FEWX|5VULN|6ZMB|7RCR|8LIT|9CDMG|aMDPS
53	54112 33533	 * 	318.44	ACR|2VULN|1MDPS|1CDMG|1DUR	1LHND|2ZMB|3CDMG|4RCR|5MSLFST|6DUR|79VULN|8BBNT|aMDPS
54	12442 32216	   	318.44	ACR|2VULN|1MDPS|1CDMG|1DUR	1RAT|2ZMB|3RCR|4DUST|5DUR|6CDMG|79VULN|8TBNT|aMDPS
55	44112 23533	   	318.44	ACR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2ZMB|3CDMG|4RCR|5MSLFST|6FEWX|79VULN|8BBNT|aMDPS
56	44112 13533	   	318.34	ACR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2ZMB|3CDMG|4RCR|5MSLFST|6DUST|79VULN|8BBNT|aMDPS
57	51211 36125	 * 	316.43	DCR|1MDPS|1VULN|2DUR|1TLV	18LHND|28DUR|3BEXP|4TLV|5BOSS|68LWND|7RCR|8BPWR|9VULN|aMDPS
58	41325 53314	   	315.88	3VULN|1MDPS|1CDMG|1DUR|1AART	1DUR|2AART|3AETHUN|457VULN|6BBNT|8CDMG|9MBVNT|aMDPS
