0	Index      	 *	Score 	Summary	Detail	
1	41311 25353	 * 	213.89	ACR|3VULN|3DMG|1AART|3DUR	1RMIN|2RCR|357DMG|457DUR|57BPWR|67aVULN|8LWND|9AART
41	14313 22155	   	192.71	DCR|2VULN|2DMG|1AART|3DUR|1CDMG	19VULN|289DUR|3CDMG|4LHND|59DMG|6AART|7RCR|9BPWR|aRPLT
42	14313 22156	   	192.71	DCR|2VULN|2DMG|1AART|3DUR|1CDMG	19VULN|289DUR|3CDMG|4LHND|59DMG|6AART|7RCR|9BPWR|aLWND
43	14313 22152	   	192.61	DCR|2VULN|2DMG|1AART|3DUR|1CDMG	19VULN|289DUR|3CDMG|4LHND|59DMG|6AART|7RCR|9BPWR|aERES
44	41226 15221	 * 	192.01	ACR|3VULN|1AART|3CDMG|2DUR	1RMIN|2RCR|36aVULN|4ASPD|5AART|78aCDMG|9aDUR|aBPWR
45	41331 64232	 * 	191.93	ACR|2VULN|2DMG|2AART|1FLTHEA	1RMIN|2RCR|35DMG|4LIT|6aVULN|7FLTHEA|89AART
46	41326 15323	   	191.43	ACR|3VULN|2DMG|1AART	1RMIN|2RCR|39DMG|469VULN|5AART|7DMSP|89CGEN|9BPWR|aASPD
47	41326 32251	   	191.23	ACR|3VULN|2DMG|1AART	1RMIN|2RCR|3aDMG|479VULN|5AART|6DUR|8LIT
48	41326 14122	   	191.13	ACR|3VULN|2DMG|1AART	1RMIN|2RCR|37DMG|46aVULN|5AART|8BASICY|9DUR
49	41326 14133	   	191.13	ACR|3VULN|2DMG|1AART	1RMIN|2RCR|37DMG|46aVULN|5AART|8BASICY|9ASPD
50	12351 22155	   	190.63	ACR|2VULN|2DMG|1AART|1CDMG|2ASPD	19VULN|29LHND|3CDMG|4RCR|5aASPD|6AART|7RMIN|89DMG|9BPWR
51	12333 22255	   	190.54	DCR|2VULN|2DMG|1AART|1CDMG	19VULN|289LHND|3CDMG|4DUR|59DMG|6AART|7RCR|9BPWR|aASPD
52	32435 25232	   	190.47	ACR|3VULN|2DMG|1CDMG|2DUR|1ZMB	137MLV|23DUR|37BPWR|4RCR|57DMG|679VULN|8CDMG|aZMB
53	32435 25322	   	190.47	ACR|3VULN|2DMG|1CDMG|2DUR|1ZMB	137MLV|23DUR|37BPWR|4RCR|57DMG|678VULN|9CDMG|aZMB
54	12351 22151	   	190.33	ACR|2VULN|2DMG|1AART|2CDMG	19VULN|29LHND|3aCDMG|4RCR|5ASPD|6AART|7RMIN|89DMG|9BPWR
55	32335 25332	   	190.18	ACR|4VULN|3DMG	137MLV|2DUR|4RCR|579DMG|678aVULN|7BPWR
56	41335 24232	 * 	190.10	ACR|3VULN|2AART|1DMG|1FLTHEA	1RMIN|2RCR|3DMG|46LIT|56aVULN|6BPWR|7FLTHEA|89AART
57	41311 25123	   	190.09	ACR|3VULN|3DMG|3DUR	1RMIN|2RCR|357DMG|457DUR|57BPWR|67aVULN|8RCVC|9LIT
58	41311 25153	   	190.09	ACR|3VULN|3DMG|3DUR	1RMIN|2RCR|357DMG|457DUR|57BPWR|67aVULN|8RCVC|9MLV
59	41311 25161	   	190.09	ACR|3VULN|3DMG|3DUR	1RMIN|2RCR|357DMG|457DUR|57BPWR|679VULN|8RCVC|aLHND
60	41311 25162	   	190.09	ACR|3VULN|3DMG|3DUR	1RMIN|2RCR|357DMG|457DUR|57BPWR|679VULN|8RCVC|aMLV
61	41311 25214	   	190.09	ACR|3VULN|3DMG|3DUR	1RMIN|2RCR|357DMG|457DUR|57BPWR|67aVULN|8LIT|9BELT
62	41311 25511	   	190.09	ACR|3VULN|3DMG|3DUR	1RMIN|2RCR|357DMG|457DUR|57BPWR|678VULN|9aLHND
63	41311 25512	   	190.09	ACR|3VULN|3DMG|3DUR	1RMIN|2RCR|357DMG|457DUR|57BPWR|678VULN|9LHND|aMLV
64	41311 25143	   	189.99	ACR|3VULN|3DMG|3DUR	1RMIN|2RCR|357DMG|457DUR|57BPWR|67aVULN|8RCVC|9TLV
65	41311 25163	   	189.99	ACR|3VULN|3DMG|3DUR	1RMIN|2RCR|357DMG|457DUR|57BPWR|679VULN|8RCVC|aTLV
66	41311 25513	   	189.99	ACR|3VULN|3DMG|3DUR	1RMIN|2RCR|357DMG|457DUR|57BPWR|678VULN|9LHND|aTLV
67	41311 25522	   	189.99	ACR|3VULN|3DMG|3DUR	1RMIN|2RCR|357DMG|457DUR|57BPWR|678VULN|9LIT|aERES
68	12333 22251	   	189.92	DCR|2VULN|2DMG|1AART|2CDMG	19VULN|289LHND|3aCDMG|4DUR|59DMG|6AART|7RCR|9BPWR
69	41311 25133	   	189.84	ACR|3VULN|3DMG|3DUR|1SELL	1RMIN|2RCR|357DMG|457DUR|57BPWR|67aVULN|8RCVC|9SELL
70	41311 25531	   	189.84	ACR|3VULN|3DMG|3DUR|1SELL	1RMIN|2RCR|357DMG|457DUR|57BPWR|678VULN|9SELL|aLHND
71	41311 25532	   	189.84	ACR|3VULN|3DMG|3DUR|1SELL	1RMIN|2RCR|357DMG|457DUR|57BPWR|678VULN|9SELL|aCGEN
72	12313 22455	   	189.82	DCR|2VULN|2DMG|1AART|2CDMG	19VULN|28LHND|39CDMG|4LEGI|59DMG|6AART|7RCR|9BPWR|aASPD
73	53452 22132	 * 	189.58	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	19ZMB|2AART|3FEWX|49CDMG|5ASPD|6LWND|7RCR|89DMG|9BPWR|aVULN
74	53352 22132	   	189.48	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	19ZMB|2AART|3DUST|49CDMG|5ASPD|6LWND|7RCR|89DMG|9BPWR|aVULN
75	41326 36133	   	189.22	ACR|2VULN|2DMG|1AART|1CDMG	1RMIN|2RCR|38DMG|4aVULN|5AART|6DUR|7CDMG|9CGEN
76	41335 32122	 * 	189.15	ACR|3VULN|2DMG|2CDMG|1ZMB	1RMIN|2RCR|3aDMG|4LIT|59aVULN|6DUST|7ZMB|8aCDMG|aBPWR
77	41215 22253	   	188.95	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1RMIN|2RCR|346VULN|5DMG|7LWND|8ZMB|9AART|aCDMG
78	32435 25313	   	188.92	ACR|3VULN|2DMG|1AART|2DUR	137MLV|23DUR|37BPWR|4RCR|57DMG|678VULN|9ERES|aAART
79	12313 22451	 * 	188.92	DCR|2VULN|2DMG|3CDMG|1AART	19VULN|28LHND|39aCDMG|4LEGI|59DMG|6AART|7RCR|9BPWR
80	12333 22153	   	188.90	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	19VULN|29LHND|3CDMG|48DUR|59DMG|6AART|7RCR|9BPWR|aBEXP
81	12333 22154	   	188.90	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	19VULN|29LHND|3CDMG|48DUR|59DMG|6AART|7RCR|9BPWR|aCGEN
82	12333 22156	   	188.90	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	19VULN|29aLHND|3CDMG|48DUR|59DMG|6AART|7RCR|9BPWR
83	14313 22253	   	188.90	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	19VULN|29DUR|3CDMG|48LHND|59DMG|6AART|7RCR|9BPWR|aBEXP
84	14313 22254	   	188.90	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	19VULN|29DUR|3CDMG|48LHND|59DMG|6AART|7RCR|9BPWR|aCGEN
85	14313 22256	   	188.90	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	19VULN|29DUR|3CDMG|48aLHND|59DMG|6AART|7RCR|9BPWR
86	31335 25621	   	188.79	ACR|3VULN|2DMG|1AART|1ZMB	137MLV|2DUST|4RCR|57DMG|67aVULN|7BPWR|8AART|9ZMB
87	12536 34333	   	188.70	ACR|3VULN|1AART|1DMG|2ASPD|1CDMG	179VULN|2LHND|37CGEN|4RCR|57ASPD|6AART|7BPWR|8DMG|aCDMG
88	41221 36352	 * 	188.29	ACR|3VULN|1AART|2ZMB|2ASPD|1CDMG	1RMIN|2RCR|39aVULN|49ASPD|5LWND|6AART|7CDMG|89ZMB|9BPWR
89	12352 21161	 * 	188.20	ACR|3VULN|1AART|1DMG|2ZMB|1CDMG	16aVULN|2aLHND|3CDMG|4RCR|5RCVC|7DMG|8aZMB|9AART|aBPWR
90	12353 21161	   	188.20	ACR|3VULN|1AART|1DMG|2ZMB|1CDMG	16aVULN|25aLHND|3CDMG|4RCR|7DMG|8aZMB|9AART|aBPWR
91	32335 25236	   	188.17	ACR|4VULN|2DMG|1CDMG	137MLV|2DUR|4RCR|57DMG|679aVULN|7BPWR|8CDMG
92	32335 25326	   	188.17	ACR|4VULN|2DMG|1CDMG	137MLV|2DUR|4RCR|57DMG|678aVULN|7BPWR|9CDMG
93	41311 25311	   	188.08	ACR|3DMG|2VULN|3DUR|1CDMG	1RMIN|2RCR|357DMG|457DUR|57BPWR|67VULN|8LWND|9CDMG|aCGEN
94	41311 25313	   	188.08	ACR|3DMG|2VULN|3DUR|1CDMG	1RMIN|2RCR|357DMG|457DUR|57BPWR|67VULN|8LWND|9CDMG|aLIT
95	41311 25314	   	188.08	ACR|3DMG|2VULN|3DUR|1CDMG	1RMIN|2RCR|357DMG|457DUR|57BPWR|67VULN|8LWND|9CDMG|aBEXP
96	41311 25316	   	187.98	ACR|3DMG|2VULN|3DUR|1CDMG	1RMIN|2RCR|357DMG|457DUR|57BPWR|67VULN|8LWND|9CDMG|aDLOT
97	41311 25335	   	187.98	ACR|3DMG|2VULN|3DUR|2ASPD	1RMIN|2RCR|357DMG|457DUR|57BPWR|67VULN|8LWND|9aASPD
98	41215 23521	   	187.94	ACR|4VULN|3DMG	1RMIN|2RCR|3469VULN|589DMG|7DMSP|9BPWR|aFEWX
99	41215 23522	   	187.94	ACR|4VULN|3DMG	1RMIN|2RCR|3469VULN|589DMG|7DMSP|9BPWR|aBELT
100	41215 23523	   	187.94	ACR|4VULN|3DMG	1RMIN|2RCR|3469VULN|589DMG|7DMSP|9BPWR|aRCVC
101	41326 11326	 * 	187.50	ACR|4VULN|1AART|1DMG|1SELL	1RMIN|2RCR|3DMG|468aVULN|5AART|7SELL|9DUR
102	41326 12633	   	187.29	ACR|3VULN|1AART|1DMG|1CDMG	1RMIN|2RCR|3DMG|469VULN|5AART|7BEXP|8ASPD|aCDMG
103	41326 32133	   	187.29	ACR|3VULN|1AART|1DMG|1CDMG	1RMIN|2RCR|3DMG|479VULN|5AART|6DUR|8CGEN|aCDMG
104	41215 22222	 * 	187.24	ACR|4VULN|2DMG|2ZMB	1RMIN|2RCR|3469VULN|5aDMG|79LWND|89ZMB|9BPWR
105	41323 21426	   	187.14	ACR|3VULN|3DMG|1CDMG|1SELL	1RMIN|2RCR|378DMG|469VULN|5SELL|aCDMG
106	32335 25334	   	187.08	ACR|3VULN|3DMG|1ZMB	137MLV|2DUR|4RCR|579DMG|678VULN|7BPWR|aZMB
107	11227 64731	   	186.80	DCR|3VULN|2DMG|2CDMG	189VULN|28CDMG|3BEXP|4MBVNT|5DUR|68DMG|7RCR|8BPWR|aASPD
108	41335 11522	   	186.69	ACR|3VULN|2DMG|2ZMB|1CDMG	1RMIN|2RCR|3aDMG|4LIT|59aVULN|6CDMG|7DUST|8aZMB|aBPWR
109	41326 32324	   	186.57	ACR|2VULN|2DMG|1AART|1ZMB	1RMIN|2RCR|3aDMG|47VULN|5AART|6DUR|8LWND|9ZMB
110	41262 31352	 * 	186.54	ACR|4VULN|1AART|1DMG	1RMIN|2RCR|3689VULN|4BELT|5DUR|7AART|aDMG
111	41226 11321	   	186.48	ACR|4VULN|1AART|2ASPD|2DUR|1SELL	1RMIN|2RCR|368aVULN|4aASPD|5AART|7SELL|9aDUR|aBPWR
112	41215 26221	   	186.19	ACR|4VULN|1DMG|1CDMG|1ZMB	1RMIN|2RCR|3469VULN|5DMG|7CDMG|8ZMB|aASPD
113	53612 22161	   	186.16	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2AART|3CDMG|4DUR|5ASPD|6LWND|7RCR|8DMG|9aVULN
114	41262 31122	   	186.09	ACR|3VULN|1AART|1DMG|1CDMG	1RMIN|2RCR|369VULN|4BELT|5DUR|7AART|8CDMG|aDMG
115	41262 31342	   	186.09	ACR|3VULN|1AART|1DMG|1CDMG	1RMIN|2RCR|368VULN|4BELT|5DUR|7AART|9CDMG|aDMG
116	53352 32161	   	186.06	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2AART|3DUST|4CDMG|5ASPD|6DUR|7RCR|8DMG|9aVULN
117	41321 32524	   	185.97	ACR|2VULN|2DMG|1AART|1ZMB	1RMIN|2RCR|3aDMG|47VULN|5LWND|6AART|8DUR|9ZMB
118	41311 24323	 * 	185.47	ACR|3DMG|2VULN|2ZMB|2DUR	1RMIN|2RCR|35aDMG|45DUR|5aBPWR|6aVULN|7LHND|8LIT|9aZMB
119	41311 25121	   	185.44	ACR|3DMG|2VULN|3DUR|1ZMB	1RMIN|2RCR|357DMG|457DUR|57BPWR|67VULN|8RCVC|9LIT|aZMB
120	41211 31324	   	185.37	ACR|2VULN|2DMG|1AART|1ZMB	1RMIN|2RCR|34VULN|5DUR|6FEWX|7AART|8aDMG|9ZMB
121	41323 63216	   	185.35	ACR|2VULN|2DMG|1AART|2CDMG|1SELL	1RMIN|2RCR|39DMG|49VULN|5SELL|6ERES|7SNIHEL|89CDMG|9BPWR|aAART
122	41211 41324	   	185.27	ACR|2VULN|2DMG|1AART|1ZMB	1RMIN|2RCR|34VULN|5DUR|6DUST|7AART|8aDMG|9ZMB
123	41321 61633	 * 	185.09	ACR|3DMG|2VULN|2CDMG	1RMIN|2RCR|389DMG|48VULN|5LWND|6BASICY|78CDMG|8BPWR|aDUR
124	32335 25232	   	185.08	ACR|3VULN|2DMG|1CDMG|1ZMB	137MLV|2DUR|4RCR|57DMG|679VULN|7BPWR|8CDMG|aZMB
125	32335 25322	   	185.08	ACR|3VULN|2DMG|1CDMG|1ZMB	137MLV|2DUR|4RCR|57DMG|678VULN|7BPWR|9CDMG|aZMB
126	41226 24233	   	184.99	ACR|3VULN|2AART|1DMG	1RMIN|2RCR|38aVULN|4ASPD|57AART|6CANSTR|9DMG
127	41326 24222	   	184.99	ACR|3VULN|2AART|1DMG	1RMIN|2RCR|3DMG|48aVULN|57AART|6CANSTR|9DUR
128	41326 24233	   	184.99	ACR|3VULN|2AART|1DMG	1RMIN|2RCR|3DMG|48aVULN|57AART|6CANSTR|9ASPD
129	32335 25612	   	184.83	ACR|3DMG|2VULN|1AART	137MLV|2DUR|4RCR|57aDMG|67VULN|7BPWR|8AART|9RPLT
130	32335 25631	   	184.83	ACR|3VULN|2DMG|1AART	137MLV|2DUR|4RCR|57DMG|67aVULN|7BPWR|8AART|9CGEN
131	41335 11532	 * 	184.57	ACR|2VULN|2DMG|3ZMB|1CDMG	1RMIN|2RCR|3aDMG|4LIT|5aVULN|6CDMG|7DUST|89aZMB|aBPWR
132	53614 22123	   	184.51	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1ZMB|2AART|3CDMG|49DUR|5aVULN|6CGEN|7RCR|8DMG
133	41323 21425	   	184.50	ACR|3VULN|3DMG|1ZMB|1SELL	1RMIN|2RCR|378DMG|469VULN|5SELL|aZMB
134	41326 15322	   	184.49	ACR|3VULN|2DMG|1AART	1RMIN|2RCR|39DMG|469VULN|5AART|7DMSP|89CGEN|9BPWR|aFEWX
135	36535 13112	 * 	184.45	ACR|3VULN|2DMG|2FLTHEA|1ZMB	139MLV|238VULN|39BPWR|4RCR|59DMG|69FLTHEA|7MBVNT|aZMB
136	41326 12251	   	184.29	ACR|3VULN|2DMG|1AART	1RMIN|2RCR|3aDMG|469VULN|5AART|7BEXP|8LIT
137	41326 14333	   	184.29	ACR|3VULN|2DMG|1AART	1RMIN|2RCR|37DMG|46aVULN|5AART|8CGEN|9LIT
138	41326 14113	   	184.19	ACR|3VULN|2DMG|1AART	1RMIN|2RCR|37DMG|469VULN|5AART|8BASICY|aDMSP
139	41326 53322	   	184.19	ACR|3DMG|2VULN|1AART	1RMIN|2RCR|389DMG|49VULN|5AART|679ERES|9BPWR|aFEWX
140	41326 53323	   	184.19	ACR|3DMG|2VULN|1AART	1RMIN|2RCR|389DMG|49VULN|5AART|679ERES|9BPWR|aBEXP
141	12352 21166	   	184.15	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	16aVULN|2LHND|3CDMG|4RCR|5RCVC|7DMG|8ZMB|9AART
142	12353 21166	   	184.15	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	16aVULN|25LHND|3CDMG|4RCR|7DMG|8ZMB|9AART
143	41326 14111	   	184.09	ACR|3VULN|2DMG|1AART	1RMIN|2RCR|37DMG|469VULN|5AART|8BASICY|aTLV
144	41326 14112	   	184.09	ACR|3VULN|2DMG|1AART	1RMIN|2RCR|37DMG|469VULN|5AART|8BASICY|aERES
145	41311 21625	   	184.07	ACR|3DMG|2VULN|1CDMG|2DUR	1RMIN|2RCR|358DMG|45DUR|5BPWR|6aVULN|7RPLT|9CDMG
146	12351 22153	   	184.02	ACR|2VULN|2DMG|1AART|1CDMG	19VULN|29LHND|3CDMG|4RCR|5ASPD|6AART|7RMIN|89DMG|9BPWR|aBEXP
147	12351 22154	   	184.02	ACR|2VULN|2DMG|1AART|1CDMG	19VULN|29LHND|3CDMG|4RCR|5ASPD|6AART|7RMIN|89DMG|9BPWR|aCGEN
148	12351 22156	   	184.02	ACR|2VULN|2DMG|1AART|1CDMG	19VULN|29LHND|3CDMG|4RCR|5ASPD|6AART|7RMIN|89DMG|9BPWR|aMLV
