0	Index      	 *	Score 	Summary	Detail	
1	13632 24152	 * 	220.05	ACR|5VULN|2DMG|1AART|2DUR	1257aVULN|3AART|4RCR|6FEWX|8aDUR|9aDMG|aBPWR
29	13632 22543	   	192.76	ACR|4VULN|1AART|1DMG|1CDMG	1259VULN|3AART|4RCR|6FEWX|7DMG|8RCVC|aCDMG
30	13634 43221	 * 	192.03	ACR|3DMG|2AART|2VULN	12VULN|38AART|4RCR|5NUKE|69aDMG|7RPLT
31	13632 62141	   	191.08	ACR|4VULN|1AART|1DMG	1259VULN|3AART|4RCR|6DUR|7DMG|8LIT|aASPD
32	13632 15221	   	190.85	ACR|4VULN|1AART|1DMG|1CDMG	125aVULN|3AART|4RCR|6CDMG|78RPLT|9DMG
33	13632 22146	   	190.85	ACR|4VULN|1AART|1DMG|1FLTHEA	1259VULN|3AART|4RCR|6FEWX|7DMG|8LIT|aFLTHEA
34	13632 22164	   	190.85	ACR|4VULN|1AART|1DMG|1CDMG	125aVULN|3AART|4RCR|6FEWX|7DMG|8LIT|9CDMG
35	13632 24423	   	190.85	ACR|4VULN|1AART|1DMG|1CDMG	1257VULN|3AART|4RCR|6FEWX|8CDMG|9DMG|aLWND
36	13632 24431	   	190.85	ACR|4VULN|1AART|1DMG|1CDMG	1257VULN|3AART|4RCR|6FEWX|8CDMG|9BEXP|aDMG
37	13632 31434	   	190.75	ACR|4VULN|2AART|1DMG	125aVULN|38AART|4RCR|6NUKE|7RCVC|9DMG
38	13632 24421	   	190.75	ACR|4VULN|1AART|1DMG|1CDMG	1257VULN|3AART|4RCR|6FEWX|8CDMG|9DMG|aERES
39	13632 14121	   	190.63	ACR|3VULN|1AART|1DMG|1CDMG	125VULN|3AART|4RCR|6CDMG|7ASPD|8DUR|9CGEN|aDMG
40	13632 53411	   	190.63	ACR|3VULN|1AART|1DMG|1CDMG	125VULN|3AART|4RCR|6CGEN|7ASPD|8CDMG|9DUR|aDMG
41	13632 62512	   	190.63	ACR|3VULN|1AART|1DMG|1CDMG	125VULN|3AART|4RCR|6DUR|7DMG|8BELT|9ASPD|aCDMG
42	13632 62613	   	190.53	ACR|3VULN|1AART|1DMG|1CDMG	125VULN|3AART|4RCR|6DUR|7DMG|8CDMG|9LSRHEA|aASPD
43	13632 12611	 * 	190.13	ACR|5VULN|1AART|2CDMG	1259aVULN|3AART|4RCR|69CDMG|79CGEN|8BELT|9BPWR
44	13632 23521	   	190.11	ACR|4VULN|1AART|1DMG|1ZMB	125aVULN|3AART|4RCR|6FEWX|7ZMB|8RCVC|9DMG
45	13632 22533	   	190.10	ACR|3VULN|2AART|1DMG|1CDMG	125VULN|39AART|4RCR|6FEWX|7DMG|8RCVC|aCDMG
