0	Index      	 *	Score 	Summary	Detail	
1	24151 21521	 * 	235.23	ACR|3VULN|3DMG|1AART|1CDMG|1ZMB	1RCR|258DMG|3AART|457VULN|5BPWR|6CDMG|9ASPD|aZMB
46	24151 32123	   	214.54	ACR|3VULN|3DMG|1AART|1ZMB	1RCR|256DMG|3AART|45aVULN|5BPWR|7BELT|8DUST|9ZMB
47	24151 32134	   	214.54	ACR|3VULN|3DMG|1AART|1ZMB	1RCR|256DMG|3AART|459VULN|5BPWR|7BELT|8DUST|aZMB
48	24151 42212	   	213.77	ACR|3VULN|2DMG|1AART|1CDMG|2DUR	1RCR|25DMG|3AART|459VULN|5BPWR|67DUR|8ERES|aCDMG
49	24411 33632	 * 	213.59	ACR|3DMG|2VULN|1AART|3DUR|1CDMG	1RCR|259DMG|369DUR|4LWND|7CDMG|89VULN|9BPWR|aAART
50	24151 31113	   	213.08	ACR|3DMG|2AART|2VULN|1CDMG	1RCR|256DMG|3aAART|45VULN|5BPWR|7MLV|8RPLT|9CDMG
51	24151 31413	   	213.08	ACR|3DMG|2AART|2VULN|1CDMG	1RCR|256DMG|38AART|45VULN|5BPWR|7MLV|9LHND|aCDMG
52	24151 35113	   	213.08	ACR|3DMG|2AART|2VULN|1CDMG	1RCR|256DMG|3aAART|45VULN|5BPWR|7CGEN|8RPLT|9CDMG
53	24151 62212	   	213.08	ACR|3DMG|2AART|2VULN|1CDMG	1RCR|259DMG|36AART|45VULN|5BPWR|78RMIN|aCDMG
54	24151 21221	   	212.98	ACR|3VULN|2AART|2DMG|1CDMG	1RCR|25DMG|3aAART|457VULN|5BPWR|6CDMG|8ERES|9LHND
55	24151 21251	   	212.98	ACR|3VULN|2AART|2DMG|1CDMG	1RCR|25DMG|3aAART|457VULN|5BPWR|6CDMG|8ERES|9FEWX
56	24151 21311	   	212.98	ACR|3VULN|2AART|2DMG|1CDMG	1RCR|25DMG|3aAART|457VULN|5BPWR|6CDMG|8FEWX|9TLV
57	24151 21411	   	212.98	ACR|3VULN|2AART|2DMG|1CDMG	1RCR|25DMG|3aAART|457VULN|5BPWR|6CDMG|8LHND|9TLV
58	24151 21621	   	212.98	ACR|3VULN|2AART|2DMG|1CDMG	1RCR|25DMG|3aAART|457VULN|5BPWR|6CDMG|8TLV|9LHND
59	24151 63132	   	212.98	ACR|3DMG|2AART|2VULN|1CDMG	1RCR|257DMG|36AART|45VULN|5BPWR|8BASICY|9CGEN|aCDMG
60	24151 23125	   	212.88	ACR|2VULN|2DMG|1AART|2CDMG|1FLTHEA	1RCR|25DMG|3AART|45VULN|5BPWR|67CDMG|8RCVC|9FLTHEA|aASPD
61	24151 21241	   	212.54	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	1RCR|25DMG|3AART|457VULN|5BPWR|6CDMG|8ERES|9ZMB|aRCVC
62	24151 21242	   	212.54	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	1RCR|25DMG|3AART|457VULN|5BPWR|6CDMG|8ERES|9ZMB|aLIT
63	24151 21243	   	212.54	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB	1RCR|25DMG|3AART|457VULN|5BPWR|6CDMG|8ERES|9ZMB|aLHND
64	24151 21163	   	212.40	ACR|3VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	1RCR|25DMG|3AART|457VULN|5BPWR|6CDMG|8RCVC|9SELL|aZMB
65	24151 41213	   	211.67	ACR|3DMG|2AART|2VULN|2DUR	1RCR|259DMG|3aAART|45VULN|5BPWR|68DUR|7LHND
66	24151 43213	   	211.67	ACR|3DMG|2AART|2VULN|2DUR	1RCR|259DMG|3aAART|45VULN|5BPWR|68DUR|7BEXP
67	24151 52213	   	211.67	ACR|3DMG|2AART|2VULN|2DUR	1RCR|259DMG|3aAART|45VULN|5BPWR|6LWND|78DUR
68	25136 26211	   	211.54	ACR|4VULN|2DMG|1AART|2ASPD	1RCR|2369VULN|39BPWR|4BEXP|59DMG|7RMIN|89ASPD|aAART
69	25113 23511	   	211.54	ACR|4VULN|2DMG|1AART|2ASPD	1RCR|2369VULN|39BPWR|4LHND|5RMIN|79ASPD|89DMG|aAART
70	25133 23511	   	211.54	ACR|4VULN|2DMG|1AART|2ASPD	1RCR|2369VULN|39BPWR|4BEXP|5RMIN|79ASPD|89DMG|aAART
71	25323 23511	   	211.54	ACR|4VULN|2DMG|1AART|2ASPD	1RCR|2469VULN|3LHND|5RMIN|79ASPD|89DMG|9BPWR|aAART
72	25523 23511	   	211.54	ACR|4VULN|2DMG|1AART|2ASPD	1RCR|2469VULN|3BEXP|5RMIN|79ASPD|89DMG|9BPWR|aAART
73	25613 23511	   	211.54	ACR|4VULN|2DMG|1AART|2ASPD	1RCR|2369VULN|4LHND|5RMIN|79ASPD|89DMG|9BPWR|aAART
74	25633 23511	   	211.54	ACR|4VULN|2DMG|1AART|2ASPD	1RCR|2369VULN|4BEXP|5RMIN|79ASPD|89DMG|9BPWR|aAART
75	25136 23511	   	211.44	ACR|4VULN|2DMG|1AART|2ASPD	1RCR|2369VULN|39BPWR|4BEXP|59DMG|79ASPD|8NUKE|aAART
76	25143 23511	   	211.44	ACR|4VULN|2DMG|1AART|2ASPD	1RCR|2369VULN|39BPWR|4LEGI|5RMIN|79ASPD|89DMG|aAART
77	24151 34133	   	211.22	ACR|3DMG|2VULN|1AART|2DUR|1ZMB	1RCR|256DMG|3AART|45VULN|5BPWR|7aDUR|8ZMB|9BEXP
78	24151 34323	   	211.22	ACR|3DMG|2VULN|1AART|2DUR|1ZMB	1RCR|256DMG|3AART|45VULN|5BPWR|7aDUR|8BEXP|9ZMB
79	24151 34223	   	211.12	ACR|3DMG|2VULN|1AART|2DUR|1ZMB	1RCR|256DMG|3AART|45VULN|5BPWR|7aDUR|8DUST|9ZMB
80	24433 26211	   	210.98	ACR|3VULN|2DMG|1AART|2ZMB|2DUR	1RCR|29DMG|38DUR|49ZMB|5RMIN|679VULN|9BPWR|aAART
81	24151 63233	 * 	210.65	ACR|3DMG|3AART|2VULN	1RCR|257DMG|36aAART|45VULN|5BPWR|8DUR|9RPLT
82	24151 31211	   	210.58	ACR|3VULN|3DMG|1AART	1RCR|256DMG|3AART|45aVULN|5BPWR|7MLV|8LHND|9DUR
83	24151 31351	   	210.58	ACR|3VULN|3DMG|1AART	1RCR|256DMG|3AART|45aVULN|5BPWR|7MLV|8BEXP|9DUR
84	24151 34331	   	210.58	ACR|3VULN|3DMG|1AART	1RCR|256DMG|3AART|45aVULN|5BPWR|7DUR|8BEXP|9RMIN
85	24151 35211	   	210.58	ACR|3VULN|3DMG|1AART	1RCR|256DMG|3AART|45aVULN|5BPWR|7CGEN|8LHND|9DUR
86	24151 32433	   	210.58	ACR|3VULN|3DMG|1AART	1RCR|256DMG|3AART|459VULN|5BPWR|7BELT|8LWND|aASPD
87	24151 63213	   	210.55	ACR|3DMG|3AART|2VULN	1RCR|257DMG|36aAART|45VULN|5BPWR|8DUR|9LEGI
88	24151 34231	   	210.48	ACR|3VULN|3DMG|1AART	1RCR|256DMG|3AART|45aVULN|5BPWR|7DUR|8DUST|9RMIN
89	24151 11114	   	210.44	ACR|3VULN|2AART|2DMG|1ZMB	1RCR|25DMG|39AART|45aVULN|5BPWR|6DMSP|7LIT|8ZMB
90	24151 31431	   	210.44	ACR|3DMG|2AART|2VULN|1ZMB	1RCR|256DMG|38AART|45VULN|5BPWR|7MLV|9ZMB|aLWND
91	24151 31432	   	210.44	ACR|3DMG|2AART|2VULN|1ZMB	1RCR|256DMG|38AART|45VULN|5BPWR|7MLV|9ZMB|aDMSP
92	24151 61123	   	210.44	ACR|3VULN|2AART|2DMG|1ZMB	1RCR|25DMG|36AART|45aVULN|5BPWR|7LIT|8ZMB|9LHND
93	24151 61133	   	210.44	ACR|3VULN|2AART|2DMG|1ZMB	1RCR|25DMG|36AART|45aVULN|5BPWR|7LIT|8ZMB|9LWND
94	24151 62223	   	210.44	ACR|3VULN|2AART|2DMG|1ZMB	1RCR|25DMG|36AART|459VULN|5BPWR|78RMIN|aZMB
95	24151 21131	   	208.58	ACR|3VULN|2DMG|1AART|1CDMG	1RCR|25DMG|3AART|457VULN|5BPWR|6CDMG|8RCVC|9RMIN|aDUR
96	24151 21151	   	208.58	ACR|3VULN|2DMG|1AART|1CDMG	1RCR|25DMG|3AART|457VULN|5BPWR|6CDMG|8RCVC|9MLV|aDUR
97	24151 21325	   	208.58	ACR|3VULN|2DMG|1AART|1CDMG	1RCR|25DMG|3AART|457VULN|5BPWR|6CDMG|8FEWX|9RCVC|aASPD
98	24151 21341	   	208.58	ACR|3VULN|2DMG|1AART|1CDMG	1RCR|25DMG|3AART|457VULN|5BPWR|6CDMG|8FEWX|9LHND|aDUR
99	24151 34311	   	208.58	ACR|3DMG|2VULN|1AART|1CDMG	1RCR|256DMG|3AART|45VULN|5BPWR|7DUR|8BEXP|9CDMG|aCGEN
100	24151 34312	   	208.58	ACR|3DMG|2VULN|1AART|1CDMG	1RCR|256DMG|3AART|45VULN|5BPWR|7DUR|8BEXP|9CDMG|aMLV
101	24151 21211	   	208.48	ACR|3VULN|2DMG|1AART|1CDMG	1RCR|25DMG|3AART|457VULN|5BPWR|6CDMG|8ERES|9LIT|aASPD
102	24151 21213	   	208.48	ACR|3VULN|2DMG|1AART|1CDMG	1RCR|25DMG|3AART|457VULN|5BPWR|6CDMG|8ERES|9LIT|aDUR
103	24151 21235	   	208.48	ACR|3VULN|2DMG|1AART|1CDMG	1RCR|25DMG|3AART|457VULN|5BPWR|6CDMG|8ERES|9MLV|aASPD
104	24151 21331	   	208.48	ACR|3VULN|2DMG|1AART|1CDMG	1RCR|25DMG|3AART|457VULN|5BPWR|6CDMG|8FEWX|9DUST|aDUR
105	24151 21351	   	208.48	ACR|3VULN|2DMG|1AART|1CDMG	1RCR|25DMG|3AART|457VULN|5BPWR|6CDMG|8FEWX|9LEGI|aDUR
106	24151 21431	   	208.48	ACR|3VULN|2DMG|1AART|1CDMG	1RCR|25DMG|3AART|457VULN|5BPWR|6CDMG|8LHND|9DUST|aDUR
107	24151 21611	   	208.48	ACR|3VULN|2DMG|1AART|1CDMG	1RCR|25DMG|3AART|457VULN|5BPWR|6CDMG|8TLV|9LIT|aASPD
108	24151 21613	   	208.48	ACR|3VULN|2DMG|1AART|1CDMG	1RCR|25DMG|3AART|457VULN|5BPWR|6CDMG|8TLV|9LIT|aDUR
109	24151 34211	   	208.48	ACR|3DMG|2VULN|1AART|1CDMG	1RCR|256DMG|3AART|45VULN|5BPWR|7DUR|8DUST|9CDMG|aCGEN
110	24151 34212	   	208.48	ACR|3DMG|2VULN|1AART|1CDMG	1RCR|256DMG|3AART|45VULN|5BPWR|7DUR|8DUST|9CDMG|aMLV
111	21336 26311	   	208.44	ACR|3VULN|2DMG|1AART|2ASPD|1ZMB	1RCR|29FEWX|39ASPD|4ZMB|58DMG|679VULN|9BPWR|aAART
112	24151 21133	 * 	207.95	ACR|3VULN|2DMG|1AART|2CDMG	1RCR|25DMG|3AART|457VULN|5BPWR|6aCDMG|8RCVC|9RMIN
113	24151 21153	   	207.95	ACR|3VULN|2DMG|1AART|2CDMG	1RCR|25DMG|3AART|457VULN|5BPWR|6aCDMG|8RCVC|9MLV
114	24151 23361	   	207.95	ACR|3VULN|2DMG|1AART|2CDMG	1RCR|25DMG|3AART|459VULN|5BPWR|67CDMG|8FEWX|aRCVC
115	24151 23362	   	207.95	ACR|3VULN|2DMG|1AART|2CDMG	1RCR|25DMG|3AART|459VULN|5BPWR|67CDMG|8FEWX|aLIT
116	24151 23363	   	207.95	ACR|3VULN|2DMG|1AART|2CDMG	1RCR|25DMG|3AART|459VULN|5BPWR|67CDMG|8FEWX|aLHND
117	24151 23512	   	207.95	ACR|3DMG|2VULN|1AART|2CDMG	1RCR|258DMG|3AART|45VULN|5BPWR|67CDMG|9RCVC|aLWND
118	24151 23532	   	207.95	ACR|3DMG|2VULN|1AART|2CDMG	1RCR|258DMG|3AART|45VULN|5BPWR|67CDMG|9FEWX|aLSRICY
119	24151 23533	   	207.95	ACR|3DMG|2VULN|1AART|2CDMG	1RCR|258DMG|3AART|45VULN|5BPWR|67CDMG|9FEWX|aLWND
120	24151 23513	   	207.85	ACR|3DMG|2VULN|1AART|2CDMG	1RCR|258DMG|3AART|45VULN|5BPWR|67CDMG|9RCVC|aERES
121	24151 23531	   	207.85	ACR|3DMG|2VULN|1AART|2CDMG	1RCR|258DMG|3AART|45VULN|5BPWR|67CDMG|9FEWX|aDUST
122	24151 62331	   	207.02	ACR|2AART|2VULN|2DMG|2DUR|1ZMB	1RCR|25DMG|36AART|45VULN|5BPWR|7RMIN|8ZMB|9aDUR
123	24151 13233	   	206.37	ACR|3DMG|2AART|2VULN	1RCR|257DMG|3aAART|45VULN|5BPWR|6DMSP|8DUR|9RPLT
124	24151 13243	   	206.37	ACR|3DMG|2AART|2VULN	1RCR|257DMG|3aAART|45VULN|5BPWR|6DMSP|8DUR|9LWND
125	24151 31215	   	206.37	ACR|3DMG|2AART|2VULN	1RCR|256DMG|3aAART|45VULN|5BPWR|7MLV|8LHND|9DUR
126	24151 31421	   	206.37	ACR|3DMG|2AART|2VULN	1RCR|256DMG|38AART|45VULN|5BPWR|7MLV|9DUR|aRMIN
127	24151 31422	   	206.37	ACR|3DMG|2AART|2VULN	1RCR|256DMG|38AART|45VULN|5BPWR|7MLV|9DUR|aLHND
128	24151 34332	   	206.37	ACR|3DMG|2AART|2VULN	1RCR|256DMG|3aAART|45VULN|5BPWR|7DUR|8BEXP|9RMIN
129	24151 63231	   	206.37	ACR|3DMG|2AART|2VULN	1RCR|257DMG|36AART|45VULN|5BPWR|8DUR|9RPLT|aCGEN
130	24151 63232	   	206.37	ACR|3DMG|2AART|2VULN	1RCR|257DMG|36AART|45VULN|5BPWR|8DUR|9RPLT|aMLV
131	24151 13213	   	206.27	ACR|3DMG|2AART|2VULN	1RCR|257DMG|3aAART|45VULN|5BPWR|6DMSP|8DUR|9LEGI
132	24151 31423	   	206.27	ACR|3DMG|2AART|2VULN	1RCR|256DMG|38AART|45VULN|5BPWR|7MLV|9DUR|aSNIHEL
133	24151 34232	   	206.27	ACR|3DMG|2AART|2VULN	1RCR|256DMG|3aAART|45VULN|5BPWR|7DUR|8DUST|9RMIN
134	24151 63111	   	206.27	ACR|3DMG|2AART|2VULN	1RCR|257DMG|36AART|45VULN|5BPWR|8BASICY|9LHND|aDUR
135	24151 63121	   	206.27	ACR|3DMG|2AART|2VULN	1RCR|257DMG|36AART|45VULN|5BPWR|8BASICY|9LWND|aDUR
136	24151 63212	   	206.27	ACR|3DMG|2AART|2VULN	1RCR|257DMG|36AART|45VULN|5BPWR|8DUR|9LEGI|aLWND
137	24151 63221	   	206.27	ACR|3DMG|2AART|2VULN	1RCR|257DMG|36AART|45VULN|5BPWR|8DUR|9ERES|aRMIN
138	24151 63222	   	206.27	ACR|3DMG|2AART|2VULN	1RCR|257DMG|36AART|45VULN|5BPWR|8DUR|9ERES|aLHND
139	24151 63223	   	206.17	ACR|3DMG|2AART|2VULN	1RCR|257DMG|36AART|45VULN|5BPWR|8DUR|9ERES|aSNIHEL
140	24151 23126	   	205.95	ACR|2VULN|2DMG|1AART|2CDMG|1FLTHEA	1RCR|25DMG|3AART|45VULN|5BPWR|67CDMG|8aRCVC|9FLTHEA
141	24151 13234	   	205.93	ACR|3DMG|2VULN|1AART|1ZMB	1RCR|257DMG|3AART|45VULN|5BPWR|6DMSP|8DUR|9RPLT|aZMB
142	24151 13633	   	205.93	ACR|3DMG|2VULN|1AART|1ZMB	1RCR|257DMG|3AART|45VULN|5BPWR|6DMSP|8MLV|9ZMB|aASPD
143	24151 23122	   	205.85	ACR|2VULN|2DMG|1AART|2CDMG|1FLTHEA	1RCR|25DMG|3AART|45VULN|5BPWR|67CDMG|8RCVC|9FLTHEA|aDUST
144	24151 23123	   	205.85	ACR|2VULN|2DMG|1AART|2CDMG|1FLTHEA	1RCR|25DMG|3AART|45VULN|5BPWR|67CDMG|8RCVC|9FLTHEA|aERES
145	24151 23124	   	205.85	ACR|2VULN|2DMG|1AART|2CDMG|1FLTHEA	1RCR|25DMG|3AART|45VULN|5BPWR|67CDMG|8RCVC|9FLTHEA|aDLOT
146	24111 13413	   	205.83	ACR|3DMG|2VULN|1AART|1ZMB	1RCR|279DMG|3AART|4ZMB|5LIT|6ASPD|8aVULN
147	24151 13521	   	205.68	ACR|3DMG|2VULN|1AART|1ZMB|1SELL	1RCR|257DMG|3AART|45VULN|5BPWR|6DMSP|8SELL|9ASPD|aZMB
148	24433 26111	   	205.68	ACR|3VULN|2DMG|1AART|2ZMB	1RCR|29DMG|3DUR|49ZMB|58RMIN|679VULN|9BPWR|aAART
