0	Index      	 *	Score 	Summary	Detail	
1	11245 24333	 * 	179.67	DCR|3VULN|2DMG|1AART	14MLV|24DMG|3RPLT|4BPWR|57aVULN|6RCR|8AART|9TLV
44	25534 21121	   	167.12	DCR|3VULN|1DMG|1CDMG|1FLTHEA|1DUR	1DUR|2LWND|3RPLT|469VULN|5CDMG|7FLTHEA|8RCR|aDMG
45	36213 15353	   	166.95	DCR|2VULN|2DMG|1AART|1DUR	18LIT|2RMIN|3AART|4CGEN|5RPLT|68DMG|78VULN|8BPWR|9RCR|aDUR
46	41123 24322	   	166.92	DCR|4VULN|1AART|1ZMB	157aVULN|2ZMB|3ERES|4RPLT|6RCR|8AART|9SNIHEL
47	41321 14252	   	166.87	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	148VULN|2ZMB|35LIT|6DMG|7RCR|9CDMG|aDUR
48	11312 32563	   	166.80	DCR|4VULN|2DMG|1DUR	1MLV|26DMG|3DUR|4CGEN|5689VULN|6BPWR|7LSRICY|aRCR
49	11312 35563	   	166.70	DCR|4VULN|2DMG|1DUR	1MLV|26DMG|3DUR|4CGEN|5689VULN|6BPWR|7LSRREG|aRCR
50	51312 32563	   	166.70	DCR|4VULN|2DMG|1DUR	1TLV|26DMG|3DUR|4CGEN|5689VULN|6BPWR|7LSRICY|aRCR
51	41123 24311	   	166.57	DCR|3VULN|1AART|1CDMG|1ZMB	157VULN|2ZMB|3ERES|4RPLT|6RCR|8AART|9CDMG|aLIT
52	41123 24315	   	166.57	DCR|3VULN|1AART|1CDMG|1ZMB	157VULN|2ZMB|3ERES|4RPLT|6RCR|8AART|9CDMG|aFEWX
53	41123 24312	   	166.47	DCR|3VULN|1AART|1CDMG|1ZMB	157VULN|2ZMB|3ERES|4RPLT|6RCR|8AART|9CDMG|aDUST
54	41123 24313	   	166.47	DCR|3VULN|1AART|1CDMG|1ZMB	157VULN|2ZMB|3aERES|4RPLT|6RCR|8AART|9CDMG
55	41123 24333	   	166.47	DCR|3VULN|1AART|1CDMG|1ZMB	157VULN|2ZMB|3ERES|4RPLT|6RCR|8AART|9TLV|aCDMG
56	34314 33212	   	166.15	DCR|3VULN|2DMG|1CDMG|1ASPD	1LIT|2CDMG|348VULN|5TLV|6ASPD|79DMG|aRCR
57	34365 23212	   	166.15	DCR|3VULN|2DMG|1CDMG|1ASPD	1LIT|2CDMG|368VULN|4ERES|5ASPD|79DMG|aRCR
58	34214 46472	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|3MBVNT|48VULN|5MLV|6RCR|7DMG|9ASPD|aAART
59	34514 23212	 * 	165.63	DCR|3VULN|2DMG|2CDMG	1LIT|23CDMG|4LWND|568VULN|79DMG|aRCR
60	34214 46441	   	165.33	DCR|4VULN|1DMG|1CDMG	1LIT|2CDMG|3MBVNT|489aVULN|5MLV|6RCR|7DMG
61	32123 42262	   	165.04	DCR|3VULN|2DMG|2DUR|1ASPD	168LIT|27DUR|38DMG|468VULN|5MBVNT|68BPWR|9ASPD|aRCR
62	16333 51314	   	164.61	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1MLV|2ZMB|3DUR|4LIT|589VULN|6CDMG|7AART|aRCR
63	21323 11314	   	164.61	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|489VULN|5CDMG|6MLV|7AART|aRCR
64	21323 31514	   	164.61	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|489VULN|5CDMG|6CGEN|7AART|aRCR
65	21133 51514	   	164.51	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3ERES|4LIT|589VULN|6CDMG|7AART|aRCR
66	21323 21514	   	164.51	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2ZMB|3LIT|489VULN|5CDMG|6TLV|7AART|aRCR
67	11245 21325	   	164.47	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	14MLV|24DMG|3RPLT|4BPWR|5VULN|6RCR|7CGEN|8AART|9ZMB|aDUR
68	11245 23225	   	164.47	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	14MLV|24DMG|3RPLT|4BPWR|5VULN|6RCR|7RMIN|8AART|9ZMB|aDUR
69	32123 42716	 * 	164.31	DCR|3VULN|2DMG|3DUR	16aLIT|278DUR|3aDMG|46aVULN|5MBVNT|6aBPWR|9RCR
70	32363 42716	 * 	164.31	DCR|3DMG|2VULN|3DUR	16aLIT|278DUR|3aVULN|46aDMG|5MBVNT|6aBPWR|9RCR
71	11245 21361	   	164.31	DCR|2VULN|2DMG|1AART	149MLV|24DMG|3aRPLT|49BPWR|59VULN|6RCR|79CGEN|8AART
72	32123 22716	   	164.21	DCR|3VULN|2DMG|3DUR	1aLIT|278DUR|3aDMG|46aVULN|5MBVNT|9RCR|aBPWR
73	32363 22716	   	164.21	DCR|3VULN|2DMG|3DUR	1aLIT|278DUR|36aVULN|4aDMG|5MBVNT|9RCR|aBPWR
74	32123 22271	   	164.21	DCR|3VULN|2DMG|3DUR	18LIT|27aDUR|38DMG|468VULN|5MBVNT|8BPWR|9RCR
75	32363 22271	   	164.21	DCR|3VULN|2DMG|3DUR	18LIT|27aDUR|368VULN|48DMG|5MBVNT|8BPWR|9RCR
76	11245 21362	   	164.21	DCR|2VULN|2DMG|1AART	149MLV|24DMG|3RPLT|49BPWR|59VULN|6RCR|79CGEN|8AART|aDUST
77	11245 21363	   	164.21	DCR|2VULN|2DMG|1AART	149MLV|24DMG|3RPLT|49BPWR|59VULN|6RCR|79CGEN|8AART|aERES
78	11245 21333	   	164.11	DCR|2VULN|2DMG|1AART	14MLV|24DMG|3RPLT|4BPWR|5aVULN|6RCR|79CGEN|8AART
79	31123 28275	   	164.02	DCR|3VULN|2DMG|1CDMG	18LIT|2BEXP|38DMG|468VULN|5MBVNT|7RCVC|8BPWR|9RCR|aCDMG
80	11245 24321	   	164.01	DCR|2VULN|2DMG|1AART	14MLV|24DMG|3RPLT|4BPWR|57VULN|6RCR|8AART|9SNIHEL|aLIT
81	11245 24323	   	164.01	DCR|2VULN|2DMG|1AART	14MLV|24DMG|3RPLT|4BPWR|57VULN|6RCR|8AART|9SNIHEL|aBEXP
82	11245 24331	   	164.01	DCR|2VULN|2DMG|1AART	14MLV|24DMG|3RPLT|4BPWR|57VULN|6RCR|8AART|9TLV|aBEXP
83	11245 24332	   	164.01	DCR|2VULN|2DMG|1AART	14aMLV|24DMG|3RPLT|4BPWR|57VULN|6RCR|8AART|9TLV
84	11245 24322	   	163.91	DCR|2VULN|2DMG|1AART	14MLV|24DMG|3RPLT|4BPWR|57VULN|6RCR|8AART|9SNIHEL|aERES
85	21323 53141	   	163.85	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	18DUR|2ZMB|3LIT|49VULN|5CDMG|6RCR|7AART|aLWND
86	21323 53142	   	163.85	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	18DUR|2ZMB|3LIT|49VULN|5CDMG|6RCR|7AART|aLHND
87	21323 53143	   	163.85	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	18DUR|2ZMB|3LIT|49VULN|5CDMG|6RCR|7AART|aBEXP
88	21323 53233	   	163.85	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	1aDUR|2ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|9CGEN
89	21323 53223	   	163.75	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	1aDUR|2ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|9ERES
90	21323 53263	   	163.75	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	1aDUR|2ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|9TLV
91	41123 21625	   	163.67	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	15VULN|2ZMB|3ERES|4RPLT|6RCR|7CGEN|8DMG|9AART|aDUR
92	21323 53156	 * 	163.65	DCR|3ZMB|1AART|1VULN|1CDMG|2DUR	18DUR|29aZMB|3LIT|4VULN|5CDMG|6RCR|7AART
93	34322 11453	   	163.59	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1LIT|2CDMG|3VULN|4ASPD|5RCR|6MLV|7AART|8DMG|9ZMB|aDUR
94	34322 31453	   	163.59	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1LIT|2CDMG|3VULN|4ASPD|5RCR|6CGEN|7AART|8DMG|9ZMB|aDUR
95	34322 21453	   	163.49	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1LIT|2CDMG|3VULN|4ASPD|5RCR|6TLV|7AART|8DMG|9ZMB|aDUR
96	11245 24132	   	163.41	DCR|2VULN|2DMG|1AART	14MLV|24DMG|3RPLT|4BPWR|57VULN|6RCR|8LHND|9AART|aDUST
97	11245 24133	   	163.41	DCR|2VULN|2DMG|1AART	14MLV|24DMG|3RPLT|4BPWR|57VULN|6RCR|8LHND|9AART|aBASHEA
98	34322 11234	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|38VULN|4ASPD|5RCR|6MLV|7AART|9RPLT|aDMG
99	34322 11261	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|38VULN|4ASPD|5RCR|6MLV|7AART|9DMG|aLWND
100	34322 11262	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|38VULN|4ASPD|5RCR|6MLV|7AART|9DMG|aLHND
101	34322 11263	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|38VULN|4ASPD|5RCR|6MLV|7AART|9DMG|aBEXP
102	34322 11415	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|3aVULN|4ASPD|5RCR|6MLV|7AART|8DMG|9LHND
103	34322 11441	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|39VULN|4ASPD|5RCR|6MLV|7AART|8DMG|aLWND
104	34322 11442	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|39VULN|4ASPD|5RCR|6MLV|7AART|8DMG|aLHND
105	34322 11443	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|39VULN|4ASPD|5RCR|6MLV|7AART|8DMG|aBEXP
106	34322 31163	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|3aVULN|4ASPD|5RCR|6CGEN|7AART|8RPLT|9DMG
107	34322 31234	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|38VULN|4ASPD|5RCR|6CGEN|7AART|9RPLT|aDMG
108	34322 31261	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|38VULN|4ASPD|5RCR|6CGEN|7AART|9DMG|aLWND
109	34322 31262	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|38VULN|4ASPD|5RCR|6CGEN|7AART|9DMG|aLHND
110	34322 31263	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|38VULN|4ASPD|5RCR|6CGEN|7AART|9DMG|aBEXP
111	34322 31441	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|39VULN|4ASPD|5RCR|6CGEN|7AART|8DMG|aLWND
112	34322 31442	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|39VULN|4ASPD|5RCR|6CGEN|7AART|8DMG|aLHND
113	34322 31443	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|39VULN|4ASPD|5RCR|6CGEN|7AART|8DMG|aBEXP
114	34322 51234	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|38VULN|4ASPD|5RCR|6RMIN|7AART|9RPLT|aDMG
115	34322 51261	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|38VULN|4ASPD|5RCR|6RMIN|7AART|9DMG|aLWND
116	34322 51262	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|38VULN|4ASPD|5RCR|6RMIN|7AART|9DMG|aLHND
117	34322 51263	   	163.23	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|38VULN|4ASPD|5RCR|6RMIN|7AART|9DMG|aBEXP
118	34322 21261	   	163.13	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|38VULN|4ASPD|5RCR|6TLV|7AART|9DMG|aLWND
119	34322 21262	   	163.13	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|38VULN|4ASPD|5RCR|6TLV|7AART|9DMG|aLHND
120	34322 21263	   	163.13	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|38VULN|4ASPD|5RCR|6TLV|7AART|9DMG|aBEXP
121	34322 21441	   	163.13	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|39VULN|4ASPD|5RCR|6TLV|7AART|8DMG|aLWND
122	34322 21442	   	163.13	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|39VULN|4ASPD|5RCR|6TLV|7AART|8DMG|aLHND
123	34322 21443	   	163.13	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LIT|2CDMG|39VULN|4ASPD|5RCR|6TLV|7AART|8DMG|aBEXP
124	11245 23312	   	162.91	DCR|2VULN|2DMG|1AART	14MLV|24DMG|3RPLT|4BPWR|58VULN|6RCR|7RMIN|9FEWX|aAART
125	11245 23352	   	162.91	DCR|2VULN|2DMG|1AART	14MLV|24DMG|3RPLT|4BPWR|58VULN|6RCR|7RMIN|9BEXP|aAART
126	51245 23312	   	162.71	DCR|2VULN|2DMG|1AART	14TLV|24DMG|3RPLT|4BPWR|58VULN|6RCR|7RMIN|9FEWX|aAART
127	41123 24225	   	162.68	DCR|4VULN|1DMG|1ZMB	1579VULN|2ZMB|3ERES|4RPLT|6RCR|8BELT|aDMG
128	11312 31631	   	162.65	DCR|2VULN|2DMG|1AART|1DUR	1MLV|26DMG|3DUR|4CGEN|56VULN|6BPWR|7RPLT|8LSRICY|9RCR|aAART
129	11312 32133	   	162.55	DCR|2VULN|2DMG|1AART|1DUR	1MLV|26DMG|3DUR|4CGEN|56VULN|6BPWR|7LSRICY|8DUST|9RCR|aAART
130	11312 32343	   	162.55	DCR|2VULN|2DMG|1AART|1DUR	1MLV|26DMG|3DUR|4CGEN|56VULN|6BPWR|7LSRICY|8ERES|9RCR|aAART
131	51312 31631	   	162.55	DCR|2VULN|2DMG|1AART|1DUR	1TLV|26DMG|3DUR|4CGEN|56VULN|6BPWR|7RPLT|8LSRICY|9RCR|aAART
132	11312 35133	   	162.45	DCR|2VULN|2DMG|1AART|1DUR	1MLV|26DMG|3DUR|4CGEN|56VULN|6BPWR|7LSRREG|8DUST|9RCR|aAART
133	11312 35343	   	162.45	DCR|2VULN|2DMG|1AART|1DUR	1MLV|26DMG|3DUR|4CGEN|56VULN|6BPWR|7LSRREG|8ERES|9RCR|aAART
134	51312 32133	   	162.45	DCR|2VULN|2DMG|1AART|1DUR	1TLV|26DMG|3DUR|4CGEN|56VULN|6BPWR|7LSRICY|8DUST|9RCR|aAART
135	51312 32343	   	162.45	DCR|2VULN|2DMG|1AART|1DUR	1TLV|26DMG|3DUR|4CGEN|56VULN|6BPWR|7LSRICY|8ERES|9RCR|aAART
136	32313 62561	 * 	162.44	DCR|4VULN|3ZMB|1DUR	17LIT|2DUR|3457VULN|679ZMB|7BPWR|8RCR|aCGEN
137	32313 62562	   	162.44	DCR|4VULN|3ZMB|1DUR	17LIT|2DUR|3457VULN|679ZMB|7BPWR|8RCR|aBEXP
138	32313 62563	   	162.44	DCR|4VULN|3ZMB|1DUR	17aLIT|2DUR|3457VULN|679ZMB|7BPWR|8RCR
139	21323 53236	   	162.41	DCR|2VULN|1AART|2ZMB|1CDMG|1DUR	1DUR|2aZMB|3LIT|48VULN|5CDMG|6RCR|7AART|9CGEN
140	21323 53251	   	162.41	DCR|2VULN|1AART|2ZMB|1CDMG|1DUR	1DUR|29ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|aLWND
141	21323 53252	   	162.41	DCR|2VULN|1AART|2ZMB|1CDMG|1DUR	1DUR|29ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|aLHND
142	21323 53253	   	162.41	DCR|2VULN|1AART|2ZMB|1CDMG|1DUR	1DUR|29ZMB|3LIT|48VULN|5CDMG|6RCR|7AART|aBEXP
143	51312 35133	   	162.35	DCR|2VULN|2DMG|1AART|1DUR	1TLV|26DMG|3DUR|4CGEN|56VULN|6BPWR|7LSRREG|8DUST|9RCR|aAART
144	51312 35343	   	162.35	DCR|2VULN|2DMG|1AART|1DUR	1TLV|26DMG|3DUR|4CGEN|56VULN|6BPWR|7LSRREG|8ERES|9RCR|aAART
145	11245 24121	   	162.30	DCR|3VULN|2DMG|1DUR	14MLV|24DMG|3RPLT|4BPWR|57aVULN|6RCR|8LHND|9DUR
146	11245 24221	   	162.30	DCR|3VULN|2DMG|1DUR	14MLV|24DMG|3RPLT|4BPWR|579VULN|6RCR|8BELT|aDUR
147	11155 35323	   	162.28	DCR|2VULN|1AART|1DMG|1CDMG	1MLV|2DMG|3RCVC|4CDMG|58VULN|6AART|7RCR|9FEWX|aBEXP
148	11155 35333	   	162.28	DCR|2VULN|1AART|1DMG|1CDMG	1MLV|2DMG|3RCVC|4CDMG|58VULN|6AART|7RCR|9BEXP|aFEWX
149	11155 35313	   	162.18	DCR|2VULN|1AART|1DMG|1CDMG	1MLV|2DMG|3RCVC|4CDMG|58VULN|6AART|7RCR|9MBVNT|aFEWX
150	11155 35314	   	162.18	DCR|2VULN|1AART|1DMG|1CDMG	1MLV|2DMG|3RCVC|4CDMG|58VULN|6AART|7RCR|9MBVNT|aLIT
151	11155 35321	   	162.18	DCR|2VULN|1AART|1DMG|1CDMG	1MLV|2DMG|3RCVC|4CDMG|58VULN|6AART|7RCR|9FEWX|aBASHEA
152	11155 35331	   	162.18	DCR|2VULN|1AART|1DMG|1CDMG	1MLV|2DMG|3RCVC|4CDMG|58VULN|6AART|7RCR|9BEXP|aBASHEA
153	23534 21153	   	162.14	DCR|2VULN|1AART|1CDMG|1FLTHEA|1DUR|1ASPD	1DUR|2BEXP|3RPLT|46VULN|5CDMG|7FLTHEA|8RCR|9AART|aASPD
154	36316 32253	   	162.13	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LIT|2RMIN|3TLV|4CDMG|5AART|6RCR|7DMG|8VULN|9ZMB|aDUR
155	11155 35311	   	162.08	DCR|2VULN|1AART|1DMG|1CDMG	1MLV|2DMG|3RCVC|4CDMG|58VULN|6AART|7RCR|9MBVNT|aBASHEA
156	11245 23263	 * 	162.08	DCR|3DMG|1AART|1VULN	14MLV|24aDMG|3RPLT|4BPWR|5VULN|6RCR|7RMIN|8AART|9LSRHEA
157	64411 44244	   	162.00	DCR|3VULN|2DMG|1DUR	1DUST|2BELT|3aDMG|4MBVNT|589VULN|6RCR|7DUR
158	42133 65332	   	161.98	DCR|3VULN|1AART|1DMG	157VULN|2CGEN|37ERES|47MLV|6RCR|7BPWR|8AART|9TLV|aDMG
159	33414 23521	   	161.88	DCR|2VULN|1AART|1DMG|1CDMG	17LIT|24CGEN|3CDMG|5AART|6RCR|8DMG|9aVULN
160	51231 23324	   	161.85	DCR|2VULN|2DMG|1AART|1DUR	189TLV|28DMG|3RPLT|4BEXP|5DUR|68VULN|7AART|8BPWR|aRCR
161	36316 32241	   	161.78	DCR|2VULN|1AART|1DMG|1CDMG	1LIT|2RMIN|3TLV|4CDMG|5AART|6RCR|7DMG|89VULN|aLWND
162	36316 32242	   	161.78	DCR|2VULN|1AART|1DMG|1CDMG	1LIT|2RMIN|3TLV|4CDMG|5AART|6RCR|7DMG|89VULN|aLHND
163	36316 32243	   	161.78	DCR|2VULN|1AART|1DMG|1CDMG	1LIT|2RMIN|3TLV|4CDMG|5AART|6RCR|7DMG|89VULN|aBEXP
