0	Index      	 *	Score 	Summary	Detail	
1	21266 13351	 * 	224.57	DCR|4VULN|2DMG|1AART|2ASPD|1CDMG	126aVULN|2aBPWR|3RCVC|4AART|5CDMG|7RCR|8aDMG|9aASPD
20	24632 33613	   	208.64	ACR|3VULN|3DMG|1AART|1ZMB	148VULN|247DMG|3RCR|4BPWR|5AART|6BEXP|9ZMB|aLHND
21	24632 51333	   	208.64	ACR|3VULN|3DMG|1AART|1ZMB	148VULN|247DMG|3RCR|4BPWR|5AART|6RPLT|9RMIN|aZMB
22	24632 33611	   	208.54	ACR|3VULN|3DMG|1AART|1ZMB	148VULN|247DMG|3RCR|4BPWR|5AART|6BEXP|9ZMB|aERES
23	61532 43112	 * 	207.54	ACR|4VULN|1AART|3ASPD|1DMG	1RCR|247aVULN|347ASPD|47BPWR|5AART|68RCVC|9DMG
24	21466 13313	   	207.32	DCR|4VULN|2DMG|1AART|1CDMG	1236VULN|2BPWR|4AART|5CDMG|7RCR|8aDMG|9TLV
25	24632 43333	   	207.18	ACR|3VULN|3DMG|1AART	147VULN|247DMG|3RCR|47BPWR|5AART|6RCVC|8DUR|9LWND|aLHND
26	24313 23316	 * 	207.11	DCR|3DMG|2VULN|2AART|2ZMB	17VULN|237DMG|4RMIN|57ZMB|6aAART|7BPWR|8DUR|9RCR
27	24632 43331	   	207.08	ACR|3VULN|3DMG|1AART	147VULN|247DMG|3RCR|47BPWR|5AART|6RCVC|8DUR|9LWND|aSNIHEL
28	64363 13221	   	206.08	ACR|3DMG|2VULN|1AART|1CDMG	1RCR|2MLV|389DMG|46VULN|5CDMG|7AART|aASPD
29	64363 13212	 * 	205.45	ACR|3VULN|2DMG|1AART|2CDMG	1RCR|2MLV|38DMG|469VULN|5aCDMG|7AART
30	24632 33334	   	204.58	ACR|3VULN|3DMG|1AART	14aVULN|247DMG|3RCR|4BPWR|5AART|6BEXP|8LWND|9DUR
31	24632 33623	   	204.58	ACR|3VULN|3DMG|1AART	148VULN|247DMG|3RCR|4BPWR|5AART|6BEXP|9DMSP|aDUR
32	24632 51311	   	204.58	ACR|3VULN|3DMG|1AART	148VULN|247DMG|3RCR|4BPWR|5AART|6RPLT|9FEWX|aDUR
33	24322 23141	 * 	202.87	DCR|3VULN|3DMG|2AART	147VULN|237DMG|57BEXP|6aAART|7BPWR|8RCVC|9RCR
34	24324 23141	   	202.87	DCR|3VULN|3DMG|2AART	147VULN|237DMG|57LHND|6aAART|7BPWR|8RCVC|9RCR
35	24325 23141	   	202.87	DCR|3VULN|3DMG|2AART	147VULN|237DMG|57LWND|6aAART|7BPWR|8RCVC|9RCR
36	24336 23141	   	202.87	DCR|3VULN|3DMG|2AART	157VULN|237DMG|47LHND|6aAART|7BPWR|8RCVC|9RCR
37	24322 23146	   	202.43	DCR|3VULN|3DMG|1AART|1ZMB	147VULN|237DMG|57BEXP|6AART|7BPWR|8RCVC|9RCR|aZMB
38	26632 43332	 * 	202.33	ACR|3VULN|3ZMB|1AART|1DMG	147VULN|247ZMB|3RCR|47BPWR|5AART|6RCVC|8DUR|9LWND|aDMG
39	24635 12321	   	202.18	ACR|3VULN|3DMG|1AART	148VULN|24aDMG|3RCR|4BPWR|5BEXP|6DUR|7LIT|9AART
40	24313 23141	   	202.08	DCR|3DMG|2VULN|2AART|2ZMB	17VULN|237DMG|4RMIN|57ZMB|6aAART|7BPWR|8RCVC|9RCR
41	24632 43121	   	202.02	ACR|3VULN|3DMG|1AART	147VULN|247DMG|3RCR|47BPWR|5AART|68RCVC|9CGEN|aLHND
42	24632 43123	   	201.92	ACR|3VULN|3DMG|1AART	147VULN|247DMG|3RCR|47BPWR|5AART|68RCVC|9CGEN|aDUST
43	61532 33632	   	201.14	ACR|3VULN|2AART|1DMG|2ASPD	1RCR|24aVULN|34ASPD|4BPWR|58AART|6BEXP|7DMG|9DUR
44	24631 34312	   	201.13	ACR|4VULN|2DMG|1AART	147aVULN|24DMG|3RCR|4BPWR|5LWND|6DUST|8AART|9ASPD
45	24322 23441	   	200.97	DCR|3VULN|3DMG|2AART	147VULN|237DMG|57BEXP|6aAART|7BPWR|8DMSP|9RCR
46	13466 13331	   	200.77	DCR|4VULN|1AART|1DMG|1CDMG	1RCVC|236aVULN|4AART|5CDMG|7RCR|8DMG|9DUR
47	24635 12322	   	200.63	ACR|4VULN|2DMG|1AART	148aVULN|24DMG|3RCR|4BPWR|5BEXP|6DUR|7LIT|9AART
48	24632 33336	   	200.37	ACR|3DMG|2AART|2VULN	14VULN|247DMG|3RCR|4BPWR|5aAART|6BEXP|8LWND|9DUR
49	21266 13331	   	200.17	DCR|4VULN|1AART|1DMG|1CDMG	126aVULN|2BPWR|3RCVC|4AART|5CDMG|7RCR|8DMG|9DUR
50	24632 21632	   	200.17	ACR|3VULN|2AART|2DMG	14aVULN|24DMG|3RCR|4BPWR|58AART|6ERES|7DUST|9DUR
51	24313 23441	   	200.17	DCR|3DMG|2VULN|2AART|2ZMB	17VULN|237DMG|4RMIN|57ZMB|6aAART|7BPWR|8DMSP|9RCR
52	24632 31132	   	199.93	ACR|3VULN|2DMG|1AART|1ZMB	14aVULN|24DMG|3RCR|4BPWR|5AART|67BEXP|8ZMB|9DUR
53	24632 35313	   	199.93	ACR|3VULN|2DMG|1AART|1ZMB	14aVULN|24DMG|3RCR|4BPWR|5AART|6BEXP|7LWND|8DUR|9ZMB
54	24632 36313	   	199.93	ACR|3VULN|2DMG|1AART|1ZMB	14aVULN|24DMG|3RCR|4BPWR|5AART|6BEXP|7LHND|8DUR|9ZMB
55	24632 31162	   	199.93	ACR|3DMG|2VULN|1AART|1ZMB	14VULN|249DMG|3RCR|4BPWR|5AART|67BEXP|8ZMB|aDUR
56	24632 33263	   	199.93	ACR|3DMG|2VULN|1AART|1ZMB	14VULN|247DMG|3RCR|4BPWR|5AART|6BEXP|8FEWX|9DUR|aZMB
57	24632 33333	   	199.93	ACR|3DMG|2VULN|1AART|1ZMB	14VULN|247DMG|3RCR|4BPWR|5AART|6BEXP|8LWND|9DUR|aZMB
58	24652 33132	   	199.83	ACR|3VULN|2DMG|1AART|1ZMB	14aVULN|27DMG|3RCR|5AART|6BEXP|8ZMB|9DUR
59	21411 83264	   	199.56	DCR|5VULN|1AART|1DMG|1CDMG	12368VULN|2BPWR|4CDMG|5MBVNT|7RCR|9AART|aDMG
60	61113 55313	   	199.14	ACR|3VULN|2DMG|1AART|1CDMG	1RCR|269VULN|3DMSP|4CGEN|5CDMG|7AART|8aDMG
61	61113 55323	   	199.14	ACR|3DMG|2VULN|1AART|1CDMG	1RCR|26VULN|3DMSP|4CGEN|5CDMG|7AART|89aDMG
62	64363 13211	   	199.14	ACR|3VULN|2DMG|1AART|1CDMG	1RCR|2MLV|38DMG|469VULN|5CDMG|7AART|aLWND
63	64363 13222	   	199.14	ACR|3DMG|2VULN|1AART|1CDMG	1RCR|2aMLV|389DMG|46VULN|5CDMG|7AART
64	64363 13223	   	199.04	ACR|3DMG|2VULN|1AART|1CDMG	1RCR|2MLV|389DMG|46VULN|5CDMG|7AART|aBASICY
65	24632 51321	   	198.95	ACR|3VULN|3DMG|1AART	148VULN|247DMG|3RCR|4BPWR|5AART|6RPLT|9BELT|aRCVC
66	24322 23143	   	198.36	DCR|3VULN|3DMG|1AART	147VULN|237DMG|57BEXP|6AART|7BPWR|8RCVC|9RCR|aDUR
67	24324 23143	   	198.36	DCR|3VULN|3DMG|1AART	147VULN|237DMG|57LHND|6AART|7BPWR|8RCVC|9RCR|aDUR
68	24325 23143	   	198.36	DCR|3VULN|3DMG|1AART	147VULN|237DMG|57LWND|6AART|7BPWR|8RCVC|9RCR|aDUR
69	24336 23143	   	198.36	DCR|3VULN|3DMG|1AART	157VULN|237DMG|47LHND|6AART|7BPWR|8RCVC|9RCR|aDUR
70	26632 43112	 * 	198.14	ACR|4VULN|3ZMB|1AART	147aVULN|247ZMB|3RCR|47BPWR|5AART|68RCVC|9ASPD
71	24631 13113	   	198.13	ACR|3VULN|2DMG|1AART|1ZMB	14aVULN|24DMG|3RCR|4BPWR|5LWND|6DUR|7BEXP|8AART|9ZMB
72	24634 13113	   	198.13	ACR|3VULN|2DMG|1AART|1ZMB	14aVULN|24DMG|3RCR|4BPWR|5LHND|6DUR|7BEXP|8AART|9ZMB
73	24631 31113	   	198.03	ACR|3VULN|2DMG|1AART|1ZMB	14aVULN|24DMG|3RCR|4BPWR|5LWND|6DUST|7DUR|8AART|9ZMB
74	24633 13113	   	198.03	ACR|3VULN|2DMG|1AART|1ZMB	14aVULN|24DMG|3RCR|4BPWR|5LEGI|6DUR|7BEXP|8AART|9ZMB
75	24634 31113	   	198.03	ACR|3VULN|2DMG|1AART|1ZMB	14aVULN|24DMG|3RCR|4BPWR|5LHND|6DUST|7DUR|8AART|9ZMB
76	24633 31113	   	197.93	ACR|3VULN|2DMG|1AART|1ZMB	14aVULN|24DMG|3RCR|4BPWR|5LEGI|6DUST|7DUR|8AART|9ZMB
77	26632 33632	 * 	197.64	ACR|3VULN|2AART|1DMG|2ZMB	14aVULN|24ZMB|3RCR|4BPWR|58AART|6BEXP|7DMG|9DUR
78	24632 33224	   	197.64	ACR|3VULN|3DMG|1AART	14aVULN|247DMG|3RCR|4BPWR|5AART|6BEXP|8FEWX|9LHND
79	24632 33633	   	197.64	ACR|3VULN|3DMG|1AART	148VULN|247DMG|3RCR|4BPWR|5AART|6BEXP|9LWND|aLHND
80	24632 51313	   	197.64	ACR|3VULN|3DMG|1AART	148VULN|247DMG|3RCR|4BPWR|5AART|6RPLT|9FEWX|aLWND
81	24632 51322	   	197.64	ACR|3VULN|3DMG|1AART	148VULN|247DMG|3RCR|4BPWR|5AART|6RPLT|9BELT|aBEXP
82	24632 51323	   	197.64	ACR|3VULN|3DMG|1AART	148VULN|247DMG|3RCR|4BPWR|5AART|6RPLT|9BELT|aCGEN
83	24632 51331	   	197.64	ACR|3VULN|3DMG|1AART	148VULN|247DMG|3RCR|4BPWR|5AART|6RPLT|9RMIN|aBELT
84	24632 51332	   	197.64	ACR|3VULN|3DMG|1AART	148VULN|247DMG|3RCR|4BPWR|5AART|6RPLT|9aRMIN
85	24313 23143	   	197.57	DCR|3DMG|2VULN|1AART|2ZMB	17VULN|237DMG|4RMIN|57ZMB|6AART|7BPWR|8RCVC|9RCR|aDUR
86	24632 33124	   	197.54	ACR|3VULN|3DMG|1AART	14aVULN|247DMG|3RCR|4BPWR|5AART|6BEXP|8DUST|9LHND
87	24632 33324	   	197.54	ACR|3VULN|3DMG|1AART	14aVULN|247DMG|3RCR|4BPWR|5AART|6BEXP|8LWND|9LEGI
88	24632 33631	   	197.54	ACR|3VULN|3DMG|1AART	148VULN|247DMG|3RCR|4BPWR|5AART|6BEXP|9LWND|aSNIHEL
89	61122 51363	   	197.53	ACR|2AART|2VULN|2DMG|2ASPD	1RCR|29VULN|3DMSP|49ASPD|58AART|6RPLT|79DMG|9BPWR|aRCVC
90	13466 13313	   	197.22	DCR|3VULN|2DMG|1AART|1CDMG	1RCVC|236VULN|4AART|5CDMG|7RCR|8aDMG|9TLV
91	21266 13334	   	197.08	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	126VULN|2BPWR|3RCVC|4AART|5CDMG|7RCR|8DMG|9DUR|aZMB
92	21466 13332	   	196.77	DCR|4VULN|1AART|1DMG|1CDMG	1236VULN|2BPWR|4AART|5CDMG|7RCR|8DMG|9DUR|aLWND
93	21466 13333	   	196.77	DCR|4VULN|1AART|1DMG|1CDMG	1236VULN|2BPWR|4AART|5CDMG|7RCR|8DMG|9DUR|aRPLT
94	21266 13313	   	196.62	DCR|3VULN|2DMG|1AART|1CDMG	126VULN|2BPWR|3RCVC|4AART|5CDMG|7RCR|8aDMG|9TLV
95	24322 23443	   	196.46	DCR|3VULN|3DMG|1AART	147VULN|237DMG|57BEXP|6AART|7BPWR|8DMSP|9RCR|aDUR
96	61122 43411	   	196.26	ACR|3VULN|1AART|1DMG|2ASPD|1ZMB	1RCR|279VULN|3DMSP|47ASPD|5AART|6RCVC|7BPWR|8DMG|aZMB
97	61122 51362	   	196.23	ACR|2AART|2VULN|2DMG|2ASPD	1RCR|29VULN|3DMSP|49ASPD|58AART|6RPLT|79DMG|9BPWR|aLIT
98	21215 42512	 * 	196.06	DCR|5VULN|2DMG|2CDMG	12567VULN|29BPWR|3RCVC|49CDMG|89DMG|aRCR
99	21466 13312	 * 	196.04	DCR|4VULN|1AART|1DMG|2CDMG	1236VULN|2BPWR|4AART|5aCDMG|7RCR|8DMG|9TLV
100	61322 43335	   	195.91	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|26VULN|3LHND|4ASPD|5AART|7aDMG|8ZMB|9DUR
101	24632 31332	   	195.86	ACR|3VULN|2DMG|1AART	14aVULN|24DMG|3RCR|4BPWR|5AART|67BEXP|8ASPD|9DUR
102	24632 23512	   	195.76	ACR|3VULN|2DMG|1AART	14aVULN|24DMG|3RCR|4BPWR|5AART|6ERES|7DUR|8CGEN|9ASPD
103	24652 33332	   	195.76	ACR|3VULN|2DMG|1AART	14aVULN|27DMG|3RCR|5AART|6BEXP|8ASPD|9DUR
104	24313 23313	   	195.66	DCR|3DMG|2VULN|1AART|2ZMB	17VULN|237DMG|4RMIN|57ZMB|6AART|7BPWR|8DUR|9RCR|aLHND
105	24313 23315	   	195.66	DCR|3DMG|2VULN|1AART|2ZMB	17VULN|237DMG|4RMIN|57ZMB|6AART|7BPWR|8DUR|9RCR|aLIT
106	24313 23443	   	195.66	DCR|3DMG|2VULN|1AART|2ZMB	17VULN|237DMG|4RMIN|57ZMB|6AART|7BPWR|8DMSP|9RCR|aDUR
107	24632 33235	   	195.64	ACR|3DMG|2VULN|1AART|1CDMG	14VULN|247DMG|3RCR|4BPWR|5AART|6BEXP|8FEWX|9CGEN|aCDMG
108	24631 11215	 * 	195.64	ACR|3DMG|2VULN|1AART|3DUR	14VULN|24aDMG|3RCR|4BPWR|5LWND|678DUR|9AART
109	24632 23314	   	195.62	ACR|2AART|2VULN|2DMG|1ZMB	14VULN|24DMG|3RCR|4BPWR|59AART|6ERES|7DUR|8RPLT|aZMB
110	61322 43315	   	195.59	ACR|2VULN|2DMG|1AART|2ASPD|1ZMB	1RCR|26VULN|3LHND|49ASPD|5AART|7aDMG|8ZMB
111	24313 23311	   	195.56	DCR|3DMG|2VULN|1AART|2ZMB	17VULN|237DMG|4RMIN|57ZMB|6AART|7BPWR|8DUR|9RCR|aSNIHEL
112	24632 33135	   	195.54	ACR|3DMG|2VULN|1AART|1CDMG	14VULN|247DMG|3RCR|4BPWR|5AART|6BEXP|8DUST|9CGEN|aCDMG
113	24632 23221	   	195.52	ACR|2AART|2VULN|2DMG|1ZMB	14VULN|24DMG|3RCR|4BPWR|5aAART|6ERES|7DUR|8DUST|9ZMB
114	21413 42512	   	195.46	DCR|5VULN|2DMG|2CDMG	12367VULN|29BPWR|49CDMG|5RCVC|89DMG|aRCR
115	26333 13224	   	195.32	DCR|3DMG|2VULN|1AART|1CDMG|1ZMB	16VULN|2ZMB|389DMG|4LHND|5CDMG|7AART|aRCR
116	24632 32142	   	194.89	ACR|3VULN|2DMG|1AART|1ZMB	14aVULN|24DMG|3RCR|4BPWR|5AART|6BEXP|7FEWX|8RCVC|9ZMB
117	61532 43312	   	194.84	ACR|3VULN|1AART|3ASPD|2DUR|1ZMB	1RCR|247VULN|347ASPD|47BPWR|5AART|6RCVC|8aDUR|9ZMB
118	24632 43212	   	194.64	ACR|3VULN|3DMG|1AART|1ZMB|1MSE	147VULN|247DMG|3RCR|47BPWR|5AART|6RCVC|8MSE|9ZMB|aDUR
