0	Index      	 *	Score 	Summary	Detail	
1	22132 23554	 * 	191.67	ACR|3DMG|1AART|1VULN|2CDMG|1ZMB	18TLV|28aDMG|3ZMB|4RCR|5BEXP|68CDMG|7AART|8BPWR|9VULN
15	21533 51422	   	182.82	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1TLV|279VULN|3AART|4ZMB|5DMG|6RCR|8DUR|aLEGI
16	21533 51423	   	182.82	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1TLV|279VULN|3AART|4ZMB|5DMG|6RCR|8DUR|aERES
17	46423 31144	   	180.66	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1ASPD|2AART|3ZMB|49DMG|5LWND|6MBVNT|7aVULN|8RCR
18	46233 84222	 * 	179.88	ACR|2AART|2VULN|1DMG|1CDMG|1ASPD	1ASPD|27AART|3MBVNT|4RCR|5CDMG|69VULN|8ERES|aDMG
19	46233 84422	   	179.88	ACR|2AART|2VULN|1DMG|1CDMG|1ASPD	1ASPD|27AART|3MBVNT|4RCR|5CDMG|69VULN|8TLV|aDMG
20	22132 23556	 * 	179.86	ACR|2DMG|1AART|1VULN|2CDMG|2ZMB	18TLV|28DMG|3aZMB|4RCR|5BEXP|68CDMG|7AART|8BPWR|9VULN
21	46238 42321	 * 	179.28	ACR|2VULN|2DMG|1AART|2ASPD	1aASPD|2AART|3MBVNT|4RCR|5aVULN|6BEXP|7BELT|8LIT|9aDMG|aBPWR
22	21324 43145	 * 	179.22	DCR|3VULN|1AART|2FLTHEA|1ZMB|1DUR	1aTLV|23aVULN|4DUR|5ZMB|6RCR|7aFLTHEA|8MBVNT|9AART|aBPWR
23	46238 32321	   	179.18	ACR|2VULN|2DMG|1AART|2ASPD	1aASPD|2AART|3MBVNT|4RCR|5aVULN|6DUST|7BELT|8LIT|9aDMG|aBPWR
24	22515 12253	   	178.50	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	17TLV|27DMG|3LEGI|4ASPD|5LIT|67VULN|7BPWR|8RCR|9CDMG|aAART
25	16321 22154	 * 	178.36	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1LWND|2DUR|38VULN|49AART|5CDMG|6ERES|7RCR|aDMG
26	46233 82421	 * 	178.23	ACR|4VULN|1AART|1CDMG|1ASPD	1ASPD|2AART|3MBVNT|4RCR|5CDMG|689aVULN|7RMIN
27	46231 14824	 * 	178.13	ACR|4VULN|1AART|2ASPD|1DUR	17ASPD|2AART|3MBVNT|4RCR|5DUR|689aVULN
28	46231 21824	   	178.13	ACR|4VULN|1AART|2ASPD|1DUR	16ASPD|2AART|3MBVNT|4RCR|5DUR|789aVULN
29	42155 23322	   	178.11	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD|1SELL	1ASPD|2aDMG|3ZMB|4SELL|59VULN|6AART|7CGEN|8RCR
30	42155 22322	   	178.01	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD|1SELL	1ASPD|2aDMG|3ZMB|4SELL|59VULN|6AART|7TLV|8RCR
31	16362 23213	   	177.76	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1LWND|27DUR|358VULN|4DMG|6CDMG|9AART|aRCR
32	46231 13231	   	177.48	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|2AART|3MBVNT|4RCR|5DUR|69aVULN|7LIT|8DMG
33	46238 11124	   	177.40	ACR|5VULN|1AART|1ASPD	1ASPD|2AART|3MBVNT|4RCR|5679aVULN|8BEXP
34	46238 11444	   	177.40	ACR|5VULN|1AART|1ASPD	1ASPD|2AART|3MBVNT|4RCR|5679aVULN|8MLV
35	41112 15321	 * 	177.15	DCR|4VULN|1AART|1ZMB|1ASPD|1DUR|1SELL	1ASPD|279aVULN|3SELL|4DUR|5ZMB|6AART|8RCR
36	46227 32322	   	177.06	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1ASPD|26AART|3MBVNT|4TLV|5CDMG|79VULN|8RCR|aDMG
37	41521 31511	 * 	176.85	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR|1ASPD	1ASPD|27VULN|3AART|4TLV|5CGEN|6RCR|8DMG|9DUR|aFLTHEA
38	21523 31511	   	176.85	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR|1ASPD	1TLV|27VULN|3AART|4MLV|5DMG|6RCR|8ASPD|9DUR|aFLTHEA
39	21563 31511	   	176.85	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR|1ASPD	1TLV|27VULN|3AART|4CGEN|5DMG|6RCR|8ASPD|9DUR|aFLTHEA
40	41135 23322	   	176.78	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD|1SELL	1ASPD|269VULN|3SELL|4ZMB|5AART|7LHND|8RCR|aDMG
41	41135 25322	   	176.78	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD|1SELL	1ASPD|269VULN|3SELL|4ZMB|5AART|7BEXP|8RCR|aDMG
42	41135 35322	   	176.68	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD|1SELL	1ASPD|279VULN|3SELL|4ZMB|5AART|6DUST|8RCR|aDMG
43	21324 43138	   	176.62	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1TLV|23VULN|4DUR|5ZMB|6RCR|7FLTHEA|8MBVNT|9DMG|aAART
44	21523 31225	   	176.43	DCR|3VULN|2AART|1DMG	1TLV|279VULN|3aAART|4MLV|5DMG|6RCR|8LWND
45	21332 27114	   	176.33	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1TLV|236VULN|4ZMB|5MBVNT|7CDMG|8DMG|9AART|aRCR
46	42155 23321	   	176.18	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD|1SELL	1ASPD|2DMG|3ZMB|4SELL|59aVULN|6AART|7CGEN|8RCR
47	41531 16322	   	176.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|29VULN|3AART|4ZMB|5CGEN|6TLV|7CDMG|8RCR|aDMG
48	42155 22321	   	176.08	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD|1SELL	1ASPD|2DMG|3ZMB|4SELL|59aVULN|6AART|7TLV|8RCR
49	22132 23531	   	176.01	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	18TLV|28DMG|3ZMB|4RCR|5BEXP|68CDMG|7AART|8BPWR|9RMIN|aVULN
50	22132 23551	   	176.01	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	18TLV|28DMG|3ZMB|4RCR|5BEXP|68CDMG|7AART|8BPWR|9VULN|aRPLT
51	22132 23555	   	176.01	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	18TLV|28DMG|3ZMB|4RCR|5BEXP|68CDMG|7AART|8BPWR|9VULN|aLWND
52	21533 51124	   	175.98	DCR|3VULN|1AART|1DMG|1ZMB	1TLV|279VULN|3AART|4ZMB|5DMG|6RCR|8aBEXP
53	21533 51222	   	175.98	DCR|3VULN|1AART|1DMG|1ZMB	1TLV|279VULN|3AART|4ZMB|5DMG|6RCR|8LWND|aDMSP
54	21533 51224	   	175.98	DCR|3VULN|1AART|1DMG|1ZMB	1TLV|279VULN|3AART|4ZMB|5DMG|6RCR|8LWND|aBEXP
55	21533 51226	   	175.98	DCR|3VULN|1AART|1DMG|1ZMB	1TLV|279VULN|3AART|4ZMB|5DMG|6RCR|8LWND|aFEWX
56	22132 23552	   	175.91	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB	18TLV|28DMG|3ZMB|4RCR|5BEXP|68CDMG|7AART|8BPWR|9VULN|aERES
57	21533 51121	   	175.88	DCR|3VULN|1AART|1DMG|1ZMB	1TLV|279VULN|3AART|4ZMB|5DMG|6RCR|8BEXP|aDUST
58	21533 51122	   	175.88	DCR|3VULN|1AART|1DMG|1ZMB	1TLV|279VULN|3AART|4ZMB|5DMG|6RCR|8BEXP|aLEGI
59	21533 51123	   	175.88	DCR|3VULN|1AART|1DMG|1ZMB	1TLV|279VULN|3AART|4ZMB|5DMG|6RCR|8BEXP|aERES
60	21533 51221	   	175.88	DCR|3VULN|1AART|1DMG|1ZMB	1TLV|279VULN|3AART|4ZMB|5DMG|6RCR|8LWND|aDUST
61	21535 21123	   	175.83	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1TLV|26VULN|37AART|4ZMB|5CDMG|8DMG|9RPLT|aRCR
62	22665 32322	 * 	175.77	DCR|2AART|2VULN|2DMG	1TLV|2aDMG|3RCVC|4RPLT|56AART|79VULN|8RCR
63	21216 31511	   	175.65	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR|1ASPD	1TLV|27VULN|3MLV|4ASPD|5AART|6RCR|8DMG|9DUR|aFLTHEA
64	46238 11443	   	175.58	ACR|4VULN|1AART|1ZMB|1ASPD	1ASPD|2AART|3MBVNT|4RCR|5679VULN|8MLV|aZMB
65	46233 84221	 * 	175.47	ACR|3VULN|2AART|1CDMG|1ASPD	1ASPD|27AART|3MBVNT|4RCR|5CDMG|69aVULN|8ERES
66	46233 84421	   	175.47	ACR|3VULN|2AART|1CDMG|1ASPD	1ASPD|27AART|3MBVNT|4RCR|5CDMG|69aVULN|8TLV
67	42433 33345	   	174.98	ACR|2VULN|2DMG|1AART|2ASPD	1aASPD|2aDMG|35LWND|4RCR|6MBVNT|7BASICY|8aVULN|9AART|aBPWR
68	21523 31515	   	174.65	DCR|2AART|2VULN|1DMG|1DUR|1ASPD	1TLV|27VULN|3aAART|4MLV|5DMG|6RCR|8ASPD|9DUR
69	41312 23553	 * 	174.65	DCR|4VULN|1AART|1CDMG|1ASPD|1DUR	1ASPD|2589VULN|3BEXP|4DUR|6CDMG|7AART|aRCR
70	16362 33213	   	174.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	16LWND|2DUR|35VULN|47DMG|8CDMG|9AART|aRCR
71	21533 51511	   	174.21	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1TLV|27VULN|3AART|4ZMB|5DMG|6RCR|8ASPD|9DUR|aMGNLIT
72	21533 51512	   	174.21	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1TLV|27VULN|3AART|4ZMB|5DMG|6RCR|8ASPD|9DUR|aLIT
73	21533 51513	   	174.21	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1TLV|27VULN|3AART|4ZMB|5DMG|6RCR|8ASPD|9DUR|aLWND
74	21533 51141	   	173.98	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1TLV|27VULN|3AART|4ZMB|5DMG|6RCR|8BEXP|9CGEN|aFLTHEA
75	21533 51151	   	173.98	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1TLV|27VULN|3AART|4ZMB|5DMG|6RCR|8BEXP|9MLV|aFLTHEA
76	21533 51216	   	173.98	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1TLV|27VULN|3AART|4ZMB|5DMG|6RCR|8LWND|9LIT|aCDMG
77	21533 51241	   	173.98	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1TLV|27VULN|3AART|4ZMB|5DMG|6RCR|8LWND|9CGEN|aFLTHEA
78	21533 51251	   	173.98	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1TLV|27VULN|3AART|4ZMB|5DMG|6RCR|8LWND|9MLV|aFLTHEA
79	21531 36252	   	173.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	18TLV|29VULN|3AART|4ZMB|5CGEN|6RCR|7CDMG|aDMG
80	23522 36622	   	173.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	14TLV|2BEXP|3AART|59VULN|6RCR|7CDMG|8ZMB|aDMG
81	21523 31536	   	173.85	DCR|2VULN|2DMG|1AART|1ASPD	1TLV|27VULN|3AART|4MLV|5aDMG|6RCR|8ASPD|9LHND
82	22665 32321	   	173.83	DCR|3VULN|2AART|1DMG	1TLV|2DMG|3RCVC|4RPLT|56AART|79aVULN|8RCR
83	21533 51315	   	173.68	DCR|2AART|2VULN|1DMG|1ZMB	1TLV|27VULN|3aAART|4ZMB|5DMG|6RCR|8RCVC|9LWND
84	21216 31515	   	173.45	DCR|2AART|2VULN|1DMG|1DUR|1ASPD	1TLV|27VULN|3MLV|4ASPD|5aAART|6RCR|8DMG|9DUR
85	46233 82311	   	173.40	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1ASPD|29AART|3MBVNT|4RCR|5CDMG|6VULN|7RMIN|8DMG|aZMB
86	46231 13238	   	173.27	ACR|2AART|2VULN|1DMG|1ASPD|1DUR	1ASPD|2aAART|3MBVNT|4RCR|5DUR|69VULN|7LIT|8DMG
87	21533 51353	 * 	173.02	DCR|2VULN|1AART|1DMG|2ZMB|1ASPD	1TLV|27VULN|3AART|4aZMB|5DMG|6RCR|8RCVC|9ASPD
88	21535 52322	 * 	172.93	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1TLV|29VULN|3AART|47ZMB|5CDMG|6MBVNT|8RCR|aDMG
89	46231 12421	   	172.83	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1ASPD|2AART|3MBVNT|4RCR|5DUR|6aVULN|7FEWX|8ZMB|9DMG
90	42112 25521	 * 	172.82	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD	1ASPD|247DMG|3ZMB|5BEXP|6LHND|8AART|9RCR|aVULN
91	46231 17421	   	172.73	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1ASPD|2AART|3MBVNT|4RCR|5DUR|6aVULN|7DUST|8ZMB|9DMG
92	42112 35521	   	172.72	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD	1ASPD|247DMG|3ZMB|5BEXP|6DUST|8AART|9RCR|aVULN
93	13154 31235	   	172.71	DCR|2VULN|2DMG|1AART|1DUR|1SELL	1aLWND|2BELT|3SELL|4DUR|5AART|6RCR|7RPLT|8aDMG|9aVULN|aBPWR
94	21531 36113	 * 	172.66	DCR|2VULN|1AART|2CDMG|2DUR|1ZMB	1TLV|2aVULN|3AART|4ZMB|5CGEN|6RCR|7aCDMG|8FEWX|9aDUR|aBPWR
95	21531 36513	   	172.66	DCR|2VULN|1AART|2CDMG|2DUR|1ZMB	1TLV|2aVULN|3AART|4ZMB|5CGEN|6RCR|7aCDMG|8LWND|9aDUR|aBPWR
96	46227 32321	 * 	172.65	DCR|3VULN|2AART|1CDMG|1ASPD	1ASPD|26AART|3MBVNT|4TLV|5CDMG|79aVULN|8RCR
97	21216 31536	   	172.65	DCR|2VULN|2DMG|1AART|1ASPD	1TLV|27VULN|3MLV|4ASPD|5AART|6RCR|8aDMG|9LHND
98	16353 25113	   	172.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	15LWND|2DUR|346VULN|7CDMG|8DMG|9AART|aRCR
99	16362 26213	   	172.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	17LWND|2DUR|358VULN|4DMG|6CDMG|9AART|aRCR
100	16362 36213	   	172.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	16LWND|2DUR|357VULN|4DMG|8CDMG|9AART|aRCR
101	46241 14421	   	172.41	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1ASPD|2AART|3MBVNT|4FEWX|5DUR|6aVULN|7RCR|8ZMB|9DMG
102	21323 25113	   	172.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1TLV|236VULN|4DUR|5RMIN|7CDMG|8DMG|9AART|aRCR
103	61425 21133	   	172.32	DCR|3VULN|2AART|1DMG|1DUR|1SELL	1SELL|2DUST|346VULN|57AART|8DMG|9DUR|aRCR
104	16321 52114	   	172.31	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1LWND|29DUR|38VULN|4AART|5CDMG|6CGEN|7RCR|aDMG
105	21336 43145	   	172.28	DCR|3VULN|1AART|2FLTHEA|1ZMB	1aTLV|23aVULN|4ZMB|5LWND|6RCR|7aFLTHEA|8MBVNT|9AART|aBPWR
106	21312 27114	   	172.27	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1TLV|236VULN|4ASPD|5MBVNT|7CDMG|8DMG|9AART|aRCR
107	16321 22114	   	172.21	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1LWND|29DUR|38VULN|4AART|5CDMG|6ERES|7RCR|aDMG
108	21324 43353	   	172.21	DCR|3VULN|1AART|1FLTHEA|1ZMB|1DUR	1TLV|238VULN|4DUR|5ZMB|6RCR|7FLTHEA|9DUST|aAART
109	46423 32224	 * 	172.08	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB	18ASPD|2AART|3ZMB|4DMG|5LWND|6MBVNT|7RCR|9aVULN
110	21513 32154	   	172.02	DCR|2AART|2VULN|1DMG|1CDMG	1TLV|28VULN|39AART|4LHND|5LWND|6CDMG|7RCR|aDMG
111	41312 23353	   	171.99	DCR|3VULN|2AART|1CDMG|1ASPD|1DUR	1ASPD|259VULN|3BEXP|4DUR|6CDMG|78AART|aRCR
112	41312 23563	   	171.99	DCR|3VULN|2AART|1CDMG|1ASPD|1DUR	1ASPD|258VULN|3BEXP|4DUR|6CDMG|79AART|aRCR
113	44132 23521	 * 	171.97	ACR|1AART|1VULN|2CDMG|1DMG|2ASPD|1ZMB	18ASPD|28TLV|3ZMB|4RCR|5BEXP|68CDMG|7AART|8BPWR|9DMG|aVULN
114	21523 31424	   	171.92	DCR|3VULN|1AART|1DMG|1DUR	1TLV|279VULN|3AART|4MLV|5DMG|6RCR|8DUR|aBEXP
115	21523 31426	   	171.92	DCR|3VULN|1AART|1DMG|1DUR	1TLV|279VULN|3AART|4MLV|5DMG|6RCR|8DUR|aFEWX
116	21523 31541	   	171.92	DCR|3VULN|1AART|1DMG|1ASPD	1TLV|27aVULN|3AART|4MLV|5DMG|6RCR|8ASPD|9LIT
117	21523 31223	   	171.92	DCR|3VULN|1AART|1DMG|1DUR	1TLV|279VULN|3AART|4MLV|5DMG|6RCR|8LWND|aDUR
118	32362 22213	 * 	171.84	DCR|3VULN|1AART|1DMG|2CDMG	1LHND|2FEWX|358VULN|4DMG|67CDMG|9AART|aRCR
119	21523 31421	   	171.82	DCR|3VULN|1AART|1DMG|1DUR	1TLV|279VULN|3AART|4MLV|5DMG|6RCR|8DUR|aDUST
120	21523 31422	   	171.82	DCR|3VULN|1AART|1DMG|1DUR	1TLV|279VULN|3AART|4MLV|5DMG|6RCR|8DUR|aLEGI
121	21523 31423	   	171.82	DCR|3VULN|1AART|1DMG|1DUR	1TLV|279VULN|3AART|4MLV|5DMG|6RCR|8DUR|aERES
122	21533 51235	   	171.78	DCR|2AART|2VULN|1DMG|1ZMB	1TLV|27VULN|3aAART|4ZMB|5DMG|6RCR|8LWND|9DMSP
123	21525 21133	   	171.76	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1TLV|26VULN|37AART|4MLV|5CDMG|8DMG|9DUR|aRCR
124	21565 21133	   	171.76	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1TLV|26VULN|37AART|4CGEN|5CDMG|8DMG|9DUR|aRCR
125	41531 16321	   	171.71	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1ASPD|29aVULN|3AART|4ZMB|5CGEN|6TLV|7CDMG|8RCR
126	22132 23514	   	171.60	ACR|3DMG|1AART|2CDMG|1ZMB	18TLV|28aDMG|3ZMB|4RCR|5BEXP|68CDMG|7AART|8BPWR|9LHND
127	22132 23544	   	171.60	ACR|3DMG|1AART|2CDMG|1ZMB	18TLV|28aDMG|3ZMB|4RCR|5BEXP|68CDMG|7AART|8BPWR|9LWND
128	46233 26313	 * 	171.54	ACR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1ASPD|1DUR	1ASPD|2AART|3MBVNT|4RCR|5CDMG|6CGEN|7VULN|8DMG|9DUR|aFLTHEA
129	31321 52154	   	171.52	DCR|2AART|2VULN|1DMG|1CDMG	1LHND|2LWND|38VULN|49AART|5CDMG|6CGEN|7RCR|aDMG
130	32321 52154	   	171.52	DCR|2AART|2VULN|1DMG|1CDMG	1LHND|2FEWX|38VULN|49AART|5CDMG|6CGEN|7RCR|aDMG
131	46238 11322	   	171.51	ACR|4VULN|1AART|1ASPD|1DUR	1ASPD|2AART|3MBVNT|4RCR|5679VULN|8DUR|aLHND
132	46238 11323	   	171.51	ACR|4VULN|1AART|1ASPD|1DUR	1ASPD|2AART|3MBVNT|4RCR|5679VULN|8DUR|aFEWX
133	46238 11344	   	171.51	ACR|4VULN|1AART|1ASPD|1DUR	1ASPD|2AART|3MBVNT|4RCR|567aVULN|8DUR|9DMSP
134	46238 11414	   	171.51	ACR|4VULN|1AART|1DUR|1ASPD	1ASPD|2AART|3MBVNT|4RCR|567aVULN|8MLV|9DUR
135	15321 22154	   	171.42	DCR|2AART|2VULN|1DMG|1CDMG	1LWND|2LHND|38VULN|49AART|5CDMG|6ERES|7RCR|aDMG
136	31321 22154	   	171.42	DCR|2AART|2VULN|1DMG|1CDMG	1LHND|2LWND|38VULN|49AART|5CDMG|6ERES|7RCR|aDMG
137	32321 22154	   	171.42	DCR|2AART|2VULN|1DMG|1CDMG	1LHND|2FEWX|38VULN|49AART|5CDMG|6ERES|7RCR|aDMG
138	46238 11321	   	171.41	ACR|4VULN|1AART|1ASPD|1DUR	1ASPD|2AART|3MBVNT|4RCR|5679VULN|8DUR|aDUST
139	46238 11334	   	171.41	ACR|4VULN|1AART|1ASPD|1DUR	1ASPD|2AART|3MBVNT|4RCR|567aVULN|8DUR|9LEGI
140	41112 12322	   	171.31	DCR|2VULN|1AART|1DMG|2ZMB|1ASPD|1DUR|1SELL	1ASPD|29VULN|3SELL|4DUR|57ZMB|6AART|8RCR|aDMG
141	21533 54123	   	171.12	DCR|2VULN|1AART|1DMG|2ZMB|1DUR	1TLV|29VULN|3AART|48ZMB|5DMG|6RCR|7LHND|aDUR
142	46233 82423	   	171.06	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	1ASPD|2AART|3MBVNT|4RCR|5CDMG|689VULN|7RMIN|aDUR
143	22515 12251	 * 	170.95	DCR|3DMG|2VULN|1CDMG|1ASPD	17TLV|27aDMG|3LEGI|4ASPD|5LIT|67VULN|7BPWR|8RCR|9CDMG
144	46233 81114	   	170.92	ACR|2AART|2VULN|1CDMG|1ZMB|1ASPD	1ASPD|29AART|3MBVNT|4RCR|5CDMG|68VULN|7FEWX|aZMB
145	41135 23321	   	170.82	DCR|4VULN|1AART|1ZMB|1ASPD|1SELL	1ASPD|269aVULN|3SELL|4ZMB|5AART|7LHND|8RCR
146	41135 25321	   	170.82	DCR|4VULN|1AART|1ZMB|1ASPD|1SELL	1ASPD|269aVULN|3SELL|4ZMB|5AART|7BEXP|8RCR
147	21216 31541	   	170.72	DCR|3VULN|1AART|1DMG|1ASPD	1TLV|27aVULN|3MLV|4ASPD|5AART|6RCR|8DMG|9LIT
148	41135 35321	   	170.72	DCR|4VULN|1AART|1ZMB|1ASPD|1SELL	1ASPD|279aVULN|3SELL|4ZMB|5AART|6DUST|8RCR
149	12461 53112	 * 	170.66	DCR|3VULN|3DMG|1DUR	1LWND|2MGNSTR|3DUR|478DMG|56aVULN|9RCR
150	46232 13231	   	170.54	ACR|3VULN|1AART|1DMG|1ASPD	1ASPD|2AART|3MBVNT|4RCR|5LHND|69aVULN|7LIT|8DMG
151	46238 23231	   	170.54	ACR|3VULN|1AART|1DMG|1ASPD	1ASPD|2AART|3MBVNT|4RCR|59aVULN|6LHND|7LIT|8DMG
152	46231 14241	 * 	170.34	ACR|3VULN|1AART|3ASPD|1DUR	178ASPD|2AART|3MBVNT|4RCR|5DUR|69aVULN
153	46231 21241	   	170.34	ACR|3VULN|1AART|3ASPD|1DUR	168ASPD|2AART|3MBVNT|4RCR|5DUR|79aVULN
154	54434 32224	   	170.30	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2RCVC|3DMG|4MBVNT|5RCR|6CDMG|7ZMB|8AART|9aVULN
155	21332 26423	   	170.26	DCR|4VULN|1AART|1ZMB|1DUR	1TLV|2368VULN|4ZMB|5MBVNT|7RCR|9DUR|aAART
156	42113 11531	   	170.11	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1ASPD|24DMG|3ZMB|5CGEN|6AART|7RCR|8LIT|9DUR|aVULN
157	46423 31111	   	170.01	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ASPD|2AART|3ZMB|4DMG|5LWND|6MBVNT|7aVULN|8RCR|9DUR
158	46423 34141	   	170.01	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1ASPD|2AART|3ZMB|4DMG|5LWND|6MBVNT|7DUR|8RCR|9aVULN
159	41521 31521	   	169.91	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1ASPD|27VULN|3AART|4TLV|5CGEN|6RCR|8DMG|9BEXP|aFLTHEA
160	41521 31531	   	169.91	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1ASPD|27VULN|3AART|4TLV|5CGEN|6RCR|8DMG|9LHND|aFLTHEA
161	21523 31521	   	169.91	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1TLV|27VULN|3AART|4MLV|5DMG|6RCR|8ASPD|9BEXP|aFLTHEA
