0	Index      	 *	Score 	Summary	Detail	
1	11246 62221	 * 	200.01	DCR|3VULN|2DMG|1AART|1ZMB|1DUR	19DMG|257VULN|3ZMB|4AART|6RCR|8MLV|aDUR
12	16125 41133	   	190.32	DCR|3VULN|2DMG|1AART|1CDMG	17DMG|2LHND|36aVULN|4CDMG|5AART|8RCR|9LIT
13	12136 61253	 * 	189.83	DCR|4VULN|1AART|1DMG|1CDMG	1DMG|2LIT|359aVULN|4CDMG|6RCR|7FEWX|8AART
14	11561 33633	   	189.75	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	18DMG|28VULN|3BEXP|4AART|5DUST|6RCR|78DUR|8BPWR|9LIT|aZMB
15	11246 62121	   	189.58	DCR|4VULN|1AART|1DMG|1ZMB	1DMG|2578VULN|3ZMB|4AART|6RCR|9BELT|aCGEN
16	11246 62122	   	189.58	DCR|4VULN|1AART|1DMG|1ZMB	1DMG|2578VULN|3ZMB|4AART|6RCR|9BELT|aLHND
17	11246 62123	   	189.58	DCR|4VULN|1AART|1DMG|1ZMB	1DMG|2578VULN|3ZMB|4AART|6RCR|9BELT|aRPLT
18	11246 62131	   	189.58	DCR|4VULN|1AART|1DMG|1ZMB	1DMG|2578VULN|3ZMB|4AART|6RCR|9BEXP|aLHND
19	11246 62133	   	189.58	DCR|4VULN|1AART|1DMG|1ZMB	1DMG|2578VULN|3ZMB|4AART|6RCR|9BEXP|aLWND
20	11246 62111	   	189.48	DCR|4VULN|1AART|1DMG|1ZMB	1DMG|2578VULN|3ZMB|4AART|6RCR|9DUST|aLHND
21	11246 62113	   	189.48	DCR|4VULN|1AART|1DMG|1ZMB	1DMG|2578VULN|3ZMB|4AART|6RCR|9DUST|aLWND
22	11246 62132	   	189.48	DCR|4VULN|1AART|1DMG|1ZMB	1DMG|2578VULN|3ZMB|4AART|6RCR|9BEXP|aTLV
23	11246 62112	   	189.38	DCR|4VULN|1AART|1DMG|1ZMB	1DMG|2578VULN|3ZMB|4AART|6RCR|9DUST|aTLV
24	11246 62231	   	189.13	DCR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	1DMG|257VULN|3ZMB|4AART|6RCR|8MLV|9FLTHEA|aLIT
25	11246 61313	   	189.03	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|25aVULN|3ZMB|4AART|6RCR|7LIT|8ERES|9CDMG
26	11246 62232	   	189.03	DCR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	1DMG|257VULN|3ZMB|4AART|6RCR|8MLV|9FLTHEA|aDUST
27	13161 34321	   	189.03	DCR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	1DMG|2FEWX|38aVULN|4AART|5DUST|6RCR|7FLTHEA|9ZMB
28	26161 34321	   	189.03	DCR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	1BEXP|2DMG|38aVULN|4AART|5DUST|6RCR|7FLTHEA|9ZMB
29	11561 34321	   	189.03	DCR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	1DMG|28aVULN|3BEXP|4AART|5DUST|6RCR|7FLTHEA|9ZMB
30	11364 32151	   	189.01	DCR|3VULN|2DMG|1AART|1DUR	19DMG|29aVULN|3DUR|4AART|5FEWX|6RCR|79TLV|8RMIN|9BPWR
31	12133 61662	 * 	188.98	DCR|3VULN|2DMG|2CDMG|2ASPD	1aDMG|2LIT|39aVULN|45CDMG|6RCR|7FEWX|8aASPD|aBPWR
32	13162 23336	   	188.41	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	15DMG|2FEWX|39VULN|4AART|6CDMG|7ZMB|8DUR|aRCR
33	13162 24336	   	188.41	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	15DMG|2FEWX|39VULN|4AART|6CDMG|7DUR|8ZMB|aRCR
34	26162 23336	   	188.41	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1BEXP|25DMG|39VULN|4AART|6CDMG|7ZMB|8DUR|aRCR
35	11562 23336	   	188.41	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	15DMG|29VULN|3BEXP|4AART|6CDMG|7ZMB|8DUR|aRCR
36	11246 63221	 * 	188.21	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	19DMG|25VULN|37ZMB|4AART|6RCR|8MLV|aDUR
37	12265 43313	 * 	187.79	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	15DMG|2LIT|3TLV|4RCR|6AART|7ZMB|8aVULN|9CDMG
38	11361 34325	   	187.26	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR|1ASPD	1DMG|28VULN|3DUR|4AART|5DUST|6RCR|7FLTHEA|9ZMB|aASPD
39	11361 35512	   	184.97	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DMG|278VULN|3DUR|4AART|5DUST|6RCR|9CDMG|aLWND
40	11361 35513	   	184.97	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DMG|278VULN|3DUR|4AART|5DUST|6RCR|9CDMG|aFEWX
41	11364 31342	   	184.97	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DMG|28aVULN|3DUR|4AART|5FEWX|6RCR|7CANSTR|9CDMG
42	11361 31342	   	184.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DMG|28aVULN|3DUR|4AART|5DUST|6RCR|7CANSTR|9CDMG
43	11361 35511	   	184.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DMG|278VULN|3DUR|4AART|5DUST|6RCR|9CDMG|aERES
44	13161 34326	   	184.83	DCR|2AART|2VULN|1DMG|1FLTHEA|1ZMB	1DMG|2FEWX|38VULN|4aAART|5DUST|6RCR|7FLTHEA|9ZMB
45	11361 34335	   	184.57	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1DMG|28VULN|3DUR|4AART|5DUST|6RCR|7FLTHEA|9RCVC|aCDMG
46	11244 62221	   	184.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	19DMG|27VULN|3ZMB|4AART|5DMSP|6RCR|8MLV|aDUR
47	12133 61214	 * 	183.98	DCR|2VULN|2DMG|1AART|2CDMG	1aDMG|2LIT|3aVULN|45CDMG|6RCR|7FEWX|8AART|9aDUST|aBPWR
48	12133 61223	   	183.98	DCR|2VULN|2DMG|1AART|2CDMG	19DMG|2LIT|3aVULN|45CDMG|6RCR|7FEWX|8AART
49	44133 61223	   	183.98	DCR|2VULN|2DMG|1AART|2CDMG	1LIT|29DMG|3aVULN|45CDMG|6RCR|7FEWX|8AART
50	11243 21363	   	183.87	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17DMG|2aVULN|3ZMB|4AART|5MLV|6CDMG|8LIT|9RCR
51	52633 31113	   	183.79	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1aMGNLIT|2DMSP|3ZMB|4aVULN|5RCR|6CDMG|7ERES|8aDMG|9AART|aBPWR
52	52633 36113	   	183.79	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1aMGNLIT|2DMSP|3ZMB|4aVULN|5RCR|6CDMG|7TLV|8aDMG|9AART|aBPWR
53	53633 31113	   	183.79	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	12aMGNLIT|2aBPWR|3ZMB|4aVULN|5RCR|6CDMG|7ERES|8aDMG|9AART
54	53633 36113	   	183.79	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	12aMGNLIT|2aBPWR|3ZMB|4aVULN|5RCR|6CDMG|7TLV|8aDMG|9AART
55	11241 62116	   	183.47	DCR|3VULN|2DMG|1AART|1ZMB	16DMG|278VULN|3ZMB|4AART|5FEWX|9RMIN|aRCR
56	11246 32226	   	183.47	DCR|3VULN|2DMG|1AART|1ZMB	19DMG|257VULN|3ZMB|4AART|6FEWX|8MLV|aRCR
57	11246 12226	   	183.37	DCR|3VULN|2DMG|1AART|1ZMB	19DMG|257VULN|3ZMB|4AART|6DUST|8MLV|aRCR
58	13162 32166	   	183.37	DCR|3VULN|2DMG|1AART|1ZMB	15DMG|2FEWX|378VULN|4AART|6ERES|9ZMB|aRCR
59	11361 34343	   	182.96	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1DUR	1DMG|28VULN|3DUR|4AART|5DUST|6RCR|7FLTHEA|9CDMG|aLIT
60	11361 34315	   	182.86	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1DUR	1DMG|28VULN|3DUR|4AART|59DUST|6RCR|7FLTHEA|aCDMG
61	11361 34341	   	182.86	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1DUR	1DMG|28VULN|3DUR|4AART|5DUST|6RCR|7FLTHEA|9CDMG|aERES
62	11246 62332	   	182.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|257VULN|3ZMB|4AART|6RCR|8FEWX|9DUR|aBEXP
63	11246 62331	   	182.32	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|257VULN|3ZMB|4AART|6RCR|8FEWX|9DUR|aBASHEA
64	11246 62333	   	182.32	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|257VULN|3ZMB|4AART|6RCR|8FEWX|9DUR|aDUST
65	11361 31321	   	182.22	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|28aVULN|3DUR|4AART|5DUST|6RCR|7CANSTR|9ZMB
66	11365 41122	   	182.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17DMG|26VULN|3DUR|4AART|5CDMG|8RCR|9BEXP|aLWND
67	11365 41123	   	182.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17DMG|26VULN|3DUR|4AART|5CDMG|8RCR|9BEXP|aFEWX
68	11365 41132	   	182.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17DMG|26VULN|3DUR|4AART|5CDMG|8RCR|9LIT|aLWND
69	31135 42525	   	182.17	DCR|3VULN|2DMG|1AART|1ZMB	1CGEN|237VULN|49DMG|5MBVNT|6AART|8ZMB|aRCR
70	31135 47523	 * 	182.17	DCR|3DMG|2VULN|1AART|1ZMB	1CGEN|23VULN|479DMG|5MBVNT|6AART|8ZMB|aRCR
71	11365 41111	   	182.10	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17DMG|26VULN|3DUR|4AART|5CDMG|8RCR|9TLV|aLIT
72	11365 41113	   	182.10	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17DMG|26VULN|3DUR|4AART|5CDMG|8RCR|9TLV|aCGEN
73	11365 41121	   	182.10	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17DMG|26VULN|3DUR|4AART|5CDMG|8RCR|9BEXP|aERES
74	11365 41131	   	182.10	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	17DMG|26VULN|3DUR|4AART|5CDMG|8RCR|9LIT|aVENICY
75	13161 32451	   	182.07	DCR|3VULN|2DMG|1AART	19DMG|2FEWX|39aVULN|4AART|5DUST|6RCR|7TLV|89CGEN|9BPWR
76	12133 61253	 * 	182.04	DCR|3VULN|1AART|1DMG|2CDMG	1DMG|2LIT|39aVULN|45CDMG|6RCR|7FEWX|8AART
77	11246 63222	   	181.27	DCR|2VULN|2DMG|1AART|2ZMB	19DMG|25VULN|37ZMB|4AART|6RCR|8MLV|aBEXP
78	11115 43454	   	180.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|23aVULN|4ERES|5MBVNT|6AART|7ZMB|8CDMG|9RCR
79	13161 34325	   	180.32	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1ASPD	1DMG|2FEWX|38VULN|4AART|5DUST|6RCR|7FLTHEA|9ZMB|aASPD
80	11361 34322	   	180.32	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1DMG|28VULN|3DUR|4AART|5DUST|6RCR|7FLTHEA|9ZMB|aDMSP
81	11361 34323	   	180.32	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1DMG|28VULN|3DUR|4AART|5DUST|6RCR|7FLTHEA|9ZMB|aFEWX
82	11361 34324	   	180.22	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1DMG|28VULN|3DUR|4AART|5DUST|6RCR|7FLTHEA|9ZMB|aBASHEA
83	11134 36622	 * 	180.11	DCR|2VULN|2DMG|2AART|1FLTHEA	14DMG|23VULN|5RPLT|6MLV|78AART|9FLTHEA|aRCR
84	11362 12166	   	180.05	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	15DMG|28VULN|36DUR|4AART|7MLV|9ZMB|aRCR
85	11246 32116	   	179.98	DCR|4VULN|1AART|1DMG|1ZMB	1DMG|2578VULN|3ZMB|4AART|6FEWX|9RMIN|aRCR
86	11246 12116	   	179.88	DCR|4VULN|1AART|1DMG|1ZMB	1DMG|2578VULN|3ZMB|4AART|6DUST|9RMIN|aRCR
87	54235 32213	 * 	179.88	ACR|3VULN|1AART|2ZMB|1CDMG|1ASPD	1aMGNLIT|2RCR|3CGEN|45aVULN|6CDMG|7ASPD|8aZMB|9AART|aBPWR
88	13162 22262	   	179.70	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	15DMG|2FEWX|3aVULN|4AART|6CDMG|7AIRHEL|8DUR|9RCR
89	11246 63121	 * 	179.34	DCR|3VULN|1AART|1DMG|2ZMB	1DMG|258VULN|37ZMB|4AART|6RCR|9BELT|aCGEN
90	11246 63122	   	179.34	DCR|3VULN|1AART|1DMG|2ZMB	1DMG|258VULN|37ZMB|4AART|6RCR|9BELT|aLHND
91	11246 63123	   	179.34	DCR|3VULN|1AART|1DMG|2ZMB	1DMG|258VULN|37ZMB|4AART|6RCR|9BELT|aRPLT
92	11246 63131	   	179.34	DCR|3VULN|1AART|1DMG|2ZMB	1DMG|258VULN|37ZMB|4AART|6RCR|9BEXP|aLHND
93	11246 63133	   	179.34	DCR|3VULN|1AART|1DMG|2ZMB	1DMG|258VULN|37ZMB|4AART|6RCR|9BEXP|aLWND
94	11246 63111	   	179.24	DCR|3VULN|1AART|1DMG|2ZMB	1DMG|258VULN|37ZMB|4AART|6RCR|9DUST|aLHND
95	11246 63113	   	179.24	DCR|3VULN|1AART|1DMG|2ZMB	1DMG|258VULN|37ZMB|4AART|6RCR|9DUST|aLWND
96	11246 63132	   	179.24	DCR|3VULN|1AART|1DMG|2ZMB	1DMG|258VULN|37ZMB|4AART|6RCR|9BEXP|aTLV
97	11253 25342	 * 	179.23	DCR|3DMG|2VULN|2CDMG|1ZMB	157DMG|27VULN|3ZMB|4CGEN|67CDMG|7BPWR|8RPLT|9RCR|aLHND
98	11253 25343	   	179.23	DCR|3DMG|2VULN|2CDMG|1ZMB	157DMG|27VULN|3ZMB|4aCGEN|67CDMG|7BPWR|8RPLT|9RCR
99	11246 63112	   	179.14	DCR|3VULN|1AART|1DMG|2ZMB	1DMG|258VULN|37ZMB|4AART|6RCR|9DUST|aTLV
100	16124 61333	 * 	179.07	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	157DMG|2LHND|3VULN|4CDMG|6AART|8RCR|9ASPD|aFEWX
101	16143 61333	   	179.07	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	147DMG|2LHND|3VULN|5CDMG|6AART|8RCR|9ASPD|aFEWX
102	11253 25341	   	178.99	DCR|3DMG|2VULN|2CDMG|1ZMB|1SELL	157DMG|27VULN|3ZMB|4CGEN|67CDMG|7BPWR|8RPLT|9RCR|aSELL
103	16124 61323	   	178.97	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	157DMG|2LHND|3VULN|4CDMG|6AART|8RCR|9TLV|aASPD
104	16124 61331	   	178.97	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	157DMG|2LHND|3VULN|4CDMG|6AART|8RCR|9ASPD|aTLV
105	16124 61332	   	178.97	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	157DMG|2LHND|3VULN|4CDMG|6AART|8RCR|9ASPD|aERES
106	16143 61323	   	178.97	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	147DMG|2LHND|3VULN|5CDMG|6AART|8RCR|9TLV|aASPD
107	16143 61331	   	178.97	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	147DMG|2LHND|3VULN|5CDMG|6AART|8RCR|9ASPD|aTLV
108	16143 61332	   	178.97	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	147DMG|2LHND|3VULN|5CDMG|6AART|8RCR|9ASPD|aERES
109	11561 33632	   	178.75	DCR|2VULN|2DMG|1AART|2DUR	18DMG|28VULN|3BEXP|4AART|5DUST|6RCR|78DUR|8BPWR|9LIT|aFEWX
110	11561 33622	   	178.65	DCR|2VULN|2DMG|1AART|2DUR	18DMG|28VULN|3BEXP|4AART|59DUST|6RCR|78DUR|8BPWR|aFEWX
111	11561 33623	   	178.65	DCR|2VULN|2DMG|1AART|2DUR	18DMG|28VULN|3BEXP|4AART|59DUST|6RCR|78DUR|8BPWR|aRPLT
112	13161 33621	   	178.65	DCR|2VULN|2DMG|1AART|2DUR	18DMG|28FEWX|3aVULN|4AART|59DUST|6RCR|78DUR|8BPWR
113	26161 33621	   	178.65	DCR|2VULN|2DMG|1AART|2DUR	18BEXP|28DMG|3aVULN|4AART|59DUST|6RCR|78DUR|8BPWR
114	11246 63233	 * 	178.64	DCR|2VULN|1AART|1DMG|2ZMB|1FLTHEA	1DMG|25VULN|37ZMB|4AART|6RCR|8MLV|9FLTHEA|aRCVC
115	11361 33514	   	178.46	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DMG|28VULN|3DUR|4AART|5DUST|6RCR|7RCVC|9CDMG|aASPD
116	13161 34352	   	178.03	DCR|3VULN|1AART|1DMG|1FLTHEA	1DMG|2FEWX|38aVULN|4AART|5DUST|6RCR|7FLTHEA|9BELT
117	13161 35512	   	178.03	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|2FEWX|378VULN|4AART|5DUST|6RCR|9CDMG|aLWND
118	13161 35513	   	178.03	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|2FEWX|378VULN|4AART|5DUST|6RCR|9CDMG|aBELT
119	11361 31326	   	178.02	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1DMG|28VULN|3DUR|4aAART|5DUST|6RCR|7CANSTR|9ZMB
120	13161 31342	   	177.93	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|2FEWX|38aVULN|4AART|5DUST|6RCR|7CANSTR|9CDMG
121	13161 35511	   	177.93	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|2FEWX|378VULN|4AART|5DUST|6RCR|9CDMG|aERES
122	26161 31342	   	177.93	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|2DMG|38aVULN|4AART|5DUST|6RCR|7CANSTR|9CDMG
123	11561 31342	   	177.93	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|28aVULN|3BEXP|4AART|5DUST|6RCR|7CANSTR|9CDMG
124	54235 31111	 * 	177.85	ACR|3VULN|1AART|1DMG|1CDMG	1MGNLIT|2RCR|3CGEN|45aVULN|6CDMG|7ERES|8DMG|9AART
125	11365 21361	   	177.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DMG|28aVULN|3DUR|4AART|5CDMG|6ERES|7RPLT|9RCR
126	11363 26336	   	177.76	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1DMG|29VULN|3DUR|4AART|5CGEN|6ASPD|7CDMG|8ZMB|aRCR
127	12136 61222	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	19DMG|2LIT|35VULN|4CDMG|6RCR|7FEWX|8AART|aLWND
128	12136 61225	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	19DMG|2LIT|35VULN|4CDMG|6RCR|7aFEWX|8AART
129	12136 61226	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	19DMG|2LIT|35VULN|4CDMG|6RCR|7FEWX|8AART|aBELT
130	21414 41122	   	177.62	DCR|3VULN|2DMG|1AART|1SELL	19BEXP|2SELL|3AART|47DMG|56aVULN|8RCR
131	11134 36336	   	177.61	DCR|3VULN|2DMG|1AART|1DUR	14DMG|239VULN|5RPLT|6MLV|7AART|8DUR|aRCR
132	12136 61221	   	177.56	DCR|2VULN|2DMG|1AART|1CDMG	19DMG|2LIT|35VULN|4CDMG|6RCR|7FEWX|8AART|aVENICY
133	11244 62222	   	177.42	DCR|2VULN|2DMG|1AART|1ZMB	19DMG|27VULN|3ZMB|4AART|5DMSP|6RCR|8MLV|aBEXP
134	11246 63231	   	177.33	DCR|2VULN|1AART|1DMG|2ZMB|1FLTHEA	1DMG|25VULN|37ZMB|4AART|6RCR|8MLV|9FLTHEA|aLIT
135	11362 32166	   	177.26	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	15DMG|28VULN|3DUR|4AART|6RCVC|7MLV|9ZMB|aRCR
136	11246 63232	   	177.23	DCR|2VULN|1AART|1DMG|2ZMB|1FLTHEA	1DMG|25VULN|37ZMB|4AART|6RCR|8MLV|9FLTHEA|aDUST
137	11246 61223	   	177.09	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|25aVULN|3ZMB|4AART|6RCR|7LIT|8FEWX|9RCVC
138	13161 33625	   	176.71	DCR|3DMG|1AART|1VULN|2DUR	18aDMG|28FEWX|3VULN|4AART|59DUST|6RCR|78DUR|8BPWR
139	11361 35151	   	176.61	DCR|3VULN|1AART|1DMG|2DUR	1DMG|27aVULN|39DUR|4AART|5DUST|6RCR|8BEXP
140	11134 26363	   	176.10	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	14DMG|23VULN|5RPLT|6ERES|7DUR|8CDMG|9RCR|aAART
141	13161 34343	   	176.03	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	1DMG|2FEWX|38VULN|4AART|5DUST|6RCR|7FLTHEA|9CDMG|aLIT
142	13161 34315	   	175.93	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1DMG|2FEWX|38VULN|4AART|59DUST|6RCR|7FLTHEA|aCDMG
143	13161 34341	   	175.93	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	1DMG|2FEWX|38VULN|4AART|5DUST|6RCR|7FLTHEA|9CDMG|aERES
144	34353 62133	   	175.92	DCR|3VULN|2DMG|1AART|1SELL	17CGEN|2ERES|37DMG|4SELL|57aVULN|6AART|7BPWR|8RCR|9LIT
145	54235 32211	   	175.83	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1MGNLIT|2RCR|3CGEN|45aVULN|6CDMG|7ASPD|8ZMB|9AART
146	11133 33164	 * 	175.82	DCR|4VULN|2DMG|1CDMG	14DMG|236aVULN|5CDMG|7CGEN|8FEWX|9RCR
147	12136 61252	   	175.73	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|2LIT|359VULN|4CDMG|6RCR|7FEWX|8AART|aLWND
148	11133 31164	   	175.72	DCR|4VULN|2DMG|1CDMG	14DMG|236aVULN|5CDMG|7TLV|8FEWX|9RCR
149	12136 61251	   	175.63	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|2LIT|359VULN|4CDMG|6RCR|7FEWX|8AART|aVENICY
150	11244 62121	   	175.48	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|278VULN|3ZMB|4AART|5DMSP|6RCR|9BELT|aCGEN
151	11244 62122	   	175.48	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|278VULN|3ZMB|4AART|5DMSP|6RCR|9BELT|aLHND
152	11244 62123	   	175.48	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|278VULN|3ZMB|4AART|5DMSP|6RCR|9BELT|aRPLT
153	11244 62131	   	175.48	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|278VULN|3ZMB|4AART|5DMSP|6RCR|9BEXP|aLHND
154	11244 62133	   	175.48	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|278VULN|3ZMB|4AART|5DMSP|6RCR|9BEXP|aLWND
155	11246 62311	   	175.48	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|257VULN|3ZMB|4AART|6RCR|8FEWX|9CGEN|aLHND
156	11246 62312	   	175.48	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|257VULN|3ZMB|4AART|6RCR|8aFEWX|9CGEN
157	11246 62321	   	175.48	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|257VULN|3ZMB|4AART|6RCR|89FEWX|aLHND
158	11246 62323	   	175.48	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|257VULN|3ZMB|4AART|6RCR|89FEWX|aLWND
159	11315 52363	 * 	175.46	DCR|3VULN|2DMG|3DUR|2ASPD	19DMG|267VULN|389DUR|49ASPD|5BELT|9BPWR|aRCR
160	11361 33661	   	175.46	DCR|2VULN|2DMG|1AART|1DUR	19DMG|2aVULN|3DUR|4AART|5DUST|6RCR|7RCVC|8LWND
161	11244 62111	   	175.38	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|278VULN|3ZMB|4AART|5DMSP|6RCR|9DUST|aLHND
162	11244 62113	   	175.38	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|278VULN|3ZMB|4AART|5DMSP|6RCR|9DUST|aLWND
163	11244 62132	   	175.38	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|278VULN|3ZMB|4AART|5DMSP|6RCR|9BEXP|aTLV
164	11246 62211	   	175.38	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|257VULN|3ZMB|4AART|6RCR|8MLV|9ERES|aLHND
165	11246 62322	   	175.38	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|257VULN|3ZMB|4AART|6RCR|89FEWX|aTLV
166	12136 62212	   	175.33	DCR|3VULN|2DMG|2CDMG	1aDMG|28LIT|35aVULN|4aCDMG|6RCR|7RMIN|9LEGI|aBPWR
