0	Index      	 *	Score 	Summary	Detail	
1	21313 12621	 * 	202.63	ACR|2VULN|2AART|1DMG|2ASPD|1CDMG|2DUR	1RCR|27ASPD|37VULN|4ERES|5CDMG|67DUR|7BPWR|8aAART|9DMG
23	23436 51331	 * 	189.99	ACR|3VULN|3DMG|1CDMG	1RCR|289LIT|34ERES|589DMG|689VULN|7RCVC|89BPWR|aCDMG
24	21523 13365	 * 	189.49	ACR|2VULN|2DMG|3DUR|2ZMB|2ASPD	1RCR|2aASPD|345DUR|67VULN|8aZMB|9aDMG|aBPWR
25	21322 34231	   	189.23	ACR|2DMG|1AART|1VULN|2ASPD|2DUR|1ZMB	1RCR|29ASPD|3VULN|49DUR|5BEXP|6MLV|7AART|89DMG|9BPWR|aZMB
26	21325 24231	   	189.23	ACR|2DMG|1AART|1VULN|2ASPD|2DUR|1ZMB	1RCR|29ASPD|3VULN|49DUR|5CGEN|6FEWX|7AART|89DMG|9BPWR|aZMB
27	21325 54231	   	189.23	ACR|2DMG|1AART|1VULN|2ASPD|2DUR|1ZMB	1RCR|29ASPD|3VULN|49DUR|5CGEN|6BEXP|7AART|89DMG|9BPWR|aZMB
28	21323 34231	   	189.13	ACR|2DMG|1AART|1VULN|2ASPD|2DUR|1ZMB	1RCR|29ASPD|3VULN|49DUR|5DUST|6MLV|7AART|89DMG|9BPWR|aZMB
29	21324 24231	   	189.13	ACR|2DMG|1AART|1VULN|2ASPD|2DUR|1ZMB	1RCR|29ASPD|3VULN|49DUR|5TLV|6FEWX|7AART|89DMG|9BPWR|aZMB
30	21324 54231	   	189.13	ACR|2DMG|1AART|1VULN|2ASPD|2DUR|1ZMB	1RCR|29ASPD|3VULN|49DUR|5TLV|6BEXP|7AART|89DMG|9BPWR|aZMB
31	21325 44231	   	189.13	ACR|2DMG|1AART|1VULN|2ASPD|2DUR|1ZMB	1RCR|29ASPD|3VULN|49DUR|5CGEN|6DUST|7AART|89DMG|9BPWR|aZMB
32	21324 44231	   	189.03	ACR|2DMG|1AART|1VULN|2ASPD|2DUR|1ZMB	1RCR|29ASPD|3VULN|49DUR|5TLV|6DUST|7AART|89DMG|9BPWR|aZMB
33	21341 32346	   	188.27	ACR|3VULN|1AART|1DMG|2DUR|1ASPD	1RCR|2ASPD|378VULN|4LIT|5AART|6aDUR|9DMG
34	25162 22243	   	188.22	ACR|2VULN|2DMG|2AART|1ASPD	1RCR|26BEXP|3aVULN|4DUST|56DMG|6BPWR|79AART|8ASPD
35	21121 62412	 * 	188.04	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1ASPD|1DUR	1RCR|2ASPD|3FEWX|4DUR|5AART|6FLTHEA|7DMG|8VULN|9ZMB|aCDMG
36	26632 11235	 * 	187.89	ACR|3DMG|2VULN|1AART	1RCR|29LWND|3AART|4DLOT|5ERES|6DMSP|79aDMG|89VULN|9BPWR
37	26632 31235	   	187.89	ACR|3DMG|2VULN|1AART	1RCR|29LWND|3AART|4DLOT|5ERES|69aDMG|7RCVC|89VULN|9BPWR
38	25162 22223	   	187.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1RCR|26BEXP|3aVULN|4DUST|56DMG|6BPWR|7AART|8ASPD|9ZMB
39	25162 62223	   	187.67	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1RCR|2BEXP|3aVULN|4DUST|56DMG|7AART|8ASPD|9ZMB
40	26112 21672	 * 	187.59	ACR|3DMG|2VULN|2CDMG|1DUR	1RCR|267LWND|3aVULN|4DUR|56aDMG|6aBPWR|8MBVNT|9aCDMG
41	66132 15133	   	187.48	ACR|4VULN|1AART|1DMG|1ASPD|1DUR	136aVULN|2FEWX|4RCR|5ASPD|7DUR|8DMG|9AART
42	64132 43321	 * 	187.41	DCR|3VULN|2DMG|2AART	135VULN|2LWND|47DMG|6aAART|8RCR|9DUST
43	64132 43331	   	187.07	DCR|3VULN|2DMG|1AART|1ZMB	135VULN|2LWND|47DMG|6AART|8RCR|9ZMB|aRCVC
44	64132 43332	   	187.07	DCR|3VULN|2DMG|1AART|1ZMB	135VULN|2LWND|47DMG|6AART|8RCR|9ZMB|aBEXP
45	64132 43333	   	187.07	DCR|3VULN|2DMG|1AART|1ZMB	135VULN|2LWND|47DMG|6AART|8RCR|9ZMB|aMLV
46	21312 12345	 * 	186.96	ACR|2VULN|1AART|3ASPD|1DMG|2ZMB	1RCR|25aASPD|3aVULN|4ERES|6DMG|7AART|8aZMB|9LEGI|aBPWR
47	21224 14326	   	186.87	ACR|2DMG|1AART|1VULN|1CDMG|2DUR|1ASPD	1RCR|2ASPD|3RCVC|4AART|5aDUR|6CDMG|7VULN|89DMG
48	31423 12621	 * 	186.71	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	17CDMG|2ERES|37VULN|49DMG|5BEXP|67DUR|7BPWR|8AART|aRCR
49	31426 12621	   	186.71	DCR|2VULN|2DMG|1AART|2CDMG|2DUR	17CDMG|2ERES|37VULN|49DMG|5FEWX|67DUR|7BPWR|8AART|aRCR
50	21313 12646	 * 	186.67	ACR|3VULN|1AART|2ASPD|1CDMG|2DUR	1RCR|27ASPD|37aVULN|49ERES|5CDMG|67DUR|7BPWR|8AART
51	62321 14111	   	186.40	DCR|5VULN|1AART|1CDMG|1ZMB	13789VULN|2ZMB|4AART|5LHND|6CDMG|aRCR
52	62322 14111	   	186.40	DCR|5VULN|1AART|1CDMG|1ZMB	13789VULN|2ZMB|4AART|5FEWX|6CDMG|aRCR
53	62325 14111	   	186.40	DCR|5VULN|1AART|1CDMG|1ZMB	13789VULN|2ZMB|4AART|5BEXP|6CDMG|aRCR
54	21121 62362	 * 	186.27	ACR|2DMG|1AART|1VULN|1FLTHEA|2DUR|1ASPD	1RCR|2ASPD|3FEWX|48DUR|5AART|6FLTHEA|79DMG|aVULN
55	21121 62423	 * 	186.27	ACR|2VULN|1AART|1DMG|1FLTHEA|2DUR|1ASPD	1RCR|2ASPD|3FEWX|49DUR|5AART|6FLTHEA|7DMG|8aVULN
56	62322 13643	   	186.27	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	13VULN|2ZMB|4AART|5FEWX|6CDMG|7LWND|8RCR|9aDMG
57	21321 16133	   	185.87	ACR|3VULN|1AART|1DMG|2DUR|1ASPD	1RCR|2ASPD|36aVULN|45DUR|7BEXP|8DMG|9AART
58	21522 16133	   	185.87	ACR|3VULN|1AART|1DMG|2DUR|1ASPD	1RCR|2ASPD|34DUR|56aVULN|7BEXP|8DMG|9AART
59	25116 15233	   	185.71	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1RCR|29BEXP|3aVULN|4AART|59CGEN|6DUR|7ASPD|89DMG|9BPWR
60	21221 14322	   	185.64	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1RCR|2ASPD|3RCVC|4AART|5LHND|6CDMG|7VULN|89DMG|aZMB
61	21222 14322	   	185.64	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1RCR|2ASPD|3RCVC|4AART|5FEWX|6CDMG|7VULN|89DMG|aZMB
62	21313 12563	   	185.57	ACR|3VULN|1AART|2ASPD|1CDMG|2DUR	1RCR|27ASPD|379VULN|4ERES|5CDMG|67DUR|7BPWR|8LHND|aAART
63	23214 22342	   	185.49	ACR|3DMG|2VULN|1AART	1RCR|2LIT|3RMIN|4CGEN|59aDMG|68VULN|7AART
64	23214 22352	 * 	185.49	ACR|3VULN|2DMG|1AART	1RCR|2LIT|3RMIN|4CGEN|5aDMG|689VULN|7AART
65	23354 22342	   	185.49	ACR|3DMG|2VULN|1AART	1RCR|2LIT|3CGEN|4RMIN|59aDMG|68VULN|7AART
66	23354 22352	   	185.49	ACR|3VULN|2DMG|1AART	1RCR|2LIT|3CGEN|4RMIN|5aDMG|689VULN|7AART
67	25115 63333	   	185.28	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|2BEXP|39VULN|4AART|5CDMG|6FEWX|7CGEN|8aDMG
68	66136 12143	 * 	185.25	ACR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	13aVULN|2FEWX|4RCR|5MBVNT|6DMG|7AART|8ZMB|9FLTHEA
69	21321 15214	 * 	185.15	ACR|3VULN|3CDMG|3ASPD|3DUR	1RCR|29aASPD|36aVULN|459DUR|7RCVC|89aCDMG|9aBPWR
70	21212 23554	   	185.14	ACR|3VULN|2DMG|2ASPD|1ZMB	1RCR|29ASPD|36RCVC|4TLV|579VULN|89DMG|9BPWR|aZMB
71	35136 62113	   	185.06	DCR|4VULN|3CDMG|1AART|1DUR	145CDMG|2345VULN|45BPWR|6DUR|7AART|8RCR|9LHND|aRMIN
72	35136 62123	   	185.06	DCR|4VULN|3CDMG|1AART|1DUR	145CDMG|2345VULN|45BPWR|6DUR|7AART|8RCR|9LWND|aRMIN
73	35336 62111	   	185.06	DCR|4VULN|3CDMG|1AART|1DUR	145CDMG|245aVULN|3RCVC|45BPWR|6DUR|7AART|8RCR|9LHND
74	35336 62121	   	185.06	DCR|4VULN|3CDMG|1AART|1DUR	145CDMG|245aVULN|3RCVC|45BPWR|6DUR|7AART|8RCR|9LWND
75	26634 31113	 * 	185.05	ACR|3DMG|1AART|1VULN|2ZMB	1RCR|2LWND|3AART|4DLOT|567DMG|8aZMB|9VULN
76	35136 62133	   	184.96	DCR|4VULN|3CDMG|1AART|1DUR	145CDMG|2345VULN|45BPWR|6DUR|7AART|8RCR|9LSRHEA|aLWND
77	25162 22123	 * 	184.69	ACR|2VULN|2DMG|1AART|2ZMB	1RCR|26BEXP|3aVULN|4DUST|56DMG|6BPWR|7AART|89ZMB
78	25153 15133	   	184.64	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1RCR|24BEXP|36aVULN|5ZMB|7DUR|8DMG|9AART
79	26112 23145	   	184.64	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	1RCR|26LWND|3VULN|4DUR|56aDMG|6BPWR|7DLOT|8ZMB|9AART
80	25162 62123	   	184.59	ACR|2VULN|2DMG|1AART|2ZMB	1RCR|2BEXP|3aVULN|4DUST|56DMG|7AART|89ZMB
81	21534 11222	 * 	184.46	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR	1RCR|27ASPD|37DUR|4CGEN|5FEWX|67DMG|7BPWR|89VULN|aCDMG
82	21536 11222	   	184.46	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR	1RCR|27ASPD|37DUR|4CGEN|5BEXP|67DMG|7BPWR|89VULN|aCDMG
83	21565 11222	   	184.46	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR	1RCR|27ASPD|37DUR|4BEXP|5CGEN|67DMG|7BPWR|89VULN|aCDMG
84	21564 11222	   	184.36	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR	1RCR|27ASPD|37DUR|4BEXP|5TLV|67DMG|7BPWR|89VULN|aCDMG
85	21341 31346	   	184.06	ACR|2VULN|2AART|1DMG|2DUR|1ASPD	1RCR|2ASPD|38VULN|4LIT|57AART|6aDUR|9DMG
86	21361 34231	   	183.94	ACR|2DMG|1AART|1VULN|2ASPD|1ZMB|1DUR	1RCR|29ASPD|3VULN|49BEXP|5DUR|6MLV|7AART|89DMG|9BPWR|aZMB
87	26651 21322	 * 	183.85	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|2LWND|3AART|48aVULN|5MLV|6TLV|7CDMG|9DMG
88	21313 12162	   	183.70	ACR|3VULN|3ASPD|3DUR|1CDMG|1ZMB	1RCR|279ASPD|379VULN|4ERES|5CDMG|679DUR|79BPWR|8RMIN|aZMB
89	25632 22431	   	183.68	ACR|2AART|2VULN|2DMG	1RCR|29BEXP|37AART|4DLOT|5ERES|69VULN|89DMG|9BPWR|aRPLT
90	25632 22433	   	183.68	ACR|2AART|2VULN|2DMG	1RCR|29BEXP|37AART|4DLOT|5ERES|69VULN|89DMG|9BPWR|aRMIN
91	21312 12356	   	183.64	ACR|2DMG|1AART|1VULN|2ASPD|1ZMB|1DUR	1RCR|25ASPD|3VULN|4ERES|69DMG|7AART|8ZMB|aDUR
92	21222 23434	   	183.45	ACR|3DMG|1AART|1VULN|2ASPD	1RCR|28ASPD|3RCVC|4AART|5FEWX|68LHND|789DMG|8BPWR|aVULN
93	25114 31333	   	183.25	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|2BEXP|369VULN|4AART|5DUST|7CDMG|8FEWX|aDMG
94	25111 26252	   	182.98	ACR|2AART|2VULN|2DMG	1RCR|2BEXP|37VULN|48AART|5MLV|6TLV|9aDMG
95	21341 32332	   	182.98	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCR|2ASPD|378VULN|4LIT|5AART|6DUR|9DMSP|aDMG
96	21341 32341	   	182.98	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCR|2ASPD|378VULN|4LIT|5AART|6DUR|9DMG|aRPLT
97	21341 32342	   	182.98	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCR|2ASPD|378VULN|4LIT|5AART|6DUR|9DMG|aLHND
98	21341 32344	   	182.98	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCR|2ASPD|378VULN|4LIT|5AART|6DUR|9DMG|aBELT
99	21522 15215	 * 	182.88	ACR|4VULN|2CDMG|2ASPD|2DUR	1RCR|29ASPD|34DUR|569aVULN|7RCVC|89CDMG|9BPWR
100	21341 32343	   	182.88	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCR|2ASPD|378VULN|4LIT|5AART|6DUR|9DMG|aDUST
101	21341 32345	   	182.88	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	1RCR|2ASPD|378VULN|4LIT|5AART|6DUR|9DMG|aTLV
102	66133 51133	   	182.73	ACR|3VULN|1AART|1DMG|2DUR|1ZMB	13aVULN|2FEWX|4RCR|5ZMB|6DMG|78DUR|9AART
103	64132 43113	   	182.71	DCR|3VULN|2DMG|2AART	135VULN|2LWND|47DMG|69AART|8LIT|aRCR
104	25312 33626	   	182.68	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|2BEXP|34ERES|5aVULN|6CDMG|79DMG|8AART
105	25322 33626	   	182.68	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|2BEXP|35ERES|4aVULN|6CDMG|79DMG|8AART
106	21534 11631	 * 	182.66	ACR|2DMG|2AART|2ASPD|1CDMG|2DUR	1RCR|27ASPD|37DUR|4CGEN|5FEWX|67DMG|7BPWR|8aAART|9CDMG
107	21514 11631	   	182.56	ACR|2DMG|2AART|2ASPD|1CDMG|2DUR	1RCR|27ASPD|37DUR|4ERES|5FEWX|67DMG|7BPWR|8aAART|9CDMG
108	21543 22332	   	182.38	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCR|2ASPD|3DUR|4LIT|578VULN|6AART|9DMSP|aDMG
109	21543 22341	   	182.38	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCR|2ASPD|3DUR|4LIT|578VULN|6AART|9DMG|aRPLT
110	21543 22342	   	182.38	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCR|2ASPD|3DUR|4LIT|578VULN|6AART|9DMG|aLHND
111	35336 62132	   	182.31	DCR|3VULN|2AART|3CDMG|1DUR	145CDMG|245VULN|3RCVC|45BPWR|6DUR|7aAART|8RCR|9LSRHEA
112	21543 22343	   	182.28	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCR|2ASPD|3DUR|4LIT|578VULN|6AART|9DMG|aDUST
113	24213 12421	   	182.28	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCR|2VENICY|3CGEN|4DUR|589VULN|6AART|7ASPD|aDMG
114	24513 12421	   	182.18	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	1RCR|2VENICY|3ERES|4DUR|589VULN|6AART|7ASPD|aDMG
115	21322 34235	 * 	182.04	ACR|2DMG|1AART|1VULN|3DUR|2ASPD	1RCR|29ASPD|3VULN|49aDUR|5BEXP|6MLV|7AART|89DMG|9BPWR
116	21325 24235	   	182.04	ACR|2DMG|1AART|1VULN|3DUR|2ASPD	1RCR|29ASPD|3VULN|49aDUR|5CGEN|6FEWX|7AART|89DMG|9BPWR
117	21313 12642	   	182.02	ACR|2VULN|1AART|2ASPD|1CDMG|2DUR|1ZMB	1RCR|27ASPD|37VULN|49ERES|5CDMG|67DUR|7BPWR|8AART|aZMB
118	21323 34235	   	181.94	ACR|2DMG|1AART|1VULN|3DUR|2ASPD	1RCR|29ASPD|3VULN|49aDUR|5DUST|6MLV|7AART|89DMG|9BPWR
119	21324 24235	   	181.94	ACR|2DMG|1AART|1VULN|3DUR|2ASPD	1RCR|29ASPD|3VULN|49aDUR|5TLV|6FEWX|7AART|89DMG|9BPWR
120	26535 11222	   	181.92	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1RCR|27LWND|37DUR|4ZMB|5CGEN|67DMG|7BPWR|89VULN|aCDMG
121	21121 62361	 * 	181.86	ACR|3DMG|1AART|1FLTHEA|2DUR|1ASPD	1RCR|2ASPD|3FEWX|48DUR|5AART|6FLTHEA|79aDMG
122	26534 11222	   	181.82	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1RCR|27LWND|37DUR|4ZMB|5TLV|67DMG|7BPWR|89VULN|aCDMG
123	21522 33265	 * 	181.63	ACR|2VULN|1DMG|2ZMB|2ASPD|1CDMG|2DUR	1RCR|29ASPD|34DUR|59VULN|6CDMG|7TLV|89ZMB|9BPWR|aDMG
124	21313 12255	 * 	181.59	ACR|2VULN|1DMG|3DUR|2ASPD|1CDMG|1ZMB	1RCR|27ASPD|37VULN|4ERES|5CDMG|679DUR|7BPWR|8ZMB|aDMG
125	21224 14321	   	181.57	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1RCR|2ASPD|3RCVC|4AART|5DUR|6CDMG|7VULN|89DMG|aRMIN
126	21224 14323	   	181.57	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1RCR|2ASPD|3RCVC|4AART|5DUR|6CDMG|7VULN|89DMG|aMLV
127	21224 14324	   	181.57	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1RCR|2ASPD|3RCVC|4AART|5DUR|6CDMG|7VULN|89DMG|aRPLT
128	21224 14325	   	181.57	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1RCR|2ASPD|3RCVC|4AART|5DUR|6CDMG|7VULN|89DMG|aCGEN
129	21221 14326	   	181.57	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1RCR|2ASPD|3RCVC|4AART|5LHND|6CDMG|7VULN|89DMG|aDUR
130	21222 14326	   	181.57	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1RCR|2ASPD|3RCVC|4AART|5FEWX|6CDMG|7VULN|89DMG|aDUR
131	23221 22346	   	181.33	ACR|3VULN|1AART|1DMG|2DUR	1RCR|2LIT|3RMIN|478VULN|5AART|6aDUR|9DMG
132	66133 51333	 * 	181.29	ACR|3VULN|1AART|1DMG|2ZMB|1DUR	13aVULN|2FEWX|4RCR|58ZMB|6DMG|7DUR|9AART
133	23214 22332	   	181.28	ACR|2VULN|2DMG|2AART	1RCR|2LIT|3RMIN|4CGEN|5aDMG|68VULN|79AART
134	23354 22332	   	181.28	ACR|2VULN|2DMG|2AART	1RCR|2LIT|3CGEN|4RMIN|5aDMG|68VULN|79AART
135	26634 31111	   	181.20	ACR|3DMG|1AART|1VULN|1ZMB	1RCR|2LWND|3AART|4DLOT|567DMG|8ZMB|9VULN|aLHND
136	26634 31112	   	181.20	ACR|3DMG|1AART|1VULN|1ZMB	1RCR|2LWND|3AART|4DLOT|567DMG|8ZMB|9VULN|aCGEN
137	26634 31233	   	181.20	ACR|3DMG|1AART|1VULN|1ZMB	1RCR|2LWND|3AART|4DLOT|567DMG|8VULN|9RMIN|aZMB
138	66136 12243	   	181.19	ACR|3VULN|1AART|1DMG|1FLTHEA|1ASPD	13aVULN|2FEWX|4RCR|5MBVNT|6DMG|7AART|8ASPD|9FLTHEA
139	25115 12341	 * 	181.15	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1RCR|29BEXP|3VULN|4AART|59CDMG|6CGEN|7DUR|89DMG|9BPWR|aRCVC
140	25115 12342	   	181.15	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1RCR|29BEXP|3VULN|4AART|59CDMG|6CGEN|7DUR|89DMG|9BPWR|aFEWX
141	25115 12343	   	181.15	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1RCR|29BEXP|3VULN|4AART|59CDMG|6CGEN|7DUR|89DMG|9BPWR|aLHND
142	21212 15552	   	181.07	ACR|3VULN|2DMG|2ASPD|1DUR	1RCR|29ASPD|37RCVC|4TLV|589VULN|69DMG|9BPWR|aDUR
143	21212 23552	   	181.07	ACR|3VULN|2DMG|2ASPD|1DUR	1RCR|29ASPD|36RCVC|4TLV|579VULN|89DMG|9BPWR|aDUR
144	21215 33552	   	181.07	ACR|3VULN|2DMG|2ASPD|1DUR	1RCR|29ASPD|35RCVC|4TLV|679VULN|89DMG|9BPWR|aDUR
145	21121 62411	 * 	181.00	ACR|1AART|1VULN|1DMG|1FLTHEA|2ASPD|1ZMB|1DUR	1RCR|2aASPD|3FEWX|4DUR|5AART|6FLTHEA|7DMG|8VULN|9ZMB
146	33422 12433	   	180.98	DCR|2VULN|2DMG|1AART|2CDMG	12CDMG|2BPWR|36DMG|4RPLT|5aVULN|7RCR|8FEWX|9AART
147	33422 12633	   	180.98	DCR|2VULN|2DMG|1AART|2CDMG	12CDMG|2BPWR|36DMG|4RPLT|5aVULN|7RCR|8BEXP|9AART
148	21121 62433	   	180.97	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR|1ASPD	1RCR|2ASPD|39FEWX|4DUR|5AART|6FLTHEA|7DMG|8aVULN
149	21121 62451	   	180.97	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD|1DUR	1RCR|2ASPD|3FEWX|4DUR|5AART|6FLTHEA|7DMG|8aVULN|9LHND
150	21341 34311	   	180.97	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1RCR|2ASPD|39VULN|4aLIT|5AART|6DUR|7DMG|8CDMG
151	21341 34312	   	180.97	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1RCR|2ASPD|39VULN|4LIT|5AART|6DUR|7DMG|8CDMG|aFEWX
152	21341 34313	   	180.97	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1RCR|2ASPD|39VULN|4LIT|5AART|6DUR|7DMG|8CDMG|aLHND
153	21341 34314	   	180.97	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1RCR|2ASPD|39VULN|4LIT|5AART|6DUR|7DMG|8CDMG|aCGEN
154	21341 34315	   	180.97	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1RCR|2ASPD|39VULN|4LIT|5AART|6DUR|7DMG|8CDMG|aRCVC
155	21325 13633	   	180.97	ACR|3VULN|2DMG|2ASPD|1DUR	1RCR|29ASPD|39aVULN|4DUR|5CGEN|69DMG|7DLOT|8LEGI|9BPWR
156	21214 33552	   	180.97	ACR|3VULN|2DMG|2ASPD|1DUR	1RCR|29ASPD|3RCVC|45TLV|679VULN|89DMG|9BPWR|aDUR
157	25162 51222	   	180.97	ACR|3VULN|2DMG|1CDMG|1DUR	1RCR|2BEXP|389VULN|4DUST|57DMG|6DUR|aCDMG
158	21313 12213	   	180.92	ACR|2VULN|1AART|2ASPD|1CDMG|2DUR|1ZMB	1RCR|27ASPD|37VULN|4ERES|5CDMG|67DUR|7BPWR|8ZMB|9CGEN|aAART
159	33422 12133	   	180.88	DCR|2VULN|2DMG|1AART|2CDMG	12CDMG|2BPWR|36DMG|4RPLT|5aVULN|7RCR|8MBVNT|9AART
