0	Index      	 *	Score 	Summary	Detail	
1	32355 61223	 * 	208.17	DCR|3DMG|2VULN|1AART|2ZMB|2ASPD	1aASPD|289DMG|3TLV|4AART|5aVULN|6aZMB|7RCR|aBPWR
24	32236 15222	   	184.60	ACR|3DMG|2VULN|2CDMG|2ASPD	19ASPD|269DMG|38VULN|4CGEN|5RCR|79CDMG|9BPWR|aBEXP
25	32236 15224	   	184.60	ACR|3DMG|2VULN|2CDMG|2ASPD	19ASPD|269DMG|38VULN|4CGEN|5RCR|79CDMG|9BPWR|aLHND
26	32236 15225	   	184.60	ACR|3DMG|2VULN|2CDMG|2ASPD	19ASPD|269DMG|38VULN|4CGEN|5RCR|79CDMG|9BPWR|aLIT
27	32226 15222	   	184.50	ACR|3DMG|2VULN|2CDMG|2ASPD	19ASPD|269DMG|38VULN|4TLV|5RCR|79CDMG|9BPWR|aBEXP
28	32226 15224	   	184.50	ACR|3DMG|2VULN|2CDMG|2ASPD	19ASPD|269DMG|38VULN|4TLV|5RCR|79CDMG|9BPWR|aLHND
29	32226 15225	   	184.50	ACR|3DMG|2VULN|2CDMG|2ASPD	19ASPD|269DMG|38VULN|4TLV|5RCR|79CDMG|9BPWR|aLIT
30	32253 32362	   	184.00	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1ASPD|28DMG|3aVULN|4LWND|5CDMG|6RCR|7RCVC|9AART
31	32236 15314	 * 	183.80	ACR|2VULN|2DMG|3ASPD|2ZMB|1CDMG	18aASPD|26DMG|3aVULN|4CGEN|5RCR|7CDMG|9aZMB|aBPWR
32	32226 15314	   	183.70	ACR|2VULN|2DMG|3ASPD|2ZMB|1CDMG	18aASPD|26DMG|3aVULN|4TLV|5RCR|7CDMG|9aZMB|aBPWR
33	32133 51323	 * 	183.48	DCR|2VULN|2DMG|1AART|3ASPD	15aASPD|2aDMG|3DUST|45CGEN|5aBPWR|6RCR|7RCVC|8aVULN|9AART
34	32133 53323	   	183.48	DCR|2VULN|2DMG|1AART|3ASPD	15aASPD|2aDMG|3DUST|457CGEN|5aBPWR|6RCR|8aVULN|9AART
35	32243 31314	   	183.40	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1ASPD|29DMG|38VULN|4BEXP|5CDMG|6RCR|7LHND|aAART
36	32543 51323	   	183.38	DCR|2VULN|2DMG|1AART|3ASPD	15aASPD|2aDMG|3MLV|45DUST|5aBPWR|6RCR|7RCVC|8aVULN|9AART
37	32123 51323	   	183.28	DCR|2VULN|2DMG|1AART|3ASPD	15aASPD|2aDMG|3DUST|45TLV|5aBPWR|6RCR|7RCVC|8aVULN|9AART
38	32343 51323	   	183.28	DCR|2VULN|2DMG|1AART|3ASPD	15aASPD|2aDMG|3TLV|45DUST|5aBPWR|6RCR|7RCVC|8aVULN|9AART
39	32214 14413	   	183.14	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	1ASPD|26DMG|38VULN|4RPLT|5CDMG|7DUR|9RCR|aAART
40	32243 33312	 * 	182.79	DCR|3VULN|2DMG|1CDMG|1ASPD|1DUR	1ASPD|29DMG|38aVULN|4BEXP|5CDMG|6RCR|7DUR
41	32243 33313	   	182.79	DCR|3DMG|2VULN|1CDMG|1ASPD|1DUR	1ASPD|29aDMG|38VULN|4BEXP|5CDMG|6RCR|7DUR
42	32243 33363	   	182.79	DCR|3VULN|2DMG|1CDMG|1ASPD|1DUR	1ASPD|2aDMG|389VULN|4BEXP|5CDMG|6RCR|7DUR
43	32236 15213	   	182.48	ACR|3DMG|2VULN|1CDMG|1ZMB|1ASPD	1ASPD|26aDMG|38VULN|4CGEN|5RCR|7CDMG|9ZMB
44	32266 15213	   	182.48	ACR|3DMG|2VULN|1CDMG|1ZMB|1ASPD	1ASPD|26aDMG|38VULN|4RMIN|5RCR|7CDMG|9ZMB
45	32113 45332	   	182.46	DCR|3DMG|2VULN|2ASPD|1CDMG	19ASPD|29aDMG|3DUST|4RPLT|5CDMG|6RCR|7MBVNT|89VULN|9BPWR
46	32226 15213	   	182.38	ACR|3DMG|2VULN|1CDMG|1ZMB|1ASPD	1ASPD|26aDMG|38VULN|4TLV|5RCR|7CDMG|9ZMB
47	32136 15422	   	181.65	ACR|3DMG|1AART|2CDMG|2ASPD|1ZMB	18ASPD|268DMG|3DUST|4CGEN|5RCR|78CDMG|8BPWR|9AART|aZMB
48	32266 12422	   	181.63	ACR|3VULN|2DMG|1AART|1ASPD	1ASPD|26DMG|38aVULN|4RMIN|5RCR|7FEWX|9AART
49	32126 15422	   	181.55	ACR|3DMG|1AART|2CDMG|2ASPD|1ZMB	18ASPD|268DMG|3DUST|4TLV|5RCR|78CDMG|8BPWR|9AART|aZMB
50	32226 12422	   	181.53	ACR|3VULN|2DMG|1AART|1ASPD	1ASPD|26DMG|38aVULN|4TLV|5RCR|7FEWX|9AART
51	32226 16422	   	181.53	ACR|3VULN|2DMG|1AART|1ASPD	1ASPD|26DMG|38aVULN|4TLV|5RCR|7BEXP|9AART
52	32243 31364	   	181.47	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2DMG|389VULN|4BEXP|5CDMG|6RCR|7LHND|aAART
53	32355 61211	   	179.92	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD	1ASPD|28aDMG|3TLV|4AART|5VULN|6ZMB|7RCR|9RCVC
54	32355 61221	   	179.92	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD	1ASPD|289DMG|3TLV|4AART|5VULN|6ZMB|7RCR|aRPLT
55	32266 14322	   	179.52	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	18ASPD|26DMG|3aVULN|4RMIN|5RCR|7DUR|9AART
56	14611 13134	 * 	179.41	DCR|4VULN|1AART|1DMG|2DUR	1LHND|2469VULN|35DUR|7AART|8DMG|aRCR
57	14613 13124	   	179.41	DCR|4VULN|1AART|1DMG|2DUR	1LHND|2456VULN|39DUR|7AART|8DMG|aRCR
58	32234 15224	 * 	179.38	DCR|3VULN|2DMG|2CDMG|2ASPD	19ASPD|26DMG|389VULN|4CGEN|5LWND|79CDMG|9BPWR|aRCR
59	32243 33362	   	179.31	DCR|4VULN|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2DMG|389aVULN|4BEXP|5CDMG|6RCR|7DUR
60	32224 15224	   	179.28	DCR|3VULN|2DMG|2CDMG|2ASPD	19ASPD|26DMG|389VULN|4TLV|5LWND|79CDMG|9BPWR|aRCR
61	32226 34314	   	179.15	ACR|3VULN|2DMG|2ZMB|2ASPD|1SELL	1aASPD|2aDMG|389VULN|4TLV|5RCR|6SELL|7aZMB|aBPWR
62	32236 15234	   	179.02	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1ASPD|26DMG|38VULN|4CGEN|5RCR|7CDMG|9FEWX|aAART
63	32226 15234	   	178.92	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1ASPD|26DMG|38VULN|4TLV|5RCR|7CDMG|9FEWX|aAART
64	32236 51423	 * 	178.90	ACR|2VULN|2DMG|1AART|3ASPD	17aASPD|2aDMG|38VULN|4CGEN|5RCR|6aDUST|9AART|aBPWR
65	32226 51423	   	178.80	ACR|2VULN|2DMG|1AART|3ASPD	17aASPD|2aDMG|38VULN|4TLV|5RCR|6aDUST|9AART|aBPWR
