0	Index      	 *	Score 	Summary	Detail	
1	33236 26712	 * 	204.56	DCR|3VULN|2DMG|1AART|2ZMB|1DUR	18DMG|2LHND|3AART|48ZMB|5MBVNT|6RCR|78aVULN|8BPWR|9DUR
42	42243 51212	   	182.13	ACR|2AART|2DMG|1VULN|2DUR|1ZMB	18DUR|28TLV|39AART|4RCR|5VULN|6BEXP|78DMG|8BPWR|aZMB
43	42243 61212	   	182.03	ACR|2AART|2DMG|1VULN|2DUR|1ZMB	18DUR|28TLV|39AART|4RCR|5VULN|6DUST|78DMG|8BPWR|aZMB
44	62243 31244	   	181.99	ACR|3VULN|2DMG|1AART	18BEXP|2TLV|3AART|4RCR|589VULN|6MBVNT|78DMG|8BPWR|aRCVC
45	33236 26731	   	181.97	DCR|2VULN|2DMG|1AART|2ZMB	18DMG|2LHND|3AART|48ZMB|5MBVNT|6RCR|78VULN|8BPWR|9BEXP|aBELT
46	33236 26732	   	181.97	DCR|2VULN|2DMG|1AART|2ZMB	18DMG|2LHND|3AART|48ZMB|5MBVNT|6RCR|78VULN|8BPWR|9BEXP|aLWND
47	33236 26734	   	181.97	DCR|2VULN|2DMG|1AART|2ZMB	18DMG|2LHND|3AART|48ZMB|5MBVNT|6RCR|78VULN|8BPWR|9BEXP|aFEWX
48	33236 26743	   	181.97	DCR|2VULN|2DMG|1AART|2ZMB	18DMG|2LHND|3AART|48ZMB|5MBVNT|6RCR|78VULN|8BPWR|9MLV|aLWND
49	33236 26744	   	181.97	DCR|2VULN|2DMG|1AART|2ZMB	18DMG|2LHND|3AART|48ZMB|5MBVNT|6RCR|78VULN|8BPWR|9MLV|aFEWX
50	33236 26172	   	181.77	DCR|2VULN|2DMG|1AART|2ZMB	19DMG|2LHND|3AART|4aZMB|5MBVNT|6RCR|78VULN
51	31526 31217	   	181.46	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	18DMG|2LWND|38VULN|48CGEN|5AART|6MBVNT|7RCR|8BPWR|9DUR|aZMB
52	42243 11235	 * 	181.08	ACR|2VULN|2DMG|1AART|3DUR	18aDUR|28TLV|3AART|4RCR|5aVULN|6FEWX|78DMG|8aBPWR|9aERES
53	33236 26116	   	180.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|2LHND|3AART|4ZMB|5MBVNT|6RCR|78VULN|9DUR|aCDMG
54	33236 26118	 * 	180.92	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1DMG|2LHND|3AART|4ZMB|5MBVNT|6RCR|78VULN|9DUR|aFLTHEA
55	32231 42164	   	180.76	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR	17DMG|2DUR|3AART|4ZMB|5ASPD|6VULN|8CDMG|9RCR|aLWND
56	32231 42165	   	180.76	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1ASPD	17DMG|2DUR|3AART|4ZMB|5ASPD|6VULN|8CDMG|9RCR|aLIT
57	32231 42166	   	180.76	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR	17DMG|2DUR|3AART|4ZMB|5ASPD|6VULN|8CDMG|9RCR|aFEWX
58	62243 31222	   	180.69	ACR|3VULN|2DMG|1AART	18BEXP|2TLV|3AART|4RCR|58aVULN|6MBVNT|78DMG|8BPWR|9LHND
59	62243 31241	   	180.69	ACR|3VULN|2DMG|1AART	18BEXP|2TLV|3AART|4RCR|589VULN|6MBVNT|78DMG|8BPWR|aFEWX
60	62243 31243	   	180.69	ACR|3VULN|2DMG|1AART	18BEXP|2TLV|3AART|4RCR|589VULN|6MBVNT|78DMG|8BPWR|aLWND
61	62243 31247	   	180.69	ACR|3VULN|2DMG|1AART	18BEXP|2TLV|3AART|4RCR|589VULN|6MBVNT|78DMG|8BPWR|aLIT
62	62243 31248	   	180.69	ACR|3VULN|2DMG|1AART	18BEXP|2TLV|3AART|4RCR|589VULN|6MBVNT|78DMG|8BPWR|aLHND
63	32231 42162	   	180.66	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD|1DUR	17DMG|2DUR|3AART|4ZMB|5ASPD|6VULN|8CDMG|9RCR|aAIRHEL
64	32231 42163	   	180.66	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1ASPD	17DMG|2DUR|3AART|4ZMB|5ASPD|6VULN|8CDMG|9RCR|aLEGI
65	62243 31246	   	180.59	ACR|3VULN|2DMG|1AART	18BEXP|2aTLV|3AART|4RCR|589VULN|6MBVNT|78DMG|8BPWR
66	32235 31142	   	180.52	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|2DUR|3AART|4ZMB|5LWND|6MBVNT|7RCR|89aVULN
67	32236 11142	   	180.52	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|2DUR|3AART|4ZMB|5MBVNT|6LHND|7RCR|89aVULN
68	12312 42534	   	180.02	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2DUR|3ZMB|47aVULN|5DMG|6RCR|8AART|9LIT
69	31321 45352	   	179.42	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	137DMG|2LWND|4DUR|5VULN|6RCR|8BEXP|9AART|aZMB
70	31526 31232	   	179.17	DCR|3VULN|2DMG|1AART	18DMG|2LWND|38aVULN|48CGEN|5AART|6MBVNT|7RCR|8BPWR|9BEXP
71	31526 31244	   	179.17	DCR|3VULN|2DMG|1AART	18DMG|2LWND|38aVULN|48CGEN|5AART|6MBVNT|7RCR|8BPWR|9MLV
72	31526 31262	   	179.17	DCR|3VULN|2DMG|1AART	18DMG|2LWND|38aVULN|48CGEN|5AART|6MBVNT|7RCR|8BPWR|9LHND
73	31556 31232	   	178.97	DCR|3VULN|2DMG|1AART	18DMG|2LWND|38aVULN|48ERES|5AART|6MBVNT|7RCR|8BPWR|9BEXP
74	31556 31244	   	178.97	DCR|3VULN|2DMG|1AART	18DMG|2LWND|38aVULN|48ERES|5AART|6MBVNT|7RCR|8BPWR|9MLV
75	33226 26112	   	178.86	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1DMG|2LHND|3AART|4ASPD|5MBVNT|6RCR|78aVULN|9DUR
76	33226 24142	   	178.86	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1DMG|2LHND|3AART|4ASPD|5MBVNT|6RCR|7DUR|89aVULN
77	31321 45114	   	178.82	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	137DMG|2LWND|4DUR|5VULN|6RCR|8LIT|9ZMB|aAART
78	33253 22522	   	178.80	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD|1DUR	1DMG|2LHND|36AART|4DUR|59VULN|7ASPD|8CDMG|aRCR
79	32262 42522	   	178.80	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD|1DUR	1DMG|2DUR|34AART|5LHND|69VULN|7ASPD|8CDMG|aRCR
80	33226 26372	   	178.72	DCR|2AART|2DMG|1VULN|1ZMB|1ASPD	19DMG|2LHND|38AART|4ASPD|5MBVNT|6RCR|7VULN|aZMB
81	33236 26312	   	178.72	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1DMG|2LHND|38AART|4ZMB|5MBVNT|6RCR|7aVULN|9DUR
82	33236 26373	   	178.72	DCR|2AART|2DMG|1VULN|1ZMB|1DUR	19DMG|2LHND|38AART|4ZMB|5MBVNT|6RCR|7VULN|aDUR
83	25243 21162	   	178.68	ACR|2VULN|2DMG|1AART|1CDMG	1FEWX|2RMIN|3AART|4RCR|58VULN|6BEXP|7aDMG|9CDMG
84	62243 31273	   	178.68	ACR|2VULN|2DMG|1AART|1CDMG	18BEXP|2TLV|3AART|4RCR|58VULN|6MBVNT|78DMG|8BPWR|9CDMG|aFEWX
85	22243 21162	   	178.58	ACR|2VULN|2DMG|1AART|1CDMG	1FEWX|2TLV|3AART|4RCR|58VULN|6BEXP|7aDMG|9CDMG
86	32231 42365	   	178.55	DCR|2AART|2DMG|1VULN|1ZMB|1ASPD|1DUR	17DMG|2DUR|3aAART|4ZMB|5ASPD|6VULN|8FEWX|9RCR
87	32235 31146	   	178.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|2DUR|3AART|4ZMB|5LWND|6MBVNT|7RCR|89VULN|aCDMG
88	32235 31148	   	178.52	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1DMG|2DUR|3AART|4ZMB|5LWND|6MBVNT|7RCR|89VULN|aFLTHEA
89	32236 11146	   	178.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|2DUR|3AART|4ZMB|5MBVNT|6LHND|7RCR|89VULN|aCDMG
90	32236 11148	   	178.52	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1DMG|2DUR|3AART|4ZMB|5MBVNT|6LHND|7RCR|89VULN|aFLTHEA
91	32236 81163	   	178.52	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1aDMG|2DUR|3AART|4ZMB|5MBVNT|6BEXP|7RCR|8VULN|9CDMG
92	62243 31172	   	178.48	ACR|2VULN|2DMG|1AART|1CDMG	1BEXP|2TLV|3AART|4RCR|58VULN|6MBVNT|7aDMG|9CDMG
93	32234 31146	   	178.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|2DUR|3AART|4ZMB|5DUST|6MBVNT|7RCR|89VULN|aCDMG
94	32234 31148	   	178.42	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1DUR	1DMG|2DUR|3AART|4ZMB|5DUST|6MBVNT|7RCR|89VULN|aFLTHEA
95	32234 31163	   	178.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1aDMG|2DUR|3AART|4ZMB|5DUST|6MBVNT|7RCR|8VULN|9CDMG
96	32234 31165	   	178.42	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|2DUR|3AART|4ZMB|5DUST|6MBVNT|7RCR|8aVULN|9CDMG
97	52236 16313	 * 	178.41	DCR|3ZMB|1AART|1VULN|1DMG|1CDMG|1DUR	1MLV|2DUR|3AART|469ZMB|5CDMG|7RCR|8VULN|aDMG
98	32211 41362	   	178.33	DCR|2DMG|1AART|1VULN|2CDMG|2DUR	17DMG|26DUR|3AART|47LIT|57CDMG|7BPWR|8RCR|9VULN|aRCVC
99	42236 16313	   	178.31	DCR|3ZMB|1AART|1VULN|1DMG|1CDMG|1DUR	1DUR|2TLV|3AART|469ZMB|5CDMG|7RCR|8VULN|aDMG
100	32264 32613	   	178.20	DCR|2AART|2VULN|2DMG|1DUR	18DMG|2DUR|34AART|5RMIN|6aVULN|7LIT|9RCR
101	35311 11342	   	178.11	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	13DMG|2RCVC|4FEWX|56VULN|7CDMG|8ASPD|9AART|aRCR
102	35335 16333	   	178.09	ACR|2VULN|2DMG|1AART|1CDMG	13DMG|2RCVC|4BASICY|5RCR|6AART|7aVULN|8CGEN|9CDMG
103	35321 11342	   	178.01	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	13DMG|2RCVC|4DUST|56VULN|7CDMG|8ASPD|9AART|aRCR
104	33236 26171	   	177.92	DCR|2VULN|2DMG|1AART|1ZMB	19DMG|2LHND|3AART|4ZMB|5MBVNT|6RCR|78VULN|aFEWX
105	34221 34332	   	177.90	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	15DMG|2DUST|3AART|4ASPD|68VULN|7CDMG|9DMSP|aRCR
106	32221 52412	   	177.90	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	15DMG|2DUR|3AART|47ASPD|6CGEN|89VULN|aRCR
107	32232 64361	 * 	177.87	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG|1DUR	17DMG|2DUR|3AART|47ZMB|57LIT|6RPLT|7BPWR|8VULN|9RCR|aCDMG
108	32312 12216	   	177.82	DCR|3DMG|1AART|1VULN|2DUR|1ZMB	158DMG|28DUR|3ZMB|4VULN|6RCVC|78LWND|8BPWR|9AART|aRCR
109	33236 26174	   	177.82	DCR|2VULN|2DMG|1AART|1ZMB	19DMG|2LHND|3AART|4ZMB|5MBVNT|6RCR|78VULN|aDUST
110	32221 12412	   	177.80	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	15DMG|2DUR|3AART|47ASPD|6ERES|89VULN|aRCR
111	34221 34352	   	177.80	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	15DMG|29DUST|3AART|4ASPD|68VULN|7CDMG|aRCR
112	62243 31214	   	177.78	ACR|2AART|2VULN|2DMG	18BEXP|2TLV|39AART|4RCR|58VULN|6MBVNT|78DMG|8BPWR|aRCVC
113	52243 11235	   	177.47	ACR|2VULN|2DMG|1AART|2DUR	18aMLV|28DUR|3AART|4RCR|5aVULN|6FEWX|78DMG|8aBPWR|9aERES
114	52243 51222	   	177.47	ACR|2VULN|2DMG|1AART|2DUR	18MLV|28DUR|3AART|4RCR|5aVULN|6BEXP|78DMG|8BPWR|9LHND
115	52243 61222	   	177.37	ACR|2VULN|2DMG|1AART|2DUR	18MLV|28DUR|3AART|4RCR|5aVULN|6DUST|78DMG|8BPWR|9LHND
116	42243 51222	   	177.27	ACR|2VULN|2DMG|1AART|2DUR	18DUR|28TLV|3AART|4RCR|5aVULN|6BEXP|78DMG|8BPWR|9LHND
117	35335 16233	   	177.21	ACR|2VULN|2DMG|1AART|1ZMB	13DMG|28RCVC|4BASICY|5RCR|6AART|7aVULN|9ZMB
118	33226 24373	 * 	177.21	DCR|3DMG|1AART|3ASPD|2DUR	19aDMG|2LHND|3AART|48aASPD|5MBVNT|6RCR|7aDUR|aBPWR
119	42243 61222	   	177.17	ACR|2VULN|2DMG|1AART|2DUR	18DUR|28TLV|3AART|4RCR|5aVULN|6DUST|78DMG|8BPWR|9LHND
120	32211 41332	   	177.02	DCR|2DMG|1AART|1VULN|2CDMG|2DUR	17DMG|26DUR|3AART|47LIT|57CDMG|7BPWR|8RCR|9BELT|aVULN
121	32211 41363	   	177.02	DCR|2DMG|1AART|1VULN|2CDMG|2DUR	17DMG|26DUR|3AART|47LIT|57CDMG|7BPWR|8RCR|9VULN|aLWND
122	32211 41364	   	177.02	DCR|2DMG|1AART|1VULN|2CDMG|2DUR	17DMG|26DUR|3AART|47LIT|57CDMG|7BPWR|8RCR|9VULN|aCGEN
123	32211 41365	   	177.02	DCR|2DMG|1AART|1VULN|2CDMG|2DUR	17DMG|26DUR|3AART|47LIT|57CDMG|7BPWR|8RCR|9VULN|aFEWX
124	42243 33124	   	176.88	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	1DUR|2TLV|3AART|4RCR|57aVULN|6LIT|8ASPD|9DMG
125	33226 26116	   	176.85	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DMG|2LHND|3AART|4ASPD|5MBVNT|6RCR|78VULN|9DUR|aCDMG
126	33226 24146	   	176.85	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DMG|2LHND|3AART|4ASPD|5MBVNT|6RCR|7DUR|89VULN|aCDMG
127	52243 11112	   	176.83	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1MLV|2DUR|39AART|4RCR|58VULN|6FEWX|7DMG|aZMB
128	52243 11612	   	176.83	ACR|2AART|2DMG|1VULN|1ZMB|1DUR	1MLV|2DUR|39AART|4RCR|5VULN|6FEWX|78DMG|aZMB
129	52243 51112	   	176.83	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1MLV|2DUR|39AART|4RCR|58VULN|6BEXP|7DMG|aZMB
130	22243 21262	   	176.75	ACR|3DMG|1AART|1VULN|1CDMG	18FEWX|28TLV|3AART|4RCR|5VULN|6BEXP|78aDMG|8BPWR|9CDMG
131	42243 11112	   	176.73	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1DUR|2TLV|39AART|4RCR|58VULN|6FEWX|7DMG|aZMB
132	42243 11612	   	176.73	ACR|2AART|2DMG|1VULN|1ZMB|1DUR	1DUR|2TLV|39AART|4RCR|5VULN|6FEWX|78DMG|aZMB
133	42243 51112	   	176.73	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1DUR|2TLV|39AART|4RCR|58VULN|6BEXP|7DMG|aZMB
134	52243 61112	   	176.73	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1MLV|2DUR|39AART|4RCR|58VULN|6DUST|7DMG|aZMB
135	22243 21662	   	176.65	ACR|3DMG|1AART|1VULN|1CDMG	1FEWX|2TLV|3AART|4RCR|5VULN|6BEXP|78aDMG|9CDMG
136	42243 61112	   	176.63	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1DUR|2TLV|39AART|4RCR|58VULN|6DUST|7DMG|aZMB
137	62243 31211	   	176.48	ACR|2AART|2VULN|2DMG	18BEXP|2TLV|39AART|4RCR|58VULN|6MBVNT|78DMG|8BPWR|aFEWX
138	62243 31213	   	176.48	ACR|2AART|2VULN|2DMG	18BEXP|2TLV|39AART|4RCR|58VULN|6MBVNT|78DMG|8BPWR|aLWND
139	62243 31217	   	176.48	ACR|2AART|2VULN|2DMG	18BEXP|2TLV|39AART|4RCR|58VULN|6MBVNT|78DMG|8BPWR|aLIT
140	62243 31218	   	176.48	ACR|2AART|2VULN|2DMG	18BEXP|2TLV|39AART|4RCR|58VULN|6MBVNT|78DMG|8BPWR|aLHND
141	32226 11142	   	176.46	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1DMG|2DUR|3AART|4ASPD|5MBVNT|6LHND|7RCR|89aVULN
142	62243 31216	   	176.38	ACR|2AART|2VULN|2DMG	18BEXP|2aTLV|39AART|4RCR|58VULN|6MBVNT|78DMG|8BPWR
143	32235 31182	   	176.32	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1DMG|2DUR|39AART|4ZMB|5LWND|6MBVNT|7RCR|8aVULN
144	32264 32413	 * 	176.27	DCR|3VULN|2AART|1DMG|1DUR	1DMG|2DUR|34AART|5RMIN|68aVULN|7LIT|9RCR
145	31526 31282	   	176.12	DCR|2VULN|2DMG|1AART|1ZMB	18DMG|2LWND|38VULN|48CGEN|5AART|6MBVNT|7RCR|8BPWR|9RCVC|aZMB
146	32211 21433	   	176.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|2DUR|3AART|4LIT|5CDMG|6aVULN|7DUST|8RCR|9ZMB
147	12221 42534	   	176.09	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1CGEN|2DUR|3AART|4ASPD|57DMG|6aVULN|8RCR|9LIT
148	32221 31534	   	176.09	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	15DMG|2DUR|3AART|4ASPD|6aVULN|7CGEN|8RCR|9LIT
149	53243 11162	   	176.04	ACR|2VULN|2DMG|1AART|1ZMB	1MLV|2LHND|3AART|4RCR|58VULN|6FEWX|79DMG|aZMB
150	62243 31254	   	176.04	ACR|2VULN|2DMG|1AART|1ZMB	189BEXP|2TLV|3AART|4RCR|58VULN|6MBVNT|78DMG|8BPWR|aZMB
151	33236 26842	   	175.98	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|2LHND|3AART|4ZMB|5MBVNT|6RCR|79aVULN|8LWND
152	22243 41162	   	175.94	ACR|2VULN|2DMG|1AART|1ZMB	1FEWX|2TLV|3AART|4RCR|58VULN|6LHND|79DMG|aZMB
153	31321 42314	   	175.85	DCR|3VULN|2DMG|1CDMG|1DUR	13DMG|2LWND|4DUR|59aVULN|6RCR|7FEWX|8CDMG
154	31321 43416	   	175.85	DCR|3VULN|2DMG|1CDMG|1DUR	13DMG|2LWND|4DUR|58aVULN|6RCR|7LIT|9CDMG
155	31321 45362	   	175.85	DCR|3DMG|2VULN|1CDMG|1DUR	137DMG|2LWND|4DUR|5aVULN|6RCR|8BEXP|9CDMG
156	62243 31742	   	175.84	ACR|2VULN|2DMG|1AART|1ZMB	1BEXP|2TLV|3AART|4RCR|59VULN|6MBVNT|78DMG|aZMB
157	32346 52113	   	175.76	DCR|2DMG|1AART|1VULN|2ZMB|1DUR|1ASPD	18DMG|2DUR|39ZMB|4ASPD|5LIT|6RCR|7AART|aVULN
158	31526 31214	   	175.75	DCR|2VULN|2DMG|1AART|2DUR	18DMG|2LWND|38VULN|48CGEN|5AART|6MBVNT|7RCR|8BPWR|9aDUR
159	36534 31114	   	175.67	DCR|2VULN|2DMG|1AART|2ZMB	1aDMG|2DLOT|38VULN|4aZMB|5aDUST|6MBVNT|7RCR|9AART|aBPWR
