0	Index      	 *	Score 	Summary	Detail	
1	35221 21253	 * 	198.97	DCR|3VULN|3DMG|1AART|1CDMG	167VULN|2CANSTR|347CGEN|567DMG|67BPWR|8CDMG|9AART|aRCR
23	15334 23136	   	187.72	DCR|4VULN|1AART|1DMG|1DUR	1RCVC|2DMG|3CGEN|4589VULN|6RCR|7AART|aDUR
24	35412 53111	 * 	187.65	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	158VULN|2CANSTR|3AART|4RCR|6BELT|7DMG|9ZMB|aCDMG
25	15234 23116	   	187.62	DCR|4VULN|1AART|1DMG|1DUR	1RCVC|2DMG|3TLV|458aVULN|6RCR|7AART|9DUR
26	15234 23136	   	187.62	DCR|4VULN|1AART|1DMG|1DUR	1RCVC|2DMG|3TLV|4589VULN|6RCR|7AART|aDUR
27	31152 63242	   	186.42	DCR|4VULN|3DMG|1ZMB	1478VULN|28DUST|3BEXP|5ZMB|689DMG|8BPWR|aRCR
28	35532 63233	   	186.10	DCR|5VULN|2DMG|1ZMB	13568VULN|2CANSTR|48BEXP|78DMG|8BPWR|9RCR|aZMB
29	15334 23632	   	184.27	DCR|3VULN|2DMG|1AART	1RCVC|28DMG|3CGEN|459VULN|6RCR|7AART|aLWND
30	15234 23632	   	184.17	DCR|3VULN|2DMG|1AART	1RCVC|28DMG|3TLV|459VULN|6RCR|7AART|aLWND
31	15233 23631	   	184.07	DCR|3VULN|2DMG|1AART	1RCVC|28DMG|35TLV|49aVULN|6RCR|7AART
32	15233 23453	 * 	183.47	DCR|2VULN|2DMG|1AART|2ZMB	1RCVC|2aDMG|35TLV|4aVULN|6RCR|7AART|8RPLT|9aZMB|aBPWR
33	35221 23253	   	183.12	DCR|3DMG|2VULN|1AART|1CDMG	16VULN|2CANSTR|34CGEN|567DMG|6BPWR|8CDMG|9AART|aRCR
34	15114 22343	   	182.67	DCR|3VULN|2DMG|1AART	1RCVC|2aDMG|3RPLT|45aVULN|6AART|7RCR|8DMSP|9aBEXP|aBPWR
35	15114 22363	   	182.47	DCR|3VULN|2DMG|1AART	1RCVC|2aDMG|3RPLT|45aVULN|6AART|7RCR|8DMSP|9aDUST|aBPWR
36	15233 23634	   	182.07	DCR|2VULN|2DMG|1AART|1CDMG	1RCVC|28DMG|35TLV|49VULN|6RCR|7AART|aCDMG
37	35532 63231	   	182.03	DCR|5VULN|2DMG|1ASPD	13568VULN|2CANSTR|48BEXP|78DMG|8BPWR|9RCR|aASPD
38	15334 23125	   	180.79	DCR|4VULN|1AART|1DMG	1RCVC|2DMG|3CGEN|458aVULN|6RCR|7AART|9RPLT
39	15334 23132	   	180.79	DCR|4VULN|1AART|1DMG	1RCVC|2DMG|3CGEN|4589VULN|6RCR|7AART|aLWND
40	15334 23161	   	180.79	DCR|4VULN|1AART|1DMG	1RCVC|2DMG|3CGEN|458aVULN|6RCR|7AART|9DMSP
41	15234 23124	   	180.69	DCR|4VULN|1AART|1DMG	1RCVC|2DMG|3TLV|458aVULN|6RCR|7AART|9RPLT
42	15234 23132	   	180.69	DCR|4VULN|1AART|1DMG	1RCVC|2DMG|3TLV|4589VULN|6RCR|7AART|aLWND
43	15234 23161	   	180.69	DCR|4VULN|1AART|1DMG	1RCVC|2DMG|3TLV|458aVULN|6RCR|7AART|9DMSP
44	15334 23135	   	180.69	DCR|4VULN|1AART|1DMG	1RCVC|2DMG|3CGEN|4589VULN|6RCR|7AART|aERES
45	15334 23216	   	180.69	DCR|4VULN|1AART|1DMG	1RCVC|2DMG|3CGEN|459aVULN|6RCR|7AART|8ERES
46	15534 23123	   	180.69	DCR|4VULN|1AART|1DMG	1RCVC|2DMG|3ERES|458aVULN|6RCR|7AART|9RPLT
47	15534 23132	   	180.69	DCR|4VULN|1AART|1DMG	1RCVC|2DMG|3ERES|4589VULN|6RCR|7AART|aLWND
48	15233 23131	   	180.59	DCR|4VULN|1AART|1DMG	1RCVC|2DMG|35TLV|489aVULN|6RCR|7AART
49	15234 23135	   	180.59	DCR|4VULN|1AART|1DMG	1RCVC|2DMG|3TLV|4589VULN|6RCR|7AART|aERES
50	15534 23231	   	180.59	DCR|4VULN|1AART|1DMG	1RCVC|2DMG|38ERES|459aVULN|6RCR|7AART
51	33343 23623	   	180.17	DCR|3VULN|2DMG|1AART	13aVULN|2NUKE|3aBPWR|4DMSP|5aERES|6RCR|7AART|8aDMG|9RPLT
52	15233 23134	   	180.13	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2DMG|35TLV|489VULN|6RCR|7AART|aCDMG
53	31152 63251	   	180.11	DCR|4VULN|2DMG|1ZMB|1DUR	1478VULN|28DUST|3BEXP|5ZMB|68DMG|8BPWR|9RCR|aDUR
54	33334 23652	   	180.07	DCR|3VULN|2DMG|1AART	135VULN|2NUKE|3BPWR|4ERES|6RCR|7AART|8aDMG|9LIT
55	33363 23652	   	180.07	DCR|3VULN|2DMG|1AART	134VULN|2NUKE|3BPWR|5ERES|6RCR|7AART|8aDMG|9LIT
56	51211 61343	   	179.91	DCR|3DMG|2VULN|1AART|1DUR	1BELT|28VULN|348DMG|5NUKE|68ERES|7AART|8BPWR|9RCR|aDUR
57	15233 34325	   	179.87	DCR|3VULN|2DMG|1AART	1RCVC|29DMG|359TLV|489VULN|6LEGI|7RCR|9BPWR|aAART
58	15233 23633	   	179.87	DCR|2VULN|2DMG|2AART	1RCVC|28DMG|35TLV|49VULN|6RCR|7aAART
59	15614 13311	 * 	179.41	DCR|2AART|2VULN|1DMG|2ZMB|2RCVC	15RCVC|2DMG|36ZMB|49AART|7RCR|8aVULN
60	15114 22532	   	178.99	DCR|4VULN|1AART|1DMG	1RCVC|2DMG|3RPLT|459aVULN|6AART|7RCR|8LWND
61	15114 22632	   	178.89	DCR|4VULN|1AART|1DMG	1RCVC|2DMG|3RPLT|459aVULN|6AART|7RCR|8DUST
62	15114 22326	   	178.53	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2DMG|3RPLT|45aVULN|6AART|7RCR|8DMSP|9CDMG
63	15334 23163	   	178.13	DCR|3VULN|2AART|1DMG	1RCVC|2DMG|3CGEN|458VULN|6RCR|7aAART|9DMSP
64	15234 23163	   	178.03	DCR|3VULN|2AART|1DMG	1RCVC|2DMG|3TLV|458VULN|6RCR|7aAART|9DMSP
65	15334 23214	   	178.03	DCR|3VULN|2AART|1DMG	1RCVC|2DMG|3CGEN|459VULN|6RCR|7aAART|8ERES
66	15314 34311	   	178.01	DCR|4VULN|2DMG|1DUR	1RCVC|26DMG|3CGEN|4DUR|5689VULN|6BPWR|7RCR|aBELT
67	15233 23133	   	177.93	DCR|3VULN|2AART|1DMG	1RCVC|2DMG|35TLV|489VULN|6RCR|7aAART
68	15534 23233	   	177.93	DCR|3VULN|2AART|1DMG	1RCVC|2DMG|38ERES|459VULN|6RCR|7aAART
69	15314 34313	   	177.91	DCR|4VULN|2DMG|1DUR	1RCVC|26DMG|3CGEN|4DUR|5689VULN|6BPWR|7RCR|aNUKE
70	31132 63254	   	177.83	DCR|3VULN|3DMG|1ZMB	178VULN|28DUST|3BEXP|4RCVC|5ZMB|68aDMG|8BPWR|9RCR
71	35355 32432	   	177.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	15VULN|2CANSTR|3DUR|4MBVNT|67DMG|8AART|9RCR|aCDMG
72	35412 13523	 * 	177.20	ACR|4VULN|1AART|2CDMG	158aVULN|2CANSTR|3AART|4RCR|68BEXP|78CDMG|8BPWR|9LIT
73	35412 33523	   	177.20	ACR|4VULN|1AART|2CDMG	158aVULN|2CANSTR|3AART|4RCR|68FEWX|78CDMG|8BPWR|9LIT
74	15114 22222	   	177.12	DCR|3VULN|1AART|1DMG|2DUR	1RCVC|2DMG|3RPLT|45aVULN|6AART|7RCR|89DUR
75	35412 53132	   	177.10	ACR|4VULN|1AART|1DMG	158aVULN|2CANSTR|3AART|4RCR|6BELT|7DMG|9FEWX
76	15615 13332	 * 	176.73	DCR|2AART|2DMG|1VULN|2ZMB	1RCVC|2aDMG|36ZMB|45AART|7RCR|8VULN|9LIT
77	36133 14324	   	176.71	DCR|4VULN|1AART|1CDMG|1DUR	159aVULN|2DUR|3BEXP|4BELT|6RCR|7CDMG|8AART
78	33314 23145	   	176.68	DCR|4VULN|1AART|1DMG	1358VULN|2NUKE|3BPWR|4MLV|6RCR|7AART|9CGEN|aDMG
79	33314 23663	   	176.68	DCR|4VULN|1AART|1DMG	135aVULN|2NUKE|3BPWR|49MLV|6RCR|7AART|8DMG
80	35412 53121	   	176.65	ACR|3VULN|1AART|1DMG|1CDMG	158VULN|2CANSTR|3AART|4RCR|6BELT|7DMG|9CGEN|aCDMG
81	33334 23145	   	176.58	DCR|4VULN|1AART|1DMG	1358VULN|2NUKE|3BPWR|4ERES|6RCR|7AART|9CGEN|aDMG
82	33334 23622	   	176.58	DCR|4VULN|1AART|1DMG	135aVULN|2NUKE|3BPWR|4ERES|6RCR|7AART|8DMG|9RPLT
83	33362 23145	   	176.58	DCR|4VULN|1AART|1DMG	1348VULN|2NUKE|3BPWR|5TLV|6RCR|7AART|9CGEN|aDMG
84	33363 23145	   	176.58	DCR|4VULN|1AART|1DMG	1348VULN|2NUKE|3BPWR|5ERES|6RCR|7AART|9CGEN|aDMG
85	33363 23622	   	176.58	DCR|4VULN|1AART|1DMG	134aVULN|2NUKE|3BPWR|5ERES|6RCR|7AART|8DMG|9RPLT
86	35412 11216	   	176.55	ACR|3VULN|1AART|1DMG|1CDMG	15aVULN|2CANSTR|3AART|4RCR|6BEXP|7LEGI|8CDMG|9DMG
87	35412 31216	   	176.55	ACR|3VULN|1AART|1DMG|1CDMG	15aVULN|2CANSTR|3AART|4RCR|6FEWX|7LEGI|8CDMG|9DMG
88	33334 23613	   	176.48	DCR|4VULN|1AART|1DMG	135aVULN|2NUKE|3BPWR|49ERES|6RCR|7AART|8DMG
89	33363 23613	   	176.48	DCR|4VULN|1AART|1DMG	134aVULN|2NUKE|3BPWR|59ERES|6RCR|7AART|8DMG
90	33314 23116	   	176.39	DCR|5VULN|1AART|1DUR	1358aVULN|2NUKE|3BPWR|4MLV|6RCR|7AART|9DUR
91	33362 23116	   	176.29	DCR|5VULN|1AART|1DUR	1348aVULN|2NUKE|3BPWR|5TLV|6RCR|7AART|9DUR
92	33314 23652	   	176.23	DCR|3VULN|1AART|1DMG|1CDMG	135VULN|2NUKE|3BPWR|4MLV|6RCR|7AART|8DMG|9LIT|aCDMG
93	33334 23634	   	176.13	DCR|3VULN|1AART|1DMG|1CDMG	135VULN|2NUKE|3BPWR|4ERES|6RCR|7AART|8DMG|9MLV|aCDMG
94	33362 23652	   	176.13	DCR|3VULN|1AART|1DMG|1CDMG	134VULN|2NUKE|3BPWR|5TLV|6RCR|7AART|8DMG|9LIT|aCDMG
95	33363 23634	   	176.13	DCR|3VULN|1AART|1DMG|1CDMG	134VULN|2NUKE|3BPWR|5ERES|6RCR|7AART|8DMG|9MLV|aCDMG
96	33314 23614	   	176.13	DCR|3VULN|1AART|1DMG|1CDMG	135VULN|2NUKE|3BPWR|4MLV|6RCR|7AART|8DMG|9ERES|aCDMG
97	33323 22254	   	176.05	DCR|3VULN|3DMG|2DUR	138VULN|2NUKE|38BPWR|45DUR|68BEXP|78aDMG|9RCR
98	33362 23614	   	176.03	DCR|3VULN|1AART|1DMG|1CDMG	134VULN|2NUKE|3BPWR|5TLV|6RCR|7AART|8DMG|9ERES|aCDMG
99	36152 12132	   	175.82	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	149VULN|2DUR|3BEXP|5ZMB|6LWND|7AART|8RCR|aDMG
100	36352 12132	   	175.82	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	149VULN|2DUR|3FEWX|5ZMB|6LWND|7AART|8RCR|aDMG
101	31534 12132	   	175.72	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	159VULN|2DUST|3ZMB|4DUR|6LWND|7AART|8RCR|aDMG
102	15334 23611	   	175.56	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|28DMG|3CGEN|45VULN|6RCR|7AART|9DUR|aMGNSTR
103	15334 23613	   	175.56	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|28DMG|3aCGEN|45VULN|6RCR|7AART|9DUR
104	15234 23611	   	175.46	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|28DMG|3TLV|45VULN|6RCR|7AART|9DUR|aMGNSTR
105	15234 23613	   	175.46	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|28DMG|3TLV|45VULN|6RCR|7AART|9DUR|aCGEN
106	15334 23612	   	175.46	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|28DMG|3CGEN|45VULN|6RCR|7AART|9DUR|aDUST
107	31132 63242	   	175.43	DCR|3VULN|3DMG|1ZMB	178VULN|28DUST|3BEXP|4RCVC|5ZMB|689DMG|8BPWR|aRCR
108	33364 24333	 * 	175.38	DCR|4VULN|1AART|2CDMG	134aVULN|2NUKE|3aBPWR|5AART|6LWND|7RCR|8aCDMG|9aDUST
109	15233 23636	   	175.36	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|28DMG|35TLV|49VULN|6RCR|7AART|aDUR
110	15234 23612	   	175.36	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|28DMG|3TLV|45VULN|6RCR|7AART|9DUR|aDUST
111	15213 23126	   	175.36	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|29DMG|35TLV|4DUR|6RCR|7AART|8aVULN
112	15233 23616	   	175.36	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|28DMG|35TLV|4aVULN|6RCR|7AART|9DUR
113	35412 53112	   	175.31	ACR|3VULN|1AART|1DMG|1ZMB	158VULN|2CANSTR|3AART|4RCR|6BELT|7DMG|9ZMB|aRCVC
114	14312 16613	 * 	175.23	ACR|3VULN|2DMG|1CDMG|1ASPD|1SELL	1RCVC|2SELL|369VULN|4ASPD|5RCR|78DMG|aCDMG
115	34164 12333	   	174.70	ACR|4VULN|1AART|2CDMG	159aVULN|2aERES|3LHND|4RCR|6LWND|7AART|8aCDMG|aBPWR
116	15234 25321	   	174.44	DCR|4VULN|2DMG	1aRCVC|29DMG|3TLV|4589VULN|6RCR|79DUST|9BPWR
117	35412 53222	 * 	174.35	ACR|3VULN|2AART|1DMG	15aVULN|2CANSTR|39AART|4RCR|6BELT|7DMG|8LEGI
118	11123 32611	 * 	174.28	ACR|2VULN|2DMG|1AART|1DUR	1RCVC|25aFEWX|3DUR|4RCR|6AART|7DLOT|8aVULN|9aDMG|aBPWR
119	14152 23131	   	174.03	DCR|4VULN|1AART|1CDMG|1SELL	1RCVC|2SELL|3CDMG|489aVULN|5TLV|6RCR|7AART
120	14153 23131	   	174.03	DCR|4VULN|1AART|1CDMG|1SELL	1RCVC|2SELL|3CDMG|489aVULN|5ERES|6RCR|7AART
121	33334 23653	   	173.93	DCR|3VULN|2AART|1DMG	135VULN|2NUKE|3BPWR|4ERES|6RCR|7aAART|8DMG|9LIT
122	33363 23653	   	173.93	DCR|3VULN|2AART|1DMG	134VULN|2NUKE|3BPWR|5ERES|6RCR|7aAART|8DMG|9LIT
123	15114 22126	   	173.66	DCR|2VULN|2DMG|1AART|1DUR	1RCVC|2aDMG|3RPLT|45VULN|6AART|7RCR|8CANSTR|9DUR
124	33323 22242	   	173.65	DCR|3VULN|3DMG|2DUR	138VULN|2NUKE|38BPWR|45DUR|68BEXP|789DMG|aRCR
125	33323 22622	   	173.65	DCR|3VULN|3DMG|2DUR	139VULN|2NUKE|39BPWR|45DUR|69BEXP|789DMG|aRCR
126	15334 23111	   	173.62	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2DMG|3CGEN|458VULN|6RCR|7AART|9DUR|aMGNSTR
127	15334 23113	   	173.62	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2DMG|3aCGEN|458VULN|6RCR|7AART|9DUR
128	36133 14323	   	173.61	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	159VULN|2DUR|3BEXP|4BELT|6RCR|7CDMG|8AART|aZMB
129	15234 23111	   	173.52	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2DMG|3TLV|458VULN|6RCR|7AART|9DUR|aMGNSTR
130	15234 23113	   	173.52	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2DMG|3TLV|458VULN|6RCR|7AART|9DUR|aCGEN
131	15234 23125	   	173.52	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2DMG|3TLV|458VULN|6RCR|7AART|9RPLT|aDUR
132	15334 23112	   	173.52	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2DMG|3CGEN|458VULN|6RCR|7AART|9DUR|aDUST
133	15334 23115	   	173.52	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2DMG|3CGEN|458VULN|6RCR|7AART|9DUR|aERES
134	15534 23111	   	173.52	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2DMG|3ERES|458VULN|6RCR|7AART|9DUR|aMGNSTR
135	15534 23113	   	173.52	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2DMG|3ERES|458VULN|6RCR|7AART|9DUR|aCGEN
136	15233 23116	   	173.42	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2DMG|35TLV|48aVULN|6RCR|7AART|9DUR
137	15233 23136	   	173.42	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2DMG|35TLV|489VULN|6RCR|7AART|aDUR
138	15234 23112	   	173.42	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2DMG|3TLV|458VULN|6RCR|7AART|9DUR|aDUST
139	15234 23115	   	173.42	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2DMG|3TLV|458VULN|6RCR|7AART|9DUR|aERES
140	15534 23112	   	173.42	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2DMG|3ERES|458VULN|6RCR|7AART|9DUR|aDUST
141	15213 23156	   	173.42	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2DMG|35TLV|4DUR|6RCR|7AART|89aVULN
142	33643 22326	 * 	173.32	DCR|4VULN|2DMG|2ASPD	1489VULN|2NUKE|39ASPD|5TLV|6FEWX|79DMG|9BPWR|aRCR
143	15234 25322	   	173.27	DCR|4VULN|2DMG	1RCVC|29DMG|3TLV|4589VULN|6RCR|79DUST|9BPWR|aMGNLIT
144	15234 25323	   	173.17	DCR|4VULN|2DMG	1RCVC|29DMG|3TLV|4589VULN|6RCR|79DUST|9BPWR|aERES
145	15233 25326	   	173.17	DCR|4VULN|2DMG	1RCVC|29DMG|35TLV|489aVULN|6RCR|79DUST|9BPWR
146	31152 63252	   	173.17	DCR|4VULN|2DMG|1ZMB	1478VULN|28DUST|3BEXP|5ZMB|68DMG|8BPWR|9RCR|aFEWX
147	31152 63253	   	173.17	DCR|4VULN|2DMG|1ZMB	1478VULN|28DUST|3BEXP|5ZMB|68DMG|8BPWR|9RCR|aLIT
148	32334 15413	 * 	173.03	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	18VULN|2RPLT|3LSRICY|4CDMG|5ERES|6RCR|7FLTHEA|9AART|aDMG
149	51211 61341	   	172.97	DCR|3DMG|2VULN|1AART	1BELT|28VULN|348DMG|5NUKE|68ERES|7AART|8BPWR|9RCR|aLIT
150	51211 61342	   	172.97	DCR|3DMG|2VULN|1AART	1BELT|28VULN|348DMG|5NUKE|68ERES|7AART|8BPWR|9RCR|aBEXP
151	31152 61242	   	172.32	DCR|3VULN|3DMG|1ZMB	148VULN|28DUST|37BEXP|5ZMB|689DMG|8BPWR|aRCR
152	15324 34311	   	172.14	DCR|4VULN|2DMG	1aRCVC|26DMG|3CGEN|4DUST|5689VULN|6BPWR|7RCR
153	35416 21133	   	172.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	17VULN|27CANSTR|3AART|4RCR|5BELT|67FEWX|7BPWR|8DMG|9CDMG|aZMB
154	35412 51133	   	172.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	15VULN|2CANSTR|3AART|4RCR|6BELT|7FEWX|8DMG|9CDMG|aZMB
155	35412 21336	 * 	171.99	ACR|4VULN|1AART|2ZMB	158aVULN|2aCANSTR|3AART|4RCR|6CGEN|7LWND|9aZMB|aBPWR
156	35412 53333	   	171.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	15VULN|2CANSTR|3AART|4RCR|6BELT|7DMG|8DUST|9CDMG|aZMB
157	33366 64221	 * 	171.84	DCR|5VULN|3ZMB	13489VULN|2NUKE|389BPWR|5MBVNT|689ZMB|7RCR|aRCVC
158	15114 22251	   	171.82	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2DMG|3RPLT|45aVULN|6AART|7RCR|8DUR|9BEXP
159	15114 22521	   	171.82	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2DMG|3RPLT|45aVULN|6AART|7RCR|8LWND|9DUR
160	14312 16113	 * 	171.75	ACR|4VULN|1DMG|1CDMG|1ASPD|1SELL	1RCVC|2SELL|3689VULN|4ASPD|5RCR|7DMG|aCDMG
161	15114 22621	   	171.72	DCR|3VULN|1AART|1DMG|1DUR	1RCVC|2DMG|3RPLT|45aVULN|6AART|7RCR|8DUST|9DUR
162	33334 21413	   	171.68	DCR|3VULN|1AART|1DMG|1ZMB	135VULN|2NUKE|3BPWR|4ERES|6RCR|7LIT|8ZMB|9DMG|aAART
163	33362 21413	   	171.68	DCR|3VULN|1AART|1DMG|1ZMB	134VULN|2NUKE|3BPWR|5TLV|6RCR|7LIT|8ZMB|9DMG|aAART
164	33363 21413	   	171.68	DCR|3VULN|1AART|1DMG|1ZMB	134VULN|2NUKE|3BPWR|5ERES|6RCR|7LIT|8ZMB|9DMG|aAART
165	33314 23453	 * 	171.67	DCR|4VULN|1AART|2ZMB	135aVULN|2NUKE|3aBPWR|4aMLV|6RCR|7AART|8RPLT|9aZMB
166	35412 26121	 * 	171.52	ACR|3VULN|3ZMB|1AART	159VULN|2CANSTR|3AART|4RCR|69CGEN|789ZMB|9BPWR|aMLV
167	33362 23453	   	171.47	DCR|4VULN|1AART|2ZMB	134aVULN|2NUKE|3aBPWR|5aTLV|6RCR|7AART|8RPLT|9aZMB
168	35412 26123	   	171.42	ACR|3VULN|3ZMB|1AART	159VULN|2CANSTR|3AART|4RCR|69CGEN|789ZMB|9BPWR|aERES
169	14152 23133	 * 	171.37	DCR|3VULN|2AART|1CDMG|1SELL	1RCVC|2SELL|3CDMG|489VULN|5TLV|6RCR|7aAART
170	14153 23133	 * 	171.37	DCR|3VULN|2AART|1CDMG|1SELL	1RCVC|2SELL|3CDMG|489VULN|5ERES|6RCR|7aAART
171	33346 64221	 * 	171.35	DCR|4VULN|3ZMB|1CDMG	1389VULN|2NUKE|389BPWR|4DMSP|5MBVNT|689ZMB|7RCR|aCDMG
172	15114 23124	   	171.23	DCR|3VULN|1AART|1DMG|1CDMG	1RCVC|2DMG|3RPLT|457VULN|6AART|8CDMG|9AIRHEL|aRCR
173	15331 34316	   	171.07	DCR|4VULN|2DMG	1RCVC|26DMG|3CGEN|489aVULN|56BEXP|6BPWR|7RCR
174	52235 62322	 * 	171.04	DCR|2DMG|1AART|1VULN|3ASPD|1CDMG	1BELT|235ASPD|35BPWR|45DMG|6CDMG|7AART|8LIT|9VULN|aRCR
175	15324 34312	   	170.97	DCR|4VULN|2DMG	1RCVC|26DMG|3CGEN|4DUST|5689VULN|6BPWR|7RCR|aMGNLIT
176	14312 16114	 * 	170.92	ACR|5VULN|1DMG|1ASPD|1SELL	1RCVC|2SELL|3689aVULN|4ASPD|5RCR|7DMG
177	15234 34321	   	170.87	DCR|4VULN|2DMG	1RCVC|29DMG|39TLV|4589VULN|6LEGI|7RCR|9BPWR|aBELT
178	15324 34313	   	170.87	DCR|4VULN|2DMG	1RCVC|26DMG|3CGEN|4DUST|5689VULN|6BPWR|7RCR|aERES
179	15332 34316	   	170.87	DCR|4VULN|2DMG	1RCVC|26DMG|3CGEN|489aVULN|56DUST|6BPWR|7RCR
180	15234 34323	   	170.77	DCR|4VULN|2DMG	1RCVC|29DMG|39TLV|4589VULN|6LEGI|7RCR|9BPWR|aNUKE
181	31334 52622	   	170.76	DCR|3VULN|3DMG|1ASPD	159VULN|29DUST|3FEWX|4ASPD|6RCVC|789DMG|9BPWR|aRCR
182	14153 23623	 * 	170.75	DCR|2DMG|1AART|1VULN|2CDMG|1SELL	1RCVC|2SELL|3aCDMG|4VULN|5aERES|6RCR|7AART|8aDMG|9RPLT|aBPWR
