0	Index      	 *	Score 	Summary	Detail	
1	33215 26163	 * 	236.58	DCR|3VULN|2DMG|2ASPD|1AART	149VULN|2RMIN|345BEXP|49BPWR|6AART|79ASPD|89DMG|aRCR
12	55331 16331	 * 	220.88	DCR|2VULN|2ASPD|1AART|2CDMG|1DUR	1AART|2RMIN|3aCDMG|4aVULN|5AME|6RCR|7DUR|8aASPD|9MBVNT|aBPWR
13	52416 33331	 * 	220.60	DCR|2VULN|2AART|1MDPS|1ASPD|1DMG	14AART|2BELT|3DMG|5LWND|68VULN|7RCR|9ASPD|aMDPS
14	43532 13623	 * 	220.56	DCR|4VULN|3ASPD|2CDMG	148ASPD|26CGEN|3589VULN|78CDMG|8BPWR|aRCR
15	22334 43132	 * 	220.45	DCR|3DMG|2AART|1VULN|2CDMG	17CDMG|2DMSP|37FEWX|457DMG|6RCR|7BPWR|89AART|aVULN
16	51116 22117	 * 	219.89	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD|3DUR	1AART|2MBVNT|3MDPS|4aDMG|5ASPD|67aDUR|8RCR|9aVULN|aBPWR
17	51712 46312	 * 	218.52	DCR|3VULN|2AART|3CDMG|1DUR	19AART|2MBVNT|356CDMG|468VULN|68BPWR|7RCR|aDUR
18	51712 46342	 * 	218.30	DCR|4VULN|3CDMG|1AART|1DUR	1AART|2MBVNT|356CDMG|4689VULN|68BPWR|7RCR|aDUR
19	16361 33253	 * 	218.07	DCR|3DMG|2VULN|1AART|1CDMG|1AAC	1RPLT|2RMIN|37VULN|457DMG|6AAC|7BPWR|8AART|9RCR|aCDMG
20	41313 34263	   	217.62	DCR|4VULN|2DMG|1ASPD|1ZMB	1ASPD|2459VULN|34FEWX|4BPWR|6ZMB|78DMG|aRCR
21	52441 23332	   	217.51	DCR|2VULN|2DMG|2ASPD|1AART	1AART|2BELT|36DMG|48VULN|5LWND|7RCR|9aASPD
22	51116 24117	   	216.45	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD|2DUR	1AART|2MBVNT|3MDPS|4aDMG|5ASPD|6aDUR|7RCVC|8RCR|9aVULN|aBPWR
23	52416 33332	 * 	216.00	DCR|2VULN|2AART|2ASPD|1DMG	14AART|2BELT|3DMG|5LWND|68VULN|7RCR|9aASPD
24	33215 25163	   	215.85	DCR|3VULN|2DMG|1AART|2ZMB	149VULN|2RMIN|345BEXP|49BPWR|6AART|79ZMB|89DMG|aRCR
25	22233 44213	 * 	215.12	DCR|3VULN|2DMG|2CDMG|1ASPD	17CDMG|2DMSP|3LHND|47DMG|578VULN|6MBVNT|7BPWR|9ASPD|aRCR
26	22233 44823	   	215.12	DCR|3VULN|2DMG|2CDMG|1ASPD	17CDMG|2DMSP|3LHND|47DMG|579VULN|6MBVNT|7BPWR|8ASPD|aRCR
27	22333 43213	   	215.12	DCR|3VULN|2DMG|2CDMG|1ASPD	17CDMG|2DMSP|3FEWX|47DMG|578VULN|6MBVNT|7BPWR|9ASPD|aRCR
28	22333 43823	   	215.12	DCR|3VULN|2DMG|2CDMG|1ASPD	17CDMG|2DMSP|3FEWX|47DMG|579VULN|6MBVNT|7BPWR|8ASPD|aRCR
29	22533 43213	   	215.12	DCR|3VULN|2DMG|2CDMG|1ASPD	17CDMG|2DMSP|3LWND|47DMG|578VULN|6MBVNT|7BPWR|9ASPD|aRCR
30	22533 43823	   	215.12	DCR|3VULN|2DMG|2CDMG|1ASPD	17CDMG|2DMSP|3LWND|47DMG|579VULN|6MBVNT|7BPWR|8ASPD|aRCR
31	52443 33331	 * 	215.02	DCR|3VULN|2DMG|1MDPS|1AART|1ASPD	1AART|2BELT|35DMG|468VULN|7MDPS|9ASPD|aRCR
32	33142 42422	 * 	214.90	DCR|3VULN|2AART|2ASPD	179VULN|2RMIN|39LHND|49ASPD|5RPLT|68AART|9BPWR|aRCR
33	16332 25622	   	214.68	DCR|4VULN|2ASPD|1AART	1RPLT|2RMIN|3579VULN|4AART|69ASPD|89LHND|9BPWR|aRCR
34	32245 11263	   	214.33	DCR|4VULN|2DMG|1ASPD	1679VULN|29AME|3BEXP|4ASPD|5RMIN|89DMG|9BPWR|aRCR
35	32345 11263	   	214.33	DCR|4VULN|2DMG|1ASPD	1679VULN|29AME|3FEWX|4ASPD|5RMIN|89DMG|9BPWR|aRCR
36	33243 51263	   	214.33	DCR|4VULN|2DMG|1ASPD	1579VULN|2RMIN|39BEXP|4ASPD|6MLV|89DMG|9BPWR|aRCR
37	33343 51263	   	214.33	DCR|4VULN|2DMG|1ASPD	1579VULN|2RMIN|39FEWX|4ASPD|6MLV|89DMG|9BPWR|aRCR
38	33243 33263	   	214.23	DCR|4VULN|2DMG|1ASPD	1569VULN|2RMIN|39BEXP|4ASPD|7ERES|89DMG|9BPWR|aRCR
39	33343 33263	   	214.23	DCR|4VULN|2DMG|1ASPD	1569VULN|2RMIN|39FEWX|4ASPD|7ERES|89DMG|9BPWR|aRCR
40	33643 33263	   	214.23	DCR|4VULN|2DMG|1ASPD	1569VULN|2RMIN|39LWND|4ASPD|7ERES|89DMG|9BPWR|aRCR
41	51712 46114	 * 	214.20	DCR|3VULN|3CDMG|1AART|1ASPD	1AART|2MBVNT|356CDMG|46aVULN|6BPWR|7RCR|8FEWX|9ASPD
42	51712 46411	 * 	214.20	DCR|3VULN|3CDMG|1AART|1DMG	1AART|2MBVNT|356CDMG|469VULN|6BPWR|7RCR|8DMG|aAELBLL
43	51712 46412	   	214.20	DCR|3VULN|3CDMG|1AART|1DMG	1AART|2MBVNT|356CDMG|469VULN|6BPWR|7RCR|8DMG|aFEWX
44	51712 46413	   	214.20	DCR|3VULN|3CDMG|1AART|1DMG	1AART|2MBVNT|356CDMG|469VULN|6BPWR|7RCR|8DMG|aLHND
45	51712 46414	   	214.10	DCR|3VULN|3CDMG|1AART|1DMG	1AART|2MBVNT|356CDMG|469VULN|6BPWR|7RCR|8DMG|aDUST
46	55332 25232	 * 	213.12	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2RMIN|3CDMG|47VULN|5DUST|6ASPD|8ZMB|9DMG|aRCR
47	51116 12541	 * 	212.84	DCR|2DMG|1MDPS|2ASPD|1VULN|1AART|2ZMB	1AART|2MBVNT|3MDPS|49DMG|59ASPD|69ZMB|7RMIN|8RCR|9BPWR|aVULN
48	41332 51263	   	212.70	DCR|3VULN|2DMG|2ASPD	19ASPD|279VULN|34FEWX|5RMIN|6MLV|89DMG|9BPWR|aRCR
49	41332 33263	   	212.60	DCR|3VULN|2DMG|2ASPD	19ASPD|269VULN|34FEWX|5RMIN|7ERES|89DMG|9BPWR|aRCR
50	33215 25263	   	212.48	DCR|3VULN|2ASPD|1AART|2ZMB	149VULN|2RMIN|345BEXP|49BPWR|6AART|79ZMB|89ASPD|aRCR
51	16332 26422	   	212.38	DCR|3VULN|2ASPD|1AART|2DUR	1RPLT|2RMIN|359VULN|4AART|69ASPD|79DUR|8DMSP|9BPWR|aRCR
52	51712 43174	 * 	212.34	DCR|2VULN|1MDPS|3CDMG|1AART|1ASPD|1DMG	1AART|2MBVNT|356CDMG|46VULN|6BPWR|7DMG|8MDPS|9RCR|aASPD
53	23124 13614	 * 	212.20	ACR|3VULN|2DMG|2CDMG|1ASPD|1ZMB	18CDMG|2MLV|3RMIN|4RCR|568VULN|78DMG|8BPWR|9ASPD|aZMB
54	21635 23116	 * 	212.06	DCR|2VULN|2DMG|1MDPS|3CDMG|1AART	13aCDMG|2RPLT|3aBPWR|4MDPS|5AART|6FEWX|7aDMG|8RCR|9aVULN
55	52441 23333	   	211.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1AART|2BELT|36DMG|48VULN|5LWND|7RCR|9ASPD|aDUR
56	52343 33314	 * 	211.41	DCR|3VULN|2DMG|1AART|1CDMG	1AART|2BELT|3CGEN|468VULN|56DMG|6BPWR|7CDMG|9LWND|aRCR
57	41112 34216	   	210.72	DCR|3VULN|2DMG|1ASPD|1ZMB	1ASPD|246VULN|34LHND|4BPWR|5RMIN|78DMG|9RCR|aZMB
58	33143 34216	   	210.62	DCR|3VULN|2DMG|1ASPD|1ZMB	156VULN|2RMIN|3LHND|4ASPD|78DMG|9RCR|aZMB
59	55331 15232	   	210.52	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	1AART|2RMIN|3CDMG|47VULN|5AME|6RCR|8ZMB|9ASPD|aMDPS
60	51116 24141	   	210.28	DCR|2DMG|1MDPS|2ASPD|1VULN|1AART|2DUR	1AART|2MBVNT|3MDPS|49DMG|59ASPD|69DUR|7RCVC|8RCR|9BPWR|aVULN
61	51712 46311	   	210.22	DCR|3VULN|2AART|3CDMG	19AART|2MBVNT|356CDMG|468VULN|68BPWR|7RCR|aFEWX
62	51712 46313	   	210.22	DCR|3VULN|2AART|3CDMG	19AART|2MBVNT|356CDMG|468VULN|68BPWR|7RCR|aMLV
63	51712 46314	   	210.22	DCR|3VULN|2AART|3CDMG	19AART|2MBVNT|356CDMG|468VULN|68BPWR|7RCR|aLIT
64	51712 46323	   	210.12	DCR|3VULN|2AART|3CDMG	1aAART|2MBVNT|356CDMG|468VULN|68BPWR|7RCR|9DUST
65	52416 33333	   	210.08	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	14AART|2BELT|3DMG|5LWND|68VULN|7RCR|9ASPD|aDUR
66	51712 46341	   	209.99	DCR|4VULN|3CDMG|1AART	1AART|2MBVNT|356CDMG|4689VULN|68BPWR|7RCR|aFEWX
67	51712 46343	   	209.99	DCR|4VULN|3CDMG|1AART	1AART|2MBVNT|356CDMG|4689VULN|68BPWR|7RCR|aMLV
68	51712 46344	   	209.99	DCR|4VULN|3CDMG|1AART	1AART|2MBVNT|356CDMG|4689VULN|68BPWR|7RCR|aLIT
69	51712 46324	   	209.89	DCR|4VULN|3CDMG|1AART	1AART|2MBVNT|356CDMG|468aVULN|68BPWR|7RCR|9DUST
70	25144 22745	   	209.86	DCR|2VULN|1MDPS|2DMG|3CDMG|1AART	178CDMG|2MBVNT|3ERES|48VULN|58DMG|6MDPS|8BPWR|9RCR|aAART
71	25444 52812	   	209.83	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1CDMG|2MBVNT|3DUST|4DUR|5AART|6RCR|789VULN|aASPD
72	34143 34212	   	209.19	DCR|4VULN|2DMG|1ASPD	156aVULN|2CGEN|3LHND|4ASPD|78DMG|9RCR
73	34243 34212	   	209.19	DCR|4VULN|2DMG|1ASPD	156aVULN|2CGEN|3BEXP|4ASPD|78DMG|9RCR
74	34343 34212	   	209.19	DCR|4VULN|2DMG|1ASPD	156aVULN|2CGEN|3FEWX|4ASPD|78DMG|9RCR
75	41114 34212	   	209.19	DCR|4VULN|2DMG|1ASPD	1ASPD|246aVULN|34LHND|4BPWR|5ERES|78DMG|9RCR
76	41213 64212	   	209.19	DCR|4VULN|2DMG|1ASPD	1ASPD|245aVULN|34BEXP|4BPWR|6ERES|78DMG|9RCR
77	41214 34212	   	209.19	DCR|4VULN|2DMG|1ASPD	1ASPD|246aVULN|34BEXP|4BPWR|5ERES|78DMG|9RCR
78	41313 64212	   	209.19	DCR|4VULN|2DMG|1ASPD	1ASPD|245aVULN|34FEWX|4BPWR|6ERES|78DMG|9RCR
79	41314 34212	   	209.19	DCR|4VULN|2DMG|1ASPD	1ASPD|246aVULN|34FEWX|4BPWR|5ERES|78DMG|9RCR
80	41413 34212	   	209.19	DCR|4VULN|2DMG|1ASPD	1ASPD|256aVULN|3CGEN|4LWND|78DMG|9RCR
81	41423 34212	   	209.19	DCR|4VULN|2DMG|1ASPD	1ASPD|256aVULN|3CGEN|4LHND|78DMG|9RCR
82	41613 34212	   	209.19	DCR|4VULN|2DMG|1ASPD	1ASPD|245aVULN|34LWND|4BPWR|6ERES|78DMG|9RCR
83	43263 34212	   	209.19	DCR|4VULN|2DMG|1ASPD	1ASPD|2CGEN|3LHND|456aVULN|78DMG|9RCR
84	43363 34212	   	209.19	DCR|4VULN|2DMG|1ASPD	1ASPD|2CGEN|3LWND|456aVULN|78DMG|9RCR
85	43513 34212	   	209.19	DCR|4VULN|2DMG|1ASPD	1ASPD|2CGEN|356aVULN|4LWND|78DMG|9RCR
86	43523 34212	   	209.19	DCR|4VULN|2DMG|1ASPD	1ASPD|2CGEN|356aVULN|4LHND|78DMG|9RCR
87	43163 34212	   	209.09	DCR|4VULN|2DMG|1ASPD	1ASPD|2CGEN|3LEGI|456aVULN|78DMG|9RCR
88	35233 53263	   	208.87	DCR|3VULN|2DMG|2ASPD	159VULN|2BEXP|3RCVC|49ASPD|6TLV|7ERES|89DMG|9BPWR|aRCR
89	51712 46213	   	208.84	DCR|2VULN|3CDMG|1AART|1ASPD|1DUR	1AART|2MBVNT|356CDMG|46VULN|6BPWR|7RCR|8DUR|9ASPD|aRMIN
90	36233 53263	   	208.77	DCR|3VULN|2DMG|2ASPD	159VULN|2DUST|3RCVC|49ASPD|6TLV|7ERES|89DMG|9BPWR|aRCR
91	41212 34216	   	208.69	DCR|3VULN|2DMG|1ASPD|1DUR	1ASPD|246VULN|34BEXP|4BPWR|5RMIN|78DMG|9RCR|aDUR
92	41312 34216	   	208.69	DCR|3VULN|2DMG|1ASPD|1DUR	1ASPD|246VULN|34FEWX|4BPWR|5RMIN|78DMG|9RCR|aDUR
93	55331 11362	   	208.66	DCR|3VULN|1AART|1ASPD|1CDMG	1AART|2RMIN|3CDMG|48aVULN|5AME|6RCR|7FEWX|9ASPD
94	23124 13613	   	208.64	ACR|3VULN|2DMG|2CDMG|1ASPD|1AAC	18CDMG|2MLV|3RMIN|4RCR|568VULN|78DMG|8BPWR|9ASPD|aAAC
95	33243 34216	   	208.59	DCR|3VULN|2DMG|1ASPD|1DUR	156VULN|2RMIN|3BEXP|4ASPD|78DMG|9RCR|aDUR
96	33343 34216	   	208.59	DCR|3VULN|2DMG|1ASPD|1DUR	156VULN|2RMIN|3FEWX|4ASPD|78DMG|9RCR|aDUR
97	23134 43262	   	208.41	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2MLV|3RMIN|45DMG|6RCR|7LWND|8aVULN|9AART
98	21535 23116	   	208.32	DCR|2VULN|2DMG|1MDPS|1AART|2CDMG	1aCDMG|2RPLT|3RCVC|4MDPS|5AART|6FEWX|7aDMG|8RCR|9aVULN|aBPWR
99	25444 52612	 * 	208.07	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR	1CDMG|2MBVNT|3DUST|4DUR|58AART|6RCR|79VULN|aASPD
100	51712 46211	   	208.02	DCR|2VULN|3CDMG|1AART|1ASPD|1AAC|1DUR	1AART|2MBVNT|356CDMG|46VULN|6BPWR|7RCR|8DUR|9ASPD|aAAC
101	22136 43531	 * 	207.62	DCR|2VULN|2ASPD|3CDMG|3DUR	137CDMG|2DMSP|37BPWR|479DUR|57ASPD|6RCR|8aVULN
102	41432 34212	   	207.56	DCR|3VULN|2DMG|2ASPD	14ASPD|25aVULN|3CGEN|6BEXP|78DMG|9RCR
103	43532 34212	   	207.56	DCR|3VULN|2DMG|2ASPD	14ASPD|2CGEN|35aVULN|6BEXP|78DMG|9RCR
104	16332 15322	   	207.49	DCR|4VULN|1AART|2DUR|2ZMB	1RPLT|2RMIN|3579VULN|4AART|69ZMB|89DUR|9BPWR|aRCR
105	16412 15322	   	207.49	DCR|4VULN|1AART|2DUR|2ZMB	1RPLT|2RMIN|3AART|4579VULN|69ZMB|89DUR|9BPWR|aRCR
106	51537 23124	   	207.46	DCR|3VULN|2DMG|1AART|1DUR	1AART|2MBVNT|39LHND|49DMG|5MLV|6DUR|79aVULN|8RCR|9BPWR
107	41433 34212	   	207.46	DCR|3VULN|2DMG|2ASPD	14ASPD|26aVULN|3CGEN|5DUST|78DMG|9RCR
108	42432 34212	   	207.46	DCR|3VULN|2DMG|2ASPD	14ASPD|2DUST|3CGEN|56aVULN|78DMG|9RCR
109	43132 34212	   	207.46	DCR|3VULN|2DMG|2ASPD	14ASPD|2CGEN|3LEGI|56aVULN|78DMG|9RCR
110	43533 34212	   	207.46	DCR|3VULN|2DMG|2ASPD	14ASPD|2CGEN|36aVULN|5DUST|78DMG|9RCR
111	32243 51263	   	207.39	DCR|4VULN|2DMG|1ASPD	1579VULN|2AME|39BEXP|4ASPD|6MLV|89DMG|9BPWR|aRCR
112	32343 51263	   	207.39	DCR|4VULN|2DMG|1ASPD	1579VULN|2AME|39FEWX|4ASPD|6MLV|89DMG|9BPWR|aRCR
113	32243 33263	   	207.29	DCR|4VULN|2DMG|1ASPD	1569VULN|2AME|39BEXP|4ASPD|7ERES|89DMG|9BPWR|aRCR
114	32343 33263	   	207.29	DCR|4VULN|2DMG|1ASPD	1569VULN|2AME|39FEWX|4ASPD|7ERES|89DMG|9BPWR|aRCR
115	35143 33263	   	207.09	DCR|4VULN|2DMG|1ASPD	1569VULN|2BEXP|39TLV|4ASPD|7ERES|89DMG|9BPWR|aRCR
116	25144 31551	   	207.02	DCR|3VULN|2DMG|2CDMG	1aCDMG|2MBVNT|39ERES|47aVULN|5aDMG|6RCR|8RMIN|aBPWR
117	36143 33263	   	206.99	DCR|4VULN|2DMG|1ASPD	1569VULN|2DUST|39TLV|4ASPD|7ERES|89DMG|9BPWR|aRCR
118	51245 22117	   	206.77	DCR|2VULN|2DMG|1MDPS|1AART|3DUR	1AART|2MBVNT|3RMIN|4aDMG|5MDPS|67aDUR|8RCR|9aVULN|aBPWR
119	51712 28222	   	206.70	DCR|2VULN|2DMG|1AART|2CDMG	1AART|2MBVNT|35CDMG|4aVULN|6DUST|7RCR|89DMG
