0	Index      	 *	Score 	Summary	Detail	
1	33231 31214	 * 	220.19	DCR|4VULN|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2367VULN|4LWND|5ASPD|8RCR|9DMG|aCDMG
70	31134 54323	   	202.35	DCR|3VULN|1AART|1CDMG|2ZMB	17ZMB|2AART|3SPLREG|479VULN|57CGEN|6RCR|7BPWR|8CDMG|aBEXP
71	33231 33233	   	202.24	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|236VULN|4LWND|5ASPD|7CDMG|8ERES|9RCR|aDMG
72	34647 24212	 * 	202.17	DCR|2VULN|2AART|2ASPD|1ZMB	1ZMB|2MBVNT|3FEWX|46VULN|57ASPD|8aAART|9RCR
73	34464 32213	   	202.14	DCR|2VULN|2DMG|1MDPS|1AART|2ZMB	14ZMB|2MBVNT|34DMG|4BPWR|56VULN|7FEWX|8AART|9RCR|aMDPS
74	33231 34112	   	202.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1ZMB|236VULN|4LWND|5ASPD|7RCR|8FEWX|9AART|aDUR
75	33231 34552	   	202.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1ZMB|236VULN|4LWND|5ASPD|7RCR|8RMIN|9AART|aDUR
76	33231 34562	   	202.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1ZMB|236VULN|4LWND|5ASPD|7RCR|8RMIN|9DUR|aAART
77	33231 34652	   	202.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1ZMB|236VULN|4LWND|5ASPD|7RCR|8CGEN|9AART|aDUR
78	33231 34662	   	202.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1ZMB|236VULN|4LWND|5ASPD|7RCR|8CGEN|9DUR|aAART
79	33231 34312	   	202.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1ZMB|236VULN|4LWND|5ASPD|7RCR|8DUST|9AART|aDUR
80	23524 34112	   	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1BEXP|24VULN|3SNIFST|5ASPD|6FEWX|7RCR|8AART|9DMG|aCDMG
81	51232 63613	 * 	201.74	DCR|3VULN|1MDPS|2DMG|1CDMG|1DUR	1LIT|29DMG|3CDMG|48aVULN|5MDPS|6DUR|7RCR
82	33242 41213	   	201.46	DCR|4VULN|2DMG|1ZMB	1ZMB|237aVULN|4DMSP|59DMG|6LWND|8RCR
83	33251 51114	   	201.41	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|23VULN|4RCVC|5AART|6DMG|7DMSP|8RCR|9CDMG|aDUR
84	33242 41215	   	201.27	DCR|3VULN|3DMG|1ZMB	1ZMB|237VULN|4DMSP|59aDMG|6LWND|8RCR
85	23524 61113	   	201.25	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1BEXP|24VULN|3SNIFST|5ASPD|6RCR|7aDUR|8AART|9DMG
86	31531 63111	   	201.23	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	18ZMB|2AART|3MBVNT|4DUR|58ERES|678VULN|8BPWR|9RCR|aDMG
87	33241 11121	   	201.17	DCR|3VULN|1MDPS|1AART|1ASPD|1ZMB	1ZMB|236VULN|4DMSP|5AART|7ASPD|8RCR|9LWND|aMDPS
88	33241 11161	   	201.17	DCR|3VULN|1MDPS|1AART|1ASPD|1ZMB	1ZMB|236VULN|4DMSP|5AART|7ASPD|8RCR|9BEXP|aMDPS
89	33241 11131	   	201.07	DCR|3VULN|1MDPS|1AART|1ASPD|1ZMB	1ZMB|236VULN|4DMSP|5AART|7ASPD|8RCR|9DUST|aMDPS
90	33242 62241	   	200.92	DCR|2VULN|2DMG|1MDPS|1AART|1ZMB	1ZMB|23VULN|4DMSP|56DMG|7FEWX|8RCR|9AART|aMDPS
91	31134 52612	   	200.84	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2AART|3SPLREG|4VULN|5CGEN|6RCR|7LHND|8ASPD|9DMG|aCDMG
92	33261 52113	   	200.78	DCR|4VULN|2DMG|2ZMB	19ZMB|2359VULN|45AIRARM|59BPWR|6FEWX|79DMG|8BELT|aRCR
93	33611 31415	 * 	200.77	ACR|3VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ZMB|267VULN|3RCR|4RCVC|5ASPD|8DUR|9DMG|aAART
94	33252 23163	   	200.75	DCR|3VULN|2DMG|1CDMG|1ZMB	1ZMB|237VULN|4RCVC|59DMG|6CDMG|8LHND|aRCR
95	33261 12113	   	200.68	DCR|4VULN|2DMG|2ZMB	19ZMB|2359VULN|45AIRARM|59BPWR|6DUST|79DMG|8BELT|aRCR
96	31571 22734	   	200.64	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2AART|3MBVNT|4SPLREG|5DUST|6RCR|7CDMG|8DMG|9VULN|aASPD
97	33263 61114	   	200.30	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1ZMB|23VULN|4AIRARM|5DUST|6RCR|7DUR|8AART|9aASPD
98	33211 52224	   	200.20	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1ZMB|239VULN|4CGEN|5DUR|6RCR|7ERES|8AART|aCDMG
99	33231 32212	   	200.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1ZMB|236VULN|4LWND|5ASPD|7FEWX|8RCR|9AART|aDUR
100	31571 22743	 * 	200.07	DCR|3DMG|1AART|1CDMG|2SPLREG|2ZMB	1aZMB|2AART|3MBVNT|4aSPLREG|5DUST|6RCR|7CDMG|89aDMG|aBPWR
101	33234 31214	 * 	200.02	DCR|4VULN|1DMG|1NUKE|1CDMG|1ZMB	1ZMB|2367VULN|4LWND|5NUKE|8RCR|9DMG|aCDMG
102	33211 52226	   	200.02	DCR|3VULN|2AART|1ZMB|1DUR	1ZMB|239VULN|4CGEN|5DUR|6RCR|7ERES|8aAART
103	33211 52225	   	199.80	DCR|4VULN|1AART|1ZMB|1DUR	1ZMB|239aVULN|4CGEN|5DUR|6RCR|7ERES|8AART
104	34451 43174	 * 	199.73	DCR|2DMG|1VULN|1ASPD|1NUKE|1ZMB|1DUR	1ZMB|2MBVNT|38DMG|4RMIN|5ASPD|6RCR|7DUR|9VULN|aNUKE
105	34451 43354	   	199.73	DCR|2DMG|1VULN|1ASPD|1NUKE|1ZMB|1DUR	1ZMB|2MBVNT|39DMG|4RMIN|5ASPD|6RCR|7DUR|8VULN|aNUKE
106	34451 43431	 * 	199.73	DCR|2DMG|1AART|1ASPD|1NUKE|1ZMB|1DUR	1ZMB|2MBVNT|39DMG|4RMIN|5ASPD|6RCR|7DUR|8AART|aNUKE
107	34481 47231	   	199.73	DCR|2DMG|1AART|1ASPD|1NUKE|1ZMB|1DUR	1ZMB|2MBVNT|39DMG|4MLV|5ASPD|6RCR|7DUR|8AART|aNUKE
108	34464 24451	   	199.71	DCR|2VULN|2DMG|3ZMB|1ASPD	149ZMB|2MBVNT|34DMG|49BPWR|59VULN|6BEXP|7ASPD|89CGEN|aRCR
109	33242 62213	   	199.69	DCR|3DMG|2VULN|1CDMG|1ZMB	1ZMB|23VULN|4DMSP|569DMG|7FEWX|8RCR|aCDMG
110	31134 54133	   	199.65	DCR|3VULN|1AART|2DUR|2ZMB	17ZMB|2AART|3SPLREG|479VULN|57CGEN|6RCR|7BPWR|8aDUR
111	34411 47174	   	199.63	DCR|2DMG|1VULN|1ASPD|1NUKE|1ZMB|1DUR	1ZMB|2MBVNT|38DMG|4ERES|5ASPD|6RCR|7DUR|9VULN|aNUKE
112	34411 47231	   	199.63	DCR|2DMG|1AART|1ASPD|1NUKE|1ZMB|1DUR	1ZMB|2MBVNT|39DMG|4ERES|5ASPD|6RCR|7DUR|8AART|aNUKE
113	34464 41151	   	199.61	DCR|2VULN|2DMG|3ZMB|1ASPD	149ZMB|2MBVNT|34DMG|49BPWR|59VULN|6TLV|7ASPD|89FEWX|aRCR
114	34464 41251	   	199.61	DCR|2VULN|2DMG|3ZMB|1ASPD	149ZMB|2MBVNT|34DMG|49BPWR|59VULN|6TLV|7ASPD|89LWND|aRCR
115	33231 45533	   	199.37	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1ZMB	1ZMB|23VULN|4LWND|5ASPD|6AART|7RCR|8FEWX|9DMG|aAAC
116	33111 31212	   	199.28	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1ZMB|267VULN|3FEWX|4RCVC|5ASPD|8RCR|9DMG|aDUR
117	33252 41235	   	199.28	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1ZMB|237VULN|4RCVC|5DMG|6LWND|8RCR|9DUR|aASPD
118	34481 43271	   	199.22	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1ZMB	1ZMB|2MBVNT|3DMG|4MLV|5ASPD|6RCR|7RCVC|8AART|9VULN|aNUKE
119	33251 36114	   	199.18	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1ZMB|237VULN|4RCVC|5AART|6CGEN|8RCR|9CDMG|aDUR
120	33251 13114	   	199.08	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1ZMB|236VULN|4RCVC|5AART|7TLV|8RCR|9CDMG|aDUR
121	33251 16114	   	199.08	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1ZMB|236VULN|4RCVC|5AART|7ERES|8RCR|9CDMG|aDUR
122	33252 62235	   	199.04	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1ZMB|23VULN|4RCVC|56DMG|7FEWX|8RCR|9DUR|aASPD
123	33252 31441	   	199.00	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|237VULN|4RCVC|5DMG|6BEXP|8DUR|9AART|aRCR
124	23611 31441	   	199.00	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1BEXP|267VULN|3ZMB|4RCVC|5ASPD|8DUR|9AART|aRCR
125	33111 31441	   	199.00	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1ZMB|267VULN|3FEWX|4RCVC|5ASPD|8DUR|9AART|aRCR
126	33511 31441	   	199.00	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1ZMB|267VULN|3BEXP|4RCVC|5ASPD|8DUR|9AART|aRCR
127	31134 51322	   	198.93	DCR|3VULN|1AART|1CDMG|1ZMB	1ZMB|2AART|3SPLREG|49aVULN|5CGEN|6RCR|7DMSP|8CDMG
128	23611 34251	   	198.92	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1BEXP|26VULN|3ZMB|4RCVC|5ASPD|7RCR|8AART|9FEWX|aDMG
129	33511 34251	   	198.92	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ZMB|26VULN|3BEXP|4RCVC|5ASPD|7RCR|8AART|9FEWX|aDMG
130	33231 31223	 * 	198.89	DCR|5VULN|1ASPD|1ZMB	1ZMB|2367aVULN|4LWND|5ASPD|8RCR|9RCVC
131	33233 36336	   	198.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|23VULN|4LWND|5RPLT|6CDMG|7DUR|8RCR|9AART|aDMG
132	33241 51114	   	198.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|23VULN|47DMSP|5AART|6DMG|8RCR|9CDMG|aDUR
133	33111 36215	   	198.48	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ZMB|26VULN|3FEWX|47RCVC|5ASPD|8RCR|9DMG|aAART
134	33231 34212	   	198.40	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1ZMB|236VULN|48LWND|5ASPD|7RCR|9DMG|aDUR
135	51155 22311	   	198.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	14LIT|2DMG|35VULN|6ASPD|7ZMB|8AART|9DUR|aRCR
136	23523 42114	 * 	198.11	DCR|2VULN|2ASPD|1AART|1CDMG	1BEXP|24VULN|3SNIFST|5RPLT|6RCR|7CDMG|8AART|9aASPD
137	23523 41314	   	198.11	DCR|2VULN|2ASPD|1AART|1CDMG	1BEXP|24VULN|3SNIFST|5RPLT|6RCR|7AART|8CDMG|9aASPD
138	33231 31235	   	198.09	DCR|4VULN|2ASPD|1ZMB	1ZMB|2367VULN|4LWND|5aASPD|8RCR|9FEWX
139	33231 36212	   	198.00	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1ZMB|236VULN|4LWND|5ASPD|7RCVC|8RCR|9DMG|aDUR
140	31531 63211	   	197.91	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2AART|3MBVNT|4DUR|5ERES|678VULN|9RCR|aDMG
141	33242 23163	   	197.86	DCR|3VULN|2DMG|1CDMG|1ZMB	1ZMB|237VULN|4DMSP|59DMG|6CDMG|8LHND|aRCR
142	51151 11235	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	14LIT|2DMG|3aVULN|5CDMG|6AAC|7ASPD|8AART|9RCR
143	51233 11231	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1LIT|2DMG|3CDMG|45VULN|6AAC|7ASPD|8AART|9RCR|aBEXP
144	51233 11236	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1LIT|2DMG|3CDMG|45VULN|6AAC|7ASPD|8AART|9RCR|aAME
145	51233 12144	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1LIT|2DMG|3CDMG|45VULN|6AAC|7FEWX|8AART|9RCR|aASPD
146	51233 42141	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LIT|2DMG|3CDMG|45VULN|6DUST|7ASPD|8AART|9RCR|aLWND
147	51233 42142	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LIT|2DMG|3CDMG|45VULN|6DUST|7ASPD|8AART|9RCR|aFEWX
148	51233 42143	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LIT|2DMG|3CDMG|45VULN|6DUST|7ASPD|8AART|9RCR|aMULFIG
149	51234 61231	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1LIT|2DMG|3CDMG|46VULN|5AAC|7ASPD|8AART|9RCR|aBEXP
150	31513 83812	   	197.77	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2AART|3MBVNT|4LWND|57VULN|68DMG|9RCR|aDUR
151	31543 83812	   	197.77	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2AART|3MBVNT|4LHND|57VULN|68DMG|9RCR|aDUR
152	51233 11164	   	197.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1LIT|2DMG|3CDMG|45VULN|6AAC|7ASPD|8ERES|9RCR|aAART
153	51233 11232	   	197.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1LIT|2DMG|3CDMG|45VULN|6AAC|7ASPD|8AART|9RCR|aERES
154	51233 11233	   	197.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1MSE	1LIT|2DMG|3CDMG|45VULN|6AAC|7ASPD|8AART|9RCR|aMSE
155	51234 61232	   	197.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1LIT|2DMG|3CDMG|46VULN|5AAC|7ASPD|8AART|9RCR|aERES
156	51234 61233	   	197.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1MSE	1LIT|2DMG|3CDMG|46VULN|5AAC|7ASPD|8AART|9RCR|aMSE
