0	Index      	 *	Score 	Summary	Detail	
1	63232 43324	 * 	214.41	DCR|4VULN|1ASPD|1DMG|3DUR	128aVULN|38LHND|4DMG|5ASPD|689DUR|7RCR|8BPWR
45	61112 63332	 * 	203.29	DCR|3VULN|3ASPD|1NUKE|1CDMG	148VULN|24BEXP|3NUKE|48BPWR|589ASPD|68LHND|7RCR|aCDMG
46	63432 33153	   	203.19	DCR|2VULN|2DMG|1AART|1ASPD	12VULN|3BEXP|49DMG|5ASPD|6DUST|7RCR|8LHND|aAART
47	63632 23153	   	203.19	DCR|2VULN|2DMG|1AART|1ASPD	12VULN|3DUST|49DMG|5ASPD|6FEWX|7RCR|8LHND|aAART
48	61132 63332	   	203.19	DCR|3VULN|3ASPD|1NUKE|1CDMG	148VULN|2BEXP|3NUKE|589ASPD|68LHND|7RCR|8BPWR|aCDMG
49	63232 43335	   	202.87	DCR|3VULN|1MDPS|1ASPD|1DMG|2DUR	128VULN|38LHND|4DMG|5ASPD|68DUR|7RCR|8BPWR|9BEXP|aMDPS
50	63232 43342	 * 	202.77	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG|2DUR	128VULN|38LHND|4DMG|5ASPD|68DUR|7RCR|8BPWR|9MDPS|aCDMG
51	63232 43343	 * 	202.77	DCR|3VULN|2DMG|1MDPS|1ASPD|2DUR	128VULN|38LHND|4aDMG|5ASPD|68DUR|7RCR|8BPWR|9MDPS
52	63232 43325	   	202.72	DCR|3VULN|1ASPD|1DMG|3DUR	128VULN|38LHND|4DMG|5ASPD|689DUR|7RCR|8BPWR|aRMIN
53	63432 63332	   	202.48	DCR|3VULN|2ASPD|1DMG|1DUR	128VULN|38BEXP|4DMG|59ASPD|68LHND|7RCR|8BPWR|aDUR
54	63432 23332	   	202.28	DCR|3VULN|2ASPD|1DMG|1DUR	128VULN|3BEXP|4DMG|59ASPD|6FEWX|7RCR|aDUR
55	63632 63332	   	202.28	DCR|3VULN|2ASPD|1DMG|1DUR	128VULN|38DUST|4DMG|59ASPD|68LHND|7RCR|8BPWR|aDUR
56	63432 33332	   	202.18	DCR|3VULN|2ASPD|1DMG|1DUR	128VULN|3BEXP|4DMG|59ASPD|6DUST|7RCR|aDUR
57	63632 23332	   	202.18	DCR|3VULN|2ASPD|1DMG|1DUR	128VULN|3DUST|4DMG|59ASPD|6FEWX|7RCR|aDUR
58	66311 12423	 * 	202.10	DCR|3VULN|2DMG|1AART	178VULN|2BELT|35DMG|45BEXP|5BPWR|6SPLREG|9AART|aRCR
59	63232 33552	   	201.94	DCR|4VULN|1ASPD|1DMG|1ZMB	126aVULN|3LHND|4DMG|5ASPD|7LWND|8ZMB|9RCR
60	63432 43232	 * 	201.94	DCR|2VULN|2DMG|2ASPD|1DUR	12VULN|3BEXP|4aDMG|59ASPD|6DUR|7RCR|8ERES
61	66321 12423	   	201.90	DCR|3VULN|2DMG|1AART	178VULN|2BELT|35DMG|45DUST|5BPWR|6SPLREG|9AART|aRCR
62	63232 32552	   	201.84	DCR|4VULN|1ASPD|1DMG|1ZMB	126aVULN|3LHND|4DMG|5ASPD|7DUST|8ZMB|9RCR
63	63632 43232	   	201.84	DCR|2VULN|2DMG|2ASPD|1DUR	12VULN|3DUST|4aDMG|59ASPD|6DUR|7RCR|8ERES
64	24314 32423	 * 	201.77	DCR|2VULN|2DMG|2CDMG|1ZMB|1DUR	1LEGI|2RPLT|3aDMG|4ERES|5aCDMG|6ZMB|7RCR|8DUR|9aVULN|aBPWR
65	33322 33362	   	201.55	DCR|3VULN|2DMG|1ASPD|1DUR	138DUST|268VULN|4CGEN|5ASPD|78DMG|8BPWR|9RCR|aDUR
66	63212 23634	   	201.22	DCR|3VULN|2DMG|1AART	127VULN|3LHND|4AART|5FEWX|6RMIN|8aDMG|9RCR
67	33632 11635	 * 	200.56	DCR|3VULN|1AART|1ASPD|1CDMG	1DUST|247VULN|3MLV|5ASPD|6AART|8SPLREG|9CDMG|aRCR
68	63122 11635	   	200.56	DCR|3VULN|1AART|1ASPD|1CDMG	127VULN|3MLV|4DUST|5ASPD|6AART|8SPLREG|9CDMG|aRCR
69	24312 31614	 * 	200.48	DCR|3VULN|3DMG|2ZMB	1LEGI|2RPLT|358DMG|45ERES|58BPWR|689VULN|78ZMB|aRCR
70	62112 43341	 * 	200.36	DCR|3VULN|1MDPS|2ASPD|1NUKE|2DUR|1AAC	148VULN|24LHND|3NUKE|48BPWR|58ASPD|68DUR|7RCR|9MDPS|aAAC
71	63216 23222	   	200.28	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	127VULN|3LHND|4AART|5DUR|6RMIN|8ASPD|9ZMB|aRCR
72	63216 23622	   	200.28	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	127VULN|3LHND|4AART|5DUR|6RMIN|8DMG|9ZMB|aRCR
73	62132 43341	   	200.26	DCR|3VULN|1MDPS|2ASPD|1NUKE|2DUR|1AAC	148VULN|2LHND|3NUKE|58ASPD|68DUR|7RCR|8BPWR|9MDPS|aAAC
74	65121 35222	 * 	199.68	DCR|3VULN|2DMG|3ZMB	17aVULN|267ZMB|3DUST|4aAME|567FEWX|67aBPWR|8aDMG|9RCR
75	61632 11334	   	199.53	DCR|3VULN|1AART|1ASPD|1DMG	147VULN|2BEXP|3MLV|5ASPD|6AART|8LHND|9RCR|aDMG
76	33632 11334	   	199.43	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|247VULN|3MLV|5ASPD|6AART|8LHND|9RCR|aDMG
77	33632 34334	   	199.43	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|246VULN|3MLV|5ASPD|7AART|8LHND|9RCR|aDMG
78	63122 11334	   	199.43	DCR|3VULN|1AART|1ASPD|1DMG	127VULN|3MLV|4DUST|5ASPD|6AART|8LHND|9RCR|aDMG
79	63122 34334	   	199.43	DCR|3VULN|1AART|1ASPD|1DMG	126VULN|3MLV|4DUST|5ASPD|7AART|8LHND|9RCR|aDMG
80	63212 31234	   	199.43	DCR|3VULN|1AART|1ASPD|1DMG	127VULN|3LHND|4AART|5FEWX|6ERES|8ASPD|9RCR|aDMG
81	61112 42352	   	199.41	DCR|4VULN|2ASPD|1NUKE|2DUR|1AAC	148aVULN|24BEXP|3NUKE|48BPWR|58ASPD|68DUR|7AAC|9RCR
82	63232 43352	   	199.31	DCR|3VULN|1ASPD|1DMG|3DUR	128VULN|38LHND|4DMG|5ASPD|68aDUR|7RCR|8BPWR|9RCVC
83	61132 42352	   	199.31	DCR|4VULN|2ASPD|1NUKE|2DUR|1AAC	148aVULN|2BEXP|3NUKE|58ASPD|68DUR|7AAC|8BPWR|9RCR
84	63232 43312	   	198.94	DCR|4VULN|1ASPD|1DMG|2DUR|1AAC	128aVULN|38LHND|4DMG|5ASPD|68DUR|7RCR|8BPWR|9AAC
85	61112 63323	   	198.67	DCR|3VULN|2ASPD|1NUKE|1CDMG|1DUR	148VULN|24BEXP|3NUKE|48BPWR|58ASPD|68LHND|7RCR|9DUR|aCDMG
86	43512 31312	   	198.66	DCR|3VULN|1ASPD|1DMG|3DUR	18MLV|248DUR|34LWND|48BPWR|5ASPD|689VULN|7RCR|aDMG
87	61132 63323	   	198.57	DCR|3VULN|2ASPD|1NUKE|1CDMG|1DUR	148VULN|2BEXP|3NUKE|58ASPD|68LHND|7RCR|8BPWR|9DUR|aCDMG
88	63232 43321	   	198.56	DCR|3VULN|1ASPD|1DMG|3DUR	128VULN|38aLHND|4DMG|5ASPD|689DUR|7RCR|8BPWR
89	63232 43322	   	198.56	DCR|3VULN|1ASPD|1DMG|3DUR	128VULN|38LHND|4DMG|5ASPD|689DUR|7RCR|8BPWR|aFEWX
90	63232 43323	   	198.56	DCR|3VULN|1ASPD|1DMG|3DUR	128VULN|38LHND|4DMG|5ASPD|689DUR|7RCR|8BPWR|aRPLT
91	63232 43332	   	198.56	DCR|3VULN|1ASPD|1DMG|3DUR	128VULN|38LHND|4DMG|5ASPD|68aDUR|7RCR|8BPWR|9BEXP
92	43552 31312	   	198.56	DCR|3VULN|1ASPD|1DMG|3DUR	18MLV|248DUR|3LWND|5ASPD|689VULN|7RCR|8BPWR|aDMG
93	63232 43326	   	198.46	DCR|3VULN|1ASPD|1DMG|3DUR	128VULN|38LHND|4DMG|5ASPD|689DUR|7RCR|8BPWR|aDUST
94	36332 43532	   	198.42	DCR|2VULN|2ASPD|1DMG|1ZMB|1DUR	1DUST|2RCVC|3aVULN|4DMG|59ASPD|6DUR|7RCR|8ZMB
95	63432 43322	   	198.36	DCR|3VULN|1ASPD|1DMG|3DUR	128VULN|3BEXP|4DMG|5ASPD|69aDUR|7RCR
96	63632 43322	   	198.26	DCR|3VULN|1ASPD|1DMG|3DUR	128VULN|3DUST|4DMG|5ASPD|69aDUR|7RCR
97	65132 63323	   	197.90	DCR|3VULN|1ASPD|1CDMG|2ZMB|1DUR	148VULN|28ZMB|3DUST|5ASPD|68LHND|7RCR|8BPWR|9DUR|aCDMG
98	63212 23236	 * 	197.85	DCR|3VULN|2ASPD|1AART	127VULN|3LHND|4AART|5FEWX|6RMIN|8aASPD|9RCR
99	36232 53335	   	197.71	DCR|3VULN|2ASPD|1DMG	18DUST|2RCVC|38LHND|4DMG|59ASPD|68aVULN|7RCR|8BPWR
100	36332 63335	   	197.71	DCR|3VULN|2ASPD|1DMG	18DUST|2RCVC|38aVULN|4DMG|59ASPD|68LHND|7RCR|8BPWR
101	23214 51351	 * 	197.71	DCR|3VULN|1MDPS|2ASPD|1CDMG|2DUR	1LEGI|2MDPS|39DUR|4RPLT|5CDMG|689VULN|79ASPD|9BPWR|aRCR
102	36332 23335	   	197.61	DCR|3VULN|2ASPD|1DMG	1DUST|2RCVC|38aVULN|4DMG|59ASPD|6FEWX|7RCR
103	24322 32314	   	197.47	DCR|3VULN|3DMG|1ZMB	1LEGI|2RPLT|357DMG|457CGEN|57BPWR|679VULN|8ZMB|aRCR
104	63432 23325	   	197.42	DCR|3VULN|1MDPS|1ASPD|1DMG|1DUR	128VULN|3BEXP|4DMG|5ASPD|6FEWX|7RCR|9DUR|aMDPS
105	33322 33365	   	197.41	DCR|3VULN|2DMG|1ASPD	138DUST|268VULN|4CGEN|5ASPD|78DMG|8BPWR|9RCR|aRMIN
106	61112 63335	   	197.37	DCR|3VULN|3ASPD|1NUKE|1ZMB	148VULN|24BEXP|3NUKE|48BPWR|589ASPD|68LHND|7RCR|aZMB
107	63235 21332	   	197.34	DCR|3VULN|2DMG|1ASPD	128VULN|38LHND|4aDMG|5BEXP|68ERES|7RCR|8BPWR|9ASPD
108	63432 33325	   	197.32	DCR|3VULN|1MDPS|1ASPD|1DMG|1DUR	128VULN|3BEXP|4DMG|5ASPD|6DUST|7RCR|9DUR|aMDPS
109	63232 11115	 * 	197.32	5VULN|2DMG|2ASPD|1AART|1DUR	12789VULN|3LHND|49DMG|59ASPD|6AART|9BPWR|aDUR
110	63232 34115	   	197.32	5VULN|2DMG|2ASPD|1AART|1DUR	12689VULN|3LHND|49DMG|59ASPD|7AART|9BPWR|aDUR
111	61132 63335	   	197.27	DCR|3VULN|3ASPD|1NUKE|1ZMB	148VULN|2BEXP|3NUKE|589ASPD|68LHND|7RCR|8BPWR|aZMB
112	32332 53312	   	197.24	DCR|3VULN|2DMG|1ASPD	138DUST|28LWND|4aDMG|5ASPD|689VULN|7RCR|8BPWR
113	63236 21332	   	197.24	DCR|3VULN|2DMG|1ASPD	128VULN|38LHND|4aDMG|5DUST|68ERES|7RCR|8BPWR|9ASPD
114	63231 16633	 * 	197.06	DCR|3VULN|1MDPS|2DMG|2CDMG	12aVULN|3LHND|4aDMG|5MDPS|6LWND|7CGEN|8aCDMG|9RCR|aBPWR
115	63231 32633	   	197.06	DCR|3VULN|1MDPS|2DMG|2CDMG	12aVULN|3LHND|4aDMG|5MDPS|6CGEN|7FEWX|8aCDMG|9RCR|aBPWR
116	63231 35633	   	197.06	DCR|3VULN|1MDPS|2DMG|2CDMG	12aVULN|3LHND|4aDMG|5MDPS|6CGEN|7LWND|8aCDMG|9RCR|aBPWR
117	63431 33633	   	197.06	DCR|3VULN|1MDPS|2DMG|2CDMG	12aVULN|3BEXP|4aDMG|5MDPS|6CGEN|7LHND|8aCDMG|9RCR|aBPWR
118	62112 43335	   	197.02	DCR|3VULN|1MDPS|2ASPD|1NUKE|2DUR	148VULN|24LHND|3NUKE|48BPWR|58ASPD|68DUR|7RCR|9BEXP|aMDPS
119	62112 43363	   	197.02	DCR|3VULN|1MDPS|2ASPD|1NUKE|2DUR	148VULN|24LHND|3NUKE|48BPWR|58ASPD|68DUR|7RCR|9BELT|aMDPS
120	63631 33633	   	196.96	DCR|3VULN|1MDPS|2DMG|2CDMG	12aVULN|3DUST|4aDMG|5MDPS|6CGEN|7LHND|8aCDMG|9RCR|aBPWR
121	36332 43325	   	196.94	DCR|3VULN|1ASPD|1DMG|2DUR	1DUST|2RCVC|38aVULN|4DMG|5ASPD|69DUR|7RCR
122	62132 43335	   	196.92	DCR|3VULN|1MDPS|2ASPD|1NUKE|2DUR	148VULN|2LHND|3NUKE|58ASPD|68DUR|7RCR|8BPWR|9BEXP|aMDPS
123	62132 43363	   	196.92	DCR|3VULN|1MDPS|2ASPD|1NUKE|2DUR	148VULN|2LHND|3NUKE|58ASPD|68DUR|7RCR|8BPWR|9BELT|aMDPS
124	62112 43342	 * 	196.92	DCR|3VULN|1MDPS|2ASPD|1NUKE|1CDMG|2DUR	148VULN|24LHND|3NUKE|48BPWR|58ASPD|68DUR|7RCR|9MDPS|aCDMG
125	62112 43343	 * 	196.92	DCR|3VULN|1MDPS|2ASPD|1DMG|1NUKE|2DUR	148VULN|24LHND|3NUKE|48BPWR|58ASPD|68DUR|7RCR|9MDPS|aDMG
126	62112 43325	   	196.88	DCR|3VULN|2ASPD|1NUKE|3DUR	148VULN|24LHND|3NUKE|48BPWR|58ASPD|689DUR|7RCR|aRMIN
127	62132 43342	   	196.82	DCR|3VULN|1MDPS|2ASPD|1NUKE|1CDMG|2DUR	148VULN|2LHND|3NUKE|58ASPD|68DUR|7RCR|8BPWR|9MDPS|aCDMG
128	62132 43343	   	196.82	DCR|3VULN|1MDPS|2ASPD|1DMG|1NUKE|2DUR	148VULN|2LHND|3NUKE|58ASPD|68DUR|7RCR|8BPWR|9MDPS|aDMG
129	62132 43325	   	196.78	DCR|3VULN|2ASPD|1NUKE|3DUR	148VULN|2LHND|3NUKE|58ASPD|689DUR|7RCR|8BPWR|aRMIN
130	63232 43311	   	196.74	DCR|3VULN|1ASPD|1DMG|1AAC|2DUR	128VULN|38LHND|4DMG|5ASPD|68DUR|7RCR|8BPWR|9AAC|aERES
131	63232 43313	   	196.74	DCR|3VULN|1ASPD|1DMG|2DUR|1AAC	128VULN|38LHND|4DMG|5ASPD|68DUR|7RCR|8BPWR|9AAC|aMBVNT
132	63232 43315	   	196.74	DCR|3VULN|1ASPD|1DMG|2DUR|1AAC	128VULN|38LHND|4DMG|5ASPD|68DUR|7RCR|8BPWR|9AAC|aCGEN
133	63232 43316	   	196.74	DCR|3VULN|1ASPD|1DMG|1AAC|2DUR	128VULN|38LHND|4DMG|5ASPD|68DUR|7RCR|8BPWR|9AAC|aDUST
134	61112 63331	 * 	196.40	DCR|3VULN|3ASPD|1MDPS|1NUKE	148VULN|24BEXP|3NUKE|48BPWR|589ASPD|68LHND|7RCR|aMDPS
135	61132 63331	   	196.30	DCR|3VULN|3ASPD|1MDPS|1NUKE	148VULN|2BEXP|3NUKE|589ASPD|68LHND|7RCR|8BPWR|aMDPS
136	63232 14161	 * 	196.13	DCR|1SPLARM|2VULN|1MDPS|1AART|1ASPD|1DMG	12VULN|3LHND|4DMG|5ASPD|6AART|7MDPS|8BELT|9RCR|aSPLARM
137	13632 11622	   	196.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1LHND|247VULN|3MLV|5ASPD|6AART|8DUR|9ZMB|aRCR
138	13632 34622	   	196.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1LHND|246VULN|3MLV|5ASPD|7AART|8DUR|9ZMB|aRCR
139	62632 11622	   	196.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	147VULN|2LHND|3MLV|5ASPD|6AART|8DUR|9ZMB|aRCR
140	63162 11322	   	196.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	127VULN|3MLV|4DUR|5ASPD|6AART|8LHND|9ZMB|aRCR
141	63162 33622	   	196.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	126VULN|3MLV|4DUR|5ASPD|7LWND|8AART|9ZMB|aRCR
142	63162 34322	   	196.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	126VULN|3MLV|4DUR|5ASPD|7AART|8LHND|9ZMB|aRCR
143	63222 11622	   	196.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	127VULN|3LHND|4CGEN|5ASPD|6AART|8DUR|9ZMB|aRCR
144	63222 34622	   	196.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	126VULN|3LHND|4CGEN|5ASPD|7AART|8DUR|9ZMB|aRCR
145	63613 23113	   	196.03	DCR|1SPLARM|2VULN|1AART|1ASPD|1DMG	12VULN|3DUST|4AART|5BELT|6SPLARM|7ASPD|8LEGI|9RCR|aDMG
146	13432 11622	   	196.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1LHND|247VULN|3ERES|5ASPD|6AART|8DUR|9ZMB|aRCR
147	13432 34622	   	196.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1LHND|246VULN|3ERES|5ASPD|7AART|8DUR|9ZMB|aRCR
148	62432 11622	   	196.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	147VULN|2LHND|3ERES|5ASPD|6AART|8DUR|9ZMB|aRCR
149	63162 11422	   	196.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	127VULN|3MLV|4DUR|5ASPD|6AART|8LEGI|9ZMB|aRCR
150	63216 31222	   	196.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	127VULN|3LHND|4AART|5DUR|6ERES|8ASPD|9ZMB|aRCR
151	63234 11622	   	196.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	127VULN|3LHND|4DMG|5TLV|6AART|8DUR|9ZMB|aRCR
152	63633 31633	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	12VULN|3DUST|4DMG|5BEXP|6CGEN|7RCR|8ZMB|9ASPD|aAART
153	13632 12534	 * 	195.92	DCR|2VULN|2ASPD|1AART|1DMG	1LHND|24VULN|3MLV|58ASPD|6AART|7BEXP|9RCR|aDMG
154	63222 12534	   	195.92	DCR|2VULN|2ASPD|1AART|1DMG	12VULN|3LHND|4CGEN|58ASPD|6AART|7BEXP|9RCR|aDMG
155	32332 53352	   	195.91	DCR|3VULN|1ASPD|1DMG|1CDMG	138DUST|28LWND|4DMG|5ASPD|68aVULN|7RCR|8BPWR|9CDMG
156	63632 23125	   	195.91	DCR|3VULN|1ASPD|1DMG|1CDMG	129VULN|3DUST|4DMG|5ASPD|6FEWX|7RCR|8LHND|aCDMG
157	65132 63332	   	195.87	DCR|3VULN|2ASPD|2ZMB|1DUR	148VULN|28ZMB|3DUST|59ASPD|68LHND|7RCR|8BPWR|aDUR
158	63633 21633	   	195.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	12VULN|3DUST|4DMG|5BEXP|6ERES|7RCR|8ZMB|9ASPD|aAART
159	13432 12534	   	195.82	DCR|2VULN|2ASPD|1AART|1DMG	1LHND|24VULN|3ERES|58ASPD|6AART|7BEXP|9RCR|aDMG
160	63235 31332	   	195.80	DCR|4VULN|1ASPD|1DMG	128aVULN|38LHND|4DMG|5BEXP|68CGEN|7RCR|8BPWR|9ASPD
161	63236 31332	   	195.70	DCR|4VULN|1ASPD|1DMG	128aVULN|38LHND|4DMG|5DUST|68CGEN|7RCR|8BPWR|9ASPD
162	63432 23362	   	195.60	DCR|4VULN|1ASPD|1DMG	128aVULN|3BEXP|4DMG|5ASPD|6FEWX|7RCR|9MLV
163	32332 53314	   	195.50	DCR|4VULN|1ASPD|1DMG	138DUST|28LWND|4DMG|5ASPD|689aVULN|7RCR|8BPWR
