0	Index      	 *	Score 	Summary	Detail	
1	13636 31131	 * 	213.02	紫1基础对甲1伤害1基础对冰1易伤1全技能1暴击	1策反2基础对冰3暴击4低血量敌人5核6伤害7敌人爆炸8基础对甲9易伤a全技能
26	13552 33523	   	189.43	紫1基础对甲1攻速1伤害1基础对冰	1策反2基础对冰3敌人爆炸4低血量敌人5核6攻速7技能点8平台9伤害a基础对甲
27	13562 32523	   	189.43	紫1基础对甲1攻速1伤害1基础对冰	1策反2基础对冰3敌人爆炸4最后敌人5核6攻速7掉矿8平台9伤害a基础对甲
28	13562 33523	   	189.43	紫1基础对甲1攻速1伤害1基础对冰	1策反2基础对冰3敌人爆炸4最后敌人5核6攻速7技能点8平台9伤害a基础对甲
29	13636 36331	 * 	189.33	紫1基础对甲1伤害1基础对冰2暴击	1策反2基础对冰39暴击4低血量敌人5核6伤害7喷火对黄8随机矿a基础对甲
30	36226 33311	 * 	189.24	紫3伤害2攻速1易伤1卖塔	1技能24a伤害3卖塔5核6易伤7随机矿8a矿等9a攻速a序列升级
31	36226 61311	 * 	189.24	紫3伤害2攻速1易伤1卖塔	1技能24a伤害3卖塔5核6a策反7易伤8矿等9a攻速a序列升级
32	36242 15213	 * 	188.50	橙3伤害2易伤2攻速1基地爆炸1卖塔	1技能279伤害3卖塔4基地爆炸5平台69易伤89攻速9序列升级a核
33	36226 33141	 * 	188.31	紫2攻速2伤害1易伤1全技能1卖塔	1技能24伤害3卖塔5核6易伤7随机矿8全技能9a攻速
34	36226 21141	 * 	188.21	紫2攻速2伤害1易伤1全技能1卖塔	1技能24伤害3卖塔5核6等级7易伤8全技能9a攻速
35	36226 32153	 * 	185.06	紫2易伤2伤害1攻速1全技能1卖塔	1技能24伤害3卖塔5核67易伤8随机矿9攻速a全技能
36	13636 41121	   	185.01	紫1基础对甲1基础对冰1全技能1暴击1技能	1策反2基础对冰3暴击4低血量敌人5核6随机矿7敌人爆炸8基础对甲9技能a全技能
37	13636 31141	   	183.35	紫1基础对甲1伤害1基础对冰1暴击	1策反2基础对冰3暴击4低血量敌人5核6伤害7敌人爆炸8基础对甲9双倍秒伤a立即金币
38	13636 31162	   	183.12	紫1基础对甲1伤害1基础对冰1暴击	1策反2基础对冰3暴击4低血量敌人5核6伤害7敌人爆炸8基础对甲9最后敌人a平台
