0	Index      	 *	Score 	Summary	Detail	
1	31211 22646	 * 	220.17	ACR|3DMG|3BEXP|1ASPD|2AAC	1MDPS|26AAC|3RCR|489ERES|589DMG|789BEXP|89BPWR|aASPD
58	31211 22634	   	193.15	ACR|2DMG|2BEXP|1ASPD|2AAC	1MDPS|26AAC|3RCR|48ERES|58DMG|78BEXP|8BPWR|9ASPD|aBELT
59	31211 23525	 * 	193.15	ACR|2ASPD|2BEXP|1DMG|2AAC	1MDPS|26AAC|3RCR|4aERES|5DMG|7RPLT|8aASPD|9aBEXP|aBPWR
60	31261 22631	   	193.15	ACR|2DMG|2BEXP|1ASPD|2AAC	1MDPS|26AAC|3RCR|48AME|58DMG|78BEXP|8BPWR|9ASPD|aFEWX
61	31261 22632	   	193.15	ACR|2DMG|2BEXP|1ASPD|2AAC	1MDPS|26AAC|3RCR|48AME|58DMG|78BEXP|8BPWR|9ASPD|aMLV
62	31261 22633	   	193.15	ACR|2DMG|2BEXP|1ASPD|2AAC	1MDPS|26AAC|3RCR|48AME|58DMG|78BEXP|8BPWR|9ASPD|aRPLT
63	31261 22634	   	193.15	ACR|2DMG|2BEXP|1ASPD|2AAC	1MDPS|26AAC|3RCR|48AME|58DMG|78BEXP|8BPWR|9ASPD|aBELT
64	31211 22244	   	193.05	ACR|2DMG|2BEXP|1ASPD|2AAC	1MDPS|26AAC|3RCR|489ERES|59DMG|79BEXP|9BPWR|aASPD
65	31235 62253	 * 	192.91	ACR|2VULN|1ASPD|1DMG|1BASICY|1CDMG|1AAC	1MDPS|2AAC|3RCR|46VULN|5LHND|7ASPD|8DMG|9BASICY|aCDMG
66	31251 12642	   	192.57	ACR|3DMG|3BEXP|1AAC	1MDPS|2AAC|3RCR|4689CGEN|589DMG|789BEXP|89BPWR|aRMIN
67	31251 12643	   	192.57	ACR|3DMG|3BEXP|1AAC	1MDPS|2AAC|3RCR|4689CGEN|589DMG|789BEXP|89BPWR|aLIT
68	31251 12641	   	192.47	ACR|3DMG|3BEXP|1AAC	1MDPS|2AAC|3RCR|4689CGEN|589DMG|789BEXP|89BPWR|aDUST
69	31251 12635	   	192.45	ACR|2DMG|2BEXP|1ASPD|1AAC	1MDPS|2AAC|3RCR|468CGEN|58DMG|78BEXP|8BPWR|9ASPD|aVULN
70	31211 42641	   	192.27	ACR|3DMG|3BEXP|1AAC	1MDPS|2AAC|3RCR|489ERES|589DMG|6RCVC|789BEXP|89BPWR|aLIT
71	31211 42643	   	192.27	ACR|3DMG|3BEXP|1AAC	1MDPS|2AAC|3RCR|489ERES|589DMG|6RCVC|789BEXP|89BPWR|aFEWX
72	31211 42635	   	192.25	ACR|2DMG|2BEXP|1ASPD|1AAC	1MDPS|2AAC|3RCR|48ERES|58DMG|6RCVC|78BEXP|8BPWR|9ASPD|aVULN
73	31242 42235	   	191.65	ACR|2DMG|2BEXP|3CDMG|1AAC	1MDPS|2AAC|3RCR|47aCDMG|57DMG|67aMLV|7aBPWR|8aBEXP|9RCVC
74	31236 31215	   	191.06	ACR|2DMG|1ASPD|1BEXP|1CDMG|1AAC	1MDPS|2AAC|3RCR|4VULN|5CDMG|6BEXP|7ASPD|8aDMG|9LIT
75	31241 61215	   	191.06	ACR|2DMG|1ASPD|1BEXP|1CDMG|1AAC	1MDPS|2AAC|3RCR|4CDMG|5BEXP|6VULN|7ASPD|8aDMG|9LIT
76	31242 13553	   	190.96	ACR|2ASPD|1DMG|1CDMG|1AART|1AAC	1MDPS|2AAC|3RCR|4CDMG|5DMG|6VULN|7TLV|89ASPD|aAART
77	31231 31161	   	190.82	ACR|2ASPD|1BASICY|1AART|1BEXP|1AAC|1SELL	1MDPS|2AAC|3RCR|4VULN|5SELL|6BEXP|7aASPD|8AART|9BASICY
78	31241 12265	 * 	190.53	ACR|2ASPD|1DMG|2CDMG|1BEXP|1AAC	1MDPS|2AAC|3RCR|4aCDMG|5BEXP|6aDUR|7ERES|8DMG|9aASPD|aBPWR
79	31241 32265	   	190.33	ACR|2ASPD|1DMG|2CDMG|1BEXP|1AAC	1MDPS|2AAC|3RCR|4aCDMG|5BEXP|6aDUST|7ERES|8DMG|9aASPD|aBPWR
