0	Index      	 *	Score 	Summary	Detail	
1	22662 12353	 * 	242.89	ACR|1BASARM|2AART|1VULN|1ASPD|1BASICY|1CDMG	1ASPD|27AART|3BASICY|4CDMG|5RCR|6AEFBLL|8DUR|9VULN|aBASARM
45	22662 22425	   	217.63	ACR|2VULN|2ASPD|1AART|1BASICY|2CDMG	19ASPD|2AART|3BASICY|49CDMG|5RCR|6MBVNT|7BELT|89VULN|9BPWR|aMDPS
46	62422 14211	 * 	217.40	ACR|1BASARM|2ASPD|1AART|1BEXP|1AAC	1AART|2LIT|35DUST|4RCR|6aASPD|7BASARM|8BEXP|9AAC
47	22134 25362	   	217.11	ACR|3ASPD|2VULN|2AART|1AAC	168ASPD|2aAART|3RPLT|48VULN|5RCR|7AAC|8BPWR|9RMIN
48	22662 21743	 * 	217.05	ACR|3ASPD|1AART|1DMG|2CDMG|1BASICY	189ASPD|2AART|3BASICY|49CDMG|5RCR|6MBVNT|79FEWX|9BPWR|aDMG
49	22662 24743	   	216.85	ACR|3ASPD|1AART|1DMG|2CDMG|1BASICY	189ASPD|2AART|3BASICY|49CDMG|5RCR|6MBVNT|79DUST|9BPWR|aDMG
50	22662 52232	 * 	216.02	ACR|3AART|2ASPD|1BASICY|1CDMG|1AAC	19ASPD|267AART|3BASICY|4CDMG|5RCR|8LEGI|aAAC
51	22662 12253	 * 	215.51	ACR|2AART|1VULN|1ASPD|1DMG|1BASICY|1CDMG	1ASPD|27AART|3BASICY|4CDMG|5RCR|6AEFBLL|8LHND|9VULN|aDMG
52	24141 26212	 * 	214.95	2BASARM|3ASPD|2DMG|2AART|1VULN	139ASPD|2MLV|49DMG|57AART|69BASARM|8LEGI|9BPWR|aVULN
53	12662 25323	   	214.94	ACR|2DMG|1AART|1ASPD|1BASICY|2CDMG|1BEXP	1ZMB|2AART|3BASICY|46CDMG|5RCR|78DMG|9BEXP|aASPD
54	22662 52231	 * 	214.03	ACR|3AART|2ASPD|2CDMG|1BASICY	19ASPD|267AART|3BASICY|4aCDMG|5RCR|8LEGI
55	22662 23421	   	213.88	ACR|1BASARM|1AART|1ASPD|1BASICY|1CDMG|1AAC	1ASPD|2AART|3BASICY|4CDMG|5RCR|6MBVNT|7MDPS|8CGEN|9AAC|aBASARM
56	22134 15131	 * 	213.46	ACR|3VULN|2AART|2ASPD|1AAC	19ASPD|28AART|3RPLT|469VULN|5RCR|7AAC|9BPWR|aZMB
57	22134 15132	   	213.46	ACR|3VULN|2AART|2ASPD|1AAC	19ASPD|28AART|3RPLT|469VULN|5RCR|7AAC|9BPWR|aDUR
58	22134 15135	   	213.36	ACR|3VULN|2AART|2ASPD|1AAC	19ASPD|28AART|3RPLT|469VULN|5RCR|7AAC|9BPWR|aAME
59	22134 25342	   	213.31	ACR|3ASPD|2VULN|1AART|1BEXP|1AAC	168ASPD|2AART|3RPLT|48VULN|5RCR|7AAC|8BPWR|9BEXP|aLWND
60	22134 25311	   	213.21	ACR|3ASPD|2VULN|1AART|1BEXP|1AAC	168ASPD|2AART|3RPLT|48VULN|5RCR|7AAC|8BPWR|9MSLTOX|aBEXP
61	22134 25343	   	213.21	ACR|3ASPD|2VULN|1AART|1BEXP|1AAC	168ASPD|2AART|3RPLT|48VULN|5RCR|7AAC|8BPWR|9BEXP|aDUST
62	22662 12413	 * 	212.93	ACR|2AART|2ASPD|1VULN|1BASICY|1CDMG	19ASPD|27AART|3BASICY|4CDMG|5RCR|6AEFBLL|8MDPS|aVULN
63	22662 52222	   	212.89	ACR|3AART|1VULN|1ASPD|1BASICY|1CDMG	1ASPD|267AART|3BASICY|4CDMG|5RCR|8LEGI|9ZMB|aVULN
