0	Index      	 *	Score 	Summary	Detail	
1	11642 11136	 * 	236.07	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART|1CDMG	1CDMG|2DMG|37VULN|4CGEN|5RCR|6AART|8ASPD|9ERES|aBASARM
12	11356 11632	   	214.98	ACR|4VULN|2DMG|2CDMG|1AART	18CDMG|28DMG|3FEWX|4ERES|5RCR|6AART|789aVULN|8BPWR
13	11642 21136	   	212.00	ACR|2VULN|1BASARM|1DMG|1AART|1CDMG	1CDMG|2DMG|37VULN|4CGEN|5RCR|6RMIN|8AART|9ERES|aBASARM
14	12436 13623	 * 	211.71	ACR|1BASARM|2AART|1DMG|1BEXP|1CDMG	1CDMG|2AME|3DMG|4FEWX|5RCR|67AART|8BEXP|9LIT|aBASARM
15	51632 61221	   	209.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	124LHND|3RCR|5VULN|6DMG|7AEFBLL|8BASARM|9BEXP|aASPD
16	51632 62221	   	209.79	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP	124LHND|3RCR|5VULN|6DMG|7AEMAG|8BASARM|9BEXP|aASPD
17	52632 62221	   	209.69	ACR|1BASARM|1VULN|1DMG|1ASPD|1BEXP	14LHND|2AEFBLL|3RCR|5VULN|6DMG|7AEMAG|8BASARM|9BEXP|aASPD
18	51632 61211	   	208.79	ACR|1BASARM|1VULN|1BASICY|1DMG|1BEXP	124LHND|3RCR|5VULN|6DMG|7AEFBLL|8BASARM|9BASICY|aBEXP
19	51632 62211	   	208.79	ACR|1BASARM|1VULN|1BASICY|1DMG|1BEXP	124LHND|3RCR|5VULN|6DMG|7AEMAG|8BASARM|9BASICY|aBEXP
20	52632 62211	   	208.69	ACR|1BASARM|1VULN|1BASICY|1DMG|1BEXP	14LHND|2AEFBLL|3RCR|5VULN|6DMG|7AEMAG|8BASARM|9BASICY|aBEXP
21	11131 32452	   	208.33	ACR|2DMG|1VULN|1AART|1ASPD|1BEXP|1CDMG	1CDMG|29DMG|3AART|4RPLT|5RCR|6BEXP|7LIT|8VULN|aASPD
22	11342 11611	   	207.41	ACR|2VULN|2DMG|2CDMG|1AART|1BEXP	18CDMG|28DMG|3FEWX|4CGEN|5RCR|6AART|78VULN|8BPWR|9BEXP|aLHND
23	11342 11613	   	207.41	ACR|2VULN|2DMG|2CDMG|1AART|1BEXP	18CDMG|28DMG|3FEWX|4CGEN|5RCR|6AART|78VULN|8BPWR|9BEXP|aZMB
24	11342 11614	   	207.41	ACR|2VULN|2DMG|2CDMG|1AART|1BEXP	18CDMG|28DMG|3FEWX|4CGEN|5RCR|6AART|78VULN|8BPWR|9BEXP|aLWND
25	11342 11612	   	207.31	ACR|2VULN|2DMG|2CDMG|1AART|1BEXP	18CDMG|28DMG|3FEWX|4CGEN|5RCR|6AART|78VULN|8BPWR|9BEXP|aAME
26	11342 11615	   	207.31	ACR|2VULN|2DMG|2CDMG|1AART|1BEXP	18CDMG|28DMG|3FEWX|4CGEN|5RCR|6AART|78VULN|8BPWR|9BEXP|aDUST
27	11342 11616	   	207.31	ACR|2VULN|2DMG|2CDMG|1AART|1BEXP	18CDMG|28DMG|3FEWX|4CGEN|5RCR|6AART|78VULN|8BPWR|9BEXP|aAEMAG
28	11342 11623	   	207.31	ACR|2VULN|2DMG|2CDMG|1AART|1BEXP	18CDMG|28DMG|3FEWX|4CGEN|5RCR|6AART|78VULN|8BPWR|9SNIHEL|aBEXP
29	11356 11611	   	207.31	ACR|2VULN|2DMG|2CDMG|1AART|1BEXP	18CDMG|28DMG|3FEWX|4ERES|5RCR|6AART|78VULN|8BPWR|9BEXP|aLHND
30	11356 11613	   	207.31	ACR|2VULN|2DMG|2CDMG|1AART|1BEXP	18CDMG|28DMG|3FEWX|4ERES|5RCR|6AART|78VULN|8BPWR|9BEXP|aZMB
31	11356 11612	   	207.21	ACR|2VULN|2DMG|2CDMG|1AART|1BEXP	18CDMG|28DMG|3FEWX|4ERES|5RCR|6AART|78VULN|8BPWR|9BEXP|aAME
32	12436 13124	 * 	206.89	ACR|3AART|1VULN|1ASPD|1DMG|1CDMG	1CDMG|2AME|3DMG|4FEWX|5RCR|679AART|8ASPD|aVULN
33	11131 15314	   	206.88	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|1BEXP	1CDMG|2DMG|3AART|4RPLT|5RCR|6RCVC|78VULN|9BEXP|aASPD
34	13123 31461	 * 	206.84	ACR|3BEXP|2ASPD|1DMG|2CDMG|1AAC	19CDMG|249BEXP|3LIT|5RCR|6DMG|79ASPD|8AAC|9BPWR|aFEWX
35	13123 31462	   	206.84	ACR|3BEXP|2ASPD|1DMG|2CDMG|1AAC	19CDMG|249BEXP|3LIT|5RCR|6DMG|79ASPD|8AAC|9BPWR|aCGEN
36	13123 31466	   	206.84	ACR|3BEXP|2ASPD|1DMG|2CDMG|1AAC	19CDMG|249BEXP|3LIT|5RCR|6DMG|79ASPD|8AAC|9BPWR|aLHND
37	13263 31463	   	206.84	ACR|3BEXP|2ASPD|1DMG|2CDMG|1AAC	19CDMG|29aBEXP|3DMSP|4LIT|5RCR|6DMG|79ASPD|8AAC|9BPWR
38	13123 31463	   	206.74	ACR|3BEXP|2ASPD|1DMG|2CDMG|1AAC	19CDMG|249BEXP|3LIT|5RCR|6DMG|79ASPD|8AAC|9BPWR|aERES
39	11163 16134	 * 	206.51	DCR|1BASARM|2DMG|1VULN|3CDMG|1AART	147CDMG|24DMG|3AART|4BPWR|5RPLT|6VULN|8BASARM|9FEWX|aRCR
40	66413 31222	 * 	206.51	ACR|2BASARM|1VULN|1ASPD|1AART|1AAC	1AME|26BASARM|3AIRHEL|4LHND|5RCR|7VULN|8AART|9ASPD|aAAC
41	13642 13523	 * 	206.38	ACR|1BASARM|2AART|2BEXP|1CDMG	1CDMG|2aBEXP|3ERES|4CGEN|5RCR|67AART|8AME|9BASARM
42	13123 33436	 * 	206.24	ACR|3BEXP|2AART|1VULN|1DMG|1CDMG	1CDMG|249BEXP|3LIT|5RCR|6DMG|7aAART|8VULN
43	11642 11141	 * 	206.18	ACR|2VULN|2AART|1ASPD|1DMG|1CDMG	1CDMG|2DMG|37VULN|4CGEN|5RCR|69AART|8ASPD|aDUR
44	11642 11142	   	206.18	ACR|2VULN|2AART|1ASPD|1DMG|1CDMG	1CDMG|2DMG|37VULN|4aCGEN|5RCR|69AART|8ASPD
45	11642 11143	   	206.18	ACR|2VULN|2AART|1ASPD|1DMG|1CDMG	1CDMG|2DMG|37VULN|4CGEN|5RCR|69AART|8ASPD|aFEWX
