0	Index      	 *	Score 	Summary	Detail	
1	12316 25125	 * 	221.05	ACR|3DMG|1BASARM|1VULN|1BEXP	1MDPS|2VULN|3RCR|4TLV|569DMG|7LHND|8BEXP|aBASARM
16	12352 45132	   	211.29	ACR|1BASARM|3BEXP|1VULN|1ASPD	1MDPS|2VULN|3RCR|4ASPD|578BEXP|6TLV|9BASARM|aBELT
17	12352 55131	   	211.29	ACR|1BASARM|3BEXP|1VULN|1ASPD	1MDPS|2VULN|3RCR|4ASPD|578BEXP|6CGEN|9BASARM|aAME
18	12352 55133	   	211.29	ACR|1BASARM|3BEXP|1VULN|1ASPD	1MDPS|2VULN|3RCR|4ASPD|578BEXP|6CGEN|9BASARM|aDUST
19	12316 35351	   	211.28	ACR|3VULN|3DMG|2CDMG	1MDPS|279VULN|3RCR|4TLV|578DMG|67CDMG|7BPWR|aSPLARM
20	12316 35352	   	211.28	ACR|3VULN|3DMG|2CDMG	1MDPS|279VULN|3RCR|4TLV|578DMG|67CDMG|7BPWR|aLEGI
21	12342 45131	   	211.19	ACR|1BASARM|3BEXP|1VULN|1DMG	1MDPS|2VULN|3RCR|4DMG|578BEXP|6TLV|9BASARM|aAME
22	12342 45133	   	211.19	ACR|1BASARM|3BEXP|1VULN|1DMG	1MDPS|2VULN|3RCR|4DMG|578BEXP|6TLV|9BASARM|aDUST
23	12352 45131	   	211.19	ACR|1BASARM|3BEXP|1VULN|1ASPD	1MDPS|2VULN|3RCR|4ASPD|578BEXP|6TLV|9BASARM|aAME
24	12352 45133	   	211.19	ACR|1BASARM|3BEXP|1VULN|1ASPD	1MDPS|2VULN|3RCR|4ASPD|578BEXP|6TLV|9BASARM|aDUST
25	12316 35343	   	210.96	ACR|2VULN|3DMG|2CDMG|1BEXP	1MDPS|27VULN|3RCR|4TLV|578DMG|67CDMG|7BPWR|9FEWX|aBEXP
26	12343 22366	   	210.86	ACR|3DMG|2VULN|1ASPD|1CDMG	1MDPS|2aVULN|3RCR|468DMG|5AAC|7CDMG|9ASPD
27	15352 16313	 * 	210.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	1MDPS|2DUR|3RCR|48ASPD|5BEXP|6LHND|7BASARM|9MLV|aDMG
28	12316 22365	   	208.90	ACR|3DMG|1VULN|1ASPD|1CDMG|1BEXP	1MDPS|2VULN|3RCR|4TLV|568DMG|7CDMG|9ASPD|aBEXP
29	12343 31423	 * 	208.27	ACR|2DMG|1VULN|2AART|1ASPD|1CDMG	1MDPS|2VULN|3RCR|49DMG|5AAC|6CDMG|7aAART|8ASPD
30	12361 21265	 * 	208.23	ACR|3VULN|3ASPD|1DMG	1MDPS|279VULN|3RCR|4RPLT|5DMG|69ERES|89aASPD|9BPWR
31	15352 16213	 * 	207.86	ACR|1BASARM|2BEXP|1ASPD|1DMG	1MDPS|2DUR|3RCR|4ASPD|58BEXP|6LHND|7BASARM|9MLV|aDMG
32	12316 35224	 * 	207.84	ACR|2VULN|2DMG|2BEXP|2CDMG	1MDPS|27VULN|3RCR|4TLV|57DMG|67CDMG|7BPWR|8LWND|9aBEXP
33	52643 13321	   	207.74	ACR|1BASARM|2ASPD|1BEXP|1CDMG|1AART	1RMIN|2AEFBLL|3AAC|49ASPD|5RCR|6AART|7BEXP|8CDMG|aBASARM
34	12345 35333	   	207.74	ACR|2VULN|2DMG|2BEXP|2CDMG	1MDPS|27VULN|3RCR|48DMG|57TLV|67CDMG|7BPWR|9aBEXP
35	12316 35262	 * 	207.72	ACR|2VULN|2DMG|2CDMG|1BASICY|1AAC	1MDPS|27VULN|3RCR|4TLV|57DMG|67CDMG|7BPWR|8LWND|9BASICY|aAAC
36	12343 22353	   	206.72	ACR|3DMG|2VULN|1AART|1CDMG	1MDPS|29VULN|3RCR|468DMG|5AAC|7CDMG|aAART
37	12345 35331	   	206.13	ACR|3VULN|2DMG|2CDMG|1BEXP	1MDPS|27aVULN|3RCR|48DMG|57TLV|67CDMG|7BPWR|9BEXP
38	12316 35323	   	205.62	ACR|2VULN|3DMG|3CDMG	1MDPS|27VULN|3RCR|4TLV|578DMG|679CDMG|7BPWR|aRPLT
39	12316 35326	   	205.62	ACR|2VULN|3DMG|3CDMG	1MDPS|27VULN|3RCR|4TLV|578DMG|679CDMG|7BPWR|aLWND
40	12316 35331	   	205.62	ACR|2VULN|3DMG|2CDMG|1AAC	1MDPS|27VULN|3RCR|4TLV|578DMG|67CDMG|7BPWR|9AAC|aRPLT
41	12316 35333	   	205.62	ACR|2VULN|3DMG|2CDMG|1AAC	1MDPS|27VULN|3RCR|4TLV|578DMG|67CDMG|7BPWR|9AAC|aFEWX
42	12316 35336	   	205.62	ACR|2VULN|3DMG|2CDMG|1AAC	1MDPS|27VULN|3RCR|4TLV|578DMG|67CDMG|7BPWR|9AAC|aBELT
43	12316 35324	   	205.52	ACR|2VULN|3DMG|3CDMG	1MDPS|27VULN|3RCR|4TLV|578DMG|679CDMG|7BPWR|aERES
44	12316 35332	   	205.52	ACR|2VULN|3DMG|2CDMG|1AAC	1MDPS|27VULN|3RCR|4TLV|578DMG|67CDMG|7BPWR|9AAC|aERES
45	12316 35334	   	205.52	ACR|2VULN|3DMG|2CDMG|1AAC	1aMDPS|27VULN|3RCR|4TLV|578DMG|67CDMG|7BPWR|9AAC
46	12342 33355	 * 	205.51	ACR|2DMG|1VULN|2BASICY|1ASPD|1BEXP	1MDPS|2VULN|3RCR|4aDMG|5BEXP|6DUST|7aTLV|8ASPD|9aBASICY|aBPWR
47	15342 16213	 * 	205.38	ACR|1BASARM|2DMG|2BEXP	1MDPS|2DUR|3RCR|4aDMG|58BEXP|6LHND|7BASARM|9MLV
48	12315 12231	   	205.20	ACR|1BASARM|2DMG|1VULN|1CDMG	1MDPS|2VULN|3RCR|45TLV|6MSLTOX|7aDMG|8BASARM|9CDMG
49	15352 16321	   	204.95	ACR|1BASARM|2ASPD|1AART|1BEXP	1MDPS|2DUR|3RCR|48ASPD|5BEXP|6LHND|7BASARM|9RCVC|aAART
50	12322 55135	   	204.88	ACR|1BASARM|3BEXP|1VULN|1CDMG	1MDPS|2VULN|3RCR|4AAC|578BEXP|6CGEN|9BASARM|aCDMG
51	12332 55135	   	204.88	ACR|1BASARM|3BEXP|1VULN|1CDMG	1MDPS|2VULN|3RCR|4NUKE|578BEXP|6CGEN|9BASARM|aCDMG
52	12322 45135	   	204.78	ACR|1BASARM|3BEXP|1VULN|1CDMG	1MDPS|2VULN|3RCR|4AAC|578BEXP|6TLV|9BASARM|aCDMG
53	12332 45135	   	204.78	ACR|1BASARM|3BEXP|1VULN|1CDMG	1MDPS|2VULN|3RCR|4NUKE|578BEXP|6TLV|9BASARM|aCDMG
54	15352 16331	 * 	204.19	ACR|1BASARM|2ASPD|1VULN|1BEXP	1MDPS|2DUR|3RCR|48ASPD|5BEXP|6LHND|7BASARM|9VULN|aMLV
55	15352 16332	   	204.19	ACR|1BASARM|2ASPD|1VULN|1BEXP	1MDPS|2DUR|3RCR|48ASPD|5BEXP|6LHND|7BASARM|9VULN|aLWND
56	15352 16333	   	204.09	ACR|1BASARM|2ASPD|1VULN|1BEXP	1MDPS|2DUR|3RCR|48ASPD|5BEXP|6LHND|7BASARM|9VULN|aERES
57	12361 21264	   	203.01	ACR|3VULN|2ASPD|1DMG|1BEXP	1MDPS|279VULN|3RCR|4RPLT|5DMG|69ERES|89ASPD|9BPWR|aBEXP
58	15342 16221	   	202.20	ACR|1BASARM|2BEXP|1DMG|1AART	1MDPS|2DUR|3RCR|4DMG|58BEXP|6LHND|7BASARM|9RCVC|aAART
59	15352 16221	   	202.20	ACR|1BASARM|2BEXP|1ASPD|1AART	1MDPS|2DUR|3RCR|4ASPD|58BEXP|6LHND|7BASARM|9RCVC|aAART
60	12316 22354	   	202.14	ACR|3DMG|2VULN|1BEXP|1CDMG	1MDPS|29VULN|3RCR|4TLV|568DMG|7CDMG|aBEXP
61	12343 22354	   	202.14	ACR|3DMG|2VULN|1CDMG|1BEXP	1MDPS|29VULN|3RCR|468DMG|5AAC|7CDMG|aBEXP
62	12316 35116	   	201.72	ACR|2VULN|2DMG|2CDMG|1ASPD	1MDPS|27VULN|3RCR|4TLV|57DMG|67CDMG|7BPWR|89LIT|aASPD
63	12316 21636	 * 	201.18	ACR|3DMG|2VULN|2BEXP	1MDPS|2aVULN|3RCR|4TLV|56aDMG|7CGEN|8FEWX|9aBEXP|aBPWR
64	12316 23636	   	201.18	ACR|3DMG|2VULN|2BEXP	1MDPS|2aVULN|3RCR|4TLV|56aDMG|7MLV|8FEWX|9aBEXP|aBPWR
65	12316 25123	   	201.18	ACR|3DMG|2VULN|2BEXP	1MDPS|2aVULN|3RCR|4TLV|569DMG|7aLHND|8aBEXP|aBPWR
66	12345 25123	   	201.18	ACR|3DMG|2VULN|2BEXP	1MDPS|2aVULN|3RCR|469DMG|5TLV|7aLHND|8aBEXP|aBPWR
67	15342 16231	   	200.13	ACR|1BASARM|2BEXP|1DMG|1VULN	1MDPS|2DUR|3RCR|4DMG|58BEXP|6LHND|7BASARM|9VULN|aMLV
68	15342 16232	   	200.13	ACR|1BASARM|2BEXP|1DMG|1VULN	1MDPS|2DUR|3RCR|4DMG|58BEXP|6LHND|7BASARM|9VULN|aLWND
69	15352 16231	   	200.13	ACR|1BASARM|2BEXP|1ASPD|1VULN	1MDPS|2DUR|3RCR|4ASPD|58BEXP|6LHND|7BASARM|9VULN|aMLV
70	15352 16232	   	200.13	ACR|1BASARM|2BEXP|1ASPD|1VULN	1MDPS|2DUR|3RCR|4ASPD|58BEXP|6LHND|7BASARM|9VULN|aLWND
71	12313 26256	   	200.06	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1MDPS|2VULN|3RCR|4TLV|5AAC|6DMG|7CGEN|8BASARM|9CDMG|aBEXP
72	15342 16233	   	200.03	ACR|1BASARM|2BEXP|1DMG|1VULN	1MDPS|2DUR|3RCR|4DMG|58BEXP|6LHND|7BASARM|9VULN|aERES
73	15352 16233	   	200.03	ACR|1BASARM|2BEXP|1ASPD|1VULN	1MDPS|2DUR|3RCR|4ASPD|58BEXP|6LHND|7BASARM|9VULN|aERES
74	12316 35261	   	199.31	ACR|2VULN|2DMG|1BASICY|2CDMG	1MDPS|27VULN|3RCR|4TLV|57DMG|67CDMG|7BPWR|8LWND|9BASICY|aERES
75	12316 52333	   	198.98	ACR|2VULN|2DMG|2BEXP|1CDMG	1MDPS|26VULN|3RCR|4TLV|58DMG|7CDMG|9aBEXP
76	12345 52333	   	198.98	ACR|2VULN|2DMG|2BEXP|1CDMG	1MDPS|26VULN|3RCR|48DMG|5TLV|7CDMG|9aBEXP
77	12323 34638	 * 	198.98	ACR|2VULN|2ASPD|2BEXP|1CDMG	1MDPS|2aVULN|3RCR|45AAC|6MBVNT|7CDMG|8aBEXP|9aASPD|aBPWR
78	12316 42332	   	198.12	ACR|2VULN|2ASPD|2DMG	1MDPS|29VULN|3RCR|4TLV|59DMG|69ASPD|7AAC|8RCVC|9BPWR|aZMB
79	12316 42333	   	198.12	ACR|2VULN|2ASPD|2DMG	1MDPS|29VULN|3RCR|4TLV|59DMG|69ASPD|7AAC|8RCVC|9BPWR|aLWND
80	12316 42331	   	198.02	ACR|2VULN|2ASPD|2DMG	1MDPS|29VULN|3RCR|4TLV|59DMG|69ASPD|7AAC|8RCVC|9BPWR|aSPLARM
81	12316 42334	   	198.02	ACR|2VULN|2ASPD|2DMG	1MDPS|29VULN|3RCR|4TLV|59DMG|69ASPD|7AAC|8RCVC|9BPWR|aDUST
82	12316 42335	   	198.02	ACR|2VULN|2ASPD|2DMG	1MDPS|29VULN|3RCR|4TLV|59DMG|69ASPD|7AAC|8RCVC|9BPWR|aERES
83	12343 22333	   	197.95	ACR|3DMG|1VULN|1AART|1CDMG|2AAC	1MDPS|2VULN|3RCR|468DMG|59AAC|7CDMG|aAART
84	12343 22323	   	197.68	ACR|3DMG|1VULN|2CDMG|1AART	1MDPS|2VULN|3RCR|468DMG|5AAC|79CDMG|aAART
85	12324 53335	 * 	197.67	ACR|2BASARM|2VULN|1ASPD	1MDPS|2aVULN|3RCR|4AAC|5LWND|6aCGEN|7DUR|8ASPD|9aBASARM|aBPWR
86	12334 53335	   	197.67	ACR|2BASARM|2VULN|1ASPD	1MDPS|2aVULN|3RCR|4NUKE|5LWND|6aCGEN|7DUR|8ASPD|9aBASARM|aBPWR
87	15321 62335	   	197.67	ACR|2BASARM|2VULN|1ASPD	1MDPS|2aDUR|3RCR|4AAC|5LWND|6aVULN|7CGEN|8ASPD|9aBASARM|aBPWR
88	12353 52135	   	197.57	ACR|2BASARM|2VULN|1ASPD	1MDPS|2aVULN|3RCR|4ASPD|5AAC|6aDUR|7LHND|8ERES|9aBASARM|aBPWR
89	15313 32335	   	197.57	ACR|2BASARM|2VULN|1ASPD	1MDPS|2aDUR|3RCR|4TLV|5AAC|6aVULN|7LHND|8ASPD|9aBASARM|aBPWR
90	15325 32335	   	197.57	ACR|2BASARM|2VULN|1ASPD	1MDPS|2aDUR|3RCR|4AAC|5TLV|6aVULN|7LHND|8ASPD|9aBASARM|aBPWR
91	15335 32335	   	197.57	ACR|2BASARM|2VULN|1ASPD	1MDPS|2aDUR|3RCR|4NUKE|5TLV|6aVULN|7LHND|8ASPD|9aBASARM|aBPWR
92	15353 32135	   	197.57	ACR|2BASARM|2VULN|1ASPD	1MDPS|2aDUR|3RCR|4ASPD|5AAC|6aVULN|7LHND|8ERES|9aBASARM|aBPWR
93	41853 44214	 * 	197.51	ACR|1BASARM|2VULN|1ASPD|2CDMG|1SELL	1MBVNT|27CDMG|3SELL|4DUR|5RCR|69VULN|8BASARM|aASPD
94	12316 35242	   	197.48	ACR|2VULN|2DMG|2CDMG|1AART	1MDPS|27VULN|3RCR|4TLV|57DMG|67CDMG|7BPWR|8LWND|9LEGI|aAART
95	12324 43335	   	197.47	ACR|2BASARM|2VULN|1ASPD	1MDPS|2aVULN|3RCR|4AAC|5LWND|6aTLV|7DUR|8ASPD|9aBASARM|aBPWR
96	12334 43335	   	197.47	ACR|2BASARM|2VULN|1ASPD	1MDPS|2aVULN|3RCR|4NUKE|5LWND|6aTLV|7DUR|8ASPD|9aBASARM|aBPWR
97	12311 11335	   	197.37	ACR|2BASARM|2VULN|1ASPD	1MDPS|2aVULN|3RCR|4aTLV|5LHND|6LEGI|7AAC|8ASPD|9aBASARM|aBPWR
98	12314 11335	   	197.37	ACR|2BASARM|2VULN|1ASPD	1MDPS|2aVULN|3RCR|4aTLV|5LWND|6LEGI|7AAC|8ASPD|9aBASARM|aBPWR
99	12316 35341	   	197.31	ACR|2VULN|3DMG|2CDMG	1MDPS|27VULN|3RCR|4TLV|578DMG|67CDMG|7BPWR|9FEWX|aZMB
100	12316 35342	   	197.31	ACR|2VULN|3DMG|2CDMG	1MDPS|27VULN|3RCR|4TLV|578DMG|67CDMG|7BPWR|9FEWX|aDUR
101	12361 55231	   	197.14	ACR|2VULN|2ASPD|2DMG	1MDPS|27VULN|3RCR|4RPLT|57DMG|67ZMB|7BPWR|89ASPD|aLHND
102	12361 55233	   	197.04	ACR|2VULN|2ASPD|2DMG	1MDPS|27VULN|3RCR|4RPLT|57DMG|67ZMB|7BPWR|89ASPD|aERES
103	15361 12353	 * 	196.96	ACR|1BASARM|2DMG|1ASPD	1MDPS|267DUR|3RCR|4RPLT|56DMG|6BPWR|8AEFBLL|9BASARM|aASPD
104	12316 61133	   	196.94	ACR|2VULN|2ASPD|2DMG	1MDPS|2aVULN|3RCR|4TLV|5aDMG|6MBVNT|7LIT|8MLV|9aASPD|aBPWR
105	12316 61233	   	196.94	ACR|2VULN|2ASPD|2DMG	1MDPS|2aVULN|3RCR|4TLV|5aDMG|6MBVNT|7LIT|8CGEN|9aASPD|aBPWR
106	12361 26261	   	196.94	ACR|2VULN|2DMG|2ASPD	1MDPS|29VULN|3RCR|4RPLT|59DMG|6ERES|7AEMAG|89ASPD|9BPWR|aLHND
107	12316 42532	   	196.84	ACR|2VULN|2ASPD|2DMG	1MDPS|29VULN|3RCR|4TLV|59DMG|69ASPD|78AAC|9BPWR|aZMB
108	12316 42533	   	196.84	ACR|2VULN|2ASPD|2DMG	1MDPS|29VULN|3RCR|4TLV|59DMG|69ASPD|78AAC|9BPWR|aLWND
109	12361 26263	   	196.84	ACR|2VULN|2ASPD|2DMG	1MDPS|29VULN|3RCR|4RPLT|59DMG|6aERES|7AEMAG|89ASPD|9BPWR
110	12316 42531	   	196.74	ACR|2VULN|2ASPD|2DMG	1MDPS|29VULN|3RCR|4TLV|59DMG|69ASPD|78AAC|9BPWR|aSPLARM
111	12316 52331	   	196.49	ACR|3VULN|2DMG|1BEXP|1CDMG	1MDPS|26aVULN|3RCR|4TLV|58DMG|7CDMG|9BEXP
112	12345 52331	   	196.49	ACR|3VULN|2DMG|1BEXP|1CDMG	1MDPS|26aVULN|3RCR|48DMG|5TLV|7CDMG|9BEXP
113	12316 35521	   	196.00	ACR|2VULN|2DMG|3CDMG|1AAC	1MDPS|27VULN|3RCR|4TLV|57DMG|678CDMG|7BPWR|9AAC|aDUR
114	12316 35522	   	196.00	ACR|2VULN|2DMG|3CDMG|1AAC	1MDPS|27VULN|3RCR|4TLV|57DMG|678CDMG|7BPWR|9AAC|aLHND
115	12316 35523	   	195.90	ACR|2VULN|2DMG|3CDMG|1AAC	1MDPS|27VULN|3RCR|4TLV|57DMG|678CDMG|7BPWR|9AAC|aERES
116	12316 22335	   	195.86	ACR|3DMG|1VULN|1CDMG|1BEXP|1AAC	1MDPS|2VULN|3RCR|4TLV|568DMG|7CDMG|9AAC|aBEXP
117	12345 22335	   	195.86	ACR|3DMG|1VULN|1CDMG|1BEXP|1AAC	1MDPS|2VULN|3RCR|468DMG|5TLV|7CDMG|9AAC|aBEXP
118	12341 24313	   	195.51	ACR|2VULN|2DMG|1ASPD|1AART	1MDPS|2aVULN|3RCR|4aDMG|5LHND|6RPLT|7ASPD|8AART|9aMLV|aBPWR
119	12341 24322	   	195.51	ACR|2VULN|2DMG|1ASPD|1AART	1MDPS|2aVULN|3RCR|4aDMG|5LHND|6RPLT|7ASPD|8AART|9aFEWX|aBPWR
120	12341 24332	   	195.51	ACR|2VULN|2DMG|1ASPD|1AART	1MDPS|2aVULN|3RCR|4aDMG|5LHND|6RPLT|7ASPD|8AART|9aDUR|aBPWR
121	12361 14322	   	195.51	ACR|2VULN|2DMG|1ASPD|1AART	1MDPS|2aVULN|3RCR|4RPLT|5aDMG|6LWND|7ASPD|8AART|9aFEWX|aBPWR
122	12361 14332	   	195.51	ACR|2VULN|2DMG|1ASPD|1AART	1MDPS|2aVULN|3RCR|4RPLT|5aDMG|6LWND|7ASPD|8AART|9aDUR|aBPWR
123	12343 22334	   	195.40	ACR|3DMG|1VULN|1CDMG|1BEXP|2AAC	1MDPS|2VULN|3RCR|468DMG|59AAC|7CDMG|aBEXP
124	12366 32714	   	195.31	ACR|2VULN|2ASPD|1DMG|1AART	1MDPS|29VULN|3RCR|4RPLT|5DMSP|6AART|7MBVNT|89ASPD|9BPWR|aDMG
125	61213 36214	   	195.28	ACR|1BASARM|2DMG|2BEXP	1AME|2aCGEN|3MBVNT|4ERES|5RCR|6MSLREG|7aDMG|8BASARM|9aBEXP|aBPWR
126	12316 22361	   	195.25	ACR|3DMG|1VULN|1ASPD|1CDMG	1MDPS|2VULN|3RCR|4TLV|568DMG|7CDMG|9ASPD|aZMB
127	12316 22363	   	195.25	ACR|3DMG|1VULN|1ASPD|1CDMG	1MDPS|2VULN|3RCR|4TLV|568DMG|7CDMG|9ASPD|aFEWX
128	12316 22366	   	195.25	ACR|3DMG|1VULN|1ASPD|1CDMG	1MDPS|2VULN|3RCR|4TLV|568DMG|7CDMG|9ASPD|aBELT
129	12343 22361	   	195.25	ACR|3DMG|1VULN|1ASPD|1CDMG	1MDPS|2VULN|3RCR|468DMG|5AAC|7CDMG|9ASPD|aZMB
130	12343 22363	   	195.25	ACR|3DMG|1VULN|1ASPD|1CDMG	1MDPS|2VULN|3RCR|468DMG|5AAC|7CDMG|9ASPD|aFEWX
131	12343 22364	   	195.25	ACR|3DMG|1VULN|1ASPD|1CDMG	1MDPS|2VULN|3RCR|468DMG|5AAC|7CDMG|9ASPD|aRMIN
132	12343 22365	   	195.25	ACR|3DMG|1VULN|1ASPD|1CDMG	1MDPS|2VULN|3RCR|468DMG|5AAC|7CDMG|9ASPD|aCGEN
133	12345 22361	   	195.25	ACR|3DMG|1VULN|1ASPD|1CDMG	1MDPS|2VULN|3RCR|468DMG|5TLV|7CDMG|9ASPD|aZMB
134	12345 22363	   	195.25	ACR|3DMG|1VULN|1ASPD|1CDMG	1MDPS|2VULN|3RCR|468DMG|5TLV|7CDMG|9ASPD|aFEWX
135	12316 22324	   	195.15	ACR|3DMG|1VULN|2CDMG|1BEXP	1MDPS|2VULN|3RCR|4TLV|568DMG|79CDMG|aBEXP
136	12316 22362	   	195.15	ACR|3DMG|1VULN|1ASPD|1CDMG	1MDPS|2VULN|3RCR|4TLV|568DMG|7CDMG|9ASPD|aERES
137	12316 22364	   	195.15	ACR|3DMG|1VULN|1ASPD|1CDMG	1aMDPS|2VULN|3RCR|4TLV|568DMG|7CDMG|9ASPD
138	12343 22324	   	195.15	ACR|3DMG|1VULN|2CDMG|1BEXP	1MDPS|2VULN|3RCR|468DMG|5AAC|79CDMG|aBEXP
139	12343 22362	   	195.15	ACR|3DMG|1VULN|1ASPD|1CDMG	1MDPS|2VULN|3RCR|468DMG|5AAC|7CDMG|9ASPD|aERES
140	12345 22324	   	195.15	ACR|3DMG|1VULN|2CDMG|1BEXP	1MDPS|2VULN|3RCR|468DMG|5TLV|79CDMG|aBEXP
141	12345 22362	   	195.15	ACR|3DMG|1VULN|1ASPD|1CDMG	1MDPS|2VULN|3RCR|468DMG|5TLV|7CDMG|9ASPD|aERES
142	12353 42315	   	195.15	ACR|3ASPD|1VULN|1DMG|1CDMG	1MDPS|2VULN|3RCR|46aASPD|5AAC|7CDMG|8DMG|9DUST
143	12361 51235	   	195.00	ACR|2VULN|3ASPD|1DMG	1MDPS|27VULN|3RCR|4RPLT|5DMG|6ZMB|89aASPD
144	12343 31425	   	194.52	ACR|2DMG|1VULN|1ASPD|1AART|1CDMG	1MDPS|2VULN|3RCR|49DMG|5AAC|6CDMG|7AART|8ASPD|aLIT
145	12343 31426	   	194.52	ACR|2DMG|1VULN|1ASPD|1AART|1CDMG	1MDPS|2VULN|3RCR|49DMG|5AAC|6CDMG|7AART|8ASPD|aLWND
146	12341 22163	 * 	194.51	ACR|2VULN|3BEXP|2DMG	1MDPS|29VULN|3RCR|49DMG|5LHND|6RPLT|7LWND|89aBEXP|9BPWR
147	12351 22163	 * 	194.51	ACR|2VULN|3BEXP|2ASPD	1MDPS|29VULN|3RCR|49ASPD|5LHND|6RPLT|7LWND|89aBEXP|9BPWR
148	12343 31421	   	194.42	ACR|2DMG|1VULN|1ASPD|1CDMG|1AART	1MDPS|2VULN|3RCR|49DMG|5AAC|6CDMG|7AART|8ASPD|aDUST
149	12343 31422	   	194.42	ACR|2DMG|1VULN|1ASPD|1CDMG|1AART	1MDPS|2VULN|3RCR|49DMG|5AAC|6CDMG|7AART|8ASPD|aAME
150	12343 31424	   	194.42	ACR|2DMG|1VULN|1ASPD|1CDMG|1AART	1MDPS|2VULN|3RCR|49DMG|5AAC|6CDMG|7AART|8ASPD|aTLV
151	52643 11321	   	194.09	ACR|1BASARM|2ASPD|1AART|1CDMG	1RMIN|2AEFBLL|3AAC|49ASPD|5RCR|6AART|7LWND|8CDMG|aBASARM
152	12311 53615	 * 	193.97	ACR|2VULN|1BASARM|1BASICY|1BEXP	1MDPS|26VULN|3RCR|4TLV|5LHND|7DUST|8BASICY|9BASARM|aBEXP
153	12316 35253	   	193.75	ACR|2VULN|2DMG|2CDMG|1BEXP	1MDPS|27VULN|3RCR|4TLV|57DMG|67CDMG|7BPWR|8LWND|9RCVC|aBEXP
154	16342 21361	   	193.60	ACR|2ASPD|2DMG|1BEXP|1CDMG	1MDPS|29LHND|3RCR|49DMG|5BEXP|6RPLT|7CDMG|89ASPD|9BPWR|aLIT
155	16342 21362	   	193.60	ACR|2ASPD|2DMG|1BEXP|1CDMG	1MDPS|29LHND|3RCR|49DMG|5BEXP|6RPLT|7CDMG|89ASPD|9BPWR|aCGEN
156	16342 21363	   	193.60	ACR|2ASPD|2DMG|1BEXP|1CDMG	1MDPS|29LHND|3RCR|49DMG|5BEXP|6RPLT|7CDMG|89ASPD|9BPWR|aZMB
157	12316 35251	   	193.33	ACR|3VULN|2DMG|2CDMG	1MDPS|27aVULN|3RCR|4TLV|57DMG|67CDMG|7BPWR|8LWND|9RCVC
158	12316 22533	   	193.05	ACR|2DMG|1VULN|2BEXP|2CDMG	1MDPS|2VULN|3RCR|4TLV|56DMG|78CDMG|9aBEXP
159	12345 22533	   	193.05	ACR|2DMG|1VULN|2BEXP|2CDMG	1MDPS|2VULN|3RCR|46DMG|5TLV|78CDMG|9aBEXP
