0	Index      	 *	Score 	Summary	Detail	
1	24344 32231	 * 	209.44	ACR|1BASARM|2ASPD|1AART|1CDMG|1AAC|1VULN	1LWND|29ASPD|3CDMG|4VULN|5RCR|6AART|7MDPS|8AAC|aBASARM
21	24333 16313	   	196.57	ACR|1BASARM|2VULN|1ASPD|1BEXP|1CDMG	1LWND|2ASPD|3CDMG|4BEXP|5RCR|67VULN|8CGEN|9TLV|aBASARM
22	24344 32111	   	196.57	ACR|1BASARM|2VULN|1ASPD|1AART|1CDMG	1LWND|2ASPD|3CDMG|49VULN|5RCR|6AART|7MDPS|8ZMB|aBASARM
23	34334 16213	   	196.57	ACR|1BASARM|2VULN|1ASPD|1BEXP|1CDMG	1FEWX|2ASPD|3CDMG|4BEXP|5RCR|67VULN|8MLV|9TLV|aBASARM
24	34334 16313	   	196.57	ACR|1BASARM|2VULN|1ASPD|1BEXP|1CDMG	1FEWX|2ASPD|3CDMG|4BEXP|5RCR|67VULN|8CGEN|9TLV|aBASARM
25	34343 13161	   	196.57	ACR|1BASARM|2VULN|1ASPD|1AART|1CDMG	1FEWX|2ASPD|3CDMG|48VULN|5RCR|6AEFBLL|7AART|9CGEN|aBASARM
26	24333 16113	   	196.47	ACR|1BASARM|2VULN|1ASPD|1BEXP|1CDMG	1LWND|2ASPD|3CDMG|4BEXP|5RCR|67VULN|8AME|9TLV|aBASARM
27	34334 16113	   	196.47	ACR|1BASARM|2VULN|1ASPD|1BEXP|1CDMG	1FEWX|2ASPD|3CDMG|4BEXP|5RCR|67VULN|8AME|9TLV|aBASARM
28	34343 13341	   	196.47	ACR|1BASARM|2VULN|1ASPD|1AART|1CDMG	1FEWX|2ASPD|3CDMG|49VULN|5RCR|6AEFBLL|7AART|8AME|aBASARM
29	62134 11263	 * 	195.65	ACR|1BASARM|3BEXP|1ASPD|1VULN|1SELL	1ERES|2SELL|3DUST|47aBEXP|5RCR|6VULN|8BASARM|9ASPD
30	45322 41213	 * 	195.06	ACR|1BASARM|1ASPD|1DMG|1BEXP|1VULN	1LIT|2RMIN|3ZMB|4RCR|5DMG|6ASPD|7CGEN|8BASARM|9VULN|aBEXP
31	45322 41211	 * 	194.43	ACR|1BASARM|2VULN|1ASPD|1DMG	1LIT|2RMIN|3ZMB|4RCR|5DMG|6ASPD|7CGEN|8BASARM|9aVULN
32	45322 41222	 * 	192.06	ACR|1BASARM|2ASPD|1DMG	1LIT|2RMIN|3ZMB|4RCR|5DMG|6aASPD|7CGEN|8BASARM|9LWND
33	63334 11211	   	191.97	ACR|1BASARM|2BEXP|1CDMG|1AART|1VULN	1ERES|2DUR|3CDMG|47BEXP|5RCR|6VULN|8BASARM|9RMIN|aAART
34	63334 11251	   	191.97	ACR|1BASARM|2BEXP|1CDMG|1AART|1VULN	1ERES|2DUR|3CDMG|47BEXP|5RCR|6VULN|8BASARM|9MLV|aAART
35	24344 23321	   	191.95	ACR|1BASARM|1ASPD|1AART|1CDMG|1AAC|1VULN	1LWND|2ASPD|3CDMG|4VULN|5RCR|6FEWX|7AART|8DUR|9AAC|aBASARM
36	34353 13321	   	191.95	ACR|1BASARM|1ASPD|1AART|1CDMG|1AAC|1VULN	1FEWX|2ASPD|3CDMG|4LWND|5RCR|6VULN|7AART|8DUR|9AAC|aBASARM
37	24344 33321	   	191.85	ACR|1BASARM|1ASPD|1AART|1CDMG|1AAC|1VULN	1LWND|2ASPD|3CDMG|4VULN|5RCR|6AART|7DUST|8DUR|9AAC|aBASARM
38	25673 43144	   	191.34	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1LWND|2MULARM|3MBVNT|4BELT|5RCR|68BEXP|7CDMG|9ASPD|aBASARM
39	63334 16211	   	190.16	ACR|1BASARM|2VULN|1BEXP|1CDMG|1AART	1ERES|2DUR|3CDMG|4BEXP|5RCR|67VULN|8BASARM|9RMIN|aAART
40	63334 11242	 * 	189.59	ACR|1BASARM|3BEXP|1CDMG|1VULN	1ERES|2DUR|3CDMG|479BEXP|5RCR|6VULN|8BASARM|aLHND
41	62252 61131	   	189.57	ACR|1BASARM|1DMG|1AART|1BEXP|1AAC|1SELL	1ERES|2SELL|3AAC|4RCR|5AART|6BEXP|7MDPS|8DMG|9CGEN|aBASARM
42	63334 11241	   	189.49	ACR|1BASARM|3BEXP|1CDMG|1VULN	1ERES|2DUR|3CDMG|479BEXP|5RCR|6VULN|8BASARM|aAEFBLL
43	63334 11243	   	189.49	ACR|1BASARM|3BEXP|1CDMG|1VULN	1ERES|2DUR|3CDMG|479BEXP|5RCR|6VULN|8BASARM|aAME
44	45322 42322	   	188.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	1LIT|2RMIN|3ZMB|4RCR|5DMG|6ASPD|7CDMG|8RCVC|9SNIHEL|aBASARM
45	24333 11516	 * 	187.69	ACR|2ASPD|2BEXP|1DMG|1CDMG|1VULN	1LWND|28ASPD|3CDMG|47BEXP|5RCR|6VULN|9DUR|aDMG
46	34343 33141	 * 	185.78	ACR|2ASPD|2VULN|2CDMG|1AART|1BEXP	1FEWX|29ASPD|36CDMG|48VULN|5RCR|7AART|aBEXP
47	34343 16311	   	185.31	ACR|2DMG|3CDMG|1ASPD|1BEXP|1VULN	18FEWX|2ASPD|38aCDMG|4VULN|5RCR|6AEFBLL|78DMG|8BPWR|9BEXP
48	24333 31361	   	184.91	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1LWND|2ASPD|3CDMG|4BEXP|5RCR|6MDPS|7RMIN|8RPLT|9AAC|aBASARM
49	34334 31361	   	184.91	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1FEWX|2ASPD|3CDMG|4BEXP|5RCR|6MDPS|7RMIN|8RPLT|9AAC|aBASARM
50	63334 11221	 * 	184.53	ACR|1BASARM|2BEXP|2CDMG|1VULN	1ERES|2DUR|3aCDMG|47BEXP|5RCR|6VULN|8BASARM|9DUST
51	66334 11221	   	184.53	ACR|1BASARM|2BEXP|2CDMG|1VULN	1ERES|2LHND|3aCDMG|47BEXP|5RCR|6VULN|8BASARM|9DUST
52	62334 11214	   	184.49	ACR|1BASARM|2BEXP|1DMG|1VULN|1SELL	1ERES|2SELL|3DUR|47BEXP|5RCR|6VULN|8BASARM|9RMIN|aDMG
53	65334 11221	   	184.43	ACR|1BASARM|2BEXP|2CDMG|1VULN	1ERES|2LEGI|3aCDMG|47BEXP|5RCR|6VULN|8BASARM|9DUST
54	62134 11214	   	184.39	ACR|1BASARM|2BEXP|1DMG|1VULN|1SELL	1ERES|2SELL|3DUST|47BEXP|5RCR|6VULN|8BASARM|9RMIN|aDMG
55	62334 11513	   	184.39	ACR|1BASARM|2BEXP|1ASPD|1VULN|1SELL	1ERES|2SELL|3DUR|47BEXP|5RCR|6VULN|8ASPD|9TLV|aBASARM
56	62134 11513	   	184.29	ACR|1BASARM|2BEXP|1ASPD|1VULN|1SELL	1ERES|2SELL|3DUST|47BEXP|5RCR|6VULN|8ASPD|9TLV|aBASARM
57	62252 13141	 * 	183.76	ACR|1BASARM|2VULN|2AAC|1AART|1SELL	1ERES|2SELL|38AAC|4RCR|5AART|69VULN|7LWND|aBASARM
58	24333 11461	   	183.75	ACR|2BEXP|1ASPD|1DMG|1CDMG|1AART|1VULN	1LWND|2ASPD|3CDMG|47BEXP|5RCR|6VULN|8RMIN|9AART|aDMG
59	26333 11561	   	183.75	ACR|2BEXP|1ASPD|1DMG|1CDMG|1AART|1VULN	1LWND|2ZMB|3CDMG|47BEXP|5RCR|6VULN|8ASPD|9AART|aDMG
60	24344 32331	   	183.55	ACR|1BASARM|1ASPD|1AART|1CDMG|1VULN	1LWND|2ASPD|3CDMG|4VULN|5RCR|6AART|7MDPS|8DMSP|9RMIN|aBASARM
61	34334 13224	   	183.55	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1VULN	1FEWX|2ASPD|3CDMG|4BEXP|5RCR|6VULN|7LWND|8MDPS|9RPLT|aBASARM
62	34353 11224	   	183.55	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1VULN	1FEWX|2ASPD|3CDMG|4LWND|5RCR|6VULN|7BEXP|8MDPS|9RPLT|aBASARM
63	24333 35215	   	183.45	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1VULN	1LWND|2ASPD|3CDMG|4BEXP|5RCR|6MDPS|7VULN|8CGEN|9MSLTOX|aBASARM
64	24333 35324	   	183.45	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1VULN	1LWND|2ASPD|3CDMG|4BEXP|5RCR|6MDPS|7VULN|8DUST|9RPLT|aBASARM
65	24333 63153	   	183.45	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1VULN	1LWND|2ASPD|3CDMG|4BEXP|5RCR|6MLV|78TLV|9VULN|aBASARM
66	24333 35115	   	183.35	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1VULN	1LWND|2ASPD|3CDMG|4BEXP|5RCR|6MDPS|7VULN|8ERES|9MSLTOX|aBASARM
67	24333 11512	 * 	183.28	ACR|3ASPD|2BEXP|1CDMG|1VULN	1LWND|28aASPD|3CDMG|47BEXP|5RCR|6VULN|9DUR
68	24333 11536	   	183.28	ACR|3ASPD|2BEXP|1CDMG|1VULN	1LWND|28aASPD|3CDMG|47BEXP|5RCR|6VULN|9RPLT
69	34334 11512	   	183.28	ACR|3ASPD|2BEXP|1CDMG|1VULN	1FEWX|28aASPD|3CDMG|47BEXP|5RCR|6VULN|9DUR
70	34343 36322	   	183.20	ACR|2ASPD|2DMG|2CDMG|1VULN	189FEWX|28ASPD|36CDMG|4VULN|5RCR|78DMG|8BPWR|aMDPS
71	34343 36323	   	183.20	ACR|2ASPD|2DMG|2CDMG|1VULN	189FEWX|28ASPD|36CDMG|4VULN|5RCR|78DMG|8BPWR|aERES
72	34343 36332	   	183.20	ACR|2ASPD|2DMG|2CDMG|1VULN	18FEWX|28ASPD|36CDMG|4VULN|5RCR|78DMG|8BPWR|9DMSP|aAME
73	34343 36333	   	183.20	ACR|2ASPD|2DMG|2CDMG|1VULN	18FEWX|28ASPD|36CDMG|4VULN|5RCR|78DMG|8BPWR|9DMSP|aAIRARM
74	24333 15326	 * 	183.03	ACR|2BEXP|2VULN|1ASPD|1DMG|1CDMG	1LWND|2ASPD|3CDMG|49BEXP|5RCR|68VULN|7DUST|aDMG
75	31344 33341	   	182.82	ACR|1BASARM|2VULN|2CDMG|1AART	1FEWX|2RMIN|36CDMG|49VULN|5RCR|7AART|8AME|aBASARM
76	36343 33341	   	182.82	ACR|1BASARM|2VULN|2CDMG|1AART	1FEWX|2ZMB|36CDMG|49VULN|5RCR|7AART|8AME|aBASARM
77	63334 16221	   	182.72	ACR|1BASARM|2VULN|2CDMG|1BEXP	1ERES|2DUR|3aCDMG|4BEXP|5RCR|67VULN|8BASARM|9DUST
78	21344 32411	   	181.94	ACR|2VULN|1ASPD|1DMG|1CDMG|1BEXP|1AART	1LWND|2RMIN|3CDMG|4aVULN|5RCR|6AART|7ASPD|8BEXP|9DMG
79	24333 16512	 * 	181.47	ACR|3ASPD|2VULN|1CDMG|1BEXP	1LWND|28aASPD|3CDMG|4BEXP|5RCR|67VULN|9DUR
80	45322 41212	   	181.41	ACR|1BASARM|1ASPD|1DMG|1VULN	1LIT|2RMIN|3ZMB|4RCR|5DMG|6ASPD|7CGEN|8BASARM|9VULN|aRCVC
81	45322 41221	   	181.41	ACR|1BASARM|1ASPD|1DMG|1VULN	1LIT|2RMIN|3ZMB|4RCR|5DMG|6ASPD|7CGEN|8BASARM|9LWND|aVULN
82	24333 11255	 * 	180.85	ACR|2ASPD|2BEXP|2VULN|1CDMG	1LWND|2aASPD|3CDMG|47BEXP|5RCR|6aVULN|8MLV|9aLHND|aBPWR
83	24333 11265	   	180.85	ACR|2ASPD|2BEXP|2VULN|1CDMG	1LWND|2aASPD|3CDMG|47BEXP|5RCR|6aVULN|8MLV|9aDUR|aBPWR
84	24333 11355	   	180.85	ACR|2ASPD|2BEXP|2VULN|1CDMG	1LWND|2aASPD|3CDMG|47BEXP|5RCR|6aVULN|8CGEN|9aLHND|aBPWR
85	24333 11365	   	180.85	ACR|2ASPD|2BEXP|2VULN|1CDMG	1LWND|2aASPD|3CDMG|47BEXP|5RCR|6aVULN|8CGEN|9aDUR|aBPWR
86	24333 11155	   	180.75	ACR|2ASPD|2BEXP|2VULN|1CDMG	1LWND|2aASPD|3CDMG|47BEXP|5RCR|6aVULN|8AME|9aLHND|aBPWR
87	24333 11165	   	180.75	ACR|2ASPD|2BEXP|2VULN|1CDMG	1LWND|2aASPD|3CDMG|47BEXP|5RCR|6aVULN|8AME|9aDUR|aBPWR
88	24333 13622	   	180.65	ACR|2ASPD|2BEXP|2VULN|1CDMG	1LWND|2aASPD|3CDMG|49BEXP|5RCR|68VULN|7LHND
89	34334 13622	   	180.65	ACR|2ASPD|2BEXP|2VULN|1CDMG	1FEWX|2aASPD|3CDMG|49BEXP|5RCR|68VULN|7LWND
90	34353 11622	   	180.65	ACR|2ASPD|2BEXP|2VULN|1CDMG	1FEWX|2aASPD|3CDMG|4LWND|5RCR|68VULN|79BEXP
91	24333 11533	   	180.65	ACR|2ASPD|2BEXP|2VULN|1CDMG	1LWND|28ASPD|3CDMG|47BEXP|5RCR|6aVULN|9RPLT
92	34334 11533	   	180.65	ACR|2ASPD|2BEXP|2VULN|1CDMG	1FEWX|28ASPD|3CDMG|47BEXP|5RCR|6aVULN|9RPLT
93	24333 16511	   	180.65	ACR|2ASPD|2BEXP|2VULN|1CDMG	1LWND|28ASPD|3CDMG|4aBEXP|5RCR|67VULN|9DUR
94	24333 15322	   	180.55	ACR|2ASPD|2BEXP|2VULN|1CDMG	1LWND|2aASPD|3CDMG|49BEXP|5RCR|68VULN|7DUST
95	34334 15322	   	180.55	ACR|2ASPD|2BEXP|2VULN|1CDMG	1FEWX|2aASPD|3CDMG|49BEXP|5RCR|68VULN|7DUST
96	24333 11524	   	180.55	ACR|2ASPD|2BEXP|2VULN|1CDMG	1LWND|28ASPD|3CDMG|47BEXP|5RCR|6aVULN|9MDPS
97	34343 33111	 * 	180.12	ACR|3VULN|1ASPD|2CDMG|1AART|1BEXP	1FEWX|2ASPD|36CDMG|489VULN|5RCR|7AART|aBEXP
98	62252 62331	 * 	179.78	ACR|3BEXP|2AART|1ASPD|1AAC|1SELL	1ERES|2SELL|3AAC|4RCR|58AART|69aBEXP|7ASPD
