0	Index      	 *	Score 	Summary	Detail	
1	23223 51241	 * 	239.13	紫1基础对甲2攻速2基地爆炸2全技能1暴击	17策反27基地爆炸3散射对甲4核5暴击67攻速7序列升级8基础对甲9a全技能
13	23223 51253	   	227.78	紫1基础对甲2攻速2基地爆炸1全技能1暴击	17策反27基地爆炸3散射对甲4核5暴击67攻速7序列升级8基础对甲9核弹a全技能
14	23223 51211	 * 	225.50	紫1基础对甲3基地爆炸2攻速1暴击	17策反27a基地爆炸3散射对甲4核5暴击67攻速7序列升级8基础对甲9敌人爆炸
15	23223 51234	   	225.50	紫1基础对甲3基地爆炸2攻速1暴击	17策反27a基地爆炸3散射对甲4核5暴击67攻速7序列升级8基础对甲9金币生成
16	23223 51254	   	225.40	紫1基础对甲3基地爆炸2攻速1暴击	17策反27a基地爆炸3散射对甲4核5暴击67攻速7序列升级8基础对甲9核弹
17	26123 51241	   	224.19	紫1基础对甲2攻速2全技能1基地爆炸1暴击	17策反27散射对绿3基地爆炸4核5暴击67攻速7序列升级8基础对甲9a全技能
18	23223 52241	   	224.09	紫1基础对甲2攻速2全技能1基地爆炸1暴击	1策反2基地爆炸3散射对甲4核5暴击67攻速8基础对甲9a全技能
19	26123 52241	   	224.09	紫1基础对甲2攻速2全技能1基地爆炸1暴击	1策反2散射对绿3基地爆炸4核5暴击67攻速8基础对甲9a全技能
20	23223 52264	   	223.16	紫3攻速1基础对甲1基地爆炸1暴击1技能	1策反2基地爆炸3散射对甲4核5暴击679攻速8基础对甲a技能
21	12424 26321	 * 	222.46	紫4易伤2攻速2伤害	169a易伤2双倍秒伤3核48攻速59矿等79伤害9序列升级
22	23223 52244	   	219.16	紫1基础对甲2攻速2暴击1基地爆炸1全技能	1策反2基地爆炸3散射对甲4核5a暴击67攻速8基础对甲9全技能
23	12421 65321	 * 	217.93	紫2易伤2攻速1伤害2暴击1基地爆炸	17易伤2双倍秒伤3核47攻速5立即金币67暴击7序列升级8敌人爆炸9伤害a基地爆炸
24	26123 31253	 * 	216.51	紫1基础对甲2基地爆炸1伤害2暴击1全技能	17策反2散射对绿37基地爆炸4核57暴击6技能7序列升级8基础对甲9伤害a全技能
25	11164 41231	 * 	215.35	紫2易伤1基础对甲2伤害1攻速	19易伤2导弹对绿3雷电46伤害5核7双倍秒伤8基础对甲a攻速
26	26123 51262	   	215.28	紫3攻速1基础对甲1基地爆炸1暴击	17策反27散射对绿3基地爆炸4核5暴击679攻速7序列升级8基础对甲a立即金币
27	23223 52262	   	215.18	紫3攻速1基础对甲1基地爆炸1暴击	1策反2基地爆炸3散射对甲4核5暴击679攻速8基础对甲a立即金币
28	26123 52262	   	215.18	紫3攻速1基础对甲1基地爆炸1暴击	1策反2散射对绿3基地爆炸4核5暴击679攻速8基础对甲a立即金币
29	12422 46322	 * 	215.00	紫3攻速2易伤2伤害	19易伤2双倍秒伤3核489攻速5磁铁减费6金币生成79伤害9序列升级a雷电
30	12422 46323	   	215.00	紫3攻速2易伤2伤害	19易伤2双倍秒伤3核489攻速5磁铁减费6金币生成79伤害9序列升级a平台
31	26123 51261	   	214.95	紫3攻速1基础对甲1基地爆炸1暴击	17策反27散射对绿3基地爆炸4核5暴击679攻速7序列升级8基础对甲a低血量敌人
32	12422 46321	   	214.90	紫3攻速2易伤2伤害	19易伤2双倍秒伤3核489攻速5磁铁减费6金币生成79伤害9序列升级a掉矿
33	23223 52261	   	214.85	紫3攻速1基础对甲1基地爆炸1暴击	1策反2基地爆炸3散射对甲4核5暴击679攻速8基础对甲a低血量敌人
34	23223 52266	   	214.85	紫3攻速1基础对甲1基地爆炸1暴击	1策反2基地爆炸3散射对甲4核5暴击679攻速8基础对甲a平台
35	26123 51263	   	214.85	紫3攻速1基础对甲1基地爆炸1暴击	17策反27散射对绿3基地爆炸4核5暴击679攻速7序列升级8基础对甲a等级
36	26123 52261	   	214.85	紫3攻速1基础对甲1基地爆炸1暴击	1策反2散射对绿3基地爆炸4核5暴击679攻速8基础对甲a低血量敌人
37	23223 52263	   	214.75	紫3攻速1基础对甲1基地爆炸1暴击	1策反2基地爆炸3散射对甲4核5暴击679攻速8基础对甲a等级
38	26123 52263	   	214.75	紫3攻速1基础对甲1基地爆炸1暴击	1策反2散射对绿3基地爆炸4核5暴击679攻速8基础对甲a等级
39	26123 51216	   	214.25	紫1基础对甲2攻速1易伤1基地爆炸1暴击	17策反27散射对绿3基地爆炸4核5暴击67攻速7序列升级8基础对甲9敌人爆炸a易伤
40	23223 51214	   	214.23	紫1基础对甲2攻速2基地爆炸1暴击	17策反27基地爆炸3散射对甲4核5暴击67攻速7序列升级8基础对甲9敌人爆炸a金币生成
41	23223 51215	   	214.23	紫1基础对甲2攻速2基地爆炸1暴击	17策反27基地爆炸3散射对甲4核5暴击67攻速7序列升级8基础对甲9敌人爆炸a额外掉落
42	23223 51231	   	214.23	紫1基础对甲2攻速2基地爆炸1暴击	17策反27基地爆炸3散射对甲4核5暴击67攻速7序列升级8基础对甲9金币生成a矿等
43	23223 52216	   	214.15	紫1基础对甲2攻速1易伤1基地爆炸1暴击	1策反2基地爆炸3散射对甲4核5暴击67攻速8基础对甲9敌人爆炸a易伤
44	26123 52216	   	214.15	紫1基础对甲2攻速1易伤1基地爆炸1暴击	1策反2散射对绿3基地爆炸4核5暴击67攻速8基础对甲9敌人爆炸a易伤
45	23223 51213	   	214.13	紫1基础对甲2攻速2基地爆炸1暴击	17策反27基地爆炸3散射对甲4核5暴击67攻速7序列升级8基础对甲9敌人爆炸a掉矿
46	23223 51232	   	214.13	紫1基础对甲2攻速2基地爆炸1暴击	17策反27基地爆炸3散射对甲4核5暴击67攻速7序列升级8基础对甲9金币生成a挖尘
47	23223 51235	   	214.13	紫1基础对甲2攻速2基地爆炸1暴击	17策反27基地爆炸3散射对甲4核5暴击67攻速7序列升级8基础对甲9金币生成a等级
48	23223 51236	   	214.13	紫1基础对甲2攻速2基地爆炸1暴击	17策反27基地爆炸3散射对甲4核5暴击67攻速7序列升级8基础对甲9金币生成a加一
49	23223 51251	   	214.13	紫1基础对甲2攻速2基地爆炸1暴击	17策反27基地爆炸3散射对甲4核5暴击67攻速7序列升级8基础对甲9核弹a矿等
50	26123 51211	   	214.13	紫1基础对甲2攻速2基地爆炸1暴击	17策反27散射对绿3a基地爆炸4核5暴击67攻速7序列升级8基础对甲9敌人爆炸
51	26123 51234	   	214.13	紫1基础对甲2攻速2基地爆炸1暴击	17策反27散射对绿3a基地爆炸4核5暴击67攻速7序列升级8基础对甲9金币生成
52	26123 31254	 * 	214.12	紫1基础对甲3基地爆炸1伤害2暴击	17策反2散射对绿37a基地爆炸4核57暴击6技能7序列升级8基础对甲9伤害
53	23223 51252	   	214.03	紫1基础对甲2攻速2基地爆炸1暴击	17策反27基地爆炸3散射对甲4核5暴击67攻速7序列升级8基础对甲9核弹a挖尘
54	23223 51255	   	214.03	紫1基础对甲2攻速2基地爆炸1暴击	17策反27基地爆炸3散射对甲4核5暴击67攻速7序列升级8基础对甲9核弹a等级
55	23223 51256	   	214.03	紫1基础对甲2攻速2基地爆炸1暴击	17策反27基地爆炸3散射对甲4核5暴击67攻速7序列升级8基础对甲9核弹a加一
56	23223 52211	   	214.03	紫1基础对甲2攻速2基地爆炸1暴击	1策反2a基地爆炸3散射对甲4核5暴击67攻速8基础对甲9敌人爆炸
57	23223 52234	   	214.03	紫1基础对甲2攻速2基地爆炸1暴击	1策反2a基地爆炸3散射对甲4核5暴击67攻速8基础对甲9金币生成
58	26123 52211	   	214.03	紫1基础对甲2攻速2基地爆炸1暴击	1策反2散射对绿3a基地爆炸4核5暴击67攻速8基础对甲9敌人爆炸
59	26123 52234	   	214.03	紫1基础对甲2攻速2基地爆炸1暴击	1策反2散射对绿3a基地爆炸4核5暴击67攻速8基础对甲9金币生成
60	23223 52254	   	213.93	紫1基础对甲2攻速2基地爆炸1暴击	1策反2a基地爆炸3散射对甲4核5暴击67攻速8基础对甲9核弹
61	23223 51133	 * 	213.37	紫3基地爆炸2攻速1伤害1易伤1暴击	17策反278基地爆炸3散射对甲4核5暴击67攻速7序列升级9伤害a易伤
62	26123 51233	   	212.94	紫1基础对甲2攻速1基地爆炸1全技能1暴击	17策反27散射对绿3基地爆炸4核5暴击67攻速7序列升级8基础对甲9金币生成a全技能
63	26123 51243	   	212.94	紫1基础对甲2攻速1基地爆炸1全技能1暴击	17策反27散射对绿3基地爆炸4核5暴击67攻速7序列升级8基础对甲9全技能a低血量敌人
64	23223 52233	   	212.84	紫1基础对甲2攻速1基地爆炸1全技能1暴击	1策反2基地爆炸3散射对甲4核5暴击67攻速8基础对甲9金币生成a全技能
65	23223 52243	   	212.84	紫1基础对甲2攻速1基地爆炸1全技能1暴击	1策反2基地爆炸3散射对甲4核5暴击67攻速8基础对甲9全技能a低血量敌人
66	23223 52245	   	212.84	紫1基础对甲2攻速1基地爆炸1全技能1暴击	1策反2基地爆炸3散射对甲4核5暴击67攻速8基础对甲9全技能a金币生成
67	23223 52246	   	212.84	紫1基础对甲2攻速1基地爆炸1全技能1暴击	1策反2基地爆炸3散射对甲4核5暴击67攻速8基础对甲9全技能a雷电
68	26123 51253	   	212.84	紫1基础对甲2攻速1基地爆炸1全技能1暴击	17策反27散射对绿3基地爆炸4核5暴击67攻速7序列升级8基础对甲9核弹a全技能
69	26123 52233	   	212.84	紫1基础对甲2攻速1基地爆炸1全技能1暴击	1策反2散射对绿3基地爆炸4核5暴击67攻速8基础对甲9金币生成a全技能
70	26123 52243	   	212.84	紫1基础对甲2攻速1基地爆炸1全技能1暴击	1策反2散射对绿3基地爆炸4核5暴击67攻速8基础对甲9全技能a低血量敌人
71	12421 46321	   	212.82	紫3易伤2攻速2伤害	19a易伤2双倍秒伤3核48攻速5立即金币69金币生成79伤害9序列升级
72	23223 52253	   	212.74	紫1基础对甲2攻速1基地爆炸1全技能1暴击	1策反2基地爆炸3散射对甲4核5暴击67攻速8基础对甲9核弹a全技能
73	26123 52253	   	212.74	紫1基础对甲2攻速1基地爆炸1全技能1暴击	1策反2散射对绿3基地爆炸4核5暴击67攻速8基础对甲9核弹a全技能
74	12424 26322	   	210.36	紫3易伤2攻速2伤害	169易伤2双倍秒伤3核48攻速59矿等79伤害9序列升级a时间
75	12424 26323	   	210.36	紫3易伤2攻速2伤害	169易伤2双倍秒伤3核48攻速59矿等79伤害9序列升级a平台
76	12426 26132	   	209.57	紫3易伤2伤害1攻速1全技能	16a易伤2双倍秒伤3核4攻速5随机矿7a伤害8全技能9a矿等a序列升级
