0	Index      	 *	Score 	Summary	Detail	
1	13125 51325	 * 	247.85	ACR|1BASARM|1ASPD|1DMG|1VULN|1BEXP|1AART|1CDMG	1RCR|2AME|3BEXP|4AART|5CDMG|6DMG|7ASPD|8BELT|9BASARM|aVULN
13	11121 32653	 * 	236.85	ACR|4VULN|2DMG|2BEXP|1AART	1RCR|29ERES|36BEXP|4AART|569aVULN|69BPWR|7MBVNT|89DMG
14	11121 31654	 * 	236.02	ACR|3VULN|3BEXP|2DMG|1AART	1RCR|29ERES|369BEXP|4AART|56aVULN|69BPWR|7AME|89DMG
15	12436 42122	 * 	235.47	ACR|3VULN|3BEXP|1ASPD|1DMG|1CDMG	1RCR|29DUR|389VULN|4DMG|5CDMG|679BEXP|9BPWR|aASPD
16	13231 22152	 * 	235.45	ACR|1BASARM|2VULN|2DMG|1ASPD	1RCR|239AME|4BASARM|59ZMB|6aDMG|7ASPD|89VULN|9BPWR
17	13231 22154	 * 	235.45	ACR|1BASARM|2VULN|2ASPD|1DMG	1RCR|239AME|4BASARM|59ZMB|6DMG|7aASPD|89VULN|9BPWR
18	13325 51325	   	234.20	ACR|1BASARM|1ASPD|1DMG|1VULN|1AART|1CDMG	1RCR|2AME|3FEWX|4AART|5CDMG|6DMG|7ASPD|8BELT|9BASARM|aVULN
19	14321 12643	   	233.52	ACR|2VULN|1BASARM|2BEXP|1CDMG|1AART	1RCR|279DUST|3CGEN|4AART|57VULN|67BEXP|7BPWR|8CDMG|aBASARM
20	11121 32651	   	233.06	ACR|3VULN|2DMG|2BEXP|1AART|1AAC	1RCR|29ERES|36BEXP|4AART|569VULN|69BPWR|7MBVNT|89DMG|aAAC
21	11131 34522	   	232.92	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AART	1RCR|2ERES|3BEXP|4ASPD|5ZMB|6BELT|7VULN|8DMG|9AART|aBASARM
22	11331 33522	   	232.92	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AART	1RCR|2ERES|3VULN|4ASPD|5ZMB|6BELT|7BEXP|8DMG|9AART|aBASARM
23	13131 32322	   	232.92	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AART	1RCR|2AME|3BEXP|4ASPD|5ZMB|6BELT|7VULN|8DMG|9AART|aBASARM
24	12436 43121	 * 	231.51	ACR|4VULN|2BEXP|1DMG|1BASICY|1CDMG	1RCR|29DUR|3789VULN|4DMG|5CDMG|69BEXP|9BPWR|aBASICY
25	12216 61413	   	231.45	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|26DUR|3MLV|4CDMG|568BEXP|6BPWR|7AART|9VULN|aBASARM
26	12216 65213	   	231.45	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|26DUR|3MLV|4CDMG|567BEXP|6BPWR|8AART|9VULN|aBASARM
27	12316 61413	   	231.45	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|26DUR|3CGEN|4CDMG|568BEXP|6BPWR|7AART|9VULN|aBASARM
28	12316 65213	   	231.45	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|26DUR|3CGEN|4CDMG|567BEXP|6BPWR|8AART|9VULN|aBASARM
29	12216 41413	   	231.35	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|2DUR|3MLV|4CDMG|568BEXP|7AART|9VULN|aBASARM
30	12216 45213	   	231.35	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|2DUR|3MLV|4CDMG|567BEXP|8AART|9VULN|aBASARM
31	12316 41413	   	231.35	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|2DUR|3CGEN|4CDMG|568BEXP|7AART|9VULN|aBASARM
32	12316 45213	   	231.35	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|2DUR|3CGEN|4CDMG|567BEXP|8AART|9VULN|aBASARM
33	12325 16413	   	231.35	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|2DUR|3CGEN|4AART|5CDMG|678BEXP|9VULN|aBASARM
34	13232 62488	 * 	231.31	ACR|1BASARM|2BEXP|1VULN|1ASPD|1DMG	1RCR|23AME|4BASARM|5MBVNT|6ASPD|79BEXP|8VULN|aDMG
35	11316 42223	   	231.25	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|2ERES|3VULN|4CDMG|567BEXP|8AART|9LWND|aBASARM
36	11316 42243	   	231.25	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|2ERES|3VULN|4CDMG|567BEXP|8AART|9DUR|aBASARM
37	11316 42513	   	231.25	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|2ERES|3VULN|4CDMG|567BEXP|8DUR|9AART|aBASARM
38	11325 16423	   	231.25	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|2ERES|3VULN|4AART|5CDMG|678BEXP|9LWND|aBASARM
39	11116 41413	   	231.25	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|2ERES|358BEXP|4CDMG|6DUR|7AART|9VULN|aBASARM
40	11116 45213	   	231.25	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|2ERES|357BEXP|4CDMG|6DUR|8AART|9VULN|aBASARM
41	11125 15413	   	231.25	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|2ERES|368BEXP|4AART|5CDMG|7DUR|9VULN|aBASARM
42	11125 36413	   	231.25	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|2ERES|378BEXP|4AART|5CDMG|6LWND|9VULN|aBASARM
43	11616 42213	   	231.25	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|2ERES|3LWND|4CDMG|567BEXP|8AART|9VULN|aBASARM
44	13116 41413	   	231.25	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|2AME|358BEXP|4CDMG|6DUR|7AART|9VULN|aBASARM
45	13116 45213	   	231.25	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|2AME|357BEXP|4CDMG|6DUR|8AART|9VULN|aBASARM
46	13125 15413	   	231.25	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|2AME|368BEXP|4AART|5CDMG|7DUR|9VULN|aBASARM
47	13125 36413	   	231.25	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|2AME|378BEXP|4AART|5CDMG|6LWND|9VULN|aBASARM
48	13316 41413	   	231.25	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|2AME|3FEWX|4CDMG|568BEXP|7AART|9VULN|aBASARM
49	13316 45213	   	231.25	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|2AME|3FEWX|4CDMG|567BEXP|8AART|9VULN|aBASARM
50	13316 61413	   	231.25	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|26AME|3FEWX|4CDMG|568BEXP|6BPWR|7AART|9VULN|aBASARM
51	13316 65213	   	231.25	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|26AME|3FEWX|4CDMG|567BEXP|6BPWR|8AART|9VULN|aBASARM
52	13325 16413	   	231.25	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|2AME|3FEWX|4AART|5CDMG|678BEXP|9VULN|aBASARM
53	13616 42213	   	231.25	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|2AME|3LWND|4CDMG|567BEXP|8AART|9VULN|aBASARM
54	13616 62213	   	231.25	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1RCR|26AME|3LWND|4CDMG|567BEXP|6BPWR|8AART|9VULN|aBASARM
55	13234 51152	 * 	231.24	ACR|2BASARM|2VULN|1ASPD|1DMG	1RCR|239AME|49BASARM|5DUR|6ASPD|79VULN|8RCVC|9BPWR|aDMG
56	13235 51152	   	231.14	ACR|2BASARM|2VULN|1ASPD|1DMG	1RCR|239AME|49BASARM|5DUST|6ASPD|79VULN|8RCVC|9BPWR|aDMG
57	13116 62621	 * 	230.72	ACR|3BEXP|2ASPD|1VULN|2CDMG|1AART	1RCR|2AME|356BEXP|46CDMG|6BPWR|78ASPD|9VULN|aAART
58	11313 54341	   	230.50	ACR|3VULN|3DMG|3CDMG	1RCR|256ERES|389VULN|489CDMG|789DMG|89BPWR|aNUKE
59	13131 13516	   	230.34	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1RCR|27AME|3BEXP|46ASPD|5ZMB|8BASARM|9AART|aVULN
60	11125 51326	   	230.32	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP|1CDMG	1RCR|2ERES|3BEXP|4AART|5CDMG|6DMG|7ASPD|8BELT|9BASARM|aRPLT
61	12325 14352	   	230.32	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART|1CDMG	1RCR|2DUR|3CGEN|4AART|5CDMG|6BEXP|7ASPD|8MBVNT|9BASARM|aDMG
62	13325 51326	   	230.32	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1AART	1RCR|2AME|3FEWX|4AART|5CDMG|6DMG|7ASPD|8BELT|9BASARM|aBEXP
63	11125 51321	   	230.22	ACR|1BASARM|1ASPD|1DMG|1CDMG|1BEXP|1AART	1RCR|2ERES|3BEXP|4AART|5CDMG|6DMG|7ASPD|8BELT|9BASARM|aLSRICY
64	11125 51322	   	230.22	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP|1CDMG	1RCR|2ERES|3BEXP|4AART|5CDMG|6DMG|7ASPD|8BELT|9BASARM|aSPLREG
65	11125 51324	   	230.22	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1AART	1RCR|2ERES|3BEXP|4AART|5CDMG|6DMG|7ASPD|8BELT|9BASARM|aAME
66	11125 51325	   	230.22	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP|1CDMG	1RCR|2ERES|3BEXP|4AART|5CDMG|6DMG|7ASPD|8BELT|9BASARM|aMDPS
67	13125 51321	   	230.22	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1AART	1RCR|2AME|3BEXP|4AART|5CDMG|6DMG|7ASPD|8BELT|9BASARM|aLSRICY
68	13125 51322	   	230.22	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART|1CDMG	1RCR|2AME|3BEXP|4AART|5CDMG|6DMG|7ASPD|8BELT|9BASARM|aSPLREG
69	13125 51324	   	230.22	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1AART	1RCR|2aAME|3BEXP|4AART|5CDMG|6DMG|7ASPD|8BELT|9BASARM
70	13232 62551	   	229.69	ACR|1BASARM|2ASPD|2BEXP|1VULN	1RCR|238AME|4BASARM|5MBVNT|68ASPD|78BEXP|8BPWR|9RCVC|aVULN
71	11313 54331	 * 	229.55	ACR|2VULN|3DMG|2CDMG|1ASPD	1RCR|256ERES|38VULN|48CDMG|789DMG|8BPWR|aASPD
72	13232 62538	   	229.26	ACR|1BASARM|2ASPD|2BEXP|1VULN	1RCR|238AME|4BASARM|5MBVNT|68ASPD|78BEXP|8BPWR|9VULN|aRCVC
73	14432 32423	   	229.03	ACR|2VULN|1BASARM|2ASPD|1CDMG	1RCR|2DUST|37VULN|4RPLT|5LIT|6aASPD|8BASARM|9CDMG
74	13232 62532	   	228.93	ACR|1BASARM|2ASPD|2BEXP|1VULN	1RCR|238AME|4BASARM|5MBVNT|68ASPD|78BEXP|8BPWR|9VULN|aFEWX
75	13232 62537	   	228.93	ACR|1BASARM|2ASPD|2BEXP|1VULN	1RCR|238AME|4BASARM|5MBVNT|68ASPD|78BEXP|8BPWR|9VULN|aLHND
76	13232 61448	   	228.92	ACR|1BASARM|2VULN|1ASPD|1DMG|1BEXP	1RCR|23AME|4BASARM|5MBVNT|6ASPD|78VULN|9BEXP|aDMG
77	13232 61813	   	228.92	ACR|1BASARM|2VULN|1ASPD|1DMG|1BEXP	1RCR|23AME|4BASARM|5MBVNT|6ASPD|79VULN|8DMG|aBEXP
78	13232 62524	   	228.83	ACR|1BASARM|2ASPD|2BEXP|1VULN	1RCR|238AME|4BASARM|5MBVNT|68ASPD|78BEXP|8BPWR|9ERES|aVULN
79	13232 62531	   	228.83	ACR|1BASARM|2ASPD|2BEXP|1VULN	1RCR|238AME|4BASARM|5MBVNT|68ASPD|78BEXP|8BPWR|9VULN|aDUST
80	13232 62544	   	228.83	ACR|1BASARM|2ASPD|2BEXP|1VULN	1RCR|238AME|4BASARM|5MBVNT|68ASPD|78BEXP|8BPWR|9DUST|aVULN
81	35321 12643	   	228.52	ACR|2VULN|1BASARM|2BEXP|1CDMG|1AART	179DUST|2RCR|3CGEN|4AART|57VULN|67BEXP|7BPWR|8CDMG|aBASARM
82	13325 51323	   	227.92	ACR|1BASARM|2AART|1ASPD|1DMG|1CDMG	1RCR|2AME|3FEWX|4aAART|5CDMG|6DMG|7ASPD|8BELT|9BASARM
83	14225 51323	   	227.92	ACR|1BASARM|2AART|1ASPD|1DMG|1CDMG	1RCR|2DUST|3MLV|4aAART|5CDMG|6DMG|7ASPD|8BELT|9BASARM
84	14325 51323	   	227.92	ACR|1BASARM|2AART|1ASPD|1DMG|1CDMG	1RCR|2DUST|3CGEN|4aAART|5CDMG|6DMG|7ASPD|8BELT|9BASARM
85	11425 51323	   	227.82	ACR|1BASARM|2AART|1ASPD|1DMG|1CDMG	1RCR|2ERES|3DUST|4aAART|5CDMG|6DMG|7ASPD|8BELT|9BASARM
86	13425 51323	   	227.82	ACR|1BASARM|2AART|1ASPD|1DMG|1CDMG	1RCR|2AME|3DUST|4aAART|5CDMG|6DMG|7ASPD|8BELT|9BASARM
87	13131 13515	   	227.74	ACR|1BASARM|2ASPD|1BEXP|1AART|1CDMG	1RCR|27AME|3BEXP|46ASPD|5ZMB|8BASARM|9AART|aCDMG
88	11121 12658	   	227.38	ACR|2VULN|2DMG|2BEXP|1AART|1CDMG	1RCR|29ERES|36BEXP|4AART|59VULN|7MBVNT|89DMG|9BPWR|aCDMG
89	13231 22151	 * 	226.92	ACR|3VULN|1BASARM|1ASPD|1DMG	1RCR|239AME|4BASARM|59ZMB|6DMG|7ASPD|89aVULN|9BPWR
90	53535 31131	 * 	226.86	ACR|1BASARM|2ASPD|2CDMG|1VULN|1BEXP	15ASPD|2RMIN|3RCR|45CDMG|5BPWR|6FEWX|7MDPS|8BEXP|9BASARM|aVULN
91	53535 21431	   	226.76	ACR|1BASARM|2ASPD|2CDMG|1VULN|1BEXP	15ASPD|2RMIN|3RCR|45CDMG|5BPWR|6MBVNT|7MDPS|8BEXP|9BASARM|aVULN
92	13232 61814	   	226.72	ACR|3VULN|1BASARM|1ASPD|1DMG	1RCR|23AME|4BASARM|5MBVNT|6ASPD|79aVULN|8DMG
93	13232 62511	 * 	226.55	ACR|1BASARM|3BEXP|2ASPD	1RCR|238AME|4BASARM|5MBVNT|68ASPD|78aBEXP|8BPWR|9CGEN
94	13232 62561	   	226.55	ACR|1BASARM|3BEXP|2ASPD	1RCR|238AME|4BASARM|5MBVNT|68ASPD|78aBEXP|8BPWR|9ZMB
95	13232 62571	   	226.55	ACR|1BASARM|3BEXP|2ASPD	1RCR|238AME|4BASARM|5MBVNT|68ASPD|78aBEXP|8BPWR|9MLV
96	13125 41325	   	226.51	ACR|1BASARM|1ASPD|1VULN|1BEXP|1CDMG|1AART	1RCR|2AME|3BEXP|4AART|5CDMG|6RMIN|7ASPD|8BELT|9BASARM|aVULN
97	13125 42325	   	226.51	ACR|1BASARM|1DMG|1VULN|1BEXP|1CDMG|1AART	1RCR|2AME|3BEXP|4AART|5CDMG|6RMIN|7DMG|8BELT|9BASARM|aVULN
98	12225 14353	   	226.51	ACR|1BASARM|1ASPD|1VULN|1BEXP|1AART|1CDMG	1RCR|2DUR|3MLV|4AART|5CDMG|6BEXP|7ASPD|8MBVNT|9BASARM|aVULN
99	25216 62213	   	226.45	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	16LWND|2RCR|3MLV|4CDMG|567BEXP|6BPWR|8AART|9VULN|aBASARM
100	25316 62213	   	226.45	ACR|1BASARM|3BEXP|1VULN|1CDMG|1AART	16LWND|2RCR|3CGEN|4CDMG|567BEXP|6BPWR|8AART|9VULN|aBASARM
101	13232 62521	   	226.45	ACR|1BASARM|3BEXP|2ASPD	1RCR|238AME|4BASARM|5MBVNT|68ASPD|78aBEXP|8BPWR|9ERES
102	11125 34353	   	226.41	ACR|1BASARM|1ASPD|1VULN|1AART|1BEXP|1CDMG	1RCR|2ERES|3BEXP|4AART|5CDMG|6LWND|7ASPD|8MBVNT|9BASARM|aVULN
103	13115 11325	   	226.41	ACR|1BASARM|1DMG|1VULN|1BEXP|1AART|1CDMG	1RCR|2AME|3BEXP|4CDMG|5AAC|6DMG|7AART|8BELT|9BASARM|aVULN
104	13115 31325	   	226.41	ACR|1BASARM|1ASPD|1VULN|1BEXP|1AART|1CDMG	1RCR|2AME|3BEXP|4CDMG|5AAC|6AART|7ASPD|8BELT|9BASARM|aVULN
105	13115 32325	   	226.41	ACR|1BASARM|1DMG|1VULN|1BEXP|1AART|1CDMG	1RCR|2AME|3BEXP|4CDMG|5AAC|6AART|7DMG|8BELT|9BASARM|aVULN
106	13125 34353	   	226.41	ACR|1BASARM|1ASPD|1VULN|1AART|1BEXP|1CDMG	1RCR|2AME|3BEXP|4AART|5CDMG|6LWND|7ASPD|8MBVNT|9BASARM|aVULN
107	13125 53325	   	226.41	ACR|1BASARM|1DMG|1VULN|1BEXP|1AART|1CDMG	1RCR|2AME|3BEXP|4AART|5CDMG|6DMG|7AAC|8BELT|9BASARM|aVULN
108	25216 42213	   	226.35	ACR|1BASARM|3BEXP|1VULN|1AART|1CDMG	1LWND|2RCR|3MLV|4CDMG|567BEXP|8AART|9VULN|aBASARM
109	25316 42213	   	226.35	ACR|1BASARM|3BEXP|1VULN|1CDMG|1AART	1LWND|2RCR|3CGEN|4CDMG|567BEXP|8AART|9VULN|aBASARM
110	32444 13131	   	225.56	ACR|1BASARM|2ASPD|1DMG|1VULN|1BEXP	1DUST|2RPLT|3RCR|46ASPD|5DMG|7BEXP|8FEWX|9BASARM|aVULN
111	53551 12133	   	225.56	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP	16ASPD|2RMIN|3RCR|4DMG|5LWND|7TLV|8BASARM|9VULN|aBEXP
112	22444 11131	   	225.56	ACR|1BASARM|2ASPD|1DMG|1VULN|1BEXP	1LWND|2RPLT|3RCR|46ASPD|5DMG|7DUST|8BEXP|9BASARM|aVULN
113	32444 13133	 * 	225.45	ACR|1BASARM|2ASPD|2BEXP|1DMG	1DUST|2RPLT|3RCR|46ASPD|5DMG|7aBEXP|8FEWX|9BASARM
114	53535 31133	 * 	225.45	ACR|1BASARM|2ASPD|2BEXP|2CDMG	15ASPD|2RMIN|3RCR|45CDMG|5BPWR|6FEWX|7MDPS|8aBEXP|9BASARM
115	22444 11133	   	225.45	ACR|1BASARM|2ASPD|2BEXP|1DMG	1LWND|2RPLT|3RCR|46ASPD|5DMG|7DUST|8aBEXP|9BASARM
116	53535 21433	   	225.35	ACR|1BASARM|2ASPD|2BEXP|2CDMG	15ASPD|2RMIN|3RCR|45CDMG|5BPWR|6MBVNT|7MDPS|8aBEXP|9BASARM
117	16321 12543	   	225.15	ACR|3VULN|2DMG|2BEXP|1AART	1RCR|279LHND|39CGEN|4AART|57aVULN|67BEXP|79BPWR|89DMG
118	12225 14354	   	225.09	ACR|1BASARM|2BEXP|1ASPD|1AART|1CDMG	1RCR|2DUR|3MLV|4AART|5CDMG|6aBEXP|7ASPD|8MBVNT|9BASARM
119	13125 41326	   	225.09	ACR|1BASARM|2BEXP|1ASPD|1AART|1CDMG	1RCR|2AME|3aBEXP|4AART|5CDMG|6RMIN|7ASPD|8BELT|9BASARM
120	13125 42326	   	225.09	ACR|1BASARM|2BEXP|1DMG|1AART|1CDMG	1RCR|2AME|3aBEXP|4AART|5CDMG|6RMIN|7DMG|8BELT|9BASARM
121	11125 34354	   	224.99	ACR|1BASARM|2BEXP|1ASPD|1AART|1CDMG	1RCR|2ERES|3aBEXP|4AART|5CDMG|6LWND|7ASPD|8MBVNT|9BASARM
122	13115 11326	   	224.99	ACR|1BASARM|2BEXP|1DMG|1AART|1CDMG	1RCR|2AME|3aBEXP|4CDMG|5AAC|6DMG|7AART|8BELT|9BASARM
123	13115 31326	   	224.99	ACR|1BASARM|2BEXP|1ASPD|1AART|1CDMG	1RCR|2AME|3aBEXP|4CDMG|5AAC|6AART|7ASPD|8BELT|9BASARM
124	13115 32326	   	224.99	ACR|1BASARM|2BEXP|1DMG|1AART|1CDMG	1RCR|2AME|3aBEXP|4CDMG|5AAC|6AART|7DMG|8BELT|9BASARM
125	13125 34354	   	224.99	ACR|1BASARM|2BEXP|1ASPD|1AART|1CDMG	1RCR|2AME|3aBEXP|4AART|5CDMG|6LWND|7ASPD|8MBVNT|9BASARM
126	13125 53326	   	224.99	ACR|1BASARM|2BEXP|1DMG|1AART|1CDMG	1RCR|2AME|3aBEXP|4AART|5CDMG|6DMG|7AAC|8BELT|9BASARM
127	13231 52142	   	224.99	ACR|1BASARM|2BEXP|1VULN|1DMG|1CDMG	1RCR|23AME|4BASARM|5ZMB|67BEXP|8VULN|9CDMG|aDMG
128	13231 52144	   	224.99	ACR|1BASARM|2BEXP|1VULN|1ASPD|1CDMG	1RCR|23AME|4BASARM|5ZMB|67BEXP|8VULN|9CDMG|aASPD
129	13236 52142	   	224.99	ACR|1BASARM|2BEXP|1VULN|1DMG|1CDMG	1RCR|23AME|4BASARM|5MLV|67BEXP|8VULN|9CDMG|aDMG
130	11121 32652	   	224.75	ACR|3VULN|2DMG|2BEXP|1AART	1RCR|29ERES|36BEXP|4AART|569VULN|69BPWR|7MBVNT|89DMG|aLWND
131	11121 32655	   	224.75	ACR|3VULN|2DMG|2BEXP|1AART	1RCR|29ERES|36BEXP|4AART|569VULN|69BPWR|7MBVNT|89DMG|aDUR
132	11121 32657	   	224.75	ACR|3VULN|2DMG|2BEXP|1AART	1RCR|29ERES|36BEXP|4AART|569VULN|69BPWR|7MBVNT|89DMG|aMLV
133	13231 12433	   	224.71	ACR|2BASARM|2BEXP|1ASPD|1VULN	1RCR|238AME|48BASARM|5ZMB|6LWND|78BEXP|8BPWR|9VULN|aASPD
134	13231 12455	 * 	224.71	ACR|2BASARM|2BEXP|1DMG|1VULN	1RCR|238AME|48BASARM|5ZMB|6LWND|78BEXP|8BPWR|9DMG|aVULN
135	13231 42433	   	224.71	ACR|2BASARM|2BEXP|1ASPD|1VULN	1RCR|238AME|48BASARM|5ZMB|6DUR|78BEXP|8BPWR|9VULN|aASPD
136	13234 32433	   	224.71	ACR|2BASARM|2BEXP|1ASPD|1VULN	1RCR|238AME|48BASARM|5DUR|6ZMB|78BEXP|8BPWR|9VULN|aASPD
137	13234 52432	   	224.71	ACR|2BASARM|2BEXP|1ASPD|1VULN	1RCR|238AME|48BASARM|5DUR|6ASPD|78BEXP|8BPWR|9VULN|aFEWX
138	11121 12653	   	224.65	ACR|3VULN|2DMG|2BEXP|1AART	1RCR|29ERES|36BEXP|4AART|59aVULN|7MBVNT|89DMG|9BPWR
139	11321 62653	   	224.65	ACR|3VULN|2DMG|2BEXP|1AART	1RCR|29ERES|35aVULN|4AART|69BEXP|7MBVNT|89DMG|9BPWR
140	13234 52431	   	224.61	ACR|2BASARM|2BEXP|1ASPD|1VULN	1RCR|238AME|48BASARM|5DUR|6ASPD|78BEXP|8BPWR|9VULN|aDUST
141	13235 52433	   	224.61	ACR|2BASARM|2BEXP|1ASPD|1VULN	1RCR|238AME|48BASARM|5DUST|6ASPD|78BEXP|8BPWR|9VULN|aZMB
142	13235 52431	   	224.51	ACR|2BASARM|2BEXP|1ASPD|1VULN	1RCR|238AME|48BASARM|5aDUST|6ASPD|78BEXP|8BPWR|9VULN
143	13235 52432	   	224.51	ACR|2BASARM|2BEXP|1ASPD|1VULN	1RCR|238AME|48BASARM|5DUST|6ASPD|78BEXP|8BPWR|9VULN|aTLV
144	12436 41122	   	224.21	ACR|3VULN|2BEXP|1ASPD|1DMG|1CDMG	1RCR|279DUR|389VULN|4DMG|5CDMG|69BEXP|9BPWR|aASPD
145	32462 31512	   	224.10	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG|1AART	19DUST|2RPLT|3RCR|4DMG|5VULN|6CDMG|7AART|8BASARM|aASPD
146	35432 32423	   	224.03	ACR|2VULN|1BASARM|2ASPD|1CDMG	1DUST|2RCR|37VULN|4RPLT|5LIT|6aASPD|8BASARM|9CDMG
147	13231 22155	   	223.78	ACR|1BASARM|2VULN|1ASPD|1DMG|1AAC	1RCR|239AME|4BASARM|59ZMB|6DMG|7ASPD|89VULN|9BPWR|aAAC
148	13231 22134	   	223.68	ACR|1BASARM|2VULN|1ASPD|1DMG|1AAC	1RCR|23AME|4BASARM|5ZMB|6DMG|7ASPD|89VULN|aAAC
149	13236 22134	   	223.68	ACR|1BASARM|2VULN|1ASPD|1DMG|1AAC	1RCR|23AME|4BASARM|5MLV|6DMG|7ASPD|89VULN|aAAC
150	13231 52143	 * 	223.68	ACR|1BASARM|2BEXP|1VULN|1BASICY|1CDMG	1RCR|23AME|4BASARM|5ZMB|67BEXP|8VULN|9CDMG|aBASICY
