0	Index      	 *	Score 	Summary	Detail	
1	12215 51263	 * 	218.46	ACR|3ASPD|3VULN|1BASICY|1AART|1BEXP	129VULN|39DUST|4RCR|5BEXP|6BASICY|7AART|89aASPD|9BPWR
22	33271 58414	   	196.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MDPS|2DMG|3MBVNT|4ZMB|5RCR|6BEXP|7CDMG|8BASARM|9FEWX|aASPD
23	33271 58424	   	196.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MDPS|2DMG|3MBVNT|4ZMB|5RCR|6BEXP|7CDMG|8BASARM|9DUR|aASPD
24	33211 28414	   	196.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MDPS|2DMG|3MBVNT|4RMIN|5RCR|6FEWX|7CDMG|8BASARM|9BEXP|aASPD
25	33271 14467	   	196.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MDPS|2DMG|3MBVNT|4ZMB|5RCR|6ASPD|7CGEN|8BASARM|9BEXP|aCDMG
26	33271 28414	   	196.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1MDPS|2DMG|3MBVNT|4ZMB|5RCR|6FEWX|7CDMG|8BASARM|9BEXP|aASPD
27	32163 23611	   	196.34	ACR|1BASARM|2BEXP|1DMG|1CDMG	1MDPS|26BEXP|3AME|4RCR|5CDMG|7DMG|8LIT|9LWND|aBASARM
28	32163 23661	   	196.24	ACR|1BASARM|2BEXP|1DMG|1CDMG	1MDPS|26BEXP|3AME|4RCR|5CDMG|7DMG|8LIT|9DUST|aBASARM
29	33244 82623	   	196.10	ACR|3DMG|1BASARM|1CDMG	1MDPS|247DMG|3MBVNT|4BPWR|5RCR|6RCVC|8BASARM|9LHND|aCDMG
30	33244 82671	   	196.10	ACR|3DMG|1BASARM|1CDMG	1MDPS|247DMG|3MBVNT|4BPWR|5RCR|6aRCVC|8BASARM|9CDMG
31	33244 82672	   	196.10	ACR|3DMG|1BASARM|1CDMG	1MDPS|247DMG|3MBVNT|4BPWR|5RCR|6RCVC|8BASARM|9CDMG|aMLV
32	33244 82673	   	196.10	ACR|3DMG|1BASARM|1CDMG	1MDPS|247DMG|3MBVNT|4BPWR|5RCR|6RCVC|8BASARM|9CDMG|aZMB
33	33244 82637	   	196.00	ACR|3DMG|1BASARM|1CDMG	1MDPS|247DMG|3MBVNT|4BPWR|5RCR|6RCVC|8BASARM|9ERES|aCDMG
34	12213 61551	   	195.57	ACR|2ASPD|3VULN|1DMG|2CDMG	128VULN|3DUST|4RCR|58CDMG|68ASPD|7RPLT|8BPWR|9CGEN|aDMG
35	12213 61562	   	195.57	ACR|2ASPD|3VULN|1DMG|2CDMG	128VULN|3DUST|4RCR|58CDMG|68ASPD|7RPLT|8BPWR|9DMG|aFEWX
36	12213 61531	   	195.47	ACR|2ASPD|3VULN|1DMG|2CDMG	128VULN|3DUST|4RCR|58CDMG|68ASPD|7RPLT|8BPWR|9AME|aDMG
37	12213 61261	   	194.72	ACR|2ASPD|2DMG|2VULN|1CDMG	12VULN|3DUST|4RCR|5CDMG|68ASPD|7RPLT|9aDMG
38	12213 62161	   	194.72	ACR|2ASPD|2DMG|2VULN|1CDMG	12VULN|3DUST|4RCR|5CDMG|67ASPD|8RPLT|9aDMG
39	12215 16321	   	193.55	ACR|3VULN|2BEXP|1BASICY|1CDMG|1AART	126VULN|3DUST|4RCR|59BEXP|7BASICY|8AART|aCDMG
40	12215 16363	   	193.43	ACR|3VULN|1ASPD|1BASICY|1BEXP|1AART|1AAC	126VULN|3DUST|4RCR|5BEXP|7BASICY|8AART|9AAC|aASPD
41	33244 84267	 * 	192.80	ACR|1BASARM|2DMG|2AART	1MDPS|24DMG|3MBVNT|4BPWR|5RCR|6RCVC|78AART|9MULARM|aBASARM
42	33281 72162	 * 	192.48	ACR|2DMG|3VULN|2BEXP|1AART	1MDPS|29DMG|3MBVNT|4TLV|5RCR|6AART|79aVULN|89BEXP|9BPWR
43	12411 22231	 * 	192.07	ACR|2DMG|2BEXP|2VULN|1ASPD	12VULN|3LHND|4RCR|59BEXP|6CGEN|7aDMG|8ASPD
44	12411 32231	   	192.07	ACR|2DMG|2BEXP|2VULN|1ASPD	12VULN|3LHND|4RCR|59BEXP|6MLV|7aDMG|8ASPD
45	12411 62231	   	191.97	ACR|2DMG|2BEXP|2VULN|1ASPD	12VULN|3LHND|4RCR|59BEXP|6ERES|7aDMG|8ASPD
46	33244 82642	   	190.75	ACR|3DMG|1BASARM|1AAC	1MDPS|247DMG|3MBVNT|4BPWR|5RCR|6RCVC|8BASARM|9AAC|aLWND
47	33244 82643	   	190.75	ACR|3DMG|1BASARM|1AAC	1MDPS|247DMG|3MBVNT|4BPWR|5RCR|6RCVC|8BASARM|9AAC|aLHND
48	33244 82646	   	190.75	ACR|3DMG|1BASARM|1AAC	1MDPS|247DMG|3MBVNT|4BPWR|5RCR|6RCVC|8BASARM|9AAC|aBELT
49	33244 82648	   	190.75	ACR|3DMG|1BASARM|1AAC	1MDPS|247DMG|3MBVNT|4BPWR|5RCR|6RCVC|8BASARM|9AAC|aCGEN
50	12213 52536	   	190.68	ACR|2ASPD|2VULN|1BASICY|1BEXP|1CDMG	12VULN|3DUST|4RCR|5CDMG|6ERES|79ASPD|8BASICY|aBEXP
51	12215 51213	   	190.68	ACR|2ASPD|2VULN|1BASICY|1BEXP|1AART	12VULN|39DUST|4RCR|5BEXP|6BASICY|7AART|8aASPD
52	12215 51253	   	190.68	ACR|2ASPD|2VULN|1BASICY|1BEXP|1AART	12VULN|3DUST|4RCR|5BEXP|6BASICY|7AART|8aASPD|9AEMAG
53	33244 82644	   	190.65	ACR|3DMG|1BASARM|1AAC	1MDPS|247DMG|3MBVNT|4BPWR|5RCR|6RCVC|8BASARM|9AAC|aDUST
54	33244 82645	   	190.65	ACR|3DMG|1BASARM|1AAC	1MDPS|247DMG|3MBVNT|4BPWR|5RCR|6RCVC|8BASARM|9AAC|aTLV
55	33244 82647	   	190.65	ACR|3DMG|1BASARM|1AAC	1MDPS|247DMG|3MBVNT|4BPWR|5RCR|6RCVC|8BASARM|9AAC|aSPLREG
56	33211 28444	   	189.86	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MDPS|2DMG|3MBVNT|4RMIN|5RCR|6FEWX|7CDMG|8BASARM|9VULN|aASPD
57	33271 14461	   	189.86	ACR|1BASARM|1DMG|1ASPD|1BEXP	1MDPS|2DMG|3MBVNT|4ZMB|5RCR|6ASPD|7CGEN|8BASARM|9BEXP|aVULN
58	33271 28444	   	189.86	ACR|1BASARM|1ASPD|1DMG|1CDMG	1MDPS|2DMG|3MBVNT|4ZMB|5RCR|6FEWX|7CDMG|8BASARM|9VULN|aASPD
59	33211 58441	   	189.76	ACR|1BASARM|2CDMG|1DMG|1BEXP	1MDPS|2DMG|3MBVNT|4RMIN|5RCR|6BEXP|7aCDMG|8BASARM|9VULN
60	33271 58441	   	189.76	ACR|1BASARM|2CDMG|1DMG|1BEXP	1MDPS|2DMG|3MBVNT|4ZMB|5RCR|6BEXP|7aCDMG|8BASARM|9VULN
61	33244 82661	   	189.39	ACR|3DMG|1BASARM	1MDPS|247DMG|3MBVNT|4BPWR|5RCR|6RCVC|8BASARM|9ZMB|aVULN
62	12411 55221	   	189.36	ACR|2ASPD|3VULN|1DMG|1BEXP	129VULN|39LHND|4RCR|5BEXP|6RCVC|7FEWX|89ASPD|9BPWR|aDMG
63	33244 82631	   	189.29	ACR|3DMG|1BASARM	1MDPS|247DMG|3MBVNT|4BPWR|5RCR|6RCVC|8BASARM|9ERES|aVULN
64	12411 22251	   	189.16	ACR|2DMG|3VULN|1ASPD|1BEXP	129VULN|3LHND|4RCR|5BEXP|6CGEN|7aDMG|8ASPD
65	12411 32251	   	189.16	ACR|2DMG|3VULN|1ASPD|1BEXP	129VULN|3LHND|4RCR|5BEXP|6MLV|7aDMG|8ASPD
66	12211 51262	   	189.16	ACR|2ASPD|3VULN|1BASICY|1AART	129VULN|39DUST|4RCR|5FEWX|6BASICY|7AART|89ASPD|9BPWR|aRMIN
67	12211 51263	   	189.16	ACR|2ASPD|3VULN|1BASICY|1AART	129VULN|39DUST|4RCR|5FEWX|6BASICY|7AART|89ASPD|9BPWR|aLWND
68	12211 51264	   	189.16	ACR|2ASPD|3VULN|1BASICY|1AART	129VULN|39DUST|4RCR|5FEWX|6BASICY|7AART|89ASPD|9BPWR|aCGEN
69	12211 51266	   	189.16	ACR|2ASPD|3VULN|1BASICY|1AART	129VULN|39DUST|4RCR|5FEWX|6BASICY|7AART|89ASPD|9BPWR|aVENTOX
70	12213 31221	   	189.16	ACR|2ASPD|3VULN|1DMG|1CDMG	129VULN|39DUST|4RCR|5CDMG|6ZMB|7RPLT|89ASPD|9BPWR|aDMG
71	12214 51262	   	189.16	ACR|2ASPD|3VULN|1BASICY|1AART	129VULN|39DUST|4RCR|5LWND|6BASICY|7AART|89ASPD|9BPWR|aRMIN
72	12214 51263	   	189.16	ACR|2ASPD|3VULN|1BASICY|1AART	129VULN|39DUST|4RCR|5aLWND|6BASICY|7AART|89ASPD|9BPWR
73	12213 61526	   	189.06	ACR|2ASPD|3VULN|2CDMG|1BEXP	128VULN|3DUST|4RCR|58CDMG|68ASPD|7RPLT|8BPWR|9MSLTOX|aBEXP
74	12215 22251	   	189.06	ACR|2DMG|3VULN|1ASPD|1BEXP	129VULN|3DUST|4RCR|5BEXP|6CGEN|7aDMG|8ASPD
75	12215 32251	   	189.06	ACR|2DMG|3VULN|1ASPD|1BEXP	129VULN|3DUST|4RCR|5BEXP|6MLV|7aDMG|8ASPD
76	12411 62251	   	189.06	ACR|2DMG|3VULN|1ASPD|1BEXP	129VULN|3LHND|4RCR|5BEXP|6ERES|7aDMG|8ASPD
77	12213 52533	   	188.96	ACR|2ASPD|3VULN|1BASICY|1CDMG	12aVULN|3DUST|4RCR|5CDMG|6ERES|79ASPD|8BASICY
78	12215 62251	   	188.96	ACR|2DMG|3VULN|1ASPD|1BEXP	129VULN|3DUST|4RCR|5BEXP|6ERES|7aDMG|8ASPD
79	12411 15225	   	188.60	ACR|4VULN|2ASPD|1BEXP|1AAC	1269VULN|39LHND|4RCR|5BEXP|7FEWX|89ASPD|9BPWR|aAAC
80	32163 23163	   	188.55	ACR|2BEXP|1ASPD|1DMG|1CDMG|1AART	1MDPS|26BEXP|3AME|4RCR|5CDMG|7DMG|8AART|9ASPD|aVULN
