0	Index      	 *	Score 	Summary	Detail	
1	11662 41313	 * 	217.02	ACR|1BASARM|1ASPD|1DMG|1CDMG|1AART|1AAC	1AAC|2VULN|3CDMG|4RCR|5LHND|6AART|7ASPD|8RPLT|9BASARM|aDMG
14	61662 11131	 * 	198.41	ACR|3ASPD|1DMG|1BEXP|1CDMG	1RPLT|2CDMG|3RCR|4ERES|5DMG|67aASPD|8BEXP|9VULN
15	61662 11132	   	197.59	ACR|2ASPD|2BEXP|1DMG|1CDMG	1RPLT|2CDMG|3RCR|4ERES|5DMG|67ASPD|8aBEXP|9VULN
16	11662 41311	   	196.95	ACR|1BASARM|1ASPD|1AART|1CDMG|1AAC	1AAC|2VULN|3CDMG|4RCR|5LHND|6AART|7ASPD|8RPLT|9BASARM|aLWND
17	25246 22313	 * 	196.57	ACR|1BASARM|2VULN|1DMG|1BEXP|1CDMG	1ERES|2CGEN|3CDMG|46VULN|5RCR|7BEXP|8DMG|9DUR|aBASARM
18	11661 36112	 * 	195.68	ACR|3BEXP|2VULN|1ASPD|2AAC|1CDMG	16AAC|29VULN|3CDMG|4RCR|579BEXP|89CGEN|9BPWR|aASPD
19	11661 21612	   	195.68	ACR|3BEXP|2VULN|1ASPD|2AAC|1CDMG	18AAC|29VULN|3CDMG|4RCR|579BEXP|69MLV|9BPWR|aASPD
20	11216 14521	   	194.57	ACR|3BEXP|3VULN|1ASPD|1CDMG|1AAC	1AAC|248VULN|37aBEXP|5RCR|6ASPD|9CDMG
21	11136 11152	   	194.19	ACR|2ASPD|2VULN|1DMG|1BEXP|1AART|1AAC	1AAC|23VULN|4DUR|5RCR|67ASPD|8BEXP|9DMG|aAART
22	11136 11153	   	194.19	ACR|2ASPD|2VULN|1DMG|1CDMG|1BEXP|1AAC	1AAC|23VULN|4DUR|5RCR|67ASPD|8BEXP|9DMG|aCDMG
23	11316 11152	   	194.19	ACR|2ASPD|2VULN|1DMG|1BEXP|1AART|1AAC	1AAC|24VULN|3DUR|5RCR|67ASPD|8BEXP|9DMG|aAART
24	11316 11153	   	194.19	ACR|2ASPD|2VULN|1DMG|1CDMG|1BEXP|1AAC	1AAC|24VULN|3DUR|5RCR|67ASPD|8BEXP|9DMG|aCDMG
25	11536 11152	   	194.19	ACR|2ASPD|2VULN|1DMG|1BEXP|1AART|1AAC	1AAC|23VULN|3BPWR|4DUR|5RCR|67ASPD|8BEXP|9DMG|aAART
26	11536 11153	   	194.19	ACR|2ASPD|2VULN|1DMG|1BEXP|1CDMG|1AAC	1AAC|23VULN|3BPWR|4DUR|5RCR|67ASPD|8BEXP|9DMG|aCDMG
27	61622 11153	 * 	192.86	ACR|3DMG|2BEXP|2CDMG	14RPLT|2aCDMG|3RCR|5RCVC|6FEWX|79aDMG|8aBEXP|aBPWR
28	61622 21153	   	192.86	ACR|3DMG|2BEXP|2CDMG	14RPLT|2aCDMG|3RCR|5RCVC|6LHND|79aDMG|8aBEXP|aBPWR
29	11661 21133	   	191.63	ACR|1BASARM|2BEXP|1CDMG|1AAC	1AAC|2VULN|3CDMG|4RCR|57BEXP|6MLV|8DUR|9ERES|aBASARM
30	11661 21533	   	191.53	ACR|1BASARM|2BEXP|1CDMG|1AAC	1AAC|2VULN|3CDMG|4RCR|57BEXP|6MLV|8DUST|9ERES|aBASARM
31	61662 11121	   	191.47	ACR|3ASPD|1DMG|1CDMG|1BEXP	1RPLT|2CDMG|3RCR|4ERES|5DMG|67aASPD|8BEXP|9FEWX
32	11661 23336	 * 	191.25	ACR|2BEXP|1ASPD|1DMG|2AAC|1CDMG	17AAC|2VULN|3CDMG|4RCR|59BEXP|6MLV|8DMG|aASPD
33	22226 35121	 * 	191.24	ACR|1BASARM|2BEXP|1DMG|1CDMG	1ERES|2AEMAG|37BEXP|4AEFBLL|5RCR|6LIT|8BASARM|9DMG|aCDMG
34	11216 61521	 * 	191.14	ACR|3VULN|2BEXP|1DMG|2AAC|1CDMG	16AAC|248VULN|3aBEXP|5RCR|7DMG|9CDMG
35	11136 11124	 * 	190.96	ACR|3ASPD|2BEXP|2VULN|1AAC	1AAC|23VULN|4DUR|5RCR|67aASPD|89BEXP
36	11216 11114	   	190.96	ACR|3ASPD|2BEXP|2VULN|1AAC	1AAC|24VULN|38BEXP|5RCR|67aASPD|9DUR
37	11216 11154	   	190.96	ACR|3ASPD|2BEXP|2VULN|1AAC	1AAC|24VULN|38BEXP|5RCR|67aASPD|9FEWX
38	11316 11124	   	190.96	ACR|3ASPD|2BEXP|2VULN|1AAC	1AAC|24VULN|3DUR|5RCR|67aASPD|89BEXP
39	11536 11124	   	190.96	ACR|3ASPD|2BEXP|2VULN|1AAC	1AAC|23VULN|3BPWR|4DUR|5RCR|67aASPD|89BEXP
40	16116 11124	   	190.96	ACR|3ASPD|2BEXP|2VULN|1AAC	1AAC|2LWND|34VULN|5RCR|67aASPD|89BEXP
41	11146 11124	   	190.86	ACR|3ASPD|2BEXP|2VULN|1AAC	1AAC|23VULN|4LEGI|5RCR|67aASPD|89BEXP
42	11216 11324	   	190.86	ACR|3ASPD|2BEXP|2VULN|1AAC	1AAC|24VULN|39BEXP|5RCR|67aASPD|8DUST
43	14116 11124	   	190.86	ACR|3ASPD|2BEXP|2VULN|1AAC	1AAC|2DUST|34VULN|5RCR|67aASPD|89BEXP
44	61662 11122	   	190.65	ACR|2ASPD|2BEXP|1DMG|1CDMG	1RPLT|2CDMG|3RCR|4ERES|5DMG|67ASPD|8aBEXP|9FEWX
45	11216 61121	 * 	190.48	ACR|3BEXP|2VULN|1DMG|2AAC|1CDMG	16AAC|24VULN|38aBEXP|5RCR|7DMG|9CDMG
46	14636 11123	 * 	190.11	ACR|3ASPD|3BEXP|2AAC	13AAC|2aDUST|4DUR|5RCR|67aASPD|89aBEXP|aBPWR
47	33133 36322	 * 	189.90	ACR|3ASPD|2BEXP|1DMG	1aBEXP|2BELT|3LHND|4aLIT|5RCR|6VULN|7DMG|89aASPD|aBPWR
48	36633 36322	   	189.90	ACR|3ASPD|2BEXP|1DMG	1aBEXP|2LWND|3aLIT|4BELT|5RCR|6VULN|7DMG|89aASPD|aBPWR
49	11661 14113	   	189.81	ACR|1BASARM|2VULN|1BEXP|1CDMG|1AAC	1AAC|26VULN|3CDMG|4RCR|5BEXP|7ERES|8DUR|9MLV|aBASARM
50	11666 21133	   	189.71	ACR|1BASARM|2VULN|1BEXP|1CDMG|1AAC	1AAC|28VULN|3CDMG|4RCR|5DUST|6MLV|7BEXP|9ERES|aBASARM
51	32221 41562	 * 	189.06	ACR|2DMG|2BEXP|2VULN|1AART|1AAC	19BEXP|2ERES|39DMG|4LHND|5RCR|6AAC|7DUR|89VULN|9BPWR|aAART
52	32221 63562	   	189.06	ACR|2DMG|2BEXP|2VULN|1AART|1AAC	19BEXP|2ERES|39DMG|4LHND|5RCR|6FEWX|7AAC|89VULN|9BPWR|aAART
53	32241 13562	   	189.06	ACR|2DMG|2BEXP|2VULN|1AART|1AAC	19BEXP|2ERES|39DMG|4LWND|5RCR|6LHND|7AAC|89VULN|9BPWR|aAART
54	32261 13562	   	189.06	ACR|2DMG|2BEXP|2VULN|1AART|1AAC	19BEXP|2ERES|39DMG|4DUR|5RCR|6LHND|7AAC|89VULN|9BPWR|aAART
55	32241 23562	   	188.96	ACR|2DMG|2BEXP|2VULN|1AART|1AAC	19BEXP|2ERES|39DMG|4LWND|5RCR|6DUST|7AAC|89VULN|9BPWR|aAART
56	11216 11122	   	188.96	ACR|2ASPD|2BEXP|2VULN|1CDMG|1AAC	1AAC|24VULN|38BEXP|5RCR|67ASPD|9CDMG|aLHND
57	11216 11123	   	188.96	ACR|2ASPD|2BEXP|2VULN|1CDMG|1AAC	1AAC|24VULN|38BEXP|5RCR|67ASPD|9CDMG|aMLV
58	11216 11124	   	188.96	ACR|2ASPD|2BEXP|2VULN|1CDMG|1AAC	1AAC|24VULN|38BEXP|5RCR|67ASPD|9CDMG|aRCVC
59	11216 11126	   	188.96	ACR|2ASPD|2BEXP|2VULN|1CDMG|1AAC	1AAC|24VULN|38BEXP|5RCR|67ASPD|9CDMG|aCGEN
60	22226 35123	 * 	188.86	ACR|1BASARM|3BEXP|1DMG	1ERES|2AEMAG|37aBEXP|4AEFBLL|5RCR|6LIT|8BASARM|9DMG
61	11136 14152	   	188.53	ACR|3VULN|1ASPD|1DMG|1BEXP|1AART|1AAC	1AAC|238VULN|4DUR|5RCR|6ASPD|7BEXP|9DMG|aAART
62	11136 14153	   	188.53	ACR|3VULN|1ASPD|1DMG|1CDMG|1BEXP|1AAC	1AAC|238VULN|4DUR|5RCR|6ASPD|7BEXP|9DMG|aCDMG
63	11316 14152	   	188.53	ACR|3VULN|1ASPD|1DMG|1BEXP|1AART|1AAC	1AAC|248VULN|3DUR|5RCR|6ASPD|7BEXP|9DMG|aAART
64	11316 14153	   	188.53	ACR|3VULN|1ASPD|1DMG|1CDMG|1BEXP|1AAC	1AAC|248VULN|3DUR|5RCR|6ASPD|7BEXP|9DMG|aCDMG
65	61622 11123	 * 	188.47	ACR|3BEXP|2DMG|2CDMG	14RPLT|2aCDMG|3RCR|5RCVC|6FEWX|7aDMG|89aBEXP|aBPWR
66	61622 21123	   	188.47	ACR|3BEXP|2DMG|2CDMG	14RPLT|2aCDMG|3RCR|5RCVC|6LHND|7aDMG|89aBEXP|aBPWR
67	61624 22123	   	188.37	ACR|3BEXP|2DMG|2CDMG	14RPLT|2aCDMG|3RCR|5aDMG|6FEWX|7AEFBLL|89aBEXP|aBPWR
68	11136 12621	 * 	188.25	ACR|3ASPD|3VULN|1BEXP|1AAC	1AAC|238VULN|4DUR|5RCR|68aASPD|78LWND|8BPWR|9BEXP
69	11316 12621	   	188.25	ACR|3ASPD|3VULN|1BEXP|1AAC	1AAC|248VULN|3DUR|5RCR|68aASPD|78LWND|8BPWR|9BEXP
70	11536 12621	   	188.25	ACR|3ASPD|3VULN|1BEXP|1AAC	1AAC|238VULN|38BPWR|4DUR|5RCR|68aASPD|78LWND|9BEXP
71	11216 11514	   	188.05	ACR|3ASPD|3VULN|1BEXP|1AAC	1AAC|248VULN|3BEXP|5RCR|67aASPD|9DUR
72	63642 11121	   	187.78	ACR|1BASARM|1ASPD|1DMG|1AAC	1RPLT|2FEWX|3RCR|4ASPD|5LIT|6RMIN|7BELT|8DMG|9AAC|aBASARM
73	61612 15121	   	187.74	ACR|2ASPD|3VULN|1BEXP|1CDMG	1RPLT|2CDMG|3RCR|478VULN|5aASPD|6LHND|9BEXP
74	63633 35211	   	187.68	ACR|1BASARM|1ASPD|1DMG|1AAC	14RPLT|2FEWX|3RCR|5ASPD|6SPLARM|7DMG|8AAC|9MLV|aBASARM
75	61612 25121	   	187.64	ACR|2ASPD|3VULN|1BEXP|1CDMG	1RPLT|2CDMG|3RCR|478VULN|5aASPD|6DUST|9BEXP
76	11661 21336	   	187.64	ACR|3BEXP|2VULN|1DMG|1CDMG|1AAC	1AAC|2aVULN|3CDMG|4RCR|579BEXP|6MLV|8DMG
77	11661 23411	 * 	187.55	ACR|3BEXP|3VULN|2AAC|1CDMG	17AAC|289VULN|3CDMG|4RCR|59aBEXP|69MLV|9BPWR
78	11231 14424	 * 	187.44	ACR|2DMG|3VULN|2BEXP|1AAC	1AAC|29aVULN|39BEXP|4ZMB|5RCR|6LHND|79DMG|8RPLT|9BPWR
79	11136 14124	   	187.24	ACR|2ASPD|3VULN|2BEXP|1AAC	1AAC|238VULN|4DUR|5RCR|6aASPD|79BEXP
80	11216 12124	   	187.24	ACR|2ASPD|3VULN|2BEXP|1AAC	1AAC|248VULN|39BEXP|5RCR|6aASPD|7LWND
81	11316 14124	   	187.24	ACR|2ASPD|3VULN|2BEXP|1AAC	1AAC|248VULN|3DUR|5RCR|6aASPD|79BEXP
82	16116 13124	   	187.24	ACR|2ASPD|3VULN|2BEXP|1AAC	1AAC|2LWND|348VULN|5RCR|6aASPD|79BEXP
83	11216 11142	   	187.24	ACR|2ASPD|3VULN|2BEXP|1AAC	1AAC|249VULN|38BEXP|5RCR|67ASPD|aLWND
84	11216 11143	   	187.24	ACR|2ASPD|3VULN|2BEXP|1AAC	1AAC|249VULN|38BEXP|5RCR|67ASPD|aLHND
85	11216 13124	   	187.14	ACR|2ASPD|3VULN|2BEXP|1AAC	1AAC|248VULN|39BEXP|5RCR|6aASPD|7DUST
86	11216 15124	   	187.14	ACR|2ASPD|3VULN|2BEXP|1AAC	1AAC|248VULN|39BEXP|5RCR|6aASPD|7LEGI
87	11216 11141	   	187.14	ACR|2ASPD|3VULN|2BEXP|1AAC	1AAC|249VULN|38BEXP|5RCR|67ASPD|aERES
88	11216 11145	   	187.14	ACR|2ASPD|3VULN|2BEXP|1AAC	1AAC|249VULN|38BEXP|5RCR|67ASPD|aDUST
