0	Index      	 *	Score 	Summary	Detail	
1	36138 14143	 * 	221.63	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5LIT|6VULN|7DMG|8BEXP|9BASARM|aASPD
34	36136 25243	   	205.40	ACR|1BASARM|2ASPD|1VULN|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5aASPD|6LIT|7DUST|8VULN|9BASARM
35	36138 35243	   	205.40	ACR|1BASARM|2ASPD|1VULN|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5LIT|6aASPD|7DUST|8VULN|9BASARM
36	24218 17132	   	205.37	ACR|2VULN|2ASPD|2DMG|1AART	1AART|238LWND|4MBVNT|5RCR|68ASPD|78DMG|8BPWR|9aVULN
37	63631 32431	   	204.09	ACR|1BASARM|2ASPD|1BEXP|1CDMG	18ASPD|2LHND|3RCR|4ZMB|5BEXP|6MDPS|7CDMG|9AEFBLL|aBASARM
38	62123 51131	 * 	203.69	DCR|2VULN|3ASPD|2DMG|2BEXP	169ASPD|29DMG|37VULN|4MDPS|56CGEN|69BPWR|89BEXP|aRCR
39	35123 13242	   	202.60	ACR|3ASPD|1BASARM|1VULN	12aFEWX|3VULN|4RCR|5aERES|6BASARM|7LHND|89aASPD|aBPWR
40	21318 18115	   	202.51	ACR|2ASPD|2DMG|2AART|1VULN	13AART|28LHND|4MBVNT|5RCR|68ASPD|78DMG|8BPWR|9LWND|aVULN
41	21318 18125	   	202.51	ACR|2ASPD|2DMG|2AART|1VULN	13AART|28LHND|4MBVNT|5RCR|68ASPD|78DMG|8BPWR|9FEWX|aVULN
42	21318 18131	   	202.51	ACR|2ASPD|2DMG|1VULN|2AART	13AART|28LHND|4MBVNT|5RCR|68ASPD|78DMG|8BPWR|9VULN|aRMIN
43	21318 18134	   	202.51	ACR|2ASPD|2DMG|1VULN|2AART	13AART|28LHND|4MBVNT|5RCR|68ASPD|78DMG|8BPWR|9VULN|aCGEN
44	21318 18137	   	202.51	ACR|2ASPD|2DMG|1VULN|2AART	13AART|28LHND|4MBVNT|5RCR|68ASPD|78DMG|8BPWR|9VULN|aLIT
45	21318 18138	   	202.51	ACR|2ASPD|2DMG|1VULN|2AART	13AART|28LHND|4MBVNT|5RCR|68ASPD|78DMG|8BPWR|9VULN|aFEWX
46	21318 18151	   	202.51	ACR|2ASPD|2DMG|2AART|1VULN	13AART|28LHND|4MBVNT|5RCR|68ASPD|78DMG|8BPWR|9CGEN|aVULN
47	24218 17131	   	202.51	ACR|2ASPD|2DMG|2AART|1VULN	1aAART|238LWND|4MBVNT|5RCR|68ASPD|78DMG|8BPWR|9VULN
48	21318 18132	   	202.41	ACR|2ASPD|2DMG|1VULN|2AART	13AART|28LHND|4MBVNT|5RCR|68ASPD|78DMG|8BPWR|9VULN|aAME
49	21318 18136	   	202.41	ACR|2ASPD|2DMG|1VULN|2AART	13AART|28LHND|4MBVNT|5RCR|68ASPD|78DMG|8BPWR|9VULN|aERES
50	21318 18141	   	202.41	ACR|2ASPD|2DMG|2AART|1VULN	13AART|28LHND|4MBVNT|5RCR|68ASPD|78DMG|8BPWR|9AME|aVULN
51	21318 18164	   	202.41	ACR|2ASPD|2DMG|2AART|1VULN	13AART|28LHND|4MBVNT|5RCR|68ASPD|78DMG|8BPWR|9AEMAG|aVULN
52	45125 13212	   	202.26	ACR|1BASARM|2VULN|2ASPD	1RCVC|2aLWND|39VULN|4RCR|5aERES|6BASARM|7LHND|8aASPD|aBPWR
53	45124 12123	   	202.12	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1RCVC|2LWND|3VULN|4RCR|5MLV|6BASARM|7LIT|8CDMG|9AART|aASPD
54	45125 12123	   	202.02	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AART	1RCVC|2LWND|3VULN|4RCR|5ERES|6BASARM|7LIT|8CDMG|9AART|aASPD
55	35123 15163	 * 	201.69	ACR|1BASARM|2DMG|1VULN|1AART	12FEWX|3VULN|4RCR|5ERES|6BASARM|79DMG|8DUST|aAART
56	33665 33111	 * 	201.44	ACR|1BASARM|2BEXP|1DMG|1CDMG	1FEWX|2ZMB|3RCR|46BEXP|5CDMG|7DMG|8MBVNT|9DUR|aBASARM
57	33665 33311	   	201.44	ACR|1BASARM|2BEXP|1DMG|1CDMG	1FEWX|2ZMB|3RCR|46BEXP|5CDMG|7DMG|8DUST|9DUR|aBASARM
58	36136 34116	   	201.44	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5ASPD|67BEXP|8DUR|9LWND|aBASARM
59	36136 34211	   	201.44	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5ASPD|67BEXP|8RMIN|9DUR|aBASARM
60	63631 22511	   	201.44	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1ASPD|2LHND|3RCR|4ZMB|58BEXP|6DUST|7CDMG|9DUR|aBASARM
61	33631 33441	   	201.44	ACR|1BASARM|2BEXP|1DMG|1CDMG	1FEWX|24ZMB|3RCR|57BEXP|6DMG|8CDMG|9MDPS|aBASARM
62	22222 61531	   	201.41	ACR|3ASPD|2BEXP|2CDMG|1AART	1AART|2BELT|3LEGI|4RCR|569ASPD|79BEXP|89CDMG|9BPWR|aZMB
63	22222 61533	   	201.41	ACR|3ASPD|2BEXP|2CDMG|1AART	1AART|2BELT|3LEGI|4RCR|569ASPD|79BEXP|89CDMG|9BPWR|aLWND
64	22222 61535	   	201.41	ACR|3ASPD|2BEXP|2CDMG|1AART	1AART|2BELT|3LEGI|4RCR|569ASPD|79BEXP|89CDMG|9BPWR|aRMIN
65	13665 33111	   	201.34	ACR|1BASARM|2BEXP|1DMG|1CDMG	1AAC|2FEWX|3RCR|46BEXP|5CDMG|7DMG|8MBVNT|9DUR|aBASARM
66	13665 33311	   	201.34	ACR|1BASARM|2BEXP|1DMG|1CDMG	1AAC|2FEWX|3RCR|46BEXP|5CDMG|7DMG|8DUST|9DUR|aBASARM
67	36131 74126	   	201.34	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5DUR|6ASPD|79BEXP|8DUST|aBASARM
68	36136 34126	   	201.34	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5ASPD|67BEXP|8DUR|9DUST|aBASARM
69	63631 32231	   	201.34	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1ASPD|2LHND|3RCR|4ZMB|58BEXP|6MDPS|7CDMG|9AEFBLL|aBASARM
70	22222 61536	   	201.31	ACR|3ASPD|2BEXP|2CDMG|1AART	1AART|2BELT|3LEGI|4RCR|569ASPD|79BEXP|89CDMG|9BPWR|aDUST
71	64316 13112	   	201.23	ACR|2VULN|2DMG|1ASPD|1CDMG|1AART	1ASPD|2DUST|34DMG|5RCR|69VULN|7CDMG|8RPLT|aAART
72	53631 21242	 * 	201.08	ACR|3ASPD|2VULN|2BEXP	1aVULN|2ZMB|3RCR|4AAC|5aBEXP|6VENICY|7ERES|89aASPD|aBPWR
73	64316 12131	   	200.84	ACR|2ASPD|2DMG|2BEXP|1VULN	19ASPD|29DUST|34DMG|5RCR|6VULN|7AAC|89BEXP|9BPWR|aLHND
74	64316 12133	   	200.84	ACR|2ASPD|2DMG|2BEXP|1VULN	19ASPD|29DUST|34DMG|5RCR|6VULN|7AAC|89BEXP|9BPWR|aFEWX
75	43215 33223	   	200.83	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1RCVC|2CDMG|3LHND|4ASPD|5RCR|6ERES|7BEXP|8DMG|9DMSP|aBASARM
76	43215 33233	   	200.83	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1RCVC|2CDMG|39LHND|4ASPD|5RCR|6ERES|7BEXP|8DMG|aBASARM
77	35123 13524	   	200.50	ACR|1BASARM|2DMG|1VULN|1CDMG	12FEWX|3VULN|4RCR|5ERES|6BASARM|7LHND|8CDMG|9aDMG
78	54325 21131	 * 	200.49	ACR|2VULN|2DMG|2BEXP|1ASPD	19VULN|25ERES|39DMG|4RCR|6ASPD|7DUST|89BEXP|9BPWR|aLHND
79	54325 21132	   	200.49	ACR|2VULN|2DMG|2BEXP|1ASPD	19VULN|25ERES|39DMG|4RCR|6ASPD|7DUST|89BEXP|9BPWR|aDUR
80	54325 21133	   	200.49	ACR|2VULN|2DMG|2BEXP|1ASPD	19VULN|25ERES|39DMG|4RCR|6ASPD|7DUST|89BEXP|9BPWR|aDMSP
81	64316 11331	   	200.49	ACR|2VULN|2ASPD|2DMG|1BEXP	19ASPD|27DUST|34DMG|5RCR|68VULN|aBEXP
82	21318 18633	   	200.38	ACR|3ASPD|1VULN|2AART|1DMG	13AART|2LHND|4MBVNT|5RCR|68aASPD|7DMG|9VULN
83	36138 14141	   	200.26	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5LIT|6VULN|7DMG|8BEXP|9BASARM|aCGEN
84	36138 14142	   	200.26	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5LIT|6VULN|7DMG|8BEXP|9BASARM|aZMB
85	36138 14147	   	200.26	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5LIT|6VULN|7DMG|8BEXP|9BASARM|aRMIN
86	53333 56133	 * 	200.25	4VULN|3ASPD|3DMG|2BEXP	179aVULN|24ZMB|379DMG|567ASPD|79BPWR|89BEXP
87	36138 14146	   	200.16	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5LIT|6VULN|7DMG|8BEXP|9BASARM|aMDPS
88	63612 43213	 * 	199.43	ACR|1BASARM|1ASPD|1DMG|2CDMG	1ASPD|2LHND|3RCR|4CGEN|59FEWX|67CDMG|8DMG|aBASARM
89	63612 43223	   	199.43	ACR|1BASARM|1ASPD|1DMG|2CDMG	1ASPD|29LHND|3RCR|4CGEN|5FEWX|67CDMG|8DMG|aBASARM
90	45124 12332	 * 	199.39	ACR|1BASARM|1VULN|2BEXP|1ASPD	1RCVC|2LWND|3VULN|4RCR|5MLV|6BASARM|7LIT|8aBEXP|9ASPD
91	36115 13213	   	199.33	ACR|1BASARM|1ASPD|1DMG|2CDMG	19FEWX|27CDMG|3RCR|4LHND|5ASPD|6TLV|8DMG|aBASARM
92	36115 13223	   	199.33	ACR|1BASARM|1ASPD|1DMG|2CDMG	1FEWX|27CDMG|3RCR|49LHND|5ASPD|6TLV|8DMG|aBASARM
93	22222 52511	 * 	199.27	ACR|1BASARM|2AART|1ASPD|1DMG	19AART|2BELT|3LEGI|4RCR|5ASPD|6FEWX|7DUR|8BASARM|aDMG
94	36155 13213	   	199.23	ACR|1BASARM|1ASPD|1DMG|2CDMG	19FEWX|27CDMG|3RCR|4LEGI|5ASPD|6TLV|8DMG|aBASARM
95	36136 34432	 * 	199.18	ACR|2ASPD|2BEXP|2BASICY|1CDMG	1aFEWX|2CDMG|3RCR|4MBVNT|5aASPD|67BEXP|8AME|9aBASICY|aBPWR
96	22222 55511	   	199.17	ACR|1BASARM|2AART|1ASPD|1DMG	19AART|2BELT|3LEGI|4RCR|5ASPD|6FEWX|7DUST|8BASARM|aDMG
97	36138 44248	   	198.96	ACR|1BASARM|2VULN|1DMG|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5LIT|6LEGI|7DMG|8aVULN|9BASARM
98	64316 12112	   	198.86	ACR|2VULN|2DMG|1ASPD|1BEXP|1AART	1ASPD|2DUST|34DMG|5RCR|69VULN|7AAC|8BEXP|aAART
99	64621 31233	 * 	198.80	ACR|3VULN|3ASPD|1BEXP	189ASPD|2DUST|3RCR|49MLV|5BEXP|6ZMB|79aVULN|9BPWR
100	16316 13253	   	198.17	ACR|2DMG|1VULN|1ASPD|1AART|1BEXP|1CDMG	1AAC|2DUST|34DMG|5RCR|6VULN|7CDMG|8ASPD|9AART|aBEXP
101	16316 11342	 * 	198.13	ACR|3VULN|3DMG|1ASPD	1AAC|279DUST|349DMG|5RCR|689VULN|9BPWR|aASPD
102	35123 14262	   	198.10	ACR|1BASARM|2VULN|2ASPD	12aFEWX|3aVULN|4RCR|5ERES|6BASARM|7LEGI|8aASPD|9DMSP|aBPWR
103	55623 13232	   	198.10	ACR|1BASARM|2VULN|2ASPD	1aVULN|29FEWX|3DMSP|4RCR|5aERES|6BASARM|7LHND|8aASPD|aBPWR
104	35123 13212	   	198.10	ACR|1BASARM|2VULN|2ASPD	12aFEWX|39VULN|4RCR|5aERES|6BASARM|7LHND|8aASPD|aBPWR
105	35124 12123	   	197.96	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AART	12FEWX|3VULN|4RCR|5MLV|6BASARM|7LIT|8CDMG|9AART|aASPD
106	52524 12123	   	197.96	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1VULN|23LHND|4RCR|5MLV|6BASARM|7LIT|8CDMG|9AART|aASPD
107	35123 15152	 * 	197.90	ACR|1BASARM|2VULN|2DMG	12FEWX|3aVULN|4RCR|5ERES|6BASARM|7aDMG|8DUST|9aAEFBLL|aBPWR
108	35123 12123	   	197.86	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AART	12FEWX|3VULN|4RCR|5ERES|6BASARM|7LIT|8CDMG|9AART|aASPD
109	52525 12123	   	197.86	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AART	1VULN|23LHND|4RCR|5ERES|6BASARM|7LIT|8CDMG|9AART|aASPD
110	55623 12123	   	197.86	ACR|1BASARM|1VULN|1ASPD|1CDMG|1AART	1VULN|2FEWX|3DMSP|4RCR|5ERES|6BASARM|7LIT|8CDMG|9AART|aASPD
111	22222 61516	   	197.54	ACR|2VULN|2ASPD|1AART|1CDMG|1BEXP	1AART|2BELT|3LEGI|4RCR|56ASPD|7BEXP|8CDMG|9aVULN
112	36113 53232	 * 	197.27	ACR|2DMG|2BASICY|1ASPD|2CDMG	1FEWX|2aCDMG|3RCR|45LHND|6CGEN|7aDMG|8ASPD|9aBASICY|aBPWR
113	36113 13232	   	197.17	ACR|2DMG|2BASICY|1ASPD|2CDMG	1FEWX|2aCDMG|3RCR|45LHND|6TLV|7aDMG|8ASPD|9aBASICY|aBPWR
114	36116 53232	   	197.17	ACR|2DMG|2BASICY|1ASPD|2CDMG	16FEWX|2aCDMG|3RCR|4LHND|56AME|6aBPWR|7aDMG|8ASPD|9aBASICY
115	21318 15446	   	197.12	ACR|2VULN|2AART|1ASPD|1DMG|1CDMG	13AART|2LHND|4MBVNT|5RCR|6ASPD|79VULN|8CDMG|aDMG
116	53621 51212	   	197.04	ACR|2VULN|2ASPD|2DMG	19VULN|2aZMB|3RCR|4VENFST|5FEWX|6aDMG|7ERES|8aASPD|aBPWR
117	43215 32124	   	197.02	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1RCVC|2CDMG|3LHND|4ASPD|5RCR|6ERES|7MLV|8VULN|9AART|aBASARM
118	11661 36323	 * 	197.01	ACR|3BEXP|2DMG|1VULN|1CDMG	1AAC|257LWND|3RCR|47aBEXP|67DMG|7BPWR|8CDMG|9VULN
119	53623 51212	   	196.94	ACR|2VULN|2ASPD|2DMG	19VULN|2aZMB|3RCR|4VENFST|5DUST|6aDMG|7ERES|8aASPD|aBPWR
120	21318 18113	   	196.85	ACR|3ASPD|2DMG|2AART	13AART|28LHND|4MBVNT|5RCR|68aASPD|78DMG|8BPWR|9LWND
121	21318 18123	   	196.85	ACR|3ASPD|2DMG|2AART	13AART|28LHND|4MBVNT|5RCR|68aASPD|78DMG|8BPWR|9FEWX
122	36131 61246	 * 	196.76	ACR|1BASARM|2DMG|2CDMG	1FEWX|28CDMG|3RCR|4MBVNT|5DUR|6MDPS|79DMG|aBASARM
123	22222 61425	   	196.65	ACR|2ASPD|1VULN|1DMG|1BEXP|1AART|1AAC	1AART|2BELT|3LEGI|4RCR|56ASPD|7BEXP|8VULN|9AAC|aDMG
124	22225 13531	   	196.44	ACR|1BASARM|2BEXP|1ASPD|1AART	1AART|2BELT|3LEGI|4RCR|5RMIN|6DUR|79BEXP|8BASARM|aASPD
125	22225 21531	   	196.44	ACR|1BASARM|2BEXP|1ASPD|1AART	1AART|2BELT|3LEGI|4RCR|5RMIN|69BEXP|7FEWX|8BASARM|aASPD
126	22225 22531	   	196.34	ACR|1BASARM|2BEXP|1ASPD|1AART	1AART|2BELT|3LEGI|4RCR|5RMIN|69BEXP|7DUST|8BASARM|aASPD
127	35123 15113	   	196.34	ACR|1BASARM|2VULN|1DMG|1AART	12FEWX|39VULN|4RCR|5ERES|6BASARM|7DMG|8DUST|aAART
128	22222 52522	   	196.33	ACR|1BASARM|1ASPD|1DMG|1AART|1AAC	1AART|2BELT|3LEGI|4RCR|5ASPD|6FEWX|7DUR|8BASARM|9AAC|aDMG
129	22222 55522	   	196.23	ACR|1BASARM|1ASPD|1DMG|1AART|1AAC	1AART|2BELT|3LEGI|4RCR|5ASPD|6FEWX|7DUST|8BASARM|9AAC|aDMG
130	42423 11143	   	196.10	ACR|2VULN|2ASPD|2DMG	1RCVC|28ERES|3AEFBLL|4RCR|5DMSP|68ASPD|78DMG|8BPWR|9aVULN
131	36136 37432	   	195.88	ACR|3VULN|1ASPD|1BEXP|1AART|1CDMG	1FEWX|2CDMG|3RCR|4MBVNT|5ASPD|6BEXP|789VULN|aAART
132	22222 61514	   	195.71	ACR|2ASPD|2AART|1VULN|1CDMG|1BEXP	1aAART|2BELT|3LEGI|4RCR|56ASPD|7BEXP|8CDMG|9VULN
133	13666 32231	   	195.64	ACR|1BASARM|2BEXP|1DMG|2AAC	19AAC|2FEWX|3RCR|45BEXP|6DMG|7DUR|8RPLT|aBASARM
134	13666 31231	   	195.54	ACR|1BASARM|2BEXP|1DMG|2AAC	19AAC|2FEWX|3RCR|45BEXP|6DMG|7DUST|8RPLT|aBASARM
135	35124 13523	   	195.36	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	12FEWX|3VULN|4RCR|5MLV|6BASARM|7LHND|8CDMG|9DMG|aBEXP
136	35123 13523	   	195.26	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	12FEWX|3VULN|4RCR|5ERES|6BASARM|7LHND|8CDMG|9DMG|aBEXP
137	35124 12332	   	195.23	ACR|1BASARM|1VULN|2BEXP|1ASPD	12FEWX|3VULN|4RCR|5MLV|6BASARM|7LIT|8aBEXP|9ASPD
138	35123 14523	   	195.16	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG	12FEWX|3VULN|4RCR|5ERES|6BASARM|7LEGI|8CDMG|9DMG|aBEXP
139	53623 53332	   	195.10	ACR|3DMG|2VULN|1ASPD	18VULN|28ZMB|3RCR|4VENFST|5DUST|68aDMG|7BELT|8BPWR|9ASPD
140	36122 51163	   	195.03	ACR|1BASARM|2BEXP|1AART|1CDMG	16FEWX|2CDMG|3RCR|4CGEN|56BEXP|6BPWR|7ERES|8MBVNT|9AART|aBASARM
141	64316 13131	   	194.97	ACR|2ASPD|2DMG|1VULN|2CDMG	19ASPD|29DUST|34DMG|5RCR|6VULN|79CDMG|8RPLT|9BPWR|aLHND
142	64316 13133	   	194.97	ACR|2ASPD|2DMG|1VULN|2CDMG	19ASPD|29DUST|34DMG|5RCR|6VULN|79CDMG|8RPLT|9BPWR|aFEWX
143	21318 54472	 * 	194.96	ACR|2VULN|3AART|1ASPD|1DMG	136AART|2LHND|4MBVNT|5RCR|78VULN|9ASPD|aDMG
144	22222 15531	   	194.82	ACR|2ASPD|2DMG|2CDMG|1AART	1AART|2BELT|3LEGI|4RCR|59ASPD|6ERES|79DMG|89CDMG|9BPWR|aCGEN
145	22222 15534	   	194.82	ACR|2ASPD|2DMG|2CDMG|1AART	1AART|2BELT|3LEGI|4RCR|59ASPD|6ERES|79DMG|89CDMG|9BPWR|aDUR
146	36138 44245	   	194.81	ACR|1BASARM|1VULN|1DMG|1CDMG|1AAC	1FEWX|2CDMG|3RCR|4MBVNT|5LIT|6LEGI|7DMG|8VULN|9BASARM|aAAC
147	63651 31323	   	194.79	ACR|2ASPD|2DMG|2BEXP	19ASPD|24LHND|3RCR|59BEXP|6aDMG|7DUST|89FEWX|9BPWR
148	22222 15532	   	194.72	ACR|2ASPD|2DMG|2CDMG|1AART	1AART|2BELT|3LEGI|4RCR|59ASPD|6ERES|79DMG|89CDMG|9BPWR|aAEMAG
149	22222 15533	   	194.72	ACR|2ASPD|2DMG|2CDMG|1AART	1AART|2BELT|3LEGI|4RCR|59ASPD|6ERES|79DMG|89CDMG|9BPWR|aDLOT
150	22222 15535	   	194.72	ACR|2ASPD|2DMG|2CDMG|1AART	1AART|2BELT|3LEGI|4RCR|59ASPD|6ERES|79DMG|89CDMG|9BPWR|aLSRICY
151	22222 15536	   	194.72	ACR|2ASPD|2DMG|2CDMG|1AART	1AART|2BELT|3LEGI|4RCR|59ASPD|6aERES|79DMG|89CDMG|9BPWR
152	33631 33361	 * 	194.61	ACR|3BEXP|2DMG|2VULN	1aFEWX|24ZMB|3RCR|579BEXP|6aDMG|8aVULN|aBPWR
153	33631 63361	 * 	194.61	ACR|3BEXP|2ASPD|2VULN	1aFEWX|24ZMB|3RCR|579BEXP|6aASPD|8aVULN|aBPWR
154	53631 21212	 * 	194.49	ACR|3VULN|2ASPD|2BEXP	19aVULN|2ZMB|3RCR|4AAC|5aBEXP|6VENICY|7ERES|8aASPD|aBPWR
155	66222 43213	   	194.33	ACR|1BASARM|1ASPD|1DMG|2CDMG	1ASPD|2AME|3LHND|4RCR|59FEWX|67CDMG|8DMG|aBASARM
