0	Index      	 *	Score 	Summary	Detail	
1	13544 12266	 * 	290.74	DCR|DCR|2VULN|1AAC|1ASPD|1NUKE	1AART|27VULN|3MBVNT|4AAC|5ASPD|6AETHUN|89RCR|aNUKE
38	63424 33231	   	269.22	DCR|2VULN|2MLV|1TLV|2ASPD	19ASPD|2TLV|39MLV|4BBNT|5LWND|6RCR|7FEWX|89VULN|9BPWR|aLSRHEA
39	63424 33233	   	269.22	DCR|2VULN|2MLV|1TLV|2ASPD	19ASPD|2TLV|39MLV|4BBNT|5LWND|6RCR|7FEWX|89VULN|9BPWR|aBEXP
40	53431 14132	   	268.97	DCR|DCR|2MLV|1AAC|1ASPD	15LWND|28MLV|3ASPD|4TBNT|6MULARM|7AAC|9aRCR
41	53412 14132	   	268.87	DCR|DCR|2MLV|1AAC|1ASPD	1LWND|28MLV|3ASPD|4AEFRZ|5TBNT|6MULARM|7AAC|9aRCR
42	51423 33423	   	268.81	DCR|2VULN|2MLV|2TLV|1ASPD	1aLWND|2aTLV|3ASPD|48VULN|5BELT|6aMLV|7RCR|9LEGI|aBPWR
43	13246 43333	   	267.48	DCR|DCR|1VULN|1TLV|1CDMG	1AART|2VULN|3TLV|49DUST|5CDMG|6DMSP|7aRCR|8FEWX
44	62141 13132	   	266.94	DCR|DCR|2MLV|1ASPD|2DUR	1ASPD|25DUR|3LSRHEA|4ZMB|68MLV|7BBNT|9aRCR
45	13521 13168	 * 	266.56	DCR|2VULN|2MLV|1TLV|1DMG	1AART|29VULN|3MBVNT|4LHND|5aMLV|6RCR|7TLV|8DMG
46	12574 31263	 * 	266.53	DCR|DCR|1VULN|3AART|1AAC|1ASPD	16aAART|2LWND|3MBVNT|4AAC|5ASPD|7VULN|89RCR
47	13544 16263	   	266.43	DCR|DCR|1VULN|3AART|1AAC|1ASPD	17aAART|2VULN|3MBVNT|4AAC|5ASPD|6AETHUN|89RCR
48	63114 25313	   	266.38	DCR|3VULN|2TLV|2ASPD	17ASPD|27TLV|3RAT|4BEXP|567VULN|7BPWR|8DUR|9BELT|aRCR
49	63124 25313	   	266.38	DCR|3VULN|2TLV|2ASPD	17ASPD|27TLV|3RAT|4DUST|567VULN|7BPWR|8DUR|9BELT|aRCR
50	51332 53511	 * 	265.61	DCR|2VULN|2TLV|2DMG|1ASPD|1CDMG	1LWND|24TLV|3CDMG|5ASPD|67VULN|8RCR|9aDMG
51	12544 41267	   	264.83	DCR|DCR|2VULN|1AAC|1NUKE	1AART|2LWND|3MBVNT|4DMSP|5NUKE|6AAC|7aVULN|89RCR
52	13545 12261	   	264.73	DCR|DCR|2VULN|1AAC|1NUKE	1AART|27VULN|3MBVNT|4AAC|5NUKE|6AETHUN|89RCR|aFEWX
53	12542 71263	 * 	264.70	DCR|DCR|1VULN|1DMG|1ASPD|2AART	1aAART|2LWND|3MBVNT|4DMSP|5ASPD|6DMG|7VULN|89RCR
54	12542 41266	   	264.64	DCR|DCR|1VULN|1AAC|1ASPD|1NUKE	1AART|2LWND|3MBVNT|4DMSP|5ASPD|6AAC|7VULN|89RCR|aNUKE
55	13545 12262	   	264.63	DCR|DCR|2VULN|1AAC|1NUKE|1MSE	1AART|27VULN|3MBVNT|4AAC|5NUKE|6AETHUN|89RCR|aMSE
56	13545 12264	   	264.63	DCR|DCR|2VULN|1AAC|1NUKE	1AART|27VULN|3MBVNT|4AAC|5NUKE|6AETHUN|89RCR|aDUST
57	13544 14266	   	264.44	DCR|DCR|1VULN|1AAC|1ASPD|1NUKE	1AART|2VULN|3MBVNT|4AAC|5ASPD|6AETHUN|7AEFBLL|89RCR|aNUKE
58	13512 71324	 * 	263.94	DCR|3VULN|1MLV|1DMG|1AAC|1ASPD	1AART|247VULN|3MBVNT|4BPWR|5ASPD|6DMG|8AAC|9MLV|aRCR
59	13224 44223	   	263.38	DCR|2VULN|2MLV|1TLV|1AAC	1AART|24VULN|3TLV|5aMLV|6FEWX|7DUST|8AAC|9RCR
60	13314 44223	   	263.38	DCR|2VULN|2MLV|1TLV|1AAC	1AART|23VULN|4TLV|5aMLV|6FEWX|7DUST|8AAC|9RCR
61	13521 13468	   	263.38	DCR|2VULN|2MLV|1TLV|1AAC	1AART|28VULN|3MBVNT|4LHND|5aMLV|6RCR|7TLV|9AAC
62	15631 62223	   	263.28	DCR|2VULN|2MLV|1TLV|1AAC	1AART|2BEXP|37VULN|4DUST|5aMLV|6TLV|8AAC|9RCR
63	12542 41265	   	263.28	DCR|DCR|1VULN|1AAC|1ASPD	1AART|2LWND|3MBVNT|4DMSP|5ASPD|6AAC|7VULN|89RCR|aDUR
64	13544 14265	   	263.08	DCR|DCR|1VULN|1AAC|1ASPD	1AART|2VULN|3MBVNT|4AAC|5ASPD|6AETHUN|7AEFBLL|89RCR|aDUR
65	63563 33132	 * 	262.81	DCR|2VULN|2TLV|2ASPD|1DMG|1CDMG	17ASPD|27TLV|3ZMB|4BBNT|5CDMG|67VULN|7BPWR|8CGEN|9DMG|aRCR
66	12631 62323	   	262.74	DCR|2VULN|2MLV|1TLV|1ASPD	1AART|2LWND|37VULN|4DUST|5aMLV|6TLV|8ASPD|9RCR
67	63423 32112	   	262.44	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD|1CDMG	1ASPD|2TLV|3MLV|4BBNT|5CDMG|6aVULN|7RCR|8RCVC|9DMG
68	13434 25332	   	262.34	DCR|DCR|1VULN|1DMG|1CDMG|1SELL	1AART|2VULN|3LHND|4DMG|5SELL|6CGEN|7RAT|89RCR|aCDMG
69	13544 72832	   	262.13	DCR|2VULN|1TLV|1MLV|1AAC|1ASPD	1AART|27VULN|3MBVNT|4AAC|5ASPD|6TLV|8MLV|9RCR|aDUR
70	63423 34132	   	262.05	DCR|2MLV|1VULN|1TLV|1DMG|1ASPD|1CDMG	1ASPD|2TLV|37MLV|4BBNT|5CDMG|6VULN|8CGEN|9DMG|aRCR
71	43423 34312	   	262.05	DCR|2MLV|1VULN|1TLV|1DMG|1ASPD|1CDMG	1CGEN|2TLV|37MLV|4BBNT|5CDMG|6VULN|8DMG|9ASPD|aRCR
72	12542 41263	   	261.53	DCR|DCR|1VULN|1AAC|1ASPD|2AART	1aAART|2LWND|3MBVNT|4DMSP|5ASPD|6AAC|7VULN|89RCR
73	12574 31261	   	261.53	DCR|DCR|1VULN|1AAC|1ASPD|2AART	16AART|2LWND|3MBVNT|4AAC|5ASPD|7VULN|89RCR|aFEWX
74	12574 11263	   	261.43	DCR|DCR|1VULN|1AAC|1ASPD|2AART	1aAART|2LWND|3MBVNT|4AAC|5ASPD|6AEWIND|7VULN|89RCR
75	12574 31262	   	261.43	DCR|DCR|1VULN|1AAC|1ASPD|2AART|1MSE	16AART|2LWND|3MBVNT|4AAC|5ASPD|7VULN|89RCR|aMSE
76	12574 31264	   	261.43	DCR|DCR|1VULN|1AAC|1ASPD|2AART	16AART|2LWND|3MBVNT|4AAC|5ASPD|7VULN|89RCR|aDUST
77	12574 41263	   	261.43	DCR|DCR|1VULN|1AAC|1ASPD|2AART	1aAART|2LWND|3MBVNT|4AAC|5ASPD|6AEFBLL|7VULN|89RCR
78	13544 16261	   	261.43	DCR|DCR|1VULN|1AAC|1ASPD|2AART	17AART|2VULN|3MBVNT|4AAC|5ASPD|6AETHUN|89RCR|aFEWX
79	13544 54263	   	261.43	DCR|DCR|1VULN|1AAC|1ASPD|2AART	1aAART|2VULN|3MBVNT|4AAC|5ASPD|6LWND|7AEFBLL|89RCR
80	13544 14263	   	261.33	DCR|DCR|1VULN|1AAC|1ASPD|2AART	1aAART|2VULN|3MBVNT|4AAC|5ASPD|6AETHUN|7AEFBLL|89RCR
81	13544 16262	   	261.33	DCR|DCR|1VULN|1AAC|1ASPD|2AART|1MSE	17AART|2VULN|3MBVNT|4AAC|5ASPD|6AETHUN|89RCR|aMSE
82	13544 16264	   	261.33	DCR|DCR|1VULN|1AAC|1ASPD|2AART	17AART|2VULN|3MBVNT|4AAC|5ASPD|6AETHUN|89RCR|aDUST
83	62151 23632	   	261.09	DCR|DCR|1MLV|1DMG|1ASPD|2DUR	1ASPD|25DUR|3LSRHEA|4MLV|6DMG|7BBNT|8AEPOI|9aRCR
