0	Index      	 *	Score 	Summary	Detail	
1	11315 33651	 * 	301.72	ACR|DCR|4VULN|2MLV	15aVENICY|2RCVC|38RCR|457aVULN|5aBPWR|6LEGI|9aMLV
12	21221 17515	   	288.13	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1CDMG|2BBNT|3ERES|4MBVNT|5VULN|6TLV|7MSLFST|8aRCR|9MLV
13	26351 52312	   	284.71	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1CDMG|2DMG|3LWND|4LIT|5LHND|68RCR|7DUR|9MLV|aVULN
14	32325 25341	   	283.49	DCR|DCR|2VULN|1TLV	1BBNT|2LIT|3TLV|4MBVNT|56VULN|7LHND|8aRCR|9RAT
15	32326 24341	   	283.49	DCR|DCR|2VULN|1TLV	1BBNT|2LIT|3TLV|4MBVNT|5LHND|67VULN|8aRCR|9RAT
16	52325 25341	   	283.49	DCR|DCR|2VULN|1TLV	1TBNT|2LIT|3TLV|4MBVNT|56VULN|7LHND|8aRCR|9RAT
17	52326 24341	   	283.49	DCR|DCR|2VULN|1TLV	1TBNT|2LIT|3TLV|4MBVNT|5LHND|67VULN|8aRCR|9RAT
18	32325 24341	   	283.39	DCR|DCR|2VULN|1TLV	1BBNT|2LIT|3TLV|4MBVNT|56VULN|7BEXP|8aRCR|9RAT
19	32325 64341	   	283.39	DCR|DCR|2VULN|1TLV	1BBNT|2LIT|3TLV|4MBVNT|57VULN|6BEXP|8aRCR|9RAT
20	32328 24341	   	283.39	DCR|DCR|2VULN|1TLV	1BBNT|2LIT|3TLV|4MBVNT|5BEXP|67VULN|8aRCR|9RAT
21	52325 24341	   	283.39	DCR|DCR|2VULN|1TLV	1TBNT|2LIT|3TLV|4MBVNT|56VULN|7BEXP|8aRCR|9RAT
22	52325 64341	   	283.39	DCR|DCR|2VULN|1TLV	1TBNT|2LIT|3TLV|4MBVNT|57VULN|6BEXP|8aRCR|9RAT
23	52328 24341	   	283.39	DCR|DCR|2VULN|1TLV	1TBNT|2LIT|3TLV|4MBVNT|5BEXP|67VULN|8aRCR|9RAT
24	11311 43651	   	281.47	ACR|DCR|3VULN|2MLV	1aVENICY|2RCVC|38RCR|47aVULN|5AEFBLL|6LWND|9aMLV|aBPWR
25	11315 12651	   	281.47	ACR|DCR|3VULN|2MLV	15aVENICY|2RCVC|38RCR|45aVULN|5aBPWR|6DUST|7AEWIND|9aMLV
26	11315 13651	   	281.47	ACR|DCR|3VULN|2MLV	15aVENICY|2RCVC|38RCR|457VULN|5aBPWR|6aDUST|9aMLV
27	11311 13651	   	281.37	ACR|DCR|3VULN|2MLV	1aVENICY|2RCVC|38RCR|47aVULN|5AEFBLL|6DUST|9aMLV|aBPWR
28	11315 13653	   	281.37	ACR|DCR|3VULN|2MLV	15VENICY|2RCVC|38RCR|457VULN|5BPWR|6DUST|9aMLV
29	15311 13651	   	281.27	ACR|DCR|3VULN|2MLV	1aVENICY|2AEPOI|38RCR|47aVULN|5AEFBLL|6DUST|9aMLV|aBPWR
30	11315 43631	   	277.55	ACR|DCR|3VULN|2TLV	15aVENICY|2RCVC|38RCR|457VULN|5aBPWR|6aLWND|9aTLV
31	11315 42631	   	277.45	ACR|DCR|3VULN|2TLV	15aVENICY|2RCVC|38RCR|45aVULN|5aBPWR|6LWND|7AEWIND|9aTLV
32	11311 43631	   	277.35	ACR|DCR|3VULN|2TLV	1aVENICY|2RCVC|38RCR|47aVULN|5AEFBLL|6LWND|9aTLV|aBPWR
33	11315 12631	   	277.35	ACR|DCR|3VULN|2TLV	15aVENICY|2RCVC|38RCR|45aVULN|5aBPWR|6DUST|7AEWIND|9aTLV
34	11315 13631	   	277.35	ACR|DCR|3VULN|2TLV	15aVENICY|2RCVC|38RCR|457VULN|5aBPWR|6aDUST|9aTLV
35	11311 13631	   	277.25	ACR|DCR|3VULN|2TLV	1aVENICY|2RCVC|38RCR|47aVULN|5AEFBLL|6DUST|9aTLV|aBPWR
36	15311 43631	   	277.25	ACR|DCR|3VULN|2TLV	1aVENICY|2AEPOI|38RCR|47aVULN|5AEFBLL|6LWND|9aTLV|aBPWR
37	15311 13631	   	277.15	ACR|DCR|3VULN|2TLV	1aVENICY|2AEPOI|38RCR|47aVULN|5AEFBLL|6DUST|9aTLV|aBPWR
38	15315 12631	   	277.15	ACR|DCR|3VULN|2TLV	1aVENICY|25AEPOI|38RCR|45aVULN|5aBPWR|6DUST|7AEWIND|9aTLV
39	15315 13631	   	277.15	ACR|DCR|3VULN|2TLV	1aVENICY|25aAEPOI|38RCR|457VULN|5aBPWR|6DUST|9aTLV
40	12235 33414	   	274.78	DCR|DCR|1VULN|1TLV|1MLV	1VENICY|2TLV|34RPLT|5VULN|6TBNT|7MLV|8aRCR|9AME
