0	Index      	 *	Score 	Summary	Detail	
1	61143 67141	 * 	293.14	DCR|DCR|2VULN|3DMG	1aFEWX|2aVULN|3MBVNT|4LIT|5AEPOI|67aDMG|89RCR|aBPWR
28	41433 36212	   	275.78	DCR|DCR|1VULN|2AAC|1CDMG	1LWND|2VULN|3CDMG|47AAC|5AEPOI|6DUR|8aRCR|9AART
29	61414 13332	   	275.14	DCR|DCR|2VULN|2CDMG	17FEWX|27VULN|37CDMG|4TBNT|5AART|69RCR|7BPWR|8RAT|aERES
30	61414 13333	   	275.14	DCR|DCR|2VULN|2CDMG	17FEWX|27VULN|37CDMG|4TBNT|5AART|69RCR|7BPWR|8RAT|aAEFRZ
31	21326 15335	   	274.94	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1BEXP|2VULN|3MDPS|4DMG|5AAC|6DUR|7ASPD|8ZMB|9aRCR
32	12423 44126	   	274.21	DCR|DCR|1VULN|1TLV|1MLV	12RMIN|3MLV|4VULN|5MBVNT|6TLV|7LIT|8aRCR|9LWND
33	12423 44136	   	274.21	DCR|DCR|1VULN|1TLV|1MLV	12RMIN|3MLV|4VULN|5MBVNT|6TLV|7LIT|8aRCR|9FEWX
34	12423 44146	   	274.11	DCR|DCR|1VULN|1TLV|1MLV	12RMIN|3MLV|4VULN|5MBVNT|6TLV|7LIT|8aRCR|9BEXP
35	12421 36315	 * 	274.08	DCR|3VULN|2MLV|1TLV|1CDMG	12RMIN|3aMLV|47aVULN|5TLV|6CDMG|8aERES|9RCR|aBPWR
36	22262 32625	 * 	273.91	DCR|DCR|2AAC|1TLV|1MLV	1BEXP|26AAC|3LWND|4TLV|5AEFRZ|7aRCR|8MLV|9MDPS
37	41134 44146	   	271.82	DCR|DCR|2VULN|1TLV	1LWND|25VULN|3MBVNT|4ZMB|6DMSP|7LIT|89RCR|aTLV
38	41134 74146	   	271.72	DCR|DCR|2VULN|1TLV	1LWND|25VULN|3MBVNT|4ZMB|6AEPOI|7LIT|89RCR|aTLV
39	41342 23532	   	271.72	DCR|DCR|2VULN|1TLV	1LWND|25VULN|3MDPS|4BELT|6TLV|7aRCR|8ZMB|9BEXP
40	41143 78141	 * 	270.67	DCR|DCR|2VULN|2ASPD	17aLWND|2aVULN|3MBVNT|4LIT|5AEPOI|6aASPD|89RCR|aBPWR
41	43161 34236	   	268.83	DCR|2VULN|2MLV|1TLV|1AAC|1CDMG	19LWND|2DUST|3MBVNT|49VULN|5CDMG|6AAC|7TLV|89MLV|9BPWR|aRCR
42	41134 51441	 * 	268.32	DCR|DCR|2VULN|1MLV	1LWND|25VULN|3MBVNT|4ZMB|6MLV|7LIT|89RCR|aRCVC
43	41134 51443	   	268.32	DCR|DCR|2VULN|1MLV	1LWND|25VULN|3MBVNT|4aZMB|6MLV|7LIT|89RCR
44	41134 51448	   	268.32	DCR|DCR|2VULN|1MLV	1LWND|25VULN|3MBVNT|4ZMB|6MLV|7LIT|89RCR|aLHND
45	61136 51441	   	268.32	DCR|DCR|2VULN|1MLV	1FEWX|25VULN|3MBVNT|4ZMB|6MLV|7LIT|89RCR|aRCVC
46	61136 51443	   	268.32	DCR|DCR|2VULN|1MLV	1FEWX|25VULN|3MBVNT|4aZMB|6MLV|7LIT|89RCR
47	41114 37443	 * 	268.23	DCR|3VULN|1TLV|1MLV|1DMG|1CDMG	1LWND|259VULN|3MBVNT|4DMG|6CDMG|7RCR|8MLV|aTLV
48	61116 37443	   	268.23	DCR|3VULN|1TLV|1MLV|1DMG|1CDMG	1FEWX|259VULN|3MBVNT|4DMG|6CDMG|7RCR|8MLV|aTLV
49	41134 51442	   	268.22	DCR|DCR|2VULN|1MLV	1LWND|25VULN|3MBVNT|4ZMB|6MLV|7LIT|89RCR|aDUST
50	41134 51444	   	268.22	DCR|DCR|2VULN|1MLV	1LWND|25VULN|3MBVNT|4ZMB|6MLV|7LIT|89RCR|aSNIFST
51	41134 51447	   	268.22	DCR|DCR|2VULN|1MLV	1LWND|25VULN|3MBVNT|4ZMB|6MLV|7LIT|89RCR|aERES
52	61136 51442	   	268.22	DCR|DCR|2VULN|1MLV	1FEWX|25VULN|3MBVNT|4ZMB|6MLV|7LIT|89RCR|aDUST
53	61136 51444	   	268.22	DCR|DCR|2VULN|1MLV	1FEWX|25VULN|3MBVNT|4ZMB|6MLV|7LIT|89RCR|aSNIFST
54	41114 43143	   	268.10	DCR|DCR|2VULN|1DMG	1LWND|25VULN|3MBVNT|4DMG|6DMSP|7LIT|89RCR|aDUR
55	41165 13143	   	268.10	DCR|DCR|2VULN|1DMG	1LWND|24VULN|3MBVNT|5RCVC|6DMG|7LIT|89RCR|aDUR
56	61116 63143	   	268.10	DCR|DCR|2VULN|1DMG	16FEWX|25VULN|3MBVNT|4DMG|7LIT|89RCR|aDUR
57	41114 73143	   	268.00	DCR|DCR|2VULN|1DMG	1LWND|25VULN|3MBVNT|4DMG|6AEPOI|7LIT|89RCR|aDUR
58	41162 13143	   	268.00	DCR|DCR|2VULN|1DMG	1LWND|24VULN|3MBVNT|5AEWIND|6DMG|7LIT|89RCR|aDUR
59	61162 13143	   	268.00	DCR|DCR|2VULN|1DMG	1FEWX|24VULN|3MBVNT|5AEWIND|6DMG|7LIT|89RCR|aDUR
60	12413 22524	 * 	267.83	DCR|DCR|2MLV|1VULN	12RMIN|34MLV|5MBVNT|6FEWX|7aRCR|8MDPS|9VULN
61	12413 42524	   	267.73	DCR|DCR|2MLV|1VULN	12RMIN|34MLV|5MBVNT|6BEXP|7aRCR|8MDPS|9VULN
62	12221 36212	   	267.68	DCR|DCR|1VULN|1TLV|1CDMG	12RMIN|3FEWX|4ZMB|5TLV|6CDMG|7VULN|8aRCR|9AART
63	14621 34212	   	267.48	DCR|DCR|1VULN|1TLV|1CDMG	1RMIN|2AEFRZ|3VULN|4ZMB|5TLV|6CDMG|7BEXP|8aRCR|9AART
64	15621 36212	   	267.48	DCR|DCR|1VULN|1TLV|1CDMG	1RMIN|23BEXP|4ZMB|5TLV|6CDMG|7VULN|8aRCR|9AART
65	12121 62641	   	266.77	DCR|DCR|1TLV|1MLV|1ASPD	12RMIN|3DUR|4ZMB|5TLV|6ASPD|79RCR|8MLV|aBELT
66	12121 62642	   	266.77	DCR|DCR|1TLV|1MLV|1ASPD	12RMIN|3DUR|4ZMB|5TLV|6ASPD|79RCR|8MLV|aLIT
67	12121 62643	   	266.77	DCR|DCR|1TLV|1MLV|1ASPD	12RMIN|3DUR|4ZMB|5TLV|6ASPD|79RCR|8MLV|aTBNT
68	21326 35335	   	266.63	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1BEXP|2VULN|3MDPS|4DMG|5AAC|6LHND|7ASPD|8ZMB|9aRCR
69	41113 43146	   	265.68	DCR|DCR|1VULN|1TLV|1DMG	1LWND|2VULN|3MBVNT|4DMG|56DMSP|7LIT|89RCR|aTLV
70	41113 73146	   	265.58	DCR|DCR|1VULN|1TLV|1DMG	1LWND|2VULN|3MBVNT|4DMG|5DMSP|6AEPOI|7LIT|89RCR|aTLV
71	41165 34143	   	264.93	DCR|DCR|2VULN|1AAC	1LWND|24VULN|3MBVNT|5RCVC|6AAC|7LIT|89RCR|aDUR
72	41162 34143	   	264.83	DCR|DCR|2VULN|1AAC	1LWND|24VULN|3MBVNT|5AEWIND|6AAC|7LIT|89RCR|aDUR
73	61161 14246	   	264.19	DCR|DCR|2VULN|1ASPD	1FEWX|24VULN|3MBVNT|5MDPS|6DUR|7aRCR|8ZMB|9ASPD
74	21161 14246	   	264.09	DCR|DCR|2VULN|1ASPD	1BEXP|24VULN|3MBVNT|5MDPS|6DUR|7aRCR|8ZMB|9ASPD
75	21161 16336	   	264.09	DCR|DCR|2VULN|1ASPD	1BEXP|24VULN|3MBVNT|5MDPS|6DUR|7ASPD|8ZMB|9aRCR
76	21651 32125	 * 	264.06	ACR|DCR|4VULN|1DMG	1BEXP|2459VULN|3aRCR|6BBNT|7DMG|8DMSP
